Position,Company_Name,Location,Post_Month,Post_Year,Details
Scrum Master,Scrum Master,Petco,May,2024,"Create a healthier, brighter future for pets, pet parents and people!

If you want to make a real difference, create an exciting career path, feel welcome to be your whole self and nurture your wellbeing, Petco is the place for you.

Our core values capture that spirit as we work to improve lives by doing what’s right for pets, people and our planet.
We love all pets like our own
We’re the future of the pet industry
We’re here to improve lives
We drive outstanding results together
We’re welcome as we are

Petco is a category-defining health and wellness company focused on improving the lives of pets, pet parents and Petco partners. We are 29,000 strong, working together across 1,500+ pet care centers, 250+ Vetco Total Care hospitals, hundreds of preventive care clinics, eight distribution centers and two support centers.

Essential Job Functions
Coordinates activities of team members (e.g., staff from software development, quality assurance, user experience, test, etc.) to ensure Agile values, principles, methodologies and processes are followed during an Agile-based software development lifecycle (SDLC).
Confers with team members to provide advice and to resolve problems.
Guides and coaches team members to become self-organized, self-assess, and achieve higher levels of performance.
Facilitates and supports team events (e.g., project planning meetings, retrospectives, demonstrations, software releases, process reviews, etc.).
Develops and tracks metrics. Prepares reports to help team understand its progress during a sprint, work process or project, and identifies trends for team members and management.
Provides training and guidance and assigns tasks to less experienced staff members.
Develops and maintains Agile documentation and training materials and conducts training.

Required Skills and Qualifications
Bachelor’s degree in Computer Science or similar.
Certified Scrum Master (CSM) and Certified Product Owner (CSPO), or similar.
5 years of experience as a Scrum Master or as a Project Manager for Lean-Agile delivery team using a variety of methodologies (e.g., Waterfall, Agile, Hybrid).
Proven track record of delivering successful projects in a matrixed Agile and traditional project management environment.
General knowledge of work management and Microsoft Teams collaboration software.
Excellent verbal and written communications skills; comfortable working directly with and providing status information to executive leadership and project stakeholders.
Excellent leadership, prioritization, organizational skills, team building, resource planning, and resource management skills
Ability to represent the company in a professional and positive manner and promote company values.

Note: Current responsibilities are impacted by company and team priorities that may have evolved from what is displayed in the Workday job profile. The description provides general job duties and requirements, but the partner’s manager may assign additional responsibilities or tasks depending on business needs.

Petco Animal Supplies, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or any other protected classification."
Sr. Project Manager / Scrum Master,Sr. Project Manager / Scrum Master,Advancio,May,2024,"This is a remote position.

Bout the Advancio:

Advancio is a global software company that is growing every day, and we are looking for talented and passionate people who wish to join and be an integral part of our team.

We are passionate about technology and the power it has to change the world.

We are building a company where we love what we do, we collaborate positively with our customers, and most important of all: have fun while we work!

Bout the Position:

The IT PROJECT MANAGER/SCRUM MASTER is primarily responsible for planning, developing and executing a series of agile projects. They also create dashboards, basic analytics and predictive analytics. They manage project scrum teams and coach teams to implement agile project management methodologies involved in delivery of various IT software development and implementation of Advancio Client’s Projects .

Requirements

5+ years working as Project Manager in various industries specializing in IT projects.
2+ years proven experience working with Agile methodologies
Preferably to have developed code
Proven experience with reports and dashboards (Jira, Trello, Power BI, etc.)
Accountable for the segmentation, updating, administration and monitoring of the portfolio of projects.
Raise and optimization of processes.
Good technical understanding of software development.
Problem-solving skills and conflict management abilities.

Responsibilities:

Define the product vision and communicate it clearly to the team.
Manage and prioritize the product backlog in collaboration with the development team.
Work with internal and external stakeholders to gather and manage requirements.
Collaborate with the development team to ensure the delivery of value to the customer in each iteration.
Analyze data and user feedback to iterate and continuously improve the product.
Make decisions about the scope and features of the product based on customer and market needs.
Collaborate closely with the Scrum Master to ensure an efficient and collaborative workflow."
Tagging Project Manager_Scrum Master,Tagging Project Manager_Scrum Master,Petco,May,2024,"Create a healthier, brighter future for pets, pet parents and people!

If you want to make a real difference, create an exciting career path, feel welcome to be your whole self and nurture your wellbeing, Petco is the place for you.

Our core values capture that spirit as we work to improve lives by doing what’s right for pets, people and our planet.

We love all pets like our own
We’re the future of the pet industry
We’re here to improve lives
We drive outstanding results together
We’re welcome as we are

Petco is a category-defining health and wellness company focused on improving the lives of pets, pet parents and Petco partners. We are 29,000 strong, working together across 1,500+ pet care centers, 250+ Vetco Total Care hospitals, hundreds of preventive care clinics, eight distribution centers and two support centers.

Principle Duties And Responsibilities

Reviews project proposal or plan to determine time frame and procedures for accomplishing projects that are generally mid-sized in scope and/or moderately complex.
Documents work plan and staffing for each phase of projects that generally mid-sized in scope and/or moderately complex.
Confers with project staff to outline workplan and to assign duties, responsibilities, and scope of authority.
Gathers requirements for projects.
Directs and coordinates activities of project personnel to ensure project progresses on schedule and within prescribed budget.
Coordinates project activities with activities of vendors and government agencies.
Confers with project personnel to identify and coordinate resolution of problems.
Prepares status reports for management or others, and modifies schedules or plans as required.

Minimum Qualifications

Bachelor’s degree in Computer Science or similar
5 years of experience as a Project Manager leading high-performing teams developing mission-critical and consumer-facing
systems using a variety of methodologies (e.g., Waterfall, Agile, Hybrid, etc.).
3 years of experience as a Scrum Master or as a Project Manager for Lean-Agile delivery team.
Proven track record of delivering successful projects in a complex, highly-matrixed Agile and traditional project management environment.
Working knowledge of Jira, Confluence, Microsoft Teams, Microsoft Project and other Continuous Integration software.
Completed formal training in project management (e.g., PMP).
Excellent verbal and written communications skills, and be comfortable working directly with and providing status information to executive leadership and project stakeholders.
Excellent leadership, prioritization, organizational skills, team building, resource planning, and resource management skills.
Ability to represent the company in a professional and positive manner and promote company values.

Disclaimer

The above information on this description has been designed to indicate the general nature and level of work performed by employees assigned to this job (within this classification). It is not intended to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required for employees assigned to this job.

Petco Animal Supplies, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or any other protected classification.

To translate this webpage to Spanish or other languages on your internet browser click the translate button to the right of your browser address bar. Additional instruction can be found here: https://support.google.com/chrome/answer/173424?hl=en-GB&co=GENIE.Platform%3DDesktop

Para Traducir Esta Página Web Al Español u Otros Idiomas En Su Navegador De Internet, Haga Clic En El Botón De Traducción a La Derecha De La Barra De Direcciones De Su Navegador. Puede Encontrar Instrucciones Adicionales Aquí

https://support.google.com/chrome/answer/173424?hl=en-GB&co=GENIE.Platform%3DDesktop"
Scrum Master (AI development company),Scrum Master (AI development company),The Rocket Code,May,2024,"Join the AI Revolution with rocket code!

At rocket code, we're not just developers — we're dreamers, doers, and disruptors. We are at the forefront of making AI work for you, turning market buzz into groundbreaking realities. Our AI-first approach is revolutionizing the tech landscape, and we need passionate individuals to join us on this exciting journey.

Why rocket code?

Imagine being part of a team that is not only leading the digital frontier but also redefining it. With our global presence in Mexico, the United States, Spain, and soon Brazil, we offer a dynamic environment where innovation and creativity thrive. We've developed over 100 platforms across various industries, including fintech, insurtech, energy, manufacturing, telecommunications, and e-commerce. At Rocket Code, every day is an opportunity to push boundaries and create impactful solutions. Our mission is to transform existing technology into digital experiences that generate a profoundly positive impact. We aim to be the constellation that guides the digital universe, illuminating paths to authentic progress and prosperity for our clients and their communities. Every solution we create is a shining star of innovation and excellence.

Our Commitment:

At rocket code, we believe in the power of technology to create a positive societal impact. We are dedicated to social responsibility and sustainability, implementing sustainable practices in all our projects and operations.

Your Future at rocket code:

We're seeking brilliant, innovative, and passionate tech enthusiasts to join our team. If you're ready to be part of a company that not only solves problems but also inspires and leaves a lasting mark on the digital world, Rocket Code is the place for you.

Join us and be part of the change!

Responsibilities

Lead and effectively manage all Scrum teams, ensuring that projects are delivered on time and within budget
Facilitate the Agile planning and execution processes, including backlog grooming, sprint planning, and daily stand-ups
Collaborate with stakeholders to define project scope, objectives, and key deliverables
Monitor team performance and identify areas for improvement, taking proactive measures to address any issues or bottlenecks
Foster a collaborative and transparent work environment, promoting effective communication and knowledge sharing among team members
Coach and mentor team members on Agile practices and principles, promoting a culture of continuous learning and improvement
Conduct regular meetings with the cross-functional teams to discuss project statuses, risks, and dependencies


Requirements

Bachelor's degree in Computer Science, Information Technology, or a related field
Certified Scrum Master (CSM) or similar Agile certification
Proven experience as a Scrum Manager or similar role within the software development industry
Strong understanding of Agile principles and methodologies, including Scrum, Kanban, and Lean
Excellent leadership and team management skills, with the ability to motivate and inspire cross-functional teams
Exceptional organizational and time management abilities, capable of managing multiple projects simultaneously
Effective communication skills, with the ability to facilitate productive discussions and resolve conflicts"
Project Manager,Project Manager,Acute Talent,April,2024,"El aspirante debe poseer experiencia en metodologías y marcos de trabajo como Scrum, PMP, Agile, SAFe y Waterfall, así como en el manejo de herramientas como Jira, entre otras. El objetivo principal del IT Project Manager será guiar e implementar las metodologías de gestión junto a Líderes Técnicos, quienes estarán a cargo de los proyectos con los clientes.

La posición ofrece un esquema de trabajo híbrido en Ciudad López Mateos, Estado de México. Por ello, se considerarán candidatos que residan en el Área Metropolitana de la Ciudad de México y sus alrededores, incluyendo Ciudad López Mateos.

Requisitos:

IT Project Manager con un mínimo de 5 años de experiencia en el ámbito de la consultoría. El candidato ideal debe contar con experiencia en la gestión de proyectos de SaaS, en lugar de proyectos de desarrollo de software. La posición implica trabajar en la PMO, donde se gestionarán procesos y planes de trabajo de múltiples proyectos de manera simultánea."
Scrum Master,Scrum Master,Petco,May,2024,"Create a healthier, brighter future for pets, pet parents and people!

If you want to make a real difference, create an exciting career path, feel welcome to be your whole self and nurture your wellbeing, Petco is the place for you.

Our core values capture that spirit as we work to improve lives by doing what’s right for pets, people and our planet.

We love all pets like our own
We’re the future of the pet industry
We’re here to improve lives
We drive outstanding results together
We’re welcome as we are

Petco is a category-defining health and wellness company focused on improving the lives of pets, pet parents and Petco partners. We are 29,000 strong, working together across 1,500+ pet care centers, 250+ Vetco Total Care hospitals, hundreds of preventive care clinics, eight distribution centers and two support centers.

Essential Job Functions

Coordinates activities of team members (e.g., staff from software development, quality assurance, user experience, test, etc.) to ensure Agile values, principles, methodologies and processes are followed during an Agile-based software development lifecycle (SDLC).
Confers with team members to provide advice and to resolve problems.
Guides and coaches team members to become self-organized, self-assess, and achieve higher levels of performance.
Facilitates and supports team events (e.g., project planning meetings, retrospectives, demonstrations, software releases, process reviews, etc.).
Develops and tracks metrics. Prepares reports to help team understand its progress during a sprint, work process or project, and identifies trends for team members and management.
Provides training and guidance and assigns tasks to less experienced staff members.
Develops and maintains Agile documentation and training materials and conducts training.

Required Skills And Qualifications

Bachelor’s degree in Computer Science or similar.
Certified Scrum Master (CSM) and Certified Product Owner (CSPO), or similar.
5 years of experience as a Scrum Master or as a Project Manager for Lean-Agile delivery team using a variety of methodologies (e.g., Waterfall, Agile, Hybrid).
Proven track record of delivering successful projects in a matrixed Agile and traditional project management environment.
General knowledge of work management and Microsoft Teams collaboration software.
Excellent verbal and written communications skills; comfortable working directly with and providing status information to executive leadership and project stakeholders.
Excellent leadership, prioritization, organizational skills, team building, resource planning, and resource management skills
Ability to represent the company in a professional and positive manner and promote company values.

Note: Current responsibilities are impacted by company and team priorities that may have evolved from what is displayed in the Workday job profile. The description provides general job duties and requirements, but the partner’s manager may assign additional responsibilities or tasks depending on business needs.

Petco Animal Supplies, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or any other protected classification.

To translate this webpage to Spanish or other languages on your internet browser click the translate button to the right of your browser address bar. Additional instruction can be found here: https://support.google.com/chrome/answer/173424?hl=en-GB&co=GENIE.Platform%3DDesktop

Para Traducir Esta Página Web Al Español u Otros Idiomas En Su Navegador De Internet, Haga Clic En El Botón De Traducción a La Derecha De La Barra De Direcciones De Su Navegador. Puede Encontrar Instrucciones Adicionales Aquí

https://support.google.com/chrome/answer/173424?hl=en-GB&co=GENIE.Platform%3DDesktop"
Senior Scrum Master,Senior Scrum Master,Petco,May,2024,"Create a healthier, brighter future for pets, pet parents and people!

If you want to make a real difference, create an exciting career path, feel welcome to be your whole self and nurture your wellbeing, Petco is the place for you.

Our core values capture that spirit as we work to improve lives by doing what’s right for pets, people and our planet.

We love all pets like our own
We’re the future of the pet industry
We’re here to improve lives
We drive outstanding results together
We’re welcome as we are

Petco is a category-defining health and wellness company focused on improving the lives of pets, pet parents and Petco partners. We are 29,000 strong, working together across 1,500+ pet care centers, 250+ Vetco Total Care hospitals, hundreds of preventive care clinics, eight distribution centers and two support centers.

Essential Job Functions

Coordinates activities of team members (e.g., staff from software development, quality assurance, user experience, test, etc.) to ensure Agile values, principles, methodologies and processes are followed during an Agile-based software development lifecycle (SDLC).
Confers with team members to provide advice and to resolve problems.
Guides and coaches team members to become self-organized, self-assess, and achieve higher levels of performance.
Facilitates and supports team events (e.g., project planning meetings, retrospectives, demonstrations, software releases, process reviews, etc.).
Develops and tracks metrics. Prepares reports to help team understand its progress during a sprint, work process or project, and identifies trends for team members and management.
Provides training and guidance and assigns tasks to less experienced staff members.

Required Skills And Qualifications

Bachelor’s degree in Computer Science or similar.
Certified Scrum Master (CSM).
3 years of experience as a Scrum Master or as a Project Manager for Lean-Agile delivery team using a variety of methodologies (e.g., Waterfall, Agile, Hybrid).
Proven track record of delivering successful projects in a matrixed Agile and traditional project management environment.
General knowledge of work management and Microsoft Teams collaboration software.
Excellent verbal and written communications skills; comfortable working directly with and providing status information to executive leadership and project stakeholders.
Excellent leadership, prioritization, organizational skills, team building, resource planning, and resource management skills
Ability to represent the company in a professional and positive manner and promote company values.

Note: Current responsibilities are impacted by company and team priorities that may have evolved from what is displayed in the Workday job profile. The description provides general job duties and requirements, but the partner’s manager may assign additional responsibilities or tasks depending on business needs.

Petco Animal Supplies, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, protected veteran status, or any other protected classification.

To translate this webpage to Spanish or other languages on your internet browser click the translate button to the right of your browser address bar. Additional instruction can be found here: https://support.google.com/chrome/answer/173424?hl=en-GB&co=GENIE.Platform%3DDesktop

Para Traducir Esta Página Web Al Español u Otros Idiomas En Su Navegador De Internet, Haga Clic En El Botón De Traducción a La Derecha De La Barra De Direcciones De Su Navegador. Puede Encontrar Instrucciones Adicionales Aquí

https://support.google.com/chrome/answer/173424?hl=en-GB&co=GENIE.Platform%3DDesktop"
Technical Project Manager - MX,Technical Project Manager - MX,WITHIN,April,2024,"About Us:

WITHIN is the world's first Performance Branding company, partnering with some of the biggest brands in the world to drive business growth through innovative marketing strategies. Our integrated operating model collapses the traditional marketing silos between creative and media, performance and brand, and across media channels. With a full suite of offerings including media, creative, SEO, Lifecycle, Retail Media, Affiliate and Influencer, we're able to work with our brand partners in an integrated fashion, allowing us to align marketing strategies back to core business objectives. Client teams at WITHIN are trained on how to always act as a trusted business partner, acting as a fiduciary to client needs above our own.

Teams at WITHIN have the ability to work with iconic brands such as The North Face, Timberland, Movado Watches and Jose Cuervo. Everyone at WITHIN wants to grow and be challenged. It's a collaborative place made up of small, closely knit and versatile teams that are fast and adaptive to solve problems and build systems.

About you: You are very process-oriented and love making sure your team is working as efficiently as possible. You generate user stories and acceptance criteria, and collaborate with developers and designers.

Not stopping there, you contribute to the SDLC with processes and documentation benefiting the entire team. You're adept with agile development and introducing/adapting frameworks (e.g., Kanban, Scrumban) to the team. When you see a risk, you're the type of person to loop people in appropriately and take the initiative. You collaborate intelligently, knowing when to spin off a team, or complete a task solo.

Even when you're brushing your teeth, you're thinking about the user, continually wondering how the team can provide more value. You're always asking what the user wants, and thinking about how to provide them what they need. You can demo features and prototypes to users and generate valuable feedback about UX and adaptability.

Responsibilities:

Manage the day-to-day of the development team
Work with our head of product to translate roadmap items into actionable user stories
Ensure QA has access to clear acceptance criteria
Utilize agile development principles and adapt frameworks as needed
Implement and maintain effective project management processes and methodologies
Foster collaboration within the team, intelligently spinning off sub-teams or handling tasks independently when necessary
Actively identify and mitigate project risks, involving relevant stakeholders as needed
Use wireframing and prototyping tools effectively in the design and development process
Help maintain comprehensive documentation for the benefit of the entire team

Must have:

3+ years experience as project manager in a software development team
Proven track record of successfully managing and delivering complex technical projects
Deep knowledge of agile development principles
Understanding of various software release processes
Excellent communication and interpersonal skills
Proficiency in project management software (we use Azure Devops)
Feature design
UX design principles
Prototyping
Wireframing

Nice to have:

Product owner experience
Product marketing
Experience working with QA
SQL
Programming skills
Comfortable with multiple environments and operating systems
Experience with customer feedback and service desks

Our interview process includes, but is not limited to to the following:

Excel knowledge and Typing Test

About Us:

We are Brkfst.io and we connect creators with big brands to make impactful ads at scale. We have a network of thousands of content creators with a variety of different skill-sets, and we're looking to build a program that empowers them to create great ads for brands like Corkcicle, Perfume.com, Casper Mattresses, & more!

This is a very ambitious project and our roadmap is full of exciting features, so we're looking for people who love innovation and want to be challenged. We're a small team of scrappy individuals who are growing fast, and we're looking for someone to grow with us.

We offer a competitive salary and benefits based on ability level, including:

Base salary DOE
Unlimited vacation policy
Monthly phone/internet and food stipend
Health insurance coverage
Professional Development Program
Remote work (this is a remote role, but must be based in (Mexico City)

Note. Please submit your resume in English"
IT Project Manager,IT Project Manager,myGwork - LGBTQ+ Business Community,May,2024,"This inclusive employer is a member of myGwork – the largest global platform for the LGBTQ+ business community.

We are seeking a highly motivated and experienced IT Project Manager to lead a range of projects within our dynamic Pinkerton Global Information Systems and Technology team. The candidate should have a strong understanding of Agile methodologies, including Scrum, and proficiency in using Azure DevOps or similar tools. The IT Project Manager will be responsible for creating custom project structures based on the unique nature of each project, managing timelines and processes in technology projects that typically span multiple lines of business and have company-wide implications. Additionally, they will be responsible for coordinating staff resources and providing support to the PMO's activities and processes. The IT Project Manager will

Essential Functions

Represent Pinkerton's core values of integrity, vigilance, and excellence.
Understand the broader strategy of Information System and Technology and the business, identifying future possibilities and translating into program execution, enabled by effective technology business operations.
Develop and implement project plans that incorporate Agile best practices to ensure the delivery of projects on time, within scope, and on budget. Be part of the full application lifecycle (design, develop, test, deploy and maintain) and innovation of each step.
Facilitate project-related meetings, including Scrum ceremonies such as sprint planning, daily stand-ups, sprint reviews, and retrospectives.
Create and maintain project structures in Azure DevOps or similar tools to support the management of backlogs, sprints, release plans, and other project-related artifacts.
Coordinate the assignment of project tasks and ensure that team members have the resources needed to complete their work efficiently.
Monitor project progress, manage risks and issues, support work, triaging work, and make adjustments to project plans as necessary to ensure project objectives are achieved as well as project documentation and reference materials.
Serve as a liaison between project teams and other departments, fostering collaboration and effective communication.
Provide coaching and mentorship to project teams on industry best practices, helping to cultivate a culture of continuous improvement.
Assist in the development and refinement of PMO policies, processes, and best practices, contributing to the improvement of project management capabilities across the organization.
Prepare and present project status reports to stakeholders, ensuring transparency and visibility into project performance.
Collaborate with IST Directors to ensure that projects are appropriately staffed and manage project resource allocation and scheduling conflicts.
Share responsibility with teammates for occasional after-hours on-call rotation for support of production level systems.
Stay up-to-date with industry best practices and trends in software technology.
All other duties, as assigned.

Education, Experience, and Certifications:

Bachelor's degree with 5+ years of IT project management experience. PMP (Project Management Professional) or Agile certification (such as CSM, PSM, or PMI-ACP) is desired. Experience dealing with global teams is preferred.

Competencies

Solid English written and verbal communication skills.
Experience with guiding change and shifting the focus to the future.
Excellent leadership, communication, and interpersonal skills.
Ability to create and maintain a cooperative team environment that promotes high performance standards and attainment of goals inside IST and across the organization.
Strong knowledge of Agile methodologies, Lean and Scrum framework, including experience as a Scrum Master or Agile Coach, as well as experience with scaling (several teams).
Experience using Azure DevOps for capturing and managing user requirements or similar project management tools is required.
Exceptional problem-solving, organizational, and time-management skills.
Hands-on experience using PowerBI for project management is a plus.
Knowledge of scalable platform architecture, end to end systems design, and architecture.

Working Conditions:

With or without reasonable accommodation, requires the physical and mental capacity to effectively perform all essential functions:

Exposure to sensitive and confidential information.
Regular computer usage.
Must be able to see, hear, speak, and write clearly in order to communicate with employees and/or customers.
Occasional reaching and lifting of small objects and operating office equipment.
Ability to adjust focus between close and distance vision.
Frequent sitting.

Pinkerton is an equal opportunity employer to all applicants and positions without regard to race/ethnicity, color, national origin, ancestry, sex/gender, gender identity/expression, sexual orientation, marital/prenatal status, pregnancy/childbirth or related conditions, religion, creed, age, disability, genetic information, veteran status, or any protected status by local, state, federal or country-specific law."
Technical Project Manager,Technical Project Manager,Brkfst.io,May,2024,"About you: You are very process-oriented and love making sure your team is working as efficiently as possible. You generate user stories and acceptance criteria, and collaborate with developers and designers.
Not stopping there, you contribute to the SDLC with processes and documentation benefiting the entire team. You’re adept with agile development and introducing/adapting frameworks (e.g., Kanban, Scrumban) to the team. When you see a risk, you’re the type of person to loop people in appropriately and take the initiative. You collaborate intelligently, knowing when to spin off a team, or complete a task solo.
Even when you’re brushing your teeth, you’re thinking about the user, continually wondering how the team can provide more value. You’re always asking what the user wants, and thinking about how to provide them what they need. You can demo features and prototypes to users and generate valuable feedback about UX and adaptability.

Responsibilities:
Manage the day-to-day of the development team
Work with our head of product to translate roadmap items into actionable user stories
Ensure QA has access to clear acceptance criteria
Utilize agile development principles and adapt frameworks as needed
Implement and maintain effective project management processes and methodologies
Foster collaboration within the team, intelligently spinning off sub-teams or handling tasks independently when necessary
Actively identify and mitigate project risks, involving relevant stakeholders as needed
Use wireframing and prototyping tools effectively in the design and development process
Help maintain comprehensive documentation for the benefit of the entire team

Must have:
3+ years experience as project manager in a software development team
Proven track record of successfully managing and delivering complex technical projects
Deep knowledge of agile development principles
Understanding of various software release processes
Excellent communication and interpersonal skills
Proficiency in project management software (we use Azure Devops)
Feature design
UX design principles
Prototyping
Wireframing

Nice to have:
Product owner experience
Product marketing
Experience working with QA
SQL
Programming skills
Comfortable with multiple environments and operating systems
Experience with customer feedback and service desks

Our interview process includes, but is not limited to the following:
Excel knowledge and Typing Test

We offer a competitive salary and benefits based on ability level, including:
Base salary DOE
Unlimited vacation policy
Monthly phone/internet and food stipend
Health insurance coverage
Professional Development Program
Hybrid work (Mexico City)
Note. Please submit your resume in English

About Us:
We are Brkfst.io and we connect creators with big brands to make impactful ads at scale. We have a network of thousands of content creators with a variety of different skill-sets, and we’re looking to build a program that empowers them to create great ads for brands like Corkcicle, Perfume.com, Casper Mattresses, & more!
This is a very ambitious project and our roadmap is full of exciting features, so we’re looking for people who love innovation and want to be challenged. We’re a small team of scrappy individuals who are growing fast, and we’re looking for someone to grow with us."
