Position,Company_Name,Location,Post_Month,Post_Year,Details
Analista Inteligencia de Negocio,Analista Inteligencia de Negocio,Aspen Labs Mexico,May,2024,"Aspen busca Talento como:
Analista Inteligencia de Negocio


La posición será responsable de las siguientes funciones:
Responsable del seguimiento de Inteligencia de Mercado.
Análisis de efectividad de la fuerza de ventas.
Identificar necesidades en los equipos Comercial y Fuerza de Ventas.
Diseño de informes automatizados para apoyar la toma de decisiones de la empresa.
Gestión interna del panel de BI.
Gestión de CRM.

La posición requiere sólida experiencia en:
1 año en puesto similar
Experiencia en la industria farmacéutica (indispensable).
Gestión y conocimiento de Auditorías Farmacéuticas (indispensable).
Experiencia relacionada con marketing.
Paquetería Office.
Lic. Marketing o Administrador de Empresas (Titulado).
Inglés intermedio.


Ofrecemos Contratación directa, estabilidad laboral, prestaciones superiores a la ley y beneficios adicionales.

Zona de Trabajo: Naucalpan, Estado de México."
Analista Inteligencia Comercial B2B,Analista Inteligencia Comercial B2B,ENGIE,May,2024,"Energía al servicio de México.

ENGIE es líder mundial en energía y servicios bajos en carbono. Con nuestros 170.000 empleados nuestros clientes, socios y partes interesadas, ENGIE se compromete a acelerar la transición hacia un mundo neutro en carbono, a través de un consumo de energía reducido y soluciones más amigables con el medio ambiente.

En ENGIE México estamos enfrentando los desafíos medioambientales mediante la transformación de nuestro modelo de negocio para dirigirlo hacia una empresa integral de energía de bajas o cero emisiones de C02 en tres sectores clave: Gas Natural, producción de electricidad y servicios de energía y asociados.

ENGIE México emplea a más de 1,000 personas de forma directa. La Compañía ha sido reconocida durante 12 años consecutivos con el distintivo de Empresa Socialmente Responsable, otorgado por el Centro Mexicano para la Filantropía (CEMEFI).

ENGIE México:

25 años de presencia en México.
2.5 millones de mexicanos abastecidos con una de nuestras soluciones energéticas.
20.000 empleos (directos e indirectos).
32% de mujeres en posiciones de liderazgo.
3.42 USD Millones de inversión en México.
1er Comprador Privado de Gas Natural en México.
2º Distribuidor de Gas Natural en México.
10 áreas de distribución de gas natural.
+650.000 clientes en Distribución de Gas Natural en segmento residencial.
4 empresas de transporte de gas natural con +1.300 km de gasoductos.
2 Plantas de Generación de Energía con 280 MW a base de gas natural.
1 GW de energía 100% limpia generada por 2 plantas eólicas y 6 solares.

Analista de Inteligencia Comercial B2B

Ubicación física: CMDX

Objetivo del puesto:

Contribuir en la optimización de las operaciones de las plataformas digitales del proceso Comercial y Marketing para el segmento industrial, brindando apoyo en actividades clave, análisis de datos y desarrollo de indicadores, con el objetivo de elevar el NPS y generar leads calificados.

Responsabilidades:

Administrar de manera integral la información de los clientes en Salesforce, abordar incidencias, actualizar tarifas, generar reportes, asegurando la integridad y confidencialidad de los datos, con el objetivo de mantener actualizada la información de los clientes industriales y facilitar la implementación de estrategias efectivas.

Realizar análisis de datos, tendencias, comportamientos y necesidades tanto de clientes como de prospectos, con el objetivo de respaldar la toma de decisiones estratégicas y detectar oportunidades de negocio relevantes.

Realizar un seguimiento continuo y efectivo de la estrategia de Marketing Digital, optimizando y adaptando las acciones según los resultados obtenidos para la generación de leads.

Realizar un seguimiento efectivo del plan de visitas a clientes industriales, asegurando una gestión eficiente de las interacciones con el objetivo de mejorar las relaciones comerciales.

Elaborar contenido y materiales de venta estratégicos diseñados para acompañar a los clientes en todas las etapas del Customer Journey para incrementar el Net Promoter Score (NPS).

Implementar la estrategia de comunicación del Portal Mi Cuenta Empresa. Esto implica la creación de contenido, así como el seguimiento y análisis de resultados para incentivar la adopción y uso del portal.

Participar de manera integral en la célula de desarrollo de Salesforce, colaborando estrechamente con el equipo para identificar, planificar y ejecutar mejoras continuas en el Portal Mi Cuenta Empresa, con el objetivo de garantizar su funcionalidad óptima y satisfacer las necesidades de nuestros clientes industriales.

Participar de manera integral en la célula de desarrollo de Salesforce, colaborando estrechamente con el equipo para identificar, planificar y ejecutar mejoras continuas en el Portal Mi Cuenta Empresa, con el objetivo de garantizar su funcionalidad óptima y satisfacer las necesidades de nuestros clientes industriales.

“ Para saber su rol y responsabilidad en seguridad, salud y medio ambiente se deberá consultar el reglamento Funciones, Responsabilidades y Autoridad SEGURIDAD-RE-02, adicional, deberá mencionar que el Rol y Responsabilidad dependen del nivel jerárquico (Equipo de Gerencia, Gerentes de Planta/Jefes de Sitio, Empleados y Profesionales de HSSE)Lo anterior deberá de considerarse como enunciativo mas no limitativo

Formación:

Licenciatura en Mercadotecnia

Competencias:

Organización, capacidad analítica, creatividad, proactividad, comunicación efectiva, investigación, eficiencia y empatía.
Idioma inglés

Experiencia:

2 a 4 años

En ENGIE buscamos que te sientas libre de ser lo que eres. Estamos comprometidos con la igualdad de oportunidades y valoramos la diversidad de cada persona. Cuando elegimos nuestro talento, nos enfocamos en las habilidades y la trayectoria profesional. No discriminamos en función de la raza, discapacidad, religión, género, orientación sexual, etnia, credo, edad o estado civil de las personas

Energía al servicio de México.

ENGIE es líder mundial en energía y servicios bajos en carbono. Con nuestros 170.000 empleados nuestros clientes, socios y partes interesadas, ENGIE se compromete a acelerar la transición hacia un mundo neutro en carbono, a través de un consumo de energía reducido y soluciones más amigables con el medio ambiente.

En ENGIE México estamos enfrentando los desafíos medioambientales mediante la transformación de nuestro modelo de negocio para dirigirlo hacia una empresa integral de energía de bajas o cero emisiones de C02 en tres sectores clave: Gas Natural, producción de electricidad y servicios de energía y asociados.

ENGIE México emplea a más de 1,000 personas de forma directa. La Compañía ha sido reconocida durante 12 años consecutivos con el distintivo de Empresa Socialmente Responsable, otorgado por el Centro Mexicano para la Filantropía (CEMEFI).

ENGIE México:

25 años de presencia en México.
2.5 millones de mexicanos abastecidos con una de nuestras soluciones energéticas.
20.000 empleos (directos e indirectos).
32% de mujeres en posiciones de liderazgo.
3.42 USD Millones de inversión en México.
1er Comprador Privado de Gas Natural en México.
2º Distribuidor de Gas Natural en México.
10 áreas de distribución de gas natural.
+650.000 clientes en Distribución de Gas Natural en segmento residencial.
4 empresas de transporte de gas natural con +1.300 km de gasoductos.
2 Plantas de Generación de Energía con 280 MW a base de gas natural.
1 GW de energía 100% limpia generada por 2 plantas eólicas y 6 solares.

Analista de Inteligencia Comercial B2B

Ubicación física: CMDX

Objetivo del puesto:

Contribuir en la optimización de las operaciones de las plataformas digitales del proceso Comercial y Marketing para el segmento industrial, brindando apoyo en actividades clave, análisis de datos y desarrollo de indicadores, con el objetivo de elevar el NPS y generar leads calificados.

Responsabilidades:

Administrar de manera integral la información de los clientes en Salesforce, abordar incidencias, actualizar tarifas, generar reportes, asegurando la integridad y confidencialidad de los datos, con el objetivo de mantener actualizada la información de los clientes industriales y facilitar la implementación de estrategias efectivas.

Realizar análisis de datos, tendencias, comportamientos y necesidades tanto de clientes como de prospectos, con el objetivo de respaldar la toma de decisiones estratégicas y detectar oportunidades de negocio relevantes.

Realizar un seguimiento continuo y efectivo de la estrategia de Marketing Digital, optimizando y adaptando las acciones según los resultados obtenidos para la generación de leads.

Realizar un seguimiento efectivo del plan de visitas a clientes industriales, asegurando una gestión eficiente de las interacciones con el objetivo de mejorar las relaciones comerciales.

Elaborar contenido y materiales de venta estratégicos diseñados para acompañar a los clientes en todas las etapas del Customer Journey para incrementar el Net Promoter Score (NPS).

Implementar la estrategia de comunicación del Portal Mi Cuenta Empresa. Esto implica la creación de contenido, así como el seguimiento y análisis de resultados para incentivar la adopción y uso del portal.

Participar de manera integral en la célula de desarrollo de Salesforce, colaborando estrechamente con el equipo para identificar, planificar y ejecutar mejoras continuas en el Portal Mi Cuenta Empresa, con el objetivo de garantizar su funcionalidad óptima y satisfacer las necesidades de nuestros clientes industriales.

Participar de manera integral en la célula de desarrollo de Salesforce, colaborando estrechamente con el equipo para identificar, planificar y ejecutar mejoras continuas en el Portal Mi Cuenta Empresa, con el objetivo de garantizar su funcionalidad óptima y satisfacer las necesidades de nuestros clientes industriales.

“ Para saber su rol y responsabilidad en seguridad, salud y medio ambiente se deberá consultar el reglamento Funciones, Responsabilidades y Autoridad SEGURIDAD-RE-02, adicional, deberá mencionar que el Rol y Responsabilidad dependen del nivel jerárquico (Equipo de Gerencia, Gerentes de Planta/Jefes de Sitio, Empleados y Profesionales de HSSE)Lo anterior deberá de considerarse como enunciativo mas no limitativo

Formación:

Licenciatura en Mercadotecnia

Competencias:

Organización, capacidad analítica, creatividad, proactividad, comunicación efectiva, investigación, eficiencia y empatía.
Idioma inglés

Experiencia:

2 a 4 años

En ENGIE buscamos que te sientas libre de ser lo que eres. Estamos comprometidos con la igualdad de oportunidades y valoramos la diversidad de cada persona. Cuando elegimos nuestro talento, nos enfocamos en las habilidades y la trayectoria profesional. No discriminamos en función de la raza, discapacidad, religión, género, orientación sexual, etnia, credo, edad o estado civil de las personas"
Business Analyst - (BAN0201-0006),Business Analyst - (BAN0201-0006),Rules Cube,June,2024,"BUSINESS ANALYST (BAN0201-0006)

Estamos buscando un Business Analyst talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

Experiencia mínima de 5 años en sector bancario, específicamente la banca de mercados conocida como Global Banking and Markets, Credit and Rate Markets o Capital Markets
Estar especializado en uno o dos mercados de la banca mayorista pudiendo ser Mercado de Renta Fija, Mercado de Derivados, Mercado de Compra y Venta de Divisas, Mercado de Capitales
Tener conocimiento en los reportes regulatorios del mercado en el que se especializa
Conoce las metodologías Agiles y ha trabajado con ellas (Agile, Safe)
Experiencia en la toma y levantado de requerimientos, creación de documentos funcionales, diagramas en Visio, blueworks u otra herramienta afin así como probada experiencia interactuando con los negocios de la banca
Conocimiento de la CUB, la CUCB y la normatividad de Banco de México
Deseable certificación en: Figuras AMIB, Administración de Proyectos o Business Analyst
Deseable experiencia en desarrollo de software y desarrollo de diseños técnicos
Tiene la capacidad de gestionar y manejar proyecto

Requisitos Indispensables para ser Considerado

Ingles fluido (conversacional y escrito al 90%)
Alta capacidad de análisis funcional
Experiencia en banca de mercados conocida como Global Banking and Markets, especializado en Mercado de Derivados
Experiencia en la toma y levantado de requerimientos, creación de documentos funcionales, diagramas en Visio y levantado de historias en Jira

Requisitos Deseables

Manejo de SQL, levantamiento de queries
Conocimiento de la CUB, la CUCB y la normatividad de Banco de México
Certificación en: Figuras AMIB, Administración de Proyectos o Business Analyst
Experiencia en desarrollo de software y desarrollo de diseños técnicos

Qué te Ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 36,000 – MXN 40,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

PkuUV6jmBP"
Business Analyst (BAN0201-0001),Business Analyst (BAN0201-0001),Rules Cube,May,2024,"Senior Business Analyst

Estamos buscando un Senior Business Analyst talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

5 años de experiencia en el sector bancario
Análisis exhaustivo y detallado de los requerimientos para detectar ambigüedades tempranas
Elaboración de Diseño Funcional, detallando las consideraciones generales del proyecto y los insumos necesarios para su desarrollo final
Diseño formal de casos de uso, garantizando la claridad y detalle de los requisitos solicitados por el usuario
Definición conjunta con el equipo de ejecución de proyecto y usuarios de la solución a nivel funcional de los requerimientos
Colaboración en la generación de historias de usuario junto al Product Owner para garantizar un correcto entendimiento por parte del equipo Scrum
Aseguramiento del cumplimiento de criterios de aceptación en conjunto con el Product Owner y el equipo de pruebas
Excelente compresión de lectura

Requisitos Indispensables para ser Considerado

Experiencia en diseño de casos de uso y procesos
Habilidad en diagramación, modelado y prototipado
Conocimiento en el uso de repositorios de información
Familiaridad con metodologías de proyectos

Requisitos Deseables

Experiencia en sistemas bancarios
Conocimiento de metodologías ágiles, especialmente Scrum
Dominio de herramientas como Jira y Confluence

Qué te ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 30,000 – MXN 40,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

ivVnpAifPH"
Business Analyst,Business Analyst,McCormick & Company,May,2024,"About the company
You may know McCormick as a leader in herbs, spices, seasonings, and condiments – and we’re only getting started. At McCormick, we’re always looking for new people to bring their unique flavor to our team.

McCormick employees – all 14,000 of us across the world – are what makes this company a great place to work.

We are looking to hire a HR Business Analyst

Main purpose of the role:
Ensuring compliance with various employment-related regulations. Is responsible for gathering, analyzing, and reporting HR data to relevant regulatory bodies, helping the organization maintain a strong commitment to legal and ethical practices. This role requires a meticulous attention to detail, a deep understanding of HR regulations, and the ability to communicate complex information effectively.


Description % of Time Spent:
•Data Gathering and Analysis %40
• Regulatory Reporting %30
• Assists Assistant Managers in monthly ad-hoc reporting projects %30


Essential requirements:
Bachelor’s degree in Data scientist, finance, economics, human resources or related.
Experience as Business Analyst or related 1-2 years
Power BI to create dashboards
Experience with reporting.
Able to influence stakeholders at different levels of the organization.

Interpersonal Skills:
Costumer focus
Effective communication
Results driven
Problem solving
Emotional intelligence
Strategic thinking
Business Savvy & Acumen
Attention to detail

What we offer:
The best people deserve the best rewards. In addition to the benefits you’d expect from a global leader, we also offer:
Competitive compensation
Career growth opportunities
Flexibility and Support for Diverse Life Stages and Choices
We prioritize our communities and the planet we share. We are proud to be awarded as a Diversity Inc. Top 50 company for Diversity and have multiple Sustainability awards (ranking #22 in the World and #1 in Food Products)
Wellbeing programs including Physical, Mental and Financial wellness
Benefits above the law.

McCormick and Company is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

As a general policy, McCormick does not offer employment visa sponsorships upon hire or in the future."
Business Analyst,Business Analyst,Persistent Systems,May,2024,"About Position

Are you a sharp Business Analyst with a passion for data and a knack for translating complex financial information into actionable insights? At Persistent Systems, we are looking for a BA who could play a role in bridging the gap between business needs and data-driven solutions. You'll work closely with stakeholders across the capital markets business to identify their analytical requirements, translate those needs into actionable BI strategies, and develope solutions that unlock the power of data to drive informed decision-making.
Role: Business Analyst
Location: Mexico
Experience: 8 to 12 years
Job Type: FTE
What You'll Do

Participate in defining key business questions, translate them into requirements documentation and develop visual data-driven solutions.
Develop reports, thoughtful visualizations, dashboards and KPI scorecards using Microsoft's Power BI and Azure stack.
Perform UX design activities and Power BI navigation features (e.g., bookmarks, drill-throughs) to guide end-users through a data-driven story.
Develop calculations in MS SQL Server with BI Stack, including SSRS and TSQL, Power Query, MDX, PowerBI, and DAX.
Work with our internal customers to manage User Acceptance Testing (UAT) processes.
Power Query and coding fundamentals (ability to use M language to build loops, pull APIs, etc.).
Assist with governance and deployment of Power BI, including administration, content distribution/sharing and training.
Proficient Data Architecture and Modeling experience (Structuring Tables, Attributes, and Relationships [One-to-One, One-to-Many, Many-to-One, Many-to-Many]).
Champion the leading Power BI design methodology and best practices.
Extract data from various data sources; perform exploratory data analysis, cleanse, reshape, and aggregate data.
Evangelize data analytics best practices among peers and stakeholders.
Proactively monitor and evaluate the impact of monthly Power BI releases.
Conduct deep-dive data analysis for business insights and recommendations, including ad hoc analytics for executive-level requests and priorities.
Expertise You'll Bring

8+ Years of experience with Power BI development, visualizations, and deployment.
8+ Years of experience extracting, manipulating, and analyzing data via Dataflows, Datamarts, Dashboards and Apps to suggest actions.
Demonstrated SQL development experience by writing queries and procedures and using functions to create curated data for use in reporting.
Experience creating queries related to boni, cash-break, reports generated incorrectly.
Experience in banking processes such as Payment Messaging, Break records for front office.
Excellent written, verbal and presentation skills.
AWS Cloud and/or Snowflake experience is a plus.
Understand glossaries and terminologies in end-to-end skills within capital markets banking industry sector.
5+ Years of experience documenting business requirements, processes, and workflows.
Advanced level of MS Excel skills with knowledge of functions, macros, and VBA programming is preferred.
Must be detail oriented, and able to work independently and self-prioritize tasks.
Demonstrated experience in working with relational databases: SQL Server (8+ years).
Bachelor's degree in Computer Science, Design, Statistics, or equivalent.
Microsoft Power BI Certification is a plus.
Benefits

Competitive salary and benefits package
Culture focused on talent development with quarterly promotion cycles and company-sponsored higher education and certifications
Opportunity to work with cutting-edge technologies
Employee engagement initiatives such as project parties, flexible work hours, and Long Service awards
Annual health check-ups
Insurance coverage: group term life, personal accident, and Mediclaim hospitalization for self, spouse, two children, and parents
Our company fosters a values-driven and people-centric work environment that enables our employees to:

Accelerate growth, both professionally and personally
Impact the world in powerful, positive ways, using the latest technologies
Enjoy collaborative innovation, with diversity and work-life wellbeing at the core
Unlock global opportunities to work and learn with the industry’s best
Let’s unleash your full potential at Persistent
“Persistent is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind.”"
Business Data Analyst,Business Data Analyst,PepsiCo,May,2024,"Overview

We Are PepsiCo

Join PepsiCo and dare to transform! We are the perfect place for curious people, thinkers and change agents. From leadership to front lines, we're excited about the future and working together to make the world a better place.

Being part of PepsiCo means being part of one of the largest food and beverage companies in the world, with our iconic brands consumed more than a billion times a day in more than 200 countries. PepsiCo Mexico is one of the most significant consumer product companies in the country. Our product portfolio, which includes 22 of the world's most iconic brands, such as Sabritas, Gamesa, Quaker, Pepsi, Gatorade and Sonrics, has been a part of Mexican homes for more than 116 years.

A career at PepsiCo means working in a culture where all people are welcome. Here, you can dare to be you. No matter who you are, where you're from, or who you love, you can always influence the people around you and make a positive impact in the world.

Know a little more: PepsiCoJobs

Join PepsiCo, dare to transform.

Responsibilities

The Opportunity

The Sector IT Asociated Manager has the responsibility of the IT Lead Manager LATAM for Clients & Consumers Insights, as well as Reveniue Management functions for LATAM. This role has ownership and accountability in the relationship between the LATAM Revenue Management Directors/Snr Managers, and Comsumer Insights LATAM VP, and their direct reports. The Snr Analyst should understand these business functions processes, analyze business requirements and define the technology solutions and platforms to fulfill these requirements and processes.

This role will support the business function to create a business case from the technology perspective identifying and consolidating all the IT investments and recurrent cost associated to each solution, including platform cost, infrastructure, security, testing support, etc.

Once the initiative is approved, the Snr Analyst will lead de DevSecOps team (internal and/or External) that will be responsible under an Agile method, to design, configure, develop, test, implement and support the platform solutions (IT products), including RevMan 2.0 & Analytics products, acting as an IT Product Owner and been the final responsible and accountable for from IT perspective of the delivery, security, quality and support of these IT solutions, requiring creative skills, manage and coordinate high performance teams, high level of leadership to coordinate internal and external resources, high quality and innovative business solutions and ensure operational continuity and good communication skills with the ability to interact with both technical teams and functional leaders.

This role includes working directly with Business and IT Leadership teams (Global, Sector and Local) to set strategies and to drive solutions, while communicating direction, status and options.

Your Impact

As Sector IT Sr Analyst your responsibilities would consist of

Partnership with Senior Business sponsors to formulate Business Case goals.
Supports development of Strategic Business Capability Roadmap (i.e., defines the case for change, gains investment approval, identifies pursuit opportunities)
Act as the principal technology advisor to the Business and a champion for identifying, leading and driving information technology transformation for LATAM Insights & Revenue Management teams
Project delivery according to PepsiCo IT methodologies based on Agile or Waterfall approach based on project requirements.
Participate in solution strategy planning and application analytics for Insights & Revenue Management solutions, providing “out of the box” thinking to identify new opportunities to innovate and create lasting capability, ensuring IT Enterprise Architecture alignment.
Design Insights & Revenue Management IT platforms IT solutions to solve Revenue Management, Insigths (CCO & CMO LATAM) requirements
Responsible for the design, develop, configuration, test, relase, technical roll-out and support Insigths & Revenue Management IT solutions for LATAM
Coordinate DevSecOps activities with Global and Local IT teams (including Enterprise Solutions, IT Security, IT S&T, Infrastructure and Operations, Digital & Data, CTO and BU CIOs)
Ensure that Inisghts and Revenue Management IT Solutions/Products complies with PepsiCo security policies and methodology standards
Collaborate with IT and Business leaders in a matrixed organizational structure to provide innovative, quality solutions which exceed business goals and expectations
Lead, coach and partner with Business Analysts (BA) in the collection and definition of business requirements, helping to identify and define critical business processes, guide the solution and high-level wireframe design
Supervise and coordinate project budgets execution, ensuring that the initiatives are aligned and under approved budget
Create SOWs, working with vendor partners, incorporating aligned requirements, PPM Charter Documents and leading respective meetings to ensure understanding and alignment.

Qualifications

Who Are We Looking For?

Bachelor’s Degree in Information Technology, Computer Science, Computer Engeneering or IT areas related
3+ years IT experience in roles of increasing scope and responsibility including eCommerce, Business Relationship Management, Business Analysis, CPG experience preferred
3+ years of experience on projects delivery planning and execution
Experience with insights, data science analytics
Strong analytical skills
Demonstrated ability to effectively communicate with all levels of the organization (for both business functions executives and technical teams)
Ability to manage project risk, ensuring the proper and on time risk assessment and risk mitigation strategies implementation
Demontrated experience and ability to manage project lifecycle documentation (Results, changes, costs, meetings, agreements, problems and resolutions, lessons learned)
Agile experience (SAFe, Scrum Master, Kanban or equivalents)
Experience coordinating on-site and off-shore project resources
Demonstrates the desire and ability to develop new technology skills, business knowledge, and customer service capability through training, experimentation, and self-study
Provides outstanding customer service skills to direct and indirect customers
Ability to prioritize own work under general supervision
Proficient in written & spoken English and Spanish

Tools: Presto, RPA, Azure (Datafactory, blobstorage, databricks, datalake), Python, Rstudio, Kubernetes, Rserver, Tableau, React y Teradata & Virtual Machines

If this is an opportunity that interests you, we encourage you to apply even if you do not meet 100% of the requirements.

What can you expect from us:

Opportunities to learn and develop every day through a wide range of programs.
Internal digital platforms that promote self-learning.
Development programs according to Leadership skills.
Specialized training according to the role.
Learning experiences with internal and external providers.
We love to celebrate success, which is why we have recognition programs for seniority, behavior, leadership, moments of life, among others.
Financial wellness programs that will help you reach your goals in all stages of life.
A flexibility program that will allow you to balance your personal and work life, adapting your working day to your lifestyle.
And because your family is also important to us, they can also enjoy benefits such as our Wellness Line, thousands of Agreements and Discounts, Scholarship programs for your children, Aid Plans for different moments of life, among others.

We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We respect and value diversity as a work force and innovation for the organization."
ANALISTA DE INTELIGENCIA COMERCIAL,ANALISTA DE INTELIGENCIA COMERCIAL,PiSA Farmacéutica,May,2024,"PiSA Farmacéutica es una empresa 100% mexicana, con 79 años de historia, desarrollando productos y servicios integrales para los segmentos de salud pública y privada en México, Estados Unidos, Latinoamérica y el Caribe. El crecimiento en PiSA Farmacéutica ha sido una constante gracias a su capital humano. Contamos con más de 23,000 profesionales y empleados comprometidos a contribuir con la preservación del bien más valioso para todos, nuestra vida. Solicita.

ANALISTA DE INTELIGENCIA COMERCIAL

Actividades

Analizar y compartir información del mercado sobre productos, condiciones comerciales y tendencias para contribuir en las recomendaciones sugeridas para la marca.
Realizar actividades administrativas (iniciativas comerciales, desviaciones, indicadores) que den soporte a la operación y distintas áreas dentro de la marca o negocio.
Apoyar en la elaboración de informes necesarios para el seguimiento de la estrategia comercial en los diferentes clientes, con el objetivo de alcanzar las ventas propuestas y los margenes de rentabilidad esperados.

Experiencia

Áreas de planeación comercial.
Analisís de planeación comercial.
Generación de indicadores.
Industria de consumo Masivo

Conocimientos

Excel Intermedio- avanzado.
Manejo de Herramientas de Inteligencia de negocios (Power BI, Python).
Manejo de SAP (Deseable)

Escolaridad

Lic. áreas económico administrativos, ingenierías o a fin (Carta Pasante, Título o Cédula - INDISPENSABLE).

Otros Requisitos

Disponibilidad de horario.
Disponibilidad para laborar en Torre Niba (Contry Club)

Ofrecemos

Sueldo base.
Seguro Social.
Aguinaldo (Superior).
Prima Vacacional.
Seguro de vida.
Vales de despensa.
Apoyos económicos.
Capacitación.
Herramientas de trabajo.
Oportunidad de crecimiento.
Contratación directa por la empresa.

Los procesos de reclutamiento, evaluación, entrevista, selección y contratación de personal son totalmente GRATUITOS en Grupo PiSA; nadie debe solicitarte pago alguno para participar en nuestros procesos de Reclutamiento y Selección."
Business Analyst,Business Analyst,Kavak.com,May,2024,"Kavak es una marca disruptiva y una compañía que busca cambiar las reglas del juego ofreciendo soluciones a través de la tecnología.

Queremos empoderar a las personas y ofrecerles soluciones en todo lo relacionado a su auto: revolucionamos la compra, cambio, financiamiento y venta de los autos seminuevos.
Nuestra misión es potenciar la vida de las personas a través del acceso a un automóvil. Desbloqueamos el poder transformador que tiene un auto para que las personas puedan simplemente disfrutar del viaje.

""Las personas son el corazón de todo lo que hacemos"".

¿Qué harás?
Identificar, extraer y presentar datos de diferentes fuentes en tableros automatizados para consumo por áreas de negocio/estrategia
Actualizar y desarrollar tableros de visualización de datos
Analizar, comunicar y presentar insights y resultados a stakeholders no técnicos de áreas diversas.
·Creación de modelos y automatizaciones por medio de herramientas de programación.

¿Qué buscamos?
Licenciatura terminada.
Obligatorio conocimiento práctico en tecnologías y software para administración, análisis y presentación de datos: SQL, Excel (nivel desarrollador) y manejo de al menos uno de los siguientes programas: tableau, looker, data studio o power bi.
Al menos 1 año de experiencia en rol similar.
Inglés Intermedio -Avanzado

¿Qué ofrecemos?
Sueldo competitivo.
Prestaciones de ley desde el primer día(IMSS, aguinaldo, vacaciones).
Vacaciones superiores a la ley: 15 días al primero año y 20 días a partir del 2do año.
Seguro de Gastos Médicos Mayores y Seguro de Vida
Caja de ahorro y adelantos de nómina a través de MINU.
Descuento exclusivo en Kavak.
-¡La mejor cultura laboral!


Al aplicar a cualquiera de nuestras vacantes aceptas los Términos & Condiciones y la Política de Privacidad, que encuentras en nuestra pagina web www.kavak.com"
Analista Business Analytics,Analista Business Analytics,Macropay,May,2024,"En Macropay estamos buscando colaboradores innovadores; creativos en evolución constante que nos ayuden marcar la diferencia. Somos una empresa que ha revolucionado la industria retail con una nueva forma de conectar a las personas a través de la venta de celulares a crédito. Ofrecemos diversos productos financieros, de manera eficiente, ágil, cómoda y confiable.

¡Ven a romper límites con nosotros!

Vacante: Analista Business Analytics

Requisitos:
Escolaridad: Ingeniero en informática, en sistemas o licenciatura relacionada / Actuaría, Mercadotecnia, Economía, Finanzas.
Actividades:
Analizar información y monitorear indicadores estratégicos para cada área de Macropay generando modelos y tableros analíticos alineados al Balance Scorecard de la empresa con la finalidad de sustentar la toma de decisión a nivel estratégico, táctico y operativo en el marco de una cultura analítica orientada al negocio
Levantar como 1er contacto el requerimiento basado en la necesidad del cliente interno
Formular análisis solicitados por las diferentes áreas para darle soluciones eficientes a las necesidades
Integrar el análisis en un monto de autogestión para el área robustecer nuestros procesos y democratizar a através del conocimiento la data.
Analítica con modelos, lógica de estadística y probabilidad, conocimiento de Negocio, eficiencia de recursos, creación a través de código

Otros requisitos: SAS: Programación y Macros; SAS Visual Analytics | Excel avanzado (avanzado) | SQL (intermedio)
Haber participado en el desarrollo y ejecución de proyectos estratégicos.

Qué ofrecemos:
•Sueldo base competitivo
•Beneficios superiores: Gastos Médicos Mayores, Seguro de Vida, fondo de ahorro , Vales de Despensa, entre otros.
•Retos constantes y crecimiento profesional."
