Position,Company_Name,Location,Post_Month,Post_Year,Details
Business Analyst (BAN0201-0001),Business Analyst (BAN0201-0001),Rules Cube,May,2024,"Senior Business Analyst

Estamos buscando un Senior Business Analyst talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

5 años de experiencia en el sector bancario
Análisis exhaustivo y detallado de los requerimientos para detectar ambigüedades tempranas
Elaboración de Diseño Funcional, detallando las consideraciones generales del proyecto y los insumos necesarios para su desarrollo final
Diseño formal de casos de uso, garantizando la claridad y detalle de los requisitos solicitados por el usuario
Definición conjunta con el equipo de ejecución de proyecto y usuarios de la solución a nivel funcional de los requerimientos
Colaboración en la generación de historias de usuario junto al Product Owner para garantizar un correcto entendimiento por parte del equipo Scrum
Aseguramiento del cumplimiento de criterios de aceptación en conjunto con el Product Owner y el equipo de pruebas
Excelente compresión de lectura

Requisitos Indispensables para ser Considerado

Experiencia en diseño de casos de uso y procesos
Habilidad en diagramación, modelado y prototipado
Conocimiento en el uso de repositorios de información
Familiaridad con metodologías de proyectos

Requisitos Deseables

Experiencia en sistemas bancarios
Conocimiento de metodologías ágiles, especialmente Scrum
Dominio de herramientas como Jira y Confluence

Qué te ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 30,000 – MXN 40,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

ivVnpAifPH"
Business Analyst,Business Analyst,McCormick & Company,May,2024,"About the company
You may know McCormick as a leader in herbs, spices, seasonings, and condiments – and we’re only getting started. At McCormick, we’re always looking for new people to bring their unique flavor to our team.

McCormick employees – all 14,000 of us across the world – are what makes this company a great place to work.

We are looking to hire a HR Business Analyst

Main purpose of the role:
Ensuring compliance with various employment-related regulations. Is responsible for gathering, analyzing, and reporting HR data to relevant regulatory bodies, helping the organization maintain a strong commitment to legal and ethical practices. This role requires a meticulous attention to detail, a deep understanding of HR regulations, and the ability to communicate complex information effectively.


Description % of Time Spent:
•Data Gathering and Analysis %40
• Regulatory Reporting %30
• Assists Assistant Managers in monthly ad-hoc reporting projects %30


Essential requirements:
Bachelor’s degree in Data scientist, finance, economics, human resources or related.
Experience as Business Analyst or related 1-2 years
Power BI to create dashboards
Experience with reporting.
Able to influence stakeholders at different levels of the organization.

Interpersonal Skills:
Costumer focus
Effective communication
Results driven
Problem solving
Emotional intelligence
Strategic thinking
Business Savvy & Acumen
Attention to detail

What we offer:
The best people deserve the best rewards. In addition to the benefits you’d expect from a global leader, we also offer:
Competitive compensation
Career growth opportunities
Flexibility and Support for Diverse Life Stages and Choices
We prioritize our communities and the planet we share. We are proud to be awarded as a Diversity Inc. Top 50 company for Diversity and have multiple Sustainability awards (ranking #22 in the World and #1 in Food Products)
Wellbeing programs including Physical, Mental and Financial wellness
Benefits above the law.

McCormick and Company is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

As a general policy, McCormick does not offer employment visa sponsorships upon hire or in the future."
Business Analyst,Business Analyst,Tata Consultancy Services,May,2024,"The ideal candidate is a team player who will be responsible for working with company data in various business areas. Specific responsibilities include reporting metrics, analyzing methodologies, suggesting operation improvements, and building proposal evaluations in a cross-functional environment.
Job Details :
Responsibilities

\Security Support Teams
Architecture
Access Management
External Auditor(s)
Track and report data
Build cross-functional partnerships, internally and externally
Manage budgets
Maintain a competitive market knowledge
Required for Contractor role:
years of experience within the cybersecurity domain with a focus on IT audit, risk and compliance.
years of experience working on efforts involving business analysis, process improvement, project delivery (agile, waterfall, kanban), user acceptance testing and organizational change management.
interpersonal, teamwork, and communication skills; ability to rely on experience and judgment to execute role and accomplish goals consistent with enterprise objectives.
candidate will have experience with M365 suite of tools including Teams, SharePoint Site/Lists/Wiki, Power BI, Azure DevOps, Power Automate, Power Apps. Planview experience a plus.
with security and control standards, frameworks, risk management methodologies and international regulatory requirements (e.g. ISO 27001, NIST, GDPR, DORA, etc).
of understanding security policies, controls, standards, and requirements; can articulate how to remediate gaps and communicate to audiences with varied levels of technical understanding.
and willing to perform a variety of tasks to ensure the success of the team and deliverables.
and willing to learn and become proficient in using a variety of systems and security tools.
Role is remote, but candidate will be expected to work Eastern Time with Partners working GMT.
Qualifications

Bachelor's degree or equivalent experience
Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)
Strong written, verbal and collaboration skills"
Business Analyst,Business Analyst,Kavak.com,May,2024,"Kavak es una marca disruptiva y una compañía que busca cambiar las reglas del juego ofreciendo soluciones a través de la tecnología.

Queremos empoderar a las personas y ofrecerles soluciones en todo lo relacionado a su auto: revolucionamos la compra, cambio, financiamiento y venta de los autos seminuevos.
Nuestra misión es potenciar la vida de las personas a través del acceso a un automóvil. Desbloqueamos el poder transformador que tiene un auto para que las personas puedan simplemente disfrutar del viaje.

""Las personas son el corazón de todo lo que hacemos"".

¿Qué harás?
Identificar, extraer y presentar datos de diferentes fuentes en tableros automatizados para consumo por áreas de negocio/estrategia
Actualizar y desarrollar tableros de visualización de datos
Analizar, comunicar y presentar insights y resultados a stakeholders no técnicos de áreas diversas.
·Creación de modelos y automatizaciones por medio de herramientas de programación.

¿Qué buscamos?
Licenciatura terminada.
Obligatorio conocimiento práctico en tecnologías y software para administración, análisis y presentación de datos: SQL, Excel (nivel desarrollador) y manejo de al menos uno de los siguientes programas: tableau, looker, data studio o power bi.
Al menos 1 año de experiencia en rol similar.
Inglés Intermedio -Avanzado

¿Qué ofrecemos?
Sueldo competitivo.
Prestaciones de ley desde el primer día(IMSS, aguinaldo, vacaciones).
Vacaciones superiores a la ley: 15 días al primero año y 20 días a partir del 2do año.
Seguro de Gastos Médicos Mayores y Seguro de Vida
Caja de ahorro y adelantos de nómina a través de MINU.
Descuento exclusivo en Kavak.
-¡La mejor cultura laboral!


Al aplicar a cualquiera de nuestras vacantes aceptas los Términos & Condiciones y la Política de Privacidad, que encuentras en nuestra pagina web www.kavak.com"
Business Analyst,Business Analyst,AstraZeneca,May,2024,"About The AstraZeneca

AstraZeneca is a global, innovation-driven biopharmaceutical business that focuses on the discovery, development, and commercialization of prescription medicines for some of the world's most serious diseases. But we're more than one of the world's leading pharmaceutical companies.

At AstraZeneca, we're proud to have a unique workplace culture that inspires innovation and collaboration. Here, employees are empowered to express diverse perspectives - and are made to feel valued, energized and rewarded for their ideas and creativity.

About The Team

R&D IT’s vision is to deliver the best science IT capabilities in biopharma, which we define as agile, responsive and fit-for-future. Our goal is to engage with our stakeholders as a strategic partner in delivering life-changing medicines to our patients. The desired effect of your role is to take accountability as a leader for delivering a ‘Best in Class’ IT experience within R&D IT.

Delivering the portfolio of projects and services needs people with hybrid skill sets covering technical, analytical, project management, service management and business analysis skills, combined with an excellent knowledge of finance as well as product and portfolio strategy processes. Our Business Analysts contribute to a range of projects including IT development, data management, analytics, AI, machine learning, business transformation and more. Our projects deploy a range of technologies including internal custom build solutions, packaged software, ERP solutions, Software as a Service as well as Cloud based solutions and BI tools.

About The Role

Are you a leader with a growth mindset who possesses expertise in, and passion for, managing portfolios and improving processes? Would you like to apply your expertise to impact a company that follows the science and turns ideas into life changing medicines? If so, AstraZeneca might be the one for you!

The Business Analyst will be an integral part of the development and management of a ‘Best in Class’ Portfolio Governance and Program Management process. They understand the delivery lifecycle, are confident facing business functional areas and possess project management skills such as Finance and Resource Management and Risk/Issue Management. To do this you will be accountable for the following:

The Business Analyst will be accountable for:


Process Optimization
Assess and define stakeholder needs and areas for improvement, within a complex multi layered organization.
Optimize process of requirements management planning including objective prioritization of demands.
Collaborate across R&D IT Stakeholders to develop plans for benefits tracking and realization.
Proactively seek out opportunities and propose solutions to enhance and improve internal R&D IT governance processes in alignment with strategic goals.
Select the appropriate analysis approach for a piece of work. Plan and manage your own and other team member’s activities to meet deliverable requirements and deadlines.
Identify key stakeholders, and actively build relationships according to individual stakeholder needs and levels of influence.
Contribute to communication and change management planning and delivery across R&D IT.




Project Planning & Delivery
Lead the work with stakeholders to identify requirements and translate the requirements into design specifications reflecting Functional Design, User Interface Design and Process Design.
Partner with the Architecture and Engineering teams, ensuring the technical solution will deliver the agreed business benefits.
Analyze and assess solution proposals, providing clear supporting reasoning. (i.e. assessing stakeholder readiness, maximizing value vs. spend).
Respond effectively to changing stakeholder priorities with ability to plan ahead, accounting for potential changes and corrective actions.


Requirements

Essential


Established knowledge of or experience with portfolio governance and/or program management.
Experience with process improvements including: process mapping, operating model design and process optimization.
Proven experience of successfully deploying business analysis tools/techniques to enable business change.
Well-developed organizational, interpersonal, written, and verbal communication skills.
Proven experience of working with complex integrated systems, using creative and strategic thinking to deliver exceptional results.
Strong engagement, communication, and stakeholder management skills, including excellent presentation and influencing skills.
Experience of virtual collaboration to lead, shape and develop innovative solutions.
Demonstrated skills interacting with Senior Leaders.
Excellent relationship management and influencing skills.
Experience working with and managing third party suppliers/vendors.
An entrepreneurial mindset and the proven ability to shape innovative solutions


Desirable


Degree in relevant discipline and/or formal certification in business analysis practice.
Practical usage of Agile Methodology.
Experience of working in a global organization with complex/geographical context.
Exposure to User Centered Design and Design thinking (User Experience, Prototyping, User Interface Design and Business Process Design


📌Strong English Communication Skills Required.

📌 Positions are open to Mexican Citizens and official residents of Mexico.

📍 Location: Guadalajara (hybrid - Expectation of working in the office 3 days a week)

When we put unexpected teams in the same room, we unleash bold thinking with the power to inspire life-changing medicines. In-person working give us the platform we need to connect, work at pace and challenge perceptions. That’s why we work, on average, a minimum of three days per week from the office. But that doesn’t mean we’re not flexible. We balance the expectation of being in the office while respecting individual flexibility.

Why AstraZeneca?

At AstraZeneca when we see an opportunity for change, we seize it and make it happen, because any opportunity no matter how small, can be the start of something big. Delivering life-changing medicines is about being entrepreneurial - finding those moments and recognising their potential. Join us on our journey of building a new kind of organisation to reset expectations of what a bio-pharmaceutical company can be. This means we’re opening new ways to work, pioneering cutting edge methods and bringing unexpected teams together.

Interested? Come and join our journey.

So, what’s next!

Are you already imagining yourself joining our team? Good, because we can’t wait to hear from you.

Where can I find out more?

Our Social Media:

Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/

Follow AstraZeneca on Facebook https://www.facebook.com/astrazenecacareers/

Follow AstraZeneca on Instagram https://www.instagram.com/astrazeneca_careers/?hl=en

AstraZeneca is an equal opportunity employer.

AstraZeneca will consider all qualified applicants for employment without discrimination on grounds of disability, sex or sexual orientation, pregnancy or maternity leave status, race or national or ethnic origin, age, religion or belief, gender identity or re-assignment, marital or civil partnership status, protected veteran status (if applicable) or any other characteristic protected by law. AstraZeneca only employs individuals with the right to work in the country/ies where the role is advertised."
Business Analyst,Business Analyst,Wipro,May,2024,"About Wipro
Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs.
We leverage our holistic portfolio of capabilities in consulting, design, engineering, operations, and emerging technologies to help clients realize their boldest ambitions and build future-ready, sustainable businesses.
A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 250,000 dedicated employees serving clients across 66 countries.
We deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world.
· A PROUD HISTORY OF OVER 75 YEARS
· FY22 REVENUE 10.4 BN USD
· WE’RE PRESENT IN 66 COUNTRIES
· OVER 1,400 ACTIVE GLOBAL CLIENTS

Role
BUSINESS ANALYST

Key Skills
Banking experience
Agile
Advanced English

To Support the Business/Project end to end.
Coordinate with the Business Teams along with the Vendors for project enhancements and ensure the Business Process works smoothly.
Proactively monitor the developments that are brought in to enhance the business Process. Responsible for all the requirements Gathering and preparing of Functional Specification Documents along with being the firsthand reviewer for the Technical Specification Documents.
Responsible for Designing the Future Roadmaps and prioritizing Requirements/Developments after analysis based on Business demands/needs.
Responsible to carry User Acceptance Testing with Business for each newly introduced Process/Development/Assignment.
Responsible for creating JIRA tickets (Epics, User Stories, Defects) and keep updating them based on respective Sprints and Releases.
Responsible for creating Business Process Diagrams, Technical Diagrams, Technical Designs, Architectural Landscapes for Business Process Enhancements.
Responsible for creating the Business Test Scenarios, Test Cases based on test scenarios and QA validation for different projects/assignments. This would also include Regression testing for all existing functionalities.
Location
Hybrid in Mexico City 3 days per week in the Office

Experience
4 yoe as BA in a banking domain

Qualifications
Bachelor's Degree

Wipro offers: Benefits above law, full payroll, constant training, growth opportunity.

Wipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law."
Senior Business Analyst,Senior Business Analyst,Nasdaq,May,2024,"Senior Analyst

Team and Role Overview
The Client Delivery team in CDC Mexico is scaling rapidly due to increased client wins and demands. We are seeking a Regulatory Solutions Consultant with relevant work experience in the capital markets or at a financial software company. You will be part of a team of consultant which will be designing, implementing, and supporting the solution to the Client. You will act as a key player in the successful delivery of client’s solutions.
Responsibilities
Analyzing financial regulatory requirements and their impact on our clients.
Prepare business requirements and specs writing for the functional requirement of the scope of work.
Designing and Developing solutions to the regulation and risk requirements in our proprietary software.
Work creatively with customers and colleagues to deploy high-end maintainable and future proof Regulatory reporting solutions.
Interfacing directly with clients on all levels (PM, BA, Test, Business Users) to understand their unique needs and the structure of their data and information systems to tailor the solution to each specific case.
Project Leadership with the support of the Solution Architect
Support the Delivery Manager during project execution with regular project updates.
Implement Regulatory reporting solutions based on best practices and advise clients on the most suitable solutions as per their needs.
Travel constantly to needed locations to assure the correct implementation of the company software.
Support and train other junior consultants during project execution.
What we value
Experience working with a software vendor as a Solution Designer Role in Regulatory Reporting or Data Analysis within the Financial and or Capital Markets Industry.
Technical
Has a B.S, in technology, accounting, finance, or a similar field.
MBA with a concentration in technology, finance, or accounting is preferred.
SQL skills and experience using query tools such as SQL Developer is a plus
Is proficient in Microsoft Excel and has strong analytical skills.
Functional
Excellent Interpersonal and client-facing skills
At least 5 years of consulting experience and working directly with clients in regulatory requirements.
Excellent Troubleshooting Skills
A proven track record in configuring and implementing Fintech software.
Is an expert with financial statements, accounting, and G/L systems.
Is service-focused and can communicate clearly with client personnel at any level, from technical staff to executive project leadership.
Human
Availability to travel constantly and stay in a certain location for the needed time to complete the implementation process (typically 3 to 12 months)
Strong attention to detail and highly analytical
Business-level English is required.
What we offer
Adenza will give you access to multiple eLearning platforms so you can train yourself on Regulatory Solutions topics, Specific regulatory related topics and more.
You will be involved in a team of professionals were communication, helping each other and knowledge sharing is a key aspect.
You will be in touch with latest technologies, financial knowledge and interact with teams of different profiles.
Certification of our people on the Controller View Platform
Hybrid model work, global team, possibility to work from anywhere a few weeks per year."
Business Analyst - (BAN0201-0006),Business Analyst - (BAN0201-0006),Rules Cube,June,2024,"BUSINESS ANALYST (BAN0201-0006)

Estamos buscando un Business Analyst talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

Experiencia mínima de 5 años en sector bancario, específicamente la banca de mercados conocida como Global Banking and Markets, Credit and Rate Markets o Capital Markets
Estar especializado en uno o dos mercados de la banca mayorista pudiendo ser Mercado de Renta Fija, Mercado de Derivados, Mercado de Compra y Venta de Divisas, Mercado de Capitales
Tener conocimiento en los reportes regulatorios del mercado en el que se especializa
Conoce las metodologías Agiles y ha trabajado con ellas (Agile, Safe)
Experiencia en la toma y levantado de requerimientos, creación de documentos funcionales, diagramas en Visio, blueworks u otra herramienta afin así como probada experiencia interactuando con los negocios de la banca
Conocimiento de la CUB, la CUCB y la normatividad de Banco de México
Deseable certificación en: Figuras AMIB, Administración de Proyectos o Business Analyst
Deseable experiencia en desarrollo de software y desarrollo de diseños técnicos
Tiene la capacidad de gestionar y manejar proyecto

Requisitos Indispensables para ser Considerado

Ingles fluido (conversacional y escrito al 90%)
Alta capacidad de análisis funcional
Experiencia en banca de mercados conocida como Global Banking and Markets, especializado en Mercado de Derivados
Experiencia en la toma y levantado de requerimientos, creación de documentos funcionales, diagramas en Visio y levantado de historias en Jira

Requisitos Deseables

Manejo de SQL, levantamiento de queries
Conocimiento de la CUB, la CUCB y la normatividad de Banco de México
Certificación en: Figuras AMIB, Administración de Proyectos o Business Analyst
Experiencia en desarrollo de software y desarrollo de diseños técnicos

Qué te Ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 36,000 – MXN 40,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

PkuUV6jmBP"
Senior Business Analyst - Mexico,Senior Business Analyst - Mexico,Nubank,June,2024,"About Nubank

Nubank was founded in 2013 to free people from a bureaucratic, slow and inefficient financial system. Since then, through innovative technology and outstanding customer service, the company has been redefining people's relationships with money across Latin America. With operations in Brazil, Mexico, and Colombia, Nubank is today one of the largest digital banking platforms and technology-leading companies in the world.

Today, Nubank is a global company, with offices in São Paulo (Brazil), Mexico City (Mexico), Buenos Aires (Argentina), Bogotá (Colombia), Durham (United States), and Berlin (Germany). It was founded in 2013 in Sao Paulo, by Colombian David Vélez, and cofounded by Brazilian Cristina Junqueira and American Edward Wible. For more information, visit www.nu.com.mx.

Business Analysts at Nubank

As a company at the forefront of the financial revolution in Brazil, Nubank has experienced exponential growth since its inception. To keep your growth path healthy, numerous critical decisions constantly need to be made. Business Analysts are fundamental in the decision process because they must not only be able to deal with large amounts of information and data, but also always think of ways to improve our clients' experience.

It is BA's responsibility to structure the data, analyze it and use the results to test different solutions with the aim of improving Nubank's efficiency.

We are looking for people who are independent and who are not afraid to take the initiative to identify and solve problems that are not necessarily obvious.

You can read more about it in our blog and get some insights into how we work.

As a Business Analyst, You’re Expected To

Do a lot of investigative work, focused on deciding which data makes the most sense to use in which situation. If you don't have the data, it's your job to think about what tests can be done or how to extract the information you need to answer your questions;
Support your team in making data-based decisions by monitoring analyzes and decisions, ensuring the flow of projects and making the process of taking risks comfortable despite the uncertainties;
Learning how to work with a large volume of data to build a solid foundation for decision making with calculated risks - even knowing that not all the answers are in the data and/or that not all the data you would like is available;Use tools like SQL, Python and Scala - taught during your first weeks with us - for data extraction;
Understand our products and interactions with other areas;
Take advantage of opportunities to grow and learn from a well-prepared and highly qualified team;
Opportunity to work in a complex, dynamic and diverse environment, participating in projects that will impact a large number of clients.

What are we looking for?

Analytical capacity: ease with numbers and calculations, having the ability to solve problems mathematically;
Business basics: dynamics between risks and opportunities, as well as interaction between business areas and technical areas (products/engineering);
Problem solving: ease and creativity to seek solutions to day-to-day challenges and achieve the best results;
Ability to understand how your decisions and work impact our customers' experience, seeking results that align with our purpose;
Willingness and ease of learning, especially for tools;
Openness to receive feedback and incorporate it into your daily life and development;
Adaptability to the multifunctional environment;
Profiles that add value to Nubank's culture.

Core Benefits

Chance of earning equity at Nubank
Extended maternity and paternity leaves
Health and life insurance
NuCare - Our mental health and wellness assistance program
Nucleo - Our learning platform of courses
NuLanguage - Our language learning program
Vacations of 17 workdays
Gym partnership

Role Location

Mexico City, MX

Our Nu Way of Working

Our work model is hybrid and has cycles that can be from two to three months according to the business of expertise. For every eight or twelve weeks of remote work, one will be at the office.

Diversity & Inclusion

At Nubank, we want to be sure that we're building a more diverse and inclusive workplace that reflects the customers we serve and seek to empower. That's why we hire based on equality. We consider gender, ethnicity, race, religion, sexual orientation, and other identity markers as enriching elements to our company while ensuring neither of them represent a barrier when recruiting fantastic talent."
Business Analyst | Operations,Business Analyst | Operations,Kavak.com,May,2024,"Kavak es una marca disruptiva y una compañía que busca cambiar las reglas del juego ofreciendo soluciones a través de la tecnología.
Nuestra misión es potenciar la vida de las personas a través del acceso a un automóvil. Desbloqueamos el poder transformador que tiene un auto para que las personas puedan simplemente disfrutar del viaje.

""Las personas son el corazón de todo lo que hacemos"".

¡Únete a nosotros como Business Analyst | Operations - CDMX, Reforma!

¿Qué vas a hacer?

Identificar oportunidades de mejora en todas las áreas de operaciones mediante el análisis de datos, discusión con stakeholders y presentación de insights claros. Buscamos una persona con una mente analítica, capaz de convertir datos en acciones concretas del negocio.

Elaborar análisis de datos exhaustivos para identificar oportunidades de mejora en el área de Operaciones.
Utilizar herramientas analíticas como SQL, Excel y Tableau para generar consultas y análisis de datos que generen insights e impulsen la toma de decisiones.
Desarrollar y mantener dashboards efectivos en Excel y Tableau para realizar seguimiento de métricas clave de desempeño.
Crear y mantener dashboards que permitan realizar un seguimiento continuo del desempeño comercial.
Colaborar con equipos multifuncionales para comprender los desafíos operativos y proponer soluciones basadas en datos.
Preparar análisis y presentaciones ejecutivas para comunicar hallazgos y recomendaciones a la alta dirección.

¿Qué buscamos?
Licenciatura concluida.
2 a 3 años de experiencia mínima en la extracción de datos y análisis de la información para recomendaciones a los stakeholders.
SQL (consultas y programación)
Excel avanzado, Tableau.
Pensamiento altamente analítico.
Proactivo.

¿Qué ofrecemos?
Sueldo competitivo.
Desarrollo personal y profesional.
Prestaciones de ley y superiores.
Seguro de Gastos Médicos Mayores.
Vales de despensa.
Seguro de Vida.
Vacaciones superiores a las de la ley.
¡La mejor cultura laboral!

Este rol es primordial para el crecimiento de KAVAK en esta etapa de innovación, consolidación y expansión.
Al aplicar a cualquiera de nuestras vacantes aceptas los Términos & Condiciones y la Política de Privacidad, que encuentras en nuestra pagina web www.kavak.com"
