Position,Company_Name,Location,Post_Month,Post_Year,Details
Business Analyst,Business Analyst,McCormick & Company,May,2024,"About the company
You may know McCormick as a leader in herbs, spices, seasonings, and condiments – and we’re only getting started. At McCormick, we’re always looking for new people to bring their unique flavor to our team.

McCormick employees – all 14,000 of us across the world – are what makes this company a great place to work.

We are looking to hire a HR Business Analyst

Main purpose of the role:
Ensuring compliance with various employment-related regulations. Is responsible for gathering, analyzing, and reporting HR data to relevant regulatory bodies, helping the organization maintain a strong commitment to legal and ethical practices. This role requires a meticulous attention to detail, a deep understanding of HR regulations, and the ability to communicate complex information effectively.


Description % of Time Spent:
•Data Gathering and Analysis %40
• Regulatory Reporting %30
• Assists Assistant Managers in monthly ad-hoc reporting projects %30


Essential requirements:
Bachelor’s degree in Data scientist, finance, economics, human resources or related.
Experience as Business Analyst or related 1-2 years
Power BI to create dashboards
Experience with reporting.
Able to influence stakeholders at different levels of the organization.

Interpersonal Skills:
Costumer focus
Effective communication
Results driven
Problem solving
Emotional intelligence
Strategic thinking
Business Savvy & Acumen
Attention to detail

What we offer:
The best people deserve the best rewards. In addition to the benefits you’d expect from a global leader, we also offer:
Competitive compensation
Career growth opportunities
Flexibility and Support for Diverse Life Stages and Choices
We prioritize our communities and the planet we share. We are proud to be awarded as a Diversity Inc. Top 50 company for Diversity and have multiple Sustainability awards (ranking #22 in the World and #1 in Food Products)
Wellbeing programs including Physical, Mental and Financial wellness
Benefits above the law.

McCormick and Company is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

As a general policy, McCormick does not offer employment visa sponsorships upon hire or in the future."
Business Analyst,Business Analyst,Stori,May,2024,"About Stori

Stori is a fast-growing, venture-backed financial technology company, on a mission to democratize credit access for 400 million underbanked LatAm consumers. Stori currently operates in Mexico and has a global team with offices in Arlington Virginia, Mexico City, and Asia. We have quickly made our mark as one of the top digital banks in Mexico with more than two million applicants for our credit card product since launching.

Stori is one of the top-funded startups in the region with US$250 million raised to date. We are backed by top global venture capital funds, such as GGV Capital, GIC, Lightspeed Venture Partners, General Catalyst, Goodwater Capital, Mexico's Tresalia Capital, Vision Plus Capital, BAI Capital and Source Code Capital; who have successfully invested in startups such as Affirm, Airbnb, Alibaba, Stripe, and TikTok.

Stori has a standout founder team among fintechs, leveraging 100+ years of accumulated experience in consumer finance, banking and technology across Mastercard, Intel, Capital One, Morgan Stanley, GE Capital, and HSBC in the U.S., Mexico and Asia. The team has launched and managed many multi-million-customer credit card products globally, providing a wide breadth of experience and knowledge to our team.

We welcome diversity of background, experience and thinking. Storians are passionate about our mission and take pride in the products we build. Our culture thrives off of a flat structure and an inclusive environment where all of our employees can be their authentic selves, with boundless opportunities for professional growth.

You will

Drive customer and business understanding through A/B testing, statistical modelling, and data visualization
Evaluate business performance by setting & monitoring KPIs across the company
Automate data-driven processes to free up time to think about how to drive more value
Work cross-functionally with other verticals like Product, Customer Insights, or Operations to drive strategic recommendations and optimize Stori's performance; rotate through these verticals to gain a holistic view of the business.

Requirements

A Bachelor's degree in Economics, Computer Science, or other quantitative discipline
1+ of Business Analysis experience required
1+ years in change management / project / automation / digital transformation
Using analytical and problem-solving skills
Fluency in English
An analyst who loves digging into large data sets and proactively improving their skillset - our analysts primarily work in SQL & Python.
Someone who is self-motivated, driven, and independent - willing to tackle a problem head-on
A team player who knows how to communicate effectively and optimize for the entire company
Working effectively and delivering at pace within a remote team

What we offer

Make a positive impact on the lives of our customers via financial inclusion
Professional development opportunities
International exposure & work experience
Company swag
Legally required benefits"
Business Analyst (BAN0201-0001),Business Analyst (BAN0201-0001),Rules Cube,May,2024,"Senior Business Analyst

Estamos buscando un Senior Business Analyst talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

5 años de experiencia en el sector bancario
Análisis exhaustivo y detallado de los requerimientos para detectar ambigüedades tempranas
Elaboración de Diseño Funcional, detallando las consideraciones generales del proyecto y los insumos necesarios para su desarrollo final
Diseño formal de casos de uso, garantizando la claridad y detalle de los requisitos solicitados por el usuario
Definición conjunta con el equipo de ejecución de proyecto y usuarios de la solución a nivel funcional de los requerimientos
Colaboración en la generación de historias de usuario junto al Product Owner para garantizar un correcto entendimiento por parte del equipo Scrum
Aseguramiento del cumplimiento de criterios de aceptación en conjunto con el Product Owner y el equipo de pruebas
Excelente compresión de lectura

Requisitos Indispensables para ser Considerado

Experiencia en diseño de casos de uso y procesos
Habilidad en diagramación, modelado y prototipado
Conocimiento en el uso de repositorios de información
Familiaridad con metodologías de proyectos

Requisitos Deseables

Experiencia en sistemas bancarios
Conocimiento de metodologías ágiles, especialmente Scrum
Dominio de herramientas como Jira y Confluence

Qué te ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 30,000 – MXN 40,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

ivVnpAifPH"
Business Analytics Analyst,Business Analytics Analyst,Citibanamex,May,2024,"Team/Function Overview:

Use Cases is a cross-sectional area within Data and Analytics dedicated to high impact projects that are a priority for the business. Based on cross-functional teams (with Product, Segment, Risk, Behavioral Economics, etc.) we analyze, design and implement new strategies through an Agile methodology, characterized by flexible self-organized teams, with constant delivery of results.

Key Responsibilities:

Work together with other areas of the Bank (Product, Segment, Risk, Behavioral Economics, etc.) in order to design and implement new strategies within GCB.
Identify high impact opportunities and propose strategies that will translate into portfolio growth and incremental revenues, through statistical techniques and models.
Data analysis from various sources/categories (demographic, financial, Credit Bureau, transactional, social media, etc).
Development of analytical tools which will help us to have a better understanding of our customers and the market.
Valuation and tracking of key initiatives.

Qualifications:

0-2 years relevant experience
Have the ability to retrieve and manipulation data
Possess analytic ability and problem solving skills
Working experience in a quantitative field
Excellent communication and interpersonal skills, be organized, detail oriented, and adaptive to matrix work environment
Ability to build partnerships with cross-functional teams

Skills/Competencies:

Strong analytical skills
Ability to translate numbers into actionable strategies
Skills and interest in programming and statistical analysis (experience with SAS, SQL, R and/or Python - desirable)
Experience in data mining and predictive modeling – desirable
Self-organized, collaborative, proactive and creative
Negotiation, leadership and communication (storytelling and data visualization) skills are highly valued

Education:

Bachelors/University degree or equivalent experience

This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.

Use Cases is a cross-sectional area within Data and Analytics dedicated to high impact projects that are a priority for the business. Based on cross-functional teams (with Product, Segment, Risk, Behavioral Economics, etc.) we analyze, design and implement new strategies through an Agile methodology, characterized by flexible self-organized teams, with constant delivery of results.

Key Responsibilities:

Work together with other areas of the Bank (Product, Segment, Risk, Behavioral Economics, etc.) in order to design and implement new strategies within GCB.
Identify high impact opportunities and propose strategies that will translate into portfolio growth and incremental revenues, through statistical techniques and models.
Data analysis from various sources/categories (demographic, financial, Credit Bureau, transactional, social media, etc).
Development of analytical tools which will help us to have a better understanding of our customers and the market.
Valuation and tracking of key initiatives.

Requirements/Qualifications:

Bachelor in Actuarial Science, Mathematics, Engineering, Economics or related (could be in the last semester).
No professional experience is required.
English level: at least 70%

Skills/Competencies:

Strong analytical skills
Ability to translate numbers into actionable strategies
Skills and interest in programming and statistical analysis (experience with SAS, SQL, R and/or Python - desirable)
Experience in data mining and predictive modeling – desirable
Self-organized, collaborative, proactive and creative
Negotiation, leadership and communication (storytelling and data visualization) skills are highly valued

------------------------------------------------------

Job Family Group:

Decision Management

------------------------------------------------------

Job Family:

Specialized Analytics (Data Science/Computational Statistics)

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
Business Analyst,Business Analyst,Stori,December,2023,"About Stori

Stori is a fast-growing, venture-backed financial technology company, on a mission to democratize credit access for 400 million underbanked LatAm consumers. Stori currently operates in Mexico and has a global team with offices in Arlington Virginia, Mexico City, and Asia. We have quickly made our mark as one of the top digital banks in Mexico with more than two million applicants for our credit card product since launching.

Stori is one of the top-funded startups in the region with US$250 million raised to date. We are backed by top global venture capital funds, such as GGV Capital, GIC, Lightspeed Venture Partners, General Catalyst, Goodwater Capital, Mexico's Tresalia Capital, Vision Plus Capital, BAI Capital and Source Code Capital; who have successfully invested in startups such as Affirm, Airbnb, Alibaba, Stripe, and TikTok.

Stori has a standout founder team among fintechs, leveraging 100+ years of accumulated experience in consumer finance, banking and technology across Mastercard, Intel, Capital One, Morgan Stanley, GE Capital, and HSBC in the U.S., Mexico and Asia. The team has launched and managed many multi-million-customer credit card products globally, providing a wide breadth of experience and knowledge to our team.

We welcome diversity of background, experience and thinking. Storians are passionate about our mission and take pride in the products we build. Our culture thrives off of a flat structure and an inclusive environment where all of our employees can be their authentic selves, with boundless opportunities for professional growth.

You will

Drive customer and business understanding through A/B testing, statistical modelling, and data visualization
Evaluate business performance by setting & monitoring KPIs across the company
Automate data-driven processes to free up time to think about how to drive more value
Work cross-functionally with other verticals like Product, Customer Insights, or Operations to drive strategic recommendations and optimize Stori's performance; rotate through these verticals to gain a holistic view of the business.

Requirements

A Bachelor's degree in Economics, Computer Science, or other quantitative discipline
1+ of Business Analysis experience required
1+ years in change management / project / automation / digital transformation
Using analytical and problem-solving skills
Fluency in English
An analyst who loves digging into large data sets and proactively improving their skillset - our analysts primarily work in SQL & Python.
Someone who is self-motivated, driven, and independent - willing to tackle a problem head-on
A team player who knows how to communicate effectively and optimize for the entire company
Working effectively and delivering at pace within a remote team

What we offer

Make a positive impact on the lives of our customers via financial inclusion
Professional development opportunities
International exposure & work experience
Company swag
Legally required benefits"
Business Analyst,Business Analyst,Stori,May,2024,"About Stori

Stori is a fast-growing, venture-backed financial technology company, on a mission to democratize credit access for 400 million underbanked LatAm consumers. Stori currently operates in Mexico and has a global team with offices in Arlington Virginia, Mexico City, and Asia. We have quickly made our mark as one of the top digital banks in Mexico with more than two million applicants for our credit card product since launching.

Stori is one of the top-funded startups in the region with US$250 million raised to date. We are backed by top global venture capital funds, such as GGV Capital, GIC, Lightspeed Venture Partners, General Catalyst, Goodwater Capital, Mexico's Tresalia Capital, Vision Plus Capital, BAI Capital and Source Code Capital; who have successfully invested in startups such as Affirm, Airbnb, Alibaba, Stripe, and TikTok.

Stori has a standout founder team among fintechs, leveraging 100+ years of accumulated experience in consumer finance, banking and technology across Mastercard, Intel, Capital One, Morgan Stanley, GE Capital, and HSBC in the U.S., Mexico and Asia. The team has launched and managed many multi-million-customer credit card products globally, providing a wide breadth of experience and knowledge to our team.

We welcome diversity of background, experience and thinking. Storians are passionate about our mission and take pride in the products we build. Our culture thrives off of a flat structure and an inclusive environment where all of our employees can be their authentic selves, with boundless opportunities for professional growth.

You will

Drive customer and business understanding through A/B testing, statistical modelling, and data visualization
Own and manage account valuations model to optimize underwriting for profitability and other constraints
Evaluate business performance by setting & monitoring KPIs across the company
Automate data-driven processes to free up time to think about how to drive more value
Work cross-functionally with other verticals like Product, Customer Insights, or Operations to drive strategic recommendations and optimize Stori's performance; rotate through these verticals to gain a holistic view of the business.

Requirements

Bachelor's degree in Economics, Computer Science, Engineering, or other quantitative discipline
+2 years of experience
Fluency in English
An analyst who loves digging into large data sets and proactively improving their skillset - our analysts primarily work in SQL & Python, but an understanding of programming and data structures in any language can get you started
Someone who is self-motivated, driven, and independent - willing to tackle a problem head-on
A team player who knows how to communicate effectively and optimize for the entire company

What we offer

Make a positive impact on the lives of our customers via financial inclusion
Professional development opportunities
International exposure & work experience
Company swag
Legally required benefits"
Business Analyst,Business Analyst,Tata Consultancy Services,May,2024,"The ideal candidate is a team player who will be responsible for working with company data in various business areas. Specific responsibilities include reporting metrics, analyzing methodologies, suggesting operation improvements, and building proposal evaluations in a cross-functional environment.
Job Details :
Responsibilities

\Security Support Teams
Architecture
Access Management
External Auditor(s)
Track and report data
Build cross-functional partnerships, internally and externally
Manage budgets
Maintain a competitive market knowledge
Required for Contractor role:
years of experience within the cybersecurity domain with a focus on IT audit, risk and compliance.
years of experience working on efforts involving business analysis, process improvement, project delivery (agile, waterfall, kanban), user acceptance testing and organizational change management.
interpersonal, teamwork, and communication skills; ability to rely on experience and judgment to execute role and accomplish goals consistent with enterprise objectives.
candidate will have experience with M365 suite of tools including Teams, SharePoint Site/Lists/Wiki, Power BI, Azure DevOps, Power Automate, Power Apps. Planview experience a plus.
with security and control standards, frameworks, risk management methodologies and international regulatory requirements (e.g. ISO 27001, NIST, GDPR, DORA, etc).
of understanding security policies, controls, standards, and requirements; can articulate how to remediate gaps and communicate to audiences with varied levels of technical understanding.
and willing to perform a variety of tasks to ensure the success of the team and deliverables.
and willing to learn and become proficient in using a variety of systems and security tools.
Role is remote, but candidate will be expected to work Eastern Time with Partners working GMT.
Qualifications

Bachelor's degree or equivalent experience
Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)
Strong written, verbal and collaboration skills"
Business Analyst Manager,Business Analyst Manager,Stori,May,2024,"About Stori

Stori is a fast-growing, venture-backed financial technology company, on a mission to democratize credit access for 400 million underbanked LatAm consumers. Stori currently operates in Mexico and has a global team with offices in Arlington Virginia, Mexico City, and Asia. We have quickly made our mark as one of the top digital banks in Mexico with more than two million applicants for our credit card product since launching.

Stori is one of the top-funded startups in the region with US$250 million raised to date. We are backed by top global venture capital funds, such as GGV Capital, GIC, Lightspeed Venture Partners, General Catalyst, Goodwater Capital, Mexico's Tresalia Capital, Vision Plus Capital, BAI Capital and Source Code Capital; who have successfully invested in startups such as Affirm, Airbnb, Alibaba, Stripe, and TikTok.

Stori has a standout founder team among fintechs, leveraging 100+ years of accumulated experience in consumer finance, banking and technology across Mastercard, Intel, Capital One, Morgan Stanley, GE Capital, and HSBC in the U.S., Mexico and Asia. The team has launched and managed many multi-million-customer credit card products globally, providing a wide breadth of experience and knowledge to our team.

We welcome diversity of background, experience and thinking. Storians are passionate about our mission and take pride in the products we build. Our culture thrives off of a flat structure and an inclusive environment where all of our employees can be their authentic selves, with boundless opportunities for professional growth.

The Role

As a Manager on the Business Analytics team, you will drive a deeper understanding of the value and dynamics of Stori's customer experience. This role sits at the intersection between Marketing, Product, Credit, & Data Science to evaluate how different digital product experiences can influence customer outcomes and value generation, which will guide Stori's product design and development. You will be called on by the highest level of leadership to leverage your expertise to evaluate potential initiatives and influence overall strategic direction. This role reports to the Director of Business Analytics and a high-performer will be encouraged to build out a team of analysts to support their initiatives as the company's valuation needs increase in number & complexity,

You will

Own Stori's customer acquisition strategy, to drive business growth.
Lead Stori's customer acquisition experience insights generation, to discover opportunities in the product experience and propose improvements.
Understand how key product experiences and communications influence customers' product usage behaviors, and how they impact the economics and resilience of the portfolio
Drive the testing agenda to validate assumptions and continually improve product experience
Work directly with the Head of Product to set OKRs, propose agenda, and drive delivery

Requirements:

4+ years of work experience in a data-centric or business modeling roles (likely product, credit, consulting, or banking but we are open to other relevant work experience)
Bachelor's degree in Economics, Engineering, Math, or other quantitative discipline
Experience in marketing analytics, product analytics, A/B testing
Expert in SQL with proficiency in Python or another scripting language, with the interest and initiative to learn relevant new technologies
Someone who is self-motivated, driven, and willing to tackle a problem head-on
A team player who knows how to communicate effectively, collaborate cross-functionally, and optimize for the entire company

What we offer

Make a positive impact on the lives of our customers via financial inclusion
Professional development opportunities
International exposure & work experience
Company swag
Legally required benefits"
Direct Business Consultant - Lubricants,Direct Business Consultant - Lubricants,Chevron,May,2024,"Total Number of Openings

1

Promotes and sells Chevron's products.

Supports major customers/clients and leads projects of medium scope and complexity under limited supervision. Detailed knowledge of most aspects of the work function.

Job Summary: We are seeking a dynamic and experienced Business Consultant for Direct Accounts for our Lubricants business. The ideal candidate will have a proven track record of delivering strategic business insights and actionable recommendations to drive business growth and operational efficiency.

Key Responsibilities

Conduct comprehensive market analysis to identify trends, opportunities, and threats.
Collaborate with clients to understand their business objectives and challenges.
Develop and present clear, insightful, and actionable strategic plans.
Facilitate workshops and training sessions to implement best practices.
Analyze financial data to identify areas for cost reduction and revenue enhancement.
Provide guidance on organizational change management and process improvement.
Build and maintain strong client relationships, ensuring high levels of satisfaction.
Stay abreast of industry developments and incorporate new techniques into client solutions.

Qualifications

Bachelor’s degree in business administration, Management, Chemical Engineer, Industrial Engineer or a related field. Master’s degree preferred.
Minimum of 7 years of experience in business consulting or a similar role.
Strong analytical and problem-solving skills.
Excellent communication and presentation abilities.
Proficiency in Spanish and English.
Ability to work collaboratively in a team environment.
Willingness to travel as required by client engagements.
Key Account Management experience.
Strategic perspective and business development experience.

Chevron participates in E-Verify in certain locations as required by law."
Business Analyst Manager,Business Analyst Manager,Stori,May,2024,"About Stori

Stori is a fast-growing, venture-backed financial technology company, on a mission to democratize credit access for 400 million underbanked LatAm consumers. Stori currently operates in Mexico and has a global team with offices in Arlington Virginia, Mexico City, and Asia. We have quickly made our mark as one of the top digital banks in Mexico with more than two million applicants for our credit card product since launching.

Stori is one of the top-funded startups in the region with US$250 million raised to date. We are backed by top global venture capital funds, such as GGV Capital, GIC, Lightspeed Venture Partners, General Catalyst, Goodwater Capital, Mexico's Tresalia Capital, Vision Plus Capital, BAI Capital and Source Code Capital; who have successfully invested in startups such as Affirm, Airbnb, Alibaba, Stripe, and TikTok.

Stori has a standout founder team among fintechs, leveraging 100+ years of accumulated experience in consumer finance, banking and technology across Mastercard, Intel, Capital One, Morgan Stanley, GE Capital, and HSBC in the U.S., Mexico and Asia. The team has launched and managed many multi-million-customer credit card products globally, providing a wide breadth of experience and knowledge to our team.

We welcome diversity of background, experience and thinking. Storians are passionate about our mission and take pride in the products we build. Our culture thrives off of a flat structure and an inclusive environment where all of our employees can be their authentic selves, with boundless opportunities for professional growth.

The Role

As a Manager on the Business Analytics team, you will drive a deeper understanding of the value and dynamics of Stori's customer experience. This role sits at the intersection between Marketing, Product, Credit, & Data Science to evaluate how different digital product experiences can influence customer outcomes and value generation, which will guide Stori's product design and development. You will be called on by the highest level of leadership to leverage your expertise to evaluate potential initiatives and influence overall strategic direction. This role reports to the Director of Business Analytics and a high-performer will be encouraged to build out a team of analysts to support their initiatives as the company's valuation needs increase in number & complexity,

You will

Own Stori's customer acquisition strategy, to drive business growth.
Lead Stori's customer acquisition experience insights generation, to discover opportunities in the product experience and propose improvements.
Understand how key product experiences and communications influence customers' product usage behaviors, and how they impact the economics and resilience of the portfolio
Drive the testing agenda to validate assumptions and continually improve product experience
Work directly with the Head of Product to set OKRs, propose agenda, and drive delivery

Requirements:

4+ years of work experience in a data-centric or business modeling roles (likely product, credit, consulting, or banking but we are open to other relevant work experience)
Bachelor's degree in Economics, Engineering, Math, or other quantitative discipline
Experience in marketing analytics, product analytics, A/B testing
Expert in SQL with proficiency in Python or another scripting language, with the interest and initiative to learn relevant new technologies
Someone who is self-motivated, driven, and willing to tackle a problem head-on
A team player who knows how to communicate effectively, collaborate cross-functionally, and optimize for the entire company

What we offer

Make a positive impact on the lives of our customers via financial inclusion
Professional development opportunities
International exposure & work experience
Company swag
Legally required benefits"
