Position,Company_Name,Location,Post_Month,Post_Year,Details
Change Management Consultant,Change Management Consultant,TELUS International,May,2024,"Change Management Lead
As a Change Management Lead, you contribute to supporting the change management strategy, planning, implementation, training, design thinking, and workshop facilitation expertise to the talent growth initiatives within the company. You support the creation of the change management approach and oversee its successful execution in partnership with the participating stakeholders. You enable global teams to come together to share their learning and development business needs and best practices.

Like a project manager, a change management lead ensures that projects and initiatives meet their objectives in scope, timeline, and budget. Yet, while a project manager focuses on the “technical side of change” by designing and delivering the solution itself, the change management lead focuses on the “people side of change” by enabling the organization’s people to adopt and use it in their daily work.

An effective change management lead drives faster adoption, increases ultimate utilization rates, and improves user proficiency with project changes. In turn, these enhancements increase benefits to the organization, maximize return on investment, and enable the organization to achieve the results and outcomes desired from the project by also driving the sustainment of the change we want to implement.

Main Responsibilities:
Craft the vision and plan for change management in partnership with relevant stakeholders for company-wide strategic projects.
Understands the details of the change and the impact on people
Create and implement change management strategies and plans through ADKAR change management methodology
Overcome individual barriers to change that may manifest as change-resistant behaviors
Coach and support others in the organization to execute their unique roles during change
Partner with global learning and talent development teams to support the knowledge part of change
Identify and communicate change impacts, stakeholders, and scope
Establish change-success measures, metrics, and monitoring
Requirements & Knowledge:
Schedule flexibility - Required
English - High B2/C1
Oral and written comprehension.
Appropriate use of language.
Strong workshop facilitation skills
Strong stakeholder management skills
Project management - various methodologies (Agile, Waterfall, etc)
Change management methodologies and tools (ADKAR)
Focusing on customers, knowing my organization, managing self-development, giving support


Studies & Experience:
Bachelor's degree in Business, Organizational Psychology, Pedagogy or related field
2+ years of experience in change management
Global experience is a plus
2+ years of experience in agile project management
Prosci - Change Management Certification - Desirable


Equal Opportunity Employer
At TELUS International, we are proud to be an equal-opportunity employer and are committed to creating a diverse and inclusive workplace. All aspects of employment, including the decision to hire and promote, are based on applicants’ qualifications, merits, competence, and performance without regard to any characteristic related to diversity."
Consultor Sr. Change management,Consultor Sr. Change management,Dialogus Consultores,May,2024,"En Dialogus nos encontramos en búsqueda de Talento, somos una consultora de negocios apasionada por transformar a nuestros clientes y lograr su permanencia en el mercado a partir de la inclusión financiera.

Actividades:

Ejecutar las actividades necesarias para acompañar a los clientes en las fases del modelo de Change & Culture Evolution de Dialogus que se han definido como movilizadoras de la transformación requerida.

Coordinación y ejecución logística de encuestas de pulso.

Apoyo en la coordinación logística y ejecución de Talleres y encuentros.

Responder por la documentación de hallazgos de sesiones con cliente.

Documentar los procesos de cada una de las fases del Modelo de CCE.

Co-crear con el equipo las acciones para detonar los movilizadores culturales de los clientes.

Generar reportes y presentaciones de avances.

Administrar tableros colaborativos del equipo.

Coordinación y apliación de instrumentos de diagnóstico cultural.

Construcción de parrilla de comunicación, coordinación y/o elaboración de artes.

Construcción y aplicación de matriz de impactos.

Construcción de KPI's de evolución del cambio en proyectos y/o procesos.

Diseño instruccional y facilitación de entrenamientos.

Gestionar procesos administrativos de Dialogus para la Gerencia.

Requisitos:

Conocimientos:

Licenciatura Comunicación, Diseñador, Ingeniero, Sociólogo o Antropólogo con Certificaciones o diplomados en Innovación.

Análisis de comportamiento, metodologías ágiles que pueden ser (Design Thinking, Scrum, Kanban)

Experiencia:

1 año de experiencia en consultoría relacionada a innovación, agilidad empresarial y/o graduado con experiencia en estos temas en su práctica profesional."
Change Management Consultant,Change Management Consultant,NEORIS,May,2024,"NEORIS is a Digital accelerator that helps companies enter the future, having 20 years of experience as Digital Partners of some of the largest companies in the world. We have more than 4,000 professionals in 11 countries, with our multicultural startup culture where we cultivate innovation, continuous learning to create high-value solutions for our clients.

We are looking for Change Management Consultant

Main Responsabilities

Develop and implement change management strategies and plans.
Conduct impact assessments, stakeholder analyses, and change readiness assessments.
Identify and manage potential risks and issues related to change initiatives.
Develop communication plans and materials to support change initiatives.
Provide coaching and support to project teams and key stakeholders.
Monitor and report on the progress of change initiatives.
Evaluate the effectiveness of change management strategies and recommend improvements.
Collaborate with cross-functional teams to ensure alignment of change management activities with project objectives.

Requirements

Bachelor’s degree in Business Administration, Organizational Psychology, or related field; Master’s degree preferred.
Proven experience in change management, organizational development, or related field.
Strong knowledge of change management principles, methodologies, and tools.
Excellent communication and interpersonal skills.
English Language Proficiency.
Strong analytical and problem-solving skills.
Ability to work effectively in a fast-paced environment.
Project management experience is a plus.

We Offer

100% Nominal
Legal Benefits
Benefits Package
Wellness Program
Professional development plan
Multicultural collaboration

Come and meet us on: http://www.neoris.com , on Facebook, LinkedIn, Twitter, or Instagram @NEORIS.

Cynthia Valadez"
Gestor del Cambio TI | Oportunidad híbrida,Gestor del Cambio TI | Oportunidad híbrida,Blue People,June,2024,"Blue People es una fábrica de software con talento especializado en UI/UX, análisis, gestión, desarrollo, procesos y arquitectura, combinado con un proceso de desarrollo basado en metodologías ágiles y con las mejores certificaciones del mercado. En Blue People, buscamos a los mejores. ¡Sé parte de nuestro equipo!

Estamos buscando un
Gestor del Cambio TI

que cumpla con el siguiente perfil:

Experiencia requerida:
Experiencia en proyectos de Gestión del cambio bajo la metodología Prosci (ADKAR)
Redacción impecable.
Conocimiento básico de diseño gráfico.
Lo que ofrecemos:
Seguro médico mayor
Capacitación permanente
Crecimiento profesional

¡Únete a nuestro equipo!
__-----"
Change Management Specialist,Change Management Specialist,PPG,May,2024,"The Change Management job family is responsible for the Global Business Services (GBS) organization’s change initiatives by applying change management methodologies, communication planning, and organizational readiness support. The change management service is responsible for change management strategy, stakeholder management, readiness and adoption, engagement, communications and training across disciplines to effectively design and coordinate cross functional global change delivery.

Position Description

A GBS Change Management Specialist is skilled in transformation best practices, with a strong background in communications, change, and project management within a global framework. They show the ability to clearly express and share ideas and risks verbally and written, positively and effectively to the organization, including all levels of management. This role is knowledgeable about processes and policies and can explain them to others. They understand how they fit into the bigger picture and recommend process changes or contribute to policy changes.

The GBS Change Management Specialist is seen as an individual contributor within their team. They are competent at managing their time, have strong interpersonal and collaboration skills, can deliver consistent results and are self-directed. They do not manage other individuals; however, they are expected to informally influence and lead others. As an individual contributor, they are considered a member of a group or team focused on delivering business goals by following structured processes and procedures to deliver results. They share responsibility with other team members to ensure on-time delivery, which requires a clear understanding of expectations and capabilities and the ability to act effectively as a team member. They possess good coaching skills and are responsible for personal and team success for initiatives and delivering business value.

Key Responsibilities

Develop and execute overall change management strategies for GBS initiatives, utilizing appropriate, scaled and culturally appropriate methodologies and techniques
Analyze stakeholder and organizational needs related to projects, creating business case for transformations from current to future state
Create and manage readiness assessments, focus groups, impact assessments, risk assessments, and performance metrics, providing regular updates to leadership
Promote the GBS strategy and vision with a benefit framework that links adoption of change to successful business outcomes
Create communication strategies and plans to ensure all employees are fully aware of impending changes
Utilize technical and industry knowledge in the areas of Adult Learning, Change Management, Organizational Development and Learning & Development to drive experience-centric training strategies
Solicit feedback from stakeholders to determine the success of change management activities and ensure that behavioral changes align with strategic objectives
Build long-term business relationships with key stakeholders and drive responses across the full lifecycle of the implementation of various initiatives

Location

Hybrid, expected to work onsite a minimum of three days a week

Travel Required

Up to 15% international travel

Qualifications

Fluent in both English and Spanish
A four-year degree in related disciple. Marketing or Communications experience desired
Minimum of 6 years' experience change management/communications experience
Change Management certification (ex. Prosci) preferred
Past shared services and global experience a plus
Experience in cross-functional areas or participating of cross-function global initiatives
Exceptional written and oral communication skills – essential for interacting with key stakeholders across the project and influence successful project outcomes
Strong understanding of adult learning methodologies, approaches, and tools
Good working knowledge of industry-standard project management methodologies
Must be a team player and able to work collaboratively with colleagues in other locations
Self-driven with commitment to delivering high quality work in a dynamic fast paced environment
Interpersonal skills and the ability to build relationships at all levels in the enterprise
Must be able to work without close supervision
Possesses leadership capabilities and desire to foster development of effective change

PPG pay ranges and benefits can vary by location which allows us to compensate employees competitively in different geographic markets. PPG considers several factors in making compensation decisions including, but not limited to, skill sets, experience and training, qualifications and education, licensure and certifications, and other organizational needs. Other incentives may apply.

Our employee benefits programs are designed to support the health and well-being of our employees. Any insurance coverages and benefits will be in accordance with the terms and conditions of the applicable plans and associated governing plan documents.

About Us

Here at PPG we make it happen, and we seek candidates of the highest integrity and professionalism who share our values, with the commitment and drive to strive today to do better than yesterday – everyday.

PPG: WE PROTECT AND BEAUTIFY THE WORLD™

Through leadership in innovation, sustainability and color, PPG helps customers in industrial, transportation, consumer products, and construction markets and aftermarkets to enhance more surfaces in more ways than does any other company.. To learn more, visit www.ppg.com and follow @ PPG on Twitter.

The PPG Way

Every Single Day At PPG

We partner with customers to create mutual value.

We are “One PPG” to the world.

We trust our people every day, in every way.

We make it happen.

We run it like we own it.

We do better today than yesterday – everyday.

PPG provides equal opportunity to all candidates and employees. We offer an opportunity to grow and develop your career in an environment that provides a fulfilling workplace for employees, creates an environment for continuous learning, and embraces the ideas and diversity of others. All qualified applicants will receive consideration for employment without regard to sex, pregnancy, race, color, creed, religion, national origin, age, disability status, marital status, sexual orientation, gender identity or expression. If you need assistance to complete your application due to a disability, please email recruiting@ppg.com.

PPG values your feedback on our recruiting process. We encourage you to visit Glassdoor.com and provide feedback on the process, so that we can do better today than yesterday.

Benefits will be discussed with you by your recruiter during the hiring process."
ESPECIALISTA DE GESTION DEL CAMBIO,ESPECIALISTA DE GESTION DEL CAMBIO,PiSA Farmacéutica,May,2024,"Ubicación: Av. España

Empresa: Grupo PiSA

Somos una empresa 100% mexicana con más de 20,000 Profesionales comprometidos a contribuir con la preservación del bien más valioso de todos, la salud. Nos hemos consolidado como la empresa farmacéutica líder de nuestro país cumpliendo todas las normas nacionales e internacionales que nos regulan manteniendo en nuestros procesos la innovación, mejora y crecimiento con la calidad y calidez que nos distingue. Estamos comprometidos con nuestros colaboradores, sociedad y medio ambiente, por ello somos una empresa socialmente responsable será un gusto para nosotros estar en contacto, así mismo te informamos que tus datos personales serán tratados conforme a las términos y condiciones del aviso de privacidad.

NUMERO DE VACANTES: 1

POSICIÓN: ESPECIALISTA DE GESTION DEL CAMBIO

Objetivo Del Puesto

Ejecutar proyectos de gestión de cambio relacionados al negocio y la cultura PiSA asegurando el compromiso de los colaboradores durante las transformaciones.

Funciones

Gestionar los procesos de cambio de los proyectos asignados.

Identificación de impactos organizacionales y ejecución de acciones de mitigación.

Detección de necesidades de comunicación, sensibilización y aprendizaje y gestión de las mismas con las áreas expertas.

Medición e implementación de herramientas de monitoreo del éxito así como ejecución de acciones correctivas.

Gestión de grupos de interés (clientes, sponsors, etc.)

Asociarse con líderes comerciales, partes interesadas y equipos de proyectos para cumplir con los objetivos establecidos y ayudar a garantizar que los entregables se completen de manera oportuna, incluida la articulación de problemas , la estructuración de recomendaciones claras y concisas para diferentes audiencias.

Escolaridad

Lic. Psicología, Administración, Recursos Humanos o afin.

Experiencia

Gestión de Proyectos.

Gestión del Cambio.

Cultura Organizacional.

Conocimientos

Identificación de impactos organizacionales.

Detección de necesidades de comunicación, sensibilización y aprendizaje.

Medición e implementación de herramientas de monitoreo del éxito así como ejecución de acciones correctivas

UBICACIÓN: Av. España

Ofrecemos

Prestaciones superiores.
Pago quincenal
Vales de despensa al mes.
Utilidades.
Servicio de comedor.
Fondo de ahorro.

Los procesos de selección son totalmente GRATUITOS en Grupo Pisa; nadie debe solicitarte pago alguno para participar en nuestros procesos de Reclutamiento y Selección. Por favor reporta cualquier situación extraña en el proceso para ingresar a en la página corporativa de Pisa.

Recuerda que tus datos personales sensibles serán tratados conforme a los términos y condiciones del Aviso de Privacidad que se encuentra en la página corporativa de Pisa en el apartado legal."
Change Management Senior Consultant,Change Management Senior Consultant,Deloitte,May,2024,"Change Management Senior Consultant

Are you an experienced, passionate pioneer in technology? A Change Management Senior Consultant builder who wants to work in a collaborative environment? As an experienced Change Management Senior Consultant, you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. The Americas Delivery LATAM leverages scale and talent to provide high quality, cost-effective service to our clients. ADMX is a member of the Global Delivery Network which has presence across the world with Delivery centers in the United States, Romania, India, Spain, China, and the Philippines. ADMX is in Guadalajara, Mexico.

We provide consulting services to help our clients achieve a higher level of service in operational efficiency and business value. We are a team of professionals passionate about serving clients with distinction and learning, and we are driven by our purpose: Making an impact that matters for our clients, our people, and society.

Work you'll do
• Work side by side with the best professionals, learning from your teammates and reaching success all as one team.
• Get to know and work side by side with the most important companies globally while helping them to reach their business goals.
• You will have countless learning opportunities and development, which will help you define the direction in which you want to take your career.

Qualifications Required:
• 5+ Years in Organizational Change Management
• Proven experience in change management (stakeholder analysis, communication plan, change impact assessment, and change readiness assessment) for organizational transformations driven by technology such as ERPs, SAP, Oracle or similar.
• Consultancy experience preferred.
• Advanced English level

Technical Skills:
• Change Management Methodologies
• ACMP, PROSCI, AKDAR, HCMBOK desirable
• Change Management Communications
• Change Impact Assessments, change readiness assessment, Stakeholder Analysis, Change Canvas and Change Management Strategy
• Adobe Creative Suite
• MS Teams, Strong Microsoft Office skills (PowerPoint and Excel)
• Desired: Design Thinking, Operating Model

Soft Skills:
• Ability to exercise initiative, work independently, prioritize tasks, and work as a team member.
• Ability to, and experience managing multiple priorities and deliver commitments on time
• Ability to work collaboratively on projects.
• Creative problem solver.
• Strong people skills.
• Excellent oral and written communication skills.
• Excellent presentation Skills
• Comfort combining both qualitative and quantitative analysis to solve business problems
• Strong business acumen, with ability to quickly translate theoretical concepts into practical outcomes that deliver business value.

Our people and culture
Our diverse, equitable, and inclusive culture empowers our people to be who they are, contribute their unique perspectives, and make a difference individually and collectively. It enables us to leverage different ideas and perspectives and bring more creativity and innovation to help solve our client's most complex challenges. This makes Deloitte one of the most rewarding places to work. Learn more about our inclusive culture. All qualified applicants will receive consideration for employment without regard to race, religion, creed, color, citizenship, immigration condition or status, national origin, age, sex, pregnancy, gender, gender identity/expression, sexual orientation, marital status, disability, genetic information, veteran status, opinions as interpreted by the labor authorities and/or courts, social- economic status and social condition as interpreted by the labor authorities and/or courts or any other legally protected basis, in accordance with applicable federal, state or local law.

Professional development
From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to build new skills, take on leadership opportunities and connect and grow through mentorship. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.

Employment Eligibility
Before any practitioner begins working with Deloitte, the candidate should provide documentation validating their employment eligibility upon starting work."
Project Community Change Management Specialist - Temporal,Project Community Change Management Specialist - Temporal,myGwork - LGBTQ+ Business Community,May,2024,"This inclusive employer is a member of myGwork – the largest global platform for the LGBTQ+ business community.

Your role and responsibilities

Proposes and implements communication plans validated by the Change Management country lead.

Develops creative concepts related to all communication vehicles, in accordance with branding guidelines.

Coordinates with related project members for planning and control requirements effectively.

Prepares materials and assists in project reviews.

Oversees work provided by internal resources.

Organizes events to improve project image and to support the business.

Writes and edits promotional materials for use through various trade media.

Manages the creation, production, and publication project messages, in either printed or electronic form to support Project activities.

Maintains a positive and integrated network with internal and external communication communities to promote knowledge of current practices and innovation.

Qualifications For The Role

BachelorÂ´s Degree in Communication, Marketing, Management or Industrial Engineering.
2 - 3 years of experience in community management, marketing, organizational communication, HR in the industrial sector or service companies.
Management of workday and change management courses.
Communication skills.
Advanced conversational English.

More about us

We look forward to receiving your application (documents submitted in English are appreciated). If you want to discover more about ABB, take another look at our website www.abb.com. Work model: remote"
Analista de Gestión del Cambio - Experiencia en proyectos de tecnología,Analista de Gestión del Cambio - Experiencia en proyectos de tecnología,SEIDOR Chile,June,2024,"¿Conoces SEIDOR? Somos una consultora tecnológica que ofrece un portafolio integral de soluciones y servicios de innovación, customer experience, ERP, analytics, employee experience, cloud, workplace y ciberseguridad. Llevamos más de 40 años creyendo en la tecnología para transformar organizaciones, apostamos por el valor de las personas y su el talento. Queremos que seas parte de este gran equipo de trabajo para que juntos enfrentemos nuevos retos tecnológicos, con entusiasmo y decididos por lograr nuestros objetivos.

En SEIDOR nos encontramos en búsqueda de un Analista de Gestión del Cambio, responsable de ejecutar procesos de transformación organizacional en nuestros clientes, desempeñando un papel clave en la definición de estrategias, la implementación de planes de gestión del cambio y la facilitación de la adopción exitosa de nuevos procesos.

Requisitos:
Contar con título en Administración de Empresas, Ingeniería Industrial, Psicología Organizacional u otro campo relacionado.
Al menos 3 años de experiencia como Consultor de Gestión del cambio realizando proyectos en el rubro de la tecnología (Excluyente).
Conocimiento profundo de herramientas de diagnóstico y estrategias de gestión del cambio.
Capacidad para trabajar en colaboración con equipos multidisciplinarios y clientes.
Deseable formación específica en gestión del cambio, diplomado o certificación.

Condiciones Laborales:
Trabajo Híbrido en Ciudad de Monterrey."
Analista de gestión del cambio eventual (8 meses),Analista de gestión del cambio eventual (8 meses),Sigma,May,2024,"Objetivo del puesto:
Guíar el proceso de comunicación durante los cambios organizacionales mediante un conjunto de mejores prácticas, técnicas, y herramientas que permitan alinear la estrategia de la empresa con los proyectos e iniciativas de transformación que se necesitan implementar.

Roles del puesto
Desarrollar diseños gráficos / audiovisuales, contenidos y mensajes alineados a las necesidades de los proyectos de cambio y de acuerdo a la audiencia y a los diversos medios de comunicación
Fortalecimiento de los canales de comunicación vigentes de acuerdo su población
Desarrollo de materiales de capacitación para las áreas involucradas los programas / proyectos de cambio
Coordinar y desarrollar los planes de comunicación de acuerdo al plan de difusión / capacitación.
Asegurar el cumplimiento de guidelines para la aplicación de la identidad gráfica de Sigma en alineación con el área Central
Generar reportes para dar seguimiento al plan de divulgación
Apoyar en la coordinación de los eventos de integración y comunicación relacionados con los proyectos de cambio
Coordinación con proveedores y clientes para eventos y necesidades de comunicación

Conocimientos específicos
Lic. En comunicación, Mercadotecnia, Administración o Psicología
1 o 2 años de experiencia en áreas de comunicación, capacitación y/o change management
Conocer sobre desarrollo y ejecución de campañas de comunicación
Saber editar video
Saber diseñar comunicados
Excelente redacción

Ubicación:
Torre Valmex, Av. Pedro R. Vazquez No.200 INT # 13, Valle de Oriente, 66269 San Pedro Garza García, N.L., Mexico
Esquema de trabajo híbrido

En Sigma promovemos la originalidad. Reconocemos y celebramos el valor único de las personas, fomentando la igualdad de oportunidades sin discriminar por afiliación política, cultura, edad, embarazo, estado civil, género, nacionalidad, nivel socioeconómico, maternidad, paternidad, religión, orientación sexual, origen étnico o tipo de discapacidad.
Sigma prohíbe la solicitud y el uso de certificados médicos de no embarazo y Virus de Inmunodeficiencia Humana (VIH) como requisitos para el ingreso, permanencia o ascenso en el empleo.
¡Únete a nuestra comunidad de más de 60 nacionalidades en 4 continentes!"
