Position,Company_Name,Location,Post_Month,Post_Year,Details
Global Customs Compliance Specialist,Global Customs Compliance Specialist,The QualiFind Group,May,2024,"OUR ROLE
The QualiFind Group supports multinational manufacturing organizations with their need for key specialists to managerial talent to successfully complete industrial greenfield, site launches, turnaround, and expansions in North America. We actively engage, screen, and assess talent for specific search mandates that possess the technical competencies, cultural attributes, and experience to deliver value for our clients.


OUR CLIENT
Our client is an industry leader is an American multinational medical technology company that manufactures and sells medical devices, instrument systems, and reagents. The company also provides consulting and analytics services in certain geographies.


POSITION SUMMARY
The primary function is to ensure customs compliance in accordance with regulations, this includes tariff classification, Free-Trade Agreement Management, Country of Origin determination, Reconciliation, CTPAT and recordkeeping review. Responsible for overseeing the value reconciliation and assists processes, the person selected for this position will be the subject matter expert for FTA qualifications.

PRIMARY RESPONSIBILITIES INCLUDE
Interpret, analyze, and summarize Import-Export (IE) compliance requirements and Free Trade Agreements applicable to the Company.
NAFTA/USMCA qualification of all parts produced by the Company to avoid excessive duty payments.
Free Trade Agreement analysis to affect the elimination and/or reduction in import duties on transactions.
Issue proper certifications where goods are Free Trade Agreement (FTA) qualified.
Interact with Engineering and Supply Chain along with external vendors to obtain technical expertise regarding parts and components classifications.
Harmonized Tariff Classification assignment.
Interpret Bill of Materials (BOMs) from JDE and Import-Export (IE) Software.
Analyze manufactured bills of materials for Free Trade Agreement (FTA) eligibility.
Work with purchasing regarding Country of Origin for purchased parts and Harmonized Tariff Classification (HTS) classifications for Bill of Materials (BOM).
Analyze all information, determining whether myriad of parts qualify under applicable Free Trade Agreement (FTA) rules.
Manage Export Compliance records for active parts, origins, and full Harmonized Tariff Classification (HTS) code information.
Conduct research of Import-Export (IE) requirements, Harmonized Tariff Classification (HTS) code changes, rules affecting compliance.
Counsel and guide Supply Chain to obtain country of origin data, annual vendor NAFTA/USMCA, bill of materials (BOMs) and classification descriptions.
Work with Purchasing to drive all aspects of compliance documentation and workflow.
Develop, document, and maintain appropriate processes and record-keeping of Import-Export (IE) requirements, assisting the Company business in implementation of consistent processes.
Entry audit, post entry submissions and corrections.
Work with Buyers to ensure all NAFTA/USMCA certificates are received timely to avoid duty payments at time of entry summary.
Keeping an updated database of all NAFTA/USMCA certificates and record of country-of-origin document solicitation.
Responsible for quarterly KPI reviews, prioritizing workload.
Driving process improvements that streamline processes and increase compliance.
Duty studies to evaluate future product strategies and sourcing strategies.

The periodic and the eventual activities of the Global Customs Compliance Specialist are:
Review all shipments covered by the yearly value reconciliation process.
Validate the CTPAT Security Profile.
Support Savings Improvements Projects.
Other duties/tasks as assigned.


REQUIREMENTS
Proven analytical, problem-solving, and decision-making abilities.
Experience with digital tools and platforms with advanced skillset in compiling and analyzing large datasets.
Experience in both: how to determine eligibility as well as completing certificates of origin.
Rules of origin and methods for determining eligibility.
Ability to work without direct supervision.
Knowledge of NAFTA/USMCA Understanding of proposed changes from NAFTA to USMCA.
Strong knowledge of the full Microsoft suite of products.
Import-Export (IE) operations experience.
Proficient computer skills, high experience with spreadsheet, presentation, and word processing software.
EDUCATION
Bachelor's degree in Business Administration, International Business, Foreign Trade, Accounting, Logistics, in a related field or equivalent experience.
Minimum five years of experience in Customs regulatory environment, consulting, or brokerage environment.
Bilingual communication skills, English and Spanish (both verbal and written)."
Especialista de Compliance,Especialista de Compliance,Connectingology,April,2024,"Coordinar los procesos para dar atención y dar seguimiento al cumplimiento de los requerimientos por parte de diversas autoridades (CNBV, Banco de México, SHCP, auditores internos y externos), así como a la normativa del corporativo.
Garantizar la integración de la información de Seguridad Financiera a fin de dar atención en tiempo y forma a los reportes que deben enviarse al corporativo periódicamente.
Coordinar el análisis de las operaciones alertadas y los esfuerzos adicionales que deban realizarse a fin de garantizar su atención en tiempo y forma conforme a lo establecido en las políticas internas, para su sometimiento al Comité de la Entidad y su eventual reporte

a la Comisión.

Adaptar, implementar y dar seguimiento a la normativa Grupo sobre Sanciones Financieras y embargos para garantizar el cumplimiento normativo exigido por las políticas del grupo.
Garantizar la adaptación de los documentos corporativos internos, procesos y controles en función de la reglamentación local y las directrices del grupo en materia de prevención de Lavado de dinero, Sanciones financieras.

Requisitos:

Experiencia de al menos 2 años en una posición similar ejecutando funciones sobre prevención de lavado de dinero y financiamiento al terrorismo (regulación, reportes y monitoreo).
Excel Avanzado
Inglés Intermedio - Avanzado
Certificación de la CNBV en Materia de PLD (deseable).
Dominio de los canales de comunicación con la CNBV (SITI AA, SITI PLD, Share point)."
Specialist-Compliance: Sanctions Screening,Specialist-Compliance: Sanctions Screening,American Express,June,2024,"You Lead the Way. We’ve Got Your Back.

With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.

At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong.

Join Team Amex and let's lead the way together.

American Express’s Financial Intelligence Unit (FIU), within Global Financial Crimes Compliance (GFCC), provides end-to-end support and oversight of global financial crimes investigations. In conjunction with GFCC partners, the FIU develops and implements automated transaction monitoring rules, reports, and other processes designed to identify activity potentially indicative of criminal behavior. The FIU also investigates potentially suspicious financial activity and, when appropriate, files suspicious activity reports (SARs) with the Financial Crimes Enforcement Network (FinCEN), which is part of the U.S. Department of the Treasury, and/or refers matters to internal compliance partners for review and reporting globally. In addition, the FIU manages risk associated with politically exposed persons and persons and entities on core sanctions and risk lists through regular screening, and manages risk associated with improper payments that could be indicative of bribery, corruption, or other illicit activity by reviewing internal American Express payments and expenditures. The FIU performs a critical role in ensuring that American Express complies with all applicable laws and regulations, including the Bank Secrecy Act, the USA PATRIOT Act, and the Foreign Corrupt Practices Act, and provides law enforcement with key information for the investigation and prosecution of money laundering and terrorist financing, credit card fraud, identity theft, and other criminal activity.

American Express Financial Intelligence Unit (FIU) has implemented a comprehensive screening & Monitoring process to identify all potential and existing account relationships among all lines of business with Sanctioned Persons & Entities and Politically Exposed Persons (PEP). The initial screening process for certain markets is performed by FIU-Sanctions; it occurs across several lines of business, including consumer card, corporate card, merchant, and other business partners, and includes primary and supplemental cardholders, directors, beneficial owners, and other related parties. FIU-Sanctions performs a critical role in ensuring that American Express adheres to international regulations. This position will work globally with various teams across American Express, market compliance officers, line of business representatives and CADENCE users, among others.

Job Responsibilities

Conducting Sanctions and Politically Exposed Persons screening in Bridger, the enterprise screening tool
Performing enhanced due diligence research
Collaborating with lines of business and market compliance teams

Qualifications

Keen attention to detail in investigation, analysis, and documentation
Proven analytical and problem-solving skills
Computer and internet research skills
Effective communication and excellent writing skills
Ability to manage multiple and varied projects simultaneously
Bachelor’s degree preferred
Spoken and written English (Advance level)

We back our colleagues and their loved ones with benefits and programs that support their holistic well-being. That means we prioritize their physical, financial, and mental health through each stage of life. Benefits include:

Competitive base salaries
Bonus incentives
Support for financial-well-being and retirement
Comprehensive medical, dental, vision, life insurance, and disability benefits (depending on location)
Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need
Generous paid parental leave policies (depending on your location)
Free access to global on-site wellness centers staffed with nurses and doctors (depending on location)
Free and confidential counseling support through our Healthy Minds program
Career development and training opportunities

Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations."
Analista KYC AML de cumplimiento Bilingüe,Analista KYC AML de cumplimiento Bilingüe,Citibanamex,May,2024,"The KYC Operations Analyst 2 is an intermediate-level position responsible for Anti-Money Laundering (AML) monitoring, governance, oversight and regulatory reporting activities in coordination with the Compliance and Control team. The overall objective of this role is to develop and manage a dedicated internal KYC (Know Your Client) program at Citi.

Responsibilities:

Conduct client profile reviews for customer accounts
Review all information and documentation ensuring compliance with local regulation and Citi standards
Update KYC forms and client profiles according to policy requirements
Follow up with clients to ensure information is received before due dates
Perform KYC tasks, including monitoring and tracking of the KYC records and Appendix approval process, assisting with the development and execution of action planning for expiring records, and ensuring records are not past due
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

Qualifications:

0-2 years of relevant experience
Experience in banking operations, preferably in the client account opening and pre-requirements process

Education:

Bachelor's degree/University degree or equivalent experience

Ingles avanzado

Experiencia minima de 1 año en KYC

Experiencia en Instituciones financieras

Experiencia en operaciones bancarias; preferentemente, en proceso de requisitos previos y apertura de cuentas del cliente.

------------------------------------------------------

Job Family Group:

Compliance and Control

------------------------------------------------------

Job Family:

Business KYC

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
Risk & Compliance Specialist,Risk & Compliance Specialist,Kredi,May,2024,"Sobre Nosotros
Somos una Startup (YC W21) con la misión de democratizar el acceso al financiamiento hipotecario en México y América Latina. Hemos levantado más de $7.5 MDD de inversionistas como Y Combinator, Harvard Management Company, Investo, Soma Capital, Amplo y otros. Nos gustaría tenerte en nuestro equipo, que vivas nuestros atractivos desafíos y respires nuestra cultura.

Descripción
Responsable de diseñar y ejecutar políticas de crédito para gestionar y mitigar el riesgo crediticio, asegurando una cartera de crédito sana en nuestra financiera hipotecaria. Este rol implica una profunda comprensión del entorno económico y una capacidad analítica para la creación de políticas de crédito, al tiempo que mantiene rigurosas medidas de prevención de fraude y asegura la validez de las garantías.

Responsabilidades

Desarrollo y actualización de políticas de crédito: Formular y revisar las políticas y lineamientos de crédito para reflejar las condiciones de mercado y los objetivos estratégicos.
Evaluación del riesgo crediticio: Implementar y perfeccionar modelos de evaluación del riesgo para cada operación crediticia, identificando y cuantificando posibles riesgos.
Gestión y cuidado de las garantías: Asegurar que las propiedades en garantía cumplan con todas las políticas y requisitos establecidos, garantizando su legalidad y valor adecuado.
Prevención de fraude: Fortalecer los procesos de verificación y due diligence jurídica para prevenir fraudes y suplantaciones de identidad en cada operación.
Análisis de cartera: Monitorear y analizar continuamente la cartera de créditos para prevenir pérdidas y ajustar las políticas según sea necesario.
Coordinación interdepartamental: Colaborar estrechamente con otros departamentos para asegurar una implementación efectiva de las políticas de crédito y medidas antifraude.
Capacitación y cumplimiento: Dirigir programas de formación para que los equipos relacionados estén actualizados con las políticas de crédito y medidas de prevención de fraude.
Reportes y análisis: Generar informes detallados sobre el rendimiento de la cartera y la eficacia de las políticas y procedimientos establecidos.
Requisitos:
Egresado en finanzas, derecho, administración o afín
Dominio de las regulaciones de la industria financiera aplicable como es Riesgo y PLD
Experiencia en áreas de riesgo, preferible de análisis de crédito hipotecario y/o en puestos similares.
3-5 años de experiencia en industria bancaria, preferiblemente hipotecaria
3-5 años de experiencia en área de riesgos, preferible riesgo de crédito o de cumplimiento

Habilidades:
Proactividad
Organización
Empatía y negociación
Facilidad de palabra
Atención al detalle
Orientado a objetivos
Trabajo en equipo

Kredi promueve un entorno en que las personas reciben un trato justo y respetuoso, libre de discriminación, intimidación, acoso.

¡Únete a nuestro equipo y lleva tus habilidades al siguiente nivel!"
INSPECTION AND COMPLIANCE ANALYST - ICA,INSPECTION AND COMPLIANCE ANALYST - ICA,QIMA,May,2024,"Descripción de la empresa

At QIMA, we’re on a mission to help our clients make products consumers can trust.

Working with over 30,000 global brands, retailers, manufacturers and food growers, we are on the ground wherever products are made. We help businesses secure every step of their supply chain with quality inspections, supplier audits, certifications, and lab testing, all powered by our intelligent digital platform.

Our team of 5,000 QIMers (and counting) across 40 offices and laboratories, are united in our shared passion for innovation and integrity, and guided by our QIMA values in the decisions we make every day. We believe in the work we do, and in making a positive difference in the world. Does this sound like something you’d like to be a part of?

Our Consumer Goods Division is dedicated to helping brands, retailers and manufacturers worldwide deliver safe, quality and ethically made products to their consumers. Every day at work, our inspectors, auditors, and lab techs use their expertise to help safeguard the products you use every day in your home: from clothes and footwear to toys and baby products, to electronics, appliances, and furniture.

Descripción del empleo

Un Inspection and Compliance Analyst será principalmente responsable de la validación del cumplimiento de productos y proveedores de acuerdo con los requisitos/regulaciones internacionales y mexicanos aplicables del cliente para bienes importados.

El alcance general de los servicios que se revisarán y validarán son:

Aseguramiento de Calidad:
Auditorías de Gestión de Proveedores.
Auditorías de Cumplimiento.
Servicios de Control de Calidad:
Inspecciones de productos.
Pruebas de laboratorio.
Servicios de cumplimiento aduanero:
Inspección previa al despacho de aduana.

Requisitos

Manejo de software informáticas como Excel, Word, Power Point, etc.
Personalidad analítica y buena disciplina.
Experiencia laboral no son obligatorios, sin embargo, alguna experiencia es una ventaja.
Educación: licenciatura en negocios internacionales, comercio, o afines.
Excelente habilidad para comunicarse de manera escrita y oral en inglés.

Información adicional

Además de los requisitos típicos de educación y experiencia, se considerará una capacidad demostrada para realizar las funciones y responsabilidades esenciales del puesto y exhibir las habilidades y competencias del puesto."
Compliance Manager,Compliance Manager,Confidential,May,2024,"Somos una empresa mexicana líder en temas de transporte y comercio exterior con excelente ambiente laboral, ofrecemos prestaciones y beneficios superiores a los de la ley y únicos en el mercado.

Misión:
El Gerente Senior de Cumplimiento participará activamente en el desarrollo y consolidación del programa de cumplimiento de la Compañía asumiendo la gestión cotidiana y mejora continua de sus principales elementos: el sistema de gestión de denuncias; la gestión de riesgos de corrupción e incumplimiento; la colaboración con el equipo de Control Interno para la prevención y detección del fraude; la implantación de un procedimiento documentado de due diligence de terceras partes coordinado con Finanzas y Compras; y la formación y concienciación en cumplimiento.
Contribuirá, en función de su formación y experiencia previa en este ámbito, al buen fin del proyecto de certificación en la norma ISO 37301 en ‘Sistemas de Gestión del Compliance’ asumiendo la responsabilidad de las posteriores auditorías de certificación.

Funciones Principales:
Mejoramiento del sistema de gestión de denuncias.
Seguimiento al comité de ética.
Evaluación continua de riesgos de corrupción e incumplimiento, junto con el diseño e implementación de controles que prevengan o detecten dichos riesgos.
Desarrollo de acciones de formación y concienciación del cumplimiento.
Incorporación dentro del marco del control sobre la información financiera de controles anti fraudes o gastos ilícitos.
Implantación de un procedimiento documentado de due diligence de terceras partes coordinado con Finanzas.

Conocimientos o habilidades:
• Licenciatura en Derecho o Contaduría Publica.
• + de 6 años en posiciones similares.
• inglés avanzado indispensable.
• Manejo avanzado de Microsoft Office.
• Cumplimiento y Derecho Mercantil.
• Sistemas de gestión de compliance.
• Controles internos SOX
• Elaboración de matrices de riesgo y cumplimiento.
• Liderazgo y desarrollo de equipos.
• Excelentes habilidades de comunicación."
Analista KYC AML de cumplimiento Bilingüe,Analista KYC AML de cumplimiento Bilingüe,Citibanamex,May,2024,"The KYC Operations Analyst 2 is an intermediate-level position responsible for Anti-Money Laundering (AML) monitoring, governance, oversight and regulatory reporting activities in coordination with the Compliance and Control team. The overall objective of this role is to develop and manage a dedicated internal KYC (Know Your Client) program at Citi.

Responsibilities:

Conduct client profile reviews for customer accounts
Review all information and documentation ensuring compliance with local regulation and Citi standards
Update KYC forms and client profiles according to policy requirements
Follow up with clients to ensure information is received before due dates
Perform KYC tasks, including monitoring and tracking of the KYC records and Appendix approval process, assisting with the development and execution of action planning for expiring records, and ensuring records are not past due
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

Qualifications:

0-2 years of relevant experience
Experience in banking operations, preferably in the client account opening and pre-requirements process

Education:

Bachelor's degree/University degree or equivalent experience

Calificaciones:

Experiencia en contacto y/o servicio al cliente.

Indispensable contar con experiencia en operaciones bancarias y en temas relacionados con know your costumer.

Contar con experiencia en revisión de riesgos y controles relacionados con el proceso

Habilidad en análisis de información y documentos

Capacidad para trabajar de manera organizada y bajo presión

Enfoque a resultados

Nivel académico:

Licenciatura indistinta

Inglés avanzado

Excel básico

------------------------------------------------------

Job Family Group:

Compliance and Control

------------------------------------------------------

Job Family:

Business KYC

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
Compliance Specialist,Compliance Specialist,AstraZeneca,May,2024,"📌Positions are open to Mexican Citizens and official residents of Mexico.

📍Location: Guadalajara (hybrid)

📌Strong English Communication Skills Required.

Join us in our Global Transparency Operations team. This role is part of the Global Payment Transparency (GPT) team, responsible for fulfilling AstraZeneca’s external disclosure obligations across Europe, the United States (US), and emerging visibility requirements in countries such as Japan and Australia. The GPT team is part of the overall Global Assurance and Reporting Services within the Global Business Shared Services organization, aligned to Finance.

Accountabilities:

As a Compliance Specialist, you will be responsible for processing high-quality, accurate, and consistent payment data, prioritized by our overall reporting timelines. You will partner with key internal and external customers to bring together and reconcile data collected both internally through various internal financial or event management systems or externally via third party suppliers who disburse payments and transfers of value on behalf of the company.

Essential Skills/Experience:


Bachelor's degree or equivalent (Accounting, Finance, Business Administration, or relevant field)
Experience in finance, auditing, quality assurance/control, SOX, data management/stewardship and/or risk management
Strong project management skills with the ability to handle challenging projects simultaneously within bold timelines.
Ability to interpret and use data effectively, understand business context and generate improvement actions.
Strong ethical, collaborative, and influencing skills.
Experience working with large amounts of data, with attention to detail.
Excellent computer skills, including data and reporting software programs.
Proficient command of English


Desirable Skills/Experience:


Experience in or with the biopharmaceutical industry or a consulting firm working with pharmaceutical clients.
Knowledge of data reporting & analytics tools (e.g., MicroStrategy, Power BI, Tableau, Qlik View/Sense, etc.)
Prior exposure or familiarity with scripts (e.g., Microsoft Excel + VBA, Python, JavaScript, SQL, etc.) will be a plus.
Solid understanding of / experience with payment transparency requirements in Europe (EFPIA), the US (Open Payments or formerly Sunshine Act)
Global / cross-cultural experience.
Experience on US and ASIAPAC regions is a plus.


At AstraZeneca, we are driven by our commitment to deliver accelerated growth and to make people's lives better. We are part of an inclusive and giving community where we support and help each other on our journeys. We are disciplined thinkers and doers who thrive in our often intense and ambiguous environment. We are leading the way in delivering Lean processes that drive greater efficiency and speed. Sustainable practices are at the heart of what we do. If you have the passion and the drive to accelerate growth and make people's lives better, then this is the place for you.

Ready to make a meaningful impact on people's lives with life-changing medicines? Apply now to join our team!

When we put unexpected teams in the same room, we ignite ambitious thinking with the power to inspire life-changing medicines. In-person working give us the platform we need to connect, work at pace and challenge perceptions. That’s why we work, on average, a minimum of three days per week from the office. But that doesn’t mean we’re not flexible. We balance the expectation of being in the office while respecting individual flexibility. Join us in our outstanding and bold world."
Compliance Specialist,Compliance Specialist,AstraZeneca,May,2024,"📌Positions are open to Mexican Citizens and official residents of Mexico.

📍Location: Guadalajara (hybrid)

📌Strong English Communication Skills Required.

Join us in our Global Transparency Operations team. This role is part of the Global Payment Transparency (GPT) team, responsible for fulfilling AstraZeneca’s external disclosure obligations across Europe, the United States (US), and emerging visibility requirements in countries such as Japan and Australia. The GPT team is part of the overall Global Assurance and Reporting Services within the Global Business Shared Services organization, aligned to Finance.

Accountabilities:

As a Compliance Specialist, you will be responsible for processing high-quality, accurate, and consistent payment data, prioritized by our overall reporting timelines. You will partner with key internal and external customers to bring together and reconcile data collected both internally through various internal financial or event management systems or externally via third party suppliers who disburse payments and transfers of value on behalf of the company.

Essential Skills/Experience:


Bachelor's degree or equivalent (Accounting, Finance, Business Administration, or relevant field)
Experience in finance, auditing, quality assurance/control, SOX, data management/stewardship and/or risk management
Strong project management skills with the ability to handle challenging projects simultaneously within bold timelines.
Ability to interpret and use data effectively, understand business context and generate improvement actions.
Strong ethical, collaborative, and influencing skills.
Experience working with large amounts of data, with attention to detail.
Excellent computer skills, including data and reporting software programs.
Proficient command of English


Desirable Skills/Experience:


Experience in or with the biopharmaceutical industry or a consulting firm working with pharmaceutical clients.
Knowledge of data reporting & analytics tools (e.g., MicroStrategy, Power BI, Tableau, Qlik View/Sense, etc.)
Prior exposure or familiarity with scripts (e.g., Microsoft Excel + VBA, Python, JavaScript, SQL, etc.) will be a plus.
Solid understanding of / experience with payment transparency requirements in Europe (EFPIA), the US (Open Payments or formerly Sunshine Act)
Global / cross-cultural experience.
Experience supporting LATAM markets is a plus.


At AstraZeneca, we are driven by our commitment to deliver accelerated growth and to make people's lives better. We are part of an inclusive and giving community where we support and help each other on our journeys. We are disciplined thinkers and doers who thrive in our often intense and ambiguous environment. We are leading the way in delivering Lean processes that drive greater efficiency and speed. Sustainable practices are at the heart of what we do. If you have the passion and the drive to accelerate growth and make people's lives better, then this is the place for you.

Ready to make a meaningful impact on people's lives with life-changing medicines? Apply now to join our team!

When we put unexpected teams in the same room, we ignite ambitious thinking with the power to inspire life-changing medicines. In-person working give us the platform we need to connect, work at pace and challenge perceptions. That’s why we work, on average, a minimum of three days per week from the office. But that doesn’t mean we’re not flexible. We balance the expectation of being in the office while respecting individual flexibility. Join us in our outstanding and bold world."
