Position,Company_Name,Location,Post_Month,Post_Year,Details
Auxiliar en Seguridad de la Información,Auxiliar en Seguridad de la Información,PREMO,May,2024,"PREMO somos una empresa 100% Mexicana con más de 15 años en el mercado, con la misión de apoyar a pequeños y medianos empresarios que confían en sus negocios y requieren financiamiento u inversión para capital de trabajo.

Intégrate a nuestro equipo como: Auxiliar en Seguridad de la Información

Te Ofrecemos

Salario base de acuerdo a experiencia
Prestaciones de ley (IMSS, Vacaciones, Aguinaldo, Prima Vacacional)
IMSS desde el primer día
Cotización al 100%
Contratación directa por PREMO
Buen ambiente laboral
Oportunidad de crecimiento
Beneficios adicionales
Oportunidad para hacer practicas o estadías.
Horario completo o medio día por la mañana.

Algunas de las actividades que estarás haciendo con nosotros:

Realizar monitoreos a sistemas principales, identificación, documentación y seguimiento de hallazgos
Creación de manuales para el personal sobre vulnerabilidades, phishing, malware, etc, y en función a revisiones internas ó boletines de seguridad
Creación y coordinación de capacitaciones presenciales en materia de seguridad de la información al personal de PREMO
Realizar documentación sobre procesos o manuales internos de seguridad, redactar informes detallados de respuesta a incidentes
Participar en la remediación de incidentes de seguridad, mitigaciones, documentación y aplicación de medidas correctivas en las estrategias de mitigación de riesgos
Revisiones del cumplimiento de la mitigación de vulnerabilidades en la infraestructura
Participar activamente en la correlación de eventos, supervisar el tráfico de la red, detección de anomalías y en escalamientos de casos al SOC
Participar activamente en la detección de amenazas en los equipos de usuario final, revisión de logs de DLP, EDR, XDR, logs de consolas de seguridad.
Participar en el desarrollo de Políticas y Protocolos de Seguridad, participar en las Pruebas de Penetración y Auditorías de Seguridad

Requisitos deseables

Ingeniería o cursando en: Sistemas Computacionales / Informática / Técnico Superior en Seguridad Informática / Ingeniería en Seguridad Informática y Redes, Ingeniería en Ciberseguridad

Hard Skills: Detección de intrusiones, Gestión de puntos finales, Antivirus, Seguridad Informática, Redes y seguridad de las redes, Modelo OSI, Sistemas Operativos.

Soft Skills: Atención al detalle, Trabajo en equipo, Proactividad, Comunicación, Planificación, Pensamiento crítico, Curiosidad, Auto-Aprendizaje, Integridad, Discreción y Profesionalismo al trabajar con información confidencial.

Conocimientos Deseables

ITILv3 ó v4, MTA Microsoft, Security Fundamentals de Microsoft, Cisco CCNA, Explorations o Discovery.

Ingles técnico, para lecturas de documentos de fabricantes o procesos.

¡Postúlate si cumples con los requerimientos!"
ANALISTA DE CIBERSEGURIDAD,ANALISTA DE CIBERSEGURIDAD,fonYou,May,2024,"FinTech que ofrece servicios de software, pagos digitales y micropréstamos en mercados en desarrollo. Llegamos a más de 300 millones de clientes en 18 países. Nuestros socios son empresas líderes en los sectores de Telecomunicaciones, Banca y Tech como Telcel, Claro, Meta, Telefónica, BBVA, Google, Banco Azteca, Daviplata, Nequi y Airtel entre otros.

Tenemos presencia en más de 18 paises en todo el mundo...

Analista de Seguridad de la Información

Objetivo

• Monitorear el cumplimiento de las políticas de seguridad de la organización.
• Supervisar y dar seguimiento a las violaciones de la seguridad de la información.
• Atención de auditorías internas, externas y de clientes en materia de seguridad de la información.
• Generación de informes sobre el comportamiento y resultados de la evaluación de controles/requerimientos de seguridad de la información y ciberseguridad.
• Identificar y evaluar riesgos de seguridad de la información, Identificar Amenazas, Vulnerabilidades, Impactos y Posibilidades de Ocurrencia relativo a la Ciberseguridad, de las Unidades de Negocio asignadas.

Realizar un diagnóstico inicial a través de un análisis rápido en busca de incidentes potenciales, y hacer en consecuencia el cierre del evento o el escalamiento según aplique.

- Documentar incidentes de seguridad a nivel ejecutivo y técnico.
- Análisis de vulnerabilidades (Web e infraestructura)
experiencia en soporte a usuario final y operación de alguna herramienta de seguridad (Antimalware, identificación de vulnerabilidades, elaboración de reportes de operación, generación de indicadores de riesgo, atención de incidentes de seguridad
Inglés intermedio

Competencias Técnicas

Manejo de infraestructura en la nube, preferentemente GCP 
Conocimiento en Docker , Kubernetes 
CI/CD Integration
conocimientos en algún WAF 
Conocimiento básico de herramientas de seguridad (Anti Malware, Filtrado de contenido, IPS,IDS)
Conocimiento de análisis de vulnerabilidades
Conocimiento de incidentes de seguridad
Administración de sistemas Linux y windows 
Uso de herramientas en seguridad y redes.
Implementación de proyectos TI.
 Habilidades de desarrollo de Shell scripts
Capacidad y curiosidad tenaz para llegar a la raíz de problemas.
Altamente deseable estar familiarizado con el uso de pruebas de penetración (ethical hacker o pentester)
Conocimiento avanzado en soporte a usuario final.

Deseable

Pentester
Conocimiento de Sistema cloud GCP

Soft Skills

● Capacidad de autodidacta
● Actitud de servicio
● Trabajo en equipo
● Tolerancia al trabajo bajo presión
● Ordenado y Analítico
● Proactivo
● Propositivo
● Orientado a resultados
● Orientado a seguir procedimientos
● Orientado a seguir políticas
● Orientado a mejora continúa

Ofrecemos:

Contrato directo
Prestaciones de ley y superiores
Esquema de trabajo híbrido 90% home office
$30,000 brutos mensual"
Analista de ciberseguridad,Analista de ciberseguridad,MasterEDI,May,2024,"¡Únete a nuestro equipo como Analista de Ciberseguridad!

Requisitos:
2 años de experiencia en comunicaciones y redes.
Experiencia en seguridad perimetral, VPNs, Firewalls, Cloud Computing y auditorías de seguridad.
Conocimientos en ISO 27000, 27001 (deseable certificación ISO 27001).
Habilidad en análisis de riesgos y cumplimiento de controles.

Beneficios:
Sueldo $20,000 - $23,000 brutos mensuales.
Prestaciones de ley.
Crecimiento profesional.
Vales de despensa y restaurante.
SGMM y transporte zona sur (Perisur).

Horario: Lunes a Viernes de 09:00 a 19:00.
Zona: Santa Fe, Ciudad de México."
Cybersecurity Analyst,Cybersecurity Analyst,eINDUSTRIFY,April,2024,"Implement and maintain cybersecurity frameworks and standards, such as ISO 27001, NIST Cybersecurity Framework, and PCI DSS, to ensure compliance and alignment with best practices.
Conduct regular assessments to identify security vulnerabilities and develop remediation plans to address any gaps in security controls.
Collaborate with cross-functional teams to integrate cybersecurity practices into the overall development and operations processes.
Monitor the ecommerce platform and related systems for potential security breaches or unauthorized access attempts.
Develop and implement robust incident response procedures, including investigation, containment, mitigation, and recovery.
Stay updated on the latest cybersecurity threats and trends and proactively implement measures to protect against emerging risks.
Evaluate, select, and implement cybersecurity tools and technologies specific to the ecommerce domain, such as web application firewalls (WAFs), intrusion detection systems (IDS), and data loss prevention (DLP) solutions.
Configure and manage security tools to effectively monitor and detect security incidents, vulnerabilities, and malicious activities.
Conduct regular assessments of security tools to ensure optimal performance and effectiveness.
Perform regular vulnerability assessments and penetration tests on the ecommerce platform to identify and address potential security weaknesses.
Collaborate with development and IT teams to prioritize and remediate identified vulnerabilities in a timely manner.
Monitor and track the progress of vulnerability remediation efforts.
Develop and deliver cybersecurity training and awareness programs for employees to promote a culture of security awareness and best practices.
Create educational materials and conduct workshops to educate employees on ecommerce-specific security risks and preventive measures.
Stay updated on industry standards and trends related to ecommerce cybersecurity and disseminate relevant information to stakeholders.
Ensure compliance with relevant industry regulations and standards, such as GDPR, CCPA, and Payment Card Industry Data Security Standard (PCI DSS).
Prepare for and support internal and external cybersecurity audits and assessments.
Collaborate with legal and compliance teams to address any findings or recommendations from audits and assessments.
Bachelor's degree in Computer Science, Information Technology, or a related field. Advanced degree is a plus.
8+ years of experience in cybersecurity, preferably with a focus on ecommerce platforms and online transactions.
Strong knowledge of cybersecurity frameworks and standards, such as ISO 27001, NIST Cybersecurity Framework, and PCI DSS.
Experience with ecommerce-specific security challenges, including secure payment processing, data privacy, and web application security.
Familiarity with common cybersecurity tools and technologies used in the ecommerce industry, such as WAFs, IDS, DLP solutions, and vulnerability scanning tools.
In-depth understanding of secure coding practices, encryption algorithms, and network security protocols.
Strong analytical and problem-solving skills, with the ability to identify and address security vulnerabilities and threats.
Excellent communication and collaboration skills to effectively work with cross-functional teams.
Relevant certifications, such as Certified Information Systems Security Professional (CISSP) or Certified Ethical Hacker (CEH), are highly desirable.

Note: All applicants must submit their Resumes in English"
Analista de Ciberseguridad,Analista de Ciberseguridad,AvantGarde Human Capital Consultants,May,2024,"Somos una empresa mexicana de tecnología financiera, multi certificada y premiada, con 28 años de experiencia, la primera y más importante Sociedad de Información Crediticia en México.

Queremos invitarte a formar parte de nuestro equipo como Analista de Ciberseguridad

Objetivo:

Ejecutar las actividades de seguridad lógica asignadas por la Gerencia de Seguridad y supervisión de seguridad, así como administrar y proponer mejoras en los controles. Operar los sistemas de protección contra código malicioso y seguridad en puntos finales, así como el aseguramiento de equipos de proveedores. Atención a auditorías internas y externas así como evaluar tecnologías de seguridad. Identificar activos de información para asignación de controles.

Competencias Clave:

Comunicación Efectiva

Orientación al Cliente

Manejo y Solución de Conflictos

Trabajo en Equipo

Toma decisiones

Capacidad Analítica

Requisitos:

Licenciatura en Sistemas Computacionales Administrativas, Ciencias Computacionales , Tecnologías de la Información o Ingeniería en Sistemas

Indispensable: Titulo o cédula profesional

3 a 4 años de experiencia ejecutando actividades y procesos de Soporte técnico, respuesta a incidentes, administración de sistemas computacionales, configuración de herramientas de Seguridad de Endpoints

Lugar de trabajo: Polanco

Horario de trabajo: Lunes a Viernes de 9:00am a 6:00pm

Contratación directa, tiempo indefinido, 100% nómina

Prestaciones superiores de ley

**La empresa no discrimina por motivos de sexo, edad, personas con discapacidad, orientación y preferencia sexual, expresión e identidad de género, condición de salud, embarazo, raza u origen étnico, respeta la diversidad y no hace ninguna discriminación.**"
Cyber Security Engineer,Cyber Security Engineer,"The Dignify Solutions, LLC",June,2024,"Bachelor's Degree in Information Security, Cyber Security, or related
10+ years of demonstrated experience in conducting cybersecurity third-party risk assessments and an understanding of the associated organizational infrastructure (e.g. Relevant internal controls, business processes, governance structures etc.)
Strong understanding of the TPRM Framework, Risk Management and Information Security Practices
Hands-on exposure to TPRM tools and technology solutions (e.g., GRC enablement solutions, such as Process Unity, Prevalent, Archer, ServiceNow, etc.).
Demonstrated knowledge of standards such as ISO 27001/2, ISO 22301, ISO 27018, PCI – DSS, HITRUST, etc.
Good knowledge of privacy regulations such as GDPR, CCPA, etc.
Technical Cyber Security Certification through one recognised body such as SANS, ISACA, (ICS)2, CompTIA, Cisco, CERT, etc. Preference towards CISSP, CISA, CISM, CTPRP, CIPP, ISO 27001 Lead Auditor or Lead Implementer"
Remote Security Operations Analyst,Remote Security Operations Analyst,Computech Corporation,May,2024,"Title: Security Operations Analyst
Location: Mexico (Remote work can be considered, but the person should currently be residing in Mexico)

Summary: The Security Operations Analyst is responsible for managing and maintaining security technologies, while following HIPAA, PCI, and NIST standards. The Security Operations Analyst is also responsible for offensive security testing to identify vulnerabilities, exploitation capabilities, and organizational impact to internal and external threats.

Responsibilities:
Support implementation, management, and maintaining of information security technologies such as security information and event management systems, intrusion detection/prevention systems, vulnerability scanners, filesystem auditors, multi-factor/strong authentication technologies and logging servers
Perform offensive security testing such as vulnerability exploitation and social engineering exercises
Conduct regular and ongoing monitoring of and reporting on enterprise-wide compliance with information security and IT control standards and policies
Develop technical documentation to support information security technology deployments and configurations
Provide project support for both IT and business initiatives requiring security technologies and services
Assist in response to security emergencies both during and after business hours
Other duties as assigned

Knowledge, Skills, and Abilities:
Technology experience with network administration, systems administration, or information security administration
Ability to learn offensive technology principles and technologies
Proficiency in troubleshooting and communicating technical issues
Ability to continuously monitor the health of multiple technologies
Excellent team player
Ability to provide excellent customer service

Education:
Associate degree in MIS, Computer Science, or related discipline with appropriate exposure to information security concepts, processes, and systems. A technical diploma or certificate will substitute for the associate degree.
Information Technology related training and/or certifications (e.g. Network+, Security+, and CCNA Security) is preferred

Work Experience:
Minimum of one (1) year of Information Security or Information Technology experience
Experience with information technology monitoring and troubleshooting is a plus
Experience with enterprise technology administration (e.g. network administration or systems administration) is a plus"
Cyber Security Specialist,Cyber Security Specialist,Alten México,May,2024,"Welcome to ALTEN Mexico! We are a leading engineering and technology company that specializes in providing innovative solutions for a wide range of industries including Automotive, Energy, Aeronautics, Banking & Insurance, Telecom & Multimedia, and Rail. With over 30 years of industry experience and a strong presence in 30 countries, ALTEN Group employs over 46,000 engineers who cover the entire development cycle from conception to implementation.

As a IT Security Engineer, you will play a crucial role in the implementation, evaluation, monitoring and administration of cybersecurity controls in productive areas for our client, a big automotive player in Puebla.

The main activities to perform are the following:

Implement documentary and process controls.
Operate and execute Information Security controls.
Audit and report compliance with current regulations.
Transition and train the operational team at the end of the project for its continuous execution.

Requirements

The job my be for you if you have the following skills:

Proven expertise and experience in information security and cyber security
Advanced knowledge and experience in OT devices (e.g. PLC's, HMI's, Robots, etc.)
Certifications as ISO 27001, ISO 27002, TISAX, CISSP, CISM or related is a plus
Knowledge in IT, Information Security, Cyber Security
English intermediate level is required

Benefits

Private Health Insurance
Pension Plan
Paid Time Off
Work From Home
Training & Development
Performance Bonus"
Operador y Analista de seguridad informática,Operador y Analista de seguridad informática,EducacionIT,April,2024,"Se busca técnico en seguridad informática para trabajar en importante empresa financiera.

Más de 2 años de experiencia comprobable en tareas de seguridad informática.

Es EXCLUYENTE indicar remuneración pretendida en BRUTO.

Modalidad híbrida.

Responsabilidades

Implementar, gestionar y documentar soluciones de seguridad.
Investigar y responder a incidentes de seguridad.
Control de accesos y de usuarios.
Batch Nivel Medio (Linux/Windows)
Gestión de Certificados

Requisitos

Formación técnica en seguridad informática.
Experiencia mínima COMPROBABLE de 2 años en el sector.
Conocimientos de scripting en PowerShell y bash Linux. (NO EXCLUYENTE)
Manejo de Active Directory o gestión de usuarios
Conocimientos en Gestión de Certificados

Ofrecemos

Salario competitivo
Beneficios sociales
Oportunidades de desarrollo profesional

Si estás interesado en esta oportunidad, envía tu CV y remuneración pretendida en BRUTO (EXCLUYENTE)."
Especialista en seguridad de TI Jr/Ssr,Especialista en seguridad de TI Jr/Ssr,Empresa Confidencial,May,2024,"Somos una empresa transnacional que ofrece servicios de TI a diversos sectores del mercado y en la actualidad nos encontramos en la búsqueda de un Especialista en Seguridad Jr/Ssr para asumir nuevos retos y ser parte de nuestra expansión continua.

Requerimientos

🔧Conocimiento profundo de sistemas operativos, redes y aplicaciones
🔧Habilidades de programación
🔧Experiencia en pruebas de penetración.
🔧Conocimiento de las últimas amenazas y vulnerabilidades:
🔧Offensive Security Certified Professional (OSCP):
🔧Certified Ethical Hacker (CEH)
🔧Penetration Testing with Kali Linux (PWK):

Principales Funciones

🚀Identificar y evaluar vulnerabilidades
🚀Realizar pruebas de penetración:
🚀Desarrollar herramientas y scripts de seguridad
🚀Mantenerse actualizado sobre las últimas amenazas y vulnerabilidades
🚀Redactar informes de seguridad
🚀Colaborar con otros equipos de seguridad


Beneficios:
🏥EPS
💼Beneficios corporativos
💻Trabajo Remoto

Posición apta para personas con discapacidad"
