Position,Company_Name,Location,Post_Month,Post_Year,Details
Security Consultant,Security Consultant,Tata Consultancy Services,May,2024,"Hi,

Warm greetings! I work with Tata Consultancy Services and I'm excited to connect with you. I noticed that you are open to work and I have a job opportunity that could be a perfect match for you, given your open-to-work preferences.

Tata Consultancy Services is looking for a Security Testing to join our team on a full-time basis.
Work location: Guadalajara (onsite)
Above:4+ years of Experience.


If you are interested. Kindly share updated resume in English to m.ammu@tcs.com


Best regards,
Ammu"
Gerente Jr Monitoreo Ciberseguridad || Corporativo,Gerente Jr Monitoreo Ciberseguridad || Corporativo,Coca-Cola FEMSA,April,2024,"Gerente Jr. Monitoreo Ciberseguridad

Misión

La vigilancia de la seguridad de TI en KOF, demanda una actividad de monitoreo y respuesta especializada, para dar frente a los Ciberataques que ocurren en el día a día y que son alertados por el servicio de monitoreo de eventos de seguridad del SOC, dichos alertamientos deben ser gestionados con las distintas áreas involucradas, para su seguimiento y cierre, por lo que se requiere de un rol en KOF responsable de desarrollar y/o colaborar los planes, programas y proyectos que fortalezcan el monitoreo, así como la ejecución de gestión de incidentes de ciberseguridad, procurando la rápida atención y mitigación de impactos negativos hacia la operación y el negocio.

Principales Actividades Del Puesto

Diseñar la estrategia adecuada de monitoreo, en concordancia con la estrategia y particularidades de KOF.
Ejecutar y gestionar la mejora continua de las herramientas de detección de incidentes (Casos de uso, optimización de fuentes de logs, identificación de oportunidades, etc.)
Uso y mantenimiento del servicio de Ciberinteligencia para agilizar la identificación de comportamientos anómalos que puedan detonar incidentes y crisis de ciberseguridad.
Colaboración y retroalimentación hacia los procesos de otras áreas de Seguridad TI, CISO y Seguridad OT.
Prevención de la escalación de incidentes de ciberseguridad.
Diseño, implementación y seguimiento de reportes/métricas de su función.
Apoyo en la coordinación del CSIRT (equipo de respuesta a incidentes), así como la retroalimentación del CIRP (proceso de respuesta a incidentes).
Asegurar que se corrijan y se capitalicen aprendizajes derivados de la atención del monitoreo y alertamientos, tanto en la infraestructura tecnológica, como en las aplicaciones, controles y procesos.
Ejecutar las actividades para la respuesta a incidentes y crisis a través de: Activación de protocolos ante alertamientos de origen interno o externo, Analizar y priorizar eventos anómalos por su impacto potencial, Coordinar las acciones para la contención de incidentes, Coadyuvar en la entrega de documentación a aseguradoras, Vigilancia y seguimiento estrecho de los incidentes hasta su solución y capitalización de lecciones aprendidas, Coordinar la normatividad de su ámbito de acción con las áreas de normatividad de ciberseguridad y gobierno de procesos.


Requerimientos Del Perfil

Formación

Licenciatura/Ingeniería en Sistemas.
Formación sólida en Ciberseguridad.


Experiencia

Operación de Seguridad TI
Responsable de SOC (Security Operation Center), Blue Team, Inteligencia de Amenazas, Incident Manager.
Diseño, configuración y operación de SIEM (Correlacionador de eventos)
Gestión de proveedores de servicios de seguridad TI.


Conocimientos / Certificaciones

Tecnologías de Información
Ciberseguridad
SIEM (Correlacionador de eventos de seguridad TI)
Incident Handler / Incident Manager
Indispensable idioma inglés (totalmente bilingüe)."
Consultor en Ciberseguridad,Consultor en Ciberseguridad,NAAT.TECH,May,2024,"NAAT.TECH es una empresa 100% Mexicana con presencia Internacional enfocada al desarrollo de aplicaciones integrando tecnología, biometría e inteligencia artificial.

Contamos con una nueva vacante como CONSULTOR DE CIBERSEGURIDAD que será el responsable del aseguramiento de la Seguridad en NAAT, de sus aplicativos y de la infraestructura para proponer soluciones y asesoramiento experto en temas de Ciberseguridad.
Requisitos
Escolaridad:
Licenciatura en Sistemas, Computación o a fin.
Experiencia comprobable en el sector financiero.
Conocimientos en:
Código / Políticas / firewalls / servidores / infraestructura / Infraestructura / WAF
Experiencia:
Realizando evaluación de riesgos y análisis de la vulnerabilidades para identificar brechas posibles de la seguridad.
Diseñar y desarrollar políticas de seguridad cibernética para proteger activos críticos de la empresa.
Brindando asesoramiento y formación sobre mejores practicas de seguridad en el manejo de accesos a sistemas y datos.
Monitoreo y análisis de amenazas.
Gestión de vulnerabilidades.
Auditoria de sistemas.
Conocimientos en encriptación y autentificación."
Security Risk Consultant,Security Risk Consultant,Santander Digital Services,May,2024,"En Santander Digital Services somos parte del equipo global de Tecnología y Operaciones del Santander, uno de los grupos bancarios más importantes en Europa y América. Trabajamos para que Santander se convierta en la mejor plataforma abierta de servicios digitales financieros.

Forma parte del equipo ONE North America como una fuerza de trabajo tecnológica dedicada al 100% a los objetivos de negocio de las entidades del Banco Santander US. El equipo incluye perfiles como Desarrolladores, Arquitectos, Finanzas, Scrum Masters, Infosec y muchos otros.

Estamos en búsqueda del perfil: Security Risk Consultant.

El candidato exitoso será un persona con experiencia identificando, evaluando y probando riesgos y controles de TI. Opera dentro de la primera línea de defensa como responsable del Control de Negocios y Gestión de Riesgos (Tecnología de la Información y Autoevaluación de Control).

Responsabilidades

Ejecución y supervisión de la s pruebas de los procesos de TI.
Facilitar el conocimiento de la línea de negocios (TI) y cumplimiento de los marcos, políticas y estándares de riesgo a través de pruebas de control interno y validación de problemas.
Informar, escalar las excepciones , facilitando las acciones correctivas de Business Line (IT).
Respaldar y supervisar el cumplimiento de TI con las políticas y procedimientos corporativos, incluidas las obligaciones reglamentarias/legales.
Asegurar el Cumplimiento de los marcos, políticas y estándares de riesgo.
Realizar mapeo de procesos, matrices de control y riesgo, evaluaciones de riesgos inherentes y pruebas de control de TI.

Requisitos:

Ciencias de la Computación, Ciencias de la Información Informática y/o campo relacionado con la tecnología.
Gestión de Riesgos de TI, Controles Internos, Auditoría, experiencia relevante en la línea de negocio.
Inglés Avanzado IMPRESCINDIBLE.

Experiencia:

Mínimo 6 años dentro de los programas de Auditoría de Tecnologías, RCSA de Tecnologías y experiencia en ejecución de pruebas de control IT (ITGC).
Ejecución de pruebas de controles de TI en múltiples dominios y evaluación de controles automáticos y manuales relacionados con la seguridad de la información y/o dominios de infraestructura de TI.
Programa de autoevaluación de riesgos y controles.
Desarrollo y documentación de procedimientos de prueba.

Skills:

Capacidad para trabajar en múltiples evaluaciones simultáneas.
Evaluación de riesgos, negociación y resolución de problemas.
Colaboración y gestión de relaciones.

Ubicación:
CDMX / Querétaro."
Information Security Consultant,Information Security Consultant,Danfoss,May,2024,"Job Description
Do you want to work in an exciting company that cares about the climate and that contributes to the green transition? Do you want to help protect this great company? Do you thrive in a developing and dynamic company that invests in Information Security? Do you want to play a key part in the management of information security risks? If you can answer yes, then you need to apply to this position today!

This role Supports development of a highly effective information security culture by contributing to the development, implementation and administration of the Information Security Governance and Risk. Collaborates across the organization to ensure that security projects and activities are managed effectively, efficiently and in a manner that is compliant with company standards and expectations.

Job Responsibilities
Responsibilities for this position include, but are not limited to, the following.

Drives the continuous development of the risk management process.
Communication expert to different stakeholders across the organization
Supports the Security Governance of the ISMS
Support the Information Security Governance tactics and approaches.
Ensures application of security standards, principles, and practices.
Contributes to design, development and testing of security controls.
Develops documentation, reviewing and suggesting improvements for existing processes within Information Security.

Background & Skills
At Danfoss, we believe that a diverse and inclusive workplace fosters creativity, innovation, and a broader perspective in decision-making. When you consider this job posting, do you feel like your profile is not a perfect match? Numerous studies have found that women and people of color are more likely to apply only when they meet all requirements listed in the job posting. Even if you do not check all the boxes, we encourage you to apply anyway. We are curious to find out how you can bring new insights to the role or to Danfoss as an organization.

The ideal candidate possesses these skills.

Engineering or equivalent work experience required.
Minimum of 5 years of relevant experience or equivalent combination of education and experience in Information Security, Internal Audit, Project Management and or Legal.
Good business English skills (Written and spoken). Preferred Qualifications
Good knowledge of security and process frameworks (e.g., ISO 27001).
Good knowledge of risk management concepts and risk assessment best practices.
Experience in performing security assessments/audits.
Strong interpersonal skills and experience of building relationships at different levels of the organization.
Proficiency in PowerPoint, MS Word, MS Excel.
Ability to communicate fluently in English (speak, read, write)

Furthermore You
Are great at creating working relationships with peers – ideally with experience in a multicultural and geographically dispersed team.
Have focus on continuous improvement, challenging status quo.
Contribute to a work environment that encourages knowledge of respect for and development of skills to engage with those of other cultures and backgrounds
Have an analytical and assertive mindset
Have a keen eye for the important details
Work comfortably in collaborative environment

Danfoss – Engineering Tomorrow
At Danfoss, we are engineering solutions that allow the world to use resources in smarter ways - driving the sustainable transformation of tomorrow. No transformation has ever been started without a group of passionate, dedicated and empowered people. We believe that innovation and great results are driven by the right mix of people with diverse backgrounds, personalities, skills, and perspectives, reflecting the world in which we do business. To make sure the mix of people works, we strive to create an inclusive work environment where people of all backgrounds are treated equally, respected, and valued for who they are. It is a strong priority within Danfoss to improve the health, working environment and safety of our employees.

Following our founder’s mindset “action speaks louder than words”, we set ourselves ambitious targets to protect the environment by embarking on a plan to become CO2 neutral latest by 2030."
Information Security Consultant,Information Security Consultant,Danfoss,May,2024,"Job Description
Do you want to work in an exciting company that cares about the climate and that contributes to the green transition? Do you want to help protect this great company? Do you thrive in a developing and dynamic company that invests in Information Security? Do you want to play a key part in the management of information security risks? If you can answer yes, then you need to apply to this position today!

This role Supports development of a highly effective information security culture by contributing to the development, implementation and administration of the Information Security Governance and Risk. Collaborates across the organization to ensure that security projects and activities are managed effectively, efficiently and in a manner that is compliant with company standards and expectations.

Job Responsibilities
Responsibilities for this position include, but are not limited to, the following.

Drives the continuous development of the risk management process.
Communication expert to different stakeholders across the organization
Supports the Security Governance of the ISMS
Support the Information Security Governance tactics and approaches.
Ensures application of security standards, principles, and practices.
Contributes to design, development and testing of security controls.
Develops documentation, reviewing and suggesting improvements for existing processes within Information Security.

Background & Skills
At Danfoss, we believe that a diverse and inclusive workplace fosters creativity, innovation, and a broader perspective in decision-making. When you consider this job posting, do you feel like your profile is not a perfect match? Numerous studies have found that women and people of color are more likely to apply only when they meet all requirements listed in the job posting. Even if you do not check all the boxes, we encourage you to apply anyway. We are curious to find out how you can bring new insights to the role or to Danfoss as an organization.

The ideal candidate possesses these skills.

Engineering or equivalent work experience required.
Minimum of 5 years of relevant experience or equivalent combination of education and experience in Information Security, Internal Audit, Project Management and or Legal.
Good business English skills (Written and spoken). Preferred Qualifications
Good knowledge of security and process frameworks (e.g., ISO 27001).
Good knowledge of risk management concepts and risk assessment best practices.
Experience in performing security assessments/audits.
Strong interpersonal skills and experience of building relationships at different levels of the organization.
Proficiency in PowerPoint, MS Word, MS Excel.
Ability to communicate fluently in English (speak, read, write)

Furthermore You
Are great at creating working relationships with peers – ideally with experience in a multicultural and geographically dispersed team.
Have focus on continuous improvement, challenging status quo.
Contribute to a work environment that encourages knowledge of respect for and development of skills to engage with those of other cultures and backgrounds
Have an analytical and assertive mindset
Have a keen eye for the important details
Work comfortably in collaborative environment

Danfoss – Engineering Tomorrow
At Danfoss, we are engineering solutions that allow the world to use resources in smarter ways - driving the sustainable transformation of tomorrow. No transformation has ever been started without a group of passionate, dedicated and empowered people. We believe that innovation and great results are driven by the right mix of people with diverse backgrounds, personalities, skills, and perspectives, reflecting the world in which we do business. To make sure the mix of people works, we strive to create an inclusive work environment where people of all backgrounds are treated equally, respected, and valued for who they are. It is a strong priority within Danfoss to improve the health, working environment and safety of our employees.

Following our founder’s mindset “action speaks louder than words”, we set ourselves ambitious targets to protect the environment by embarking on a plan to become CO2 neutral latest by 2030."
Graduate Cyber Security Consultant - Offensive Security - Mexico,Graduate Cyber Security Consultant - Offensive Security - Mexico,wizlynx group,February,2024,"Key Role
As an upcoming or recent graduate within the Cyber Security curriculum, you will participate in a variety of engagements, conducting hands-on penetration testing beyond automated tool validation, which will focus on targets that may include network devices, servers, web and mobile apps, web APIs, wireless infrastructures, IoT devices, and other information systems. 
You will have the opportunity to combine technical expertise with your imagination to conduct targeted attacks and discover vulnerabilities, with the goal of ensuring wizlynx group’s customers remain one step ahead of its adversaries. 
 What we are looking for
Recent college graduates with a curriculum focused on information security, Cyber Security, or a related field
Working experience or intern equivalence in cyber security
Demonstrated passion for cyber security (offensive security and penetration testing)
Strong attention to detail
Excellent oral and written communication skills (English and local language)
Basic understanding of what penetration testing is, what it entails the tools being used and common vulnerabilities being tested and researched
Demonstrate how this knowledge is being acquired
Attended specific modules during university
Participated to capture-the-flag events
Attended online trainings & academies (e.g. Portswigger Web Security Academy, PwnTillDawn Academy) 
Practicing in penetration testing labs (e.g. PwnTillDawn, HTB, TryHackMe) 
 What we are offering you
You will have the opportunity to be mentored by the best Cyber Security experts and learn while shadowing senior consultants during customer engagements from day one.
At wizlynx group, you will follow a continuous training program to develop and strengthen core IT and Cyber Security skills, such as computer and network security, penetration testing, incident response and forensics, secure software programming, etc.  You will also have the chance go to conferences, participate to hacking competitions, attend advanced trainings and pass highly recognized certifications from Offensive Security, GIAC, and CREST.
We are offering you an opportunity to work in a thrilling, challenging and fun environment, where what you do is important and meaningful.  At wizlynx group, there is no limit but the sky.  If you wish to learn and get involved in other areas of Cyber Security and/or the business, we will ensure that you get all the help you need to succeed.  At wizlynx group, you will get dedicated time for security research on topics that interest you the most.

Who we are
wizlynx group is an ethical, trustworthy, and vendor agnostic Swiss Cyber Security provider. Our customers rely on us to effectively protect their business and trade secrets against any form of cybercrime, such as malware outbreak, malicious insiders, cyberattacks, cyber espionage, data leakage, and more.
We live and breathe Cyber Security!  For this reason, we have designed a service portfolio that covers the entire risk management lifecycle to ensure our customer benefits the most from our passion and experience, but primarily to maximize their protection.

Our Cyber Security Service rely on highly skilled security professionals and penetration testers with long-lasting experience, both in defense and offense, while holding the most recognized certifications in the industry.
Apply now if you think you are a good match!  We will respond to let you know what the next steps are, but in the meantime feel free to check us out:  https://www.wizlynxgroup.com/"
Consultor Ciberseguridad,Consultor Ciberseguridad,Total Cyber-Sec,May,2024,"Total Cyber-Sec es una empresa Mexicana de Grupo Salinas especializada en la prestación de Servicio Profesionales de Seguridad de la información y ciberseguridad, con un equipo de profesionales con más de 15 años, comprometida con la igualdad laboral y no discriminación, con declaración explícita de la prohibición de solicitudes de certificados médicos de no embarazo y Virus de Inmunodeficiencia Humana (VIH) como requisitos para el ingreso, permanencia o ascenso en el empleo.

Comprometidos con la igualdad laboral y no discriminación, nos encontramos en la búsqueda de talento como:

**Especialista de Seguridad Pentesting**

Escolaridad: Ingeniería en Sistemas, Informática o a fin.

Principales funciones:
• Alto grado de conocimiento en administración de servidores (Windows / Linux)
• Lenguajes de programación (.Net, Java, Python, etc)
• Alto grado de conocimiento en Pentesting
• Ingeniería Social
• Phishing
• Analisis de malware
• Conocimientos de análisis forense
• Análisis y respuesta de incidentes de seguridad
• Uso de herramientas de ciberseguridad, IDS, IPS, Firewall, WAF, etc.
• Conocimientos en NIST CTF
• Conocimiento de metodología OWASP
• Manejo de framework MITRE ATT&CK

Habilidades:

· Análisis y solución de problemas
· Organización y control
· Servicio al cliente
· Trabajo en equipo
· Liderazgo

Ofrecemos:

⦁ Sueldo competitivo
⦁ Prestaciones de Ley
⦁ Seguro de vida
⦁ Oportunidades de desarrollo
⦁ Excelente ambiente de trabajo.

Interesados pueden postularse por este medio o bien enviar CV al siguiente correo:

juan.adamec@totalcybersec.com"
Coordinación de infraestructura y Ciberseguridad,Coordinación de infraestructura y Ciberseguridad,Daam Group Consulting,May,2024,"Company Description
Empresa que tiene presencia en México y Estados Unidos.

Role Description
Tol de tiempo completo, con la posibilidad de trabajo hibrido.

Qualifications
. Ciberseguridad: • Conocimiento avanzado en administración de firewalls y sistemas EDR. • Experiencia en implementación de políticas de seguridad y análisis de vulnerabilidades. • Capacidades en investigación de amenazas y respuesta a incidentes.
2. Infraestructura: • Administración de sistemas operativos y servidores. • Gestión de redes y configuración de VPNs. • Manejo de bases de datos y servidores de aplicaciones. • Experiencia en administración de almacenamiento y soluciones de respaldo.
3. Virtualización: • Experiencia avanzada en administración de entornos virtualizados (VMware, Vcenter, Vsphere, ProxMox, quemu, Openstack).
4. Linux: • Administración avanzada de sistemas operativos Linux (RedHat, AlmaLinux, CentOS, Suse). 5. Cloud: • Experiencia en administración de servicios en la nube (Google Cloud, AWS). • Implementación de infraestructura como código (IaC) utilizando herramientas como Terraform o CloudFormation.

Educación y Formación:
• Licenciatura en Informática o carreras afines.
• Certificaciones en seguridad, virtualización, tecnologías de cloud y administración de redes."
HEAD DE CIBERSEGURIDAD y CIBERRESILIENCIA,HEAD DE CIBERSEGURIDAD y CIBERRESILIENCIA,IRIUM,May,2024,"TECHNICAL SKILLS:

Planificación Estratégica (ejecutiva)
Ciberseguridad
Seguridad en la nube
DevSecOps
ServiceNow, AWS, Splunk, McAffee,CyberArk, Sailpoint, OKTA
Seguridad de la información y auditorías tecnológicas
Gestión de proyectos
Ciclo de vida del desarrollo de programas
Gestión de riesgos
Gestión de infraestructura
BCP/PRD
Técnicas de evaluación de seguridad
Gestión de equipos
Se recomienda la certificación Client Technical Solutioners (CTS)

SOFT SKILLS:

Experiencia en la comprensión/conocimiento de las tendencias técnicas del mercado
Pensar diferente para construir soluciones técnicas y satisfacer las necesidades del cliente en forma digital
Experiencia en relaciones de C level (directores)
Experiencia previa en gestión de proyectos
Experiencia trabajando con compromisos, proyectos o transiciones
Trabajo desempeñado preferentemente en rol de líder de equipo como PYME
Capacidad para trabajar en equipos diversos desafiados por limitaciones geográficas
Comprometido y disponible durante la fase de negociación hasta firma del contrato

Ofrecemos:

Sueldo mensual acorde a experiencia
Prestaciones superiores a las de ley
Esquema 100% nominal
Ubicación: Híbrida – Polanco, CDMX

Powered by JazzHR

g5wAKqKVNp"
