Position,Company_Name,Location,Post_Month,Post_Year,Details
Cloud Engineer I- Cybersecurity (Remote),Cloud Engineer I- Cybersecurity (Remote),The Home Depot,May,2024,"Cybersecurity Engineer Job Description
Position Purpose:
Protecting what matters most to our associates and consumers by securing our sensitive data and critical assets from current and emerging threats. At The Home Depot, Cybersecurity consists of Architecture, Governance, Identity & Access Management, Internal Threat Operations, Issue and Compliance Management, Risk Assessment/Advisory, Security Consulting, Security Operations, Service Optimization and Strategic Planning.

Cloud Engineers utilize business knowledge and technical experience of cybersecurity to provide a secure environment for the business.

Understanding of public cloud platforms; GCP is preferred but not required
Understanding of cloud engineering with respect to data pipelines; familiarity with IaC, such as Terraform, is a strong plus
General understanding of cybersecurity processes and workflows preferred but not required


Major Tasks, Responsibilities & Key Accountabilities:
100% - Deliver Execution & Problem Solving - Troubleshoot and quickly resolve escalated incidents Investigate and recommend corrective actions related to incidents Collaborate with Enterprise Technology to configure and integrate cybersecurity systems and services that mitigate risk Design, build, configure, maintain and monitor cybersecurity threat defense capabilities and user access management

Nature and Scope:
This Position typically reports to Manager or Sr. Manager

This Position has 0 Direct Reports

Environmental Job Requirements:
Environment:
1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.
Travel:
No travel required.

Additional Environmental Job Requirements:
Standard Minimum Qualifications:
Must be eighteen years of age or older.
Must be legally permitted to work in the United States.


Education Required:
The knowledge, skills and abilities typically acquired through the completion of a high school diploma and/or GED.

Years of Relevant Work Experience:
0 years

Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

Knowledge, Skills, Abilities and Competencies:
- Action Oriented
- Collaborates
- Communicates Effectively
- Customer Focus
- Drives Results"
(Remote) Junior Network Security Engineer,(Remote) Junior Network Security Engineer,Klar,May,2024,"About KLAR

Let’s start with the basics! Klar is a Mexican fintech startup whose mission is to democratize and revolutionize the way in which financial services have been delivered so far in Mexico, especially since half of the population doesn’t have a bank account. We offer a rich set of products across our debit and credit offers and the future is bright for Klar! We have an exciting and ambitious roadmap to bring more features to our products so that we can better serve our users. We have served more than 2 million users since our launch in 2019!

We are also proud to have been certified in 2023 as a “Great Place to Work” in Mexico - we’ve worked hard to make that happen and will continue to make bigger strides in the future! Sound like a place you’d like to be?

Our people

If you join us at Klar, you’ll be welcomed into a team which is rich in many talents and we are very proud! With our head office in Mexico City, and remote tech hubs in Berlin and Argentina, we are always learning something new about another culture or language. With so many people from different backgrounds and walks of life (parents, LGBTQ+, neurodivergence), you’ll definitely find your people here!

Our values

Ownership - We own our successes & our failures as a team.
Excellence - We do everything to the best of our ability & always seek to achieve a new level of excellence in our work.
Inclusion - We believe we are stronger together and actively work to promote a safe, diverse, inclusive, and respectful culture.
Customer Obsession - We understand the value Klar can bring to its customers & it’s always at the forefront of our decisions.
Klarity - We communicate clearly & with authenticity. It’s in our name & it’s what we do.


Tasks

The position and your daily adventures

This is a full-time remote position and can be performed in timezones similar to our hubs in Mexico City.

What you can expect:

Maintenance and Deployment of Network Security Infrastructure on AWS and On-Premises Data Center.
Infrastructure deployment using Terraform, GitHub.
Network Security enforcement using Palo Alto and Fortinet Firewalls.


Requirements

What we are looking for:

Fast learner, commitment with learning process.
Basic scripting coding knowledge (Phyton, Bash, Batch)
Networking knowledge
Experience in Networking management (virtual, physical)


Preferred Qualifications:

CIsco CCNA Certification
Palo Alto PCNSA Certification
Fortinet FCA Certification
HashiCorp Terraform Associate Certification.


Benefits

Our offer to you

Competitive salary based on performance and experience
Chance of earning Klar stock options
26 days of paid vacation per year
Computer devices
Gympass subscription to offer mental and physical health
Access to Desana, a network of flexible workspaces around the world
International work environment with amazing and highly skilled people
A world class team that helps you evolve your skills in areas you're interested in


Klar is a safe place for everyone!

We trust our highly skilled and diverse team and we’re committed to creating a welcoming and inclusive environment for new talents to flourish. We value diversity and welcome all applications regardless of gender, nationality, ethnic and social origin, religion/belief, physical abilities, age, sexual orientation and identity."
Analista Ciberseguridad T1,Analista Ciberseguridad T1,Axtel,May,2024,"Administrar, operar y mantener los equipos que brindan los servicios de seguridad,

asegurando su funcionamiento apropiado para cuidar la confidencialidad, integridad y

disponibilidad de la información de los clientes, creando las condiciones necesarias para

minimizar los riesgos de seguridad aplicables.

Realizar troubleshooting, administrar y gestionar equipos de seguridad perimetral y endpoints:
Dar seguimiento y documentar incidentes, requerimientos, cambios y/o problemas relacionados a los servicios administrados de seguridad.

Solucionar e investigar la causa raíz de los incidentes y problemas mediante el uso de herramientas computacionales y documentación especializada.

Dar asesoría a clientes para mejoras en términos de seguridad y ayudar en la evolución del nivel de seguridad aplicado para el manejo de la información del cliente. Implementar soluciones

alternas que reestablezcan el servicio afectado. Analizar los problemas a un nivel de detalle especializado. Investigar la causa raíz del problema mediante el uso de herramientas sniffer y

documentación especializada. Atención a Clientes sobre reportes de falla de sus equipos de seguridad.

Desarrollar Métodos de Procedimientos, Procesos Operativos, Mejores Prácticas, Metodoligías de Diagnóstico y Manuales de Instrucción que nos permintan tener un mejor control sobre los

servicios para prevenir afectaciones y, en caso de falla, darle una atención más eficiente para reducir tiempos de afectación.

Dar seguimiento a los programas periódicos de análisis de vulnerabilidad, pruebas de penetración, pruebas de laboratorio o similares que ayuden a mejorar el nivel de seguridad a las

diferentes soluciones de seguridad que se operan.

Experiencia en troubleshooting de Seguridad de

Información, haber trabajado con equipos firewall Palo

Alto, Fortinet, Cisco, Checkpoint, Meraki, balanceadores,

tecnología SDWAN, switches capa 3, routers.

Manejo de protocolos de ruteo OSPF, GBP. Manejo de VPN

Site to Site entre diferentes fabricantes

Certificacion Fortinet NSE4"
Operador(a) Junior Cyber Security,Operador(a) Junior Cyber Security,Deloitte,May,2024,"En Deloitte, tú decides qué impacto crear

Operador(a) Junior Cyber Security

¿Cómo es el día a día de la posición?

Como Operador(a) Junior Cyber Security en Deloitte serás responsable del monitoreo de amenazas cibernéticas, mediante el análisis, evaluación y monitoreo continuo de las redes, sistemas y procesos de profundidad dentro de los ambientes tecnológicos de nuestros(as) clientes(as).

Trabajarás en un ambiente dinámico y enriquecedor con personas de diferentes culturas, perspectivas, especialidades y conocimientos. Juntos(as), creamos soluciones únicas y de calidad, superando las expectativas y alcance de nuestros proyectos y clientes. Nos motiva generar un impacto significativo en todo lo que hacemos.

¿Qué se necesita para aplicar?

Ser Titulado(a) o en proceso de Titulación de Ingeniería en Sistemas, Electrónica, Telecomunicaciones o carrera afín.
Experiencia de 0 a 1 año en análisis de alertas, respuesta a incidentes, configuración de controles de seguridad (perimetrales y endpoint), identificación de amenazas, investigación en herramientas de seguridad (EndPoint, Correo, IPS, WAF). Elaboración de informes y propuesta de acciones de mitigación/remediación. Conocimientos técnicos: análisis de eventos de seguridad (Servidores Web, Controladores de dominio, Firewall, Proxy, Antivirus, IPS´s, WAF), analizadores de tráfico: Wireshark, tcpdump, packet tracer, etc.
Deseable experiencia de Investigación en MISP, SIEM (Elastic, Splunk, Logrythm), SOAR
Nivel mínimo de inglés intermedio (480 puntos TOEFL o equivalente)
Disponibilidad de tiempo completo y rolar turnos
Lugar de trabajo: Ciudad de México
Atributos adicionales: Trabajo en equipo, Compromiso y responsabilidad, Comunicación, Organización, Desarrollo constante

¿Por qué Deloitte?

Con nuestro trabajo hacemos un impacto significativo, que marca una diferencia positiva en nuestros(as) clientes, la sociedad y el planeta. Colaboramos en distintos proyectos con personas que nos escuchan, inspiran, alientan y apoyan a dar lo mejor de nosotros(as) mismos(as).

Para Deloitte, nuestro desarrollo integral es una prioridad. A través de las oportunidades de aprendizaje, movilidad, voluntariado y la asesoría personalizada de nuestros(as) líderes, crecemos en nuestras carreras y formamos lazos que perduran.

Siguientes pasos

¿Estas listo(a) para crear un impacto? Te estamos buscando, postúlate."
"Security Analyst, Incident Response","Security Analyst, Incident Response",Lyft,May,2024,"At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.

Lyft connects people to transportation to change the way we live and get around our communities. Lyft’s engineering team is growing rapidly, and we are looking for Security Engineers to help us scale. Come be part of a new team at Lyft focused on enabling and empowering engineering teams to deliver at scale.

Our drivers and passengers entrust Lyft with their personal information and travel details to get where they're going and expect us to keep that data safe. Lyft's security team leads efforts across the company to ensure our systems are secure and worthy of our users' trust.

Lyft Security builds systems to protect and defend infrastructure and services from cyber attacks. We consult with teams as they build and launch new products and features, proactively plans for the unexpected, and responds to incidents that occur. Our work has company wide impact and takes place at all levels of the stack, from infrastructure to web application security, as well as mobile apps, IT, bikes, scooters, etc. We believe in scaling security through engineering fundamentals, automation, and tooling. Check out our blog posts at https://eng.lyft.com/tagged/security to learn more about some of the things we’ve built.

The Incident Response team owns identification, and response of security indents as well as our proactive hypothesis based Threat Hunting program.

The Security Analyst is part of the detection and response group obsessed with quality of security alerts, feedback loops to respond quickly to incidents, reducing time to detect and executing proactive actions.

Responsibilities:

Swiftly Respond to Security Incidents:

Respond promptly to security incidents by orchestrating coordinated responses across engineering teams and other relevant disciplines.

Analyze and Prioritize High-Quality Security Alerts:

Assess and prioritize security alerts of high quality with the potential to impact the organization, based on SOCLess approach

Collaborate with the Detection Engineering Team:

Work closely with the Detection Engineering Team to identify and implement new security strategies aimed at detecting threats, reducing the attack surface, and enhancing the organization's overall cybersecurity posture.

Conduct Proactive Threat Hunting Operations:

Define and execute proactive threat hunting operations across the organization's systems and services, aiming to uncover detection gaps, identify weaknesses in security controls, and refine existing processes.

Assess the Organization's Threat Landscape:

Evaluate the threat landscape specific to the organization to prioritize proactive security measures and actions.

Develop Automation and Tooling:

Create and maintain automation tools to enhance the efficiency and impact of the incident response team's activities.

Cultivate and Maintain Key Partnerships:

Establish and nurture relationships with critical partners both within the organization and externally to foster collaboration and information sharing.

Experience, Knowledge and Skills:

Cybersecurity Knowledge:

A deep understanding of cybersecurity principles, including threat landscape, attack vectors, and security best practices
knowledge of security frameworks, standards, and compliance requirements relevant to your industry (e.g., NIST, ISO 27001). (Nice to have)

Technical:

Proficiency in using security tools and technologies such as SIEM (Security Information and Event Management), EDR (Endpoint Detection and Response), and IDS/IPS (Intrusion Detection System/Intrusion Prevention System)
Strong understanding of operating systems (Windows, Linux, macOS) and their security features.
Scripting and automation skills, experience with cloud technologies such as AWS/GCP and their tech stack

Incident Detection and Analysis:

Experience in monitoring and analyzing security alerts and events generated by security systems.
The ability to identify and investigate potential security incidents and determine their severity.
knowledge of structure analysis techniques and decision making as OODA loop.

Incident Response Experience:

Hands-on experience with incident response processes, including identification, containment, eradication, and recovery.
Experience in handling different types of security incidents, such as malware infections, data breaches, insider threats, zero day vulnerabilities, third-party

Threat Hunting Experience (Nice to have):

Proven ability to proactively identify and investigate potential threats and vulnerabilities in the organization's environment.
Familiarity with threat hunting techniques, including TTPs (Tactiques, technique and procedures) analysis, anomaly detection, and behavior analysis.
Experience in creating and refining threat hunting camping based on hypothesis or cyber threat intelligence.

Communication Skills:

Strong communication skills to collaborate effectively with other team members, stakeholders, and management.
Ability to document incident response and threat hunting activities clearly and concisely.
The ability to adapt to evolving cybersecurity threats and technologies and stay current with industry trends
Ability to manage multiple tasks and priorities, and work independently with minimal supervision

Certifications: Although we are not requiring security certification, the following could be a plus to be considered:

Certified Incident Handler (GCIH)
Certified Threat Intelligence Analyst (CTIA)
CompTIA Security+
Certified SOC Analyst (CSA+)
vendor-specific certifications

This role will be in-office on a hybrid schedule if an established Lyft Location is available to the Mexico City region — Hybrid Team Members will be expected to work in the office 3 days per week on Mondays, Thursdays and a team-specific third day. Additionally, hybrid roles have the flexibility to work from anywhere for up to 4 weeks per year. #Hybrid"
Cyber Security Engineer,Cyber Security Engineer,"The Dignify Solutions, LLC",June,2024,"Bachelor's Degree in Information Security, Cyber Security, or related
10+ years of demonstrated experience in conducting cybersecurity third-party risk assessments and an understanding of the associated organizational infrastructure (e.g. Relevant internal controls, business processes, governance structures etc.)
Strong understanding of the TPRM Framework, Risk Management and Information Security Practices
Hands-on exposure to TPRM tools and technology solutions (e.g., GRC enablement solutions, such as Process Unity, Prevalent, Archer, ServiceNow, etc.).
Demonstrated knowledge of standards such as ISO 27001/2, ISO 22301, ISO 27018, PCI – DSS, HITRUST, etc.
Good knowledge of privacy regulations such as GDPR, CCPA, etc.
Technical Cyber Security Certification through one recognised body such as SANS, ISACA, (ICS)2, CompTIA, Cisco, CERT, etc. Preference towards CISSP, CISA, CISM, CTPRP, CIPP, ISO 27001 Lead Auditor or Lead Implementer"
Security Analyst / Incident Response,Security Analyst / Incident Response,Lyft,May,2024,"At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.

Lyft connects people to transportation to change the way we live and get around our communities. Lyft’s engineering team is growing rapidly, and we are looking for Security Engineers to help us scale. Come be part of a new team at Lyft focused on enabling and empowering engineering teams to deliver at scale.

Our drivers and passengers entrust Lyft with their personal information and travel details to get where they're going and expect us to keep that data safe. Lyft's security team leads efforts across the company to ensure our systems are secure and worthy of our users' trust.

Lyft Security builds systems to protect and defend infrastructure. We consult with teams as they build and launch new products and features, proactively plans for the unexpected, and responds to incidents that occur. Our work has company-wide impact and takes place at all levels of the stack, from infrastructure to web application security, as well as mobile apps, IT, bikes, scooters, and autonomous vehicles. We believe in scaling security through engineering fundamentals, automation, and tooling. Check out our blog posts at https://eng.lyft.com/tagged/security to learn more about some of the things we’ve built.

The Incident Response team owns mitigation and handling of security indents as well as our proactive hypothesis based Threat Hunting program.

Responsibilities:

Respond to security incidents; orchestrating response across engineering and other disciplines
Define and execute threat hunting operations across Lyft's systems with the objective of finding detection gaps, identifying gaps in security controls, and processes
Develop automation and tooling to multiply the impact of the incident response team
Build and maintain relationships with key partners, both internally and externally

Experience:

Responding to security incidents in a DFIR or SOC
Defining and executing threat hunting operations that yield impactful findings
Present findings, recommendations and results to leadership
Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means
Ability to manage multiple tasks and priorities
Ability to work independently with minimal supervision
Nice to have: scripting and automation skills, experience with cloud technologies such as AWS/GCP/Azure

This role will be in-office on a hybrid schedule if an established Lyft Location is available to the Mexico City region — Hybrid Team Members will be expected to work in the office 3 days per week on Mondays, Thursdays and a team-specific third day. Additionally, hybrid roles have the flexibility to work from anywhere for up to 4 weeks per year. #Hybrid"
Cyber Security Specialist,Cyber Security Specialist,Alten México,May,2024,"Welcome to ALTEN Mexico! We are a leading engineering and technology company that specializes in providing innovative solutions for a wide range of industries including Automotive, Energy, Aeronautics, Banking & Insurance, Telecom & Multimedia, and Rail. With over 30 years of industry experience and a strong presence in 30 countries, ALTEN Group employs over 46,000 engineers who cover the entire development cycle from conception to implementation.

As a IT Security Engineer, you will play a crucial role in the implementation, evaluation, monitoring and administration of cybersecurity controls in productive areas for our client, a big automotive player in Puebla.

The main activities to perform are the following:

Implement documentary and process controls.
Operate and execute Information Security controls.
Audit and report compliance with current regulations.
Transition and train the operational team at the end of the project for its continuous execution.

Requirements

The job my be for you if you have the following skills:

Proven expertise and experience in information security and cyber security
Advanced knowledge and experience in OT devices (e.g. PLC's, HMI's, Robots, etc.)
Certifications as ISO 27001, ISO 27002, TISAX, CISSP, CISM or related is a plus
Knowledge in IT, Information Security, Cyber Security
English intermediate level is required

Benefits

Private Health Insurance
Pension Plan
Paid Time Off
Work From Home
Training & Development
Performance Bonus"
Cybersecurity Analyst,Cybersecurity Analyst,eINDUSTRIFY,April,2024,"Implement and maintain cybersecurity frameworks and standards, such as ISO 27001, NIST Cybersecurity Framework, and PCI DSS, to ensure compliance and alignment with best practices.
Conduct regular assessments to identify security vulnerabilities and develop remediation plans to address any gaps in security controls.
Collaborate with cross-functional teams to integrate cybersecurity practices into the overall development and operations processes.
Monitor the ecommerce platform and related systems for potential security breaches or unauthorized access attempts.
Develop and implement robust incident response procedures, including investigation, containment, mitigation, and recovery.
Stay updated on the latest cybersecurity threats and trends and proactively implement measures to protect against emerging risks.
Evaluate, select, and implement cybersecurity tools and technologies specific to the ecommerce domain, such as web application firewalls (WAFs), intrusion detection systems (IDS), and data loss prevention (DLP) solutions.
Configure and manage security tools to effectively monitor and detect security incidents, vulnerabilities, and malicious activities.
Conduct regular assessments of security tools to ensure optimal performance and effectiveness.
Perform regular vulnerability assessments and penetration tests on the ecommerce platform to identify and address potential security weaknesses.
Collaborate with development and IT teams to prioritize and remediate identified vulnerabilities in a timely manner.
Monitor and track the progress of vulnerability remediation efforts.
Develop and deliver cybersecurity training and awareness programs for employees to promote a culture of security awareness and best practices.
Create educational materials and conduct workshops to educate employees on ecommerce-specific security risks and preventive measures.
Stay updated on industry standards and trends related to ecommerce cybersecurity and disseminate relevant information to stakeholders.
Ensure compliance with relevant industry regulations and standards, such as GDPR, CCPA, and Payment Card Industry Data Security Standard (PCI DSS).
Prepare for and support internal and external cybersecurity audits and assessments.
Collaborate with legal and compliance teams to address any findings or recommendations from audits and assessments.
Bachelor's degree in Computer Science, Information Technology, or a related field. Advanced degree is a plus.
8+ years of experience in cybersecurity, preferably with a focus on ecommerce platforms and online transactions.
Strong knowledge of cybersecurity frameworks and standards, such as ISO 27001, NIST Cybersecurity Framework, and PCI DSS.
Experience with ecommerce-specific security challenges, including secure payment processing, data privacy, and web application security.
Familiarity with common cybersecurity tools and technologies used in the ecommerce industry, such as WAFs, IDS, DLP solutions, and vulnerability scanning tools.
In-depth understanding of secure coding practices, encryption algorithms, and network security protocols.
Strong analytical and problem-solving skills, with the ability to identify and address security vulnerabilities and threats.
Excellent communication and collaboration skills to effectively work with cross-functional teams.
Relevant certifications, such as Certified Information Systems Security Professional (CISSP) or Certified Ethical Hacker (CEH), are highly desirable.

Note: All applicants must submit their Resumes in English"
Cybersecurity Engineer,Cybersecurity Engineer,L'Oréal,May,2024,"WANT TO KNOW MORE ABOUT OUR BIG TECH TRANSFORMATION?

L’Oréal is present in 130 countries on five continents. For more than a century, L’Oréal has devoted itself solely to one business: beauty; it is now the industry world leader with €29 billion consolidated sales.

Today, L’Oréal includes 1700 tech positions and it’s constantly growing. Especially with our ambition to become the #1 BeautyTech company, meaning inventing the beauty of the future while becoming the company of the future.

BeautyTech will equip the Group with the key assets it needs to conquer this new world, where Tech has become strategic.

To achieve this ambition, L’Oréal needs to continue recruiting diverse, innovative, skilled and passionate minds in different tech domains such as Data, Digital, Cloud, Cyber Security, IT Architecture, DevOps, Applications and Infrastructure.

HOLD ON, WHERE ARE OUR MANNERS?

WE HAVEN’T PRESENTED OUR TEAM!

L’Oréal is in a period of growth and transformation in data and is building dynamic and multidisciplinary teams from different backgrounds to deliver on our exciting mission to accelerate the company’s Beauty Tech transformation.

We are seeking a highly skilled and experienced Cybersecurity Engineer to join our team

INTERESTED?

THIS IS WHAT YOU WILL DO IN NUTSHELL!

Responsible for corporate cybersecurity tasks and projects, including development and management of security strategies, policies, and disaster recovery procedures for private and public cloud infrastructures, network and security operation centers, datacenters, networks, and remote sites.
Specialize in information security procedures and processes design, security assurance and risk analysis, network vulnerability assessment, penetration testing, incident handling and response management.
Design security solutions protecting business from external and internal malicious intrusions including leaks of confidential information, cyber-theft of intellectual property: patents, copyrights, and trademarks, and business interruption: denial of service, loss of service availability, intrusions, and malicious code infections.
Provide custom solutions architecture, security engineering services, IP network designs, network implementations, project management, and capacity planning for large network and security projects.
Practical knowledge of standards: NIST, PCI-DSS, ISO, OWASP, SOC, GDPR, CCPA, SDLC

THIS IS WHAT YOU WILL NEED TO SUCCEED!

We love people that are curious, collaborative, eager to have an impact and who value innovation, autonomy, and team spirit. You value code simplicity, performance, and details.

Requirements

Desired Education or Equivalent Experience

Degree in Computer Science, Information Security, Data Science, Software Engineering
One or more professional security certifications: Security+, CySA+, ECSA, Google PCSE, AWS CSS, AZ-500, CCSP, SSCP, CISSP

Practical (hands-on) Knowledge Of Technologies, Protocols, And Cloud Platforms

AWS: VPC, SG, NACL, Security Hub, Trusted Advisor, Shield, Inspector, KMS, SSE, GuardDuty
Azure: VNET, NSG, ASG, AD IAM, SQL Encryption, Key Vault, Application Gateway, Security Center
GCP: Security Command Center, VPC Service Control, Cloud Armor
Proxies / Firewalls / Gateways: Zscaler, PaloAlto, Fortinet, Apigee, CA Layer7
Analyzers/Scanners: AlgoSec, FireEye, Tufin, Splunk, Rapid7, Nessus, Snort, Netcat, Netmap
Infrastructure: SDWAN, Meraki, IPSec, TLS/SSL, Cisco ISE, REST API
Authentication: CyberArk, SSO, MFA, SAML, OAuth, OIDC, PKI (CA),
Data Protection: CrowdStrike EDR/CWPP, Microsoft Purview Data Loss Prevention

Candidate Evaluation Criteria

Must prove understanding of architecture design and common security vulnerabilities.
A commitment to the crucial concept of promoting security as an enabler and not an inhibitor of business.
Contribute to building enterprise architecture management, governance, and compliance programs.
Strong organization, prioritization, rationalization, and analytics skills
An ability to cultivate and build collaborative working relationships with a broad range of enterprise stakeholders.
A well-developed understanding of business needs and a commitment to leading the information risk management team in delivering high-quality, prompt, and efficient service to the business.
A well-developed understanding of and appreciation for organizational mission, values, and goals and consistent architecture of this knowledge.
An ability to communicate complex and technical issues to diverse audiences.
Deep and thorough knowledge of advanced enterprise level architecture security standards, techniques, and tools.
Ability to assess code security vulnerabilities, implement security measure and mitigating controls.

WAIT, THERE IS MORE! LET US GIVE YOU 4 OTHER REASONS TO JOIN US!

Joining L'Oréal Means Joining a Company That

Invests in Tech and positions its Tech teams at the heart of its digital transformation strategy.
Allows its employees to have a real impact, to test their ideas, to innovate and to build our future.
Has a powerful and innovative HR policy.
Has chosen to uphold strong values and to be particularly advanced from a social and environmental point of view (strong diversity and inclusion policy, L'Oréal for the Future program, commitment to numerous communities, etc.).

The L'Oréal Group is convinced that difference is a deep source of wealth, that allows everyone to grow, to challenge themselves and to go further.

We strongly encourage everyone to always dare and never censor themselves. Skills can always be learnt.

We will be delighted to exchange with you!

Ready to build the future of L'Oréal together? Apply now!


LI_MEX"
