Position,Company_Name,Location,Post_Month,Post_Year,Details
Data Analyst,Data Analyst,PepsiCo,May,2024,"Overview

We Are PepsiCo

Join PepsiCo and Dare for Better! We are the perfect place for curious people, thinkers and change agents. From leadership to front lines, we're excited about the future and working together to make the world a better place.

Being part of PepsiCo means being part of one of the largest food and beverage companies in the world, with our iconic brands consumed more than a billion times a day in more than 200 countries.

Our product portfolio, which includes 22 of the world's most iconic brands, such as Sabritas, Gamesa, Quaker, Pepsi, Gatorade and Sonrics, has been a part of Mexican homes for more than 116 years.

A career at PepsiCo means working in a culture where all people are welcome. Here, you can dare to be you. No matter who you are, where you're from, or who you love, you can always influence the people around you and make a positive impact in the world.

Know more: PepsiCoJobs

Join PepsiCo, dare for better.

Responsibilities

Exciting Opportunity for a Data Analyst

Join our dynamic team as a Data Analyst, where you'll collaborate with database developers, data analysts, data engineers, and software engineers to create simpler, faster, and more insightful solutions for supply chain performance managers, decision-makers, specialists, and frontline personnel.

Data Analyst’s Key Responsibilities:

Gain a thorough understanding of business use cases, technologies, and best practices for key reports, tools, dashboards, ETL processes, and applications we support.
Act as the primary point of contact for technical support and enhancement requests.
Enhance the reliability of key reports, tools, dashboards, ETL processes, and applications.
Monitor and ensure the quality control of scheduled weekly technical tasks.

Your Impact:

As a Data Analyst, you will:

Improve the reliability of key reports, tools, dashboards, ETL processes, and applications.
Propose preferred methods for receiving technical support and enhancement requests from business teams and users.
Prioritize and utilize available support options (your expertise, experts, diagnostic tools, documentation, how-to videos, etc.) to address issues and enhancement requests effectively.
Handle technical support and enhancement requests from internal business teams or users, clarify as needed, research root causes, develop plans, complete requests, and communicate statuses back to requestors.
Monitor data updates and availability (e.g., user permissions) for published Tableau and PowerBI dashboards.
Complete weekly scheduled technical tasks on time, resolve discrepancies, and communicate with business teams as necessary.
Keep solution documentation up to date (common issues, how-to instructions, and enhancement details).
Inform team members about the stability of specific reports, tools, dashboards, ETL processes, or applications, identify sources of instability, suggest improvements, and track the progress of action plans to enhance performance.

Why Join Us?

Be part of a team where your contributions make a difference. Work in a supportive environment that values innovation and continuous improvement. This role is perfect for individuals who are passionate about data, enjoy problem-solving, and are eager to drive impactful changes.

Qualifications

Who Are We Looking For?

Education

Bachelor’s degree or equivalent work experience in business systems or information technology

Experience

Fluent in English
Experience in programming (VBA, Python, JavaScript, etc.)
Intermediate SQL skills (e.g., Joins, Group By, Select, Update, Delete)
Experience creating or executing ETL processes
Experience with Tableau and/or PowerBI

If this is an opportunity that interests you, we encourage you to apply even if you do not meet 100% of the requirements.

What can you expect from us:

Opportunities to learn and develop every day through a wide range of programs.
Internal digital platforms that promote self-learning.
Development programs according to Leadership skills.
Specialized training according to the role.
Learning experiences with internal and external providers.
We love to celebrate success, which is why we have recognition programs for seniority, behavior, leadership, moments of life, among others.
Financial wellness programs that will help you reach your goals in all stages of life.
A flexibility program that will allow you to balance your personal and work life, adapting your working day to your lifestyle.
And because your family is also important to us, they can also enjoy benefits such as our Wellness Line, thousands of Agreements and Discounts, Scholarship programs for your children, Aid Plans for different moments of life, among others.

We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We respect and value diversity as a work force and innovation for the organization."
Analista de datos,Analista de datos,PwC México,May,2024,"Job Summary:

We are seeking a skilled and experienced Data Analyst Jr with expertise in onboarding processes to join our team. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting data related to onboarding processes within our organization. Your insights and recommendations will play a critical role in enhancing our onboarding procedures, ensuring a seamless and efficient experience for our resources. The ideal candidate will possess strong analytical skills, attention to detail, and a deep understanding of HR onboarding practices.

Responsibilities:

Collaborate with cross-functional teams to identify, gather, and analyze data related to onboarding processes.
Collect, clean, and analyze data from various sources
Develop and maintain data models and reports
Identify and resolve data quality issues
Work with stakeholders to understand their data needs
Stay up-to-date on data analysis tools and techniques
Create visualizations to communicate data insights
Design and implement data collection methods, ensuring accuracy and completeness of data sets.
Monitor and evaluate the effectiveness of onboarding initiatives, proposing and implementing improvements as necessary.
Stay current with industry trends and best practices in onboarding processes, bringing innovative ideas to optimize our onboarding experience.

Qualifications:

Bachelor's degree in a related field such as Business Administration, or Data Analytics.
1-2 years of experience in a data analyst or related role
Fluent in English (C1 level)
Strong data management and administration skills
Proficient in Microsoft Office Suite
Experience handling data-related incidents
Advanced Excel skills
Basic knowledge of ETL processes"
Data Analyst,Data Analyst,PepsiCo,May,2024,"We Are PepsiCo

Join PepsiCo and Dare for Better! We are the perfect place for curious people, thinkers, and change agents. From leadership to front lines, we're excited about the future and working together to make the world a better place.

Being part of PepsiCo means being part of one of the largest food and beverage companies in the world, with our iconic brands consumed more than a billion times a day in more than 200 countries.

Our product portfolio, which includes 22 of the world's most iconic brands, such as Sabritas, Gamesa, Quaker, Pepsi, Gatorade, and Sonrics, has been a part of Mexican homes for more than 116 years.

A career at PepsiCo means working in a culture where all people are welcome. Here, you can dare to be you. No matter who you are, where you're from, or who you love, you can always influence the people around you and make a positive impact in the world.

Know more: PepsiCoJobs
Join PepsiCo, dare for better.

Exciting Opportunity for a Data Analyst
Join our dynamic team as a Data Analyst, where you'll collaborate with database developers, data analysts, data engineers, and software engineers to create simpler, faster, and more insightful solutions for supply chain performance managers, decision-makers, specialists, and frontline personnel.
Data Analyst’s Key Responsibilities:
Gain a thorough understanding of business use cases, technologies, and best practices for key reports, tools, dashboards, ETL processes, and applications we support.
Act as the primary point of contact for technical support and enhancement requests.
Enhance the reliability of key reports, tools, dashboards, ETL processes, and applications.
Monitor and ensure the quality control of scheduled weekly technical tasks.

Your Impact:
As a Data Analyst, you will:
Improve the reliability of key reports, tools, dashboards, ETL processes, and applications.
Propose preferred methods for receiving technical support and enhancement requests from business teams and users.
Prioritize and utilize available support options (your expertise, experts, diagnostic tools, documentation, how-to videos, etc.) to address issues and enhancement requests effectively.
Handle technical support and enhancement requests from internal business teams or users, clarify as needed, research root causes, develop plans, complete requests, and communicate statuses back to requestors.
Monitor data updates and availability (e.g., user permissions) for published Tableau and PowerBI dashboards.
Complete weekly scheduled technical tasks on time, resolve discrepancies and communicate with business teams as necessary.
Keep solution documentation up to date (common issues, how-to instructions, and enhancement details).
Inform team members about the stability of specific reports, tools, dashboards, ETL processes, or applications, identify sources of instability, suggest improvements, and track the progress of action plans to enhance performance.

Why Join Us?
Be part of a team where your contributions make a difference. Work in a supportive environment that values innovation and continuous improvement. This role is perfect for individuals who are passionate about data, enjoy problem-solving, and are eager to drive impactful changes.

Who Are We Looking For?
Education
Bachelor’s degree or equivalent work experience in business systems or information technology

Experience
Fluent in English
Experience in programming (VBA, Python, JavaScript, etc.)
Intermediate SQL skills (e.g., Joins, Group By, Select, Update, Delete)
Experience creating or executing ETL processes
Experience with Tableau and/or PowerBI

If this is an opportunity that interests you, we encourage you to apply even if you do not meet 100% of the requirements.
What can you expect from us:
Opportunities to learn and develop every day through a wide range of programs.
Internal digital platforms that promote self-learning.
Development programs according to Leadership skills.
Specialized training according to the role.
Learning experiences with internal and external providers.
We love to celebrate success, which is why we have recognition programs for seniority, behavior, leadership, and moments of life, among others.
Financial wellness programs that will help you reach your goals in all stages of life.
A flexibility program that will allow you to balance your personal and work life, adapting your working day to your lifestyle.
And because your family is also important to us, they can also enjoy benefits such as our Wellness Line, thousands of Agreements and Discounts, Scholarship programs for your children,and Aid Plans for different moments of life, among others.
We are an equal-opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We respect and value diversity as a workforce and innovation for the organization."
Analista de Datos and BI (Power BI),Analista de Datos and BI (Power BI),"Bluetab América, an IBM Company",May,2024,"En /bluetab seguimos con el desarrollo de negocio. Nuestros equipos están en pleno crecimiento

Nos alejamos del concepto de consultoría tradicional, ¿Sabes por qué?:
Contratamos para nosotros. Somos fieles a nuestra cultura y queremos compartir contigo nuestra filosofía de trabajo cooperativo, en equipo y de formación continua. Siempre podemos aprender más. Confiamos en la gente y que es posible trabajar bajo pasión, y que sientas en nuestro apoyo tanto en lo profesional como en lo personal.

Ningún mar en calma hizo experto a un marinero. ¿Somos exigentes? Sí, porque nuestros retos los son, pero te desarrollarás entre cracks, en entornos innovadores y con las últimas tendencias tecnológicas.

Esto es lo que te aporta ser /bluetaber…

Queremos invitarte a formar parte del equipo como Analista de Datos and BI (Power BI)
¿Qué buscamos?
¡Que te apasione lo que haces!, ¡Que ames la tecnología, la formación continua y los nuevos retos!

Perfil ideal del candidato

PERFIL:
Recopilación y limpieza de datos.
Análisis exploratorio.
Generación de informes y visualizaciones. Modelado estadístico.
Soporte en la toma de decisiones importantes.
Amplia experiencia y habilidad demostrable de análisis de datos aplicando técnicas de análisis estadístico y exploratorio.
para comprender los datos y extraer información relevante.
Microsoft Power BI, fórmulas de Excel complejas, uso de tablas dinámicas y PowerPivot.
Diseñar modelos de datos eficientes y escalables en Power BI para respaldar los requisitos de análisis y visualización.
Crear tableros interactivos y reportes visualmente atractivos que comuniquen de manera efectiva los insights obtenidos del análisis de datos.
Desarrollar y ejecutar reportes estratégicos a través de modelos analíticos, que permitan brindar claridad a los objetivos a través del entendimiento de los procesos de negocio a través del análisis y síntesis de situaciones complejas a un nivel que sea manejable para la toma de decisiones.
Utilizar sus habilidades analíticas, estadísticas y de programación para recopilar, analizar e interpretar grandes bases de datos
Experiencia en elaboración de tableros con herramientas visuales Analizar, consolidar y generar conocimiento sobre los distintos procesos, así como lo factores que influyen.
Identificar tendencias a través de herramientas. -Seguimiento a KPI´s de rentabilidad y/o eficiencia operativa.
Generación de reportes de inteligencia, analíticos.
Apoyar el desarrollo de modelos predictivos y/o descriptivos que permitan llegar a soluciones, evaluar la precisión y efectividad de los modelos.
Análisis, Diseño e Implementación de soluciones de inteligencia de negocios, Análisis de requerimientos, Desarrollo de dashboards ejecutivos.

Tu comodidad nos importa:

Los bluetabers trabajamos en un entorno confortable, agradable y con proyección de carrera. Eso se traduce en:

Contrato indefinido con un salario competitivo. El salario se relaciona en función de los conocimientos técnicos detectados en el proceso y rol asignado, procurando respetar el sentido de equidad y siendo susceptible de mejora tras las evaluaciones continuas de desempeño.
Formación continua.
Plan de carrera individual definido ya sea técnico, funcional o gestión (¡Decide tu camino, pero sigue formándote!).
Beneficios sociales más allá de tu salario:
Fondo de Ahorro
Seguro de gastos médicos menores y de mayores a nivel familiar, seguro de vida.
Vales de despensa.
Vacaciones superiores a la ley.
Bolsa de capacitación
Bono de bienestar
Tendrás un Career Coach para que te guíe en tu desarrollo profesional.
Capacitación constante
Días de descanso adicionales a la ley.


""Bluetab"" es una empresa del grupo IBM. Bluetab será la entidad contratante. Al proceder con esta solicitud, usted entiende que Bluetab compartirá su información personal con otras filiales de IBM involucradas en su proceso de reclutamiento, selección y contratación, donde quiera que éstas se encuentren. Encontrará más información sobre cómo IBM protege su información personal, incluidas las medidas en caso de transferencia transfronteriza de datos, aquí: https://www.ibm.com/careers/us-en/privacy-policy/

Si te gusta la tecnología y la resolución de problemas tanto como a nosotros, ¡Nos encantaría conocerte!"
Junior Data Analyst,Junior Data Analyst,Omnicom Media Group,May,2024,"Acerca de nosotros

Somos una agencia global, especialista en medios, marketing y tecnología. Líderes en el ramo con presencia en más de 100 países. Creamos soluciones integrales para todos nuestros clientes de forma rápida y eficaz.

Nuestra búsqueda constante de mejorar en lo que hacemos comienza contactando con personas como tú.

OMG, te invita a unirte a nuestro equipo como: Data Analyst

¿Cuáles son las principales actividades?
Extracción, construcción y análisis de datos
Extraer información de plataformas digitales para su optimización
Analizar y determinar el éxito de campañas digitales y tradicionales
Evaluación del rendimiento en los medios
Recomendaciones para optimizar campañas
Visualización de datos

¿Qué buscamos?
Inglés intermedio-avanzado
Excel Avanzado
Power Bi, Tableau o Datorama
Experiencia en SQL, Python o R
Conocimiento de marketing y publicidad (deseable)

¿Qué ofrecemos?
Prestaciones superiores a la ley: 30 días de aguinaldo, vales de despensa, fondo de ahorro 13%, SGMM, Seguro de vida, días de vacaciones superiores a la ley, días de descanso adicionales, cursos de inglés y descuentos corporativos, entre otros.
Equipo de cómputo.
Modalidad de trabajo híbrido.
Contratación directa (100% nómina).

Si cumples con el perfil y quieres formar parte de la mejor agencia de medios, postúlate por este medio.

¡Nos encantaría tenerte en nuestro equipo!

En OMG NO discriminamos por razón de raza, origen étnico, edad, sexo, género, estado civil, ideología, opiniones políticas, nacionalidad, religión, orientación sexual, identidad o expresión de género o cualquier otra condición personal, física o social. A través de ello, construimos una cultura incluyente, de respeto y diversa."
DATA ANALYST,DATA ANALYST,Nielsen,May,2024,"Nielsen Media Plan & Optimize uses cutting edge technology and industry leading data science to tackle some of the hardest problems in marketing science. We empower advertisers, publishers and agencies with the intelligence they need to drive revenue, increase market share, and optimize their audiences and investments. Our goal is to provide reaction measurement at unprecedented speed and scale.

We are seeking a talented Data Analyst that has a passion for working with data, backed with strong creativity and discipline. As a Data Analyst, you will play a critical role in delivering first-class evaluations and measurement options based on data to support client decision making in a reliable and efficient manner. Investing in proper data analysis at the onset of a project is key for successful delivery overall.

Responsibilities

Collaborates with Analytics team and Modeling associates within Marketing Mix project teams
Collects and analyzes significant amounts of data for quality, accuracy, and fitness of purpose
Integrates, assembles, summarizes, validates, and disseminates data from numerous disparate systems (flat files, spreadsheets, relational databases, etc.) to present measurement recommendations to client
Identifies anomalies within the data and helps determine if it is a collection error or an unnoticed trend
Complies to all Nielsen Analytic Console, Nielsen data security and 3rd party vendor requirements
Adheres to project scope, timelines and contracts

Qualifications

High proficiency in English
Bachelor’s degree in a technical or business field, advanced degree a plus
0-3 years of experience in related field with strong analytical aptitude
Proven problem-solving skills using deductive reasoning, understanding hierarchical relationships and identifying gaps in logic
Demonstrated project management skills and ability to manage multiple priorities and deadlines
Highly effective client management and communication skills
Advanced proficiency in Excel
Basic data and regression modeling application knowledge desired

A Little Bit About You

You are passionate about data and lots of it. You are driven by curiosity and enjoy problem-solving. You love exchanging ideas to thrive in a teamwork environment. Managing time and deadlines comes naturally to you. You’re known for your impeccable organization. Details matter to you. You're committed to delivering high quality results for your clients.

ABOUT NIELSEN MEDIA As the arbiter of truth, Nielsen Global Media fuels the media industry with unbiased, reliable data about what people watch and listen to. To discover what’s true, we measure across all channels and platforms⁠—from podcasts to streaming TV to social media. And when companies and advertisers are armed with the truth, they have a deeper understanding of their audiences and can accelerate growth. Do you want to move the industry forward with Nielsen? Our people are the driving force. Your thoughts, ideas and expertise can propel us forward. Whether you have fresh thinking around maximizing a new technology or you see a gap in the market, we are here to listen and take action. Our team is made strong by a diversity of thoughts, experiences, skills, and backgrounds. You’ll enjoy working with smart, fun, curious colleagues, who are passionate about their work. Come be part of a team that motivates you to do your best work! Nielsen is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class."
Data Analyst,Data Analyst,Omnicom Media Group Mexico,May,2024,"About us
We are a global agency, specialist in media, marketing and technology. Leaders in the field, with presence in more than 100 countries. We create comprehensive solutions for all our clients quickly and efficiently.
Our constant quest to improve what we do starts with connecting with people like you.


What are the main activities?
Analyze syndicated competitive data and discover patterns
Draw actionable insights from competitive data
Maintenance of data systems and processes
Perform QA checks on raw data and finalized reports

What are we looking for?
English - Advanced
Experience in Data Analysis
Knowledge of Data Management & Quality Assurance
SQL/ Python/Tableau/Power Bi
Excel – Advance knowledge (pivot tables, functions, etc.)

What do we offer?
Benefits above the law: 30 days of Christmas bonus, grocery vouchers, 13% savings fund, Insurance of Major Medical Expenses, Life Insurance, vacation days above the law, additional days off, English courses, corporate discounts, among others.
Computer equipment
Remote work.
Direct hiring (100% payroll).

If you meet the profile and want to be part of the best media agency, apply here.
We would love to have you on our team!

At OMG we DO NOT discriminate based on race, ethnic origin, age, sex, gender, marital status, ideology, political opinion, nationality, religion, sexual orientation, gender identity or expression, or any other personal, physical, or social condition. Through this, we build an inclusive, respectful and diverse culture."
Business Intelligence Analyst,Business Intelligence Analyst,CHANEL,May,2024,"As a Business Intelligence Analyst, you will be in charge to generate processes and models to solve information needs of different business cells (Chanel & Premium Brands) generate, update, and manage semi-automated data visualization dashboards in Microsoft Power BI and Microsoft Excel, for use by different business areas. You will work closely with all functions (Key Account, Retail, Point of Sale Marketing, Training, Press, Logistics)

You will also be a key contact for our distributors, with whom you will be in regular contact.

You will also act as a facilitator between the IT and Business teams.

You will report to the Beauty Fragrances sales team.

Key Responsibilities

Business Analyst


Providing the various company departments and top management with analyses and recommendations to feed into business decisions.
You will produce “ad hoc” analyses to identify business risks/opportunities or to respond to specific issues.
Redesigning all the dashboards used to monitor Sell In and Sell Out figures for the local market using Power BI
Reporting/analyzing results, performance, and communication with the sales team, summarizing key information and making proposals on the strategy to be adopted.
Preparing customer meetings (sales & targets).


Category Management


Working with the Marketing team on building forecasts and analyses to monitor our campaigns and performance.
Working with the Marketing and Sales teams to adapt our range to our customers' needs.


Data collection


Establishes connections with customer systems to collect sales and inventory data in an automated manner.
Captures relevant data on activations, campaigns, and any other relevant information to generate insights.


Data cleansing and transformation


Uses tools such as Microsoft Power Query to cleanse and transform data, ensuring data quality and consistency.
Integrates data from different sources to obtain a holistic view.


Reporting and Visualization Dashboards


Uses Microsoft Power BI and Excel to create semi-automated visualization dashboards that reflect key KPIs and insights relevant to each business area.
Design intuitive and customized dashboards for each user or department, allowing easy access to relevant information.
Analyzing needs and setting up dashboards, in line with our new organization
Power BI development (Power BI Service, Power BI Desktop, DAX, Power Query) in compliance with the Group's IT rules.


Analysis and Insights Generation


Analyze data to identify trends, patterns, and opportunities for improvement.
Generate actionable insights that can streamline stakeholder decision making and improve business performance.


Quota Setting and Forecasting


Uses historical sales data, activations, and market trends to establish accurate monthly sales targets and forecasts.
Defines quotas and forecasts nationally and by SKU for each client, also considering future launches and campaigns.


Support to the Commercial Department


Provides continuous support to the commercial area cells, offering analysis and recommendations to optimize their performance.


Generation of the Monthly Close


Prepares and communicates the monthly sales report, ensuring the accuracy and completeness of the information collected from all customers.
Presents results in a clear and concise manner, highlighting key indicators and trends.


Qualitative and Strategic Analysis


Performs a qualitative analysis of the information generated to guide the commercial strategy, identifying areas of opportunity and possible improvements.


What are we looking for?


Strong project management skills with excellent attention to detail.
Ability to manage and oversee multiple projects concurrently.
Excellent communication and presentation skills.
Advanced Proficiency in Microsoft Office applications, excel & power BI.
Ability to work effectively in a collaborative team environment.
Must be an organized team player with solid interpersonal skills.
Self-motivated, team player, strong at collaborative working relationships.
Position requires a minimum 2-year relevant work experience as a business data analyst, supply chain analyst.
Experience working on multiple projects at the same time.
Fluency in English & Spanish is a must have, French is a plus."
Controller -Data Analyst BBVA (ZMG),Controller -Data Analyst BBVA (ZMG),BBVA en México,May,2024,"Grupo BBVA

Tenemos 90 años de historia
ofreciendo servicios financieros en más de 30 países y a 76 millones de
clientes en todo el mundo. En BBVA México somos líderes en la transformación
digital de la Banca en México, ofrecemos nuestros servicios a más de 19 millones
de clientes. ¡Conoce más!


El talento de nuestra gente nos
hace la institución financiera más sólida del país. Por eso, constantemente
buscamos gente como tú para trabajar con nosotros. Acércate y vive la
EXPERIENCIA ÚNICA de ser BBVA en el puesto de:


Controller - Data Analyst BBVA (ZMG)


P E R F I L:


Lic.
Actuaría, física, matemática o a fin.
Inglés
técnico (Intermedio).
Deseable
maestría en ciencia de datos
Experiencia
de 2 a 4 años creando modelos de machine learning.
Conocimientos
de machine learning.
Deseable
conocimiento en lenguajes de programación, Python
Conocimientos
sólidos de estadística y ciencia de la computación


F U N C I O N E S:


Manejo y
preparación de grandes volúmenes de información utilizando Fuentes y procesos
institucionales.
Creación
de modelos analíticos basados en Data para resolver problemas de negocio y
conocer al cliente desde datos
Adaptar
conocimiento obtenido a través de la analítica avanzada aplicada a proyectos
del Banco.
Innova y
se forma en nuevas tecnologías y teorías de big data y ciencia de datos para
así poder utilizar la tecnología en el estado del arte actual al resolver
problemas




En BBVA proporcionamos a nuestros
colaboradores las mejores condiciones para su desarrollo y bienestar integral,
al sumarte a nuestro equipo tendrás grandes Beneficios:



Sueldo
competitivo + Bono Mensual
Prestaciones
de Ley + Bancarias
Póliza de
Gastos Médicos Mayores y Campañas de salud
20 días
de Vacaciones + Prima vacacional superior a la Ley
Capacitación
constante
Plan de
vida y carrera


Si cumples con el perfil envía tu
cv al correo mencionado, colocando en asunto el nombre de la vacante.



En BBVA estamos orgullosos de ser
una empresa en donde prevalece la diversidad, la inclusión y la igualdad de
oportunidades, independientemente del origen y condición de los colaboradores
son prioridad para nosotros.


Tu futuro está aquí, ¡únete a
BBVA!


Estamos transformando la banca en
México y tú puedes ser parte de este cambio"
Data Analyst JR,Data Analyst JR,VML,May,2024,"Who We Are:

At VML, we are a beacon of innovation and growth in an ever-evolving world. Our heritage is built upon a century of combined expertise, where creativity meets technology, and diverse perspectives ignite inspiration. With the merger of VMLY&R and Wunderman Thompson, we have forged a new path as a growth partner that is part creative agency, part consultancy, and part technology powerhouse.

Our global family now encompasses over 30,000 employees across 150+ offices in 64 markets, each contributing to a culture that values connection, belonging, and the power of differences. Our expertise spans the entire customer journey, offering deep insights in communications, commerce, consultancy, CRM, CX, data, production, and technology. We deliver end-to-end solutions that result in revolutionary work.

Esta posición es la encargada de Analizar los resultados de campañas digitales y sitios web, además del establecimiento de objetivos.

Responsabilidades:

Analizar los resultados históricos de sitios y campañas y generar recomendaciones con base en datos
Trabajar estrechamente con equipos internos para la entrega de presentaciones con resultados
Uso de herramientas analíticas de sitios y campañas digitales
Preparar presentaciones de resultados
Generación de reportes, análisis web, de campañas y recomendaciones de mejora


Experiencia previa:

Dominio de Excel avanzado
Estadística avanzada
Conocimiento en Adobe Analytics o Google Analytics
Conocimiento en medición de campañas digitales y sitios web
Dominio de Power BI (deseable)
Dominio de Looker / DataStudio (deseable)


Habilidades:

Proactivo
Organización
Gestión y comprensión de nuevas tecnologías


At VML, we are committed to fostering an all-inclusive work environment that is both rewarding and career-forward. Our Inclusion, Equity & Belonging initiatives, alongside the VML Foundation, reflect our dedication to giving back and making a positive impact in our communities and beyond. Our people are the heartbeat of our organization—creators, doers, innovators, makers, and thinkers—who drive not just marketing, but meaningful experiences that resonate in every action and interaction.

VML is a WPP Agency. For more information, please visit our website, and follow VML on our social channels via Instagram, LinkedIn, and X.

When you click ""Submit Application"", this will send any information you add below to VML. Before you do this, we think it's a good idea to read through our Recruitment Privacy Policy. California residents should read our California Recruitment Privacy Notice. This explains what we do with your personal data when you apply for a role with us, and, how you can update the information you have provided us with or how to remove it."
