Position,Company_Name,Location,Post_Month,Post_Year,Details
Data Science Trainee,Data Science Trainee,Atrato,May,2024,"En Atrato somos una startup fintech enfocada en brindar herramientas financieras para comercios y consumidores finales con las cuales podamos hacer más accesibles productos y servicios para las personas de Latinoamérica.

Hoy tenemos 2 productos principales:

Atrato Pago es un financiamiento que le permite a nuestros comercios afiliados ofrecer sus productos y servicios en pagos mensuales o quincenales por hasta 24 meses y con montos que llegan hasta los 200,000 MXN.
Atrato Cash es un crédito personal que nuestros clientes pueden acceder una vez que hayan pagado una parte de su primer préstamo. La manera en la que funciona es muy sencilla, al ser un cliente Atrato, con tan solo algunos clicks puedes recibir un préstamo de hasta 200,000 MXN en tu cuenta de banco

Atrato fue fundada en 2019 y desde entonces no hemos parado de crecer de una manera acelerada. Al día de hoy hemos ayudado a miles de clientes a financiar sus compras, las cuales están en distintas verticales como lo son muebles, electrónicos, servicios médicos, entre otras. Este mismo crecimiento nos ha permitido ser reconocidos como una de las 30 promesas de negocios en 2022 de Forbes y también nos ha puesto en la mira de inversionistas internacionales reconocidos como lo son Y Combinator, Accel y Architect Capital.

Sobre la posición

Como Data Scientist Trainee en Atrato, trabajarás de la mano con Data Engineers que te proveerán de los datos necesarios para crear impacto desde el primer día, serás responsable de recolectar, limpiar, analizar y crear métricas para identificar patrones y tendencias relevantes para la toma de decisiones.

Con esto buscamos establecer las bases para llevar un mejor control sobre las métricas utilizadas en Atrato así como el uso del Data Warehouse como única fuente verdadera.

Qué buscamos

Excelente comunicación verbal, escrita y habilidades interpersonales
Eres capaz de trabajar bajo presión y cumplir deadlines y objetivos
Eres organizada/o y autonómo
Experiencia (6+ meses con las siguientes herramientas*) *el conocimiento de las herramientas es un nice to have, sin embargo si no conoces alguna no te preocupes en Atrato irás aprendiendo
Python
Jupyter Notebook
Scikit-Learn
Pandas
Docker
GitHub
SQL
Lo que harás típicamente

Asistir en el desarrollo e implementación de modelos de machine learning y algoritmos estadísticos.
Ayudar en la recolección, limpieza y preparación de datos para su posterior análisis.
Colaborar con científicos de datos y analistas en proyectos de análisis de datos.
Participar en la visualización de datos y la comunicación de los resultados del análisis.

Beneficios como Atrater

💻 Trabajo 100% remoto + equipo de trabajo
🏥 SGMM (aseguradora privada)
📈 Posibilidad de tener stock options de acuerdo a tu performance
🏝 15 (y en aumento) desde el año cero de vacaciones
✅ Meses sin intereses en compras con nuestros comercios afiliados
⏱️ Trabajo sobre objetivos
💰 Fondo de ahorro
🧳 Offsite anual"
Data Science,Data Science,TV Azteca,May,2024,"En TV Azteca tenemos una oportunidad para ti como Data Scientist

Responsabilidades
Análisis y exploración de datos
Desarrollo de modelos de Machine Learning
Utilización de modelos de Machine Learning
Desarrollo de aplicaciones para Modelos Generativos
Investigación de Tecnologías Emergentes
TRABAJO 100% PRESENCIAL TV AZTECA PERIFÉRICO SUR AJUSCO

Perfil Ideal del candidato (a)
Licenciatura en Ingeniería en Sistemas, Computación o afín.
Experiencia de 3 años mínimo con Machine Learning, Python, SQL.

Skills
TRABAJO 100% PRESENCIAL TV AZTECA PERIFÉRICO SUR AJUSCO
Inglés avanzado
Modelos de inteligencia artificial generativa
Python
R
Large Language Models
SQL

Experiencia preferente en
Desarrollador senior

Formación y experiencia
Licenciatura en Ingeniería en Sistemas, Computación o afín.

¿Qué tenemos para ti?
Desarrollo profesional.
Capacitación constante.
Sueldo competitivo, prestaciones y atractivos beneficios
Colaboración en una de las televisoras de habla hispana más importantes.

“En Grupo Salinas respetamos la dignidad y diversidad de las personas. Como empresa comprometida con igualdad y no discriminación actuamos sin distinción por motivos de raza, genero, condición social, económica, orientación sexual o cualquier otra. Somos un grupo incluyente y valoramos el talento esté donde esté.”"
Data Scientist,Data Scientist,Qualtrics,May,2024,"At Qualtrics, we create software the world’s best brands use to deliver exceptional frontline experiences, build high-performing teams, and design products people love. But we are more than a platform—we are the creators and stewards of the Experience Management category serving over 18K clients globally. Building a category takes grit, determination, and a disdain for convention—but most of all it requires close-knit, high-functioning teams with an unwavering dedication to serving our customers.

When you join one of our teams, you’ll be part of a nimble group that’s empowered to set aggressive goals and move fast to achieve them. Strategic risks are encouraged and complex problems are solved together, by passing the microphone and iterating until the best solution comes to light. You won’t have to look to find growth opportunities—ready or not, they’ll find you. From retail to government to healthcare, we’re on a mission to bring humanity, connection, and empathy back to business. Join over 6,000 people across the globe who think that’s work worth doing.
Principal Data Scientist, GTM Reporting & Insights
Why We Have This Role
The Qualtrics GTM Reporting & Insights team is looking for a Principal Data Scientist who wants to make an impact on a fast-growing business, can conduct in depth analytics and reporting, and can make strategic recommendations for the company. This role is essential to enabling our go-to-market (GTM) revenue operations and surfacing valuable insights on opportunity areas to our field teams.
How You’ll find success
Analytical, and data-oriented, with great troubleshooting and problem solving skills, and an eye for quality and scalability.
Excellent organizational skills with the ability to multitask, prioritize, and manage time effectively while also ensuring accuracy of work through attention to detail
Takes initiative and learns quickly. Understands expected outcome, absorbs the context, and works proactively to get it done.
How You’ll Grow
Grow your data analysis, problem solving, and communication skills across while developing expertise in sales and go-to-market operations
Learn how global sales, customer success, and marketing teams operate, and improve the data/systems/insights that drive their growth
Opportunity to help build a team and function team from the ground up
Things You'll Do
Drive analysis in support of territory planning, quota setting, pipeline and capacity health, customer health, performance management, and customer journey analytics
Perform quantitative and qualitative analysis leading to actionable insights, assisting stakeholders throughout the business on special projects / reports.
Handle inbound requests from field teams for data analysis, data requests, and decision making support. Proactively work with internal stakeholders to prioritize needs and/or requests on a weekly basis.
Transform complex data sets into actionable insights using analytical, visualization, and data tools such as Tableau, Excel, Python, R, MySQL, etc. Create queries, views, reports, and easy-to-consumption dashboards/visualizations.
Own end-to-end problem solving efforts from the discovery & exploration phase through to implementation.
Own an entire area of go-to-market operations: taking projects from start to finish with high quality and impact, acting as the “subject-matter-expert”, and collaborating with stakeholders to ensure the analytics are being used to drive business outcomes.
What We’re Looking For on Your Resume
5+ years of experience and impact in predictive modeling, preferably in a SaaS or B2B environment
Experience understanding the context/problems from non-technical audiences
Experience presenting findings to non-technical audiences and senior stakeholders
5+ years of relevant industry experience in sales planning processes, and/or associated CRM systems (i.e. salesforce.com or SAP C4C)
2+ years experience in visual reporting tools such as Tableau; experience with SQL and data manipulation/transformation
Project management and process improvement experience.
Able to deal with ambiguity in a fast-paced growth environment, manage strict SLAs and communicate effectively to a global audience
Degree from a top-tier university with a quantitative or systems focus (e.g. informations systems, computer science, STEM, business analytics, finance, data science)
What You Should Know About this Team
GTM Reporting & Insights plays a critical role in managing the operating rhythm of our global go-to-market field teams, including territory planning, quota setting, pipeline and capacity health, customer health, performance management, and customer journey analytics. If you are ready for a new high-impact challenge, we encourage you to apply.
Our Team’s Favorite Perks and Benefits
Workspaces: We have quiet spaces to take a call or for deep thinking, and other spaces dedicated to collaboration.
Commuter Benefits: We offer a generous monthly allowance to be used for transportation and to help you commute to the office.
Wellness Reimbursement: This can be put toward wellness activities including gym memberships, spa massages, workout equipment, meditation apps, and much more.
Q Mentor Program: Looking to grow in your career? Get matched with a mentor inside Qualtrics to get meaningful coaching from someone outside your team.
The Qualtrics Hybrid Work Model: Our hybrid work model is elegantly simple: we all gather in the office three days a week; Mondays and Thursdays, plus one day selected by your organizational leader. These purposeful in-person days in thoughtfully designed offices help us do our best work and harness the power of collaboration and innovation. For the rest of the week, work where you want, owning the integration of work and life.
Qualtrics is an equal opportunity employer meaning that all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other protected characteristic.
Applicants in the United States of America have rights under Federal Employment Laws:Family & Medical Leave Act,Equal Opportunity Employment,Employee Polygraph Protection Act
Qualtrics is committed to the inclusion of all qualified individuals. As part of this commitment, Qualtrics will ensure that persons with disabilities are provided with reasonable accommodations. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please let your Qualtrics contact/recruiter know.
Not finding a role that’s the right fit for now? Qualtrics Insiders is the one-stop shop for all things Qualtrics Life. Sign up for exclusive access to content created with you in mind and get the scoop on what we have going on at Qualtrics - upcoming events, behind the scenes stories from the team, interview tips, hot jobs, and more. No spam - we promise! You'll hear from us two times a month max with fresh, totally tailored info - so be sure to stay connected as you explore your best role and company fit."
Data Scientist,Data Scientist,McCormick & Company,May,2024,"About the company
You may know McCormick as a leader in herbs, spices, seasonings, and condiments – and we’re only getting started. At McCormick, we’re always looking for new people to bring their unique flavor to our team.

McCormick employees – all 14,000 of us across the world – are what makes this company a great place to work.

We are looking to hire a HR Data Scientist

Main Responsibilities:
Utilize analytical skills and business expertise to identify the root causes of problems and quantify improvement opportunities.
Deliver timely insights and recommendations across multiple business lines.
Apply predictive models and segmentation techniques to enhance business performance analysis.
Conduct data analysis and create presentations for stakeholders.
Extract data from various sources, manipulate and validate it, and perform root cause analysis.
Evaluate and track vendor effectiveness and propose changes as needed.
Collaborate with product managers and other analysts on analytics initiatives.
Present insights to executive leaders and drive strategic improvements.


Qualifications
Bachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
At least 1 - 2 years' of experience in quantitative analytics or data modeling
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Fluency in a programming language (Python, Java, SQL)
Familiarity with Big Data frameworks and visualization tools: Tableau
Fluent in english and spanish.

What we offer:
The best people deserve the best rewards. In addition to the benefits you’d expect from a global leader, we also offer:
Competitive compensation
Career growth opportunities
Flexibility and Support for Diverse Life Stages and Choices
We prioritize our communities and the planet we share. We are proud to be awarded as a Diversity Inc. Top 50 company for Diversity and have multiple Sustainability awards (ranking #22 in the World and #1 in Food Products)
Wellbeing programs including Physical, Mental and Financial wellness
Benefits above the law.

McCormick and Company is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

As a general policy, McCormick does not offer employment visa sponsorships upon hire or in the future."
DATA SCIENTIST JR,DATA SCIENTIST JR,Hogares Unión Oficial.,May,2024,"Estamos en búsqueda de un/a profesional apasionado/a por los datos que se una a nuestro equipo como Data Scientist Jr.
Responsabilidades del Puesto
Realizar análisis estadístico de grandes volúmenes de datos.
Manipulación de datos utilizando Python para extraer información relevante.
Extraer datos de diversas fuentes asegurando su integridad y consistencia.
Interpretar tendencias de mercado y generar reportes que apoyen la toma de decisiones estratégicas.
Habilidades Requeridas
Experiencia en análisis estadístico.
Capacidad para manipular datos usando Python o R
Conocimientos en extracción de datos desde múltiples fuentes.
Habilidad para interpretar tendencias de mercado.
Características Deseadas
Pensamiento crítico para resolver problemas complejos.
Atención al detalle para asegurar la precisión de los datos.
Pensamiento estratégico para alinear el análisis de datos con los objetivos empresariales.
Innovación en análisis de datos para desarrollar nuevos enfoques y metodologías.
Requisitos Esenciales
Título universitario en Estadística, Matemáticas, Ingeniería, Ciencias de la Computación o campos relacionados.
Experiencia mínima de 1 año en roles similares o prácticas relevantes.
Habilidad demostrada en el uso de herramientas y librerías de análisis de datos en Python.
Capacidad para comunicar hallazgos de manera clara y concisa.
Proactividad y capacidad para trabajar en equipo.
¿Qué Ofrecemos?
Te ofrecemos un entorno de trabajo dinámico y colaborativo donde tu capacidad para trabajar con datos será valorada. Nos enfocamos en el crecimiento profesional y el bienestar de nuestro equipo, brindando oportunidades de formación y desarrollo continuo. Serás parte de una empresa innovadora que valora el talento y la diversidad."
Data Scientist,Data Scientist,Grupo Modelo S.A. de C.V.,May,2024,"Grupo Modelo es líder en la elaboración, distribución y venta de cerveza en México
Nos enorgullece ser una empresa que ha traspasado fronteras con sus productos. Todo esto gracias a las 30,969 personas que colaboran en esta gran compañía.
Hoy forma parte de AB-InBev, la compañía cervecera más grande del mundo.

Te invitamos a participar en la vacante de:

Data Scientist

Requisitos:

Codificación competente en Python, databricks y Spark (al menos 2 años de programación profesional)
Competente en consultas SQL.
Gran conocimiento y experiencia laboral en modelado de datos y técnicas de aprendizaje automático (por ejemplo, técnicas de regresión, clasificación, pronóstico y atribución).
Nivel de usuario básico de Linux (comandos básicos, sistema de archivos, administradores de paquetes)
Git para bases de código de un solo colaborador
Conceptos básicos del diseño de software (mejores prácticas de desarrollo)
Marcos o bibliotecas de aprendizaje automático y estadística (PyTorch, Sklearn, Tidymodels, Caret, etc.)
Experiencia con bibliotecas de manipulación de datos (Pandas, Dplyr, Tidyverse)
Experiencia en manejo de cloud services GCP (preferred) o Azure.

Lugar de trabajo
Miguel Hidalgo, Ciudad de México.
Horario
Lunes a viernes

Propósito y actividades del puesto:

Crear modelos de aprendizaje automático en todas las fases de desarrollo, desde el diseño hasta la capacitación, la evaluación, la validación y la implementación en producción.
Colaborar con científicos e ingenieros de datos para ayudar a informar, construir y probar modelos.
Aplicar la comprensión de las prácticas avanzadas de aprendizaje automático para mejorar el rendimiento del producto.
Colaborar con un equipo multifuncional de científicos de datos, ingenieros de software y - gerentes de productos para entregar productos.
Facilitar la toma de decisiones y la priorización informadas y basadas en datos."
Data Scientist Jr,Data Scientist Jr,Multiplica Talent,February,2024,"¿Quiénes somos?

¡Multiplica Talent, te está buscando!

Somos una consultora especializada en ofrecer las mejores oportunidades laborales al mejor talento digital del mercado.

Tenemos más de 20 años de experiencia reclutando a personas capacitadas, innovadoras y con ganas de crecer para nuestros clientes.

Actualmente colaboramos con empresas en LATAM, USA y Europa y contamos con talentos que trabajan presencialmente y/o remoto en diferentes partes del mundo.

Nuestros talentos son los agentes de cambio que están creando las organizaciones del futuro. ¡Sé parte de este cambio!

Requirements

Experiencia de al menos 2 años como Data Scientist

Experiencia en Power BI

Manejo de Python

Manejo de SQL

Deseable Azure y Oracle

Gestión de reportes de data

Habilidades de comunicación para relacionarse con otras áreas

Benefits

Beneficios de ley y superiores
Sueldo competitivo
Días de vacaciones adicionales
Oportunidad de crecimiento
Capacitación constante
Posición hibrida (3 días por semana se asiste a oficina)
¡Muchos más!"
Data Scientist - GivingTuesday,Data Scientist - GivingTuesday,DARO,May,2024,"GivingTuesday is a global generosity movement unleashing the power of people and organizations to transform their communities and the world. The organization works with partners across sectors and borders to understand the drivers and impacts of generosity, explore giving behaviors and patterns, and use data to inspire more giving around the world. GivingTuesday offers the largest philanthropic data collaborative effort in the social sector — with unique, granular datasets from a wide range of organizations featuring key sector information

As we scale up, we are expanding our team of data scientists, researchers and engineers, who will continue to grow and improve our unique data assets, methodologies, and technical infrastructure.

In pursuit of the goals and expansion of the data commons, GivingTuesday partners with key organizations to leverage their expertise to manage and lead different aspects of the work. These data & technology partners (Ajah, With Intent) manage staff, projects, and ongoing functions for the data commons with dedicated staff embedded in GivingTuesday in those capacities in cross-functional roles. This role is one of these positions - managed by our partner organizations but embedded in GivingTuesday’s Data Commons Team.

Data Scientist

Our global data science team works on a diverse set of problems and projects related to learning, insights, and impact measurement in the nonprofit sector. We are looking for a Data Scientist to join our growing team, where they will work with data engineers, analysts, and other team members to develop compelling and useful knowledge products for GivingTuesday stakeholders, including academics, data partners, the social/nonprofit sector, and the general public.

In this role you will:

Work with a wide range of data types including donation data, transaction records, government and census data, nonprofit tax filings, survey data on perceptions and activity, and philanthropic investment account data, gathered from collaborators and institutional partners in the nonprofit ecosystem
Deliver and write analyses with actionable insights and communicate these findings to cross functional stakeholders of varying technical levels
Manage key datasets and improve their usability by creating database dictionaries and user documentation
Improve existing data processing pipelines, automate recurrent operations on core datasets
Create impactful data visualisations and interactive data dashboards for stakeholders

We are looking for someone with:

Advanced analytical skills in a research context, conducting exploratory analysis and mapping data flows, integration of datasets, and reviewing data sources and tools
Experience with statistical methods including hypothesis testing, regression analysis, and sampling techniques for the purposes of social science research (such as economics) and/ or business analytics
Experience working with scripting languages (Python required) and data querying languages (SQL preferred)
Solid data visualisation skills and an aptitude for translating technical outputs into compelling stories
Experience with software development tools and practices (e.g. version control, git)
Understanding of legislation around privacy and best practices for securing data
Solid relationship management skills, with the ability to collaborate with a variety of internal and external stakeholders on complex research initiatives
Outstanding written and oral communication skills in English and an ability to communicate clearly and directly
Attention to detail and ability to synthesize diverse datasets
Interest in the nonprofit and philanthropic sector and use of data to promote better social outcomes

GivingTuesday is actively seeking candidates with unique and diverse work backgrounds to grow our team. We are especially excited to talk to you if have:

Programming skills: Python, PySpark, SQL, Databricks, Git
Data Manipulation and Exploration
Advanced Modelling: Regressions, Clustering, Dimensionality Reduction, Time-Series Analysis
Experience with BI dashboarding tools (ie Looker, Mode, Metabase)
Experience working with data platforms such as Databricks (or other forms of data lakes/warehouses/lakehouses)
An advanced degree in a quantitative field (definitely not required!)

This is a Permanent, Remote, Full-Time Position seeking candidates based in Mexico.

Compensation and Benefits:

The total annual compensation range for this position is $450,000 MXN to $650,000 MXN.

GivingTuesday is committed to a work environment where our employees feel included, valued, and heard. We value diversity and welcome applications from Indigenous peoples, people from systematically excluded communities, members of the LGBTQ+ community, and people with disabilities. We welcome people from neurodiverse backgrounds. If you require any accessibility accommodation in the interviewing process please let us know.

We know that applying for a job takes a lot of time and energy and we treat every application with care and attention. Only those applicants who are selected will be contacted. To apply, please provide your resume and a short cover letter (2 paragraphs is great!) describing your interest in the position.

We will begin reviewing applications after May 21, 2024.

Powered by JazzHR

KssCXcyfgt"
Data Scientist,Data Scientist,DaCodes.,October,2023,"¡Trabaja en DaCodes!

Somos una firma de expertos en software y transformación digital de alto impacto.

Durante 9 años hemos creado soluciones enfocadas en la tecnología e innovación gracias a nuestro equipo de 220 talentosos #DaCoders, Desarrolladores, arquitectos, Diseñadores UX/UI, PMs, QA testers y más, que se integran a nuestros proyectos con clientes en LATAM y Estados Unidos para lograr resultados sobresalientes.

Con nosotros lograrás impulsar y acelerar tu desarrollo profesional, colaborando en diversidad de proyectos, sectores y giros empresariales.

Trabajar en DaCodes te permitirá ser versátil y ágil al poder trabajar con diversas tecnologías y colaborar con profesionales de alto nivel.

Los DaCoders tienen gran impacto en el éxito de nuestro negocio, así como en el éxito de nuestros clientes. Serás el experto que participará en nuestros proyectos y tendrás acceso a startups disruptivas y marcas globales; ¿Te pareció interesante?

¡Estamos en busca de talento para unirse al equipo, vamos a trabajar juntos!

El candidato o candidata ideal tiene una combinación única de experiencia técnica, curiosidad, mentalidad lógica y analítica, proactividad, ownership, y gusto por el trabajo en equipo

Requirements

Más de 4 años de experiencia como Data Scientist
Conocimiento de Machine Learning (ejemplo: TensorFlow, Keras, MLFlow)
Python, Shell, Java, JavaScript, C#
AWS (ejemplo: Snowflake Cloudformation, Lambda, Kinesis, S3, Sagemaker, Dynamo, SecretsManager, ECR, Kinesis, DMS, SNS, SQS)


Benefits

Integración a marcas globales y startups disruptivas
Trabajo remoto/ Home office
Estarás informado desde la primer sesión si alguna de las posiciones llega a requerir algún formato híbrido o presencial ¡Descuida la mayoría son remotas!
Horario ajustado a tu célula de trabajo/proyecto asignado. (Zona horaria del cliente asignado)
Trabajo de Lunes a Viernes
Beneficios Legales
Días festivos oficiales de tu célula de trabajo/proyecto asignado
Vacaciones *Puedes hacer uso de éstos días posterior a los 6 meses en la empresa
Día off en tu cumpleaños
Seguro de gastos médicos mayores
Seguro de vida
Eventos virtuales de integración y grupos de interés
Meetup con invitados especiales de empresas y profesionales del área de IT y Universidades de prestigio
Feedback constante y seguimiento a performance
Acceso a cursos y certificaciones
Equipos de trabajo multiculturales
Clases de inglés
Oportunidades en nuestras diferentes líneas de negocio

¡Orgullosamente certificados como Great Place to Work!"
Data Science Specialist,Data Science Specialist,Pluxee Mexico,May,2024,"Estás buscando tu siguiente reto profesional dentro de una compañía global de renombre internacional en el mercado mexicano? Sigue leyendo…

Somos Pluxee (antes conocidos como Sodexo Benefits and Rewards Services) estamos inventando formas completamente nuevas de influir y enriquecer la vida de los empleados en todo el mundo. Damos vida a plataformas de beneficios y soluciones de pago para mejorar la calidad de vida en el trabajo de nuestros 500,000 clientes y 36 millones de usuarios en 31 países.
Trabajar en Pluxee significa formar parte de un grupo multicultural que funciona como un solo equipo, pero también es un espacio en el que tus ideas, tus puntos de vista y tus opiniones importan. Te daremos la libertad y la autonomía que necesitas para realizar un trabajo con repercusión gracias al apoyo de un equipo que se preocupa por tu bienestar, crecimiento y conciliación entre vida laboral y familiar.

Queremos fortalecer nuestro equipo integrando a un: Data Science Jr.

💪¿Cuál será tu próximo desafío?
Recopilar y transformar la data comercial en información práctica para facilitar la toma de decisiones del negocio.


¿Qué buscamos en ti?
Lic. Economía, Actuaría, Informática, o afín.
Experiencia mínima de 3 a 4 años en posiciones similares.
Conocimientos técnicos sólidos en bases de datos INDISPENSABLE.
Conocimiento en herramientas de análisis y visualización como: POWER BI y TABLEAU.
Manejo de SQL, DAX O PYTHON.
Fuertes habilidades analíticas y capacidad para interpretar y comunicar hallazgos complejos de manera efectiva.
Capacidad de trabajar de manera autónoma y en equipo en un entorno dinámico.
Proactividad y dotes de comunicación efectiva


💥¿Qué realizarás?
Analizar datos de ventas (comportamiento de clientes).
Generar reportes personalizados que resuman los indicadores clave de rendimiento de ventas y gestión por ejecutivo, coordinación y gerencia.
Diseñar y desarrollar modelos de datos y consultas mediante DAX, SQL o PYTHON para extraer, transformar y cargar datos de diversas fuentes.
Proporcionar información estratégica y recomendaciones basadas en datos para respaldar la toma de decisiones ejecutivas.


🌴 Felicidad en el trabajo...

•Un trabajo significativo. Construye el futuro del mundo de beneficios para los empleados y contribuye a la calidad de vida en el trabajo para otros, también tendrás un impacto positivo en las comunidades locales. ¡Sí cuentas!

•Una gran cultura. Respetamos y nos preocupamos auténticamente por nuestra gente, adoptamos el equilibrio entre la vida laboral y personal, tomamos las nuevas ideas y ¡Nos divertimos mucho!

•La experiencia del colaborador es lo que hacemos. Por lo tanto, puedes esperar un paquete que incluye:

• Salario competitivo
• Prestaciones superiores a las de ley.


Conoce más sobre Pluxee en https://www.sodexo.com.mx/

– Be the change. Let’s go above and beyond. 🚀


“Para los procesos de ingreso, permanencia o ascenso en Pluxee, no discriminamos por motivo de raza, religión, orientación sexual, condición, apariencia física o socioeconómica; tampoco solicitamos certificados médicos de embarazo ni de Virus de Inmunodeficiencia Humana (VIH).”"
