Position,Company_Name,Location,Post_Month,Post_Year,Details
Junior DBA SQL Server - Híbrido,Junior DBA SQL Server - Híbrido,AsTecI S.A. de C.V.,March,2024,"Consultoría con mas de 30 años de experiencia dedicada al reclutamiento de personal del área de TI, esta en búsqueda de colaboradores para laborar con cliente del sector financiero

DBA SQL SERVER

SQL Server 2000 a 2019
Métodos de replica nativos
Métodos de alta disponibilidad
Métodos para DRP
Integración de servicios

Funciones

Solución de infraestructura de nuevos proyectos
Automatización de procesos
Seguimiento, atención y solución de incidencias
Parches

Ofrecemos

Prestaciones de Ley
Seguro de Vida
Apoyo Económico"
Database Administrator (SQL),Database Administrator (SQL),"Solera, Inc.",May,2024,"Who We Are
Solera is a global leader in data and software services that strives to transform every touchpoint of the vehicle lifecycle into a connected digital experience. In addition, we provide products and services to protect life’s other most important assets: our homes and digital identities. Today, Solera processes over 300 million digital transactions annually for approximately 235,000 partners and customers in more than 90 countries. Our 6,500 team members foster an uncommon, innovative culture and are dedicated to successfully bringing the future to bear today through cognitive answers, insights, algorithms and automation. For more information, please visit solera.com.
The Role
This position is responsible for acting as a lead technical resource for the support and administration of SQL Servers in both large scale production and development environments across multiple products. This position continually evaluates the entire SQL Server topology to identify and create plans to address performance issues, architectural shortcomings, and other opportunities for improvement. That successful candidate will lead a team of regional MS SQL DBAs by being a go-to escalation point for technical issues along with being responsible for maintaining Solera DB deployment standards in various environments. SThe fundamental goal is to ensure the production environment is always operational and performing optimally. This position requires strong organizational and collaboration skills and partnering with numerous distributed teams is a must for success. This position is a key resource contributing to the technical growth and development of the SQL DBA team through mentoring and training of other team members.
What You’ll Do
Act as a techinical team lead for a regional team of SQL DBAs.
Ensure production SQL Servers maintain the company's requirements for HA/DR, Security, and RPO/RTO
Provide on-call support (as part of a rotation) for production alerts or issues both during and outside normal working hours.
Provide support during maintenance windows or deployment/release activities.
Join war-room calls to triage and troubleshoot outages as they occur, including after-hours and weekends.
Build and improve automation around configuring and administering SQL Servers
Optimize performance of SQL Servers and determine the most effective ways to increase performance including hardware purchases, server configuration changes, or index/query changes.
Continuous evaluation and implementation of proactive measures to improve performance and stability of SQL Server
Create and maintain procedural and technical documentation.
Collaborate with other teams in enterprise level projects and provide support / guidance as needed.
Lead assigned quarterly projects from initial concept and drive to successful completion.
Identify technical developmental opportunities and provide guidance to Mid and Junior Level DBA team members.
What You’ll Bring
Bachelor’s Degree in Information Systems, Computer Science or related field or related experience
Intrinsic drive to improve processes and workflows
2-3 years of techinical leadership experience
Keen intellect and willingness to work on a global team"
Database Administrator,Database Administrator,Ascendion,June,2024,"Ascendion is a full-service digital engineering solutions company. We create and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation and impact for enterprise clients.

We have a culture built on opportunity, inclusion, and a spirit of partnership. Come, change the world with us. Become part of a culture of high-performing innovators with endless ideas and a passion for technology. Our culture is the foundation of our company, making us unique and diverse. The way we share ideas, learning, experiences, successes, and joy allows everyone to thrive at Ascendion.

Join a community of change makers!

***About the Role***
The Senior Database Administrator contributes to major efforts in building database environments that power critical applications, contributes to the management of the client's large-scale database systems while supporting the strategic architectural vision of quality, availability, scalability, performance, security, and functionality.

Responsibilities
Take ownership, and contribute to complex projects encompassing data integrations, data transformation, Data Lakes, data pipelines, system design, and system builds for on-prem and off-prem environments.
Manage database systems that includes installations, implementations, upgrades, patching,
monitoring, capacity planning, security, audit, data lifecycle, and optimization of client’s Enterprise data technologies.
Work with the development teams in the data modelling and database design of product and coding efficient and optimal performance queries.
Automate, simplify, implement, and continuously improve the database environments and processes.
Implement, periodically test, and review appropriate data access and security measures, including access control, audit, backup/restore and system rebuild & recovery processes.

Requirements:
Bachelor’s Degree in Computer Science or equivalent years of experience.
5 to 8 years managing commercial-grade database systems leveraging the following:
Microsoft SQL Server 2012 – 2022.
Solid T-SQL, SSIS, SSRS, database design, configurations and builds, logical and physical data
modeling, stored procedures, security, backup/recovery, and data integrity skills.
Strong understanding of SQL internals, Clustering, Always-On, Partitioning, In-Memory, and SAN technologies.
Strong performance troubleshooting, tuning and resolution knowledge including root cause analysis (RCA).
Proficient in implementing and supporting High-Availability and Disaster Recovery solutions
Proficient with PowerShell or Python.
Proficient with Cloud data technologies specific to AWS, DocumentDB, DynamoDB, Aurora
PostGreSQL, Redshift, EC2, RDS, and other NoSQL technologies.
Proven record with Automation and simplification of data management tasks.
Experience with Visual Studio development and CD/CI solutions for database projects.
3rd Party monitoring tools, including Idera SQLDM, Solar Winds Ignite, SCOM, and others
Adept at Transactional Replication, including setup, troubleshooting, and creating replication scripts.
Proficient planning and organizational skills; solid verbal and written communication skills.
24/7 Support on-call rotation.
Cloud Certification – Preference is AWS Certified Cloud Practitioner or other Cloud focus."
Administrador de base de datos,Administrador de base de datos,Grupo Salinas,May,2024,"Consultor Análisis de Datos/Científico de Datos

Propósito del puesto: Proveer información valiosa relacionada con los procesos y proyectos que gestiona la dirección de Talento y Desempeño para ayudar a comprobar a través de los datos, hipótesis que nos permitan monitorear el valor de nuestros procesos, diseñar acciones más acertadas y mejorar los procesos existentes.

Experiencia:
1 año realizando actividades como:

Big Data
Analista de Datos
Científico de Datos
Manejo de Power BI
Tableu

Funciones:

Análisis descriptivos, diagnósticos y predictivos que nos ayuden a tomar mejores decisiones dentro de la dirección y para nuestros clientes.
Ayudar a comprobar a través análisis de datos, hipótesis que nos permitan monitorear el valor de nuestros procesos, diseñar acciones más acertadas y mejorar los procesos existentes.
Colaborar en la identificación de métricas clave y KPIs para evaluar el rendimiento y el impacto de las iniciativas de Capital Humano.
Configurar tableros y soluciones analíticas que traduzcan la necesidad del cliente en información digerible y amigable para todos los usuarios.
Crear reportes y bases de datos del área para atender las demandas del día a día.
Convertir los hallazgos de los análisis antes mencionados en recursos de fácil acceso para la toma de decisiones.

Conocimientos:

· Actuaría, Matemáticas, ciencias, Ing, Industrial, Administración, Sistemas o Afín
· Excel Avanzado



Ofrecemos:
Salario: $30,000
Seguro de vida

Prestaciones de ley: Vacaciones iniciando con 12 días al año, prima vacacional del 25% anual y aguinaldo de 15 días al año el cual aumenta de acuerdo con la antigüedad
Condiciones laborales: De lunes a viernes.
Beneficios financieros: Adelanto de nómina, acceso a tarjeta de crédito, crédito personal con tasa preferencia a partir de los 2 años, cambios de divisas y caja de ahorro
Beneficios del puesto: Descuentos desde el 10% en productos dentro de tiendas Elektra y Salinas & Rocha, en compras de contado desde el primer día
Servicios: Acceso al nutriólogo, psicólogo, odontólogo, biblioteca, concursos y programas para mejorar tu salud
Promociones y convenios para ti y tu familia: Descuentos en gimnasios, cines, centros de entretenimiento, conciertos, restaurantes, tiendas departamentales, ópticas, laboratorios, clínicas, colegios, escuelas de idiomas, universidades, aerolíneas, viajes, agencias automotrices y guarderías



¡Construye tu propia historia de éxito con nosotros!"
Junior Database Administrator,Junior Database Administrator,"Universal Logistics Holdings, Inc.",May,2024,"OVERVIEW:
Responsible for assisting the Database Administrator with the design, development, maintenance, support, integration, troubleshooting, and all administrative functions of MS SQL databases and servers.

RESPONSIBILITIES:
Supports the Database Administrator in developing and maintaining SQL Server maintenance plan, performance, security, backup and recovery provisions.
Support Database Administrator in administration and end user support.
Troubleshoot technical difficulties and user access issues for the server environment.
Assist Senior DBA with SQL configuration, monitoring and tuning.
Maintain reports of problems reported and resolutions.
Provide support configuration, map creation, and provide ETL and BI solutions.
Monitor and maintain SQL integration points and resolve Tier 1 issues as needed.
Perform ETL (Extract Transform & Load) solutions to support organizational needs and requests.
Maintain database backups and transaction logs.
Audit databases to ensure integrity and accuracy.
Support organizational SQL reporting and data analysis needs.
Performs other related job duties as assigned.

QUALIFICATIONS:
SQL Server Management Studio: 1 year (Preferred)
Database Administration: 1 year (Preferred)
ETL: 1 year (Preferred)
Must Be Bilingual Spanish/English"
Oracle DBA (Hibrido),Oracle DBA (Hibrido),Capital Empresarial Horizonte,May,2024,"Capital Empresarial Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información Solicita:

Oracle DBA (Hibrido)

Para laborar en CDMX, QRO o GDL

Perfil

Escolaridad: Ingeniería en Sistemas, Informática o afín.

Experiencia: Mínima de 3 años.

Inglés: Inglés conversacional avanzado Indispensable

Lugar a laborar: A elegir entre CDMX, QRO o GDL (esquema hibrido)

Requisitos

Experiencia de trabajo en ambiente RAC y Oracle 11g, 12C, 18C y 19C
Solución de problemas de fallas de clúster, fallas del grupo de discos ASM y problemas relacionados con DR, etc.
Trabajar en problemas que no pudieron ser resueltos por el equipo L2
Experiencia en estrategias de Backup y Recovery
Actualizaciones/migraciones de bases de datos 11g / 12c / 18c - 19C
Instalar y configurar el control Grid de Oracle Enterprise Manager
Diseño y Configuración de Base de Datos Física y Lógica de ADG/DG
Diseño para requisitos de CPU, memoria y capacidad de almacenamiento
Diseño de política de seguridad y plan de auditoría
Recuperaciones de bases de datos e identificación y reparación de corrupción de bases de datos
Diseño de una Estrategia para el Mantenimiento y Manejo de Bases de Datos
Buen conocimiento práctico de Performance Tuning and Optimization
Habilidad para usar herramientas internas de ajuste de rendimiento como seguimiento AWR/ASH/ADDM/10046, etc.
Conmutación/conmutación por error de recuperación ante desastres cuando sea necesario
Gestión de parches
Análisis de problemas y solución de los mismos con la ayuda del soporte de Oracle
Participa en turnos y rotaciones de fin de semana
Automatización de trabajos de monitoreo de base de datos
Experiencia preferida de Exadata Server Administration en parches de Exa OS, parches de bases de datos, mantenimiento de celdas, reemplazo de DIMM
Inglés conversacional indispensable

Ofrecemos

Sueldo de $30,000 a $60,000 libres de acuerdo a experiencia (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 10 días de vacaciones + 2 por año, PTU)"
Database Administrator,Database Administrator,Ascendion,June,2024,"About Ascendion

Ascendion is a full-service digital engineering solutions company. We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation and impact for enterprise clients. Headquartered in New Jersey, our workforce of 6,000+ Ascenders delivers solutions from around the globe. Ascendion is built differently to engineer the next.

Ascendion | Engineering to elevate life

The Senior Database Administrator contributes to major efforts in building database environments that power critical applications, contributes to the management of Echo’s large scale database systems while supporting the strategic architectural vision of quality, availability, scalability, performance, security, and functionality.

Responsibilities
Take ownership, and contribute to complex projects encompassing data integrations, data transformation, Data Lakes, data pipelines, system design, and system builds for on-prem and off prem environments
Manage database systems that includes installations, implementations, upgrades, patching, monitoring, capacity planning, security, audit, data lifecycle, and optimization of Echo’s Enterprise data technologies.
Work with the development teams in the data modelling and database design of product and coding efficient and optimal performance queries.
Automate, simplify, implement, and continuously improve the database environments and processes.
Implement, periodically test, and review appropriate data access and security measures, including access control, audit, backup/restore and system rebuild & recovery processes.
Work directly with customers to support and solve complex challenges.
Create and maintain appropriate documentation (Database, Architecture, etc.)
Ensure that the Business Continuity measures are implemented, documented, and regularly tested to enable continue operations.
Commands a broad awareness of technologies and industry trends related to data and cloud technologies.
Hands-on contributor that teaches by example and mentors others.
Open to new ideas and encourages innovative practices.
Acts in the interest of the overall team.
Balances best practice decisions with delivering high business value (right vs right now).
Able to multi-task in a fast paced, fluid work environment.
Customer focus and value driven.

Requirements
Bachelor’s Degree in Computer Science or equivalent years of experience.
5 to 8 years managing commercial-grade database systems leveraging the following:
Microsoft SQL Server 2012 – 2022.
SQL Server DBA
Availability groups
Performance tunning
TSQL - in order to rewrite the SQL queries
Less on logical and physical data modeling
Windows Clustering
Powershell Scripting (automation) or any other language for scripting automation"
Database Administrator (Oracle),Database Administrator (Oracle),"Solera, Inc.",May,2024,"Who We Are
Solera is a global leader in data and software services that strives to transform every touchpoint of the vehicle lifecycle into a connected digital experience. In addition, we provide products and services to protect life’s other most important assets: our homes and digital identities. Today, Solera processes over 300 million digital transactions annually for approximately 235,000 partners and customers in more than 90 countries. Our 6,500 team members foster an uncommon, innovative culture and are dedicated to successfully bringing the future to bear today through cognitive answers, insights, algorithms and automation. For more information, please visit solera.com.
The Role
This position is responsible for acting as a primary technical resource for the support and administration of Oracle Servers in both large scale production and development environments across multiple products. This position continually evaluates the entire Oracle Server topology to identify and create plans to address performance issues, architectural shortcomings, and other opportunities for improvement. The fundamental goal is to ensure the production environment is always operational and performing optimally. This position requires strong organizational and collaboration skills and partnering with numerous distributed teams is a must for success. This position is a key resource contributing to the technical growth and development of the Oracle DBA team through mentoring and training of other team members.
What You'll Do
Ensure production Oracle Servers maintain the company’s requirements for HA/DR, Security, and RPO/RTO
Provide on-call support (as part of a rotation) for production alerts or issues both during and outside normal working hours.
Provide support during maintenance windows or deployment/release activities.
Join war-room calls to triage and troubleshoot outages as they occur, including after-hours and weekends.
Build and improve automation around configuring and administering Oracle Servers
Optimize performance of Oracle Servers and determine the most effective ways to increase performance including hardware purchases, server configuration changes, or index/query changes.
Continuous evaluation and implementation of proactive measures to improve performance and stability of Oracle Server
Create and maintain procedural and technical documentation.
Collaborate with other teams in enterprise level projects and provide support / guidance as needed.
Lead assigned quarterly projects from initial concept and drive to successful completion.
Identify technical developmental opportunities and provide guidance to Mid and Junior Level DBA team members.
What You’ll Bring
Bachelor’s Degree in Information Systems, Computer Science or related field or related experience
Intrinsic drive to improve processes and workflows
Keen intellect and willingness to work on a global team"
SQL Database Administrator,SQL Database Administrator,Innovecture,May,2024,"We at Innovecture are hiring for a Database Administrator (Microsoft SQL and Azure SQL). This role could be based remotely in our Mexico location, with a degree of remote working also available. You will work across various Innovecture and client teams and apply your technical expertise to some of the most complex and challenging technology problems.

We will rely on you to:
• Install and implement MS SQL Server on virtual machines.
• Experience with migration of databases from on-premise to cloud-based destination servers.
• Migrate SQL databases and related objects (ie. SQL Logins, database users, SQL Agent jobs and configure DR Log shipping solutions).
• Experience in implementing database backups (full, differential, and transaction log backups).
• Execute the planned migrations following and adhering to documented runbooks which will be created and maintained for each server that is migrated.
• Provide timely feedback between the project manager and DBA team to ensure on-time high-quality builds.
• Follow AMS best practices and automation processes for performing SQL installations and custom audit procedures.
• Provide ongoing post-build support (Hypercare support), identifying and fixing problems as they arise post-migration.

What you need to have:
• 5+ years of database experience or other related computer science experience
• Bachelor's degree preferred or equivalent work experience.
• Sound knowledge of Microsoft SQL Server ( Managed SQL 2014 and higher versions)
• Familiar with some cloud computing environments (ie. AWS or Azure).

What makes you stand out?
• Experience in Microsoft SQL database and Azure Arm template creation."
Database Administrator,Database Administrator,Ascendion,May,2024,"About Ascendion
Ascendion is a full-service digital engineering solutions company. We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation and impact for enterprise clients. Headquartered in New Jersey, our workforce of 6,000+ Ascenders delivers solutions from around the globe. Ascendion is built differently to engineer the next.
Ascendion | Engineering to elevate life
We have a culture built on opportunity, inclusion, and a spirit of partnership. Come, change the world with us:
Build the coolest tech for world’s leading brands
Solve complex problems – and learn new skills
Experience the power of transforming digital engineering for Fortune 500 clients
Master your craft with leading training programs and hands-on experience
Experience a community of change makers!
Join a culture of high-performing innovators with endless ideas and a passion for tech. Our culture is the fabric of our company, and it is what makes us unique and diverse. The way we share ideas, learning, experiences, successes, and joy allows everyone to be their best at Ascendion.
About the Role:

Job Title: DBA SQL
Location: Remote (Mexico)
Note: we are looking for only 4 to 7 years, candidates with cloud technology Eg : AWS or Azure
and also we are looking for T-SQL, who has the experience with T- -SQL is good to go
Required Qualifications:
Bachelor’s Degree in Computer Science or equivalent years of experience.
4 to 7 years managing commercial-grade database systems leveraging the following:
Microsoft SQL Server 2012 – 2022. o Solid T-SQL, SSIS, SSRS, database design, configurations and builds, logical and physical data modeling, stored procedures, security, backup/recovery, and data integrity skills.
Strong understanding of SQL internals, Clustering, Always-On, Partitioning, In-Memory, and SAN technologies.
Strong performance troubleshooting, tuning and resolution knowledge including root cause analysis (RCA). Proficient in implementing and supporting High-Availability and Disaster Recovery solutions December 2023 I: Reproduction or disclosure prohibited I 2
Proficient with PowerShell or Python. o Proficient with Cloud data technologies specific to AWS, DocumentDB, DynamoDB, Aurora PostgreSQL, Redshift, EC2, RDS, and other NoSQL technologies. Proven record with Automation and simplification of data management tasks.
Experience with Visual Studio development and CD/CI solutions for database projects.
3 rd Party monitoring tools, including Idera SQLDM, Solar Winds Ignite, SCOM, and others
Adept at Transactional Replication, including setup, troubleshooting, and creating replication scripts.
Proficient planning and organizational skills; solid verbal and written communication skills. o 24/7
Support on-call rotation. o Cloud Certification – Preference is AWS Certified Cloud Practitioner or other Cloud focus.

Tell us about your experiences, education, and ambitions. Bring your knowledge, unique viewpoint, and creativity to the table. Let’s talk!"
