Position,Company_Name,Location,Post_Month,Post_Year,Details
DevOps Engineer,DevOps Engineer,Stori,June,2024,"About Stori

Stori is a fast-growing, venture-backed financial technology company, on a mission to democratize credit access for 400 million underbanked LatAm consumers. Stori currently operates in Mexico and has a global team with offices in Arlington Virginia, Mexico City, and Asia. We have quickly made our mark as one of the top digital banks in Mexico with more than two million applicants for our credit card product since launching.

Stori is one of the top-funded startups in the region with US$250 million raised to date. We are backed by top global venture capital funds, such as GGV Capital, GIC, Lightspeed Venture Partners, General Catalyst, Goodwater Capital, Mexico's Tresalia Capital, Vision Plus Capital, BAI Capital and Source Code Capital; who have successfully invested in startups such as Affirm, Airbnb, Alibaba, Stripe, and TikTok.

Stori has a standout founder team among fintechs, leveraging 100+ years of accumulated experience in consumer finance, banking and technology across Mastercard, Intel, Capital One, Morgan Stanley, GE Capital, and HSBC in the U.S., Mexico and Asia. The team has launched and managed many multi-million-customer credit card products globally, providing a wide breadth of experience and knowledge to our team.

We welcome diversity of background, experience and thinking. Storians are passionate about our mission and take pride in the products we build. Our culture thrives off of a flat structure and an inclusive environment where all of our employees can be their authentic selves, with boundless opportunities for professional growth.

The Role:

Stori is looking for an experienced DevOps engineer with a proven track record of optimizing infrastructure, enabling DevOps culture and promoting CICD best practices.

Responsibilities:

Defining enterprise CICD process standards and best practices
Building tools that to enable a DevOps culture where others can easily automate deployments, tests and monitoring
Optimizing infrastructure and scaling systems efficiently through tuning and architecture changes
Troubleshooting performance issues and ensuring system reliability

You are a good fit for the role if:

You enjoy solving problems from inception to implementation with everything in between.
You think in efficiencies and you break down ambiguity into tactical deliverable
You love the thought about CICD and knowing that you can build, test and deploy new features without any risk of an impact to production.
You want to build highly scalable products in a serverless environment on AWS with all infrastructure managed as code
You believe in building tools that to enable a DevOps culture where others can easily automate deployments, tests and monitoring
You are not (overly) intimidated by networking and have the will to automate deployments of VPCs, security groups, subnets, etc.
You have strong ideas for how products and features should work and you are willing to voice those opinions.
You have several years of experience with AWS and you would like to get into a mission driven startup backed by some of the most renowned investors and a proven leadership team.
You love working as a team and knowing that your teammates value you and will not let you down.

Required years of experience

4+ development in the AWS ecosystem
4+ developing CICD pipelines (e.g. Jenkins, CircleCI, AWS CodeBuild, Bamboo, etc.)
3+ Defining enterprise CICD process standards and best practices
2+ deploying infrastructure with AWS Cloud Formation Templates (CFTs)

Our Tech Stack:

We are serverless! Just about wherever possible, we are taking a serverless approach to development, highly leveraging containerized services and Lambdas on AWS. When we need a little more control over the environment or if we can't fit into the AWS constraints of a Lambda we leverage ECS and EKS for our containerized services. In the few places where we can't go serverless (e.g. databases), we select the product that best fits our needs. We use MySQL, Postgres and DynamoDB heavily for different use-cases but also Redis, graph DBs and a few others to meet specific use-case needs.

We use AWS extensively for nearly all of our services and we give all of our engineers full control to develop and test microservices within our development environment which exactly matches our production environment. Pipelines to deploy to production are managed by simply checking code into master in GitHub (although we can always make this more robust!).

What we offer

Make a positive impact on the lives of our customers via financial inclusion
Professional development opportunities
International exposure & work experience
Company swag
Legally required benefits"
DevOps Engineer,DevOps Engineer,Cognizant,May,2024,"We’re hiring!
At Cognizant we have an ideal opportunity for you to be part of one of the largest companies in the digital sector worldwide. A Great Place To Work where we look for people who contribute new ideas, experiencing a dynamic and growing environment. At Cognizant we promote an inclusive culture, where we value different perspectives providing career growth and development opportunities. #WelcomeToCognizant! We have an exciting opportunity for an exceptional individual to work supporting one of our clients as a Azure DevOps

Preferred experience:
· Azure PAAS – (Profile remains Azure DevOPS with PaaS service experience).
· Kubernetes services
· Application gateway
· APIM
· Front door
· KV
· troubleshooting skills and monitoring tool experience.
· DevOps – Jenkins, Azure, Docker, GitHub
· Azure Application Insights/Log analysis
· English advaced (must have)"
DevOps Engineer,DevOps Engineer,DaCodes.,October,2023,"¡Trabaja en DaCodes!

Somos una firma de expertos en software y transformación digital de alto impacto.

Durante 9 años hemos creado soluciones enfocadas en la tecnología e innovación gracias a nuestro equipo de 220 talentosos #DaCoders, Desarrolladores, arquitectos, Diseñadores UX/UI, PMs, QA testers y más, que se integran a nuestros proyectos con clientes en LATAM y Estados Unidos para lograr resultados sobresalientes.

Con nosotros lograrás impulsar y acelerar tu desarrollo profesional, colaborando en diversidad de proyectos, sectores y giros empresariales.

Trabajar en DaCodes te permitirá ser versátil y ágil al poder trabajar con diversas tecnologías y colaborar con profesionales de alto nivel.

Los DaCoders tienen gran impacto en el éxito de nuestro negocio, así como en el éxito de nuestros clientes. Serás el experto que participará en nuestros proyectos y tendrás acceso a startups disruptivas y marcas globales; ¿Te pareció interesante?

¡Estamos en busca de talento para unirse al equipo, vamos a trabajar juntos!

El candidato o candidata ideal tiene una combinación única de experiencia técnica, curiosidad, mentalidad lógica y analítica, proactividad, ownership, y gusto por el trabajo en equipo

Buscamos un ingeniero DevOps para trabajar directamente con el área de operaciones y desarrollo, nos ayudarás a crear sistemas funcionales que mejoren la experiencia de los clientes, nos ayudarás con las actualizaciones de productos, identificación de problemas de producción e implementación de integraciones. Trabajarás en la configuración, aprovisionamiento de aplicativos web, microservicios en la nube.

Deberás ejecutar y automatizar procesos operativos de manera rápida, precisa y segura

Requirements

Experiencia laboral como ingeniero DevOps o en un puesto de ingeniería de software similar
Buenos conocimientos Python o Node Js te serán de gran ayuda
Conocimiento práctico de bases de datos y SQL
Buena actitud para solucionar problemas
Guía de buenas prácticas - Well Architect
Espíritu de equipo
Microservicios
Nube: AWS, Azure o GCP
Terraform
Contenedores
Docker
Jenkins
Orquestadores
Kubernetes
Seguridad de datos
Generación de pipelines CI/CD
Experiencia haciendo scriptings


Benefits

Integración a marcas globales y startups disruptivas
Trabajo remoto/ Home office
Estarás informado desde la primer sesión si alguna de las posiciones llega a requerir algún formato híbrido o presencial ¡Descuida la mayoría son remotas!
Horario ajustado a tu célula de trabajo/proyecto asignado. (Zona horaria del cliente asignado)
Trabajo de Lunes a Viernes
Beneficios Legales
Días festivos oficiales de tu célula de trabajo/proyecto asignado
Vacaciones *Puedes hacer uso de éstos días posterior a los 6 meses en la empresa
Día off en tu cumpleaños
Seguro de gastos médicos mayores
Seguro de vida
Eventos virtuales de integración y grupos de interés
Meetup con invitados especiales de empresas y profesionales del área de IT y Universidades de prestigio
Feedback constante y seguimiento a performance
Acceso a cursos y certificaciones
Equipos de trabajo multiculturales
Clases de inglés
Oportunidades en nuestras diferentes líneas de negocio

¡Orgullosamente certificados como Great Place to Work!"
DevOps Engineer,DevOps Engineer,Ten Lifestyle Group,May,2024,"Description

About Us

Ten Group is the global leader in lifestyle and travel services. Since 1998, our personalized, world-class, and expert service has enabled world-renowned companies to achieve maximum customer satisfaction and retention. Today, we work with more than 50 global companies and serve millions of customers in over 52 countries from 22 select locations in major financial capitals worldwide.

As a certified B company, Ten Lifestyle Group is part of a global community of companies united by the common goal of making a positive impact on society and the environment.

Requirements

A DevOps Engineer introduces processes, tools, and methodologies to balance needs throughout the software development life cycle, from coding and deployment to maintenance and updates.

Main Responsibilities

In charge of closing the gap between actions needed to quickly change an application, and the tasks that maintain its reliability
Responsible of introducing new features to an application
Work closely with developers to deploy and manage code changes, and with operations staff to ensure that systems are up and running smoothly
Designs, implements, and maintains tools and processes for continuous integration, delivery, and deployment of software


General Requirements

Experience in running and maintaining complex infrastructure setups
Experience of a Continuous Integration and Continuous Delivery environment
Experience with Docker or other containerisation services
Good understanding on networking including IP subnets etc
Experience with monitoring solutions such as OpenTelemetry or Prometheus
Scripting experience with Bash/Python
Deep understanding of both development and operations processes, as well as a strong technical background
Advanced/Fluent level of English
Commitment to supporting the delivery of Ten's environmental, social and governance goals, and promoting policy adherence
At least 2 years of experience in the area
Experience working with:
AWS

VPCs with traffic security using Network ACLs and Security Groups

EKS & Helm, ECS, Lambda Functions

CloudFront, ALB / NLB, with WAF rules

RDS, Redis, ElasticSearch / OpenSearch, KMS, SecretsManager

Compute resources like EC2, Fargate

Traefik
HashiCorp Terraform
Docker
TeamCity

We encourage diverse philosophies, cultures and experiences. We appreciate diversity and are dedicated to creating an inclusive work environment for our employees. All aspects of our relationship, including the decision to hire, promote, discipline and terminate, will be based on merit, competence performance and business needs."
Looking for Junior DevOps Engineer,Looking for Junior DevOps Engineer,Xoriant,May,2024,"Looking for Junior DevOps Engineer

Responsibilities:

Infrastructure Automation:
• Assist in the design, implementation, and maintenance of automated infrastructure provisioning and configuration management solutions.
• Learn and utilize infrastructure as code (IaC) tools and practices to automate deployment and management processes.
• Continuous Integration/Continuous Deployment (CI/CD):
• Support the implementation and maintenance of CI/CD pipelines to automate software delivery and deployment processes.
• Collaborate with development teams to integrate automated testing and deployment workflows.

Cloud Services:
• Gain hands-on experience with cloud platforms such as AWS, Azure, or Google Cloud Platform (GCP).
• Assist in the deployment and management of cloud-based infrastructure and services.

Qualifications:
• Bachelor’s degree in Computer Science, Information Technology, or a related field.
• Basic understanding of software development lifecycle (SDLC) and DevOps principles.
• Familiarity with scripting languages such as Python, Bash, or PowerShell.
• Strong problem-solving and analytical skills.
• Excellent communication and collaboration abilities.
• Eagerness to learn new technologies and tools.
• Relevant internship or work experience is a plus.

Please share your resume to discuss more about this role"
DevOps Engineer,DevOps Engineer,eJAmerica,May,2024,"Estamos buscando un Ingeniero Senior de DevOps altamente calificado y experimentado para unirse a nuestro equipo. El candidato ideal tendrá una sólida experiencia en prácticas de DevOps, con experiencia en control de versiones, integración continua, entrega continua (CI/CD), contenerización utilizando Kubernetes, escaneo de código y migración a la nube.

Este rol implicará migrar nuestra infraestructura local a la nube, lo que requiere competencia en scripting de Terraform y un alto nivel de experiencia en servicios en la nube de AWS. El candidato también debería tener experiencia en migración de SVN a Git, actualizaciones de nodos maestros de Jenkins y poseer sólidas habilidades para resolver problemas.

Responsabilidades:
Colaborar con los equipos de desarrollo, operaciones y seguridad para implementar y mantener pipelines efectivos de CI/CD.
Diseñar, implementar y gestionar estrategias de contenerización utilizando Kubernetes para aplicaciones escalables y resilientes.
Realizar escaneo de código e implementar las mejores prácticas de seguridad a lo largo del ciclo de vida de desarrollo de software.
Liderar la migración de la infraestructura local a la nube, aprovechando scripts de Terraform y servicios de AWS. Realizar la migración de SVN a Git y garantizar una transición fluida para el control de versiones.
Actualizar nodos maestros de Jenkins y gestionar la infraestructura de Jenkins para flujos de trabajo de CI/CD eficientes.
Proporcionar orientación técnica y mentoría a los miembros junior del equipo.
Evaluar y mejorar continuamente los procesos y herramientas de DevOps para optimizar la eficiencia y confiabilidad.

Requisitos:
Licenciatura en Ciencias de la Computación, Ingeniería o un campo relacionado.
8-10 años de experiencia práctica en prácticas y herramientas de DevOps.
Gran competencia en sistemas de control de versiones, como Git, SVN, y familiaridad con la migración entre ellos.
Experiencia extensa con pipelines de CI/CD, incluyendo Jenkins y plugins relacionados.
Experiencia en tecnologías de contenerización, particularmente Kubernetes.
Sólida comprensión de los principios de infraestructura como código (IaC), con experiencia práctica en el uso de Terraform.
Certificación AWS Solution Architect o experiencia equivalente en diseño e implementación de soluciones de AWS a escala.
Conocimiento profundo de los servicios en la nube de AWS, incluyendo EC2, S3, VPC, ECS y Lambda.
Experiencia en lenguajes de script como Python, Bash o PowerShell para tareas de automatización.
Excelentes habilidades de comunicación y colaboración, con capacidad para trabajar de manera efectiva en un entorno de equipo.
Fuertes habilidades para resolver problemas y un enfoque proactivo para solucionar problemas técnicos.
Capacidad para adaptarse rápidamente a nuevas tecnologías y metodologías en un entorno dinámico.

Cualificaciones Preferidas:
Experiencia con otros proveedores de servicios en la nube como Azure o Google Cloud Platform.
Familiaridad con herramientas de monitoreo y registro de infraestructura como Prometheus, Grafana, ELK Stack o Splunk.
Conocimiento de las mejores prácticas de seguridad y experiencia en implementar controles de seguridad en entornos en la nube.
Experiencia previa con metodologías ágiles y trabajo en equipos Agile/Scrum.
Certificaciones en tecnologías relevantes como Kubernetes, Docker o AWS DevOps Engineer."
Entry-level DevOps Engineer,Entry-level DevOps Engineer,Thomson Reuters,June,2024,"Are you driven to DevOps practices?

We are on the lookout for an enthusiastic entry-level DevOps Engineer to kickstart their career as part of our global service management team. This dynamic team is at the heart of supporting Thomson Reuters' FindLaw Segment — the world's leading provider of legal information and internet marketing solutions tailored to consumers, small businesses, and law firms. In this role, you'll engineer scalable, high-performance infrastructure solutions and refine our deployment processes using CI/CD best practices. Your objectives will be ensuring the rapid delivery of code to our customers while maintaining the highest standards of site reliability, system performance, and availability. We invite you to join us in crafting innovative solutions with a commitment to operational excellence using cutting-edge technology.

About the role:

As a DevOps Engineer you will:

Assist in the development and maintenance of our CI/CD pipelines to enhance code integration and deployment processes (GitHub repos & actions, AWS CodePipeline, AWS CodeBuild, AWS Secrets Manager).
Proactively monitor system performance and respond to alerts promptly to meet or exceed high availability goals (Datadog, New Relic, AWS CloudWatch, AWS CloudTrail).
Document system designs and operational procedures, ensuring they are up-to-date and accessible (Lucid, Microsoft Office 365, Microsoft SharePoint, Microsoft Teams).
Participate in the evaluation of emerging technologies and tools, recommending solutions that drive innovation and technical excellence.
Leverage AI/ML technologies to enhance automation, improve system diagnostics, and optimize operational workflows (OpenAI's GPT, Anthropic's Claude, Microsoft's Copilot).
Implement security measures and compliance protocols to safeguard our systems and data.
Provide troubleshooting and technical support for operations across our non-production and production environments.
Collaborate with software development, QA, and product teams to align requirements and expedite software releases (Datadog Synthetics, Selenium).


About you:

You're a fit for the role of DevOps Engineer if your have:

Bachelor’s degree in Computer Science, Engineering, or related field, or equivalent experience.
Familiarity with DevOps and Site Reliability Engineering responsibilities, as well as Agile methodologies.
Experience with scripting languages such as Python, Bash, or PowerShell.
Basic understanding of cloud services such as AWS, Azure, or GCP (strong AWS understanding is a plus!).
Experience with version control and infrastructure as code tooling (Git, Terraform, CloudFormation, JFrog Artifactory).
Exposure to containerization and orchestration technologies (e.g., Docker, Fargate) is desirable.
Proven problem-solving skills and the ability to adapt to a rapidly changing environment.
Excellent communication skills and the ability to collaborate effectively across diverse teams.
A strong drive to learn and apply new technologies as industry trends and best practices evolve in the DevOps and Site Reliability spaces.


What's in it For You?

You will join our inclusive culture of world-class talent, where we are committed to your personal and professional growth through:

Hybrid Work Model: We've adopted a flexible hybrid working environment for our office-based roles while delivering a seamless experience that is digitally and physically connected
Wellbeing: Comprehensive benefit plans; flexible and supportive benefits for work-life balance: flexible vacation, two company-wide Mental Health Days Off; work from another location for up to a total of 8 weeks in a year, 4 of those weeks can be out of the country and the remaining in the country, Headspace app subscription; retirement, savings and employee incentive programs; resources for mental, physical, and financial wellbeing.
Culture: Globally recognized and award-winning reputation for equality, diversity and inclusion, flexibility, work-life balance, and more.
Learning & Development: LinkedIn Learning access; internal Talent Marketplace with opportunities to work on projects cross-company; Ten Thousand Coffees Thomson Reuters café networking.
Social Impact: Ten employee-driven Business Resource Groups; two paid volunteer days annually; Environmental, Social and Governance (ESG) initiatives for local and global impact.
Purpose Driven Work: We have a superpower that we’ve never talked about with as much pride as we should – we are one of the only companies on the planet that helps its customers pursue justice, truth and transparency. Together, with the professionals and institutions we serve, we help uphold the rule of law, turn the wheels of commerce, catch bad actors, report the facts, and provide trusted, unbiased information to people all over the world.


Do you want to be part of a team helping re-invent the way knowledge professionals work? How about a team that works every day to create a more transparent, just and inclusive future? At Thomson Reuters, we’ve been doing just that for almost 160 years. Our industry-leading products and services include highly specialized information-enabled software and tools for legal, tax, accounting and compliance professionals combined with the world’s most global news services – Reuters. We help these professionals do their jobs better, creating more time for them to focus on the things that matter most: advising, advocating, negotiating, governing and informing.

We are powered by the talents of 26,000 employees across more than 70 countries, where everyone has a chance to contribute and grow professionally in flexible work environments that celebrate diversity and inclusion. At a time when objectivity, accuracy, fairness and transparency are under attack, we consider it our duty to pursue them. Sound exciting? Join us and help shape the industries that move society forward.

Accessibility

As a global business, we rely on diversity of culture and thought to deliver on our goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.

We also make reasonable accommodations for qualified individuals with disabilities and for sincerely held religious beliefs in accordance with applicable law.

Protect yourself from fraudulent job postings click here to know more.

More information about Thomson Reuters can be found on https://thomsonreuters.com."
DevOps Engineer,DevOps Engineer,GlobalLogic,May,2024,"Qualifications:
Bachelor's degree in Computer Science, Engineering, or a related field.
Strong understanding of cloud infrastructure (AWS, Azure, Google Cloud) and its components.
Proficiency in programming/scripting languages like Python, Bash, PowerShell, etc., for automating cloud processes, security remediation, and cost optimization.
Familiarity with security tools such as Wiz and Snyk for vulnerability assessment and remediation.
Experience in conducting cloud cost analysis and implementing cost optimization strategies.
Solid understanding of networking concepts, security principles, and compliance requirements in cloud environments.
Experience with infrastructure-as-code tools like Terraform, CloudFormation, or Ansible.
Familiarity with containerization technologies like Docker and orchestration tools like Kubernetes.
Excellent problem-solving, troubleshooting, and analytical skills.
Proficiency in English with strong communication and collaboration abilities.

Responsibilities:
Develop and implement automation scripts using Python, Bash, PowerShell, etc., to manage cloud infrastructure components.
Collaborate with cross-functional teams to understand and remediate security vulnerabilities identified through tools like Wiz and Snyk using automation.
Monitor and optimize cloud resource utilization for cost efficiency, identifying areas for cost reduction.
Build and maintain tools for automating security assessments, vulnerability remediation, and cost optimization processes.
Provide technical guidance and support to teams for remediating security vulnerabilities and optimizing cloud costs.
Conduct regular audits and assessments of cloud infrastructure to ensure compliance with security standards.
Stay updated with industry trends and best practices in cloud infrastructure automation, security, and cost optimization.
Identify areas for improvement in security, compliance, and cost optimization, proposing innovative solutions.
Collaborate with cloud service providers, vendors, and internal teams to drive continuous improvement and implement industry best practices."
DevOps Engineer,DevOps Engineer,Altair,May,2024,"Transforming the Future with the Convergence of Simulation and Data 

DevOps Engineer 

Do you like a challenge, are you a complex thinker who likes to solve problems? If so, then you might be the new Altairian we are searching for. At Altair, your curiosity matters. We pride ourselves on a business culture that enables open, creative thinking, and we deeply value our employees and their contributions towards our clients' success, as well as our own. 

Job Summary:
The selected candidate will be responsible for providing assistance in managing and maintaining the Altair One platform, as well as implementing and deploying applications in both Cloud and On-Premises environments. They will work closely with the team to ensure smooth and efficient operation of the platform, while also troubleshooting issues as they arise. The ideal candidate should have a solid understanding of Cloud and On-Premises deployment methods and be able to work collaboratively in a fast-paced and dynamic environment.

Job Requirements:
2+ years of experience in DevOps/SRE, systems engineering, build/release/deployment automation, Public/Private/Hybrid cloud deployment, etc.  
2+ years of experience in Azure, AWS, GCP, or OCI is necessary.
Strong Docker and Kubernetes skills are required.
Familiarity with working on an Agile/Iterative development framework.
Experience with modern deployment mechanisms like Canary, and Blue Green. 
Experience with Infrastructure as Code Tooling – Terraform or AWS CloudFormation or Azure ARM.  
Experience with Configuration Management tools such as Salt Stack, Ansible, Chef, and Puppet. 
Experience with Application Observability/Metrics – Grafana stack, Honeycomb, Prometheus, Loki, etc. 
Experience with Continuous Integration and Continuous Deployment Pipelines - Jenkins CI, GitLab CI/CD, Flux or ArgoCD.
DevOps tooling (GitLab, Jenkins, GitHub, Jira, Jenkins DSL, Hashi Corp Vault, Consul, Boundary, Istio, Packer, Linkerd, Kapitan, Helm, Keda etc.)
Experience with Windows and Linux administration.
Understanding of High-Performance Computing (HPC) is a plus. 

Job Responsibilities:
Debug Production issues by working with the Development and Operations team. 
Understand and improve the reliability and scaling of Production deployments.  
Deploy microservices on Cloud and On-premises K8s environments.
Provide quick fixes and solutions and rollout software fixes to Production. 
Develop scripts to automate routine tasks.
Research innovative technology and solution alternatives to find the best solutions to problems. 
Set up monitoring and alerting systems to detect issues before they become problems, ensuring our systems are always available. 
Analyse Requirements and proactively estimate and project the requirements for infrastructure, security, and DevOps initiatives. 

How You Will Be Successful:
Envision the Future
Communicate Honestly and Broadly 
Seek Technology and Business “Firsts” 
Embrace Diversity and Take Risks  

What We Offer: 
Mexico offers the following benefits:
75% prima vacacional.
1 mes de Aguinaldo.
12 días de vacaciones.
SGMM – seguro de gastos médicos mayores.
Seguro de vida.
Seguro dental.
Fondo de ahorro.
Vales de despensa. 

Why Work with Us:
Altair is a global technology company providing software and cloud solutions in the areas of product development, high-performance computing (HPC) and artificial intelligence (AI). Altair enables organizations in nearly every industry to compete more effectively in a connected world, while creating a more sustainable future. With more than 3,000 engineers, scientists, and creative thinkers in 25 countries, we help solve our customer’s toughest challenges and deliver unparalleled service, helping the innovators innovate, drive better decisions, and turn today’s problems into tomorrow’s opportunities.  

Our vision is to transform customer decision making with data analytics, simulation, and high-performance computing and artificial intelligence (AI).  

For more than 30 years, we have been helping our customers integrate electronics and controls with mechanical design to expand product value, develop AI, simulation, and data-driven digital twins to drive better decisions, and deliver advanced HPC and cloud solutions to support unlimited idea exploration. To learn more, please visit altair.com.   

Ready to go? #ONLYFORWARD  

At our core we are explorers; adventurers; pioneers. We are the brains behind some of the world’s most revolutionary innovations and are not only comfortable in new and uncharted waters, we dive in headfirst. We are the original trailblazers that make the impossible possible, discovering new solutions to our customer’s toughest challenges.   

Altair is an equal opportunity employer. Our backgrounds are diverse, and every member of our global team is critical to our success. Altair's history demonstrates a belief that empowering each individual authentic voice reinforces a culture that thrives because of the uniqueness among our team.  "
DevOps Engineer,DevOps Engineer,Azkait,May,2024,"AZKA IT is a Mexican company that seeks and connects the best IT talent with Latin American and United States companies.

We are looking for your talent as DevOps Engineer

Requirements:

SKILLS:

3 + years experience in DevOps
Design infrastructure using Azure or other cloud platforms.
Scripting experience.
Design automated build and deployment processes along with rollback mechanisms.
Identify and mitigate infrastructure performance and security risks.
Experience in cloud database technologies.
Design of infrastructure/application monitoring processes and tools.
Design the DevOps strategy for a given project taking into account quality, performance and cost.
Data operations: SQL DB, (MongoDB, CassandraDB)
CICD: GitHub, Jenkins.
Platform: Confluent Kafka, JIRA, Confluence.

Beneficios:

IMSS, Infonavit and PTU of the law.
100% of payroll
30-day Christmas bonus
SGMM for the resource and his direct family
Life Insurance for 1 million pesos (individual)
Dental insurance (individual)
Free courses and certifications
Food vouchers
Discount card in department stores and medical networks.
Work Monday through Friday.
Contract 3 months trial at the beginning, then indeterminate."
