Position,Company_Name,Location,Post_Month,Post_Year,Details
Marketing Project Manager - Latam,Marketing Project Manager - Latam,Sagan Recruitment,May,2024,"Job Title: Marketing Project Manager - Latam

Location: Remote (CST Timezone)

Working Schedule: Monday - Friday, 09:00 AM to 05:00 PM CST

Job Description:

We are a digital marketing company specializing in healthcare in the U.S. We are seeking a skilled and experienced Marketing Project Manager to work closely with Jonah (president and co-founder of the company). Jonah will provide the vision and strategy for our marketing flywheel to attract ideal clients.

Role Overview:

As Marketing Project Manager, you will be the key liaison between Jonah and our marketing team, ensuring seamless communication, ownership, and execution of our strategic initiatives.

Responsibilities:

Prospect Data Management: Lead the team (in-house team + freelancers) responsible for building targeted prospect lists across various medical healthcare niches (e.g. LASIK, Bariatric, Orthopedic, Audiology, Hair Restoration, Vein, etc.).
Direct Marketing Management: Oversee the team sending physical marketing items to prospects, including handwritten cards, lumpy mail, postcards, and fax campaigns.
Digital Marketing Oversight: Manage the digital marketing team conducting LinkedIn outreach campaigns, Meta and Google ads, and email marketing.
Content Marketing: Oversee and manage the team responsible for content creation, including blogs, articles, and multimedia content, ensuring it aligns with the overall marketing strategy.
Social Media Management: Coordinate the social media team to create and execute engaging campaigns across all platforms.
Project Launch & Optimization: Ensure successful project launches, oversee ongoing improvements, and optimize campaigns for maximum impact.
Measurement, Process & Quality Assurance: Measure and report on project success, enforce quality assurance standards, and develop and refine processes.


Qualifications:

Proven experience in marketing project management.
Generalist digital marketing background preferred.
Strong communication skills to effectively liaise between strategy and execution teams.
Ability to lead diverse teams towards shared marketing goals.
Experience with physical, digital, and content marketing campaigns.
Able to break large projects into smaller subtasks, define requirements, create ""Definition of done"", remove bottlenecks, anticipate dependencies"
"Program Manager, SPN MX, Partner Development team","Program Manager, SPN MX, Partner Development team",Amazon,May,2024,"Description

Are you looking for a new challenge in a fast-paced, innovative company? Come make history in Amazon’s MX team!

As a Service Provider Network (SPN) Program Manager you will interface internally with business and tech teams to drive the growth of Service Providers Network program in Latam, and especially in Mexico. The job involves planning & process execution, ensuring operational rigor and designing business processes. To be successful in this role you should be comfortable dealing with ambiguity, driving shared goals, and have the ability to think big.

We are looking for a Program Manager to be part of the Latam Seller Success team. This person will have the exciting opportunity to deliver on a strategy to enable broad use of SPN by selling partners in Mexico. Working in a dynamic environment, the person will be responsible for the operational aspects of building a suite of services through third party providers that can help selling partners build their ecommerce business on Amazon. You will be expected to build a network of Amazon providers who would deliver organic and new business growth to Amazon’s marketplaces enabling and developing a set of services for selling partners on the platform, which makes this also a entrepreneurial role.

This position requires an individual who is a self-starter, has strong attention to detail, and will be comfortable assessing and working with multiple sources, envisioning what will make related services a success.

The role will interface internally with leaders on our business development and product management team to map gaps in selling partners capabilities and provide relevant partner services. The job involves end-to-end tactical & process execution, including but not limited to creating annual plans and strategy for execution, ensuring operational rigor and designing high business impact processes.

Key job responsibilities

Role And Responsibilities

Interact with multiple teams to identify gaps in selling partners abilities and determine services to be offered through third-party service providers
Define service scope, find and develop partners
Launch new services/partners and drive adoption by selling partners
Support coordinating marketing content, experience, and strategy for generating awareness
Track and report KPIs for all services

About The Team

The Partner Development team is part of the Seller Success team and has the objective to build and develop partners to scale our recruiting capability and seller support.

We are open to hiring candidates to work out of one of the following locations:

Mexico City, DIF, MEX

Basic Qualifications

Bachelor's degree
3+ years of working cross functionally with non-tech teams experience
Knowledge of Excel at an intermediate level (e.g., pivot tables & charts, multiple criteria lookups, nested logical/IF formulas, data cleansing, array formulas, etc.)

Preferred Qualifications

Experience defining program requirements and using data and metrics to determine improvements
Experience in stakeholder management, dealing with multiple stakeholders at varied levels of the organization
Knowledge of Excel (Pivot Tables, VLookUps) at an advanced level and SQL


Company - Servicios Comerciales Amazon Mexico S. de R.L. de C.V. - D44

Job ID: A2642621"
IT Supply Chain Senior Project Manager,IT Supply Chain Senior Project Manager,Nestlé,June,2024,"About IT In Nestlé

We are a team of IT professionals from many countries and diverse backgrounds, each with unique missions and challenges in the biggest health, nutrition and wellness company of the world. We innovate every day through forward-looking technologies to create opportunities for Nestlé’s digital challenges with our consumers, customers and at the workplace. We collaborate with our business partners around the world to deliver standardized, integrated technology products and services to create tangible business value.

Under the supervision and guidance of her/his primary Community of Practice Lead and Head of Office of the CIO, the IS/IT Project Manager manages a development or deployment IS/IT project as profiled above to ensure it delivers expected value to the Business partner, on time, on budget, on scope, on quality that may be clearly defined upfront or may require dynamic and iterative scoping, delivery and change management (agile project management). Adhering to established Project Management methodologies. Manages the project's budget. Is responsible to structure the project, plan and budget, execute, monitor and control it, and finally close it, ensuring quality and integrity of the information across the enterprise. As part of this, is responsible to manage risks, quality and procurement; leads the project team and is the person that project resources report directly to for the execution of the project tasks they are allocated.

Position Snapshot

Location: Nestlé México

Stream: IT Supply Chain & Procurement

Type of Contract: Permanent

Key Responsibilities:

Creates a structured project, implementing IS/IT agile project methodologies
Develops and controls the Project budget, and manages expenditure within agreed value delivery and spending plans
Ensures all projects are consistent with overall IS/IT customer objectives and strategic plans
Agile-led, deliverable-based Work Breakdown Structure (WBS) and project plan established leading to development of a resource loaded integrated project plan, with resources identified and secured
Project sponsors committed: manages the stakeholder engagement
Establishes and ensures appropriate governance functions for the Project in accordance with enterprise policies, practices and on behalf of the executive sponsor
Ensures the quality of Project Manager deliverables, by ensuring the respect of Project Management best practices
Follows-up the Key Performance Indicators for each project and consolidate Program level reporting""
Project monitored and controlled, risks managed: manages the day-to-day activities of cross-functional project teams and ensures the adherence to the project plan.
Identifies and mitigates project risk, keeping issues visible, to avoid impacting the project’s success. ""
Produces timely, detailed summaries and high level reports.
Provides project schedule, actual vs. budget, incremental value and earned value information in project progress reports (supported by IS/IT performance management)""
Project changes managed effectively: Works to control change, adjusts the budget, timeline, and project scope to accommodates approved changes
Project is closed: Reviews and finalizes deliverables and monitor quality
Establish incremental value delivery plan (develop NPV with IS/IT Customer or other return on investment metrics for project, based on customer objectives) and resourcing for project and project activities, and arranges for assignment of project personnel (collaborates with IS/IT Resource Manager to ensure associates with required skills are available to support the implementation of new system solutions)
Continous learning, keeps up to date with latest development and methodology in relation with IS/IT communities and IS/IT Workforce strategy

Requirements:

Bachelor's or Master's degree in computer science, information systems, business administration or related field, or equivalent work experience
5+ years of experience in IT and business/industry
3-5 years of diverse roles and increasing leadership responsibilities
Agile project management experience would be an asset
Substantial consulting leadership experience a plus
Experience in managing change/transitions and change impacts. Operating in a matrix organization and development of influencing skills
Experience with effective communication at different levels in the organization and in English
Experience working in a global environment and with virtual teams"
"Program Manager, Supply Chain Management","Program Manager, Supply Chain Management",Amazon,May,2024,"Description

At Amazon, we're working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. If you'd like to help us build the place to find and buy anything online, this is your chance to make history.

The Startup Procurement team manages the flow of materials to new sites by monitoring and mitigating supply risk. Our Sr. Program Manager, Startup Procurement role will work with various functional partners to make sure that items are ordered and delivered to sites just in time. The role will also review existing processes and continuously improve them by scaling, automation, etc.

#AmazonMexico

Key job responsibilities

onitor and mitigate overall risk for all new launches buildings

Continuously improve current processes

Identify and/or eliminate project related barriers for team members and partners

Communicate building launch plans with Category, Procurement Operations teams, and cross-functional organizations

Establish initial procurement order streams to match supply with demand on a Just-in-Time (JIT) basis.

Collaborate with suppliers and establish monitoring processes, where applicable, to ensure timely deliveries and quality compliance

Ensure Procurement’s resource requirements are met in all new site launches

Define key performance indicators – develop metrics and service level agreements for core programs and processes, and track delivery against program objectives

Interface with Procurement Operations to implement best practices and ensure consistency across buildings

Partner with internal customers to positively influence spending decisions

Drive execution of vision and goals for the team

Develop sustainable training as needed for new project/program launches

Manage multiple, competing projects and priorities simultaneously

Travel up to 50% domestically and internationally

Key job responsibilities

Plan and scope monthly discovery audits, execute audits, prepare written findings, and facilitate business responses and action items.
Delve deep into the details to generate meaningful findings and recommend root cause solutions.
Lead regional workshops to reinforce standards.
Create short impactful videos to document best practices.
Lead and participate in ad hoc projects.

We are open to hiring candidates to work out of one of the following locations:

Mexico City, DIF, MEX

Basic Qualifications

2+ years of working cross functionally with tech and non-tech teams experience
2+ years of defining and implementing process improvement initiatives using data and metrics experience
Bachelor's degree
Knowledge of Excel at an intermediate level (e.g., pivot tables & charts, multiple criteria lookups, nested logical/IF formulas, data cleansing, array formulas, etc.)
Experience defining program requirements and using data and metrics to determine improvements
Willingness to travel up to 50% (excluding less than one-hour commute from home).

Preferred Qualifications

3+ years of driving end to end delivery, and communicating results to senior leadership experience
3+ years of driving process improvements experience
Experience in stakeholder management, dealing with multiple stakeholders at varied levels of the organization
Experience building processes, project management, and schedules


Company - Servicios Comerciales Amazon Mexico S. de R.L. de C.V.

Job ID: A2563923"
ICI50CI51-DIRE-LE-05-DIRECTOR SR PROYECTOS Y MEJORA CONTINUA,ICI50CI51-DIRE-LE-05-DIRECTOR SR PROYECTOS Y MEJORA CONTINUA,Truper,March,2024,"Objetivo del puesto

Gestión integral del Portafolio de Proyectos de Iniciativas de Mejora alineadas a los objetivos institucionales.

Perfil General del puesto

Horario laboral: Mixto

Educación

Estudios Universitarios pasante

Experiencia requerida

Experiencia de 5 años o más

Principales funciones del puesto

Administrar y priorizar un portafolio de proyectos diversos de la Banca Mayorista con metodologías ágiles manteniendo alineación a los objetivos institucionales a corto, mediano y largo plazo. Análisis de información de datos para identificar interacciones que generen la transformación de procesos en beneficios de productos o servicios ofrecidos a los clientes. Diseñar, gestionar e implementar métricas e indicadores de desempeño para la evaluación sistemática de las mejoras implementadas.

Competencias requeridas

Habilidades

Certificados"
"Senior Program Manager, International Supply Chain","Senior Program Manager, International Supply Chain",myGwork - LGBTQ+ Business Community,May,2024,"This inclusive employer is a member of myGwork – the largest global platform for the LGBTQ+ business community.

Description

Amazon Mexico´s Int´l Supply Chain team is looking for a Senior Program Manager to provide both tactical and strategic leadership for import and inbound transportation programs as well as to drive launch of new programs and manage projects in the International supply chain field. You will also require to support existing operations and identify, create, develop and integrate innovative solutions that lead to improvements, scalability and efficiency in our supply chain. We are looking for a motivated self-starter that can work independently in a fast paced, ambiguous environment.

Key job responsibilities

The Senior Program Manager key responsibilities are

To identify opportunities for new programs, prepare and effectively drive business case discussions to justify investments and drive implementation of new programs or projects.
Work with product, operations, technology and partner teams to identify cost reduction and cost avoidance opportunities.
Identify and address customer and business pain points and process optimization opportunities by deep diving data, operational processes and working with cross-functional teams.
Set up milestones, goals to measure progress and report on them.
Influence without authority by communicating effectively, verbally and in writing, to a wide range of audiences including Directors and VPs.

We are open to hiring candidates to work out of one of the following locations:

Mexico City, DIF, MEX

Basic Qualifications

6+ years of program or project management experience
Experience using data and metrics to determine and drive improvements
Experience owning program strategy, end to end delivery, and communicating results to senior leadership
5+ years of working cross functionally with tech and non-tech teams experience
English Advance C1+
Bachelors degree

Preferred Qualifications

2+ years of driving process improvements experience
Master's degree, or MBA in business, operations, human resources, adult education, organizational development, instructional design or related field
PMP certificate"
New Products Project Program Manager,New Products Project Program Manager,HP,April,2024,"Expert knowledge across supply chain including technologies, theories and techniques. Contributes to the development of innovative principles and ideas. Successfully leads and drives complex programs across the business. Provides highly innovative solutions. Leads large, cross-division functional teams or projects that enhance the overall business performance. Participates in cross-division, multi-function teams. Provides mentoring and guidance to employees. Accountable for developing methods, techniques and criteria for achieving objectives. Develops strategy and sets functional policy and direction.

Responsibilities

Manages and leads key programs involving multiple functions to develop and enhance the overall business performance.
Directs the development of overall program strategy, budgets, resource allocation plans, and general program requirements for the business.
Leads all activities across program teams with accountable for overall program performance.
Communicates program progress, escalations, and issue analysis to stakeholders; collaborates with internal partners to recommend and implement changes to products, processes, or business practices to drive continuous improvement.
Develops and leads operational reviews.
Drives innovation and integration of new technologies and initiatives.
Reviews, evaluates, and enhances processes through continuous assessment. Provides tangible feedback to improve overall program management quality and results for the organization.
Provides guidance and mentoring to cross functional team members.

Education And Experience Required

Bachelor's or Master's degree in Business Management, Engineering, Computer Sciences, or equivalent.
15+ years supply chain experience.
10+ years experience leading or managing teams.
PMP/PMI certification preferred

Knowledge And Skills

Experience designing and developing program planning tools to create, manage, and track project results.
Excellent analytical and problem solving skills.
Demonstrated business acumen, understanding of organizational strategy, experience managing cross-functional programs.
Excellent communication skills.
Leading cross functional teams.
Ability to effectively communicate program management and negotiate options across multiple functions."
Coordinador Sr. de Proyectos,Coordinador Sr. de Proyectos,Diseños Inteligentes C Y C,May,2024,"Requisitos:
Lic. en Arquitectura, Ing. Civil o afín.
Capacidad de Análisis, toma de decisiones.
Enfoque a Resultados.
Manejo de REVIT de indispensable.
4 años de experiencia.

Descripción del puesto:
Desarrollar proyectos integrales, teniendo en cuenta factores de arquitectura, diseño, costos, infraestructura y automatización.
Manejo de personal y asignación de tareas dentro del departamento de diseño y proyectos.
Administrar y organizar recursos, incluyendo capital humano, equipos y tiempos para la creación de proyectos.
Abordar y solucionar problemas relacionados con todos los proyectos, trabajando estrechamente con equipos de ejecución, administración, dirección y operaciones.
Seguimiento de proyectos desde etapa de conceptualización, durante etapa de construcción hasta entrega de proyecto.

Conocimientos:
REVIT.
AutoCAD.
Excel (avanzado).
OFFICE.
Conocimiento en precios unitarios de construcción.
Análisis de Presupuestos.
Ejecución de Obras.
Cuantificación de Proyectos.
Elaboración de Paquetes de Licitación.

Horario:
Lunes a Viernes de 9:00am a 6:00pm, y Sábados de 9:00am a 1:00pm.
Lugar de residencia: Preferentemente Zacatecas, Fresnillo o Aguascalientes."
Senior PM Healthcare,Senior PM Healthcare,Wipro,May,2024,"The position is for a Senior PM

To manage strategically end-to-end implementation projects in multiple venues with an international team, ensuring alignment with customer expectations, project standards, and business requirements with adaptability of methodologies as Agile or Waterfall.
To collaborate, analyze and make informed decisions for internal stakeholders (IT, sales, Project Manager) and external stakeholders (senior managers, laboratories and hospitals) to define project scope, deployment strategies, and commercial ambitions always with honest communication and a constant information flow, building reliable relationships.
Successfully implemented Roche LIS, a Digital solution in 26 laboratories of Mexico's leading private hospitals chain, coordinating technical resources, project timelines and following up after the GO LIVE

HC - Payor"
"Program Operational Excellence Manager, EF LatAm Operational Excellence","Program Operational Excellence Manager, EF LatAm Operational Excellence",Amazon,May,2024,"Description

Amazon strives to be Earth's most customer-centric company where people can find and discover virtually anything they want to buy online. By giving customers more of what they want - low prices, vast selection, and convenience, Amazon continues to grow and evolve as a world-class e-commerce platform. Amazon's evolution from Web site to e-commerce partner to development platform is driven by the spirit of innovation that is part of the company's DNA. Amazon’s vision is to offer the earth’s largest selection and lowest prices to our customers.

The Program Operational Excellence Manager will lead a team in one of the Marketplace fulfillment programs expansion in Mexico. The job requires someone who has a larger picture of customer and seller experience in mind and a high willingness to take ownership. You will be responsible for ensuring a world class Seller experience in one of Amazon’s fastest growing business and highest impact initiatives. You will work with internal areas such as Operations, Transportation, Legal, Sales and Seller Support, and a variety of internal and external partners to ensure the smooth growth and long-term sustainability of the business.

The right candidate will possess a strong bias for action to proactively pursue program objectives and analytical mindset for finding root cause and proposing solutions as well as good people management skills in order to be able to contribute to be the world's best employer. You must be able to thrive and succeed in an entrepreneurial environment and not be hindered by ambiguity or competing priorities.

Basic Qualifications

Bachelor's degree
+3 years of Program or Project management
Excel (Advanced)
SQL (Intermediate)
English (Fluent/Advanced)

Preferred Qualifications

MBA degree
Python or other programming skills
People management

Key job responsibilities

To Succeed As Program Manager You Need To

Be able to excel in stakeholder management in different areas and levels - specially with Operations and Transportation teams;
Be able to conduct multiple projects at the same time directly and indirectly with different levels of complexity and extensions;
Coach your team in order to prioritize tasks to optimize results, creating value in the long-term;
Challenge current status-quo of the existing mechanisms in order to create a continuous improvement environment;
Influence your team and others to create new procedures and processes.

A day in the life

Inclusive team culture

At Amazon we embrace our differences and we are committed to furthering our culture of inclusion. We host annual and ongoing learning experiences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust

Work Life Balance

We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth

Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional.

We are open to hiring candidates to work out of one of the following locations:

Mexico City, DIF, MEX

Basic Qualifications

Bachelor's degree
3+ years of program or project management experience
Knowledge of Microsoft Excel (macros, pivots, lookups) at an advanced level

Preferred Qualifications

Experience managing teams


Company - Servicios Comerciales Amazon Mexico S. de R.L. de C.V.

Job ID: A2605642"
