Position,Company_Name,Location,Post_Month,Post_Year,Details
Emerging Talent: IT Auditor,Emerging Talent: IT Auditor,Blend,June,2024,"Blend is a diverse team of problem solvers who believe that the world's financial resources should be more accessible. Our cloud banking platform is used by Wells Fargo, U.S. Bank, and over 330 other financial services firms to acquire more customers, increase productivity, and deliver end-to-end digital experiences. Our software enables our customers to process an average of more than $5 billion in loans per day, making it possible for consumers to reach their financial goals faster and lead better lives. Come do work that matters.

As an early-in-career IT Auditor on Blend's Internal Audit & Enterprise Risk Management team, you will be focused on IT audits of cloud-based and custom developed systems, SOX 404 testing, as well as Enterprise Risk Management (ERM) and Fraud Risk Assessment (FRA) activities. This role helps the company to accomplish its objectives and improve IT operations through an independent and objective assurance and advisory approach designed to add value. You will report to the Senior IT Auditor and the Head of Audit, and will work with various business & IT partners. Specifically, this role is responsible for assisting the Senior IT Auditor in performing IT SOX testing, performing IT audits in all areas of IT, Information Security and Privacy, conducting fieldwork (executing, documenting and interpreting testing), and preparing draft audit findings. The entire IA team will utilize data analytics/visualizations and automation technologies (Robotic Process Automation/RPA, Generative AI, etc.) as the Company adopts these.

The ideal candidate is an intellectually curious, highly motivated and organized self-starter with a relevant college degree who has superior written and oral English language communication skills, takes pride in the accuracy and timeliness of their work and has a positive, enthusiastic attitude.

Note: This is a HYBRID role based in our Mexico City office. In order to be considered for the role, please submit your resume in English.

How you'll contribute:

Learn to effectively use the GRC tool, AuditBoard's SOXHub based on vendor-provided online training
Assist in performing IT internal audit projects in accordance with the Institute of Internal Auditors (IIA) professional practice standards
Perform SOX testing for IT General Controls and IT Application Controls (test of design, test of operating effectiveness)
Perform SOC report testing
Perform testing of Information Produced by Entity (IPE)/key reports and spreadsheets
Assist in documenting IT systems and processes using GoogleDocs
Develop/modify process flowcharts using draw.io software
Contribute to the identification and assessment of risks
Perform interviews with stakeholders, take accurate notes
Schedule meetings, request documents from business partners
Evaluate compliance with policies and procedures
Manage tasks accurately based on timeline
Perform and incorporate data analysis in audit planning, workpaper support, final reports
Prepare clear, concise, accurate, logical, and detailed workpapers for work performed and conclusions reached; document these according to professional practice standards
Identify and research issues with supported analysis and propose solutions
Exercise judgment and discretion related to conducting audit work
Participate in special projects as assigned by Internal Audit management
Promote an ethical and risk-aware culture at the company
Maintain knowledge of the business of Blend Platform and Title365
Maintain knowledge of IT audit emerging topics and maintain professional certifications (e.g., CISA, CISSP)

Who you are:

Bachelor's Degree in a related discipline (e.g., information technology; information systems)
Basic understanding of cloud computing platforms - Software as a Service (SAAS)/Platform as a Service (PAAS)
Basic understanding of Enterprise Resource Planning (ERP) system functionality
Critical thinking, analytical and investigative skills
Time management skills
Ability to effectively juggle multiple assignments and keep Senior Auditor informed of any issues
Proactive and self-initiating work style
Integrity, openness, and transparency
Intellectual curiosity

Certification(s)

Required to have or obtain in first year of employment:
Certified Internal Auditor (CIA)
Benefits and Perks:

Relocation & Sign On Bonuses (If Applicable)
Private Medical via Allianz
Blend Contributions to Mexican Social Security
Prima (Vacation Bonus)
Aguinaldo (Christmas Bonus)
Food Voucher/Meal Allowance ($2,000 pesos/month)
On-Site Parking
12 weeks Maternity & Paternity Leave
Generous Paid Time Off
11 Paid National Holidays"
Internal Auditor,Internal Auditor,Samsung Electronics,May,2024,"At Samsung we are committed with our key value of People, the talent we are looking for is must be familiar with audit process in a highly demand environment

Skills and Responsabilities
At Least 5 years of proven experience in similar roles
Develop, execute and present audit reports in a timely and consistent manner, in accordance with regulatory and Internal Audit standards.
Apply audit procedures, as well as carry out analysis, investigations and evaluations to propose improvements to processes or changes to policies, procedures, reports and formats
Diligently keep a systematic check on the company’s operation to improve organizational efficiency
Audit of AR/AP
Accounting audit
Audit of files
Vendor due diligence
Advanced English level
Excel intermediate level (familiar with how to use pivot tables, VLookup, and date functions among other more.)

Academic Background
Bachelor Degree in accounting business, or an equivalent.

Modality
On Site"
Auditor TI - Staff,Auditor TI - Staff,EY,May,2024,"EY ayuda sus clientes a crear organizaciones ágiles y conscientes de los riesgos que toman para lograr sus objetivos estratégicos.

Las organizaciones crecen y generan valor a través de una serie de decisiones comerciales estratégicas, decisiones que requieren asumir riesgos. Identificar, administrar y responder a estos riesgos posiciona bien a una organización para crecer y mantener el éxito.

Históricamente, las organizaciones se han centrado en los riesgos que se pueden gestionar mediante la implementación de controles. Pero la mayoría de las veces, estos ofrecen pocos beneficios en términos de ventajas. Por lo tanto, las organizaciones deben ampliar su enfoque en el panorama de riesgos y considerar tres categorías de riesgos: al alza, al exterior y a la baja.

La oportunidad

Lo ayudamos a definir su universo en función de objetivos estratégicos, financieros y operativos y categorizar los riesgos que debe asumir, evitar o mitigar. Todo esto ayuda a alinear sus riesgos con su propósito y estrategia comercial.

Para calificar para este puesto, deberás contar con lo siguiente:

Egresado de ingeniería de sistemas, Ingeniería electrónica, ingeniería de software o afines.
Inglés intermedio.
Experiencia minima de 1 año en auditoria TI, de control o riesgos de TI en el sector financiero o manufactura..
Con conocimientos en evaluación de controles generales, bases de datos, sistemas operativos, redes, controles de aplicación y ciberseguridad.
Habilidades blandas como: comunicación efectiva, orientación al cumplimiento de objetivos, trabajo en equipo, administración del tiempo, escritura y redacción de informes.

Lo que buscamos

Buscamos personas inquisitivas y motivadas, con un conjunto diverso de intereses y antecedentes y una mentalidad emprendedora. Dado que nuestro equipo realiza análisis multidisciplinarios, también deberás contar con sólidas habilidades de comunicación, capacidad de manejar tu horario y el deseo de ir más allá de las tareas que se te asignen para que tengas una visión amplia. Si estás listo para marcar una diferencia tangible desde el principio y aportar tus grandes ideas a este equipo que está creciendo, este puesto es para ti.

Lo que trabajar en EY te ofrece

Si te incorporas a EY, tenemos un paquete de compensación competitivo en el que recibirás recompensas en función de tu rendimiento y se te reconocerá por el valor que aportas a nuestro negocio.

Acerca de EY

Como líder global en servicios de aseguramiento, impuestos, transacciones y asesoría, estamos utilizando los productos financieros, experiencia y sistemas que hemos desarrollado para construir un mejor entorno de negocios. Esto comienza con una cultura que te ofrece la capacitación, las oportunidades y la libertad creativa que necesitas para mejorar las cosas. Sin importar el momento en que te unas a la firma, y sin importar cuánto tiempo te quedes, la experiencia excepcional de trabajar en EY dura para toda la vida. Y con nuestro compromiso por contratar y preparar a la gente más apasionada.

Si puedes demostrar que cumples con los criterios anteriores, contáctanos lo más pronto posible.

Envía tu solicitud ahora"
AUDITOR TI,AUDITOR TI,AFIRME FINANCIAL GROUP,May,2024,"En Afirme Grupo Financiero trabajamos día a día para que nuestros entornos sean inclusivos, nuestras oportunidades no tienen distinción de género, identidad, edad, raza, religión, orientación sexual, discapacidad, origen étnico, nacionalidad, origen social, estado civil, o cualquier situación que pueda dar lugar a discriminación.

Auditor de Tecnología de Información Jr.

Principales Funciones o Finalidades

Auditorías en TI

Contribuir en las revisiones que les sean asignadas, analizando y ejecutando pruebas de auditoría utilizando técnicas y herramientas como análisis de datos, recorridos, etc.
Revisar controles generales de TI, controles aplicativos y de seguridad de información, proponiendo las observaciones pertinentes en caso de detectar debilidades de control.

Extracción y análisis de información

Ejecución de pruebas computacionales, que automaticen y faciliten la obtención de indicadores, disminuyendo horas/hombre del personal de Auditoría a Centros de Negocio y Auditoría Residente de: Banca, Seguros, Arrendadora, Almacenadora, Factoraje y Valores Afirme.

Seguimiento de Auditorías en Tecnología de Información

Contribuir en las actividades de seguimiento a los compromisos que resulten de cada Auditoría.

Requisitos

Carrera terminada en Ingeniería, Licenciatura en Sistemas o a fin
Experiencia en auditoria, Base de Datos (Access, SQL), Programación

Competencias

Análisis de problemas
Pensamiento innovador
Socialización
Trabajo en equipo

Nuestro Diferenciador

Prestaciones de Ley y Superiores a las de la Ley

Beneficios Institucionales

Lugar de trabajo: Edificio Juárez, Centro de Monterrey

Horario: Lunes a viernes 9:00 am a 6:00 pm

Conoce todas nuestras vacantes en Oportunidades Afirme

Se parte de nuestra #FamiliaAfirme"
Auditor interno de TI,Auditor interno de TI,GBM,May,2024,"Acerca de GBM

Somos una organización de gestión de patrimonio y activos y banca privada con 35 años de experiencia, inversión digital innovadora y productos de ahorro. Nuestra misión es permitir vidas significativas a través de soluciones financieras inteligentes.

Acerca del equipo

Somos una comunidad joven con ideas y soluciones innovadoras. Un equipo de creativos, colectivos, propietarios y soñadores, y por supuesto, ¡sabemos cómo divertirnos! Creemos que la mejor idea gana y siempre estamos tratando de que cobre vida.

El Auditor de Sistemas evaluará el riesgo tecnológico, procedimientos y controles de la Casa de Bolsa mediante la ejecución de Auditorias de Sistemas en materia de Seguridad, Infraestructura y Cumplimiento.

Descripción del puesto

Auditor de TI que tendrá como función principal ser colaborador estratégico en el mantenimiento y fortalecimiento del gobierno de TI en GBM, así como ser agente facilitador en la implementación de planes de acción y su alineación con los objetivos de la alta dirección y del Consejo de Administración.

Funciones principales:


Establecer los programas de auditoría interna de revisión, en materia de seguridad de la información, ciberseguridad y requerimientos regulatorios y legislativos aplicables a GBM.
Ejecución de Auditorías Internas para evaluar el Control Interno de las áreas de Desarrollo y Operaciones de TI, Seguridad de los sistemas y de la información, aplicaciones y bases de datos, proceso de desarrollo de sistemas, así como de su disponibilidad (Infraestructura), revisión a los Planes de Continuidad y de Contingencia, revisar la confiabilidad e integridad de la información, así como los medios utilizados para su identificación, medición, clasificación y reporte, revisar el cumplimiento de la normativa aplicable.
Preparar los informes que incluya las conclusiones y acciones correctivas a los riesgos identificados en las auditorías.
Realizar el seguimiento de observaciones de las auditorías internas, auditores externos y organismos reguladores.
Validar que la estrategia de TI esté alineada con la estrategia Organizacional.
Dirigir y ejecutar auditorías de Sistemas de Gestión de Seguridad de la Información.
Atención de Auditorías Externas y Visitas de reguladores respecto a requerimientos de Sistemas.


Requisitos:


Licenciatura en Sistemas, Informática, ingeniería o a fines.
Certificaciones: ISO 27001, ISO 19011
Experiencia en Sistemas de gestión de Seguridad de la información
Experiencia mínima de 3 años como auditor Interno en Sistemas en entidades de Servicios Financieros o en Firmas de Auditoría y Consultoría, realizando auditorías relacionadas con Seguridad de la Información, Gobierno, Control Interno, revisión del cumplimiento o adecuación de las metodologías de mejores prácticas y/o de estándares internacionales aplicables a la administración de Tecnologías de la Información y desarrollo de sistemas, así como revisiones sobre el adecuado funcionamiento de los sistemas operativos.
Auditorías de sistemas de SPEI, Indeval, SWIFT conforme a la regulación aplicable.
Experiencia en el manejo y análisis de bases de datos.
Deseable: conocimientos sobre contabilidad, administración y regulación aplicable al sector de Servicios Financieros (CNBV, BANXICO, MEXDER, BMV, etc.)
Cursos en: Certificación en la Implementación de Sistemas de Gestión, Certificación en Auditorías de Sistemas de Gestión
Deseable Certificación de Auditor de Sistemas de Información – CISA
Otras certificaciones (Deseable) COBIT, ITIL


Competencias:


Adaptabilidad
Orientado a objetivos
Solución de problemas
Habilidades de comunicación


Ofrecemos


Salario y paquete de compensación competitivo
Asignación a largo plazo contratada Directamente por GBM
Esquema 100% nominal
Enfoque de formación y plan de carrera


¡Únete al equipo!*


Para postularte es indispensable que leas y aceptes nuestro Aviso de Privacidad para Candidatos que se alinea a la ley de protección de datos personales y especifica el uso que le daremos a los mismos únicamente con fines de reclutamiento."
AUDITOR INTERNO,AUDITOR INTERNO,Actinver,June,2024,"En ACTINVER generamos bienestar a las personas y empresas mexicanas a través de brindarles asesoría en el manejo de inversiones para mantener y crecer su patrimonio.

Estamos creciendo y nos encontramos en búsqueda de un AUDITOR/A para el equipo de Auditoria Interna

Responsabilidades

Realizar auditorías internas y externas
Preparar informes detallados de auditoría
Identificar riesgos y proponer mejoras
Garantizar el cumplimiento de las normativas financieras

Requisitos

Grado en Contabilidad, Finanzas o campo relacionado
Experiencia previa en auditoría
Excelentes habilidades analíticas y de resolución de problemas
Conocimiento de las normativas financieras y de auditoría

Te Ofrecemos

La oportunidad de desarrollarte en una compañía con desafíos y proyectos interesantes para imprimir tu marca personal
Paquete de compensación competitivo
Un ambiente favorable rodeándote de profesionistas que aman lo que hacen y líderes que fungen como mentores para desarrollar tu máximo potencial

En Actinver valoramos la igualdad de oportunidades y la diversidad. Por ello, no discriminamos por género, edad, discapacidad, orientación sexual, religión o cualquier otra condición personal.

Recuerda que al dar clic en POSTULARME deberás completar tus evaluaciones en tu página de candidato. La postulación estará completa una vez que termines todas las evaluaciones"
Auditor de TI,Auditor de TI,ConCrédito,May,2024,"Requisitos
● Mínimo 2 años de experiencia en posición similar.
● Conocimientos regulatorios para el sector financiero / marcos de control (COBIT, ITIL y/o ISO 27001).
● Disponibilidad de viaje eventual
● Esquema de trabajo híbrido
● Certificación COBIT / ITIL / ISO 27001 (deseable)."
AUDITOR INTERNO,AUDITOR INTERNO,PiSA Farmacéutica,May,2024,"Desde hace más de 79 años, proveemos medicamentos, productos y servicios a los sectores público y privado en los mercados de salud más importantes en México y Latinoamérica. Contamos más de 27,000 profesionales y empleados comprometidos a contribuir con la preservación del bien más valioso para todos, ¡Nuestra vida!

OBJETIVO

Ejecutar todas las auditorias programadas para cartera, compras, proveedores, especiales, activo fijo, refacciones así como de proyectos especiales del Grupo PISA

Responsabilidades Del Puesto

Ejecutar las auditorias programadas en el plan anual de auditorias de Grupo PISA

Revisión general de contratos, acuerdos y destrucciones

Revisión y análisis de la información de la auditoria

Realizar el seguimiento de los hallazgos u oportunidades de mejora detectados durante las auditorias del Grupo PISA

REQUISITOS

Escolaridad: Lic. Contabilidad, Administración, Finanzas, Ing. Industrial o afín.

Fácil acceso a SAN MARTIN OBISPO

Disponibilidad para viajar

EXPERIENCIA

Ejecución de auditorías.

Análisis de Auditoría

Control de inventarios.

CONOCIMIENTOS

Manejo de Excel intermedio

Conocimiento/ Ejecución de Auditoría.

Ofrecemos

Contratación directa

Prestaciones de ley y superiores

Si cubres con el perfil solicitado para esta vacante postúlate para iniciar proceso.

¡Grupo PiSA agradece tu interés en participar en esta convocatoria!

Los procesos de reclutamiento, evaluación, entrevista, selección y contratación de personal, son totalmente GRATUITOS en Grupo PiSA; nadie debe solicitarte pago alguno para participar en nuestros procesos de Reclutamiento y Selección. Por favor reporta cualquier solicitud extraña en el proceso para ingresar a Grupo PiSA."
AUDITOR INTERNO,AUDITOR INTERNO,PiSA Farmacéutica,May,2024,"Desde hace más de 79 años, proveemos medicamentos, productos y servicios a los sectores público y privado en los mercados de salud más importantes en México y Latinoamérica. Contamos más de 27,000 profesionales y empleados comprometidos a contribuir con la preservación del bien más valioso para todos, ¡Nuestra vida!

OBJETIVO

Ejecutar todas las auditorias programadas para cartera, compras, proveedores, especiales, activo fijo, refacciones así como de proyectos especiales del Grupo PISA

Responsabilidades Del Puesto

Ejecutar las auditorias programadas en el plan anual de auditorias de Grupo PISA

Revisión general de contratos, acuerdos y destrucciones

Revisión y análisis de la información de la auditoria

Realizar el seguimiento de los hallazgos u oportunidades de mejora detectados durante las auditorias del Grupo PISA

REQUISITOS

Escolaridad: Lic. Contabilidad, Administración, Finanzas, Ing. Industrial o afín.

Fácil acceso a COL MODERNA

Disponibilidad para viajar (Republica Méxicana y Centroamerica)

EXPERIENCIA

Ejecución de auditorías.

Análisis de Auditoría

Control de inventarios.

CONOCIMIENTOS

Manejo de Excel intermedio

Conocimiento/ Ejecución de Auditoría.

Ofrecemos

Contratación directa

Prestaciones de ley y superiores

Si cubres con el perfil solicitado para esta vacante postúlate para iniciar proceso.

¡Grupo PiSA agradece tu interés en participar en esta convocatoria!

Los procesos de reclutamiento, evaluación, entrevista, selección y contratación de personal, son totalmente GRATUITOS en Grupo PiSA; nadie debe solicitarte pago alguno para participar en nuestros procesos de Reclutamiento y Selección. Por favor reporta cualquier solicitud extraña en el proceso para ingresar a Grupo PiSA."
Auditor interno,Auditor interno,Daltile México - Mohawk Industries,May,2024,"Auditor Interno
Preparación Académica:
Carrera Profesional Contador Público, Administrador
Nivel de Inglés avanzado

Experiencia profesional:
5 años realizando auditorías internas
Experiencia en Big Four
Experiencia en toma de inventarios físicos
Excel avanzado
Conocimientos financieros y contables
Conocimiento sobre arqueos de caja chica
Análisis de procesos
Diagrama de flujo
Auditorias
Análisis de riesgos
Implementación y evaluación de controles
Elaboración de políticas
Revisión de costos
Elaboración de informes de hallazgos
Conocimiento en el sistema COSO

Habilidades requeridas:
Liderazgo.
Trabajo en equipo.
Implementar y seguir herramientas de control.
Orientado a resultados.
Negociación.
Manejar varios asuntos a la vez.

Valores Personales y Profesionales:
Honestidad y Honradez.
Puntualidad
Principales Funciones y responsabilidades:
Auditorías.
Inventarios físicos.
Revisión de documentos.
Diagrama de flujos
Arqueo de caja chica.
Identificación de hallazgos.
Recomendación de mejoras y rediseño de procesos.
Disponibilidad para viajar
Análisis de estados financieros"
