Position,Company_Name,Location,Post_Month,Post_Year,Details
Jóvenes Talentos IT,Jóvenes Talentos IT,EducacionIT,May,2024,"Sumate a la edición número 14 del Programa de Jóvenes Talentos IT de Wetcom, empresa reconocida por Great Place to Work, como uno de los mejores lugares para trabajar en Tecnología.

El objetivo del programa es que comiences tu carrera laboral, te capacites en las últimas tecnologías de IT y descubras el mundo de la virtualización y cloud computing.

FECHA DE INICIO: Febrero 2024

TE OFRECEMOS

Relación de dependencia.
Modalidad híbrida (casa y oficina en Recoleta, CABA).
Jornada part-time los primeros 6 meses (Lunes a Viernes de 8: 30 h a 14: 30 h).
Jornada full-time a partir de los 6 meses (Lunes a Viernes).
Capacitación en tecnologías de vanguardia.
Día de cumpleaños libre.
Medicina prepaga.
Descuento en gimnasio.
Pago de servicio de internet.
Cupón de descuento para compras....¡Y mucho más!

TU MISION PRINCIPAL

Formar parte del área de servicios de la compañía.
Capacitarte en tecnologías de infraestructura de sistemas: Redes, Servidores, Storage, Backups, Datacenter, Virtualización y Cloud Computing.
Brindar soporte y gestionar operaciones tecnológicas en importantes clientes.

TU PERFIL IDEAL

Ser estudiante de carreras universitarias en sistemas (excluyente).
Centennial.
Residir en zona AMBA (Capital ó GBA)
Nivel intermedio-avanzado de inglés (excluyente).
Conocimientos de Microsoft, Redes, Reparación de PC, programación y hardware.

TU VALOR AGREGADO

Ganas de trabajar en equipo, aprender e investigar. Pasión por la tecnología, curiosidad."
Especialista IT Soporte e Infraestructura,Especialista IT Soporte e Infraestructura,Agroindustrias Unidas de México,April,2024,"Somos uno de los principales promotores de la agroindustria trabajando junto con las personas y familias dedicadas a la producción de café, cacao y algodón. Con presencia hoy en más de cuarenta países. Somos uno de los principales promotores de la agroindustria trabajando junto con las personas y familias dedicadas a la producción de commodities.

Objetivo Del Puesto

Brindar asesoría y apoyo efectivo a usuarios para utilizar y obtener el mejor provecho de las herramientas tecnológicas que conforman la plataforma de Software, Hardware y Telecomunicaciones en los Centros Operativos en los que colabora. Su participación es clave para vigilar y mantener la seguridad física y lógica asi como el buen uso de las herramientas a través del apego a procesos y políticas.

Funciones Principales

Instalar, controlar inventario y configurar equipos de computo, comunicación y aparatos telefónicos (IP y convencionales) para los usuarios finales.
Realizar funciones de actualización CMDB endpoints.
Atender tickets.
Technical Support L1
Perform windows updates.
Revision de Salas de Conferencias
Soporte VIP
Instalación, configuración, administración y mantenimiento de equipos informáticos (estaciones de trabajo, teléfonos ip, impresoras, scanner, Notebooks, tabletas, teléfonos, etc.) Resolver problemas técnicos de Hardware y Software.

Requisitos mínimos

Estamos Buscando Profesionales Que Cubran Con El Siguiente Perfil

Escolaridad: Licenciatura o Ingeniería en Sistemas Computacionales o afín (pasante o titulado)

Experiencia mínima de 1 año como Soporte técnico y soporte VP

Conocimientos En

Administración de Windows diez y windows once

Soporte a productos Apple

Sistemas de Videoconferencia (WebEx, MSTeams,Google meet)

Service Now, antivirus, Endpoint central, sistemas de colaboracion google y/o office

Habilidades

Servicio al cliente

Comunicación efectiva

Trabajo en equipo

Sueldo Competitivo acorde a perfil

Prestaciones superiores a la ley

Esquema de Trabajo Presencial (tres primeros meses) posterior Híbrido

Zona de Trabajo: Santa Fe (a un costado del edificio del pantalón)"
Especialista Tecnologías de la Información,Especialista Tecnologías de la Información,Corporación RICA,May,2024,"Descripción empresa:

En Corporación Rica formamos parte de la industria Mexicana de Coca-Cola (IMCC), el grupo de empresas dedicadas al embotellado y distribución de los productos de la familia Coca-Cola.Día con día nos motiva la convicción de ofrecer productos que se adapten al estilo de vida de cada persona y promover una visión positiva del mundo, a través de un servicio de excelencia que hoy abarca los estados de HIDALGO, MORELOS Y PUEBLA.

Misión del cargo:

Analizar, diseñar e implementar soluciones para las áreas administrativas de la empresa y asi facilitar los procesos.

Funciones del cargo:
- Soporte diario y mensual de primer nivel a las áreas administrativas de Grupo RICA mediante revisión y generación de reportes, requerimientos, datos maestros, documentación, pruebas, simulación de escenarios por errores en ambiente de pruebas para el correcto funcionamiento de las operaciones.2.- Seguimiento de ajustes y autorizacion de roles, transacciones de áreas administrativas en sistema para visualizacion de informacion y registros.3.- Monitoreo diario de procesos.4.- Monitoreo y seguimiento de mesa de ayuda en sistema para las áreas correspondientes.5.- Gestionar las plataformas para la actualización de accesos, funciones e incidencias.6.- Generar documentacion técnica y seguimiento a la informacion para el control de cualquier implementacion de las áreas administrativas.
Requisitos:
Lic/ Ing en Informática/ Sistemas o afín-Experiencia en sistemas computacionales, TI-Experiencia en área de servicio
Condiciones oferta:
Sueldo neto mensual: 13000
Beneficios:

Ofrecemos:- Seguridad Social-Vales de despensa- Aguinaldo (20 días)-Fondo de ahorro-Vacaciones de acuerdo a la Ley-Prima Vacacional-Capacitación constante

Descripción proceso de selección:

El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.

Para postular solo necesitas:

Postular a la oferta
Revisar tu email
Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial."
Information Technology Specialist,Information Technology Specialist,Four Seasons Hotels and Resorts,May,2024,"About Four Seasons

Four Seasons is powered by our people. We are a collective of individuals who crave to become better, to push ourselves to new heights and to treat each other as we wish to be treated in return. Our team members around the world create amazing experiences for our guests, residents, and partners through a commitment to luxury with genuine heart. We know that the best way to enable our people to deliver these exceptional guest experiences is through a world-class employee experience and company culture.

At Four Seasons, we believe in recognizing a familiar face, welcoming a new one and treating everyone we meet the way we would want to be treated ourselves. Whether you work with us, stay with us, live with us or discover with us, we believe our purpose is to create impressions that will stay with you for a lifetime. It comes from our belief that life is richer when we truly connect to the people and the world around us.

About the location:

Laid-back luxury meets bucket-list adventure on this undiscovered east cape of Los Cabo. A place for those with a taste for the undiscovered and the extraordinary, our East Cape location on Mexico’s Baja California Peninsula is the epicentre for adventure. Swim in the most expansive beach in Los Cabos or set sail from our private marina on the Sea of Cortez, coined “the aquarium of the world” by famed oceanographer Jacques Cousteau.

Join a diverse and talented team in Four Seasons Resort Los Cabos at Costa Palmas

Four Seasons Resort Los Cabos, at Costa Palmas is part of the exclusive Costa Palmas resort community, which will also feature a private marina and members-only beach and yacht club, all set along a two-mile stretch of immaculate white-sand beach and the warm, swimmable waters of the Sea of Cortez. Los Cabos has long been a favorite destination for luxury travelers and is a natural fit for Four Seasons as we extend our presence in Mexico. We are delighted to welcome our guests from around the world to experience Four Seasons legendary quality and service as they discover the richness and beauty of Baja’s East Cape with a lot of activities like swimming, snorkeling, sport fishing, golf and desert adventures.

Four Seasons Residences Los Cabos at Costa Palmas is located on the east cape of Baja California, just 45-minutes from the Cabo International Airport. Four Seasons is creating a one-of-a-kind, destination (golf, marina) resort and residences, centered on a traditional Mexican experience, in the Cabo market. The project includes an 18-hole Robert Trent Jones Jr. Championship golf course, a marina of approximately 300-slips and associated marina village. This complex will have 175 private Residential Units and has 141 Resort rooms.

At Four Seasons, we believe in recognizing a familiar face, welcoming a new one and treating everyone we meet the way we would like to be treated ourselves.

Learn more about Four Seasons Resort Los Cabos at Costa Palmas:

Hotel Site: www.fourseasons.com/loscabos

Instagram: #fsloscabos

The role of the Information Technology Specialist

Is responsible for helping to plan, organize and to provide a high level of operational availability and stability for property-based technology.

Essential Functions

Ensure critical systems, specifically Front Office Property Management System, Call Accounting, HSIA, PABX and Food & Beverage Point of Sales computer systems are available twenty-four (24) hours per day.
Provide Systems Administration, including maintaining user/group accounts, user configuration, trouble-shooting access problems and completion of on-site documentation.
Assist in Server infrastructure management, performance monitoring, Operating System upgrades and troubleshooting.
Ensure effective support for other systems, including back office, sales and catering and human resources applications and any other at the property.
Provide system support services, including service outage diagnosis, troubleshooting and restoration of service, virus protection management.
Maintain and promote Four Seasons core technology standards as outlined in the Four Seasons IT Core Standards.
Participate in property-level, corporate-initiated technology implementations.
Good knowledge and support for Desktop OS and applications including patches.
Provide direct guest support and quality support to function rooms and conference services.
Administer Outlook, connection to global VPN and other communication tools.
Assist in the process of systems backup and recovery procedures.
Provide 24 / 7 support for mission critical systems.
Assist at network support and security of Hotel network, Active Directory maintenance, Server Infrastructure maintenance, Network Infrastructure maintenance – wired & wireless, Network protection and failover tools implementation (Firewall, web security, multi-homing devices, etc).
Perform any additional duties as assigned by the Director of Finance/Assistant Director of Finance or Director of IT.

Education

College education in IT, informatics or equivalent experience in computing field

Experience

Two (2) to Three (3) years’ experience in service related to IT operation
Previous experience in hospitality is highly desirable

Skills And Abilities

Requires knowledge of the ability to operate Opera
Technical background: MCSE / Novell Certifications, strong PC skills based on Microsoft operating systems & applications.
Ability to read and speak and write English and Spanish
Understand and familiar with quality standards and service standards of the hotel
Highest level of integrity and transparency
Apply an ethical approach to the outcome of situations
Strong interpersonal and relationship-building skills
Reasonable problem-solving, decision-making and conflict resolution skills
Work in a safe, prudent and organized manner

Benefits

Compensation: Highly competitive salaries as well as an annual incentive plan for managerial roles at Department Head level
Transport: Shuttle service from San Lucas and San Jose del Cabo to the resort
Uniforms: Complimentary Dry Cleaning for Employee Uniforms
Travel: Complimentary room nights at Four Seasons Hotels & Resorts with discounted meals and other services at each location
Job Related: Offering complimentary buffet style duty meals
Recognition: Employee Service Awards as well as Employee of the Month & Employee of the Year Awards

And many more property and location specific benefits

What To Expect

Be part of a caring team with a family spirit
Have opportunities to build a successful career with global potential
Work in a diverse and challenging environment and engage with the leadership team
Be recognized for your accomplishments

About Four Seasons Hotels & Resorts

Four Seasons Hotels and Resorts opened its first hotel in 1961 and its story is a tale of continual innovation, remarkable expansion and a single-minded dedication to the highest of standards. For nearly 50 years, Four Seasons has transformed the hospitality industry by combining friendliness and efficiency with the finest traditions of international hotel keeping. Four Seasons Hotels and Resorts have been ranked FORTUNE magazine’s ""100 Best Companies to Work For"" EVERY YEAR since 1998 and named ""Great Place to Work Legend"", an honor currently held by only 12 companies in the world.

Service Culture

Currently operating 120 hotels and resorts, and 45 residential properties in major city centers and resort destinations in 47 countries, and with more than 50 projects under planning or development, Four Seasons consistently ranks among the world's best hotels and most prestigious brands in reader polls, traveler reviews and industry awards. Our greatest asset, and the key to our success, is our people. We believe that each of us needs a sense of dignity, pride, and satisfaction in what we do.

About Four Seasons Resort Los Cabos, At Costa Palmas

Four Seasons Resort Los Cabos, at Costa Palmas is part of the exclusive Costa Palmas resort community, which will also feature a private marina and members-only beach and yacht club, all set along a two-mile stretch of immaculate white-sand beach and the warm, swimmable waters of the Sea of Cortez. Los Cabos has long been a favorite destination for luxury travelers and is a natural fit for Four Seasons as we extend our presence in Mexico. We look are delighted to welcome our guests from around the world to experience Four Seasons legendary quality and service as they discover the richness and beauty of Baja’s East Cape.

What it is Like to Work for Four Seasons Hotels & Resorts:

At Four Seasons, we guide all of our actions by the Golden Rule: “Treat others the way you would like to be treated.” Here, you will get to work on a team that is built on mutual respect, collaboration, excellent service and a passion for service. As a luxury brand, your work will be also guided by very strict standards to ensure a high level of quality and service at all times. Expect to work hard but have fun and learn along the way, taking your career, experience and skills to the next level. As an added bonus, working with Four Seasons gives you the opportunity to work for an international company and travel all over the world while staying at incredible properties for free!

Learn More By Visiting Us At

Company Site: www.fourseasons.com

Our Careers: jobs.fourseasons.com

LinkedIn: https://www.linkedin.com/company/four-seasons-hotels-and-resorts

Facebook: https://www.facebook.com/FourSeasonsJobs

Twitter: https://twitter.com/FourSeasonsJobs

We look forward to receiving your application!"
Soporte de IT,Soporte de IT,Hyundai AutoEver,April,2024,"En Hyundai Autoever México , estamos en búsqueda de un Usuario de Soporte de IT .

Requisitos

Al menos 3 años de experiencia en el campo.
Licenciatura en áreas relacionadas con ingeniería de sistemas o comunicaciones.
Nivel básico de inglés .
Capacidad para la elaboración de informes sobre Hardware, Software, Sistemas, Instalaciones y nuevos requerimientos.
Capacidad para validar las conexiones de red de equipos como PC, impresoras.
Experiencia en realizar y reparar conexiones UTP (categorías 5 y 6), conocimiento en fibra óptica, y coordinar con proveedores durante la instalación de cables.

Ofrecemos

Estabilidad laboral.
Contrato directo con la empresa.
Salario competitivo en el mercado.
Prestaciones superiores a las de la ley (seguro de gastos médicos mayores familiar, seguro de vida, fondo de ahorro del 10%, vales de despensa del 9%, 30 días de aguinaldo, 80% de prima vacacional, descuentos en coches KIA y Hyundai)."
Information Technology Solutions Consultant,Information Technology Solutions Consultant,Citi,May,2024,"Brief
We are looking for a technology enthusiastic, a strong technical analyst, with experience working with software development teams.
In this role, you will support the technical design for Digital Channels from discovery to release with a customer centric view.
You will be accountable for analyze, design, and deliver Open banking services working with other technology teams.

Technical or Solution Analyst
Buscamos un entusiasta de la tecnología, una persona que sepa analizar y diseñar requerimientos de negocio. Una persona que haya participado con equipos de desarrollo de software, y con gusto por el desarrollo de sistemas.
Que tenga conocimiento/experiencia en:
de APIs (OpenAPI / Swagger)
de seguridad en webservices / APIs (authentication / authorization) o que haya participado en proyectos de seguridad relacionados
de modelado de sistemas (i.e. UML)
empresarial de sistemas
de integración empresarial
del sector financiero (productos bancarios, trading, balance account, wallet, digital payments, etc.)
herramientas de administración y seguimiento de proyectos como Jira, Planview, Trello
de datos
Que cuente con:
de comunicación interpersonales
de organización
al cambio
Buen nivel del idioma inglés: hablado y escrito
Es un plus:
en desarrollo con Java/Spring
de regulación bancaria en Mexico
de desarrollo en Apps móviles
de Cloud
de bases de datos, SQL, NOSQL, Bigdata"
Soporte T.I.,FIGUEACERO SA DE CV,"Miguel Hidalgo, Mexico City, Mexico",May,2024,"1 instalar y configurar la tecnología a ser empleada en la empresa, es decir, los equipos, sistemas operativos, programas y aplicaciones. 2 Realizar el mantenimiento periódico de sistemas. 3 Brindar asistencia a los empleados,clientes o proveedores acerca de tecnología. 4 Detectar las averías en los sistemas y aplicaciones. 5 verificación del funcionamiento de software y hardware. 6 Encontrar soluciones a cualquier falla e implementarlas 7Reemplazar las partes dañadas o con averías en los equipos cuando sea necesario. 8 Realizar la solicitud de las piezas nuevas cuando falten en el inventario. 9 Elaborar informes sobre el estado de los equipos y sistemas de la empresa. Control de Inventario. 10 Implementar y orientar a los diferentes equipos en la ejecución de nuevas aplicaciones o sistemas operativos. 11Capacitarse sobre nuevas aplicaciones o sistemas operativos 12 Realizar pruebas y evaluar nuevas aplicaciones antes de su implementación en los sistemas. 13 Configurar perfiles, correos electrónicos y accesos para los nuevos ingresos, además de brindar asistencia en todo lo relacionado con contraseñas. 14 Actualización de sistemas. 15 Instalación de sistemas operativos. 16 Realizar copias de seguridad de bases de datos. 17Configuración e instalación de redes internas y externas. 18 Comprobación de puntos vulnerables en la seguridad de los sistemas."
IT Specialist,IT Specialist,Inteva Products,May,2024,"Description

Responsible for leading and supervising all activities related to Information Technology in the plant, is the main contact for engineering, human resources, and other areas.

For Apply

elara2@intevaproducts.com

Req Number INF-24-00002

Position Requirements

Microsoft Applications
LAN/WAN, VPN, TCP/IP, VLAN, network knowledge
End User IT Support (Computers, Network Switches, Wireless Antennas, Firewalls, cell phones, printers, tablets, networking, Internet, etc.)
Hardware / Software inventory control
Teamcenter/NX, o CATIA
Monitoring of security measures according to the area, activity, and organizational structure.
Supervise the development of the New Systems and their Implementation.
Advise users and professionals on computer support linked to their specific areas.
Analysis of IT requirements for new projects.
Onsite Support

About the Organization Inteva Products is a leading global automotive supplier providing innovative, reliable, environmentally friendly products that enhance vehicle quality, safety and performance. Inteva has global resources for design, engineering, manufacturing and customer service for Closure Systems, Interior Systems, and Motors & Electronics. Formed in 2008, the tier-one supplier is focused on achieving sustained global growth, providing excellent customer service, and driving innovation. Inteva was founded on innovative solutions and the use of applied technology to drive value-based solutions. The company employs more than 8,000 people in 30 sites and maintains its World Headquarters in Troy, Michigan USA.

For more information, please visit www.intevaproducts.com.

Equal Opportunity Employer

Inteva Products, LLC participates in Affirmative Action Planning

Positions are open to qualified candidates who have work authorization for the listed locations. All candidates must have the on-going legal right to work within the country where the position is located.
The application process functions best when applicants use a laptop or desktop."
Especialista de TI | Guadalajara,Especialista de TI | Guadalajara,Tecnológico de Monterrey,May,2024,"La disrupción es la nueva normalidad, y en el Tecnológico de Monterrey, cada mañana, nos despertamos con la responsabilidad de transformar nuestro entorno. Nuestros procesos están centrados en las personas, asegurando experiencias extraordinarias junto con nuestro talento y el nuevo Modelo Educativo Tec21. ¡Aquí encontrarás tu propósito! aprovecharás oportunidades innovadoras, formando parte de una cultura colaborativa basada en la inclusión, la meritocracia y el respeto.

¿Te consideras una persona con mucha pasión por nuevos retos, inquietud por aportar ideas innovadoras y sobre todo comprometido a transformar México a través de la educación?

¡Esta oportunidad es para ti!

¿Qué harás?

Siendo Especialista de TI, el reto principal es asegurar la calidad de los servicios de TI y dominar las herramientas tecnológicas que soportan la vida académica estudiantil y administrativa, resolviendo problemas y asegurando a los usuarios (profesores y alumnos) en dudas e inquietudes.

¿Cómo lo harás?

Tus Principales Retos Serán:

Proporcionar soporte técnico en la resolución de incidentes relacionados con los servicios de red, incluyendo la gestión y resolución de reportes de fallas en servicios de red de la marca CISCO (será un plus el conocimiento previo en la administración y configuración de tecnologías CISCO).
Apoyar en proyectos en planta física de contrucción, colaborando en la revisión de planos, administración, seguimiento y contacto con proveedores).
Realizar diagnósticos técnicos cuando se presenten fallas en la red dentro de edificios o aulas.
Apoyo en clases con conexiones de red y soporte tecnológico.

¿Qué buscamos?

Si estás cursando tus últimos semestres en Ingeniería de computación, electrónica, tecnologías de información o afin o eres recién graduado, y tienes el conocimiento de infraestructura tecnológica, infraestructura de red, conocimiento y/o operación de Switch de Core, Distribución, WAN, Wireless Controllers y servicio DHCP, Access Points, etc; tienes inglés técnico y te encantaría trabajar en un lugar para seguir aprendiendo y desarrollarte... ¡Te estamos buscando, postúlate ya!

¿Por qué trabajar con nosotros?

Nuestro talento es la fuerza que impulsa nuestro éxito. Su talento, dedicación y pasión son los pilares fundamentales de nuestra organización. Por ello, nos enfocamos en ofrecer beneficios de calidad que promuevan su equilibrio emocional, su bienestar financiero y su desarrollo profesional.

Esquema de trabajo: Presencial Lunes a Viernes de 12:00pm a 8:00pm (con horario de comida de 1 hora y media de 1:00pm a 2:30pm).

Contacto: Keren Orozco

Correo: keren.orozco@tec.mx

En el Tec de Monterrey actuamos bajo un principio de igualdad de oportunidades. Por ello no discriminamos por edad, origen étnico, nacionalidad, género, orientación sexual, estado civil, condición social, estado de salud, creencias religiosas, doctrina política o discapacidad.

Agradecemos tu interés en participar en nuestras vacantes. En caso de no ser contactado/a por el equipo de Atracción de Talento, te invitamos a continuar revisando nuevas oportunidades en el portal de Oportunidades de Crecimiento, si eres colaborador del TEC. Si eres candidato externo en jobs.tec.mx y aplicar a aquellas que se ajusten a tu perfil.

¡Síguenos!

Instagram: jobs.tec.mx
TikTok: jobs.tec.mx
Linkedin: Tecnológico de Monterrey

La disrupción es la nueva normalidad, y en el Tecnológico de Monterrey, cada mañana, nos despertamos con la responsabilidad de transformar nuestro entorno. Nuestros procesos están centrados en las personas, asegurando experiencias extraordinarias junto con nuestro talento y el nuevo Modelo Educativo Tec21. ¡Aquí encontrarás tu propósito! aprovecharás oportunidades innovadoras, formando parte de una cultura colaborativa basada en la inclusión, la meritocracia y el respeto.

¿Te consideras una persona con mucha pasión por nuevos retos, inquietud por aportar ideas innovadoras y sobre todo comprometido a transformar México a través de la educación?

¡Esta oportunidad es para ti!

¿Qué harás?

Siendo Especialista de TI, el reto principal es asegurar la calidad de los servicios de TI y dominar las herramientas tecnológicas que soportan la vida académica estudiantil y administrativa, resolviendo problemas y asegurando a los usuarios (profesores y alumnos) en dudas e inquietudes.

¿Cómo lo harás?

Tus Principales Retos Serán:

Proporcionar soporte técnico en la resolución de incidentes relacionados con los servicios de red, incluyendo la gestión y resolución de reportes de fallas en servicios de red de la marca CISCO (será un plus el conocimiento previo en la administración y configuración de tecnologías CISCO).
Apoyar en proyectos en planta física de contrucción, colaborando en la revisión de planos, administración, seguimiento y contacto con proveedores).
Realizar diagnósticos técnicos cuando se presenten fallas en la red dentro de edificios o aulas.
Apoyo en clases con conexiones de red y soporte tecnológico.

¿Qué buscamos?

Si estás cursando tus últimos semestres en Ingeniería de computación, electrónica, tecnologías de información o afin o eres recién graduado, y tienes el conocimiento de infraestructura tecnológica, infraestructura de red, conocimiento y/o operación de Switch de Core, Distribución, WAN, Wireless Controllers y servicio DHCP, Access Points, etc; tienes inglés técnico y te encantaría trabajar en un lugar para seguir aprendiendo y desarrollarte... ¡Te estamos buscando, postúlate ya!

¿Por qué trabajar con nosotros?

Nuestro talento es la fuerza que impulsa nuestro éxito. Su talento, dedicación y pasión son los pilares fundamentales de nuestra organización. Por ello, nos enfocamos en ofrecer beneficios de calidad que promuevan su equilibrio emocional, su bienestar financiero y su desarrollo profesional.

Esquema de trabajo: Presencial Lunes a Viernes de 12:00pm a 8:00pm (con horario de comida de 1 hora y media de 1:00pm a 2:30pm).

Contacto: Keren Orozco

Correo: keren.orozco@tec.mx

En el Tec de Monterrey actuamos bajo un principio de igualdad de oportunidades. Por ello no discriminamos por edad, origen étnico, nacionalidad, género, orientación sexual, estado civil, condición social, estado de salud, creencias religiosas, doctrina política o discapacidad.

Agradecemos tu interés en participar en nuestras vacantes. En caso de no ser contactado/a por el equipo de Atracción de Talento, te invitamos a continuar revisando nuevas oportunidades en el portal de Oportunidades de Crecimiento, si eres colaborador del TEC. Si eres candidato externo en jobs.tec.mx y aplicar a aquellas que se ajusten a tu perfil.

¡Síguenos!

Instagram: jobs.tec.mx
TikTok: jobs.tec.mx
Linkedin: Tecnológico de Monterrey"
Technology Strategist Consultant,Technology Strategist Consultant,Multiplica Talent,May,2024,"Multiplica Talent is seeking a dedicated Technology Strategist Consultant to join our team. As a technology strategist, you will work closely with our clients to understand their business goals and objectives, and provide strategic guidance on how to leverage technology to achieve those goals. In this role, you will be responsible for developing and implementing technology strategies, evaluating emerging technologies, and providing recommendations on the adoption of new technologies. You will also collaborate with cross-functional teams to ensure alignment between business and technology goals. We are looking for someone who is passionate about technology, has excellent problem-solving skills, and thrives in a dynamic and fast-paced environment. If you are a strategic thinker with a strong technical background, we would love to hear from you!

Requirements

Bachelor's degree in computer science, engineering, or a related field
Proven experience as a technology strategist or consultant
Strong knowledge of emerging technologies and trends
Ability to understand complex business requirements and translate them into technology solutions
Excellent problem-solving and analytical skills
Strong communication and presentation skills
Ability to work effectively in cross-functional teams
Experience in project management is a plus
Proficiency in programming languages and software development is a plus


Benefits

Hybrid job
Get a chance to work on different projects
Private Health Insurance
Training & Development"
