Position,Company_Name,Location,Post_Month,Post_Year,Details
IT Project Management,IT Project Management,Mercedes-Benz México,May,2024,"Mercedes-Benz AG is responsible for the global business of Mercedes-Benz Cars and Mercedes-Benz Vans, with over 170,000 employees worldwide. Mercedes-Benz AG is one of the world's largest manufacturers of luxury passenger cars.
The company focuses on the development, production and sales of passenger cars, vans and vehicle-related services. Furthermore, the company aspires to be the leader in the fields of electric mobility and vehicle software. The product portfolio comprises the Mercedes-Benz brand with the sub-brands of Mercedes-AMG, Mercedes-Maybach, Mercedes-EQ, G-Class and the smart brand. As sustainability is the guiding principle of the Mercedes-Benz strategy and for the company itself, this means creating lasting value for all stakeholders: for customers, employees, investors, business partners and society as a whole.

Objective:

Responsible for coordinating, maintaining and improving systems required for the operation of new projects. This includes analyzing existing business functions, focusing on sales, logistics and finance departments.

Day to day (main tasks):

Execute IT projects according to Mercedes-Benz standard methodologies and processes and adhere to agreed governance and compliance requirements. This includes managing project scope, budget, timelines, change requests, procurement and reporting for all IT components of the delivery.

Profile:

Education: Degree Engineer or similar
Previous experience: 3 years in similar position, coordinating IT projects.
Languages: English.

· Location: CDMX
· Local contract applies.
· Relocation assistance will not be provided for this position.
· Valid documents to work in Mexico are a must.

The power of being unique.
Diversity & Inclusion at Mercedes-Benz
We attract and value a diverse workforce to drive innovation and reflect our global customers and environments in which we operate. We embrace the uniqueness of every team member and are committed to promoting an inclusive culture with equal opportunities for success. We enable our teams to bring their diverse experiences, skills and perspectives to build the world´s most desirable cars for a sustainable future.
When choosing our talent we focus on their abilities and do not discriminate based on ethnic origin, nationality, gender, age, disability, social condition, health condition, religion, immigration status, opinions, sexual preference, marital status, university or appearance."
Jefe de Proyectos TI,Jefe de Proyectos TI,GeoVictoria,May,2024,"Jefe de Proyectos TI - Ciudad de México

GeoVictoria es una multinacional, que desarrolla un (SaaS/software) para RRHH y Operaciones, que soporta más de 20M de marcas mensuales a nivel internacional junto a personas en 12 distintos países y negocios en aún más.

Buscamos ser, no solo los #1 en Chile, sino en LATAM, Europa y EE.UU. Queremos comernos al mundo con nuestra tech y nuestro estilo: somos de cultura orientada a los valores, flexibles, ágiles y comprometidos.🚀

¿Nuestros valores? Las 4H😍: somos Happy, Honestos, Humildes y Hungry por crecer en todo el mundo. Tenemos cultura diversa y colaborativa, además del #YoTeAyudo que vivimos internamente y con nuestros amados clientes.

Si piensas que podrías ser la media naranja de nuestros equipos de Operaciones y Desarrollo, únete al desafío de liderar nuestros proyectos de implementación TI en GeoVictoria.😎👀🌐

Responsabilidades:
Levantar requerimientos técnicos con los clientes.
Entender y elevar la calidad de la implementación de un proyecto con una alta componente de TI cuando sea necesario.
Debes ser capaz de programar algunos tipos de reportes en Python.
Debes ser capaz de hablar de ciberseguridad con clientes.
Debes ser capaz de hablar de diagramas de arquitectura.
Debes saber de VPN’s.
Ser la cara visible de las soluciones, eres quien se las presenta al cliente.
Verificar y evaluar las soluciones.
Lleva las cartas gantt y conocer el estatus de los proyectos.

Requisitos:
Experiencia levantando requerimientos de clientes.
Habilidades de relacionamiento y comunicación efectiva.
Residencia en Ciudad de México.

Ofrecemos:
Flexibilidad horaria y vestimenta libre.
Equilibrio entre home office y oficina.
Oficina pet-friendly ubicada en Ciudad de México.


¡Si leíste hasta acá, felicitaciones! Adjunta tu CV actualizado en la postulación.

En GeoVictoria, valoramos la pasión, el compromiso y la honestidad. Nos esforzamos por mantener un ambiente de trabajo inclusivo, donde cada miembro del equipo tenga la oportunidad de crecer y contribuir al éxito de la compañía.

¡Únete a nuestro diverso y talentoso equipo y sé parte de una de las áreas más estratégicas de GeoVictoria!"
Jefe de Proyectos TI,Jefe de Proyectos TI,GeoVictoria,May,2024,"GeoVictoria es una multinacional, que desarrolla un Software para RRHH y Operaciones, que aguanta más de 30M de marcas mensuales a nivel internacional junto a personas en 12 distintos países y negocios en aún más 🌎

Buscamos ser, no solo los #1 en Chile, sino en LATAM, Brasil y España. Queremos comernos al mundo con nuestra tech y nuestro estilo: somos de cultura orientada a los valores, flexibles, ágiles y comprometidos 🏆

¿Nuestros valores? Las 4H: somos Happy, Honestos, Humildes y Hungry por crecer en todo el mundo. Tenemos cultura diversa y colaborativa, además del #YoTeAyudo que vivimos internamente y con nuestros amados clientes 😎

Funciones del cargo

¡Lidera el camino como jefe de Proyectos TI en GeoVictoria! Serás el enlace que conecta nuestro talento tecnológico con el éxito del cliente, desde el inicio hasta la entrega del proyecto. Tu objetivo es asegurar que cada proyecto sea una victoria para ambas partes. Únete a nuestro equipo y sé parte del impulso tecnológico que llevará a GeoVictoria a ser líder en todo el mundo. ¡Únete a nuestro equipo ganador!

Responsabilidades

Liderar proyectos desde el levantamiento de requerimientos hasta la entrega formal al cliente, asegurando altos estándares de calidad en cada etapa.
Analizar los requerimientos de los clientes, proponer soluciones y gestionar cotizaciones para nuevas solicitudes o mejoras dentro del proyecto.
Coordinar y hacer seguimiento a las distintas áreas involucradas en el desarrollo del proyecto, identificando y mitigando posibles riesgos.
Establecer acuerdos formales con los clientes, definiendo funcionalidades en colaboración con el equipo de desarrollo y manteniendo una comunicación efectiva.
Elaborar y mantener actualizada la planificación del proyecto, estableciendo lineamientos y un marco de trabajo claro hacia el cliente.

En Los 3 Primeros Meses, Esperamos Que

Tomes requerimientos de mediana y baja complejidad, gestionando proyectos pequeños o subproyectos.
Trabajes de manera autónoma y en equipo, aplicando métodos adecuados de dirección de proyectos y gestionando eficazmente los riesgos.
Acuerdes el enfoque del proyecto con las partes interesadas y prepares planes realistas.
Realices seguimiento de actividades, supervises costos y recursos.

En El Primer Año, Esperamos Que

Lideres exitosamente proyectos complejos, desde definición hasta finalización.
Adquieras y apliques métodos de dirección de proyectos, asegurando procesos efectivos.
Demuestres versatilidad, asumiendo funciones adicionales en diversas áreas.

Requerimientos del cargo

Título de Ingeniería Civil en Computación o Informático con gusto por la gestión de clientes; o bien, Ingeniería Industrial/Comercial con experiencia levantando requerimientos técnicos de proyectos TI.
Conocimientos en herramientas TI en general, SQL, Python y programación básica.
Capacidad para trabajar de manera autónoma y en equipo.
Habilidades de liderazgo y capacidad analítica.
Disponibilidad para trabajar de manera híbrida.

Opcionales

Condiciones

Flexibilidad horaria y vestimenta libre.
Equilibrio entre home office y oficina.
Oficina pet-friendly ubicada en Ciudad de México."
Gerente de proyectos y gobierno de TI,Gerente de proyectos y gobierno de TI,Falabella,May,2024,"Descripción Empresa

Somos más de 90 mil personas que cada día trabajamos por el firme Propósito - Simplificar y Disfrutar más la Vida. Estamos presentes en 9 países y compuestos por grandes marcas posicionadas de diversas industrias. Falabella Retail, Sodimac, Banco Falabella, Tottus, Mallplaza, Falabella.com, Falabella Inmobiliario. Cada una de éstas nos hace ser quienes somos, y es entre todos, como Un Solo Equipo, que buscamos diariamente reinventarnos y superar las experiencias de nuestros clientes.

Si eres trabajador de Falabella, revisa todos los cursos disponibles en la Academia Falabella, que te ayudarán a seguir impulsando tu desarrollo y preparar tu próxima aventura con nosotros!

Misión Del Cargo

Gestionar proyectos que involucran metodologías ágiles y tradicionales, así como funciones de gobierno de tecnología.

Funciones Del Cargo

Gestionar la cartera de proyectos de TI, incluyendo controles de cambio.
Implementar procesos de gobierno de tecnología para garantizar la alineación estratégica.
Levantar y transmitir los requerimientos de tecnología a las áreas de desarrollo en México o a las áreas de tecnología del corporativo en Chile.
Recopilación de Requerimientos: Colaborar con los departamentos internos, como finanzas, logística, operaciones y comercial, para recopilar y entender los requerimientos del negocio, identificando las necesidades y desafíos específicos.
Gestión de Relaciones: Mantener una comunicación efectiva con todas las partes interesadas, incluidos clientes internos y externos, proveedores de tecnología y otros departamentos dentro de la organización. Gestionar relaciones sólidas y colaborativas para garantizar el éxito de los proyectos.

Requisitos

5 años de experiencia en gestión de proyectos de sistemas (deseable en sector retail).
Conocimiento profundo de metodologías ágiles (Scrum, Kanban, SAFe) y tradicionales (Waterfall).
Certificación (deseable) o cursos en gestión de proyectos (PMP) y/o metodologías ágiles.
Experiencia en funciones de gobierno de tecnología.

Condiciones Oferta

Descripción proceso de selección:

Súmate a nuestro equipo y se parte de la transformación de Falabella:

Postula a la oferta.
Revisa tu email."
ERP Project Manager (Netsuite),ERP Project Manager (Netsuite),Bring IT,May,2024,"We are Bring IT!

We are a fast growing, young and dynamic professional services company bringing digital transformation to our customers around the world. From taking products to the market, to boosting productivity with the right technology and processes, the work we do is improving the way people work. To get there, we’re building a global and diverse team that can tackle some of the most challenging problems of our time. We name this unique approach “360 success”.

We are recognized as one of the fastest growing and successful companies on the INC5000 ranking in the USA, and we are opening new offices around the world to further grow, explore and diversify. With over 10 recognitions from our partners, we continue to win in our markets.

Join our Dream Team

The Bring IT team has over 150 people spread across many countries around the world. We understand that great technology begins with great talent and diversity of thought.
Our business is being built on friendship, teamwork and a passion for what we do. This is shaping our culture every day and we’re looking for great talent that want to make an impact in the world.
You can have a rewarding career at Bring IT as we are committed to seeing you grow both professionally and personally.

Community Impact

We are invested in making a positive impact for all people on our planet. That’s why we connect our objectives to the United Nations sustainable goals, especially in clean energy, health & wellbeing and infrastructure. Moving forward we will start supporting special sustainability programs and perhaps you want to be part of that.



Discover your new role
NetSuite Project Manager

At Bring IT we are looking for a Senior Project Manager with NetSuite implementations experience who will lead a group of consultants throughout all stages of the implementations’ lifecycle.
The ideal candidate will have deep expertise in project management life cycle, experience working with SuiteSuccess methodology and a problem-solving mindset.

Core Responsibilities:
Lead project management activities such as project planning, creation of work breakdown structures, and change management control
Manage scope throughout all phases of the project life cycle. Maintains accurate program estimates, timelines, project plans, and status reports. Ensure achievement of project milestones.
Leads execution of multiple projects or manages an entire program
Act as lead communicator to internal and external stakeholders regarding expectations, resolutions, and prioritization. Ability to interact professionally with a diverse group of developers, product owners, and subject matter experts.
Learns from project retrospective and applies the learning for future projects.

Requirements:
5+ years of experience in project management
3+ years of demonstrated experience in delivering full-cycle ERP implementation projects.
Experience in NetSuite ERP implementations
Full English Professional Fluency
Excellent verbal and written communication skills
Desired Skills & Qualifications:
Success methodology experience
Certification is a plus
Strong negotiation and interpersonal skills needed to be effective in a fast-paced high-energy company.
Initiative, self-motivation and deliver high-quality work while at the same time, meeting all deadlines for both internal and external customers.


Still not convinced you should apply?

In Bring IT we want to make a difference:

We provide best-in-class services on Oracle NetSuite, top services provider for Zendesk, Celigo, Boomi and other business cloud applications.
We take our talent’s wellbeing very seriously with a dedicated program called Bring IT is You
We value our Talent and provide learning and development opportunities for everyone
We are a winning Company with a agile and innovative mindset.


Our Values and Culture

This year we have chosen teamwork as our value in focus. We believe with real teamwork we achieve business excellence and creativity for our customers. Working together, growing together. Our culture influences the way we interact, the context within which knowledge is created, the way we embrace change, and ultimately the way we share knowledge. We offer exceptional career growth and learning opportunities to our employees with skill development workshops, mentoring programs, and support for side projects and entrepreneurial work.



Our Benefits and Perks

We offer competitive compensation and unique personal benefits, including industry-leading maternity and paternity leave, training programs, social hours, our wellness Friday´s and remote work opportunities. All team members have access to continuous learning opportunities including cloud certifications, mentorship and in-house leadership skills sessions developed by our experts in the field. Our development plan architect is waiting for you to design your personal plan.

Our Global Family

To support the global nature of our business and help our employees grow beyond their technical skills, we offer free virtual English language classes as well as provide immigration support when applicable. We are member of the Minority Business Enterprise, supporting their programs for minority businesses in the USA.

#BRINGIT=YOU

We create and foster a diverse, inclusive, and harassment-free workplace where everyone can achieve their full potential. All applicants will be considered for employment regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, veteran, or disability status.

Please note that by submitting your application, you agree with the terms and conditions of our Privacy Policy"
Gerente de Proyectos TI,Gerente de Proyectos TI,Match Consulting,May,2024,"Empresa Internacional dedicada a la fabricación de productos de vidrio y cristal, se encuentra en búsqueda de un perfil como Gerente de proyectos para el área de TI

Responsabilidades:

Trabajar en colaboración con los equipos internos y externos, asegurando una comunicación eficaz en todas las fases del proyecto
Control y monitoreo de presupuestos
Elaboración y seguimiento puntual de cronogramas por proyecto
Identificar y gestionar los riesgos de los proyectos que puedan afectar su desarrollo
Integración de la información por proyecto
Asegurar los objetivos del proyecto
Trato con diferentes consultores externos
Reportar incidentes
Mantener una comunicación directa con los directivos, colaboradores y proveedores externos que participan en el proyecto para trabajar en colaboración y alcanzar un objetivo común. Liderando y motivando al equipo del proyecto para cumplir con los objetivos, asegurando una comunicación efectiva y una colaboración estrecha con todos los miembros del equipo.
Trabajar en colaboración con el cliente los stakeholders del proyecto para garantizar la satisfacción del cliente y la entrega de los proyectos
Proporcionar informes de progreso del proyecto y asegurar que se mantengan informados todos los miembros interesados, tanto internos como externos.
Establecer plazos de entrega por cada fase del proyecto
Identificar y gestionar los riesgos del proyecto
Coordinar con diferentes empresas los proyectos de TI
Supervisar las actividades relacionadas con el área de TI
Liderar y facilitar los proyectos dentro de la empresa
Responsable de los proyectos de TI dentro de la empresa
Otras actividades relacionadas

Requisitos:

Licenciatura en Informática, computación, tecnologías de la información, carrera a fin.

Conocimiento en RP SAP B1 (Deseable)

Experiencia: Mínima 5 año en un puesto similar, indispensable experiencia en área.

Inglés AVANZADO

Manejo de paquetería office, capacidad y conocimiento en software e inteligencia artificial como herramienta de cambio.

Habilidades y competencias: Comunicación asertiva, capacidad para tomar decisiones, liderazgo, analítico, proactivo, actitud de servicio, facilidad de trabajo en equipo."
IT Project Manager ( On Site - Cd. Juarez ),IT Project Manager ( On Site - Cd. Juarez ),DigitalOnUs by Tech Mahindra,May,2024,"This position is to work on site in Ciudad Juarez

Who is DigitalOnUs by Tech Mahidra?

At DigitalOnUs by Tech Mahindra, we not only provide Agile and DevOps methodologies to our customers, we have adopted the same within the company as well. Our nimble processes are not mired in red tape, yet robust, flexible and result-oriented. We are Software Engineers, Technical Architects, Cloud and DevOps specialists. But the most important, we are dreamers, creators and challengers. Each day, we strive to make great come alive. Our lemma: ""work smart and play hard""

Our technology partners are Hashicorp, Cloudbees, Chef, Pagerduty, Docker and SAP.

We are always looking for the brightest candidates to come and we offer a work environment with everything you need to be your best. Does Ambition, Success, Fun, Friends & Learning define your idea of a career? Join us and be part of our family!

We're looking for a IT Project Manager

Location: Ciudad Juarez

Skills :

Ø Professional background related to management of infrastructure projects

Ø Knowledge about infra assets such as hotspot, cabling, server, routers etc

Ø Chronogram definition and activities execution

Ø Installation and migration of infrastructure equipment

Ø Coordination of resource that will be in charge of daily activities

Ø Good communication for a suitable relationship with client stakeholders



What you can expect from us

At DigitalOnUs by Tech Mahindra, what distinguishes us from other teams is the comfortable environment which engenders trust within teams and with our customers. Trust and openness leads to quality, innovation, commitment to deliverables, efficiency and cost-effectiveness for all our customers.

Work with some truly remarkable IT engineers, architects, specialists and more.
We're growing at a phenomenal pace and we'd like some company.
Hear your voice, nurture your talent and help you strengthen your foot print!
Benefits above the law
Mentorship, and opportunities to grow and learn

If you apply for this opportunity we will get you resume and its contain personal data whose treatment has been authorized by its owner for Digital OnUs, S. de RL de CV (the ""Company""). If you are not the owner of this information or have no relation whatsoever with the subjects treated in it, you are requested in the most attentive way not to make copies of it and / or its attached files and delete it immediately, under the risk of being considered as responsible for the unauthorized treatment of personal data in accordance with the Federal Law on Protection of Personal Data Held by Private Parties, its Regulations, and other applicable regulations. If you are the owner of personal data in possession of the Company and wish to obtain further information regarding the processing of your personal data or the exercise of your ARCO rights, please consult our integral privacy notice on the website https://www.digitalonus.com/privacy-policy/"
IT Project Manager / Líder Técnico,IT Project Manager / Líder Técnico,"Alia, Integrando Talento",April,2024,"Importante empresa Alemana enfocada a la Industria Química, se encuentra en búsqueda de:

IT Project Manager / Líder Técnico.

El objetivo de la posición es:

La implementación de un ERP propio y descentralizarse del actual.
Esta posición estará de 1 a 2 meses en Alemania conociendo las necesidades de cada área para la implementación del nuevo ERP.

La principal actividad será:

La implementación de un ERP a través de Microsoft Dynamics y la creación de los módulos de Finanzas, Supply Chain, Producción, Ventas, Mantenimiento y QA.
El contrato es por un proyecto de 1 año con posibilidad a ampliarse a más proyectos.

Requisitos:

Los conocimientos que te harán destacar son:

Experiencia en al menos un proyecto de implementación de Microsoft Dynamics.
Experiencia en metodologías y acciones para administrar la resistencia al cambio (Change Management).
Administración de proyectos con metodologías waterfall y ágil.
Conocimientos sobre la implementación del ERP Dynamics en diferentes módulos.
Planeación, orientación a resultados, influencia, liderazgo, comunicación, tolerancia a la frustración, negociación.
Excelente nivel de Inglés
Pasaporte Vigente"
Project Management Officer Consultant,Project Management Officer Consultant,MIGSO-PCUBED,May,2024,"Who are we?
𝐌𝐈𝐆𝐒𝐎-𝐏𝐂𝐔𝐁𝐄𝐃 is an international world leading consultancy when it comes to project, program, portfolio and change management. Our goal is to support companies that develop and manufacture high-tech products or services, to help them react faster, hit their targets and succeed.

Experiencing a fast growth period around the world, we are looking for a passionate individual to play the role of a Project Management Officer to join our team in Mexico.


Overview of the role:
The PMO consultant has the main role of providing support and expertise to the Project Manager of our client. The consultant is the project co-pilot, as they provide all the necessary information in real time for the Project Manager so he/she can make the best decisions and execute the project successfully in terms of time, quality, and cost.

Your responsibilities will include:
Strategic planning
Analysis and potential improvement of existing processes
Connecting with stakeholders on status reports and project development
Budget planning and scheduling
Support implementation of new processes and IT tools
Reporting on KPIs
Dashboard creation in: PowerBi, MiniTab, etc.
Risk and cost analysis
Preparation of meetings and documents
Drive continuous improvement

Your profile:
2 - 5 years of experience in an industrial sector
Engineering degree
Fluent in English
PM and PMO expertise
Knowledge of tools such as: Excel, PowerBi, Microsoft Project, etc.
Flexible and dynamic with a desire to apply their skills across a variety of industries and sectors
Interest and ability to work in an international company
An enquiring mind acting with integrity to drive the right outcomes for our clients
Strong interpersonal skills


Working hours:
Monday to Friday: 7:00 a.m. to 4:00 p.m/ 7:30 a.m to 4:30 p.m./ Could change depending on the client
1 hour for lunch

Contract duration:
Permanent Employment contract

Work arrangement:
Hybrid mode: 3days of on-site work and 2 days of home office


Apply today and start your journey with 𝐌𝐈𝐆𝐒𝐎-𝐏𝐂𝐔𝐁𝐄𝐃!

You can check more detailed information in our website: MI-GSO | PCUBED – Project Management Consulting Services – Driving Success Together (migso-pcubed.com)"
IT Supply Chain Senior Project Manager,IT Supply Chain Senior Project Manager,Nestlé,June,2024,"About IT In Nestlé

We are a team of IT professionals from many countries and diverse backgrounds, each with unique missions and challenges in the biggest health, nutrition and wellness company of the world. We innovate every day through forward-looking technologies to create opportunities for Nestlé’s digital challenges with our consumers, customers and at the workplace. We collaborate with our business partners around the world to deliver standardized, integrated technology products and services to create tangible business value.

Under the supervision and guidance of her/his primary Community of Practice Lead and Head of Office of the CIO, the IS/IT Project Manager manages a development or deployment IS/IT project as profiled above to ensure it delivers expected value to the Business partner, on time, on budget, on scope, on quality that may be clearly defined upfront or may require dynamic and iterative scoping, delivery and change management (agile project management). Adhering to established Project Management methodologies. Manages the project's budget. Is responsible to structure the project, plan and budget, execute, monitor and control it, and finally close it, ensuring quality and integrity of the information across the enterprise. As part of this, is responsible to manage risks, quality and procurement; leads the project team and is the person that project resources report directly to for the execution of the project tasks they are allocated.

Position Snapshot

Location: Nestlé México

Stream: IT Supply Chain & Procurement

Type of Contract: Permanent

Key Responsibilities:

Creates a structured project, implementing IS/IT agile project methodologies
Develops and controls the Project budget, and manages expenditure within agreed value delivery and spending plans
Ensures all projects are consistent with overall IS/IT customer objectives and strategic plans
Agile-led, deliverable-based Work Breakdown Structure (WBS) and project plan established leading to development of a resource loaded integrated project plan, with resources identified and secured
Project sponsors committed: manages the stakeholder engagement
Establishes and ensures appropriate governance functions for the Project in accordance with enterprise policies, practices and on behalf of the executive sponsor
Ensures the quality of Project Manager deliverables, by ensuring the respect of Project Management best practices
Follows-up the Key Performance Indicators for each project and consolidate Program level reporting""
Project monitored and controlled, risks managed: manages the day-to-day activities of cross-functional project teams and ensures the adherence to the project plan.
Identifies and mitigates project risk, keeping issues visible, to avoid impacting the project’s success. ""
Produces timely, detailed summaries and high level reports.
Provides project schedule, actual vs. budget, incremental value and earned value information in project progress reports (supported by IS/IT performance management)""
Project changes managed effectively: Works to control change, adjusts the budget, timeline, and project scope to accommodates approved changes
Project is closed: Reviews and finalizes deliverables and monitor quality
Establish incremental value delivery plan (develop NPV with IS/IT Customer or other return on investment metrics for project, based on customer objectives) and resourcing for project and project activities, and arranges for assignment of project personnel (collaborates with IS/IT Resource Manager to ensure associates with required skills are available to support the implementation of new system solutions)
Continous learning, keeps up to date with latest development and methodology in relation with IS/IT communities and IS/IT Workforce strategy

Requirements:

Bachelor's or Master's degree in computer science, information systems, business administration or related field, or equivalent work experience
5+ years of experience in IT and business/industry
3-5 years of diverse roles and increasing leadership responsibilities
Agile project management experience would be an asset
Substantial consulting leadership experience a plus
Experience in managing change/transitions and change impacts. Operating in a matrix organization and development of influencing skills
Experience with effective communication at different levels in the organization and in English
Experience working in a global environment and with virtual teams"
