Position,Company_Name,Location,Post_Month,Post_Year,Details
Analista Ciberseguridad T1,Analista Ciberseguridad T1,Axtel,May,2024,"Administrar, operar y mantener los equipos que brindan los servicios de seguridad,

asegurando su funcionamiento apropiado para cuidar la confidencialidad, integridad y

disponibilidad de la información de los clientes, creando las condiciones necesarias para

minimizar los riesgos de seguridad aplicables.

Realizar troubleshooting, administrar y gestionar equipos de seguridad perimetral y endpoints:
Dar seguimiento y documentar incidentes, requerimientos, cambios y/o problemas relacionados a los servicios administrados de seguridad.

Solucionar e investigar la causa raíz de los incidentes y problemas mediante el uso de herramientas computacionales y documentación especializada.

Dar asesoría a clientes para mejoras en términos de seguridad y ayudar en la evolución del nivel de seguridad aplicado para el manejo de la información del cliente. Implementar soluciones

alternas que reestablezcan el servicio afectado. Analizar los problemas a un nivel de detalle especializado. Investigar la causa raíz del problema mediante el uso de herramientas sniffer y

documentación especializada. Atención a Clientes sobre reportes de falla de sus equipos de seguridad.

Desarrollar Métodos de Procedimientos, Procesos Operativos, Mejores Prácticas, Metodoligías de Diagnóstico y Manuales de Instrucción que nos permintan tener un mejor control sobre los

servicios para prevenir afectaciones y, en caso de falla, darle una atención más eficiente para reducir tiempos de afectación.

Dar seguimiento a los programas periódicos de análisis de vulnerabilidad, pruebas de penetración, pruebas de laboratorio o similares que ayuden a mejorar el nivel de seguridad a las

diferentes soluciones de seguridad que se operan.

Experiencia en troubleshooting de Seguridad de

Información, haber trabajado con equipos firewall Palo

Alto, Fortinet, Cisco, Checkpoint, Meraki, balanceadores,

tecnología SDWAN, switches capa 3, routers.

Manejo de protocolos de ruteo OSPF, GBP. Manejo de VPN

Site to Site entre diferentes fabricantes

Certificacion Fortinet NSE4"
Security Analyst / Incident Response,Security Analyst / Incident Response,Lyft,May,2024,"At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.

Lyft connects people to transportation to change the way we live and get around our communities. Lyft’s engineering team is growing rapidly, and we are looking for Security Engineers to help us scale. Come be part of a new team at Lyft focused on enabling and empowering engineering teams to deliver at scale.

Our drivers and passengers entrust Lyft with their personal information and travel details to get where they're going and expect us to keep that data safe. Lyft's security team leads efforts across the company to ensure our systems are secure and worthy of our users' trust.

Lyft Security builds systems to protect and defend infrastructure. We consult with teams as they build and launch new products and features, proactively plans for the unexpected, and responds to incidents that occur. Our work has company-wide impact and takes place at all levels of the stack, from infrastructure to web application security, as well as mobile apps, IT, bikes, scooters, and autonomous vehicles. We believe in scaling security through engineering fundamentals, automation, and tooling. Check out our blog posts at https://eng.lyft.com/tagged/security to learn more about some of the things we’ve built.

The Incident Response team owns mitigation and handling of security indents as well as our proactive hypothesis based Threat Hunting program.

Responsibilities:

Respond to security incidents; orchestrating response across engineering and other disciplines
Define and execute threat hunting operations across Lyft's systems with the objective of finding detection gaps, identifying gaps in security controls, and processes
Develop automation and tooling to multiply the impact of the incident response team
Build and maintain relationships with key partners, both internally and externally

Experience:

Responding to security incidents in a DFIR or SOC
Defining and executing threat hunting operations that yield impactful findings
Present findings, recommendations and results to leadership
Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means
Ability to manage multiple tasks and priorities
Ability to work independently with minimal supervision
Nice to have: scripting and automation skills, experience with cloud technologies such as AWS/GCP/Azure

This role will be in-office on a hybrid schedule if an established Lyft Location is available to the Mexico City region — Hybrid Team Members will be expected to work in the office 3 days per week on Mondays, Thursdays and a team-specific third day. Additionally, hybrid roles have the flexibility to work from anywhere for up to 4 weeks per year. #Hybrid"
"Security Analyst, Incident Response","Security Analyst, Incident Response",Lyft,May,2024,"At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.

Lyft connects people to transportation to change the way we live and get around our communities. Lyft’s engineering team is growing rapidly, and we are looking for Security Engineers to help us scale. Come be part of a new team at Lyft focused on enabling and empowering engineering teams to deliver at scale.

Our drivers and passengers entrust Lyft with their personal information and travel details to get where they're going and expect us to keep that data safe. Lyft's security team leads efforts across the company to ensure our systems are secure and worthy of our users' trust.

Lyft Security builds systems to protect and defend infrastructure and services from cyber attacks. We consult with teams as they build and launch new products and features, proactively plans for the unexpected, and responds to incidents that occur. Our work has company wide impact and takes place at all levels of the stack, from infrastructure to web application security, as well as mobile apps, IT, bikes, scooters, etc. We believe in scaling security through engineering fundamentals, automation, and tooling. Check out our blog posts at https://eng.lyft.com/tagged/security to learn more about some of the things we’ve built.

The Incident Response team owns identification, and response of security indents as well as our proactive hypothesis based Threat Hunting program.

The Security Analyst is part of the detection and response group obsessed with quality of security alerts, feedback loops to respond quickly to incidents, reducing time to detect and executing proactive actions.

Responsibilities:

Swiftly Respond to Security Incidents:

Respond promptly to security incidents by orchestrating coordinated responses across engineering teams and other relevant disciplines.

Analyze and Prioritize High-Quality Security Alerts:

Assess and prioritize security alerts of high quality with the potential to impact the organization, based on SOCLess approach

Collaborate with the Detection Engineering Team:

Work closely with the Detection Engineering Team to identify and implement new security strategies aimed at detecting threats, reducing the attack surface, and enhancing the organization's overall cybersecurity posture.

Conduct Proactive Threat Hunting Operations:

Define and execute proactive threat hunting operations across the organization's systems and services, aiming to uncover detection gaps, identify weaknesses in security controls, and refine existing processes.

Assess the Organization's Threat Landscape:

Evaluate the threat landscape specific to the organization to prioritize proactive security measures and actions.

Develop Automation and Tooling:

Create and maintain automation tools to enhance the efficiency and impact of the incident response team's activities.

Cultivate and Maintain Key Partnerships:

Establish and nurture relationships with critical partners both within the organization and externally to foster collaboration and information sharing.

Experience, Knowledge and Skills:

Cybersecurity Knowledge:

A deep understanding of cybersecurity principles, including threat landscape, attack vectors, and security best practices
knowledge of security frameworks, standards, and compliance requirements relevant to your industry (e.g., NIST, ISO 27001). (Nice to have)

Technical:

Proficiency in using security tools and technologies such as SIEM (Security Information and Event Management), EDR (Endpoint Detection and Response), and IDS/IPS (Intrusion Detection System/Intrusion Prevention System)
Strong understanding of operating systems (Windows, Linux, macOS) and their security features.
Scripting and automation skills, experience with cloud technologies such as AWS/GCP and their tech stack

Incident Detection and Analysis:

Experience in monitoring and analyzing security alerts and events generated by security systems.
The ability to identify and investigate potential security incidents and determine their severity.
knowledge of structure analysis techniques and decision making as OODA loop.

Incident Response Experience:

Hands-on experience with incident response processes, including identification, containment, eradication, and recovery.
Experience in handling different types of security incidents, such as malware infections, data breaches, insider threats, zero day vulnerabilities, third-party

Threat Hunting Experience (Nice to have):

Proven ability to proactively identify and investigate potential threats and vulnerabilities in the organization's environment.
Familiarity with threat hunting techniques, including TTPs (Tactiques, technique and procedures) analysis, anomaly detection, and behavior analysis.
Experience in creating and refining threat hunting camping based on hypothesis or cyber threat intelligence.

Communication Skills:

Strong communication skills to collaborate effectively with other team members, stakeholders, and management.
Ability to document incident response and threat hunting activities clearly and concisely.
The ability to adapt to evolving cybersecurity threats and technologies and stay current with industry trends
Ability to manage multiple tasks and priorities, and work independently with minimal supervision

Certifications: Although we are not requiring security certification, the following could be a plus to be considered:

Certified Incident Handler (GCIH)
Certified Threat Intelligence Analyst (CTIA)
CompTIA Security+
Certified SOC Analyst (CSA+)
vendor-specific certifications

This role will be in-office on a hybrid schedule if an established Lyft Location is available to the Mexico City region — Hybrid Team Members will be expected to work in the office 3 days per week on Mondays, Thursdays and a team-specific third day. Additionally, hybrid roles have the flexibility to work from anywhere for up to 4 weeks per year. #Hybrid"
Analista SOC de ciberseguridad,Analista SOC de ciberseguridad,TRUST People Solutions,May,2024,"Empresa encargada de proveer soluciones y servicios en comunicaciones unificadas y redes convergentes de voz y datos se encuentra en búsqueda de

Analista de ciberseguridad de la información

Funciones:

Operar las plataformas de seguridad de CAT
Implementar nuevas herramientas de seguridad
Realizar monitoreo y detección de actividad sospechosa
Generar alertas sobre posibles amenazas
Ejecutar procesos de enriquecimiento de observables
Analizar artefactos maliciosos (primer nivel)
Generar reportes de desempeño y eficiencia de las plataformas de seguridad

Requisitos:

Titulado
Experiencia de al menos 1 año en:
Herramientas de seguridad
Endpoints
Servidores
DLP, SIEM
Análisis de información
Plataformas de inteligencia Power BI
Estándares de seguridad
Certificación CEH, EICH

La posición ofrece

Rango de sueldo $30,000 a 35,000 brutos de acuerdo a experiencia.

Ubicación: Reforma, CDMX

Modalidad: Presencial

Beneficios: De ley

Ayuda en cursos y certificaciones"
Auxiliar en Seguridad de la Información,Auxiliar en Seguridad de la Información,PREMO,May,2024,"PREMO somos una empresa 100% Mexicana con más de 15 años en el mercado, con la misión de apoyar a pequeños y medianos empresarios que confían en sus negocios y requieren financiamiento u inversión para capital de trabajo.

Intégrate a nuestro equipo como: Auxiliar en Seguridad de la Información

Te Ofrecemos

Salario base de acuerdo a experiencia
Prestaciones de ley (IMSS, Vacaciones, Aguinaldo, Prima Vacacional)
IMSS desde el primer día
Cotización al 100%
Contratación directa por PREMO
Buen ambiente laboral
Oportunidad de crecimiento
Beneficios adicionales
Oportunidad para hacer practicas o estadías.
Horario completo o medio día por la mañana.

Algunas de las actividades que estarás haciendo con nosotros:

Realizar monitoreos a sistemas principales, identificación, documentación y seguimiento de hallazgos
Creación de manuales para el personal sobre vulnerabilidades, phishing, malware, etc, y en función a revisiones internas ó boletines de seguridad
Creación y coordinación de capacitaciones presenciales en materia de seguridad de la información al personal de PREMO
Realizar documentación sobre procesos o manuales internos de seguridad, redactar informes detallados de respuesta a incidentes
Participar en la remediación de incidentes de seguridad, mitigaciones, documentación y aplicación de medidas correctivas en las estrategias de mitigación de riesgos
Revisiones del cumplimiento de la mitigación de vulnerabilidades en la infraestructura
Participar activamente en la correlación de eventos, supervisar el tráfico de la red, detección de anomalías y en escalamientos de casos al SOC
Participar activamente en la detección de amenazas en los equipos de usuario final, revisión de logs de DLP, EDR, XDR, logs de consolas de seguridad.
Participar en el desarrollo de Políticas y Protocolos de Seguridad, participar en las Pruebas de Penetración y Auditorías de Seguridad

Requisitos deseables

Ingeniería o cursando en: Sistemas Computacionales / Informática / Técnico Superior en Seguridad Informática / Ingeniería en Seguridad Informática y Redes, Ingeniería en Ciberseguridad

Hard Skills: Detección de intrusiones, Gestión de puntos finales, Antivirus, Seguridad Informática, Redes y seguridad de las redes, Modelo OSI, Sistemas Operativos.

Soft Skills: Atención al detalle, Trabajo en equipo, Proactividad, Comunicación, Planificación, Pensamiento crítico, Curiosidad, Auto-Aprendizaje, Integridad, Discreción y Profesionalismo al trabajar con información confidencial.

Conocimientos Deseables

ITILv3 ó v4, MTA Microsoft, Security Fundamentals de Microsoft, Cisco CCNA, Explorations o Discovery.

Ingles técnico, para lecturas de documentos de fabricantes o procesos.

¡Postúlate si cumples con los requerimientos!"
Operador y Analista de seguridad informática,Operador y Analista de seguridad informática,EducacionIT,April,2024,"Se busca técnico en seguridad informática para trabajar en importante empresa financiera.

Más de 2 años de experiencia comprobable en tareas de seguridad informática.

Es EXCLUYENTE indicar remuneración pretendida en BRUTO.

Modalidad híbrida.

Responsabilidades

Implementar, gestionar y documentar soluciones de seguridad.
Investigar y responder a incidentes de seguridad.
Control de accesos y de usuarios.
Batch Nivel Medio (Linux/Windows)
Gestión de Certificados

Requisitos

Formación técnica en seguridad informática.
Experiencia mínima COMPROBABLE de 2 años en el sector.
Conocimientos de scripting en PowerShell y bash Linux. (NO EXCLUYENTE)
Manejo de Active Directory o gestión de usuarios
Conocimientos en Gestión de Certificados

Ofrecemos

Salario competitivo
Beneficios sociales
Oportunidades de desarrollo profesional

Si estás interesado en esta oportunidad, envía tu CV y remuneración pretendida en BRUTO (EXCLUYENTE)."
Analista de ciberseguridad de la información,Analista de ciberseguridad de la información,TRUST People Solutions,May,2024,"Empresa encargada de proveer soluciones y servicios en comunicaciones unificadas y redes convergentes de voz y datos se encuentra en búsqueda de

Analista de ciberseguridad de la información -DLP-SIEM-Endpoints

Funciones:

Operar las plataformas de seguridad de CAT
Implementar nuevas herramientas de seguridad
Realizar monitoreo y detección de actividad sospechosa
Generar alertas sobre posibles amenazas
Ejecutar procesos de enriquecimiento de observables
Analizar artefactos maliciosos (primer nivel)
Generar reportes de desempeño y eficiencia de las plataformas de seguridad

Requisitos:

Titulado
Experiencia de al menos 1 año en:
Herramientas de seguridad
Endpoints
Servidores
DLP, SIEM
Análisis de información
Plataformas de inteligencia Power BI
Estándares de seguridad
Certificación CEH, EICH

La posición ofrece

Rango de sueldo $30,000 a 35,000 brutos de acuerdo a experiencia.

Ubicación: Reforma, CDMX

Modalidad: Presencial

Beneficios: De ley

Ayuda en cursos y certificaciones"
Information Security Analyst 2,Information Security Analyst 2,"Skyworks Solutions, Inc.",May,2024,"If you are looking for a challenging and exciting career in the world of technology, then look no further. Skyworks is an innovator of high performance analog semiconductors whose solutions are powering the wireless networking revolution. At Skyworks, you will find a fast-paced environment with a strong focus on global collaboration, minimal layers of management and the freedom to make meaningful contributions in a setting that encourages creativity and out-of-the-box thinking. Our work culture values diversity, social responsibility, open communication, mutual trust and respect. We are excited about the opportunity to work with you and glad you want to be part of a team of talented individuals who together can change the way the world communicates.

Please access Privacy Notice for Mexico for important information on personal data and electronic communications.

Req ID: 73051

Job Description

We are looking for a Cybersecurity Analyst to join our team to protect our organization from cyberattacks by monitoring our systems and evaluating threats as they arise. The Cybersecurity Analyst responsibilities include reviewing computer networks and identifying any potential vulnerabilities, installing the necessary software in order to protect it from unauthorized access, and documenting detections so that future breaches can be mitigated efficiently. Ultimately, you will defend an organization’s computer hardware, software and other systems from theft, loss and other cyberattacks.

Document security breaches and assess the damage they cause
Work with the security team to perform tests and uncover network vulnerabilities
Fix detected vulnerabilities to maintain a high-security standard
Stay current on Information Technology (IT) security trends and news
Develop company-wide best practices for IT security
Help colleagues install security software and understand information security management
Recent college graduate with a degree program in pursuit of Information Security, Cybersecurity, Information Technology, or related field preferred
Strong attention to detail and ability to work independently
Desire and aptitude to learn and apply security concepts and best practices
Excellent communication and collaboration skills
Intermediate skills in Microsoft Office applications

Skyworks is proud to be an equal opportunity employer supporting diversity in the workplace."
Cybersecurity Analyst,Cybersecurity Analyst,eINDUSTRIFY,April,2024,"Implement and maintain cybersecurity frameworks and standards, such as ISO 27001, NIST Cybersecurity Framework, and PCI DSS, to ensure compliance and alignment with best practices.
Conduct regular assessments to identify security vulnerabilities and develop remediation plans to address any gaps in security controls.
Collaborate with cross-functional teams to integrate cybersecurity practices into the overall development and operations processes.
Monitor the ecommerce platform and related systems for potential security breaches or unauthorized access attempts.
Develop and implement robust incident response procedures, including investigation, containment, mitigation, and recovery.
Stay updated on the latest cybersecurity threats and trends and proactively implement measures to protect against emerging risks.
Evaluate, select, and implement cybersecurity tools and technologies specific to the ecommerce domain, such as web application firewalls (WAFs), intrusion detection systems (IDS), and data loss prevention (DLP) solutions.
Configure and manage security tools to effectively monitor and detect security incidents, vulnerabilities, and malicious activities.
Conduct regular assessments of security tools to ensure optimal performance and effectiveness.
Perform regular vulnerability assessments and penetration tests on the ecommerce platform to identify and address potential security weaknesses.
Collaborate with development and IT teams to prioritize and remediate identified vulnerabilities in a timely manner.
Monitor and track the progress of vulnerability remediation efforts.
Develop and deliver cybersecurity training and awareness programs for employees to promote a culture of security awareness and best practices.
Create educational materials and conduct workshops to educate employees on ecommerce-specific security risks and preventive measures.
Stay updated on industry standards and trends related to ecommerce cybersecurity and disseminate relevant information to stakeholders.
Ensure compliance with relevant industry regulations and standards, such as GDPR, CCPA, and Payment Card Industry Data Security Standard (PCI DSS).
Prepare for and support internal and external cybersecurity audits and assessments.
Collaborate with legal and compliance teams to address any findings or recommendations from audits and assessments.
Bachelor's degree in Computer Science, Information Technology, or a related field. Advanced degree is a plus.
8+ years of experience in cybersecurity, preferably with a focus on ecommerce platforms and online transactions.
Strong knowledge of cybersecurity frameworks and standards, such as ISO 27001, NIST Cybersecurity Framework, and PCI DSS.
Experience with ecommerce-specific security challenges, including secure payment processing, data privacy, and web application security.
Familiarity with common cybersecurity tools and technologies used in the ecommerce industry, such as WAFs, IDS, DLP solutions, and vulnerability scanning tools.
In-depth understanding of secure coding practices, encryption algorithms, and network security protocols.
Strong analytical and problem-solving skills, with the ability to identify and address security vulnerabilities and threats.
Excellent communication and collaboration skills to effectively work with cross-functional teams.
Relevant certifications, such as Certified Information Systems Security Professional (CISSP) or Certified Ethical Hacker (CEH), are highly desirable.

Note: All applicants must submit their Resumes in English"
Information Security Specialist,Information Security Specialist,Capgemini,May,2024,"About Capgemini

Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 360,000 team members in more than 50 countries. With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2022 global revenues of €22 billion.

Our client is one of the United States’ largest insurers, providing a wide range of insurance and financial services products with gross written premiums well over US$25 Billion (P&C). They proudly serve more than 10 million U.S. households with more than 19 million individual policies across all 50 states through the efforts of over 48,000 exclusive and independent agents and nearly 18,500 employees. Finally, our client is part of one the largest Insurance Groups in the world.
Get The Future You Want | https://www.capgemini.com/mx-es/


Job Summary
Utilize a wide range of risk-based methodologies to independently perform intermediate to advanced technical analysis of a broad range of interdependent medium to high cybersecurity risks. Analyze and establish security requirements for all company systems/networks; advise how to protect a highly complex information system to ensure the confidentiality, integrity, and availability of systems and data. Independently perform security testing and security risk assessments of high complexity according to best practices to address business challenges while also improving business processes. Independently manage and serve as a SME for all company security and technology platforms; analyze severe security breaches and incidents; participate in architectural discussion for any company technology platform; and document corporate security policies


Essential Job Functions
assess, document, and articulate all types of data security and data privacy risks in addition to appropriate countermeasures and controls to address data security and data privacy concerns.
opportunities to proactively mitigate moderate to major risks, and manage threat or target analysis of cyber defense information and production of threat information within the enterprise.
third party data security risk assessments, project security assessments, business risk assessments and security testing for most company systems and potential new systems.
technical and nontechnical risk, and vulnerability assessments of relevant technology focus areas including local and global computing environment, network, infrastructure and applications, etc. Perform risk analysis when any application or system undergo a major change.
security controls to integrate security within the process, to identify key security objectives, and to maximize software security while minimizing disruption to plans and schedules.
processes to ensure legal and regulatory security compliance requirements are met.
process improvement in detecting and responding to cybersecurity incidents and events.
approve and ensure implementation of sophisticated security configurations.
irregular and indeterminate patterns of noncompliance to determine their impact on levels of risk and overall effectiveness of the enterprise’s cybersecurity program.
detective, protective or corrective measures when cybersecurity incidents are discovered.
in audits of cyber programs and projects. Track audit findings and recommendations to ensure appropriate mitigation actions are taken.
ownership of assigned audit actions or regulator requests by diligently providing responses and evidence within established timeframes.
and manage relationships with a wide network of local business and IT front-line and senior stakeholders.
cross-functional projects that incorporate local and global teams.
the value of information technology (IT) security throughout all levels of the organization.
business and IT teams to create innovative and sophisticated solutions to complex problems.
review, and update security policies, procedures, standards and guidelines.
as a SME for most company technology platforms and main contact point for IT groups seeking intermediate to advanced security input.
in architectural discussions for all company technology platforms.
creation of milestones and timelines for assigned security projects/initiatives.
ownership of assigned projects from initiation to completion.
as an internal consultant in multiple areas of security expertise.
medium-scale to enterprise-wide projects forward with minimal oversight.
security reporting data to recommend leading-edge solutions or policy changes.
and educate Analysts on job responsibilities and security processes. Develop and/or assist in the development of on-the-job training materials or programs. Perform other duties as assigned.


Education
Bachelor’s degree in information systems or related discipline preferred.


Experience
Five to seven years professional experience in IT Security or Information Security Risk consulting and Project Management, or comparable base of knowledge/expertise in the field, required.


Disclaimer
Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law."
