Position,Company_Name,Location,Post_Month,Post_Year,Details
Help Desk IT Support Technician,Help Desk IT Support Technician,OpenTable,May,2024,"With millions of diners, tens of thousands of restaurants, and 23+ years of experience, OpenTable, part of Booking Holdings, Inc. (NASDAQ: BKNG), is an industry leader with a unique insight into the world of hospitality. We champion restaurants, bars, wineries, and other venues around the world, helping them attract guests, manage capacity, improve operations and maximize revenue.

Every employee at OpenTable has a tangible impact on what we do and how we do it. You’ll also be part of a global network that includes OpenTable and KAYAK's portfolio of travel brands including Swoodoo, checkfelix, momondo, Cheapflights, Mundi and HotelsCombined.

Hospitality is all about taking care of others, and it defines our culture. You’ll work in a welcoming and inclusive environment, and get the benefits, flexibility, and support you need to succeed.

The Role

This is a full-time salaried role with 3-5 days of required work in the Mexico City office, which is located in the Nápoles area.

Are you an IT enthusiast who loves new technologies and gadgets? Do you genuinely enjoy helping people with technical problems? Are you interested in learning and growing in your IT career? If so, OpenTable is currently seeking a Help Desk IT Support Technician to join the Global IT Help Desk team, called the TechTable, a group of upbeat, hardworking, and fun coworkers based in Denver, San Francisco, London, Melbourne, Mexico City, and Mumbai.

The Help Desk IT Support Technician's primary function will be to provide tier-1 technical support for OpenTable employees in the Mexico City office and the local region, ultimately operating as the ""face of IT"" in the office, and supporting global employees as needed. This individual will work in a fast-paced global enterprise environment, often independently, and ensure all end-user tickets are captured and resolved to meet SLAs.

The ideal candidate is a self-starter with broad technical skills and is passionate about providing world-class customer service. Additionally, the Help Desk IT Support Technician will require great critical thinking and prioritization skills and determine solutions to technical or process-related issues in a complex environment.

If this opportunity interests you, we encourage you to apply!

In This Role, You Will

Monitor, categorize, and triage incoming end-user tickets
Provide a wide range of technical support to end users by phone, chat, email and remote support
Understand the team’s workload and escalate/distribute incidents as needed
Test and configure end-user hardware and software
Create and maintain knowledge-base documentation and identify deficiencies
Provide exceptional customer support virtually or in-person to supported users
Be a support presence in our Mexico City office and assist with the maintenance/troubleshooting the teleconference systems, A/V systems, and related events

Please Apply If You Have

PC and Mac hardware/software support
Computer imaging concepts and best practices (Intune/AutoPilot preferred)
ITSM and ticket management concepts
Active Directory administration
Experience supporting GSuite & Office 365
General knowledge of identity access management, particularly Okta
Audio/visual hardware and software support (Zoom experience preferred)
iOS and Android mobile device support (Jamf experience preferred)
Basic/intermediate network troubleshooting
Basic/intermediate computer security concepts
Exceptional English written and verbal communication skills
Minimum 3-year experience working in a technical support role

Benefits

OpenTable provides Mexican Social Security (IMSS)
Christmas Bonus - 30 days
Paid Time Off - 20 days a year
Vacation Premium - 25%
Parental Leave
Bereavement Leave - 3 days
Marriage leave - 3 days
Bonuses
Dental Insurance & Life Insurance
Major Medical Insurance

Diversity, Equity, and Inclusion

OpenTable aspires to be a workplace that reflects the diverse communities we serve and a culture that is inclusive and welcoming. Hiring people with different backgrounds, experiences, perspectives, and ideas is critical to innovation and to how we deliver great experiences for our users and our partners. Representation matters.

We ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform job responsibilities, and to receive other benefits and privileges of employment. Please contact us to request accommodation."
IT Support Specialist,IT Support Specialist,ITPS ONE,May,2024,"This position is a part of international IT team. Currently we are building international IT Operation team, which will be providing IT services for the whole organisation (operating in few markets around the world) with strong plans for expansion on new markets worldwide. We are not a corporation but a truly global start-up with its own culture focused on delivery and effectiveness. This role will be based in Mexico City but with responsibility for IT Services across all Digital operations and markets.

What you will be required to deliver in your new role?

Solving problems/incidents raised by business users (using ticketing system)
Supporting our online loan management platform as first line of support
Cooperation with other IT teams in providing world-class IT support
Ordering IT equipment and software licenses
Creating and maintaining IT support knowledge base
Work collaboratively with Customer Care and IT Development teams on more complex technical requests and issues to ensure an effective resolution
Work hard to develop strong relationships with the extended digital team and to be flexible and pragmatic
Have an attitude of ‘Why not! Let’s do it’
Always look to do the best for your customers, whether internal or external


Requisitos


Qualifications

Proficiency in solving IT problems with hardware and applications
Over 2 years of experience working as part of IT support team

Skills

Appropriate computer skills (Windows is a must, Mac OS X and Linux knowledge is advantage)
Must demonstrate strong sense of urgency regarding solving end-user incidents
Must possess excellent customer service skills
Working knowledge of verbal and written business English

Knowledge

Broad knowledge of IT hardware and technology – different operating systems and network devices.
Knowledge in working with SQL queries is advantage.
JIRA ticketing system knowledge would be an advantage

Experience

Minimum 2 years of experience as a Helpdesk position
Experience in software quality assurance
Used to working with testing database changes and writing basic SQL queries (MySQL)
Experience with ITIL is a benefit

Be able to support critical incidents out of hours (on-call duty).

Beneficios

Attractive salary + private medical insurance
Ability to develop professional career path
Opportunity to work for a reputable employer in an international environment"
Junior IT Support Technician,Junior IT Support Technician,MezTal,May,2024,"We are seeking a proactive and customer-focused Junior IT Support Technician to join our team. The successful candidate will be responsible for providing technical assistance and support to our internal users, resolving tickets in a timely manner, and ensuring smooth operation of IT systems.

Responsibilities:

Respond to user inquiries and troubleshoot technical issues.
Create, update, and prioritize tickets in the help desk system.
Provide remote support and on-site assistance as needed.
Install, configure, and maintain software components.
Assist with user account management, including password resets and access permissions.
Collaborate with senior IT staff to escalate complex issues and follow up on resolution.
Document troubleshooting steps and solutions for future reference.
Participate in training sessions to enhance technical skills and knowledge


Requirements

Qualifications:

Bachelor's degree in information technology, Computer Science, or a related field (or equivalent work experience).
Basic understanding of IT concepts and technologies.
Strong customer service skills and ability to communicate technical information to nontechnical users
Familiarity with help desk software and ticketing systems is a plus.
Ability to prioritize tasks and work efficiently in a fast-paced environment.
Willingness to learn and adapt to new technologies and procedures.
Certifications such as CompTIA A+, Microsoft Certified Desktop Support Technician (MCDST), or similar are advantageous but not required


Benefits

Insurance of major medical expenses (Sum assured $20,000,000.00 MXN)
Life insurance (Death and MXN Disability)
12 Days of vacation per year, with prior approval from your manager, plus three floating days in addition to the seven official Holidays in Mexico
30 days of Christmas bonus
Cell Phone Reimbursement
Transportation Allowance"
IT Service Desk Support,IT Service Desk Support,LIXIL,June,2024,"About Us

Cada persona en el planeta sueña con un hogar mejor. Y en LIXIL, estamos comprometidos en hacer realidad el mejor hogar para todos y en todas partes. Lo hacemos realidad con soluciones tecnológicas en agua y vivienda. Somos marcas líderes mundiales como INAX, American Standard, GROHE, TOSTEM y muchas más, tocamos la vida de más de mil millones de personas cada día, transformando casas en hogares.

Nuestro planeta es el hogar que todos compartimos. Entonces, la forma en que hacemos negocios es importante. Nuestra cultura inclusiva y empoderada, nuestro espíritu emprendedor y nuestro compromiso de tener un impacto positivo en el planeta son parte integral de nuestra estrategia comercial.

LIXIL hoy está en un viaje de transformación. El mundo que nos rodea está cambiando; avances tecnológicos, necesidades en evolución, nueva demografía, expectativas cambiantes. Estos cambios sirven como oportunidades para descubrir soluciones y desbloquear el progreso para todos.

Te invitamos a hacer este viaje con nosotros, es tan desafiante como inspirador. Juntos podemos dar forma al futuro de la vida, somos un hogar para el crecimiento, la imaginación y la creatividad, un hogar para tu talento y ambición.

Un hogar para todos.

Every person on the planet dreams of a better home. And at LIXIL, we’re committed to making better homes a reality for everyone, everywhere. We make it happen with pioneering water and housing technology solutions. Home to world leading brands like INAX, American Standard, GROHE, TOSTEM and many more, we touch the lives of more than a billion people each day, transforming houses into homes.

Our planet is the home we all share. So how we do business matters. Our inclusive and empowering culture, entrepreneurial spirit and commitment to having a positive impact on the planet are integral to our business strategy.

LIXIL today is on a journey of transformation. The world around us is changing. Technological advances. Evolving needs. New demographics. Shifting expectations. These changes serve as opportunities for solutions to be discovered, and to unlock progress for all.

We invite you to make this journey with us. It is as challenging as it is inspiring. Together we can shape the future of living. We’re a home for growth, for imagination, for creativity. A home for your talent and ambition.

A home for everyone.

Visión general

Como parte del equipo digital, usted es la fuerza impulsora detrás de cómo LIXIL transforma nuestro negocio para que esté basado en datos y sea más eficiente. Esto incluye tanto pequeños cambios en las operaciones diarias como grandes cambios de paradigma en toda nuestra organización global. Desde la digitalización de servicios comerciales hasta la asistencia a nuestro equipo de desarrollo de productos en implementaciones de IoT, usted desempeñará un papel clave para ayudar a LIXIL a cumplir nuestro propósito. Mantenerse actualizado con las tendencias digitales es esencial, se espera que se mantenga informado sobre los últimos desarrollos en marketing digital para ayudar a nuestra organización a seguir siendo competitiva.

As a part of the Digital team, you are the driving force behind how LIXIL transforms our business to be more data-driven and efficient.This includes both small changes in day-to-day operations and large paradigm shifts across our global organization.From digitizing business services to assisting our product development team in IoT implementations, you will play a key role in helping LIXIL fulfill our purpose. Staying current with digital trends is essential, as you'll be expected to stay informed about the latest developments in digital marketing to help our organization remain competitive.

Responsabilidades

Purpose:

To provide 1st level IT / Digital Support to end-users globally

Main role/ Responsibilities:

You will be involved in IT / Digital Service Desk team and will be responsible for:

1st level end-user Support: Assist end-users in troubleshooting and resolving issues related to IT Software and Hardware request and incident management: Track and manage service requests and incidents using a ticketing system, following established processes and service level agreements.
Initiation of Problem Management: support in solving problems arising from repetitive incidents and suggest long term fixes that will be aligned with 2nd level support teams and specialists.
User training and documentation: Conduct training sessions and create user documentation to educate end-users on 1st level software or hardware functionalities, best practices, and self-service resources. Keep knowledge base articles up to date to enable users to resolve common issues independently.
Actively participate in the building a global AI powered (ChatGPT/Outsystems) knowledge base to assist end users and build the future of IT support within Lixil.
Collaboration and communication: Collaborate with cross-functional teams, including developers, functional consultants, and business users, to address complex issues, provide insights, and contribute to system enhancements. Communicate effectively with stakeholders at various levels to understand requirements and deliver solutions.

Requisitios

High school diploma from professional school in IT area
At least 1 year experience in Service Desk operations (not mandatory)
Communication skills: effective communication skills, both written and verbal, are crucial to working with customers and team members to understand and resolve issues effectively.
Customer-oriented: A customer-focused mindset with the ability to empathize with customers, provide exceptional service, and maintain a positive customer experience.
Teamwork and collaboration: Ability to work collaboratively with other team members to resolve complex issues and ensure timely delivery of support.
Continuous learning: A desire to continuously learn and improve their SAP knowledge and technical skills to stay up to date with the latest industry trends and best practices.
Comfortable working in a fast paced, dynamic, and global environment

EEO Statement

Declaración de Igualdad de Oportunidades de Empleo: AS Maquila México S. de R.L. de C.V. y American Standard B&K México, son empleadores que ofrecen igualdad de oportunidades. Todos los solicitantes que resulten calificados para la posición para la que apliquen, serán considerados para el empleo sin distinción de raza, color, religión, lugar de origen, ascendencia, orientación sexual, identidad de género, genética, discapacidad, estado civil, edad, estado civil, estado de salud, condición o cualquier otra característica protegida por la ley.

AS, AMERICA INC. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, ancestry, sex, sexual orientation, gender identity, national origin, genetics, disability, marital status, age, veteran status, domestic partner status, medical condition or any other characteristic protected by law."
IT Support Tech,IT Support Tech,HI-LEX North America,May,2024,"Job Details

Job Location

HCI Mexico - Queretaro,

Position Type

Full-Time

Job Shift

Any

Description

it

Qualifications

it"
IT Support,IT Support,Vestas,May,2024,"Vestas Digital Solutions (DS) Digital Employee Experience & Infrastructure as a Service dept. is looking for a Field Supporter with an interest of joining a regional travel team where you will take part in a responsibility of a cluster of sites that you will visit on a regular basis. Our new Field Supporter has a broad knowledge base covering windows client and server OS, meeting room equipment, network equipment and basic infrastructure understanding. Our new Field Supporter will have to follow his responsible inputs/instructions and will work closely with DS SDMs, SME's, internal architects as well as external vendors to ensure stable and high performing solutions for Vestas end users. If you have experience within these areas, you might be the right candidate for this position, and we would like to hear from you.

Responsibilities

You will be supporting users working in both main offices and major service site and you will provide support for our end users as well as daily maintenance of the IT infrastructure. On request you will also be supporting building and infrastructure projects in need for hands on at specific sites.

You will at the cluster of sites be responsible for: - handling of stock at MX-Ciudad location and eventual swap stock at other LATAM North sites for PCs plus accessories, tablets, mobile phones and take care of any reuse possible

meeting rooms, printers, network/office patching
create and maintain site specific documentation
ensuring that sites are setup and maintained according to Vestas Global standards

Through your engagement with local stakeholders, you will take pride in ensuring that the site is maintained and is up to Vestas standards and you will closely communicate and collaborate with your responsible and colleagues in the rest of the GIT organization to ensure follow-up and Vestas standard are matched.

On demand from building and infrastructure projects or the Operational teams you will be installing network devices and do service on servers. You will proactively detect and report any issues with Infrastructure at local sites to the appropriate team or project to ensure that the sites within your responsibility are maintained and kept up to Vestas standards.

You will be part of a regional team that takes care of a cluster of sites and travel will therefore be required for doing normal operation and for project work.

Qualifications

Experience with Windows client and server OS
Experience working in global standard corporate client infrastructure environment- Experience with network equipment, network patching fiber/copper cabling and bigger cabled and wireless HP/Cisco-network
Familiar with server raids disks, ups systems are an advantage
Understanding of what it requires to work within a standardized centralized infrastructure regarding configuration/programs and keep documentation maintained.
Experience with ITIL fundamentals
You know how documenting work in ticket system (Service-now) and you have experience with doing site documentation

Competencies

You are proactive, take initiative and know how to combine this with the need of reactive support

You are service minded, good at establishing relationships with your local stakeholders as well as your stakeholders in the IT organisation.You are good at communicating solutions to the end-users and you can communicate with IT architect, project managers, end users in production as well as management level.

You have a high level of tidiness and you know how to document technical solutions

You work independently, take responsibility for operation and support as well as delivering as committed to the projects you are involved with.

You speak and write fluent English.

What We Offer

We offer to work in a global team with multiple cultures and to work with many aspects of IT. You will get the chance of being exposed to a variety of different task for infrastructure projects.

You will be working together with Vestas vendors, internal architects and your Service Delivery Management and Subject Matter Expert colleagues in other departments in DS and you will be involved in the implementation, adoption and optimization of key services to Vestas end-users.Furthermore, you will get the chance to engage with a large array of stakeholders also outside Vestas DS.

All of this will happen in a professional, multicultural environment where the Vestas values: Accountability, Collaboration and Simplicity are central to your success

BEWARE – RECRUITMENT FRAUD

It has come to our attention that there are a number of fraudulent emails from people pretending to work for Vestas. Read more via this link, www.vestas.com/en/careers/job-openings

About Vestas

Vestas is the energy industry’s global partner on sustainable energy solutions. We are specialised in designing, manufacturing, installing, and servicing wind turbines, both onshore and offshore.

Across the globe, we have installed more wind power than anyone else. We consider ourselves pioneers within the industry, as we continuously aim to design new solutions and technologies to create a more sustainable future for all of us. With more than 173 GW of wind power installed worldwide and 40+ years of experience in wind energy, we have an unmatched track record demonstrating our expertise within the field.

With 29,000 employees globally, we are a diverse team united by a common goal: to power the solution – today, tomorrow, and far into the future.

Vestas promotes a diverse workforce which embraces all social identities and is free of any discrimination. We commit to create and sustain an environment that acknowledges and harvests different experiences, skills, and perspectives. We also aim to give everyone equal access to opportunity.

To learn more about our company and life at Vestas, we invite you to visit our website at www.vestas.com and follow us on our social media channels. We also encourage you to join our Talent Universe to receive notifications on new and relevant postings."
Help Desk Technician,Help Desk Technician,LaTeam Partners,June,2024,"Responsibilities:
Provide troubleshooting and resolution of technical issues for internal users across hardware, software, and networks.
Manage and resolve helpdesk tickets to meet SLAs, ensuring effective communication throughout the ticket lifecycle.
Install, configure, and maintain end-user compute technologies (PC, Mac, mobile, peripherals).
Onboard and offboard IT equipment, assets, and access.
Administer Google Workspace and other collaboration tools (Zoom, Jira, Slack, Dropbox, Jumpcloud, CATO, Office 365, Adobe, AWS, GCP).
Identify and implement process improvements and automation within the IT helpdesk workflows.

We’d love to hear from you if:
Customer-focused: Dedicated to providing exceptional customer service and building positive relationships with internal users.
Problem Solver: Excellent troubleshooting skills with the ability to diagnose and resolve complex technical issues.
Technical Knowledge: Strong understanding of Windows and macOS operating systems,
networking concepts, and Tinuiti's technology stack support.
Self-motivated and Proactive: Able to take ownership of tasks, prioritize effectively, and work independently to find solutions.
Team Player: Enjoys collaboration and contributing to a supportive team environment.
Eager to Learn: Demonstrates a passion for technology and a willingness to learn new systems and tools.

Requirements:
4+ years of experience in an IT helpdesk or support role.
Experience with Google Workspace administration.
Familiarity with cloud technologies (AWS, GCP) is a plus.
Experience with cloud-based security tools is a plus (CATO or similar).
Scripting abilities (Python, PowerShell, etc.) are a plus.
CompTIA A+, Net+, or equivalent certifications are a plus.
English C1"
"IT Support Associate II, OpsTech Solutions","IT Support Associate II, OpsTech Solutions",Amazon,May,2024,"Description

Ubicacion: Tepotzotlan, Estado de Mexico

Las operaciones están en el corazón del negocio de Amazon. Somos conocidos por nuestra velocidad, precisión y servicio excepcional. Nuestros edificios entregan decenas de miles de productos a cientos de países en todo el mundo, todos los días. OpsTech IT brinda soporte de TI global continuo a las operaciones de Amazon como una pieza vital del rompecabezas. Estamos buscando personas motivadas para asumir nuevos desafíos y motivar a los equipos para fomentar soluciones a los obstáculos que enfrentamos. Juntos, nos hacemos cargo de lo que hacemos, ya sea respaldando la infraestructura de TI, desarrollando nuevas tecnologías internamente, lanzando una nueva instalación de Amazon Operations o deleitando a nuestros clientes entregándoles paquetes directamente.

Sobre el papel

Como asociado de soporte de TI II, utilizará sus habilidades para ayudar al equipo de operaciones a resolver problemas técnicos dentro de una instalación de Amazon Operations que abarca una multitud de disciplinas técnicas. Estamos comprometidos con la mejora; se le alentará a participar en las oportunidades de desarrollo profesional que se presenten para progresar en su carrera en Amazon.

¿Qué ofrecemos?

Amazon ofrece paquetes de compensación competitivos. Pero espera, hay más: ¡no usamos traje y corbata! Ven tal como eres porque jeans, camisetas, zapatillas y, en ocasiones, un chaleco de seguridad de neón serán tu atuendo diario

Key job responsibilities

Las Responsabilidades Incluyen, Pero No Se Limitan a

Asignación, mantenimiento y solución de problemas de equipos de TI utilizados en las instalaciones de Amazon Operations.
Maneja solicitudes y procedimientos de soporte a través de la red.
Colaborar en la formación de nuevos empleados.
Aprendizaje continuo de nuevas tecnologías.
Capacidad para dar soporte a clientes desde múltiples edificios en el área, así como a clientes remotos.

We are open to hiring candidates to work out of one of the following locations:

Tepotzotlan, MEX, MEX

Basic Qualifications

1+ years of corporate setting Windows, Mac or Linux Operating systems support experience
Experience troubleshooting integrated and interdependent computer systems
Experience maintaining zebra thermal printers, troubleshooting thin clients, PCs, scanners, and portable handheld terminals

Preferred Qualifications

CompTIA A+, CompTIA Network+, Cisco/CCNA, Linux (Redhat), Microsoft hardware (installation), AWS, or other industry relevant certifications
Experience in a dynamic environment with a high degree of customer service


Company - Servicios Comerciales Amazon Mexico S. de R.L. de C.V.

Job ID: A2614555"
IT Support Specialist,IT Support Specialist,DearDoc,May,2024,"We are looking for a highly capable IT support specialist to provide technical assistance to our staff. In this role, your duties will include ensuring optimal use of our hardware and software technologies, enhancing system performance, and securing data.

ONLY RESUMES IN ENGLISH WILL BE CONSIDERED.

Location: Guadalajara, Jalisco - Remote (Work from Home)

Employment Type: Contractor, Indefinite - Part-Time, Tuesday & Friday, 9-6pm EST

Salary Range: $12,500 MXN per Month

Essential Functions & Responsibilities

Providing IT assistance to staff and US IT Operations
Responding to tickets from MX team
Resolving logged errors in a timely manner
Purchasing IT Equipment for MX
Offboarding and Onboarding (IT related)
Monitoring hardware, software, and system performance metrics
Updating computer software. as well as upgrading hardware and systems
Maintaining databases and ensuring system security
Documenting processes and performing diagnostic tests
Keeping track of technological advancements and trends in IT support


Skills & Background

A bachelor’s degree in computer science, information technology, or equivalent experience
1 - 3 years of IT support specialist experience
Exceptional ability to provide technical support and resolve queries
In-depth knowledge of computer hardware, software, and networks
Ability to determine IT needs
Proficiency in IT helpdesk software, such as Comodo,Freshservice and or Zendesk is preferred
Excellent oral and written communication skills
Attentive, considerate, inquisitive and empathetic to others
Exceptional time management skills


DearDoc, Inc. is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. All employment is decided on the basis of qualifications, merit, and business needs."
"IT Support Associate II, OpsTechIT","IT Support Associate II, OpsTechIT",Amazon,May,2024,"Description

Las operaciones están en el corazón del negocio de Amazon. Somos conocidos por nuestra velocidad, precisión y servicio excepcional. Nuestros edificios entregan decenas de miles de productos a cientos de países en todo el mundo, todos los días. OpsTech IT brinda soporte de TI global continuo a las operaciones de Amazon como una pieza vital del rompecabezas. Estamos buscando personas motivadas para asumir nuevos desafíos y motivar a los equipos para fomentar soluciones a los obstáculos que enfrentamos. Juntos, nos hacemos cargo de lo que hacemos, ya sea respaldando la infraestructura de TI, desarrollando nuevas tecnologías internamente, lanzando una nueva instalación de Amazon Operations o deleitando a nuestros clientes entregándoles paquetes directamente.

Sobre el papel

Como asociado de soporte de TI II, utilizará sus habilidades para ayudar al equipo de operaciones a resolver problemas técnicos dentro de una instalación de Amazon Operations que abarca una multitud de disciplinas técnicas. Estamos comprometidos con la mejora; se le alentará a participar en las oportunidades de desarrollo profesional que se presenten para progresar en su carrera en Amazon.

¿Qué ofrecemos?

Amazon ofrece paquetes de compensación competitivos. Pero espera, hay más: ¡no usamos traje y corbata! Ven tal como eres porque jeans, camisetas, zapatillas y, en ocasiones, un chaleco de seguridad de neón serán tu atuendo diario

#AmazonMexico

Key job responsibilities

Las Responsabilidades Incluyen, Pero No Se Limitan a

Asignación, mantenimiento y solución de problemas de equipos de TI utilizados en las instalaciones de Amazon Operations.
Maneja solicitudes y procedimientos de soporte a través de la red.
Colaborar en la formación de nuevos empleados.
Aprendizaje continuo de nuevas tecnologías.
Capacidad para dar soporte a clientes desde múltiples edificios en el área, así como a clientes remotos.

We are open to hiring candidates to work out of one of the following locations:

Queretaro, QUE, MEX

Basic Qualifications

1+ years of corporate setting Windows, Mac or Linux Operating systems support experience
Experience troubleshooting integrated and interdependent computer systems
Experience maintaining zebra thermal printers, troubleshooting thin clients, PCs, scanners, and portable handheld terminals

Preferred Qualifications

CompTIA A+, CompTIA Network+, Cisco/CCNA, Linux (Redhat), Microsoft hardware (installation), AWS, or other industry relevant certifications
Experience in a dynamic environment with a high degree of customer service


Company - Servicios Comerciales Amazon Mexico S. de R.L. de C.V.

Job ID: A2602438"
