Position,Company_Name,Location,Post_Month,Post_Year,Details
Jóvenes Talentos IT,Jóvenes Talentos IT,EducacionIT,May,2024,"Sumate a la edición número 14 del Programa de Jóvenes Talentos IT de Wetcom, empresa reconocida por Great Place to Work, como uno de los mejores lugares para trabajar en Tecnología.

El objetivo del programa es que comiences tu carrera laboral, te capacites en las últimas tecnologías de IT y descubras el mundo de la virtualización y cloud computing.

FECHA DE INICIO: Febrero 2024

TE OFRECEMOS

Relación de dependencia.
Modalidad híbrida (casa y oficina en Recoleta, CABA).
Jornada part-time los primeros 6 meses (Lunes a Viernes de 8: 30 h a 14: 30 h).
Jornada full-time a partir de los 6 meses (Lunes a Viernes).
Capacitación en tecnologías de vanguardia.
Día de cumpleaños libre.
Medicina prepaga.
Descuento en gimnasio.
Pago de servicio de internet.
Cupón de descuento para compras....¡Y mucho más!

TU MISION PRINCIPAL

Formar parte del área de servicios de la compañía.
Capacitarte en tecnologías de infraestructura de sistemas: Redes, Servidores, Storage, Backups, Datacenter, Virtualización y Cloud Computing.
Brindar soporte y gestionar operaciones tecnológicas en importantes clientes.

TU PERFIL IDEAL

Ser estudiante de carreras universitarias en sistemas (excluyente).
Centennial.
Residir en zona AMBA (Capital ó GBA)
Nivel intermedio-avanzado de inglés (excluyente).
Conocimientos de Microsoft, Redes, Reparación de PC, programación y hardware.

TU VALOR AGREGADO

Ganas de trabajar en equipo, aprender e investigar. Pasión por la tecnología, curiosidad."
Consultor TI,Consultor TI,People4Business,May,2024,"Nuestro cliente es una empresa líder en la implementación de soluciones biométricas, está en la búsqueda de un Consultor de Ventas TI especializado en el sector gobierno.

Beneficios:

Salario de $60,000 libres de impuestos + comisiones
Prestaciones de ley
Se dan herremientas de trabajo (gasolina, tablet, tarjeta corporativa)
Ambiente de trabajo dinámico y colaborativo.

Zona de trabajo: Miguel Hidalgo

Horario: lunes a viernes de 9am a 6pm

Requisitos:

Mínimo de 8 años de experiencia en ventas de soluciones hechas a la medida, ideal conocer de biométricos.
Manejo de venta consultiva
Haber trabajado en cuentas con gobierno (desde la prospecion, licitación)"
Especialista de TI | Guadalajara,Especialista de TI | Guadalajara,Tecnológico de Monterrey,May,2024,"La disrupción es la nueva normalidad, y en el Tecnológico de Monterrey, cada mañana, nos despertamos con la responsabilidad de transformar nuestro entorno. Nuestros procesos están centrados en las personas, asegurando experiencias extraordinarias junto con nuestro talento y el nuevo Modelo Educativo Tec21. ¡Aquí encontrarás tu propósito! aprovecharás oportunidades innovadoras, formando parte de una cultura colaborativa basada en la inclusión, la meritocracia y el respeto.

¿Te consideras una persona con mucha pasión por nuevos retos, inquietud por aportar ideas innovadoras y sobre todo comprometido a transformar México a través de la educación?

¡Esta oportunidad es para ti!

¿Qué harás?

Siendo Especialista de TI, el reto principal es asegurar la calidad de los servicios de TI y dominar las herramientas tecnológicas que soportan la vida académica estudiantil y administrativa, resolviendo problemas y asegurando a los usuarios (profesores y alumnos) en dudas e inquietudes.

¿Cómo lo harás?

Tus Principales Retos Serán:

Proporcionar soporte técnico en la resolución de incidentes relacionados con los servicios de red, incluyendo la gestión y resolución de reportes de fallas en servicios de red de la marca CISCO (será un plus el conocimiento previo en la administración y configuración de tecnologías CISCO).
Apoyar en proyectos en planta física de contrucción, colaborando en la revisión de planos, administración, seguimiento y contacto con proveedores).
Realizar diagnósticos técnicos cuando se presenten fallas en la red dentro de edificios o aulas.
Apoyo en clases con conexiones de red y soporte tecnológico.

¿Qué buscamos?

Si estás cursando tus últimos semestres en Ingeniería de computación, electrónica, tecnologías de información o afin o eres recién graduado, y tienes el conocimiento de infraestructura tecnológica, infraestructura de red, conocimiento y/o operación de Switch de Core, Distribución, WAN, Wireless Controllers y servicio DHCP, Access Points, etc; tienes inglés técnico y te encantaría trabajar en un lugar para seguir aprendiendo y desarrollarte... ¡Te estamos buscando, postúlate ya!

¿Por qué trabajar con nosotros?

Nuestro talento es la fuerza que impulsa nuestro éxito. Su talento, dedicación y pasión son los pilares fundamentales de nuestra organización. Por ello, nos enfocamos en ofrecer beneficios de calidad que promuevan su equilibrio emocional, su bienestar financiero y su desarrollo profesional.

Esquema de trabajo: Presencial Lunes a Viernes de 12:00pm a 8:00pm (con horario de comida de 1 hora y media de 1:00pm a 2:30pm).

Contacto: Keren Orozco

Correo: keren.orozco@tec.mx

En el Tec de Monterrey actuamos bajo un principio de igualdad de oportunidades. Por ello no discriminamos por edad, origen étnico, nacionalidad, género, orientación sexual, estado civil, condición social, estado de salud, creencias religiosas, doctrina política o discapacidad.

Agradecemos tu interés en participar en nuestras vacantes. En caso de no ser contactado/a por el equipo de Atracción de Talento, te invitamos a continuar revisando nuevas oportunidades en el portal de Oportunidades de Crecimiento, si eres colaborador del TEC. Si eres candidato externo en jobs.tec.mx y aplicar a aquellas que se ajusten a tu perfil.

¡Síguenos!

Instagram: jobs.tec.mx
TikTok: jobs.tec.mx
Linkedin: Tecnológico de Monterrey

La disrupción es la nueva normalidad, y en el Tecnológico de Monterrey, cada mañana, nos despertamos con la responsabilidad de transformar nuestro entorno. Nuestros procesos están centrados en las personas, asegurando experiencias extraordinarias junto con nuestro talento y el nuevo Modelo Educativo Tec21. ¡Aquí encontrarás tu propósito! aprovecharás oportunidades innovadoras, formando parte de una cultura colaborativa basada en la inclusión, la meritocracia y el respeto.

¿Te consideras una persona con mucha pasión por nuevos retos, inquietud por aportar ideas innovadoras y sobre todo comprometido a transformar México a través de la educación?

¡Esta oportunidad es para ti!

¿Qué harás?

Siendo Especialista de TI, el reto principal es asegurar la calidad de los servicios de TI y dominar las herramientas tecnológicas que soportan la vida académica estudiantil y administrativa, resolviendo problemas y asegurando a los usuarios (profesores y alumnos) en dudas e inquietudes.

¿Cómo lo harás?

Tus Principales Retos Serán:

Proporcionar soporte técnico en la resolución de incidentes relacionados con los servicios de red, incluyendo la gestión y resolución de reportes de fallas en servicios de red de la marca CISCO (será un plus el conocimiento previo en la administración y configuración de tecnologías CISCO).
Apoyar en proyectos en planta física de contrucción, colaborando en la revisión de planos, administración, seguimiento y contacto con proveedores).
Realizar diagnósticos técnicos cuando se presenten fallas en la red dentro de edificios o aulas.
Apoyo en clases con conexiones de red y soporte tecnológico.

¿Qué buscamos?

Si estás cursando tus últimos semestres en Ingeniería de computación, electrónica, tecnologías de información o afin o eres recién graduado, y tienes el conocimiento de infraestructura tecnológica, infraestructura de red, conocimiento y/o operación de Switch de Core, Distribución, WAN, Wireless Controllers y servicio DHCP, Access Points, etc; tienes inglés técnico y te encantaría trabajar en un lugar para seguir aprendiendo y desarrollarte... ¡Te estamos buscando, postúlate ya!

¿Por qué trabajar con nosotros?

Nuestro talento es la fuerza que impulsa nuestro éxito. Su talento, dedicación y pasión son los pilares fundamentales de nuestra organización. Por ello, nos enfocamos en ofrecer beneficios de calidad que promuevan su equilibrio emocional, su bienestar financiero y su desarrollo profesional.

Esquema de trabajo: Presencial Lunes a Viernes de 12:00pm a 8:00pm (con horario de comida de 1 hora y media de 1:00pm a 2:30pm).

Contacto: Keren Orozco

Correo: keren.orozco@tec.mx

En el Tec de Monterrey actuamos bajo un principio de igualdad de oportunidades. Por ello no discriminamos por edad, origen étnico, nacionalidad, género, orientación sexual, estado civil, condición social, estado de salud, creencias religiosas, doctrina política o discapacidad.

Agradecemos tu interés en participar en nuestras vacantes. En caso de no ser contactado/a por el equipo de Atracción de Talento, te invitamos a continuar revisando nuevas oportunidades en el portal de Oportunidades de Crecimiento, si eres colaborador del TEC. Si eres candidato externo en jobs.tec.mx y aplicar a aquellas que se ajusten a tu perfil.

¡Síguenos!

Instagram: jobs.tec.mx
TikTok: jobs.tec.mx
Linkedin: Tecnológico de Monterrey"
Consultor de Reclutamiento y Selección de TI,Consultor de Reclutamiento y Selección de TI,Empresa Confidencial,May,2024,"Empresa líder en el sector tecnológico, comprometida con la innovación y el desarrollo de soluciones digitales. Ofrecemos un ambiente de trabajo dinámico y colaborativo, donde cada miembro del equipo tiene la oportunidad de crecer y desarrollarse profesionalmente.

Requisitos del puesto

· Educación mínima requerida: Universitario con título.
· Conocimientos avanzados de inglés, TI y reclutamiento TI.
· Experiencia previa en reclutamiento y selección de personal.


Responsabilidades del puesto

· Analizar los requerimientos del negocio para atraer al mejor talento.
· Identificar fuentes de reclutamiento efectivas para cobertura de vacantes.
· Realizar entrevistas y evaluaciones de candidatos.
· Coordinar desde el proceso de selección hasta el proceso de contratación..


Prestaciones y beneficios adicionales

· Sueldo mensual de 23,000 brutos
· Oportunidades de desarrollo profesional y crecimiento dentro de la empresa.
· Ambiente de trabajo colaborativo y motivador.
· Contratación temporal.
· Tiempo completo en modalidad 100% presencial zona sur CDMX."
Asesor educativo en tecnología,Asesor educativo en tecnología,ETC Iberoamérica,May,2024,"En busca de personal con autogestión, responsable y que sea capaz de otorgar un excelente servicio al cliente.

preferentemente carreras relacionadas a tecnologías de la información.

excelente oportunidad para crecer tu cv con certificaciones de talla internacional."
Especialista Tecnologías de la Información,Especialista Tecnologías de la Información,Corporación RICA,May,2024,"Descripción empresa:

En Corporación Rica formamos parte de la industria Mexicana de Coca-Cola (IMCC), el grupo de empresas dedicadas al embotellado y distribución de los productos de la familia Coca-Cola.Día con día nos motiva la convicción de ofrecer productos que se adapten al estilo de vida de cada persona y promover una visión positiva del mundo, a través de un servicio de excelencia que hoy abarca los estados de HIDALGO, MORELOS Y PUEBLA.

Misión del cargo:

Analizar, diseñar e implementar soluciones para las áreas administrativas de la empresa y asi facilitar los procesos.

Funciones del cargo:
- Soporte diario y mensual de primer nivel a las áreas administrativas de Grupo RICA mediante revisión y generación de reportes, requerimientos, datos maestros, documentación, pruebas, simulación de escenarios por errores en ambiente de pruebas para el correcto funcionamiento de las operaciones.2.- Seguimiento de ajustes y autorizacion de roles, transacciones de áreas administrativas en sistema para visualizacion de informacion y registros.3.- Monitoreo diario de procesos.4.- Monitoreo y seguimiento de mesa de ayuda en sistema para las áreas correspondientes.5.- Gestionar las plataformas para la actualización de accesos, funciones e incidencias.6.- Generar documentacion técnica y seguimiento a la informacion para el control de cualquier implementacion de las áreas administrativas.
Requisitos:
Lic/ Ing en Informática/ Sistemas o afín-Experiencia en sistemas computacionales, TI-Experiencia en área de servicio
Condiciones oferta:
Sueldo neto mensual: 13000
Beneficios:

Ofrecemos:- Seguridad Social-Vales de despensa- Aguinaldo (20 días)-Fondo de ahorro-Vacaciones de acuerdo a la Ley-Prima Vacacional-Capacitación constante

Descripción proceso de selección:

El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.

Para postular solo necesitas:

Postular a la oferta
Revisar tu email
Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial."
"IT Professionals, we are looking for you!","IT Professionals, we are looking for you!",ITJ,June,2024,"Buscamos talento para nuestras diferentes posiciones


Staff DevOps - Remote - URGENTE

Mid DevOps - Remote - URGENTE

Mid FullStack (Java 11, Spring boot, Docker, React, AWS) - Remote

Scrum Master Manager - Remote - URGENTE

Staff SalesForce Developer - Remote

Senior Product Owner (Data exp) - Remote - URGENTE

Mid System Engineer - Hybrid/Tijuana - URGENTE

Java Software Developer - Remote

Mid Governance Analyst - Remote - URGENTE

Associate Compliance Analyst - Remote - URGENTE

FullStack Developer - FrontEnd - Remote - URGENTE

Mid Mobile QA (Automation) - Remote


La ciudad de Tijuana, como muchas otras, ha sufrido con cierres masivos de compañías, contribuyendo así al crecimiento del desempleo. Sin embargo, en ITJ seguimos creciendo y creando excelentes oportunidades para profesionistas de IT.

Si estás en búsqueda de nuevas e interesantes proyectos en el área de software o conoces a alguien que está en búsqueda de nuevas oportunidades. ¡En ITJ tenemos oportunidades!, ofrecemos un sueldo competitivo, prestaciones de ley y:

°20 días de aguinaldo
°100% pago nómina
°12 días de vacaciones anuales
°8% fondo de ahorro
°11% vales de despensa
°seguro médico (dental, vista, seguro de vida)
°bono de reubicación en caso necesario
°reembolso por educación
°30% bono vacacional
°5,000 reembolso para equipo por trabajo remoto



Si estás interesado por favor contácteme y anexe su CV en inglés a carlos.niebla@itj.com o aplica por este medio!

Espero poder hablar contigo pronto.

¡Saludos!"
Especialista en TI,Especialista en TI,KEYENCE CORPORATION,May,2024,"Description
KEYENCE is a worldwide leader in the development and manufacturing of factory automation equipment ranging from automation sensors, measuring instruments, vision systems, laser markers and digital microscopes. Our innovative products meet customer requirements in every manufacturing and research industry.
This position will oversee setting up, managing and troubleshooting the technology systems to maintain computer and software networks. Their duties include responding to hardware problems, updating system software and tracking the data and communications used on their network.
Principle duties and tasks:
Responsible for offering a good response time and quality solutions related with IT and infrastructure support for all the employees.
Identifying key improvement areas on IT solutions on behalf of KEYENCE growth.
Provides technical support to coworkers for configuration of IT equipment, software, hardware and mobile devices.
Provides network and server administration and oversight, including monitoring security and backup protocols.
Make effectively communication with the rest of the company.
Qualifications:
Bachelor’s degree in engineering in computer systems or related.
At least 5-7 years of experience in similar roles.
Knowledge in: Microsoft Office 365, Active Directory, Windows OS, Phone System, Network, Internet Security.
Intermediate - Advanced English level (interview will be done in English).
Demonstrate a high degree of flexibility in adapting to different projects and new processes, providing operational solutions.

We offer:
Attractive fixed salary.
Additional performance bonus system.
Superior Benefits."
Administador de Sistemas y Seguridad Informática,Administador de Sistemas y Seguridad Informática,Multilog Internacional,June,2024,"El Administrador de Sistemas tiene un rol fundamental en el campo de ciber seguridad, el trabajo es crucial para garantizar el funcionamiento óptimo de los sistemas informáticos y redes de la empresa, si estas interesado y cubres con el perfil, te invitamos a formar parte de nuestra empresa.
 Responsabilidades
Planificar, organizar y gestionar las actividades informáticas de la empresa.
Analizar las necesidades de la empresa.
Planificar y dirigir la instalación y mantenimiento de redes, hardware y software.
Trabajar en los mecanismos de seguridad informática y/o coordinar a los proveedores externos para proteger la información de la compañía.
Desarrollar e implementar estrategias de gestión de cambios para la transformación digital de la empresa.
Capacitar y educar a los líderes de cada área sobre los enfoques de gestión de los sistemas.
Desarrollar e implementar políticas y procedimientos de seguridad de la información.
Garantizar la seguridad y privacidad de los datos.
Supervisar la administración del control de acceso a la información.
Supervisar el cumplimiento normativo de la seguridad de la información.
Responsable del equipo de respuesta ante incidentes de seguridad de la información.

Requisitos
Ingeniería en Ciencias de la computación o campo relacionado
5 años o más de experiencia como Administrador de Sistemas
Certificaciones comprobables
Fuertes habilidades analíticas
Organizado
Trabajo en equipo

Horario
Lunes a viernes de 9:00 a 18:00 hrs
Modalidad presencial
Una hora de comida

Salario
Salario neto mensual $42,000.00
Prestaciones de ley"
Mesa de servicio TI,Mesa de servicio TI,ROM Refacciones,April,2024,"Mainbit empresa de origen mexicano con más de 30 años de presencia en el giro de la compra, venta y distribución de equipos de computo. Somos expertos en redes, servidores, seguridad, monitoreo informático y soporte técnico.

NOS ENCONTRAMOS EN BÚSQUEDA ANALISTA DE MESA DE SERVICIOS / HELP DESK

Si Tienes Formación Académica Como

TSU Técnico/Ingeniería en sistemas, computación, Informática TI o afín comprobable (Indispensable contar con certificado de estudios)

Experiencia

Experiencia mínima de 1 año en atención al cliente (presencial, virtual, telefónica, call center, correo, etc.)
Mínimo 1 año de experiencia laboral conociendo herramientas de mesa de servicios (Service Now, Remedy, Service Desk)
Atención a las solicitudes entrantes vía telefónica, correo electrónico, mensajería instantánea o remota para el levantamiento y administración de tickets.
Conocimiento de gestión de incidencias y mesa de ayuda
Creación de reportes de los clientes

Habilidades Técnicas

Destreza en uso y manejo de sistemas operativos: Windows 7, 8.1 y 10
Destreza en el uso y manejo de paquetería de Office 365 /correo Outlook mínimo un 70%

Competencias De Liderazgo y Ejecución

Atención al cliente
Comunicación efectiva
Enfoque a resultados
Proactivo/a
Dinámico/a, con Iniciativa, con adaptabilidad y responsabilidad

¡ESTA VACANTE ES PARA TI!

Ofrecemos

Salario $10,400 mensuales
Prestaciones de Ley
Prestaciones Superiores
Tarjeta red de descuentos
Horario fijo de Lunes a Viernes
Crecimiento interno

¡POSTULATE POR ESTE MEDIO Y EN BREVE NOS COMUNICAREMOS CONTIGO!"
