Position,Company_Name,Location,Post_Month,Post_Year,Details
"Security Analyst, Incident Response","Security Analyst, Incident Response",Lyft,May,2024,"At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.

Lyft connects people to transportation to change the way we live and get around our communities. Lyft’s engineering team is growing rapidly, and we are looking for Security Engineers to help us scale. Come be part of a new team at Lyft focused on enabling and empowering engineering teams to deliver at scale.

Our drivers and passengers entrust Lyft with their personal information and travel details to get where they're going and expect us to keep that data safe. Lyft's security team leads efforts across the company to ensure our systems are secure and worthy of our users' trust.

Lyft Security builds systems to protect and defend infrastructure and services from cyber attacks. We consult with teams as they build and launch new products and features, proactively plans for the unexpected, and responds to incidents that occur. Our work has company wide impact and takes place at all levels of the stack, from infrastructure to web application security, as well as mobile apps, IT, bikes, scooters, etc. We believe in scaling security through engineering fundamentals, automation, and tooling. Check out our blog posts at https://eng.lyft.com/tagged/security to learn more about some of the things we’ve built.

The Incident Response team owns identification, and response of security indents as well as our proactive hypothesis based Threat Hunting program.

The Security Analyst is part of the detection and response group obsessed with quality of security alerts, feedback loops to respond quickly to incidents, reducing time to detect and executing proactive actions.

Responsibilities:

Swiftly Respond to Security Incidents:

Respond promptly to security incidents by orchestrating coordinated responses across engineering teams and other relevant disciplines.

Analyze and Prioritize High-Quality Security Alerts:

Assess and prioritize security alerts of high quality with the potential to impact the organization, based on SOCLess approach

Collaborate with the Detection Engineering Team:

Work closely with the Detection Engineering Team to identify and implement new security strategies aimed at detecting threats, reducing the attack surface, and enhancing the organization's overall cybersecurity posture.

Conduct Proactive Threat Hunting Operations:

Define and execute proactive threat hunting operations across the organization's systems and services, aiming to uncover detection gaps, identify weaknesses in security controls, and refine existing processes.

Assess the Organization's Threat Landscape:

Evaluate the threat landscape specific to the organization to prioritize proactive security measures and actions.

Develop Automation and Tooling:

Create and maintain automation tools to enhance the efficiency and impact of the incident response team's activities.

Cultivate and Maintain Key Partnerships:

Establish and nurture relationships with critical partners both within the organization and externally to foster collaboration and information sharing.

Experience, Knowledge and Skills:

Cybersecurity Knowledge:

A deep understanding of cybersecurity principles, including threat landscape, attack vectors, and security best practices
knowledge of security frameworks, standards, and compliance requirements relevant to your industry (e.g., NIST, ISO 27001). (Nice to have)

Technical:

Proficiency in using security tools and technologies such as SIEM (Security Information and Event Management), EDR (Endpoint Detection and Response), and IDS/IPS (Intrusion Detection System/Intrusion Prevention System)
Strong understanding of operating systems (Windows, Linux, macOS) and their security features.
Scripting and automation skills, experience with cloud technologies such as AWS/GCP and their tech stack

Incident Detection and Analysis:

Experience in monitoring and analyzing security alerts and events generated by security systems.
The ability to identify and investigate potential security incidents and determine their severity.
knowledge of structure analysis techniques and decision making as OODA loop.

Incident Response Experience:

Hands-on experience with incident response processes, including identification, containment, eradication, and recovery.
Experience in handling different types of security incidents, such as malware infections, data breaches, insider threats, zero day vulnerabilities, third-party

Threat Hunting Experience (Nice to have):

Proven ability to proactively identify and investigate potential threats and vulnerabilities in the organization's environment.
Familiarity with threat hunting techniques, including TTPs (Tactiques, technique and procedures) analysis, anomaly detection, and behavior analysis.
Experience in creating and refining threat hunting camping based on hypothesis or cyber threat intelligence.

Communication Skills:

Strong communication skills to collaborate effectively with other team members, stakeholders, and management.
Ability to document incident response and threat hunting activities clearly and concisely.
The ability to adapt to evolving cybersecurity threats and technologies and stay current with industry trends
Ability to manage multiple tasks and priorities, and work independently with minimal supervision

Certifications: Although we are not requiring security certification, the following could be a plus to be considered:

Certified Incident Handler (GCIH)
Certified Threat Intelligence Analyst (CTIA)
CompTIA Security+
Certified SOC Analyst (CSA+)
vendor-specific certifications

This role will be in-office on a hybrid schedule if an established Lyft Location is available to the Mexico City region — Hybrid Team Members will be expected to work in the office 3 days per week on Mondays, Thursdays and a team-specific third day. Additionally, hybrid roles have the flexibility to work from anywhere for up to 4 weeks per year. #Hybrid"
Problem & Incident Analyst Sr,Problem & Incident Analyst Sr,Getecsa,May,2024,"Somos una empresa líder de gestión de capital humano y servicios tecnológicos con más de 15 años en el mercado nacional y Centro América, ofreciendo un valor agregado y solución a los procesos de consultoría de TI, atracción de talento, pruebas de Software y centro de desarrollo.

Teniendo siempre la satisfacción de nuestros clientes y el desempeño profesional de nuestros colaboradores.

En Getecsa estamos comprometidos a brindar la mejor experiencia, a seguir innovando y dirigirnos con honestidad, respeto y compromiso.

¡La oportunidad de crecer está en tus manos! únete a nuestro equipo de trabajo!.

Problem & Incident Analyst Sr

Summary

Main role is to oversee the problem management process for finance and accounting and HR outsourcing vendor relationship, preventing incidents from happening as well as minimizing the impact of incidents that can't be prevented. The problem manager identifies, prioritizes and assigns responsibility for problems and then manages them through the entire process to solution. You’ll work closely with key stakeholders across finance & accounting organizations in CEMEX to maintain consistency at a global scale and align the content strategy with their vision.

Responsibilities

Track and communicate progress of problem(s) to relevant stakeholders
Review progress/results with client and/or (senior) management
Maintain Known Error database updated
Problem management reporting and metrics
Drive the process the adherence during any Incident Handling
Participate in the Incidents to ensure that all parties contribute to the resolution
Coordinate between multiple support teams and with vendors to avoid incident recurrence
Validate the Incident Report for the appropriate update and ensure that the RCA is delivered as required

Requirements

Bachelor’s degree in computer science, Business or related.
Experienced in definition of business Services and technology.
ITIL foundation (v3/v4) required.
Strong verbal/ written communication, with the ability to interact with all levels of responsibility and authority.
Ability to prioritize the development of high-performance teams driven by customer service and teamwork.
Full-time (hybrid) – Office on Monday & Tuesday / Remote on rest of the week

Soft Skills And Competencies

Analytical and problem solving skills.
Proactivity and self-management"
SOC Analyst N1,SOC Analyst N1,Cybolt,May,2024,"Cybolt es una empresa de ciberseguridad con visión de futuro dedicada a hacer del ciberespacio un lugar

¿Te apasiona la ciberseguridad? ¡Esta es tu oportunidad de formar parte de nuestro equipo en una empresa líder en el sector de ciberseguridad!

Analista SOC L1

Objetivos:

Identificar, analizar y reportar eventos que ocurren dentro de la red con el fin de proteger la información, sistemas de información y redes de amenazas.
Reconocer eventos corolarios o potencialmente relacionados para identificar tendencias e impactos en la postura de seguridad de la organización y mitigar proactivamente los riesgos asociados.
El candidato debe estar familiarizado con las tecnologías SOC, la supervisión, la identificación de amenazas, el análisis de incidentes de seguridad, la mitigación y la resolución.

Requisitos:

Escolaridad: Lic. / Ing. en carrera afín con Tecnologías de información

Experiencia: 1 año de experiencia relevante en Ciberseguridad o en un NOC / SOC. en la administración de Palo Alto

Beneficios

Contratación directa por la empresa.

Sueldo mensual 100% nominal.

Prestaciones de ley y superiores.

Seguro de Gastos médicos mayores, vida, dental y visual.

Apoyo en cursos y certificaciones.

Programa de beneficios y descuentos.

Capacitación constante

Zona de trabajo: Metepec o CDMX"
Associate Major Incident Analyst,Associate Major Incident Analyst,A.P. Moller - Maersk,May,2024,"At Maersk, we have a vision larger than the ocean: to be a true integrator of container logistics connecting and simplifying our customers’ supply chain. We count on our people to make it happen.

Besides focusing on creating value for our customers and the business, a key priority for us is to drive personal and professional development for our people to prepare for further career progression.

We value the diversity of our talent and will always strive to recruit the best person for the job. If you believe you would add value to Maersk but don’t meet all the criteria we have included in this advert, we would still love to hear from you.

We Offer:

We offer you an exciting global career at the forefront of world trade. And thanks to our global scale, you will be well-positioned to explore opportunities at Maersk around the world. The many other highlights include the most modern talent development initiatives and competitive benefits. We are proud of our people who define our company’s industry leadership, global team culture and customer-centric focus every day.

Key Responsibilities:

Technology Operations is responsible for day-to-day maintenance and management of organization’s IT infrastructure to ensure delivery of the agreed level of IT services to the business. As an Associate Major Incident Analyst you will play a key role with the 24/7 Technology Operations Centre based in Mexico City. You will coordinate and facilitate high-priority major incident service restoration and mitigation as quickly as possible. You will also manage, maintain, support, and improve the Maersk IT Support, Operations, and Engineering department’s ability to respond to incidents across the entirety of the IT Infrastructure estate.

Required Experience:

1+ years of overall experience in IT industry (service desk, problem management, incident management).
Experience with risk analysis with a proven ability to clearly communicate plans / goals to a set of diverse audience (technical and non-technical)
Demonstrable experience in a fast-paced operations environment.
Strong problem solving, analytical, and time management skills.
Broad knowledge of industry standard enterprise applications services
Broad understanding of change and problem management for establishing handshake between processes.

Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.

We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing accommodationrequests@maersk.com.

Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.

We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing accommodationrequests@maersk.com."
"Problem & Incident Analyst Sr - Advanced English - In-person Monterrey, N.L","Problem & Incident Analyst Sr - Advanced English - In-person Monterrey, N.L",Deintec,May,2024,"Are you looking to be part of a leading, innovative, inclusive and collaborative company that allows you to grow and balance your personal and work life?

If so, congratulations! DEINTEC is for you. We are a 100% Mexican consulting company, specialized in Information Technology that collaborates with clients from various sectors (such as: pharmaceutical, metallurgical, technological, gases, etc.) and countries, and we are looking for people passionate about IT, like you .

Discover below the vacancy we have for you!

Problem & Incident Analyst Sr

Education: Career in computing or related fiel
Availability: Immediate
Language: Advanced Englis
Minimum experience: +5 years

We offer

Attractive salary that is in line with your experience and the opportunity for economic growt
Legal benefits (such as: vacation bonus, IMSS, Christmas bonus, etc.)
Working: Monday to Frida
Time: Determined (10 MONTHS)
Work location and format: In-person. Monterrey, Nuevo León, México

Summary

Main role is to oversee the problem management process for finance and accounting and HR outsourcing vendor relationship, preventing incidents from happening as well as minimizing the impact of incidents that can't be prevented.

The problem manager identifies, prioritizes and assigns responsibility for problems and then manages them through the entire process to solution.

You’ll work closely with key stakeholders across finance & accounting organizations in CEMEX to maintain consistency at a global scale and align the content strategy with their vision.

Responsibilities

Track and communicate progress of problem(s) to relevant stakeholders
Review progress/results with client and/or (senior) management
Maintain Known Error database updated
Problem management reporting and metrics
Drive the process the adherence during any Incident Handling
Participate in the Incidents to ensure that all parties contribute to the resolution
Coordinate between multiple support teams and with vendors to avoid incident recurrence
Validate the Incident Report for the appropriate update and ensure that the RCA is delivered as required

Requirements

Bachelor's Degree in Computer Science, Business or related.
Experienced in definition of business Services and technology.
ITIL foundation (v3/v4) required.
Strong verbal/ written communication, with the ability to interact with all levels of responsibility and authority.
Ability to prioritize the development of high-performance teams driven by customer service and teamwork.

If you fit the profile, apply!"
Senior Incident Response Analyst,Senior Incident Response Analyst,Thomson Reuters,May,2024,"Are you passionate about the chance to bring your experience to a world-class company that is market-leading for both content and technology? If yes, we are looking for you!

Join our team! Thomson Reuter’s Incident Response (IR) team is seeking a motivated and experienced Senior Incident Response Analyst to support our Corporate Global Cyber Security efforts. In this challenging and rewarding role, you will lead the coordination of tactical incident management activities and drive the execution of the function’s maturity activities, such as improvements to our cross-functional security incident management processes.

We are looking for an individual with strong organizational and process management skills who can work in high-stress situations while communicating clearly & effectively to technical and business stakeholders.

About The Role

In this opportunity as a Senior Incident Response Analyst, you will:

Support incident management coordination through its lifecycle, from activation of the appropriate cross-functional partners through closure.
Engage partners during incident management calls to ensure they have a clear understanding of the incident, its action plan and path to resolution, and their role in the process.
Manage all applicable incident collateral, including executive communications and reports.
Partner with other security teams to identify and drive cross-functional process improvements.
Assess overall incident management & response capabilities to develop and drive process improvements.
Operate as part of a 24x7 global incident response team with an understanding and flexibility to work off-hours when necessary.
Advise leadership on strategies to improve security operations and proactively thwart intrusion attempts
Define risk, analyze potential threats, and lead process improvement initiative
Work with a diverse team of security professionals to address complex issues and tasks in a fast-paced environment.


About You:

You’re a fit for the role if your background includes:

Have obtained a bachelor’s degree or equivalent experience - a degree in an Information Technology or Systems related subject area is preferred but not required.
Have 3+ years of experience supporting and leading processes or programs in Information Technology or Security.
Have solid organizational and critical-thinking skills and demonstrate close attention to detail and care in your work.
Are effective written and oral communicators.
Have the ability to learn and operate in a dynamic environment, comfortable with ambiguity and fast turn-around times.
Exhibit good interpersonal skills and can influence/execute across multiple stakeholder groups.
Are a quick learner and have a demonstrated ability to distill complex information into quickly digestible reports & presentations for executives.
Are comfortable with a flexible schedule, including working off-hours and weekends if necessary.
Ability to learn and operate in a dynamic environment
Ability to demonstrate analytical expertise, close attention to detail, excellent critical thinking, logic, and solution orientation, and to learn and adapt quickly
Strong oral and written communication skills
A Strong desire to develop into a Cybersecurity subject matter expert with an initial focus on the incident response domain


Desired knowledge or experience:

SANS GIAC, CompTIA Security+ CE, or similar professional security certifications
Experience with ServiceNow or similar service management/ticketing systems
Experienced with processes, tools, and techniques in incident response and forensic investigations
Experience using event escalation and reporting procedures
Experience supporting Network Investigations
Understanding TCP/IP communications & knowledge of how standard protocols and applications work at the network level, including DNS, HTTP, and SMB
Understanding of standard security controls for Windows, Linux, and network equipment
Strong knowledge of cyber investigations, containment, gathering of artifacts, and case management


To apply, please upload your updated resume in English.

Location: CDMX

What’s in it For You?

You will join our inclusive culture of world-class talent, where we are committed to your personal and professional growth through:

Hybrid Work Model: We’ve adopted a flexible hybrid working environment for our office-based roles while delivering a seamless experience that is digitally and physically connected.
Culture: Globally recognized and award-winning reputation for equality, diversity and inclusion, flexibility, work-life balance, and more
Wellbeing: Comprehensive benefit plans; flexible and supportive benefits for work-life balance: company-wide Mental Health Day Off; Headspace app subscription, and employee incentive programs; resources for mental, physical, and financial wellbeing
Learning & Development: LinkedIn Learning access; internal Talent Marketplace with opportunities to work on projects cross-company; Ten Thousand Coffees Thomson Reuters café networking.
Social Impact: Eight employee-driven Business Resource Groups; two paid volunteer days annually; Environmental, Social and Governance (ESG) initiatives for local and global impact
Purpose Driven Work: We have a superpower that we’ve never talked about with as much pride as we should – we are one of the only companies on the planet that helps its customers pursue justice, truth and transparency. Together, with the professionals and institutions we serve, we help uphold the rule of law, turn the wheels of commerce, catch bad actors, report the facts, and provide trusted, unbiased information to people all over the world.


Do you want to be part of a team helping re-invent the way knowledge professionals work? How about a team that works every day to create a more transparent, just and inclusive future? At Thomson Reuters, we’ve been doing just that for almost 160 years. Our industry-leading products and services include highly specialized information-enabled software and tools for legal, tax, accounting and compliance professionals combined with the world’s most global news services – Reuters. We help these professionals do their jobs better, creating more time for them to focus on the things that matter most: advising, advocating, negotiating, governing and informing.

We are powered by the talents of 26,000 employees across more than 70 countries, where everyone has a chance to contribute and grow professionally in flexible work environments that celebrate diversity and inclusion. At a time when objectivity, accuracy, fairness and transparency are under attack, we consider it our duty to pursue them. Sound exciting? Join us and help shape the industries that move society forward.

Accessibility

As a global business, we rely on diversity of culture and thought to deliver on our goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.

We also make reasonable accommodations for qualified individuals with disabilities and for sincerely held religious beliefs in accordance with applicable law.

Protect yourself from fraudulent job postings click here to know more.

More information about Thomson Reuters can be found on https://thomsonreuters.com."
Senior Incident Response Analyst,Senior Incident Response Analyst,Reuters News Agency,April,2024,"Job Description

Senior Incident Response Analyst

Are you passionate about the chance to bring your experience to a world-class company that is market-leading for both content and technology? If yes, we are looking for you!

Join our team! Thomson Reuter’s Incident Response (IR) team is seeking a motivated and experienced Senior Incident Response Analyst to support our Corporate Global Cyber Security efforts. In this challenging and rewarding role, you will lead the coordination of tactical incident management activities and drive the execution of the function’s maturity activities, such as improvements to our cross-functional security incident management processes.

We are looking for an individual with strong organizational and process management skills who can work in high-stress situations while communicating clearly & effectively to technical and business stakeholders.

About The Role

In this opportunity as a Senior Incident Response Analyst, you will:

Support incident management coordination through its lifecycle, from activation of the appropriate cross-functional partners through closure.
Engage partners during incident management calls to ensure they have a clear understanding of the incident, its action plan and path to resolution, and their role in the process.
Manage all applicable incident collateral, including executive communications and reports.
Partner with other security teams to identify and drive cross-functional process improvements.
Assess overall incident management & response capabilities to develop and drive process improvements.
Operate as part of a 24x7 global incident response team with an understanding and flexibility to work off-hours when necessary.
Advise leadership on strategies to improve security operations and proactively thwart intrusion attempts
Define risk, analyze potential threats, and lead process improvement initiative
Work with a diverse team of security professionals to address complex issues and tasks in a fast-paced environment.

About You

You’re a fit for the role if your background includes:

Have obtained a bachelor’s degree or equivalent experience - a degree in an Information Technology or Systems related subject area is preferred but not required.
Have 3+ years of experience supporting and leading processes or programs in Information Technology or Security.
Have solid organizational and critical-thinking skills and demonstrate close attention to detail and care in your work.
Are effective written and oral communicators.
Have the ability to learn and operate in a dynamic environment, comfortable with ambiguity and fast turn-around times.
Exhibit good interpersonal skills and can influence/execute across multiple stakeholder groups.
Are a quick learner and have a demonstrated ability to distill complex information into quickly digestible reports & presentations for executives.
Are comfortable with a flexible schedule, including working off-hours and weekends if necessary.
Ability to learn and operate in a dynamic environment
Ability to demonstrate analytical expertise, close attention to detail, excellent critical thinking, logic, and solution orientation, and to learn and adapt quickly
Strong oral and written communication skills
A Strong desire to develop into a Cybersecurity subject matter expert with an initial focus on the incident response domain

Desired Knowledge Or Experience

SANS GIAC, CompTIA Security+ CE, or similar professional security certifications
Experience with ServiceNow or similar service management/ticketing systems
Experienced with processes, tools, and techniques in incident response and forensic investigations
Experience using event escalation and reporting procedures
Experience supporting Network Investigations
Understanding TCP/IP communications & knowledge of how standard protocols and applications work at the network level, including DNS, HTTP, and SMB
Understanding of standard security controls for Windows, Linux, and network equipment
Strong knowledge of cyber investigations, containment, gathering of artifacts, and case management

To apply, please upload your updated resume in English.

Location: CDMX

What’s in it For You?

You will join our inclusive culture of world-class talent, where we are committed to your personal and professional growth through:

Hybrid Work Model: We’ve adopted a flexible hybrid working environment for our office-based roles while delivering a seamless experience that is digitally and physically connected.
Culture: Globally recognized and award-winning reputation for equality, diversity and inclusion, flexibility, work-life balance, and more
Wellbeing: Comprehensive benefit plans; flexible and supportive benefits for work-life balance: company-wide Mental Health Day Off; Headspace app subscription, and employee incentive programs; resources for mental, physical, and financial wellbeing
Learning & Development: LinkedIn Learning access; internal Talent Marketplace with opportunities to work on projects cross-company; Ten Thousand Coffees Thomson Reuters café networking.
Social Impact: Eight employee-driven Business Resource Groups; two paid volunteer days annually; Environmental, Social and Governance (ESG) initiatives for local and global impact
Purpose Driven Work: We have a superpower that we’ve never talked about with as much pride as we should – we are one of the only companies on the planet that helps its customers pursue justice, truth and transparency. Together, with the professionals and institutions we serve, we help uphold the rule of law, turn the wheels of commerce, catch bad actors, report the facts, and provide trusted, unbiased information to people all over the world.

Do you want to be part of a team helping re-invent the way knowledge professionals work? How about a team that works every day to create a more transparent, just and inclusive future? At Thomson Reuters, we’ve been doing just that for almost 160 years. Our industry-leading products and services include highly specialized information-enabled software and tools for legal, tax, accounting and compliance professionals combined with the world’s most global news services – Reuters. We help these professionals do their jobs better, creating more time for them to focus on the things that matter most: advising, advocating, negotiating, governing and informing.

We are powered by the talents of 26,000 employees across more than 70 countries, where everyone has a chance to contribute and grow professionally in flexible work environments that celebrate diversity and inclusion. At a time when objectivity, accuracy, fairness and transparency are under attack, we consider it our duty to pursue them. Sound exciting? Join us and help shape the industries that move society forward.

Accessibility

As a global business, we rely on diversity of culture and thought to deliver on our goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.

We also make reasonable accommodations for qualified individuals with disabilities and for sincerely held religious beliefs in accordance with applicable law.

Protect yourself from fraudulent job postings click here to know more.

More information about Thomson Reuters can be found on https://thomsonreuters.com."
Cybersecurity Incident Response Specialist,Cybersecurity Incident Response Specialist,Azkait,May,2024,"AZKAIT es una empresa Mexicana que busca y conecta el mejor talento IT con empresas Latinoamericanas y de Estados Unidos.

Estamos en la búsqueda de tu talento como IT Cyber Defense Specialist.

Requisitos:

Como IT Cyber Defense Specialist serás responsable de identificar las desviaciones locales/regionales relevantes en materia de seguridad de TI y garantizar la implementación de medidas para remediar las desviaciones de los estándares de seguridad de TI definidos.

Requisitos:

Inglés Conversacional Avanzado (Indispensable)
Licenciatura o Ingeniería en Sistemas o afín concluida
A partir de 3 años de experiencia en Ciberdefensa o roles similares como ciberseguridad, respuesta a incidentes o inteligencia de amenazas.
Experiencia trabajando con sistemas de prevención de intrusiones (IDS)(IPS)

Conocimientos:

Experiencia práctica en la dirección de CSIRT / respuesta y resolución a incidentes de seguridad informática
Conocimientos y experiencia práctica en Network, Firewalls, detección y prevención de intrusiones, herramientas de gestión de clientes
Experiencia en herramientas como Splunk, Endpoint o Nessus

Prestaciones y Beneficios:

Contratación 100% en nómina
Prestaciones de Ley y Superiores
Aguinaldo
Prima vacacional
Fondo de Ahorro
Vales de despensa
Bono a mitad de año
Bono por cumplimiento de metas anual

Lugar de trabajo:

Oficinas ubicadas en Monterrey, Blvd. Antonio L. Rodríguez
Modalidad de trabajo híbrido (1 Semana Onsite, 2 semanas Home Office)"
Analista de ciberseguridad de la información,Analista de ciberseguridad de la información,TRUST People Solutions,May,2024,"Empresa encargada de proveer soluciones y servicios en comunicaciones unificadas y redes convergentes de voz y datos se encuentra en búsqueda de

Analista de ciberseguridad de la información -DLP-SIEM-Endpoints

Funciones:

Operar las plataformas de seguridad de CAT
Implementar nuevas herramientas de seguridad
Realizar monitoreo y detección de actividad sospechosa
Generar alertas sobre posibles amenazas
Ejecutar procesos de enriquecimiento de observables
Analizar artefactos maliciosos (primer nivel)
Generar reportes de desempeño y eficiencia de las plataformas de seguridad

Requisitos:

Titulado
Experiencia de al menos 1 año en:
Herramientas de seguridad
Endpoints
Servidores
DLP, SIEM
Análisis de información
Plataformas de inteligencia Power BI
Estándares de seguridad
Certificación CEH, EICH

La posición ofrece

Rango de sueldo $30,000 a 35,000 brutos de acuerdo a experiencia.

Ubicación: Reforma, CDMX

Modalidad: Presencial

Beneficios: De ley

Ayuda en cursos y certificaciones"
Cybersecurity Analyst II - PCI,Cybersecurity Analyst II - PCI,The Home Depot Global Technology Center In Mexico,June,2024,"In this role supporting the Secure Solution Advisors, you will have the opportunity to be a part and contribute to building the secure solution advisory program aligned to designated IT portfolios. The emphasis will be on providing excellent customer service and understanding business requirements. You will consult on key business initiatives ensuring comprehensive end-to-end risk identification and management. You will advise teams regarding remediation of vulnerability, configuration, and other security deficiencies. You will have the opportunity to coach customers to mature their understanding of security tools. This role requires cross-functional collaboration to identify trends, solve problems, ability to build relationships, influence without authority and drive outcomes across multiple stakeholder groups.
Preferred Qualifications:
least 2-3 years in an analyst role within cybersecurity or as an engineer on an IT team with a security focus
to provide clear oral and written communication to a variety of business and technical audiences.
resolution of cyber findings and PCI vulnerabilities.
with our advisory program aligned with designated IT portfolios.
on key business initiatives.
large datasets and provide risk metrics/themes through dashboards or presentations.
related certifications like CompTIA+, CISSP, etc., an added plus"
