Position,Company_Name,Location,Post_Month,Post_Year,Details
"Senior Manager, IT Service Assurance (Remote)","Senior Manager, IT Service Assurance (Remote)",Fortrea,May,2024,"As a leading global contract research organization (CRO) with a passion for scientific rigor and decades of clinical development experience, Fortrea provides pharmaceutical, biotechnology, and medical device customers a wide range of clinical development, patient access and technology solutions across more than 20 therapeutic areas. With over 19,000 staff conducting operations in more than 90 countries, Fortrea is transforming drug and device development for partners and patients across the globe.

The Senior Manager, IT Service Assurance is a key managerial position within the IT Service Delivery organization responsible for overseeing the performance and compliance of IT services in alignment a Service Integration and Management (SIAM) framework. This role involves leading two critical areas: IT Service Compliance and IT Service Performance (Excellence), ensuring that IT services meet enterprise standards and contractual obligations, both driving towards a continuous improvement way of working.

Summary of Responsibilities:

Develop and implement a comprehensive IT service assurance strategy that focuses on service performance, service feedback, service provider Scorecarding, service optimization and continuous improvement.
Provide oversight and governance of service performance outcomes thru SLAs and KPIs reporting.
Direct the Service Improvement Plan (SIP) and Performance Improvement Plan (PIP) processes to enhance service quality continuously.
Ensure IT services adhere to internal policies, industry standards, and regulatory requirements.
Lead compliance audit activities, risk assessments, IT portfolio assessments, and track DR/BCP SOP versioning and test execution across the enterprise.
Represent the IT Service Delivery CoE to executive and senior leadership, IT teams and stakeholders, and external partners and service providers.
Ensure effective communication of service assurance strategies and performance metrics across all levels of the organization.
Monitor and manage relationships with service providers under the SIAM model.
Partner with IT Service Design vertical in negotiating amendments to managed service contracts to optimize service delivery and ensure they meet the strategic needs of the organization.


Qualifications (Minimum Required):

Bachelor’s degree in information technology, computer science, or related fields. Fortrea may consider relevant and equivalent experience in lieu of educational requirements.
ITIL v3 and v4 Certified (Expert/Leader/Master)


Experience (Minimum Required):

Minimum 7-10 years of experience managing people across globally distributed teams
Minimum 7-10 years of experience in IT service management leadership with focus on definition, delivery and governance.
Proven track record of successful delivery within a managed service provider operating model.
Proficient in the use of IT service management tools and technologies. Experience with ServiceNow (a must) or emerging technology vendors, with implementation experience a plus.
Excellent analytical, problem-solving, and decision-making skills, with the ability to prioritize and manage multiple tasks in a fast-paced environment.
Experience in design, management, and testing of IT Disaster Recovery plans.
Experience in project management and knowledge of agile methodologies is a plus.
Exceptional written and verbal communication and interpersonal skills.
Demonstrated ability to partner with business stakeholders and navigate across conflicting priorities to balance critical tactical and strategic needs.
Demonstrated ability to effectively collaborate and communicate with a variety of audiences and stakeholders including executive management, business leaders, IT peers, and colleagues.
Strategic thinker, with demonstrated ability to work in a broad and top-down manner with a fair amount of ambiguity at the center.
Results-orientation with the proven ability and reputation for developing plans and implementing them successfully.
Self-directed, self-motivated, and driven who can fill in the gaps as to what is needed, and to drive expected results.


Preferred Qualifications Include:

Experience in the Pharma/CRO/Life Sciences sector.
Familiarity with GxP, GDPR, SOX, HIPAA, and other regulatory standards.


Physical Demands / Work Environment:

Ability to work remotely, communicate verbally, in writing, and view on-screen content.




#FutureOfTech

Fortrea is actively seeking motivated problem-solvers and creative thinkers who share our passion for overcoming barriers in clinical trials. Our unwavering commitment is to revolutionize the development process, ensuring the swift delivery of life-changing ideas and therapies to patients in need. Join our exceptional team and embrace a collaborative workspace where personal growth is nurtured, enabling you to make a meaningful global impact. For more information about Fortrea, visit www.fortrea.com.

Fortrea is proud to be an Equal Opportunity Employer:

As an EOE/AA employer, Fortrea strives for diversity and inclusion in the workforce and does not tolerate harassment or discrimination of any kind. We make employment decisions based on the needs of our business and the qualifications of the individual and do not discriminate based upon race, religion, color, national origin, gender (including pregnancy or other medical conditions/needs), family or parental status, marital, civil union or domestic partnership status, sexual orientation, gender identity, gender expression, personal appearance, age, veteran status, disability, genetic information, or any other legally protected characteristic. We encourage all to apply.

For more information about how we collect and store your personal data, please see our Privacy Statement."
Analista de Seguridad Informática,Analista de Seguridad Informática,KTI Talent Indicator,May,2024,"En KTI Key Talent Indicator, buscamos un apasionado y altamente capacitado Especialista en Ciberseguridad para proteger nuestros sistemas informáticos y datos sensibles. Si te apasiona el mundo de la ciberseguridad y quieres marcar una diferencia real, ¡únete a nuestro equipo!

Descripción Del Puesto

Como Especialista en Ciberseguridad, serás responsable de todos los aspectos relacionados con la seguridad informática, desde la prevención hasta la detección y contención de ciberataques. Tu misión será mantener nuestros sistemas seguros y nuestros datos protegidos.

Responsabilidades Clave

Prevención Proactiva: Diseñar y ejecutar planes de acción robustos para prevenir ciberataques y mantener nuestros sistemas protegidos.
Detección y Respuesta: Monitorear continuamente los sistemas informáticos para detectar fallos y ataques maliciosos, respondiendo rápidamente para mitigar riesgos.
Auditorías y Consultorías: Realizar auditorías exhaustivas y proporcionar consultorías expertas para asegurar que nuestros archivos y sistemas estén libres de intrusos y amenazas.

Requisitos

Experiencia comprobada en ciberseguridad y gestión de incidentes.
Conocimiento profundo de herramientas y técnicas de seguridad informática.
Capacidad para realizar auditorías de seguridad y desarrollar planes de prevención.
Excelentes habilidades de análisis y resolución de problemas.
Habilidades de comunicación efectivas y capacidad para trabajar de manera remota en un equipo colaborativo.

Beneficios

Teletrabajo: Disfruta de la flexibilidad de trabajar desde cualquier lugar.
Horario Flexible: Trabaja de 9 a 17 horas, asegurando un equilibrio perfecto entre vida laboral y personal.
Salario Competitivo: Ofrecemos un salario bruto anual de 25.000€, con oportunidades de crecimiento profesional.
Entorno Innovador: Únete a un equipo dinámico y participa en proyectos que están transformando el sector de la tecnología.

Sector: Tecnología

¡No pierdas esta oportunidad de ser el héroe de la ciberseguridad! Envía tu solicitud ahora y forma parte de KTI Key Talent Indicator, donde transformarás datos en decisiones estratégicas y protegerás nuestro futuro digital."
Operador y Analista de seguridad informática,Operador y Analista de seguridad informática,EducacionIT,April,2024,"Se busca técnico en seguridad informática para trabajar en importante empresa financiera.

Más de 2 años de experiencia comprobable en tareas de seguridad informática.

Es EXCLUYENTE indicar remuneración pretendida en BRUTO.

Modalidad híbrida.

Responsabilidades

Implementar, gestionar y documentar soluciones de seguridad.
Investigar y responder a incidentes de seguridad.
Control de accesos y de usuarios.
Batch Nivel Medio (Linux/Windows)
Gestión de Certificados

Requisitos

Formación técnica en seguridad informática.
Experiencia mínima COMPROBABLE de 2 años en el sector.
Conocimientos de scripting en PowerShell y bash Linux. (NO EXCLUYENTE)
Manejo de Active Directory o gestión de usuarios
Conocimientos en Gestión de Certificados

Ofrecemos

Salario competitivo
Beneficios sociales
Oportunidades de desarrollo profesional

Si estás interesado en esta oportunidad, envía tu CV y remuneración pretendida en BRUTO (EXCLUYENTE)."
Information Security Analyst,Information Security Analyst,Launchpad Technologies Inc.,May,2024,"Launchpad, a people-first technology company, is a leader in North America´s rapidly growing tech sector. Through two solutions, Launchpad supports its clients with digital transformation:

PaasportTM, our iPaaS solution, streamlines software integration and automates workflows.
Nearshore Staff Augmentation, our managed IT staffing service, connects top IT talent across various geographical regions, bringing industry expertise to leading clients.

Based in Vancouver, Canada, our operational footprint spans across North and South America, with a second headquarters in Santiago, Chile.

In 2023, our unwavering dedication to innovation garnered recognition as a Deloitte Technology Fast 50™ Program Company. Our clientele boasts industry leaders such as Walmart, GM, TIME Magazine, Salesforce, Tableau, Splunk, Bolt.com, Freedom House, and more.

At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then we’d love to hear from you.

Are you a skilled Information Security Analyst eager to explore new opportunities? We want to introduce you to our Information Security Analyst talent pool. While we may not have an immediate opening, we are building a selected pool of professionals for upcoming projects. At Launchpad, we value innovation and expertise. By being part of our Talent Pool, you're positioning yourself for exciting opportunities in the future.

Why join our Talent Pool?

Stay ahead: By becoming a part of our Talent Pool, you'll be first in line for consideration when a suitable role opens up.
Showcase your expertise: Share your skills, projects, and experience with us, so we can match you with the right role.

Responsibilities:

Conduct regular security assessments and risk assessments.
Monitor security alerts, incidents, and vulnerabilities; respond promptly to security incidents.
Implement and manage security measures to protect computer systems, networks, and data.
Collaborate with IT and other departments to ensure security best practices are integrated into all aspects of the business.
Develop and maintain security policies, procedures, and documentation.
Stay informed about the latest security trends, threats, and technologies.
Conduct security awareness training for employees.
Participate in the development and implementation of security standards.

Qualifications:

Bachelor's degree in Information Security, Computer Science, or a related field.
Proven experience as an Information Security Analyst or in a similar role.
Strong understanding of security protocols and frameworks.
Knowledge of risk management and compliance frameworks (e.g., ISO 27001, NIST).
Experience with security tools and technologies (firewalls, antivirus, SIEM, etc.).
Familiarity with vulnerability assessment tools and methodologies.
Excellent problem-solving and analytical skills.
Effective communication skills to convey security concepts to technical and non-technical audiences.

Preferred Skills:

Relevant certifications (e.g., CISSP, CISM, CompTIA Security+).
Experience with cloud security and virtualization technologies.
Knowledge of regulatory requirements related to information security.
Incident response and forensic investigation skills.

Why work for Launchpad?

100% remote
People first culture
Excellent compensation in US Dollars
Hardware setup for working from home
Work with global teams and prominent brands based in North America, Europe, and Asia
Training allowances
Personal time off (PTO) for vacations, study leave, personal time, etc.
...and more!

At Launchpad, we genuinely care about our people as individuals. If you are looking for a team that values growth, drive, and passion for your craft, if you’re seeking a place to achieve your goals and dreams with fairness and integrity, then you are the future of Launchpad. Launchpad is committed to fostering a diverse and representative workforce and an inclusive work environment where all employees are respected and treated equally.

Are you ready to elevate your career at Launchpad? We want to hear your story! Contact us today."
Information Security Analyst 2,Information Security Analyst 2,"Skyworks Solutions, Inc.",May,2024,"If you are looking for a challenging and exciting career in the world of technology, then look no further. Skyworks is an innovator of high performance analog semiconductors whose solutions are powering the wireless networking revolution. At Skyworks, you will find a fast-paced environment with a strong focus on global collaboration, minimal layers of management and the freedom to make meaningful contributions in a setting that encourages creativity and out-of-the-box thinking. Our work culture values diversity, social responsibility, open communication, mutual trust and respect. We are excited about the opportunity to work with you and glad you want to be part of a team of talented individuals who together can change the way the world communicates.

Please access Privacy Notice for Mexico for important information on personal data and electronic communications.

Req ID: 73051

Job Description

We are looking for a Cybersecurity Analyst to join our team to protect our organization from cyberattacks by monitoring our systems and evaluating threats as they arise. The Cybersecurity Analyst responsibilities include reviewing computer networks and identifying any potential vulnerabilities, installing the necessary software in order to protect it from unauthorized access, and documenting detections so that future breaches can be mitigated efficiently. Ultimately, you will defend an organization’s computer hardware, software and other systems from theft, loss and other cyberattacks.

Document security breaches and assess the damage they cause
Work with the security team to perform tests and uncover network vulnerabilities
Fix detected vulnerabilities to maintain a high-security standard
Stay current on Information Technology (IT) security trends and news
Develop company-wide best practices for IT security
Help colleagues install security software and understand information security management
Recent college graduate with a degree program in pursuit of Information Security, Cybersecurity, Information Technology, or related field preferred
Strong attention to detail and ability to work independently
Desire and aptitude to learn and apply security concepts and best practices
Excellent communication and collaboration skills
Intermediate skills in Microsoft Office applications

Skyworks is proud to be an equal opportunity employer supporting diversity in the workplace."
Analista SR. Seguridad de la información,Analista SR. Seguridad de la información,Citibanamex,June,2024,"The Info Sec Prof Senior Analyst is an intermediate level position responsible for leading efforts to prevent, monitor and respond to information/data breaches and cyber-attacks. The overall objective of this role is to ensure the execution of Information Security directives and activities in alignment with Citi's data security policy.

Responsibilities:

Identify potential information security (IS) risks and make recommendations for enhancement
Collect and analyze security risk evidence and coordinate with internal and external compliance and auditing agencies / officials
Execute meetings and communicate complex security topics and safe IS practices with all levels of the organization
Ensure that controls are utilized daily and that non-compliance remediation is addressed
Provide IS consulting services, including interpreting and/or clarifying information security policy, procedures, standards or concepts
Assist with defining and implementing IS standards to align procedures and practices in compliance with Citi standards
Educate and advise on safe information security practices and current, changing, and/or recommended information security requirements
Validate compliance with IS policies, practices, and procedures, and resolve a variety of IS related issues in coordination with the business
Assume informal/formal mentorship role within teams and assist with the coaching and training of new team members
Has the ability to operate with a limited level of direct supervision.
Can exercise independence of judgement and autonomy.
Acts as SME to senior stakeholders and /or other team members.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

Qualifications:

5-8 years of relevant experience
Applicable Certifications or willingness to earn within 12 months of joining
Consistently demonstrates clear and concise written and verbal communication
Proven influencing and relationship management skills
Proven analytical skills

Education:

Bachelor’s degree/University degree or equivalent experience

This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.

CRISC / CISA/ CISM Certification deseable
Inglés conversacional avanzado deseable

------------------------------------------------------

Job Family Group:

Technology

------------------------------------------------------

Job Family:

Information Security

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
Business Information Security Analyst,Business Information Security Analyst,HP,May,2024,"The BISA is responsible for supporting an IT wide information security management program along with Cybersecurity team, to ensure that information assets are adequately protected. This position is responsible for identifying, evaluating and reporting on information security risks in a manner that meets compliance and regulatory requirements, and aligns with and supports the risk posture of the enterprise. The position requires an expert with sound knowledge of information security technologies and a working knowledge of business management. The BISA will proactively work with IT towers/units to implement practices that meet defined policies and standards for information security. He or she will also oversee a variety of IT-related risk management activities. The BISE serves as the process owner of all assurance activities related to the availability, integrity and confidentiality of customer, business partner, employee and business information in compliance with the organization's information security policies. The BISA must be highly knowledgeable about the business environment and ensure that information systems are maintained in a fully functional, secure mode.

The BISA's role is to act as an interface between the Management's strategic and process-based activities and the work of the technology-focused analysts, engineers and administrators in the IT organization. The BISA must be able to translate the IT-risk requirements and constraints of the business into technical control requirements and specifications, as well as report on ongoing performance.

The BISA coordinates the IT organization's technical activities to implement and manage security infrastructure, and to provide regular status and service-level reports to management. While the BISA is an expert of the security program, he or she must also be able to coordinate disparate drivers, constraints and personalities, while maintaining objectivity and a strong understanding that security is just one of the business's activities.

Expertise in leading project teams and developing and managing projects is essential for success in this role. The BISA must be able to prioritize work efforts — balancing operational tasks with longer-term strategic security efforts. Other project management tasks will include resource balancing across multiple IT and security teams, task prioritizing and project reporting. Vendor relationship management — ensuring that service levels and vendor obligations are met — is also an important aspect of the position.

Responsibilities

Security liaison
Architecture/engineering coordination
Develop, implement and monitor a strategic, comprehensive enterprise information security and IT risk management program to ensure that the integrity, confidentiality and availability of information is owned, controlled or processed by the organization.
Facilitate information security governance through the implementation of a hierarchical governance program, including the formation of an information security steering committee or advisory board.
Be knowledgeable and keep updated and publish up-to-date information security policies, standards and guidelines.
Oversee the approval, training, and dissemination of security policies and practices.
Create, communicate and implement a risk-based process for vendor risk management, including the assessment and treatment for risks that may result from partners, consultants and other service providers.
Create and manage information security and risk management awareness training programs for all employees, contractors and approved system users.
Work directly with the IT units to facilitate IT risk assessment and risk management processes, and work with stakeholders throughout the enterprise on identifying acceptable levels of residual risk
Provide regular reporting on the current status of the information security program to enterprise risk teams, senior business leaders and the board of directors as part of a strategic enterprise risk management program.
Create a framework for roles and responsibilities with regard to information ownership, classification, accountability and protection.
Provide strategic risk guidance for IT projects, including the evaluation and recommendation of technical controls.
Create a framework for roles and responsibilities for main players

Education & Experience Recommended

Four-year or Graduate Degree in Computer Science, Information Technology, or any other related discipline or commensurate work experience or demonstrated competence.
Typically has 4-7 years of work experience, preferably in IT projects, process improvement, or a related field or an advanced degree with 3-5 years of work experience."
Analista de Seguridad de la Información EDR,Seguridad de la informacion,"Monterrey, Nuevo León, Mexico",May,2024,"En Axtel nos reinventamos, nos transformamos y nos adaptamos a través de nuestra pasión: La innovación.  
 Queremos integrar a nuestro equipo a un Analista de Seguridad de la Información EDR 
  Objetivo. Mantener la confidencialidad, integridad y disponibilidad de la información de los clientes, creando las condiciones necesarias para minimizar los riesgos de seguridad aplicables, mediante el análisis y la respuesta a eventos e incidentes de seguridad. 
  Requisitos: 
Carrera en Seguridad en TI, Ciberseguridad, Electrónica y Comunicaciones, Sistemas o afín 
Conocimiento y manejo de Microsoft Defender
Experiencia en monitoreo y análisis de incidentes de seguridad  
Disponibilidad de Rotar turnos 
 Te ofrecemos: 
- Horario rotativo mensual 7am- 5pm / 2pm-11pm / 11pm-7am (incluye fines de semana)
- Modalidad híbrida 
- Contrato directo y esquema 100% nominal 
- Prestaciones Superiores a las de Ley
 ¡Excelentes beneficios para tu salud y bienestar, tu economía y balance con tu vida te están esperando para que disfrutes de ellos a cambio de tu contribución! 

Al participar en nuestros procesos de selección apruebas el tratamiento de datos que se describe en el Aviso de Privacidad en nuestra página. Te invitamos a consultarlo. "
Information Security Solution Analyst,Information Security Solution Analyst,Takeda,May,2024,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.

Job Description

The Future Begins Here

At Takeda, we are leading digital evolution and global transformation. By building innovative solutions and future-ready capabilities, we are meeting the need of patients, our people, and the planet.

In this role, you will have the opportunity to boost your skills and become the heart of an innovative engine that is contributing to global impact and improvement.

At Takeda we Unite in Diversity

Takeda is committed to creating an inclusive and collaborative workplace, where individuals are recognized for their backgrounds and abilities they bring to our company. We are continuously improving our collaborators journey in Takeda, and we welcome applications from all qualified candidates. Here, you will feel welcomed, respected, and valued as an important contributor to our diverse team.

The Opportunity

Provides architectural guidance to IT and business stakeholder and serves as domain expert and designer for information security solutions
Aligns implementations of security best practices with a team of information security and IT specialists within their areas of specialization and ensuring best information security practice implementations.
Supports and the information security strategy with IT stakeholders for areas of responsibility.
Analyses the current information security environment to detect critical deficiencies and researches / evaluates alternative solutions while weighing costs, complexity, and industry best practices to provide recommended solution within area of responsibility.
Collaborates with global Enterprise Architecture team on broader architecture topics, processes, technologies

Accountabilities

Supports the security strategy with IT and business stakeholders within areas of responsibility through managing application security assessments, supporting vendor security reviews and secure application solutioning and design
Collaborates with other Security and non-Security Architects to ensure technological alignment of security solutions across multiple domains.
Supports the deployment of new information security solutions with architectural expertise and guidance.
Analyses the current information security environment to identify gaps or opportunities for optimization
Resolves unique and complex IT information and security architecture problems
Collaborates with other security functions, the PMO (Project Management Office) and Service Delivery functions on the delivery of IT projects
Develops and manages relationships with global and regional IT and vendors
Manages and resolves issues and escalates them appropriately

DIMENSIONS AND ASPECTS

Geographical Scope is global, however main focus would be US and LATAM

Required

EDUCATION, BEHAVIOURAL COMPETENCIES AND SKILLS

Bachelor’s degree or equivalent and seven years IT experience, or High School Diploma or equivalent and twelve years of IT experience
Minimum 1 to years’ experience within information security.
Expertise in Cloud security, Perimeter security, secure application design
Expertise in Cloud computing, preferably AWS native technologies
Understanding of container security, cloud network fundamentals, high availability design, microservices, and server less compute
Experience running information security projects
Experience with architectural methodologies and service delivery
Excellent communication skills with ability to explain technical concepts to lay audiences. Experience of with working with function leadership stakeholders
Ability to analyze a variety of data and make appropriate risk-based decisions
Ability to set priorities, develop workflow processes and manage project resources
Strong conceptual and analytical skills - demonstrating outside-the-box problem solving skills in cross-team collaboration
Ability to write and speak in the English language

Desired

Knowledge of Enterprise Architecture methodologies such as TOGAF or the equivalent
Deep knowledge of technology in their domain area
Experience operationalizing services for a DevOps and/or DevSecOps environment
Experience in working in the pharmaceutical industry
Experience with validated systems

What Takeda Can Offer You

At Takeda, you take the lead on building and shaping your own career.

Joining Takeda in Mexico City will give you access to high-end technology, continuous training and a diverse and inclusive network of colleagues who will support your career growth.

It is our priority to provide competitive compensation and a benefit package that bridges your personal life with your professional career. Amongst our benefits are

Competitive Salary + Performance Annual Bonus
Monthly Supermarket and Food Vouchers
Flexible Working Schemes
Comprehensive Healthcare Insurance Plans Life, Medical, Dental & Vision
Additional Time Off
Diversity, Equity, and Inclusion Programs

Locations

MEX - Santa Fe

Worker Type

Employee

Worker Sub-Type

Regular

Time Type

Full time"
Quality Assurance Analyst,Quality Assurance Analyst,GP Strategies Corporation,May,2024,"GP Strategies Corporation is one of the world's leading talent transformation providers. By delivering award-winning learning and development solutions, we help organizations transform through their people and achieve meaningful change. GP Strategies has delivered our innovative consulting, learning services, and talent technology solutions to over 6,000 organizations globally.

From our global experience working across thousands of projects and initiatives over the past 55 years, we've learned that relationships, business, work, innovation, strategy, and transformation are all about people. And, to put it simply, GP Strategies is about our people - an extensive global network of learning experts. Additional information can be found at www.gpstrategies.com.

The Quality Assurance Analyst is the person in charge of planning and supervising quality controls, responsible for organizing and preventing errors to ensure good quality of the final product. He/she must have skills in attention to detail, communication and effective testing. The ability to pay attention to detail is critical in the position. It is necessary to be thorough and meticulous in identifying and understanding the requirements and specifications to be analyzed. In addition, good oral and written communication and collaboration with other team members is required.

Key Activities

Validation and inspection of parts reported with damage.
Damage report and record in database.
Coordinate and manage surplus parts, break bulk.
Remove damaged parts and request inventory adjustment.
Warehouse tours; findings of damaged, out of position, discarded, misplaced parts and relocate them with the Warehouse team.
Returns: capture information in database, reintegrate to inventory, ensure re-labeling of parts due to manufacturing defect.
Discrepancy reports; inspect parts per request.
Capture part numbers, responsible parties, quantities, etc.
Separate and identify pallets with scrap parts.

Qualifications

Bachelor's degree (Bachelor's degree preferred)
Training in software engineering or related fields
Knowledge of office software.
Knowledge of claims database is a plus.
Flow charts and part numbers.
Intermediate to advanced English.
Live in the area of Cuautitlán Izcalli.

With more than 4000 employees in over 30 countries, diversity at GP Strategies is second nature! Beyond our locations, our culture focuses on performance and revolves around respect, fairness, and working collaboratively to achieve our goals. We support our People, no matter who they are or where they are from, because we all have valuable and unique perspectives and approaches. That's how great ideas are born, which enable us to work smarter.

GP Strategies is committed and proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy, childbirth and related conditions, sexual orientation, and gender identity), national origin, age, veteran status, disability, or any other federally protected class."
