Position,Company_Name,Location,Post_Month,Post_Year,Details
Gerente Riesgos de Seguridad de la Información en Terceros || Corporativo,Gerente Riesgos de Seguridad de la Información en Terceros || Corporativo,Coca-Cola FEMSA,May,2024,"Gerente Riesgos de Seguridad de la Información en Terceros

Misión

Definir, diseñar e implementar una metodología de gestión de riesgos de seguridad de la información para terceros, donde se realice la identificación, evaluación, análisis y mitigación de los riesgos de seguridad para que el servicio que el tercero asegure la confidencialidad, integridad y disponibilidad de la información. Validación y seguimiento del cumplimiento y el nivel de madurez respecto a la normatividad y marcos de referencia de SI por parte de terceros .

Principales Actividades Del Puesto

A través de la generación, adecuación y ejecución de la metodología de gestión de riesgos de terceros, realizar:(i) Identificar a los terceros que tengan conexión con KOF, proporcionen servicios de TI/SI o desarrollo de software, tengan acceso a información no pública, proporcionen servicios para los procesos más críticos de KOF y pongan en riesgos la confidencialidad, integridad y disponibilidad de la información; (ii) Identificar vigencias de contratos, servicios a proporcionar; (iii) Identificar y evaluar los riesgos de seguridad determinando el impacto y la probabilidad del tercero; (iv) Proporcionar seguimiento a los planes y acciones de mitigación en colaboración con los dueños/propietarios de servicios con terceros.
Generar artefactos que ayuden a una mejor gestión de riesgos de terceros.
Apoyar en los esfuerzos de comprensión y concientización a terceros referente a la normativa aplicable a KOF.
Atender auditorías internas o externas para el cumplimiento de la evaluación de riesgos de terceros.
Generar informes y dashboard con indicadores de riesgos y de desempeño para la toma oportuna de decisiones.
Generar iniciativas para mejorar el proceso de gestión de riesgos de seguridad de la información de terceros.
Diseñar una taxonomía y un sistema de gestión de riesgos de SI para terceros alineada a la normatividad y marcos existentes de SI.


Requerimientos Del Perfil

Formación

Lic. / Ingeniería en ciencias computacionales / Electrónica / Telecomunicaciones / Seguridad de la información / Ciberseguridad.
Maestría en tecnologías de información o seguridad de la información (Deseable)


Experiencia

Experiencia en áreas de auditoría, control de TI, seguridad informática/de la información.
Años de experiencia: 3 a 5


Experiencia en procesos / actividades / temas en particular

Estándares y mejores prácticas de la industria para la Ciberseguridad en NIST 800-30, NIST 800-53, ISO 27002, ISO 27005, etc.
Conocimiento en metodologías de Gestión de Riesgos, en especial de seguridad de la información (esto último deseable).
Certificaciones deseables: ISACA CRISC, ISC2 CISSP, ISO 27005, ISO 31000


Habilidades / Competencias

Bilingüe (ingles/español). Deseable Portugués.
Adaptabilidad cultural.
Trabajo en equipo y colaboración.
Disciplina en la gestión documental.
Persona proactiva, metódica y ordenada.
Capacidad para relacionarse e influenciar con diferentes niveles organizacionales."
IT Audit Manager,IT Audit Manager,Apple Leisure Group,May,2024,"Inspire and deliver exceptional value to travelers around the globe as part of the Apple Leisure Group (ALG) team! Our vision is to be the best-in-class and largest all-inclusive resort management and travel services provider, differentiated by the collaboration of our unique resort and distribution brands.

Grow your career as an IT Audit Manager within Apple Vacations, one of our 14 industry-leading brands. In this role you will be a member of a talented team of individuals whose purpose is to add value to the Company by collaborating with the business and providing independent assurance services. You will be responsible for assisting initially with establishing the IT Audit Team and effective SOX implementation, and subsequently assist in the rollout of an IT risk assessment, aid in developing a risk based annual IT audit plan, developing IT audit programs, amongst other responsibilities.

As a succesfull IT Audit Manager you will:

Support the IT Audit Director in the preparation of the IT Risk Assessment and the annual internal audit plan.
Assist in day-to-day management of the Sarbanes-Oxley (SOX) corporate governance program; from planning through scheduling, preparing, execution, tracking and reporting; this includes SOX walkthroughs, controls testing, deficiency evaluation and remediation tracking.
Assist the IT Audit Director in execution of the annual audit plan in accordance with the Audit methodology; provide oversight over audit planning, audit execution, closure, and reporting of audits across a wide variety of businesses.
Design and perform testing of internal controls across the company’s application, infrastructure, and databases on key platforms including SAP ERP, Windows / Linux infrastructure, network directory services, various legacy applications, network devices, and other critical systems and processes.
Review other areas such as business continuity & disaster recovery, system implementations and data conversions, information security, asset management, etc.
Prepare clear, organized, and complete documentation to support work performed.
Prioritize and effectively plan own work activities managing multiple priorities and tasks across the team to deliver quality results.
Review audit work papers and audit reports, along with providing auditors with coaching.
Actively mentor staff for continued growth and development within the IT Audit function.
Identify and effectively communicate audit observations/recommendations (verbally and/or in writing) to Management Stakeholders, as well as follow-up to ensure corrective actions are achieved timely.
Coordinating activities and strategies with external auditors and be the point of contact for audits of the IT Department.
Establish and maintain good client relations during engagements.
Attract, recruit and infuse the Internal Audit department with high performing talent

As a succesfull IT Audit Manager you will have:

Bachelor’s Degree in Management Information Systems, Engineering, Finance or Accounting.
Master’s Degree in a related field.
Certified information System Auditor (CISA) or Certified Information Systems Security Professional (CISSP) or working towards this certification.
A minimum of 5-7 years’ experience in IT audit (internal and / or external) required.
Knowledge of and experience with SOX, PCI / DSS, and GDPR.
Knowledge of and experience with SAP and / or Oracle ERP systems.
ACL or other data analytics tool experience.
Big 4/public accounting/management consulting experience.
Travel is approximately 25%.
Bilingual in Spanish and English.
Working towards a Certified in Risk and Information Systems Control (CRISC) or Certified Information Security Manager (CISM) certification.
Experience working in Latin America.
Experience working in the travel industry.

About Apple Leisure Group

As North America’s only vertically integrated travel, hospitality and leisure management group, Apple Leisure Group is an industry innovator that combines the expertise of 14 leading brands. Our unique niche allows us the special opportunity to oversee every aspect of the travel experience, from the moment a guest books a trip to the time they return home. ALG consistently delivers exceptional value to travelers and strong performance to resort owners and partners by strategically leveraging the power of its portfolio of brands across five segments, comprising:

Vacations: The largest seller of vacation packages and charter flights in the U.S. for travel to Mexico and the Caribbean, moving approximately 3.2 million passengers annually through wellestablished vacation brands
Resort Brand Management: management of 5-star and 4-star luxury resorts through AMResorts® award-winning brand portfolio
Destination Management Services: Best-in-class destination management services provided by Amstar® DMC and Worldstar®
Loyalty Program: Exclusive loyalty program Unlimited Vacation Club®
Technology Solutions: Innovative technology solutions provider Trisept Solutions®, connecting over 88,000 travel agents with leading travel suppliers.

To learn more about the Apple Leisure Group advantage, visit appleleisuregroup.com.

About Vacations

The # 1 vacation brand in the world for packages to Mexico and Dominican Republic, offers the convenience of one-stop shopping. Apple Vacations® clients have access to flight, hotel, and transfers – they can also choose an all-inclusive resort where meals, drinks, and more are included - all for one affordable price

Our Values

At ALG, we call our employees Colleagues, because we are more than just employees. We are united as a team, working toward a common mission and vision. Together, we are committed to live the core values by which we operate:

We Care

We Are Authentic
We Inspire Action
We Do It Together
We Own our Results

We Are Hungry For More

We do Everything With Passion"
"Senior Software Engineering Manager, Core","Senior Software Engineering Manager, Core",Google,May,2024,"Please submit your resume in English - we can only consider applications submitted in this language.

Only applications of candidates with Mexican citizenship will be evaluated for this role in compliance with the provisions of Article 7 of the Federal Labor Law.

Minimum qualifications:

Bachelor's degree or equivalent practical experience.
8 years of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript).
5 years of experience in a technical leadership role; overseeing projects, with 5 years of experience in a people management, supervision/team leadership role.

Preferred qualifications:

Master's degree or PhD in Computer Science or related technical field.
5 years of experience working in a complex, matrixed organization.
Experience delivering developer tools, languages, AI Agents and ML models.
Experience in building and deploying full-stack applications and servers.
Experience in developer focused products aimed at improving developer productivity.

About The Job

Like Google's own ambitions, the work of a Software Engineer goes beyond just Search. Software Engineering Managers have not only the technical expertise to take on and provide technical leadership to major projects, but also manage a team of Engineers. You not only optimize your own code but make sure Engineers are able to optimize theirs. As a Software Engineering Manager you manage your project goals, contribute to product strategy and help develop your team. Teams work all across the company, in areas such as information retrieval, artificial intelligence, natural language processing, distributed computing, large-scale system design, networking, security, data compression, user interface design; the list goes on and is growing every day. Operating with scale and speed, our exceptional software engineers are just getting started -- and as a manager, you guide the way.

With technical and leadership expertise, you manage engineers across multiple teams and locations, a large product budget and oversee the deployment of large-scale projects across multiple sites internationally.

The Core team builds the technical foundation behind Google’s flagship products. We are owners and advocates for the underlying design elements, developer platforms, product components, and infrastructure at Google. These are the essential building blocks for excellent, safe, and coherent experiences for our users and drive the pace of innovation for every developer. We look across Google’s products to build central solutions, break down technical barriers and strengthen existing systems. As the Core team, we have a mandate and a unique opportunity to impact important technical decisions across the company.

Responsibilities

Set and communicate team priorities that support the broader organization's goals. Align strategy, processes, and decision-making across teams.
Set clear expectations with individuals based on their level and role and aligned to the broader organization's goals. Meet regularly with individuals to discuss performance and development and provide feedback and coaching.
Develop the long-term technical goal and roadmap within, and often beyond, the scope of the teams. Evolve the roadmap to meet anticipated future requirements and infrastructure needs.
Oversee systems designs within the scope of the broader area, and review product or system development code to solve ambiguous problems.
Review code developed by other engineers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form ."
Software Engineering Manager II,Software Engineering Manager II,Google,May,2024,"Please submit your resume in English - we can only consider applications submitted in this language.

Only applications of candidates with Mexican citizenship will be evaluated for this role in compliance with the provisions of Article 7 of the Federal Labor Law.

Minimum qualifications:

Bachelor’s degree, or equivalent practical experience.
8 years of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript).
3 years of experience in a technical leadership role; overseeing projects, with 2 years of experience in a people management, supervision/team leadership role.
Experience in designing and specifying software systems.

Preferred qualifications:

Master's degree or PhD in Computer Science or related technical field.
3 years of experience working in a complex, matrixed organization.
Experience working closely with cross-functional teams and delivering production quality products.
Experience working with large engineering teams.
Background in building and deploying fullstack applications and servers.
Background in developer focused product aimed at improving developer productivity.

About The Job

Like Google's own ambitions, the work of a Software Engineer goes beyond just Search. Software Engineering Managers have not only the technical expertise to take on and provide technical leadership to major projects, but also manage a team of Engineers. You not only optimize your own code but make sure Engineers are able to optimize theirs. As a Software Engineering Manager you manage your project goals, contribute to product strategy and help develop your team. Teams work all across the company, in areas such as information retrieval, artificial intelligence, natural language processing, distributed computing, large-scale system design, networking, security, data compression, user interface design; the list goes on and is growing every day. Operating with scale and speed, our exceptional software engineers are just getting started -- and as a manager, you guide the way.

With technical and leadership expertise, you manage engineers across multiple teams and locations, a large product budget and oversee the deployment of large-scale projects across multiple sites internationally.

The Core team builds the technical foundation behind Google’s flagship products. We are owners and advocates for the underlying design elements, developer platforms, product components, and infrastructure at Google. These are the essential building blocks for excellent, safe, and coherent experiences for our users and drive the pace of innovation for every developer. We look across Google’s products to build central solutions, break down technical barriers and strengthen existing systems. As the Core team, we have a mandate and a unique opportunity to impact important technical decisions across the company.

Responsibilities

Set and communicate the team priorities that support the broader organization's goals. Align strategy, processes, and decision-making across teams.
Set clear expectations with individuals based on their level and role, and aligned to the broader organization's goals. Meet regularly with individuals to discuss performance and development, and provide feedback and coaching.
Develop the mid-term technical vision and roadmap within the scope of your (often multiple) team(s). Evolve the roadmap to meet anticipated future requirements and infrastructure needs.
Design, guide, and vet systems designs within the scope of the broader area, and write product or system development code to solve ambiguous problems.
Review code developed by other engineers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form ."
"Software Engineering Manager II, Core","Software Engineering Manager II, Core",Google,May,2024,"Please submit your resume in English - we can only consider applications submitted in this language.

Only applications of candidates with Mexican citizenship will be evaluated for this role in compliance with the provisions of Article 7 of the Federal Labor Law.

Minimum qualifications:

Bachelor's degree or equivalent practical experience.
8 years of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript).
3 years of experience in a technical leadership role; overseeing projects, with 2 years of experience in a people management, supervision/team leadership role.

Preferred qualifications:

Experience in building and deploying full-stack applications and servers.
Experience in developer focused products aimed at improving developer productivity.
Experience working with cross-organization large engineering teams.
Experience delivering developer tools, languages, AI Agents and ML models.

About The Job

Like Google's own ambitions, the work of a Software Engineer goes beyond just Search. Software Engineering Managers have not only the technical expertise to take on and provide technical leadership to major projects, but also manage a team of Engineers. You not only optimize your own code but make sure Engineers are able to optimize theirs. As a Software Engineering Manager you manage your project goals, contribute to product strategy and help develop your team. Teams work all across the company, in areas such as information retrieval, artificial intelligence, natural language processing, distributed computing, large-scale system design, networking, security, data compression, user interface design; the list goes on and is growing every day. Operating with scale and speed, our exceptional software engineers are just getting started -- and as a manager, you guide the way.

With technical and leadership expertise, you manage engineers across multiple teams and locations, a large product budget and oversee the deployment of large-scale projects across multiple sites internationally.

The Core team builds the technical foundation behind Google’s flagship products. We are owners and advocates for the underlying design elements, developer platforms, product components, and infrastructure at Google. These are the essential building blocks for excellent, safe, and coherent experiences for our users and drive the pace of innovation for every developer. We look across Google’s products to build central solutions, break down technical barriers and strengthen existing systems. As the Core team, we have a mandate and a unique opportunity to impact important technical decisions across the company.

Responsibilities

Set and communicate team priorities that support the broader organization's goals. Align strategy, processes, and decision-making across teams.
Set clear expectations with individuals based on their level and role and aligned to the broader organization's goals. Meet regularly with individuals to discuss performance and development and provide feedback and coaching.
Develop the mid-term technical goal and roadmap within the scope of the teams. Evolve the roadmap to meet anticipated future requirements and infrastructure needs.
Design, guide and vet systems designs within the scope of the broader area, and write product or system development code to solve ambiguous problems.
Review code developed by other engineers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form ."
Quality Coordinator - Textile Manufacturing,Quality Coordinator - Textile Manufacturing,FabricAir,May,2024,"Our dynamic industrial sewing facility in Silao, Guanajuato México is currently seeking a dedicated and detail-oriented Quality Coordinator to join our team. This pivotal role will be instrumental in ensuring the highest standards of quality are met across all areas of production, maintaining our reputation for excellence in the industry.

Your ability to solve problems, share thoughts and ideas, and pay meticulous attention to detail will significantly contribute to the development of our supply chain initiatives and sustain our high standards of quality. If you're someone who thrives in a responsibility-driven, independent, yet team-oriented setting, this could be your chance to have a significant impact in a globally recognized company.

You will be joining a global company with 50 years of experience in creating outstanding value to our customers, beyond what any traditional or conventional ventilation solution has ever done.

Your Role and Impact

As a Quality Coordinator, you will be at the heart of our manufacturing operations, working closely with production teams to guarantee that all products meet our stringent quality criteria. You will be responsible for implementing quality control processes, conducting audits, and leading initiatives to improve overall product quality.

In your role as Quality Coordinator, you will report directly to Production Manager of facility Mexico and you will directly influence our commitment to delivering superior products to our clients.

Your Responsibilities Will Include

Developing and overseeing quality control procedures to ensure production standards are met.
Coordinating with production manager to identify and rectify quality-related issues promptly.
Conducting regular quality assessments and audits across various stages of production.
Compiling and analyzing performance data to identify trends and areas for quality improvement.
Training and guiding production staff on quality standards and compliance requirements.
Staying up-to-date with industry standards and regulatory requirements related to textile manufacturing.


Joining our international supply chain team, you will thrive in a collaborative and supportive environment, surrounded by professionals committed to excellence.

Who You Are

Our ideal candidate is a highly motivated individual with a detail oriented skill and a passion for quality. You should be methodical in your approach and possess the ability to effectively communicate quality standards to team members at all levels. Your problem-solving skills and proactive attitude will be key in driving continuous improvement in our production processes.

It's An Advantage If You Have

A degree in Textile Engineering, Quality Management, or a related field is highly advantageous.
Proven experience in Quality Control or Quality Assurance, ideally within the textile manufacturing sector
Strong understanding of quality inspection, testing methods, and industry standards.
Excellent organizational skills, with the ability to manage multiple priorities simultaneously.
Effective communication with an emphasis on team collaboration. English communication is a plus.


What You Get At FabricAir

Joining our team means becoming part of a pioneering company globally recognized for innovation and quality. You will be met with responsibility, trust, and flexibility and you can be an integral part of our continued growth. Alongside a collaborative and supportive team of professionals, you will be able to further develop your talents and experience, facing interesting challenges and opportunities in a global company.

FabricAir is a global fabric-based air distribution solution manufacturer that originated in Denmark in 1973. Our company has been evolving ever since, opening 16 subsidiaries worldwide with a vast network of distributors and reaching clients in over 120 countries. We value our employees because they are the reason we excel in our industry and contribute to the growth of the company. For more information, please visit: www.fabricair.com

Ready To Apply?

You can easily apply by using the ""Apply for this job"" tab. To ensure the security of your private information, please note that this is the only way you can apply.

If you have any questions, please reach out to Human Resources Manager Rocio Rodriguez at rra@fabricair.com. We would like our new colleague to start as soon as possible, so interviews will be held continuously.

We look forward to getting in touch with you.

FabricAir is a global fabric-based air distribution solution manufacturer that originated in Denmark in 1973. Our company has been evolving ever since, opening 15 subsidiaries worldwide with a vast network of distributors and reaching clients in over 120 countries. We value our employees because they are the reason we excel in our industry and contribute to the growth of the company."
Quality Coordinator - Textile Manufacturing,Quality Coordinator - Textile Manufacturing,FabricAir,April,2024,"Our dynamic industrial sewing facility in Silao, Guanajuato México is currently seeking a dedicated and detail-oriented Quality Coordinator to join our team. This pivotal role will be instrumental in ensuring the highest standards of quality are met across all areas of production, maintaining our reputation for excellence in the industry.

Your ability to solve problems, share thoughts and ideas, and pay meticulous attention to detail will significantly contribute to the development of our supply chain initiatives and sustain our high standards of quality. If you're someone who thrives in a responsibility-driven, independent, yet team-oriented setting, this could be your chance to have a significant impact in a globally recognized company.

You will be joining a global company with 50 years of experience in creating outstanding value to our customers, beyond what any traditional or conventional ventilation solution has ever done.

Your Role and Impact

As a Quality Coordinator, you will be at the heart of our manufacturing operations, working closely with production teams to guarantee that all products meet our stringent quality criteria. You will be responsible for implementing quality control processes, conducting audits, and leading initiatives to improve overall product quality.

In your role as Quality Coordinator, you will report directly to Production Manager of facility Mexico and you will directly influence our commitment to delivering superior products to our clients.

Your responsibilities will include:

Developing and overseeing quality control procedures to ensure production standards are met.
Coordinating with production manager to identify and rectify quality-related issues promptly.
Conducting regular quality assessments and audits across various stages of production.
Compiling and analyzing performance data to identify trends and areas for quality improvement.
Training and guiding production staff on quality standards and compliance requirements.
Staying up-to-date with industry standards and regulatory requirements related to textile manufacturing.

Joining our international supply chain team, you will thrive in a collaborative and supportive environment, surrounded by professionals committed to excellence.

Who You Are

Our ideal candidate is a highly motivated individual with a detail oriented skill and a passion for quality. You should be methodical in your approach and possess the ability to effectively communicate quality standards to team members at all levels. Your problem-solving skills and proactive attitude will be key in driving continuous improvement in our production processes.

It's an advantage if you have:

A degree in Textile Engineering, Quality Management, or a related field is highly advantageous.
Proven experience in Quality Control or Quality Assurance, ideally within the textile manufacturing sector
Strong understanding of quality inspection, testing methods, and industry standards.
Excellent organizational skills, with the ability to manage multiple priorities simultaneously.
Effective communication with an emphasis on team collaboration. English communication is a plus.

What You Get At FabricAir

Joining our team means becoming part of a pioneering company globally recognized for innovation and quality. You will be met with responsibility, trust, and flexibility and you can be an integral part of our continued growth. Alongside a collaborative and supportive team of professionals, you will be able to further develop your talents and experience, facing interesting challenges and opportunities in a global company.

FabricAir is a global fabric-based air distribution solution manufacturer that originated in Denmark in 1973. Our company has been evolving ever since, opening 16 subsidiaries worldwide with a vast network of distributors and reaching clients in over 120 countries. We value our employees because they are the reason we excel in our industry and contribute to the growth of the company. For more information, please visit: www.fabricair.com

Ready To Apply?

You can easily apply by using the ""Apply for this job"" tab. To ensure the security of your private information, please note that this is the only way you can apply.

If you have any questions, please reach out to Human Resources Manager Rocio Rodriguez at rra@fabricair.com. We would like our new colleague to start as soon as possible, so interviews will be held continuously.

We look forward to getting in touch with you."
Quality Coordinator - Textile Manufacturing,"Fabricair, Inc.","Guanajuato, Guanajuato, Mexico",June,2024,"Our dynamic industrial sewing facility in Silao, Guanajuato Méxicoiscurrently seeking a dedicated and detail-oriented Quality Coordinator to join our team.This pivotal role will be instrumental in ensuring the highest standards of quality are met across all areas of production, maintaining our reputation for excellence in the industry.

Your ability to solve problems, share thoughts and ideas, and pay meticulous attention to detail will significantly contribute to the development of our supply chain initiatives and sustain our high standards of quality. If you're someone who thrives in a responsibility-driven, independent, yet team-oriented setting, this could be your chance to have a significant impact in a globally recognized company.

You will be joining a global company with 50 years of experience in creating outstanding value to our customers, beyond what any traditional or conventional ventilation solution has ever done.

Your Role andImpact

As a Quality Coordinator, you will be at the heart of our manufacturing operations, working closely with production teams to guarantee that all products meet our stringent quality criteria. You will be responsible for implementing quality control processes, conducting audits, and leading initiatives to improve overall product quality.

In your role as Quality Coordinator, you will report directly to Production Manager of facility Mexico and you will directly influence our commitment to delivering superior products to our clients.

Your Responsibilities Will Include

Developing and overseeing quality control procedures to ensure production standards are met. Coordinating with production manager to identify and rectify quality-related issues promptly. Conducting regular quality assessments and audits across various stages of production. Compiling and analyzing performance data to identify trends and areas for quality improvement. Training and guiding production staff on quality standards and compliance requirements. Staying up-to-date with industry standards and regulatory requirements related to textile manufacturing. Joining our international supply chain team, you will thrive in a collaborative and supportive environment, surrounded by professionals committed to excellence.

Who you are

Our ideal candidate is a highly motivated individual with a detail oriented skilland a passion for quality. You should be methodical in your approach and possess the ability to effectively communicate quality standards to team members at all levels. Your problem-solving skills and proactive attitude will be key in driving continuous improvement in our production processes.

It's An Advantage If You Have

A degree in Textile Engineering, Quality Management, or a related field is highly advantageous. Proven experience in Quality Control or Quality Assurance, ideally within the textile manufacturing sector Strong understanding of quality inspection, testing methods, and industry standards. Excellent organizational skills, with the ability to manage multiple priorities simultaneously. Effective communication with an emphasis on team collaboration. English communication is a plus. What You Get at FabricAir

Joining our team means becoming part of a pioneering company globally recognized for innovation and quality. You will be met with responsibility, trust, and flexibility and you can be an integral part of our continued growth.Alongside a collaborative and supportive team of professionals, you will be able to further develop your talents and experience, facing interesting challenges and opportunities in a global company.

FabricAir is a global fabric-based air distribution solution manufacturer that originated in Denmark in 1973. Our company has been evolving ever since, opening 16 subsidiaries worldwide with a vast network of distributors and reaching clients in over 120 countries. We value our employees because they are the reason we excel in our industry and contribute to the growth of the company. For more information, please visit: www.fabricair.com Ready To Apply?

You can easily apply by using the ""Apply for this job"" tab. To ensure the security of your private information, please note that this is the only way you can apply.

If you have any questions, please reach out to Human Resources Manager Rocio Rodriguez at ******. We would like our new colleague to start as soon as possible, so interviews will be held continuously.

We look forward to getting in touch with you.

#J-18808-Ljbffr"
Gerente de Seguridad de la Información,Gerente de Seguridad de la Información,Empresa Confidencial,June,2024,"Gerente de Seguridad de la Información

Objetivo: Responsable de establecer y mantener el programa de seguridad de la información para garantizar que los activos de información, la tecnología y los procesos asociados estén adecuadamente protegidos en el ecosistema digital en el que operamos.
Trabajará de manera proactiva con las unidades comerciales y los socios del ecosistema para implementar prácticas que cumplan con las políticas y estándares acordados para la seguridad de la información.
Debe comprender y articular el impacto de la ciberseguridad en los negocios (digitales), y poder comunicarlo a la junta directiva y otras partes interesadas de alto nivel.


Requisitos:
Licenciatura en Administración de negocios, Sistemas de la Información, Ingeniero o carrera a fin de tecnología. (Titulo).
Conocimiento y comprensión de requerimientos legales y de cumplimiento como Sarbanes-Oxley Act (SOX), Health Insurance Portability y Accountability Act (HIPAA) and Payment Card Industry/Data Security Standard.
Conocimiento en marcos de referencia de seguridad de la información como ISO/IEC 27001, ITIL, COBIT, NIST, incluyendo 800-53 y marcos de referencia de Ciberseguridad.
Gestión de negocio, conocimiento de gestión de riesgos en seguridad de la información y tecnologías de ciberseguridad.

Conocimientos:
Certified Information Systems Security Professional (CISSP), Certified Information Security Manager (CISM), Certified Information Systems Auditor (CISA), Certified in Risk and Information Systems Control (CRISC) o acreditaciones similares.
Gobierno de seguridad de la información.
Seguridad de la información.
ITIL, ISO 27,00X, ISA-62443, COBIT y NIST."
Manager SR Seguridad de la Información,Manager SR Seguridad de la Información,Citibanamex,June,2024,"The Information Security Operations (ISO) Sr Manager is a senior management level position responsible for accomplishing results through the management of a team or department in an effort to prevent, monitor and respond to information/data breaches and cyber-attacks. The overall objective of this role is to ensure the execution of Information Security directives and activities in alignment with Citi's data security policy.

Responsibilities:

Support the implementation of Information Security (IS) Training Plan, by verifying training participants completed the training and understand IS requirements
Coordinate with cross-functional Operations and Technology (O&T) counterparts and teams to improve O&T risk oversight
Attend and participate in internal/external IS forums and risk committees when necessary and provide IS updates to the business
Ensure stakeholders are held accountable for IS controls, and understand responsibilities in risk mitigation and remediation
Improve processes, remove IS deficiencies and enhance current tools that reduce an overall risk profile
Ensure security practices and standards compliance to reduce the likelihood of audit, regulatory and legal liabilities and reduce security risks by enhancing controls and minimizing weaknesses in Citi’s applications portfolio
Ensure non-compliant items are addressed through coordination with Business Manager and business staff
Support the Global Information Security (GIS) policies, standards, and initiatives development and implementation
Provide guidance on IS aspects of projects in support of business initiatives
Establish communication channels with cross-sector ISOs to efficiently tackle security issues that span multiple businesses
Manage project deadlines, deliverables, planning, budgeting and policy formulation for the team, including short-term resource planning
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency, as well as effectively supervise the activity of others and create accountability with those who fail to maintain these standards.

Qualifications:

6-10 years of relevant experience
Knowledge of Scripting and Programming Languages preferred
Demonstrated ability to interpret and apply information security policies, standards and procedures
Consistently demonstrates clear and concise written and verbal communication
Proven influencing and relationship management skills
Proven analytical skills

Education:

Bachelor’s degree/University degree or equivalent experience
Master’s degree preferred

This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.

CRISC / CISA/ CISM Certification deseable
Experiencia en gestión de equipos de trabajo deseable
Inglés Conversacional Avanzado deseable

------------------------------------------------------

Job Family Group:

Technology

------------------------------------------------------

Job Family:

Information Security

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
