Position,Company_Name,Location,Post_Month,Post_Year,Details
Cisco Network Engineer,Cisco Network Engineer,Azkait,May,2024,"AZKA IT es una empresa mexicana que busca y conecta el mejor talento TI con empresas de Latinoamérica y Estados Unidos.

Buscamos tu talento como Cisco Network Engineer.

Requisitos:

Habilidades:

Establece y mantiene el rendimiento de la red.
Diseñar, configurar e instalar conmutadores y Aps Cisco.
Diseñar, instalar, configurar y solucionar problemas de redes de área local y amplia.
Supervise y administre la seguridad de la red, incluida la configuración de firewalls y la implementación de políticas de seguridad de la red.
Ayudar con la instalación de sistemas operativos, aplicaciones y hardware.
Brindar soporte técnico al personal para incidentes relacionados con la red.
Realizar mantenimiento y actualizaciones periódicas en sistemas y aplicaciones de red.
Asegúrese de que los sistemas y aplicaciones de red funcionen de manera óptima.
Monitorear y analizar el tráfico de la red para identificar problemas potenciales y brindar soluciones.

Beneficios de contrato:

100 % nomina, IMSS, Infonavit y PTU de la ley.
Aguinaldo 30 días
SGMM para el recurso y su familia directa
Seguro de Vida por 1 millón de pesos (individual)
Seguro dental (individual)
Cursos y certificaciones gratuitos.
Tarjeta de descuento en grandes almacenes y redes médicas.
Trabaja de lunes a viernes.
Contrato 3 meses de prueba al principio, luego indeterminado."
Network Engineer Jr.,Network Engineer Jr.,Northware,April,2024,"Responsable de asegurar el correcto funcionamiento y la continuidad operativa de la infraestructura de Redes y Telecomunicaciones, mediante la configuración, actualización, monitoreo, respaldo, auditoría, diagnóstico, atención de incidentes y solución de problemas. Responsable también de la administración de recursos, la entrega de nuevos servicios y soluciones de Redes a través de proyectos estratégicos y de mejora continua.

Responsabilidades

- Administración y operación de elementos de infraestructura de Redes y Telecomunicaciones tales como Switches, Routers, Wireless Controllers, Access-Points, Firewalls, Enlaces WAN, Servicios de DHCP y DNS locales, etc.
- Dimensionamiento del equipamiento de red, configuración y seguimiento a implementación de estos en proyectos estratégicos y de mejora continua.
- Planeación, seguimiento e implementación de actualizaciones y renovaciones de la infraestructura de red.
- Soporte y atención de incidentes de segundo y tercer nivel.
- Atención de ventanas de mantenimiento y liberaciones.
- Monitoreo de la infraestructura de red y Telecomunicaciones.
- Atención de nuevos requerimientos de red a través de los procesos definidos.
- Habilitación de infraestructura temporal para eventos programados.
- Ejecución de los proyectos a través del uso de metodologías de administración de proyectos.
- Utilizar las mejores prácticas de TI para atender los nuevos requerimientos, incidentes, problemas y cambios requeridos en la operación diaria.
- Asegurar el cumplimiento de normas aplicables a la operación de Redes y Comunicaciones para responder en tiempo y forma a requerimientos de auditorías internas, externas y de seguridad.
- Relaciones con entidades y proveedores de servicios relacionados con Infraestructura de TI.


Requisitos


Formación

Profesionista titulado en Ingeniería en Sistemas Computacionales, Electrónica o afines.

Hard Skill

Enterprise Switching
Enterprise Routing
Enterprise LAN Design
Enterprise WAN Design
Enterprise Wireless Design
Network Infrastructure Services
Network Security
Management & Automation
Linux fundamentals
Cybersecurity fundamentals
Project Management fundamentals
CCNA
ITIL
Conceptos de Seguridad.
Metodologías ágiles (SCRUM)

Experiecia profesional

Soporte técnico 1 año
Administración de redes 3 años
Diseño de redes LAN 1 año
Diseño de redes inalámbricas
Administración de proyectos 1 año
Seguridad informática 1 año

Beneficios

Sueldo a negociar de acuerdo al perfil.
Esquema mixto o 100% nómina a negociar.
Prestaciones de ley + Vales de despensa.
Seguro de vida.
CONTRATO POR TIEMPO INDEFINIDO/ PERIODO DE PRUEBA 3 MESES.
FORMA REMOTA."
Network Admin,Network Admin,Capital Empresarial Horizonte,June,2024,"Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información Solicita:

Network Engineer

Perfil

Escolaridad: Ingeniería en Sistemas, Informática o afín.

Experiencia: 3 años de experiencia.

Lugar a laborar: Alcaldía Benito Juárez , CDMX ó Guadalajara ó Monterrey ó Querétaro

(forma de laborar híbrida 3 días en casa y 2 presenciales)

Funciones Que Deberá Dominar

Experiencia 1. Experiencia en el manejo de Infraestructura de Redes de telefonía IP de Cisco.

Comprensión de la conmutación: VLAN, VLAN de voz, VTP, STP, PoE, canal Ether, HSRP, protocolos de enrutamiento. etc.
Comprensión de los siguientes productos de comunicaciones unificadas de Cisco
Administrador de llamadas de Cisco Express
Comprensión de los modelos de licencias de Cisco
Cisco Unified Communication Express y Cisco Unity Express
Cisco IM&P y Jabber
Guardianes de la puerta
Protocolos de puerta de enlace: H323, SIP, MGCP, SCCP.
Conocimiento de ITIL: incidentes, cambios, configuración, gestión de problemas
Habilidades de análisis y resolución de problemas.
Conocimiento en Cisco Unity Connection (Versión 10X a 11X)
Conocimientos en planificación y diseño de redes de Comunicaciones Unificadas de Cisco.
Conocimiento en plataforma Cisco Session Management (SME)
Conocimiento en tecnología Session Border Controller.
Conocimiento experto en SIP Trunk
Conocimiento de UCS y tecnologías de virtualización

Beneficios

Brindamos una oportunidad de carrera emocionante y desafiante en una compañía líder en el mercado. Ofrecemos salarios competitivos, beneficios completos y muchas oportunidades de crecimiento y desarrollo profesional.

Horario de Oficina Lunes a Viernes 9am a 6pm

Sueldo de hasta $85,000 brutos dependiendo aptitudes (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 12 días de vacaciones + 2 por año, PTU)

Comunicarse con la Lic. Vanessa Martinez al 55 57 00 95 69 y 56 47 73 99 19. Nos pondremos en contacto contigo a la brevedad."
Network Engineer - Hybrid or Remote,Network Engineer - Hybrid or Remote,Temenos,May,2024,"About Temenos

Temenos powers a world of banking that creates opportunities for billions of people and businesses everywhere. We have been doing this for over 30 years through the pioneering spirit of our Temenosians who are passionate about making banking better, together.

We serve over 3000 clients from the largest to challengers and community banks in 150+ countries. We collaborate with clients to build new banking services and state-of-the-art customer experiences on our open banking platform, helping them operate more sustainably.

At Temenos, we have an open-minded and inclusive culture, where everyone has the power to create their own destiny and make a positive contribution to the world of banking and society.

THE ROLE

The Network Support Engineer is responsible for maintaining Area Network through monitoring, maintenance, and management of network infrastructure devices. This role is the escalation step in the resolution of conflicts that may potentially arise from the Temenos Employees.

OPPORTUNITES


You will support network outages and degradation of service
You will solve any IT tickets related to the corporate network
You will do Network troubleshooting, and resolve performance issues (identify bottlenecks) in a multivendor environment
You will implement and maintain firewalls security policy management, network address translation (NAT) and VPN technologies
You will maintain secure access policies for remote users to internal company resources
You will manage Zscaler cloud-based proxy settings
You will manage Wireless infrastructure
You will monitor the network using network performance monitoring tools
You will document the network by creating network diagrams and procedures
You will design future network development.


Skills


You should have Information Technology experience
You should have Networking Specific experience
You should have a professional certification level for routing and switching from Huawei, Juniper or Cisco(is a big plus)
You should have experience with network troubleshooting and monitoring tools(OpManager);
You should have knowledge of Wireless protocols, standards, and security
You should have excellent troubleshooting and organization skills
You should have experience working in a high-pressure computer operations environment
You should have the ability to work on multiple projects with minimal supervision
You should have the ability to learn quickly and implement new technologies in a rapid, demanding, and changing environment
You should have excellent communication and problem-solving skills
You should have English fluent skills.
You should have networking experience: Layer 2 (Ethernet switches, VLAN), TCP/IP, IP routing (OSPF, BGP)
You should have experience with Juniper Security Director and JunOS-based firewalls
You should have experience working with Ivanti Secure Access (SSL VPN): Portal management, creating and providing access to remote users
You should have Unix and Linux: basic knowledge
You should have a good understanding of wireless technologies and overall strategy for large-scale deployments


VALUES


Care about people’s needs.
Commit to being part of an exciting culture and product evolving within the financial industry.
Collaborate with different stakeholders.
Challenge yourself to be ambitious and achieve your individual as well as the company targets


Global Benefits


Maternity leave : Transition back with 3 days per week in the first month and 4 days per week in the second month
Civil Partnership : 1 week of paid leave if you're getting married. This covers marriages and civil partnerships, including same sex/civil partnership
Family care : 4 weeks of paid family care leave
Recharge days: 4 days per year to use when you need to physically or mentally needed to recharge
Study leave: 2 weeks of paid leave each year for study or personal development


Temenos is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please let us know.

Please make sure to read our Recruitment Privacy Policy"
Ingeniero NOC,Ingeniero NOC,Talent Attraction Process,May,2024,"Únete a nuestro equipo como Ingeniero NOC, serás responsable de monitorear y mantener la infraestructura de red y sistemas para una de las empresas enfocadas a la comercialización de productos y servicios tecnológicos líder en México. Tu trabajo contribuirá a garantizar la disponibilidad, seguridad y rendimiento de nuestros clientes.

✅Requisitos

Licenciatura o Ingeniería en Sistemas, Informática o afín.
Experiencia previa en posiciones similares en el área de redes y telecomunicaciones.
Conocimiento en protocolos de red (TCP/IP, DNS, DHCP, etc.).
Habilidades de resolución de problemas y atención al detalle.
Certificaciones relevantes CCNA, CCNP, etc. (deseables).
Familiaridad con herramientas de monitoreo y gestión de red como DNA Center, SolarWinds, o similares.

✅Funciones o Responsabilidades

Monitorear y gestionar la infraestructura de red para garantizar la disponibilidad y el rendimiento óptimo.
Detectar, diagnosticar y resolver problemas de red y/o de conectividad.
Implementar cambios y actualizaciones de configuración en los dispositivos de red según las necesidades.
Colaborar con otros equipos de TI para garantizar la integridad y la seguridad de la red.
Documentar y mantener registros precisos de las actividades del NOC.
Automatizar el servicio de incidencias.

✅Oferta

Sueldo Competitivo.
Excelente clima laboral.
Prestaciones de ley.
Estabilidad Laboral.."
Network Engineer,Network Engineer,"Sky Systems, Inc. (SkySys)",May,2024,"Role: Network Engineer

Position Type: Full-Time Contract (40hrs/week)

Contract Duration: Long Term

Work Hours: US Time Zone (EST)

Work Schedule: 8 hours/day (Mon-Fri)

Location: Mexico (Remote), Preferably Near CDMX or Queretaro

Responsibilities

Plans and implements enterprise networks and related hardware and software. Designs and documents network architecture. Performs assessments on existing technologies to determine performance and capacity gaps. Establishes security (firewalls, intrusion detection), connectivity and access parameters. Provides recommendations to optimize network infrastructure. Tests and tunes security devices and systems. Programs routers and switches. Implements communications technologies (data or voice). Manages network services from planning phase through implementation. Solid knowledge of routing protocols, network hardware and software, security technologies and network infrastructure is required.

Shift

Monday-Friday (9:00am-6:00pm EST)
Must be available to work during change windows on occasion from 10pm-3am EST (typically only 3-4 times a month)

Must-Have Skills

3-5 years of experience
Bilingual in both Spanish/English (strong written & verbal in both)
Checkpoint Firewall experience
Cisco Firewall experience
Cisco Client experience
Experience with VPN technologies
Experience in large FW environments

Nice-to-Have Skills/Background

Large company/enterprise level financial institution (ALWAYS)
Bilingual in Spanish (ALWAYS)
Routing and switching experience"
Network Systems Engineer,Network Systems Engineer,Cisco,May,2024,"Who We Are

Today’s challenging business environment is more than that – it’s a period of disruption between the pandemic, global business change and internal process complexity. For us to focus on simplicity and the best customer experience, we need great talent and the right skillsets to be successful. This is now a mantra for our Cisco leadership team and for us.

The Control Center Networking team is changing the way we run Cisco’s operations by maximizing the power of technology, the best of business processes and outstanding data insights. Together, we will Reinvent the Cisco experience. Show the world how to Reinvent applications and leverage the future of the Internet to Showcase the power of Cisco: our people, products, processes, systems, and data. Please join us and make this journey together!

What You'll Do

The Network Systems Engineer position is responsible for the support and delivery of Network automation, security, and monitoring services to IoT customers, including maintenance and creation of new tools. In this role, you will be working in a fast-paced, high-impact environment as a visible contributor delivering on our commitments. The ideal candidate is a creative problem solver, comfortable with challenging the status quo and able to rapidly respond to escalated issues. With a top-tier mix of broad networking knowledge and programming skills, as well as excellent troubleshooting skills, you're well positioned to become a trusted advisor capable of building a long list of contributions to your team, Cisco, and their customers.

Who You'll Work With

As part of the Control Center Networking team, you will work with our network architects and engineers, and the mobility team. This is a team of highly motivated individuals running our IoT offer. We move at a fast pace and are passionate about automation. We have a history of building environments at a large scale and are looking for someone with just as much passion as we have.

Who You Are

What is required for this position:

Experience in software development and maintenance experience in at least one of the following: Netconf, Yang, Python
Experience with routing protocols like OSPF, BGP, MPLS, EIGRP
Experience with Nexus platforms: N7K, N9K.
Experience with security protocols, encryption (IPSEC, SSL), VPN, Cisco Firewalls
Experience in utilizing programming/scripting languages such as Python/bash for network automation.
Experienced with CISCO ACI is a plus
Experienced with various container and container orchestration technologies such as Docker, Kubernetes, etc.
Superb attention to detail, specification, and ability to solve/fix complex problems in customer
Excellent hardware/software problem-solving skills and ability to navigate challenging situations in a professional manner with minimal guidance
Well-organized and highly efficient working in a multi-tasking dynamic environment
Self-development attitude and willingness to learn new technologies
Experience collaborating with customers, developers, UX designers, and other non-technical partners.
Able to maintain a high level of coding, testing, and engineering standards
Able to be flexible and adaptable if changes in priorities occur
Self-starters and fast learners who can independently research and resolve issues using appropriate resources
Comfortable working with multi-disciplinary, multicultural, and geographically dispersed teams
Confident and proactive in communicating challenges or opportunities
Committed to their personal success, as well as success of their peers
Technologists at heart and leaders in practice.

Why Cisco

At Cisco, each person brings their unique talents to work as a team and make a difference.

Yes, our technology changes the way the world works, lives, plays, and learns, but our edge comes from our people. We connect everything – people, processes, data, and things – and we use those connections to change our world for the better. We innovate everywhere - From launching a new era of networking that adapts, learns, and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education, and more – from Cities to your everyday devices. We benefit everyone - We do all of this while striving for a culture that empowers every person to be the difference, at work and in our communities.

Colourful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Be you, with us! #WeAreCisco

Cisco is an Affirmative Action and Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis."
(Remote) Junior Network Security Engineer,(Remote) Junior Network Security Engineer,Klar,May,2024,"About KLAR

Let’s start with the basics! Klar is a Mexican fintech startup whose mission is to democratize and revolutionize the way in which financial services have been delivered so far in Mexico, especially since half of the population doesn’t have a bank account. We offer a rich set of products across our debit and credit offers and the future is bright for Klar! We have an exciting and ambitious roadmap to bring more features to our products so that we can better serve our users. We have served more than 2 million users since our launch in 2019!

We are also proud to have been certified in 2023 as a “Great Place to Work” in Mexico - we’ve worked hard to make that happen and will continue to make bigger strides in the future! Sound like a place you’d like to be?

Our people

If you join us at Klar, you’ll be welcomed into a team which is rich in many talents and we are very proud! With our head office in Mexico City, and remote tech hubs in Berlin and Argentina, we are always learning something new about another culture or language. With so many people from different backgrounds and walks of life (parents, LGBTQ+, neurodivergence), you’ll definitely find your people here!

Our values

Ownership - We own our successes & our failures as a team.
Excellence - We do everything to the best of our ability & always seek to achieve a new level of excellence in our work.
Inclusion - We believe we are stronger together and actively work to promote a safe, diverse, inclusive, and respectful culture.
Customer Obsession - We understand the value Klar can bring to its customers & it’s always at the forefront of our decisions.
Klarity - We communicate clearly & with authenticity. It’s in our name & it’s what we do.


Tasks

The position and your daily adventures

This is a full-time remote position and can be performed in timezones similar to our hubs in Mexico City.

What you can expect:

Maintenance and Deployment of Network Security Infrastructure on AWS and On-Premises Data Center.
Infrastructure deployment using Terraform, GitHub.
Network Security enforcement using Palo Alto and Fortinet Firewalls.


Requirements

What we are looking for:

Fast learner, commitment with learning process.
Basic scripting coding knowledge (Phyton, Bash, Batch)
Networking knowledge
Experience in Networking management (virtual, physical)


Preferred Qualifications:

CIsco CCNA Certification
Palo Alto PCNSA Certification
Fortinet FCA Certification
HashiCorp Terraform Associate Certification.


Benefits

Our offer to you

Competitive salary based on performance and experience
Chance of earning Klar stock options
26 days of paid vacation per year
Computer devices
Gympass subscription to offer mental and physical health
Access to Desana, a network of flexible workspaces around the world
International work environment with amazing and highly skilled people
A world class team that helps you evolve your skills in areas you're interested in


Klar is a safe place for everyone!

We trust our highly skilled and diverse team and we’re committed to creating a welcoming and inclusive environment for new talents to flourish. We value diversity and welcome all applications regardless of gender, nationality, ethnic and social origin, religion/belief, physical abilities, age, sexual orientation and identity."
Office Administrator / Executive Assistant,Office Administrator / Executive Assistant,Flight Centre Travel Group,May,2024,"About Us

Flight Centre Travel Group is a Travel Management Company from Australia. It has more than 2,825 offices and 18,500 employees internationally, with operations in countries such as Australia, the United Kingdom, the United States, Canada, the Netherlands, Germany, among many others.

At Flight Center Travel Group México, we care about offering incredible travel experiences. Our travel advisors are experts and highly trained and dedicated to opening the world to those who want to see.

Flight Center Travel Group México employs more than 180 people in its offices in México City, Monterrey, Puebla and Querétaro, in addition to having a corporate travel management network FCM extends to more than 40 countries. Our brands in Mexico are three: FCM, FCM Meetings & Events and Travel Associates.

About The Opportunity

¿Are you someone that loves travelling? ¿Do you feel passionate about working in teams who loves customer service?

This is a great opportunity for you.

We are seeking for an Office Administrator with Bachelor’s degree specialized on Travel Enterprises Management or similar, 2 minimum years of experience developing tasks such as Manage general office services, supplies, stationery, bank reconciliation and be the CEO’s Assistant.

Key Responsibilities

Delivery and access control
Stationery requisition
General office services (manage the staff and be aware of the needs of the office)
Development and delivery of Diversity and Inclusion Initiatives
Manage the schedule of the President of FCTG México & Latam Network
Responsible for the signature management of contracts and NDA’s
Expenses and reconciliations
Mail delivery
Certifications


Experience & Qualifications

2 years of experience as an Office Administrator
Office Suite (Word, Excel, Power Point).
Fluent in English both speaking and writing.
Proactive.
Ability to manage and propose solutions.
Strong organization and control skills.


Work Perks! - What’s in it for you:

FCTG is renowned internationally for having amazing perks and an even better culture. We understand that our people are our most valuable asset. It is the passion and dedication of our teams that keep the company on top of the industry ladder. It’s also why we offer some great employee benefits and perks outside of the norm.

Enjoy the freedom and flexibility of a hybrid work structure that combines both remote and in-person work.
Have fun: At the heart of everything we do at Flight Centre is a desire to have fun.
Reward & Recognition: Celebrate the success of yourself and others at our regular Buzz Nights and at the annual Global Gathering - You'll have to experience it to believe it!
Use your smarts: Our people use their quick thinking, expertise, and tenacity to always figure things out.
Love for travel: We were founded by people who wanted to travel and want others to do the same. That passion is something you can’t miss in our people or service.
Personal connections: We are a big business founded on personal relationships.
Diversity, Equity & Inclusion
DEI education
Commitment to fair practices such as regular equity assessments and inclusive recruitment protocols
A career, not a job: We offer genuine opportunities for people to grow and evolve
We back our people all the way: We are strongly committed to supporting every single employee in their professional and personal development.
Giving Back: Proud Corporate Social Responsibility program supporting nominated charities through Workplace Giving, volunteering and fundraising
Employee giving program
Office Environmental Program
Benefits Include:

Travel perks/discounts
Health & Wellness Programs and Employee Financial Wellness Services.
National/International Award Nights and Conferences.
Group benefits including extended health care.
Insurance including life, critical illness, long term disability.
Employee Assistance Program
Employee Share Plan.
Global career opportunities in a network of brands and businesses


We thank all candidates for their interest; however, only those selected to continue in the process will be contacted.

Our number one philosophy? Our people. Flight Centre Travel Group’s promise is to provide an environment with equality of respect, dignity, and opportunity for all our employees. We value an inclusive and supportive workplace which truly reflects the diversity of our society.

We are committed to providing a barrier-free pathway throughout our recruitment process. We welcome accommodation requests to make our hiring and onboarding experience as accessible as possible. Please advise us about accommodation needs at any point by contacting our Recruitment Team at recursoshumanos@flightcentre.com.mx"
Senior Network Administrator,Senior Network Administrator,Avantive Solutions,May,2024,"Avantive Solutions is currently looking to hire a Senior Network Administrator on a full time, permanent basis. This opportunity can be worked 100% remotely from anywhere in the United States or Mexico and may require occasional travel (up to 10%).

Title: Senior Network Administrator
Location: Remote / Telecommute

Responsibilities:
Responsible for engineering/maintenance of Cisco data communications equipment; routers, switches, etc.
Responsible for development of and compliance with engineering standards including requirements gathering, documentation, product lifecycle plans.
Responsible for coordinating supplemental engineering service providers.
Responsible for providing support on issues related to network maintenance planning, design.
Responsible for providing maintenance (reactive, preventative, and quality assurance) support as well as backup maintenance /installation coverage related to the identified networks / equipment at specific locations.

Competencies:
Basic knowledge of telecommunication systems and data network systems including IP addressing and naming (DNS, DHCP), Internet, Firewalls, Virtual Private Networks (VPNs), LAN switching, Core Network switching and network routing protocols including OSPF and BGP.
Advanced network troubleshooting and network protocol analysis (e.g. WireShark) skills are a plus.
Ability to perform end-to-end troubleshooting of data networks.
Knowledge of intrusion detection and prevention systems (IDS/IPS)
to develop scripts to automate network management tasks on Cisco routers and switches a plus.
Ability personal computer skills (i.e. Word, Excel, Visio, etc.).
Demonstrated in VMware and Windows environments.
Self-motivated with the ability to effectively manage multiple project responsibilities simultaneously.
Team-oriented with a strong work ethic.
Willingness to embrace, influence, and lead change.
Ability to effectively organize tasks, manage multiple priorities/details, meet schedules, and deliver on customer commitments.
Ability to build relationships and work in a team atmosphere.
Ability to provide and accept feedback.
Ability to build relationships, to communicate and work with all levels of management, vendors, and other internal and external groups and customers and exhibit positive influence at all levels.
Must be fluent in English, demonstrated by effective oral and written communications skills with the ability to convey complex technical issues in business terms.
Attention to detail.

Qualifications:
Bachelor's Degree in Computer Science, MIS, or technical degree in Computer Science or related technology is acceptable.
Minimum of 5-7 years of Data Network Experience with Cisco Routing/Switching
Hands on experience working with Cisco router and switches, Cisco IOS, Cisco and Fortinet Firewalls, IP SEC Tunnels, SSL, VPN solutions, Network Device Management, OSPF, BGP, Packet Capture, QoS, IDS/IPS, VMWare Vcenter, ESXi – virtual networking, MS Azure network virtualization, Wireshark, Windows administration (AD, DNS, DHCP)
CCNA highly desired / CCNP certification nice to have."
