Position,Company_Name,Location,Post_Month,Post_Year,Details
(Remote) Junior Network Security Engineer,(Remote) Junior Network Security Engineer,Klar,May,2024,"About KLAR

Let’s start with the basics! Klar is a Mexican fintech startup whose mission is to democratize and revolutionize the way in which financial services have been delivered so far in Mexico, especially since half of the population doesn’t have a bank account. We offer a rich set of products across our debit and credit offers and the future is bright for Klar! We have an exciting and ambitious roadmap to bring more features to our products so that we can better serve our users. We have served more than 2 million users since our launch in 2019!

We are also proud to have been certified in 2023 as a “Great Place to Work” in Mexico - we’ve worked hard to make that happen and will continue to make bigger strides in the future! Sound like a place you’d like to be?

Our people

If you join us at Klar, you’ll be welcomed into a team which is rich in many talents and we are very proud! With our head office in Mexico City, and remote tech hubs in Berlin and Argentina, we are always learning something new about another culture or language. With so many people from different backgrounds and walks of life (parents, LGBTQ+, neurodivergence), you’ll definitely find your people here!

Our values

Ownership - We own our successes & our failures as a team.
Excellence - We do everything to the best of our ability & always seek to achieve a new level of excellence in our work.
Inclusion - We believe we are stronger together and actively work to promote a safe, diverse, inclusive, and respectful culture.
Customer Obsession - We understand the value Klar can bring to its customers & it’s always at the forefront of our decisions.
Klarity - We communicate clearly & with authenticity. It’s in our name & it’s what we do.


Tasks

The position and your daily adventures

This is a full-time remote position and can be performed in timezones similar to our hubs in Mexico City.

What you can expect:

Maintenance and Deployment of Network Security Infrastructure on AWS and On-Premises Data Center.
Infrastructure deployment using Terraform, GitHub.
Network Security enforcement using Palo Alto and Fortinet Firewalls.


Requirements

What we are looking for:

Fast learner, commitment with learning process.
Basic scripting coding knowledge (Phyton, Bash, Batch)
Networking knowledge
Experience in Networking management (virtual, physical)


Preferred Qualifications:

CIsco CCNA Certification
Palo Alto PCNSA Certification
Fortinet FCA Certification
HashiCorp Terraform Associate Certification.


Benefits

Our offer to you

Competitive salary based on performance and experience
Chance of earning Klar stock options
26 days of paid vacation per year
Computer devices
Gympass subscription to offer mental and physical health
Access to Desana, a network of flexible workspaces around the world
International work environment with amazing and highly skilled people
A world class team that helps you evolve your skills in areas you're interested in


Klar is a safe place for everyone!

We trust our highly skilled and diverse team and we’re committed to creating a welcoming and inclusive environment for new talents to flourish. We value diversity and welcome all applications regardless of gender, nationality, ethnic and social origin, religion/belief, physical abilities, age, sexual orientation and identity."
Jr. Network Security Engineer,Jr. Network Security Engineer,Corning Incorporated,March,2024,"Requisition Number: 62618

Corning is vital to progress – in the industries we help shape and in the world we share.

We invent life-changing technologies using materials science. Our scientific and manufacturing expertise, boundless curiosity, and commitment to purposeful invention place us at the center of the way the world interacts, works, learns, and lives.

Our sustained investment in research, development, and invention means we’re always ready to solve the toughest challenges alongside our customers.

Our Optical Communications segment has recently evolved from being a manufacturer of optical fiber and cable, hardware and equipment to being a comprehensive provider of industry-leading optical solutions across the broader communications industry.This segment is classified into two main product groupings – carrier network and enterprise network. The carrier network product group consists primarily of products and solutions for optical-based communications infrastructure for services such as video, data and voice communications. The enterprise network product group consists primarily of optical-based communication networks sold to businesses, governments and individuals for their own use.

Scope of Position

Jr. Network Security Engineer (must have Juniper and Palo Alto experience)

Responsibilities

Physically install and connect firewalls and other security appliances.
Install the latest vendor-approved stable firmware on appliances.
Monitor firewalls for up/down or issues, document, root cause analysis, reporting.
Create virtual firewalls with appropriate configurations and policies.
Configure remote access VPN and site-to-site VPN functionality.
Configure firewall interfaces, network configurations, access control lists and policies, routing, remote access (VPN), and next-generation firewall feature sets implementing best practices.
Integrate firewall with Camstar and other custom MES systems.
Integrate firewall with Ivanti Pulse Secure and other Juniper products as required.
Support out-of-band connectivity devices, and log collectors.
Configure SIEM Integration
Create and manage firewall rulesets.

Ideal Candidate

Bachelor’s degree in computer science, Software Engineering or related field, or an equivalent combination of training and experience is desirable.
One year of Manufacturing or Operational Technology experience.
Minimum of 3 years of Juniper and Palo Alto experience as a network security engineer. Certification will be a plus, but years of proven experience can be considered.
Experience in a technical support role in a networking/security company or equivalent education
Understanding of TCP/IP, routing protocols, L2/L3 switches
Experience with security products firewalls, IPSec, IDS/IPS, Anti-Spam, virus scanning
Working knowledge of Windows, UNIX, or Linux
Fluency in English, both written and verbal, required

Corning Puts YOU First!

We are committed to supporting your health, financial, career development, and life goals as you grow professionally and personally to achieve your highest potential. All benefits begin as soon as you start your career at Corning.

Our monetary peer-to-peer recognition program is tied to our Values and celebrates you and your colleagues’ contributions.
Health and well-being benefits include medical, dental, vision, paid parental leave, mental health/substance use, fitness, and disease management programs.
Companywide bonus and attractive short- and long-term compensation programs are available based on your role and responsibilities.
Professional development programs help you grow and achieve your career goals.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. To request an accommodation, please contact us at accommodations@corning.com ."
Network Security Operations Specialist,Network Security Operations Specialist,Azkait,April,2024,"AZKAIT is a Mexican company that seeks and connects the best IT talent with Latin American and United States companies.

We are looking for your talent as a Network Security Operations Specialist

Duties and responsibilities:

Provides top-level support for internal clients
Remain abreast of changes in user and system software and hardware requirements
Maintain the lifecycle of network security devices
Manage security infrastructure related to the firewall
Create and maintain procedures related to Security and Network Activities
Collaboration and managing with local teams for physical onsite support as well for IMACD of local systems

Requirements:

At least 2 years of experience with security infrastructure, Firewalls, and CISCO network solutions.
Practical knowledge of configuration and management of Fortinet FWs, Forti Web, Fortianalyzer, Cisco FWs (ASA, Firepower), Cisco ISE and RAS VPN (AnyConnect), L2L VPN, Cisco FMC management tool,
Working knowledge of web application firewalls and proxy systems.
Knowledge of network security concepts (radius, 802.1x, DMZ), and DHCP, DNS, and IPAM.
Ability to physically install IT security in the data center and operationalize them.
Automation skills (ansible, python) and Fortigate NSE Certification, will be an advantage
Hybrid: 2 weeks Home Office

What can we offer?

Christmas bonus, 80% bonus, savings fund, food vouchers, mid-year bonus for 8 days, and bonus for meeting annual goals."
Network Security Engineer,Network Security Engineer,LTIMindtree,June,2024,"LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 82,000 talented and entrepreneurial professionals across 30+ countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more info, please visit www.ltimindtree.com

Location: Av. Paseo de la Reforma 250 piso 8, Colonia Juárez, Cuauhtémoc. CP 06600

Job Description:
We are seeking a skilled and experienced Network Security Engineer to join our team. The ideal candidate will have a strong
background in network security with expertise in managing and securing network infrastructure using Palo Alto Firewalls,
Cisco ASAv Firewalls, and Checkpoint Firewalls. As a Network Security Engineer, you will play a crucial role in designing,
implementing, and maintaining secure networks to protect our organization's sensitive data and assets.

Responsibilities:
1. Design, implement, and maintain network security solutions using Palo Alto Firewalls, Cisco ASAv Firewalls, and Checkpoint Firewalls to ensure the confidentiality, integrity, and availability of our network infrastructure.
2. Perform firewall configuration, management, and troubleshooting to ensure optimal performance and security posture.
3. Conduct regular security assessments and audits of network infrastructure to identify vulnerabilities and implement appropriate security controls.
4. Develop and maintain firewall policies, rules, and access control lists (ACLs) based on industry best practices and organizational security requirements.
5. Collaborate with cross-functional teams to integrate security solutions into existing infrastructure and applications.
6. Monitor network traffic and security alerts to detect and respond to security incidents in a timely manner.
7. Implement and manage network segmentation and isolation techniques to limit the impact of security breaches.
8. Provide guidance and support to junior members of the team on network security best practices and procedures.
9. Stay up-to-date with emerging threats, vulnerabilities, and security technologies to continuously improve our network security posture.
10. Participate in incident response activities and contribute to the development of incident response plans and procedures.

Requirements:
1. Bachelor's degree in Computer Science, Information Technology, or related field.
2. Minimum of 7 years of experience in network security engineering roles.
3. Hands-on experience with Palo Alto Firewalls, Cisco ASAv Firewalls, and Checkpoint Firewalls.
4. In-depth understanding of network protocols, OSI model, and TCP/IP stack.
5. Strong knowledge of firewall technologies, including packet filtering, NAT, VPN, and SSL decryption.
6. Experience with security assessment tools and techniques, such as vulnerability scanners and penetration testing.
7. Familiarity with network monitoring and logging tools for security incident detection and analysis.
8. Excellent problem-solving skills and attention to detail.
9. Strong communication and interpersonal skills, with the ability to collaborate effectively with cross-functional teams.
10. Relevant industry certifications, such as CISSP, CCNA Security, CCNP Security, PCNSE, or CCSA, are preferred.
11. Willingness to work in 24X7 projects (Shifts)"
Network Security Engineer,Network Security Engineer,Compucom,May,2024,"Why Compucom?

Compucom Systems, Inc. provides end-to-end IT managed services to enable the digital workplace for enterprise, midsize and small businesses. To enable our clients to focus on what matters most, we employ a customer-centric, hard-working, and talented group of people that Act Like an Owner, Do the Right Thing, and Have Fun Doing It!

Job Summary

The Specialist Network & Security Services Engineer is responsible for maintaining the daily security and operation of the global enterprise data network. This position involves supporting the maintenance, implementation, and configuration of network and security infrastructure and the associated services. This includes routers, switches, firewalls, VPN appliances, and SaaS-based solutions supporting our internet, LAN, and WAN environments. It also includes the daily interaction of our monitoring and reporting services.

The Specialist Network & Security Services Engineer is expected to maintain professional working relationships at all times with internal and external peers, stakeholders, management, partners, and vendors. The position requires being part of an on-call rotation schedule, and carrying a company issued smart phone.

How You'll Shine:

Implement, maintain, manage, and support Travel + Leisure’s global network and security infrastructure, both operationally and in support of key initiatives and projects.
Perform change control and device configuration management activities on all network and security infrastructure and services.
Provides management level reporting of firewall, proxy, and Intrusion Protection System (IPS) device activity on a periodic basis.
Participates in security incident response team activities, providing and implementing tactical risk mitigation to incidents.
Work with the business to develop network and security infrastructure solutions and strategies to satisfy customer requirements, all while ensuring adherence to formal processes, standards, and policies.
Work closely with fellow Network Engineers, various IT Architects, analysts, IT peers, outside vendors, partners, and other resources to evaluate, develop, and propose innovative new technologies, methodologies, processes, and other improvements aimed at improving the effectiveness of the organization.
Perform technical support coordination between Network & Security Services and other IT technical engineering groups, supporting the maintenance and installation, and modification of systems including interfaces, migration of new software releases, system upgrades, and general technical modifications.
Engineer will be required to participate in a rotating on-call shift.

What You'll Bring:

Bachelor’s degree in an IT related discipline or equivalent experience
Advanced knowledge and experience with Cisco IOS, NXOS, Palo Alto PANOS, Cloud Proxy Solutions (Zscaler is a plus),
Expert knowledge of dynamic routing protocols such as OSPF, BGP, EIGRP, and RIP, including configuration, optimization, and troubleshooting in complex network environments.
Active Certifications: CCNP, PCNSE, and AWS related certifications are highly desirable.
NetDevOps and/or SecDevOps and automation practices for the configuration, deployment, and management of related infrastructure (Python, Ansible, Terraform, bash scripting, etc.)
Experience with Splunk or similar SEIM platforms (CrowdStrike LogScale a plus)
Fundamental knowledge of SOX/PCI/PII standards and regulations to meet compliance demands.
Other preferred knowledge includes wireless networking, network monitoring, (SolarWinds HCO a plus)
3 to 5 years of relevant work experience in a mid-to-large enterprise with 24x7 production operations
Advanced level of English speaking

We offer

Base salary between 50K & 56K mxn pesos per month
Christmas bonus averaging 30 days’ pay for every year.
Grocery vouchers equivalent to 10% of your monthly salary and $2,388 mxn pesos in restaurant vouchers (both additional to your base salary)
Major Medical Expense Plan.
Life insurance
Saving fund: 10% of your base salary,

*If you are interested, please send your resume in English

Equal Employment Opportunity

CompuCom is committed to providing equal employment opportunities in all employment practices. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, citizenship status, marital status, age, disability, protected veteran status, sexual orientation or any other characteristic protected by law."
Network & Security Engineer,Network & Security Engineer,Compucom,May,2024,"Why Compucom?

Compucom Systems, Inc. provides end-to-end IT managed services to enable the digital workplace for enterprise, midsize and small businesses. To enable our clients to focus on what matters most, we employ a customer-centric, hard-working, and talented group of people that Act Like an Owner, Do the Right Thing, and Have Fun Doing It!

Job Summary

The Specialist Network & Security Services Engineer is responsible for maintaining the daily security and operation of the global enterprise data network. This position involves supporting the maintenance, implementation, and configuration of network and security infrastructure and the associated services. This includes routers, switches, firewalls, VPN appliances, and SaaS-based solutions supporting our internet, LAN, and WAN environments. It also includes the daily interaction of our monitoring and reporting services.

The Specialist Network & Security Services Engineer is expected to maintain professional working relationships at all times with internal and external peers, stakeholders, management, partners, and vendors. The position requires being part of an on-call rotation schedule, and carrying a company issued smart phone.

How You'll Shine

Implement, maintain, manage, and support Travel + Leisure’s global network and security infrastructure, both operationally and in support of key initiatives and projects.
Perform change control and device configuration management activities on all network and security infrastructure and services.
Provides management level reporting of firewall, proxy, and Intrusion Protection System (IPS) device activity on a periodic basis.
Participates in security incident response team activities, providing and implementing tactical risk mitigation to incidents.
Work with the business to develop network and security infrastructure solutions and strategies to satisfy customer requirements, all while ensuring adherence to formal processes, standards, and policies.
Work closely with fellow Network Engineers, various IT Architects, analysts, IT peers, outside vendors, partners, and other resources to evaluate, develop, and propose innovative new technologies, methodologies, processes, and other improvements aimed at improving the effectiveness of the organization.
Perform technical support coordination between Network & Security Services and other IT technical engineering groups, supporting the maintenance and installation, and modification of systems including interfaces, migration of new software releases, system upgrades, and general technical modifications.
Engineer will be required to participate in a rotating on-call shift.

What You'll Bring

Bachelor’s degree in an IT related discipline or equivalent experience
Advanced knowledge and experience with Cisco IOS, NXOS, Palo Alto PANOS, Cloud Proxy Solutions (Zscaler is a plus),
Expert knowledge of dynamic routing protocols such as OSPF, BGP, EIGRP, and RIP, including configuration, optimization, and troubleshooting in complex network environments.
Active Certifications: CCNP, PCNSE, and AWS related certifications are highly desirable.
NetDevOps and/or SecDevOps and automation practices for the configuration, deployment, and management of related infrastructure (Python, Ansible, Terraform, bash scripting, etc.)
Experience with Splunk or similar SEIM platforms (CrowdStrike LogScale a plus)
Fundamental knowledge of SOX/PCI/PII standards and regulations to meet compliance demands.
Other preferred knowledge includes wireless networking, network monitoring, (SolarWinds HCO a plus)
3 to 5 years of relevant work experience in a mid-to-large enterprise with 24x7 production operations
Advanced level of English speaking

We offer

Base salary between 50K & 56K mxn pesos per month
Christmas bonus averaging 30 days’ pay for every year.
Grocery vouchers equivalent to 10% of your monthly salary and $2,388 mxn pesos in restaurant vouchers (both additional to your base salary)
Major Medical Expense Plan.
Life insurance
Saving fund: 10% of your base salary,
If you are interested, please send your resume in English

Equal Employment Opportunity

CompuCom is committed to providing equal employment opportunities in all employment practices. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, citizenship status, marital status, age, disability, protected veteran status, sexual orientation or any other characteristic protected by law."
Network Security & Operations Engineer,Network Security & Operations Engineer,GBM,May,2024,"México, Ciudad de México, Benito Juárez, Insurgentes Sur, Torre Mural
Full time job


Descripción de la empresa

Millones de mexicanos buscan oportunidades para invertir, crecer y poner su dinero a trabajar. Es la base de sus sueños y una forma de planificar lo que más importa. Nuestra misión es hacer que las inversiones sean accesibles para todos los mexicanos de manera que se sientan respaldados, guiados en cada decisión y con la confianza de que su dinero está respaldado por expertos.

Con más de 35 años de experiencia en banca de inversión, GBM está digitalizando productos financieros que de otro modo serían difíciles de explorar, comprender y acceder, capacitando a los clientes para que tomen el control de su dinero mientras aprenden más sobre cómo hacer planes financieros con el apoyo de los mejores asesores. y analistas.

Descripción del empleo

Contribuir en la evaluación, diseño, implementación y optimización de tecnologías de redes LAN, WAN y WLAN, automatización, monitoreo y seguridad de red, ejecutando cambios de configuración para habilitar nuevas funciones o cumplir requisitos, proporcionando un segundo nivel de soporte al equipo de servicio de TI para resolver problemas e incidentes relacionados con las tecnologías en su dominio.

Que harás en el día a día


Operación, Gestión y Soporte sobre tecnologías Cisco (Routing, Switching, SD-WAN, Meraki, Firepower)
Operación, Gestión y Soporte de plataformas de Zero Trust Network Access (Zscaler)
Operación, Gestión y Soporte de Firewalls (Palo Alto, Juniper, Firepower)
Operación y Gestión de plataformas de monitoreo y alertamiento (PRTG, Grafana)
Actividades de soporte en datacenter ambas remotamente y en sitio.
Atención a usuarios internos vía tickets de servicio JIRA
Diseño de scripts y playbooks de Ansible para automatización de redes.
Creación, Seguimiento y Cierre de casos con proveedores.


Requisitos


Ingeniería en computación, telecomunicaciones o carrera afín.
3 años de experiencia como ingeniero de red o ingeniero de firewall.
Profundo conocimiento del entorno de desarrollo manejando tecnologías Cisco (Routing, Switching, SD-WAN, Meraki, Firepower).
Manejo de tecnologías Firewalls como Palo Alto, Juniper, Cisco Firepower Cloud Networking en AWS.
Conocimiento en el manejo y diseño de scripts y playbooks de automatización de red con ANSIBLE.
Deseables conocimientos de cloud o AWS enfocado en seguridad.
Trabajo con comunicación asertiva, solución a problemas y enfoque a resultados.


Idioma

Inglés (Intermedio)

Información Adicional

Beneficios


Salario y paquete de compensación competitivo
Contratación indefinida directamente por GBM
Esquema 100% nominal
Formación y plan de carrera
Para postularte es indispensable que leas y aceptes nuestro Aviso de Privacidad para Candidatos que se alinea a la ley de protección de datos personales y especifica el uso que le daremos a los mismos únicamente con fines de reclutamiento."
Senior Network Security Engineer,Senior Network Security Engineer,First Advantage,May,2024,"This position will be responsible for network security across First Advantages fleet of applications. This role will have a strong focus on firewall security policy improvements as well as intrusion prevention system policy improvements.

Tech Stack

Palo Alto NGFW/Panorama Security Policy and Advance Threat Prevention
F5 WAF

Key Responsibilities

Continuously improve Palo Alto security configurations to protect First Advantage infrastructure
Design, deploy and improve security policies leveraging the full capabilities of Palo Alto firewalls
Identify and improve IPS deployments inline with organizational requirements
Assist in the response and tuning of IPS policies and procedures
Work closely with Application leads to discover, classify and document workload network patterns
Deploy, tune and optimize web application firewalls for the protection of applications
Assist in the response and tuning of WAF security policies.

Qualifications:

3 + years’ experience of Enterprise Firewall security policy and IPS * Enterprise experience implementing complex networking environments * Experience with Palo Alto security products * F5 Experience

United States Equal Opportunity Employment:

First Advantage is proud to be a global leader in removing barriers and supporting our community members to ensure the changing demographics of the workforce are reflected in our hiring and employment practices. We value all of our candidates, employees, and clients, and place great emphasis on hiring and supporting qualified individuals in each role. We are an equal opportunity employer. We do not discriminate on the basis of race, color, ethnicity, ancestry, religion, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, genetic information, or any other area protected by applicable law."
Network Security Engineer,Network Security Engineer,Corning Incorporated,April,2024,"Requisition Number: 62617

Corning is vital to progress – in the industries we help shape and in the world we share.

We invent life-changing technologies using materials science. Our scientific and manufacturing expertise, boundless curiosity, and commitment to purposeful invention place us at the center of the way the world interacts, works, learns, and lives.

Our sustained investment in research, development, and invention means we’re always ready to solve the toughest challenges alongside our customers.

Our Optical Communications segment has recently evolved from being a manufacturer of optical fiber and cable, hardware and equipment to being a comprehensive provider of industry-leading optical solutions across the broader communications industry.This segment is classified into two main product groupings – carrier network and enterprise network. The carrier network product group consists primarily of products and solutions for optical-based communications infrastructure for services such as video, data and voice communications. The enterprise network product group consists primarily of optical-based communication networks sold to businesses, governments and individuals for their own use.

Scope of Position

We are currently seeking a Network Security Engineer (must have Juniper and Palo Alto experience)

Responsibilities

Physically install and connect firewalls and other security appliances.
Install the latest vendor-approved stable firmware on appliances.
Monitor firewalls for up/down or issues, document, root cause analysis, reporting.
Create virtual firewalls with appropriate configurations and policies.
Configure remote access VPN and site-to-site VPN functionality.
Configure firewall interfaces, network configurations, access control lists and policies, routing, remote access (VPN), and next-generation firewall feature sets implementing best practices.
Integrate firewall with Camstar and other custom MES systems.
Integrate firewall with Ivanti Pulse Secure and other Juniper products as required.
Support out-of-band connectivity devices, and log collectors.
Create and manage firewall rulesets.
Advanced troubleshooting on the full range of Juniper SRX and Palo Alto products.

Requirements

Bachelor’s degree in computer science, Software Engineering or related field, or an equivalent combination of training and experience is desirable.
One year of Manufacturing or Operational Technology experience.
MUST HAVE 5+ years of Juniper and Palo Alto experience, including but not limited to Juniper SPACE/Security Director, Junos SPACE Essentials, Junos SPACE – Security Director, Ivanti/Pulse PPS, License Manager, and Client Pulse Policy Secure. PCNSE certification.
Experience in a technical support role in a networking/security company or equivalent education
Strong understanding of TCP/IP, routing protocols, L2/L3 switches
Experience with security products firewalls, IPSec, IDS/IPS, Anti-Spam, virus scanning
Extensive working knowledge of Windows, UNIX, or Linux
Juniper JNCIP-SEC is required, and JNCIE-SEC is optional

Corning Puts YOU First!

We are committed to supporting your health, financial, career development, and life goals as you grow professionally and personally to achieve your highest potential. All benefits begin as soon as you start your career at Corning.

Our monetary peer-to-peer recognition program is tied to our Values and celebrates you and your colleagues’ contributions.
Health and well-being benefits include medical, dental, vision, paid parental leave, mental health/substance use, fitness, and disease management programs.
Companywide bonus and attractive short- and long-term compensation programs are available based on your role and responsibilities.
Professional development programs help you grow and achieve your career goals.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. To request an accommodation, please contact us at accommodations@corning.com ."
Network Security Architect,Network Security Architect,Tata Consultancy Services,May,2024,"Hi Folks,

Hope you are having a great week. I work for Tata Consultancy Services, and we're currently seeking professionals with your unique skillset.
I was glad to see that you have been following our page on LinkedIn and actively interacting with our updates. We also have several shared connections. This encouraged me to reach out and learn more about your career aspirations.
Tata Consultancy Services is looking for Network Security Architect to join our team on a full-time basis. Work location Mexico or Any Mexico location.
If you are interested. Kindly share resume to m.110@tcs.com
If your Interested Please let know your salary expectation MXN Poses .

Job Discerptions:
Create and maintain network security architecture vision, road map and strategy
that aligns to GCIS and GTS leadership supported goals.
• Collaborate with Security Architecture leadership, other internal GCIS, GTS teams,
vendors, and business units to provide network security recommendations and
risks related to designs, standards, patterns and mitigations to securely meet
network reliability, tactical, performance and controls needs.
• Close collaboration with network security vendors (PaloAlto, ZScaler, ACI) to
support design for network engineering activities and operational support for
network related business initiatives.
• Provide security architecture assessment of risks and mitigations for acquisition,
development, installation, and testing of network hardware services implemented
by partners supporting business capabilities for voice, data, video, high availability
and disaster recovery.
• Champion and present recommendations to obtain approval to implement
network security solutions.
• Provide network security governance recommendations that scale and are flexible
to enable continuous improvement, adhere to industry standard regulatory,
geographical, and internal business policies and standards.
• Develop and document network security architecture models and
templates. Contribute network security content for the GCIS capability
model. Produce all other required security architecture documents such as risk
memos, position papers and solution architectures.
• Participate and drive enterprise and team collaboration as requested and required
to support deliverables. Enable architectural leadership within engaged and
assigned forums and projects, acting as a guide by example for collaboration,
thought leadership and expertise in network security architecture."
