Position,Company_Name,Location,Post_Month,Post_Year,Details
Business Analyst,Business Analyst,AstraZeneca,May,2024,"About The AstraZeneca

AstraZeneca is a global, innovation-driven biopharmaceutical business that focuses on the discovery, development, and commercialization of prescription medicines for some of the world's most serious diseases. But we're more than one of the world's leading pharmaceutical companies.

At AstraZeneca, we're proud to have a unique workplace culture that inspires innovation and collaboration. Here, employees are empowered to express diverse perspectives - and are made to feel valued, energized and rewarded for their ideas and creativity.

About The Team

R&D IT’s vision is to deliver the best science IT capabilities in biopharma, which we define as agile, responsive and fit-for-future. Our goal is to engage with our stakeholders as a strategic partner in delivering life-changing medicines to our patients. The desired effect of your role is to take accountability as a leader for delivering a ‘Best in Class’ IT experience within R&D IT.

Delivering the portfolio of projects and services needs people with hybrid skill sets covering technical, analytical, project management, service management and business analysis skills, combined with an excellent knowledge of finance as well as product and portfolio strategy processes. Our Business Analysts contribute to a range of projects including IT development, data management, analytics, AI, machine learning, business transformation and more. Our projects deploy a range of technologies including internal custom build solutions, packaged software, ERP solutions, Software as a Service as well as Cloud based solutions and BI tools.

About The Role

Are you a leader with a growth mindset who possesses expertise in, and passion for, managing portfolios and improving processes? Would you like to apply your expertise to impact a company that follows the science and turns ideas into life changing medicines? If so, AstraZeneca might be the one for you!

The Business Analyst will be an integral part of the development and management of a ‘Best in Class’ Portfolio Governance and Program Management process. They understand the delivery lifecycle, are confident facing business functional areas and possess project management skills such as Finance and Resource Management and Risk/Issue Management. To do this you will be accountable for the following:

The Business Analyst will be accountable for:


Process Optimization
Assess and define stakeholder needs and areas for improvement, within a complex multi layered organization.
Optimize process of requirements management planning including objective prioritization of demands.
Collaborate across R&D IT Stakeholders to develop plans for benefits tracking and realization.
Proactively seek out opportunities and propose solutions to enhance and improve internal R&D IT governance processes in alignment with strategic goals.
Select the appropriate analysis approach for a piece of work. Plan and manage your own and other team member’s activities to meet deliverable requirements and deadlines.
Identify key stakeholders, and actively build relationships according to individual stakeholder needs and levels of influence.
Contribute to communication and change management planning and delivery across R&D IT.




Project Planning & Delivery
Lead the work with stakeholders to identify requirements and translate the requirements into design specifications reflecting Functional Design, User Interface Design and Process Design.
Partner with the Architecture and Engineering teams, ensuring the technical solution will deliver the agreed business benefits.
Analyze and assess solution proposals, providing clear supporting reasoning. (i.e. assessing stakeholder readiness, maximizing value vs. spend).
Respond effectively to changing stakeholder priorities with ability to plan ahead, accounting for potential changes and corrective actions.


Requirements

Essential


Established knowledge of or experience with portfolio governance and/or program management.
Experience with process improvements including: process mapping, operating model design and process optimization.
Proven experience of successfully deploying business analysis tools/techniques to enable business change.
Well-developed organizational, interpersonal, written, and verbal communication skills.
Proven experience of working with complex integrated systems, using creative and strategic thinking to deliver exceptional results.
Strong engagement, communication, and stakeholder management skills, including excellent presentation and influencing skills.
Experience of virtual collaboration to lead, shape and develop innovative solutions.
Demonstrated skills interacting with Senior Leaders.
Excellent relationship management and influencing skills.
Experience working with and managing third party suppliers/vendors.
An entrepreneurial mindset and the proven ability to shape innovative solutions


Desirable


Degree in relevant discipline and/or formal certification in business analysis practice.
Practical usage of Agile Methodology.
Experience of working in a global organization with complex/geographical context.
Exposure to User Centered Design and Design thinking (User Experience, Prototyping, User Interface Design and Business Process Design


📌Strong English Communication Skills Required.

📌 Positions are open to Mexican Citizens and official residents of Mexico.

📍 Location: Guadalajara (hybrid - Expectation of working in the office 3 days a week)

When we put unexpected teams in the same room, we unleash bold thinking with the power to inspire life-changing medicines. In-person working give us the platform we need to connect, work at pace and challenge perceptions. That’s why we work, on average, a minimum of three days per week from the office. But that doesn’t mean we’re not flexible. We balance the expectation of being in the office while respecting individual flexibility.

Why AstraZeneca?

At AstraZeneca when we see an opportunity for change, we seize it and make it happen, because any opportunity no matter how small, can be the start of something big. Delivering life-changing medicines is about being entrepreneurial - finding those moments and recognising their potential. Join us on our journey of building a new kind of organisation to reset expectations of what a bio-pharmaceutical company can be. This means we’re opening new ways to work, pioneering cutting edge methods and bringing unexpected teams together.

Interested? Come and join our journey.

So, what’s next!

Are you already imagining yourself joining our team? Good, because we can’t wait to hear from you.

Where can I find out more?

Our Social Media:

Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/

Follow AstraZeneca on Facebook https://www.facebook.com/astrazenecacareers/

Follow AstraZeneca on Instagram https://www.instagram.com/astrazeneca_careers/?hl=en

AstraZeneca is an equal opportunity employer.

AstraZeneca will consider all qualified applicants for employment without discrimination on grounds of disability, sex or sexual orientation, pregnancy or maternity leave status, race or national or ethnic origin, age, religion or belief, gender identity or re-assignment, marital or civil partnership status, protected veteran status (if applicable) or any other characteristic protected by law. AstraZeneca only employs individuals with the right to work in the country/ies where the role is advertised."
Business Analyst,Business Analyst,Wipro,May,2024,"About Wipro
Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs.
We leverage our holistic portfolio of capabilities in consulting, design, engineering, operations, and emerging technologies to help clients realize their boldest ambitions and build future-ready, sustainable businesses.
A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 250,000 dedicated employees serving clients across 66 countries.
We deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world.
· A PROUD HISTORY OF OVER 75 YEARS
· FY22 REVENUE 10.4 BN USD
· WE’RE PRESENT IN 66 COUNTRIES
· OVER 1,400 ACTIVE GLOBAL CLIENTS

Role
BUSINESS ANALYST

Key Skills
Banking experience
Agile
Advanced English

To Support the Business/Project end to end.
Coordinate with the Business Teams along with the Vendors for project enhancements and ensure the Business Process works smoothly.
Proactively monitor the developments that are brought in to enhance the business Process. Responsible for all the requirements Gathering and preparing of Functional Specification Documents along with being the firsthand reviewer for the Technical Specification Documents.
Responsible for Designing the Future Roadmaps and prioritizing Requirements/Developments after analysis based on Business demands/needs.
Responsible to carry User Acceptance Testing with Business for each newly introduced Process/Development/Assignment.
Responsible for creating JIRA tickets (Epics, User Stories, Defects) and keep updating them based on respective Sprints and Releases.
Responsible for creating Business Process Diagrams, Technical Diagrams, Technical Designs, Architectural Landscapes for Business Process Enhancements.
Responsible for creating the Business Test Scenarios, Test Cases based on test scenarios and QA validation for different projects/assignments. This would also include Regression testing for all existing functionalities.
Location
Hybrid in Mexico City 3 days per week in the Office

Experience
4 yoe as BA in a banking domain

Qualifications
Bachelor's Degree

Wipro offers: Benefits above law, full payroll, constant training, growth opportunity.

Wipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law."
Analista corporativo,Analista corporativo,Wipro,May,2024,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs.
We leverage our holistic portfolio of capabilities in consulting, design, engineering, operations, and emerging technologies to help clients realize their boldest ambitions and build future-ready, sustainable businesses.
A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 250,000 dedicated employees serving clients across 66 countries.
We deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world.
A PROUD HISTORY OF OVER 75 YEARS
FY22 REVENUE 10.4 BN USD
WE ARE PRESENT IN 66 COUNTRIES
OVER 1,400 ACTIVE GLOBAL CLIENTS
Role: Bussnes analyst
To Support the Business/Project end to end.
Coordinate with the Business Teams along with the Vendors for project enhancements and ensure the Business Process works smoothly.
Proactively monitor the developments that are brought in to enhance the business Process. Responsible for all the requirements Gathering and preparing of Functional Specification Documents along with being the firsthand reviewer for the Technical Specification Documents.
Responsible for Designing the Future Roadmaps and prioritizing Requirements/Developments after analysis based on Business demands/needs.
Responsible to carry User Acceptance Testing with Business for each newly introduced Process/Development/Assignment.
Responsible for creating JIRA tickets (Epics, User Stories, Defects) and keep updating them based on respective Sprints and Releases.
Responsible for creating Business Process Diagrams, Technical Diagrams, Technical Designs, Architectural Landscapes for Business Process Enhancements.
Responsible for creating the Business Test Scenarios, Test Cases based on test scenarios and QA validation for different projects/assignments. This would also include Regression testing for all existing functionalities.
Location Hybrid in Mexico City- 3 days per week in the Office
Wipro offers: Benefits above law, full payroll, constant training, and growth opportunity.
Wipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law."
Analista de Negocio,Analista de Negocio,Azkait,June,2024,"AZKAIT es una empresa Mexicana que busca y conecta el mejor talento IT con empresas Latinoamericanas y de Estados Unidos.

Estamos en la búsqueda de tu talento como Analista de Negocio.

Funciones principales:

Identificar las necesidades y requerimientos en sistemas financieros y de crédito.
Desarrollo de especificaciones.

Requisitos:

Dominio del lenguaje de programación JAVA.
Dominio del lenguaje de consulta de base de datos SQL.
Dominio de frameworks como Spring, JPA, Hibernate.
Familiaridad con los Servicios Web.

¿Qué ofrecemos?

Seguro de Vida
Seguro de gastos médicos mayores individual
Prestaciones de Ley (12 de vacaciones, 15 días de aguinaldo, 25% prima vacacional)
Contrato indeterminado, posterior a 3 meses de prueba
Trabajo híbrido: mínimo 2 a 3 días en oficina."
Analista de Negocio/ Mapeo de procesos,Analista de Negocio/ Mapeo de procesos,Gentera,May,2024,"¡Buscamos tu talento!

Objetivo:
Administrar los customer journey, responsable de contar con la base los procesos operativos y de negocio, así como de los artefactos a utilizar en la arquitectura de negocio y su análisis para la identificación de impactos.

Experiencia en:
Mapeo de procesos operativos bajo notación BPMN (mínimo 2 años)
Mapas de experiencia de cliente (1 a 2 años).
Experiencia en proyectos dentro de la industria bancaria o financiera (1 año)
Uso de Visio, BizAgi o Miro (Deseable).
Experiencia en adopción del cambio (Deseable)
Conocimiento en TOGAF (Deseable)

Años de experiencia: Mínimo 2 años en una posición similar.

Ubicación: Insurgentes Sur (CDMX)

""Si quisieras continuar en el proceso, por favor postúlate en la liga anexando tu CV.""
“En los procesos de atracción de talento de Gentera otorgamos las mismas oportunidades a las personas candidatas, valoramos sus competencias profesionales, capacidades y habilidades independientemente de su edad, sexo, discapacidad, raza, etnia, origen, religión, situación económica o cualquier otra condición.
En Gentera no solicitamos certificados médicos de no embarazo o virus de inmunodeficiencia humana (VIH) como requisito para ingreso.”"
Analista de Gestión del Cambio - Experiencia en proyectos de tecnología,Analista de Gestión del Cambio - Experiencia en proyectos de tecnología,SEIDOR Chile,June,2024,"¿Conoces SEIDOR? Somos una consultora tecnológica que ofrece un portafolio integral de soluciones y servicios de innovación, customer experience, ERP, analytics, employee experience, cloud, workplace y ciberseguridad. Llevamos más de 40 años creyendo en la tecnología para transformar organizaciones, apostamos por el valor de las personas y su el talento. Queremos que seas parte de este gran equipo de trabajo para que juntos enfrentemos nuevos retos tecnológicos, con entusiasmo y decididos por lograr nuestros objetivos.

En SEIDOR nos encontramos en búsqueda de un Analista de Gestión del Cambio, responsable de ejecutar procesos de transformación organizacional en nuestros clientes, desempeñando un papel clave en la definición de estrategias, la implementación de planes de gestión del cambio y la facilitación de la adopción exitosa de nuevos procesos.

Requisitos:
Contar con título en Administración de Empresas, Ingeniería Industrial, Psicología Organizacional u otro campo relacionado.
Al menos 3 años de experiencia como Consultor de Gestión del cambio realizando proyectos en el rubro de la tecnología (Excluyente).
Conocimiento profundo de herramientas de diagnóstico y estrategias de gestión del cambio.
Capacidad para trabajar en colaboración con equipos multidisciplinarios y clientes.
Deseable formación específica en gestión del cambio, diplomado o certificación.

Condiciones Laborales:
Trabajo Híbrido en Ciudad de Monterrey."
ANALISTA MANUFACTURA || CORPORATIVO,ANALISTA MANUFACTURA || CORPORATIVO,Coca-Cola FEMSA,May,2024,"Analista Manufactura

Responsabilidades Del Puesto

Estamos buscando candidatos para la posición de Analista Manufactura el área de Cadena Suministro, dentro de las responsabilidades principales se encuentran las siguientes:

Colaborar y trabajar en equipo con las operaciones donde tenemos presencia en KOF.
Desarrollar en Power Bi diversas propuestas para automatizar el trabajo manual que se realizan en las diferentes actividades de gestión de Manufactura.
Asesorar al equipo en el uso de las herramientas digitales y de colaboración como Teams y Power Bi.
Dar soporte a los diferentes países en cuanto al despliegue de las iniciativas de Manufactura.
Gestionar proyectos de optimización de recursos y digitalización de procesos.
Análisis de KPI´s de Manufactura para detectar oportunidades de mejora.
Gestionar y liderar implementaciones de proyectos e iniciativas desde lo estratégico hasta el piso operativo.


Requerimientos Del Perfil

Formación: Licenciatura en Ingeniería Industrial, Química, Mecánica, o afines
Experiencia deseable/ requerida: Experiencia en los procesos de Manufactura (envasado, procesos críticos.) Manejo y cálculo de KPI´s de Manufactura (operativos y de costo). Análisis y correlación de datos
Conocimientos técnicos: Conocimientos en herramientas digitales aplicadas a la Manufactura y en procesos industriales y de la manufactura de bebidas .
Herramientas: Paquetería Office (Excel avanzado), SAP básico, Power BI básico.
Buen performance en las siguientes competencias: Comunicación efectiva, Trabajo en equipo, Gestión de Proyectos, Análisis de datos.
Idiomas : Inglés nivel intermedio-avanzado y Portugués deseable.


Si estas interesado en esta oportunidad y cumples con los requisitos ¡POSTULATE!

Recuerda mantener actualizado tu perfil de colaborador en SSFF."
Business Analyst | Operations,Business Analyst | Operations,Kavak.com,May,2024,"Kavak es una marca disruptiva y una compañía que busca cambiar las reglas del juego ofreciendo soluciones a través de la tecnología.
Nuestra misión es potenciar la vida de las personas a través del acceso a un automóvil. Desbloqueamos el poder transformador que tiene un auto para que las personas puedan simplemente disfrutar del viaje.

""Las personas son el corazón de todo lo que hacemos"".

¡Únete a nosotros como Business Analyst | Operations - CDMX, Reforma!

¿Qué vas a hacer?

Identificar oportunidades de mejora en todas las áreas de operaciones mediante el análisis de datos, discusión con stakeholders y presentación de insights claros. Buscamos una persona con una mente analítica, capaz de convertir datos en acciones concretas del negocio.

Elaborar análisis de datos exhaustivos para identificar oportunidades de mejora en el área de Operaciones.
Utilizar herramientas analíticas como SQL, Excel y Tableau para generar consultas y análisis de datos que generen insights e impulsen la toma de decisiones.
Desarrollar y mantener dashboards efectivos en Excel y Tableau para realizar seguimiento de métricas clave de desempeño.
Crear y mantener dashboards que permitan realizar un seguimiento continuo del desempeño comercial.
Colaborar con equipos multifuncionales para comprender los desafíos operativos y proponer soluciones basadas en datos.
Preparar análisis y presentaciones ejecutivas para comunicar hallazgos y recomendaciones a la alta dirección.

¿Qué buscamos?
Licenciatura concluida.
2 a 3 años de experiencia mínima en la extracción de datos y análisis de la información para recomendaciones a los stakeholders.
SQL (consultas y programación)
Excel avanzado, Tableau.
Pensamiento altamente analítico.
Proactivo.

¿Qué ofrecemos?
Sueldo competitivo.
Desarrollo personal y profesional.
Prestaciones de ley y superiores.
Seguro de Gastos Médicos Mayores.
Vales de despensa.
Seguro de Vida.
Vacaciones superiores a las de la ley.
¡La mejor cultura laboral!

Este rol es primordial para el crecimiento de KAVAK en esta etapa de innovación, consolidación y expansión.
Al aplicar a cualquiera de nuestras vacantes aceptas los Términos & Condiciones y la Política de Privacidad, que encuentras en nuestra pagina web www.kavak.com"
Business Analyst (BAN0201-0001),Business Analyst (BAN0201-0001),Rules Cube,May,2024,"Senior Business Analyst

Estamos buscando un Senior Business Analyst talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

5 años de experiencia en el sector bancario
Análisis exhaustivo y detallado de los requerimientos para detectar ambigüedades tempranas
Elaboración de Diseño Funcional, detallando las consideraciones generales del proyecto y los insumos necesarios para su desarrollo final
Diseño formal de casos de uso, garantizando la claridad y detalle de los requisitos solicitados por el usuario
Definición conjunta con el equipo de ejecución de proyecto y usuarios de la solución a nivel funcional de los requerimientos
Colaboración en la generación de historias de usuario junto al Product Owner para garantizar un correcto entendimiento por parte del equipo Scrum
Aseguramiento del cumplimiento de criterios de aceptación en conjunto con el Product Owner y el equipo de pruebas
Excelente compresión de lectura

Requisitos Indispensables para ser Considerado

Experiencia en diseño de casos de uso y procesos
Habilidad en diagramación, modelado y prototipado
Conocimiento en el uso de repositorios de información
Familiaridad con metodologías de proyectos

Requisitos Deseables

Experiencia en sistemas bancarios
Conocimiento de metodologías ágiles, especialmente Scrum
Dominio de herramientas como Jira y Confluence

Qué te ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 30,000 – MXN 40,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

ivVnpAifPH"
Analista de Operaciones para Tarjetas Corporativas,Analista de Operaciones para Tarjetas Corporativas,HSBC,May,2024,"Job Description

Please note this job advertisement is only available in Spanish. To view the job, select ‘Español - ES’ from the language selector in the page menu

Si está buscando una carrera en la que pueda causar una verdadera impresión, únase al Centro de servicio global (GSC) de HSBC y descubra lo valioso que será. HSBC es una de las organizaciones de servicios bancarios y financieros más grandes del mundo, con operaciones en 64 países y territorios. Nuestro objetivo es estar donde está el crecimiento, permitir que las empresas prosperen y las economías prosperen y, en última instancia, ayudar a las personas a cumplir sus sueños y realizar sus metas.

Actualmente nos encontramos en la búsqueda de un profesional con experiencia para incorporarse a nuestro equipo en el puesto de Analista de Operaciones para Tarjetas Corporativas

Propósito del puesto:

Atender y dar seguimiento directo a dudas y solicitudes de clientes con múltiples perfiles, necesidades y prioridades que buscan garantizar la eficiencia en sus procesos de pagos con los productos de Tarjetas Corporativas de HSBC.

Supervisar y actuar de forma proactiva para procurar el cumplimiento de los servicios otorgados tanto por proveedores externos como internos; con base en lo lineamientos establecidos para la operación de grabación y envío de tarjetas, servicios de postventa y auditoría.
Analizar y manipular bases de datos para la creación de métricas y reportes; así como identificar áreas de oportunidad en temas de calidad de datos y mejora de procesos con el objetivo de robustecer las capacidades del portfolio de productos Tarjetas Corporativas.
Apoyar al Equipo de Tarjetas Corporativas en la definición e implementación de nuevos proyectos que tendrán como objetivo mejorar la experiencia de los clientes y usuarios de HSBC.

Analizar bases de datos para supervisar la calidad de la información, generación de tablas, definición de controles y explotación de información. Elaborar métricas diarias, semanales y mensuales a proveedores, dirección y negocio.

Elaborar y mantener actualizada la documentación correspondiente a los productos, servicios y material de soporte para el equipo de Tarjetas Corporativas.
Brindar soporte a los Equipos de Implementación, Relationship Managers y Ventas de HSBC respecto a consultas, escalamientos y resolución de incidentes presentados en los productos de Tarjetas Corporativas.
Revisar documentación requerida para la aplicación de mantenimientos (actualización de límites de crédito, solicitud de tarjetas adicionales, reposiciones, etc.), creación de nuevos programas y actualización de procesos.
Asegurar el cumplimiento de normativas internas y regulatorias.
Mantener un estrecho canal de comunicación con los equipos involucrados en la gestión de procesos de Tarjetas Corporativas.
Identificar, mitigar y remediar problemas de calidad de datos, procesos y controles para minimizar impactos económicos, operativos y de reputación para HSBC.
Comunicar de forma proactiva cualquier duda, inquietud y/o problema que pueda representar un riesgo tanto a nivel profesional como personal.
Validar la ejecución de actividades en tiempo y forma. Buscando minimizar riesgos operativos e impactos a los equipos de Negocio, Tecnología y Operaciones.

Requirements

Conocimientos:

Escolaridad – Titulado, Pasante o Trunco
Licenciatura en área socioeconómico empresarial o ingeniería: Administración de Empresas Ingeniería Industrial Ingeniería en Sistemas Informática Economía
Microsoft Office
VisualBasic (deseable)
Hogan (deseable)
OHC (deseable)
Consulta y manipulación de bases de datos
SQL (deseable)
Outlook
Inglés nivel medio (deseable)
SCC (deseable)
LEAP (deseable)
PostVenta (deseable)
Competencias:

Trabajo en equipo
Proactividad
Sentido de urgencia y riesgos
Aprendizaje continuo
Enfoque analítico
Atención al cliente
Adaptabilidad

Debido a la urgente necesidad de contratación, se dará prioridad a los candidatos con derecho inmediato a trabajar localmente y sin necesidad de reubicación.

En HSBC ofrecemos a nuestros colaboradores un mayor número de días para que puedan disfrutar plenamente de su boda, cuidar al nuevo integrante de la familia o llorar la pérdida de un familiar. Nuestro paquete de vacaciones pagadas está a la vanguardia en México, ahora tienes una razón más para ser HSBC y vivir con orgullo una cultura de bienestar, equilibrio y cuidado.

En HSBC esperamos que nuestra gente se trate con dignidad y respeto, creando una cultura incluyente que promueva igualdad de oportunidades. Nuestros valores definen quiénes somos como organización y lo que nos distingue, valoramos la diferencia, avanzamos juntos, nos hacemos responsables de nuestras acciones, usamos el buen juicio, hacemos lo correcto y hacemos que las cosas sucedan.

En HSBC nos encontramos orientados a garantizar la igualdad de género y capacitación constante hacia nuestros empleados así como a la protección de sus derechos laborarles y sociales

Los datos personales en poder del Banco en relación con las solicitudes de empleo se utilizarán de acuerdo con nuestra Declaración de Privacidad, que está disponible en nuestro sitio web.

***Issued By HSBC Electronic Data Process Mexico Private LTD***"
