Position,Company_Name,Location,Post_Month,Post_Year,Details
Cybersecurity Engineer,Cybersecurity Engineer,L'Oréal,May,2024,"WANT TO KNOW MORE ABOUT OUR BIG TECH TRANSFORMATION?

L’Oréal is present in 130 countries on five continents. For more than a century, L’Oréal has devoted itself solely to one business: beauty; it is now the industry world leader with €29 billion consolidated sales.

Today, L’Oréal includes 1700 tech positions and it’s constantly growing. Especially with our ambition to become the #1 BeautyTech company, meaning inventing the beauty of the future while becoming the company of the future.

BeautyTech will equip the Group with the key assets it needs to conquer this new world, where Tech has become strategic.

To achieve this ambition, L’Oréal needs to continue recruiting diverse, innovative, skilled and passionate minds in different tech domains such as Data, Digital, Cloud, Cyber Security, IT Architecture, DevOps, Applications and Infrastructure.

HOLD ON, WHERE ARE OUR MANNERS?

WE HAVEN’T PRESENTED OUR TEAM!

L’Oréal is in a period of growth and transformation in data and is building dynamic and multidisciplinary teams from different backgrounds to deliver on our exciting mission to accelerate the company’s Beauty Tech transformation.

We are seeking a highly skilled and experienced Cybersecurity Engineer to join our team

INTERESTED?

THIS IS WHAT YOU WILL DO IN NUTSHELL!

Responsible for corporate cybersecurity tasks and projects, including development and management of security strategies, policies, and disaster recovery procedures for private and public cloud infrastructures, network and security operation centers, datacenters, networks, and remote sites.
Specialize in information security procedures and processes design, security assurance and risk analysis, network vulnerability assessment, penetration testing, incident handling and response management.
Design security solutions protecting business from external and internal malicious intrusions including leaks of confidential information, cyber-theft of intellectual property: patents, copyrights, and trademarks, and business interruption: denial of service, loss of service availability, intrusions, and malicious code infections.
Provide custom solutions architecture, security engineering services, IP network designs, network implementations, project management, and capacity planning for large network and security projects.
Practical knowledge of standards: NIST, PCI-DSS, ISO, OWASP, SOC, GDPR, CCPA, SDLC

THIS IS WHAT YOU WILL NEED TO SUCCEED!

We love people that are curious, collaborative, eager to have an impact and who value innovation, autonomy, and team spirit. You value code simplicity, performance, and details.

Requirements

Desired Education or Equivalent Experience

Degree in Computer Science, Information Security, Data Science, Software Engineering
One or more professional security certifications: Security+, CySA+, ECSA, Google PCSE, AWS CSS, AZ-500, CCSP, SSCP, CISSP

Practical (hands-on) Knowledge Of Technologies, Protocols, And Cloud Platforms

AWS: VPC, SG, NACL, Security Hub, Trusted Advisor, Shield, Inspector, KMS, SSE, GuardDuty
Azure: VNET, NSG, ASG, AD IAM, SQL Encryption, Key Vault, Application Gateway, Security Center
GCP: Security Command Center, VPC Service Control, Cloud Armor
Proxies / Firewalls / Gateways: Zscaler, PaloAlto, Fortinet, Apigee, CA Layer7
Analyzers/Scanners: AlgoSec, FireEye, Tufin, Splunk, Rapid7, Nessus, Snort, Netcat, Netmap
Infrastructure: SDWAN, Meraki, IPSec, TLS/SSL, Cisco ISE, REST API
Authentication: CyberArk, SSO, MFA, SAML, OAuth, OIDC, PKI (CA),
Data Protection: CrowdStrike EDR/CWPP, Microsoft Purview Data Loss Prevention

Candidate Evaluation Criteria

Must prove understanding of architecture design and common security vulnerabilities.
A commitment to the crucial concept of promoting security as an enabler and not an inhibitor of business.
Contribute to building enterprise architecture management, governance, and compliance programs.
Strong organization, prioritization, rationalization, and analytics skills
An ability to cultivate and build collaborative working relationships with a broad range of enterprise stakeholders.
A well-developed understanding of business needs and a commitment to leading the information risk management team in delivering high-quality, prompt, and efficient service to the business.
A well-developed understanding of and appreciation for organizational mission, values, and goals and consistent architecture of this knowledge.
An ability to communicate complex and technical issues to diverse audiences.
Deep and thorough knowledge of advanced enterprise level architecture security standards, techniques, and tools.
Ability to assess code security vulnerabilities, implement security measure and mitigating controls.

WAIT, THERE IS MORE! LET US GIVE YOU 4 OTHER REASONS TO JOIN US!

Joining L'Oréal Means Joining a Company That

Invests in Tech and positions its Tech teams at the heart of its digital transformation strategy.
Allows its employees to have a real impact, to test their ideas, to innovate and to build our future.
Has a powerful and innovative HR policy.
Has chosen to uphold strong values and to be particularly advanced from a social and environmental point of view (strong diversity and inclusion policy, L'Oréal for the Future program, commitment to numerous communities, etc.).

The L'Oréal Group is convinced that difference is a deep source of wealth, that allows everyone to grow, to challenge themselves and to go further.

We strongly encourage everyone to always dare and never censor themselves. Skills can always be learnt.

We will be delighted to exchange with you!

Ready to build the future of L'Oréal together? Apply now!


LI_MEX"
Junior Security Engineer,Junior Security Engineer,Eviden,May,2024,"Years of experience: 1 – 2 years.

Description: Engineer experienced with Network and/or Security vendor solutions, ready to absorb knowledge, constantly implement new ways of increasing visibility of potential network and/or security incidents and process more complicated cases.

Activities consist of:
Incident/change analysis
Implementing standard reverse / forward proxy changes.
Incident coordination according to SLA & response to requestor
Creating weekly/monthly reports
Participating in problem resolution after high priority incidents
Managing security workflows
Monthly patching activities
Updating documentation
Activities are performed in 5x14 mode (2 shifts) from the office, with additional standby if necessary.

Language: English is a must (at least B2 proficiency).
Recommended technical skills: basic network knowledge.
Additional (nice to have) skills: knowledge of following vendors: CheckPoint Fortinet Cisco

Submit your resume in English.

Salary range: $25,000 MXN - $30,000 MXN plus benefits above the law."
Analista de Sistemas – Ciberinteligencia y ciberseguridad,Banco de México (Banxico),"Mexico City, Mexico",May,2024,"¡Banco de México solicita!

Banxico busca mujeres y hombres profesionistas con gran interés de contribuir al bienestar económico y social de México.

Vacante: Analista de Sistemas – Ciberinteligencia y ciberseguridad.

Requisitos

Escolaridad: Lic. en Sistemas y T.I.
Estatus académico: Titulado/a.
Promedio académico de egreso: Igual o superior a 8.0.
Cartilla Militar liberada (hombres)

Experiencia

Experiencia en servicios de ciberinteligencia y ciberseguridad. (Deseable)

Conocimientos

Nivel Medio en: Sistemas operativos y redes informáticas
Nivel Medio en: Seguridad Informática
Nivel Medio en: Idioma Inglés
Nivel Medio - Avanzado en: Microsoft Office (Excel)

Actividades a Realizar

Controlar las actividades relacionadas con los servicios de ciberinteligencia y búsqueda proactiva de amenazas, gestión de incidentes de seguridad informática, análisis forense digital y de código malicioso, mitigación de ataques de denegación de servicio (DDoS) a la TI institucional, para contar con una infraestructura de TI eficiente y segura que genere estándares de calidad y buen funcionamiento.
Desarrollar la documentación (presentaciones, dictámenes, informes, notas, etc.) relacionada con la atención de requerimientos de información solicitados por los diversos administradores de tecnología del Banco
Desarrollar y controlar Las actividades y la calidad de los ejercicios simulados de ataque-defensa en coordinación con la Oficina de Pruebas de Seguridad Informática y el Centro de Monitorización Unifica.

Ofrecemos

Apoyos académicos
Estabilidad laboral

Lugar de trabajo: Centro Histórico de la Ciudad de México.

¡Te estamos esperando!

Banco de México, Institución de excelencia comprometida con la igualdad de oportunidades laborales para mujeres y hombres y primer banco central certificado por EDGE.

El Banco de México no solicita certificados médicos de no embarazo y Virus de Inmunodeficiencia Humana (VIH) como requisito para el ingreso, permanencia o ascenso en el empleo."
ANALISTA DE CIBERSEGURIDAD,ANALISTA DE CIBERSEGURIDAD,fonYou,May,2024,"FinTech que ofrece servicios de software, pagos digitales y micropréstamos en mercados en desarrollo. Llegamos a más de 300 millones de clientes en 18 países. Nuestros socios son empresas líderes en los sectores de Telecomunicaciones, Banca y Tech como Telcel, Claro, Meta, Telefónica, BBVA, Google, Banco Azteca, Daviplata, Nequi y Airtel entre otros.

Tenemos presencia en más de 18 paises en todo el mundo...

Analista de Seguridad de la Información

Objetivo

• Monitorear el cumplimiento de las políticas de seguridad de la organización.
• Supervisar y dar seguimiento a las violaciones de la seguridad de la información.
• Atención de auditorías internas, externas y de clientes en materia de seguridad de la información.
• Generación de informes sobre el comportamiento y resultados de la evaluación de controles/requerimientos de seguridad de la información y ciberseguridad.
• Identificar y evaluar riesgos de seguridad de la información, Identificar Amenazas, Vulnerabilidades, Impactos y Posibilidades de Ocurrencia relativo a la Ciberseguridad, de las Unidades de Negocio asignadas.

Realizar un diagnóstico inicial a través de un análisis rápido en busca de incidentes potenciales, y hacer en consecuencia el cierre del evento o el escalamiento según aplique.

- Documentar incidentes de seguridad a nivel ejecutivo y técnico.
- Análisis de vulnerabilidades (Web e infraestructura)
experiencia en soporte a usuario final y operación de alguna herramienta de seguridad (Antimalware, identificación de vulnerabilidades, elaboración de reportes de operación, generación de indicadores de riesgo, atención de incidentes de seguridad
Inglés intermedio

Competencias Técnicas

Manejo de infraestructura en la nube, preferentemente GCP 
Conocimiento en Docker , Kubernetes 
CI/CD Integration
conocimientos en algún WAF 
Conocimiento básico de herramientas de seguridad (Anti Malware, Filtrado de contenido, IPS,IDS)
Conocimiento de análisis de vulnerabilidades
Conocimiento de incidentes de seguridad
Administración de sistemas Linux y windows 
Uso de herramientas en seguridad y redes.
Implementación de proyectos TI.
 Habilidades de desarrollo de Shell scripts
Capacidad y curiosidad tenaz para llegar a la raíz de problemas.
Altamente deseable estar familiarizado con el uso de pruebas de penetración (ethical hacker o pentester)
Conocimiento avanzado en soporte a usuario final.

Deseable

Pentester
Conocimiento de Sistema cloud GCP

Soft Skills

● Capacidad de autodidacta
● Actitud de servicio
● Trabajo en equipo
● Tolerancia al trabajo bajo presión
● Ordenado y Analítico
● Proactivo
● Propositivo
● Orientado a resultados
● Orientado a seguir procedimientos
● Orientado a seguir políticas
● Orientado a mejora continúa

Ofrecemos:

Contrato directo
Prestaciones de ley y superiores
Esquema de trabajo híbrido 90% home office
$30,000 brutos mensual"
Security Analyst / Incident Response,Security Analyst / Incident Response,Lyft,May,2024,"At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization.

Lyft connects people to transportation to change the way we live and get around our communities. Lyft’s engineering team is growing rapidly, and we are looking for Security Engineers to help us scale. Come be part of a new team at Lyft focused on enabling and empowering engineering teams to deliver at scale.

Our drivers and passengers entrust Lyft with their personal information and travel details to get where they're going and expect us to keep that data safe. Lyft's security team leads efforts across the company to ensure our systems are secure and worthy of our users' trust.

Lyft Security builds systems to protect and defend infrastructure. We consult with teams as they build and launch new products and features, proactively plans for the unexpected, and responds to incidents that occur. Our work has company-wide impact and takes place at all levels of the stack, from infrastructure to web application security, as well as mobile apps, IT, bikes, scooters, and autonomous vehicles. We believe in scaling security through engineering fundamentals, automation, and tooling. Check out our blog posts at https://eng.lyft.com/tagged/security to learn more about some of the things we’ve built.

The Incident Response team owns mitigation and handling of security indents as well as our proactive hypothesis based Threat Hunting program.

Responsibilities:

Respond to security incidents; orchestrating response across engineering and other disciplines
Define and execute threat hunting operations across Lyft's systems with the objective of finding detection gaps, identifying gaps in security controls, and processes
Develop automation and tooling to multiply the impact of the incident response team
Build and maintain relationships with key partners, both internally and externally

Experience:

Responding to security incidents in a DFIR or SOC
Defining and executing threat hunting operations that yield impactful findings
Present findings, recommendations and results to leadership
Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means
Ability to manage multiple tasks and priorities
Ability to work independently with minimal supervision
Nice to have: scripting and automation skills, experience with cloud technologies such as AWS/GCP/Azure

This role will be in-office on a hybrid schedule if an established Lyft Location is available to the Mexico City region — Hybrid Team Members will be expected to work in the office 3 days per week on Mondays, Thursdays and a team-specific third day. Additionally, hybrid roles have the flexibility to work from anywhere for up to 4 weeks per year. #Hybrid"
Cyber Security Engineer,Cyber Security Engineer,Tata Consultancy Services,June,2024,"Cyber Security Engineer

In Tata Consultancy Services (TCS) we have an opportunity for you as Cyber Security Engineer with advanced English level to be part of our team.

Our position is hybrid: remote with the possibility to go to the office in case your team have an on-site meeting.

Let's be successful together!

About Tata Consultancy Services

#ExperienceTCS, one of the top three most valuable IT services and consulting organizations globally, with a market capitalization of $100+B. America and Canada represent more than 50 percent of TCS’ $20+B revenue. Our clients include one-third of the Fortune 500 across all major industries. TCS has 425,000+ IT professionals trained to guide enterprises through their Business 4.0™ growth and transformation journeys – helping them to become agile, intelligent, automated, and on the cloud."
Cybersecurity Analyst,Cybersecurity Analyst,eINDUSTRIFY,April,2024,"Implement and maintain cybersecurity frameworks and standards, such as ISO 27001, NIST Cybersecurity Framework, and PCI DSS, to ensure compliance and alignment with best practices.
Conduct regular assessments to identify security vulnerabilities and develop remediation plans to address any gaps in security controls.
Collaborate with cross-functional teams to integrate cybersecurity practices into the overall development and operations processes.
Monitor the ecommerce platform and related systems for potential security breaches or unauthorized access attempts.
Develop and implement robust incident response procedures, including investigation, containment, mitigation, and recovery.
Stay updated on the latest cybersecurity threats and trends and proactively implement measures to protect against emerging risks.
Evaluate, select, and implement cybersecurity tools and technologies specific to the ecommerce domain, such as web application firewalls (WAFs), intrusion detection systems (IDS), and data loss prevention (DLP) solutions.
Configure and manage security tools to effectively monitor and detect security incidents, vulnerabilities, and malicious activities.
Conduct regular assessments of security tools to ensure optimal performance and effectiveness.
Perform regular vulnerability assessments and penetration tests on the ecommerce platform to identify and address potential security weaknesses.
Collaborate with development and IT teams to prioritize and remediate identified vulnerabilities in a timely manner.
Monitor and track the progress of vulnerability remediation efforts.
Develop and deliver cybersecurity training and awareness programs for employees to promote a culture of security awareness and best practices.
Create educational materials and conduct workshops to educate employees on ecommerce-specific security risks and preventive measures.
Stay updated on industry standards and trends related to ecommerce cybersecurity and disseminate relevant information to stakeholders.
Ensure compliance with relevant industry regulations and standards, such as GDPR, CCPA, and Payment Card Industry Data Security Standard (PCI DSS).
Prepare for and support internal and external cybersecurity audits and assessments.
Collaborate with legal and compliance teams to address any findings or recommendations from audits and assessments.
Bachelor's degree in Computer Science, Information Technology, or a related field. Advanced degree is a plus.
8+ years of experience in cybersecurity, preferably with a focus on ecommerce platforms and online transactions.
Strong knowledge of cybersecurity frameworks and standards, such as ISO 27001, NIST Cybersecurity Framework, and PCI DSS.
Experience with ecommerce-specific security challenges, including secure payment processing, data privacy, and web application security.
Familiarity with common cybersecurity tools and technologies used in the ecommerce industry, such as WAFs, IDS, DLP solutions, and vulnerability scanning tools.
In-depth understanding of secure coding practices, encryption algorithms, and network security protocols.
Strong analytical and problem-solving skills, with the ability to identify and address security vulnerabilities and threats.
Excellent communication and collaboration skills to effectively work with cross-functional teams.
Relevant certifications, such as Certified Information Systems Security Professional (CISSP) or Certified Ethical Hacker (CEH), are highly desirable.

Note: All applicants must submit their Resumes in English"
Analista de Ciberseguridad,Analista de Ciberseguridad,AvantGarde Human Capital Consultants,May,2024,"Somos una empresa mexicana de tecnología financiera, multi certificada y premiada, con 28 años de experiencia, la primera y más importante Sociedad de Información Crediticia en México.

Queremos invitarte a formar parte de nuestro equipo como Analista de Ciberseguridad

Objetivo:

Ejecutar las actividades de seguridad lógica asignadas por la Gerencia de Seguridad y supervisión de seguridad, así como administrar y proponer mejoras en los controles. Operar los sistemas de protección contra código malicioso y seguridad en puntos finales, así como el aseguramiento de equipos de proveedores. Atención a auditorías internas y externas así como evaluar tecnologías de seguridad. Identificar activos de información para asignación de controles.

Competencias Clave:

Comunicación Efectiva

Orientación al Cliente

Manejo y Solución de Conflictos

Trabajo en Equipo

Toma decisiones

Capacidad Analítica

Requisitos:

Licenciatura en Sistemas Computacionales Administrativas, Ciencias Computacionales , Tecnologías de la Información o Ingeniería en Sistemas

Indispensable: Titulo o cédula profesional

3 a 4 años de experiencia ejecutando actividades y procesos de Soporte técnico, respuesta a incidentes, administración de sistemas computacionales, configuración de herramientas de Seguridad de Endpoints

Lugar de trabajo: Polanco

Horario de trabajo: Lunes a Viernes de 9:00am a 6:00pm

Contratación directa, tiempo indefinido, 100% nómina

Prestaciones superiores de ley

**La empresa no discrimina por motivos de sexo, edad, personas con discapacidad, orientación y preferencia sexual, expresión e identidad de género, condición de salud, embarazo, raza u origen étnico, respeta la diversidad y no hace ninguna discriminación.**"
Security Operations Center Analyst,Security Operations Center Analyst,DB Schenker,June,2024,"Security Analyst

At DB Schenker, you are part of a global logistics network that connects the world. A network that allows you to shape your career by encouraging you to contribute and truly make a difference. With more than 76,000 colleagues worldwide, we welcome diversity and thrive on individual backgrounds, perspectives, and skills. Together as one team, we are Here to move.

Job Overview

At Schenker International S.A. de C.V. we are looking for a Security Analyst to be part of our IT team, for our office in Guadalajara, Mexico.

What you need to succeed (Qualifications, experience, skills, attributes)

3 + years of related experience in information technology and/or information security preferred.
Rooted interest and passion for information security is a plus.
Essential administrative knowledge of Windows and Linux operating systems. (exclusive)
Verifiable experience working in a SOC (Security Operations Center).
Intermediate experience in Linux. Preferably 1 year as a Linux Admin (sysadmin).
General understanding of these areas is a plus: Active Directory/Entra, Azure/AWS/GCP, network administration.
An understanding of Cyber Security Incident Response and Network Security Monitoring.
Fundamental understanding of computer networking TCP/IP.
Some knowledge of Intrusion Detection Systems IDS and SIEM technologies; Splunk or ELK, Antivirus, Firewalls, ZScaler, Endpoint Security and Cisco Sourcefire and similar tools preferred.
SOC Tier 1 Analyst must be willing to work in a 24x7x365 Security Operations Center environment. Including Holidays.
Knowledge of creating Security Information Event Management (SIEM) tool rules.
University degree in related technical/business areas or equivalent work experience.
Some experience in working according to professional processes in the area of ITSM and knowledge of the processes of service management (ITIL).
Some experience in working in international teams a plus.
Fluent in English language, both written and spoken.
Relevant Security Certifications would be a plus.

What will be your challenges?

Performs network security monitoring and incident response for a large organization, coordinates with Tier 1 colleagues and with Tier 2 to record, prioritize and initiate incident tickets.
Maintains records of security monitoring and incident response activities, utilizing case management and ticketing technologies.
Monitors and analyzes Security Information and Event Management (SIEM) to identify security issues for remediation.
Recognizes potential, successful, and unsuccessful intrusion attempts and compromises thorough reviews and analyses of relevant event detail and summary information.
Communicates alerts regarding intrusions and compromises to their network infrastructure, applications and operating systems.
Consolidates and conducts comprehensive analysis of threat data obtained from classified, proprietary, and open source resources to provide indication and warnings of impending attacks against unclassified and classified networks.
Recommend changes to Standard Operating Procedures and other similar documentation.
Generates end-of-shift reports for documentation and knowledge transfer to subsequent analysts on duty.

Competences:

Strong aptitude for problem-solving and effective troubleshooting abilities.
Proficient in customer service skills and adept at engaging with clients, staff, and management teams.
Effective interpersonal skills to interact with team members, management, and SOC stakeholders.
Strategic vision.
Flexibility for changes.
Fluent Business English (written and spoken).

Why you will love DB Schenker

Many of our jobs come with great benefits-including healthcare, ways to save for the future, and opportunities for career path.

How to Get Started

You can begin by applying above or visit us at https://dbschenker.com/global/careers

Stay Connected With Us

Web Page: http://www.dbschenker.com
DB Schenker is committed to a diverse and inclusive workplace. DB Schenker is an equal opportunity employer and does not discriminate based on race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status."
Security Operations Center Analyst,Security Operations Center Analyst,Cloudflare,June,2024,"About Us

At Cloudflare, we are on a mission to help build a better Internet. Today the company runs one of the world’s largest networks that powers millions of websites and other Internet properties for customers ranging from individual bloggers to SMBs to Fortune 500 companies. Cloudflare protects and accelerates any Internet application online without adding hardware, installing software, or changing a line of code. Internet properties powered by Cloudflare all have web traffic routed through its intelligent global network, which gets smarter with every request. As a result, they see significant improvement in performance and a decrease in spam and other attacks. Cloudflare was named to Entrepreneur Magazine’s Top Company Cultures list and ranked among the World’s Most Innovative Companies by Fast Company.

We realize people do not fit into neat boxes. We are looking for curious and empathetic individuals who are committed to developing themselves and learning new skills, and we are ready to help you do that. We cannot complete our mission without building a diverse and inclusive team. We hire the best people based on an evaluation of their potential and support them throughout their time at Cloudflare. Come join us!

Job Locations: Remote, Mexico City, MX

To the attention of candidates (Mexico City):

This role requires full time work over the Weekends. Candidates should be comfortable working with a “Wed-Sun” or “Sat-Wed” 5-day working week schedule. Candidates MUST have right-to-work in Mexico. Visa sponsorship is NOT provided for this position.

About The Department

The Cloudflare Customer Support Team solves complicated problems and answers technical questions via phone, email, chat and social media. Whether it is a Wordpress blogger using our services for free or a global Enterprise business with petabytes of web traffic, we are always eager to assist. We are the eyes and ears of Cloudflare, acting as the real-time voice of the customer to help communicate their needs and real-world use cases back to the rest of the company - for better service and future product development.

Description

Security Operations Center Analysts provide premium-level support for Cloudflare’s security products and features. Our largest and most technically sophisticated customers will contact the SOC as a Service team for assistance and intelligence in dealing with threats or attacks on their infrastructure at OSI Layers 3, 4, and 7. This will span the range of Cloudflare security products from Magic Transit Infrastructure Protection, DDoS mitigation and Network Firewall, to using the Web Application firewall (WAF), Spectrum, Bot Management and Rate Limiting to help customers.

Security Operations Center Analysts analyze threats, make detailed and informed suggestions for mitigation and may need to implement mitigation strategies directly on behalf of the customer. The team also provides attack reporting beyond Cloudflare’s self-service reports.

Responsibilities

Monitor and investigate the alerts to identify attacks
Work with Engineering and Operations teams to mitigate attacks, suggest steps to mitigate, and apply the appropriate mitigation, when applicable
Work with Engineering and Product teams to improve the products and tools
Extensive communications with customers via chat, email, and phone
Review the latest alerts to determine relevancy and urgency. Create new tracking tickets for alerts that signal an incident and require review or escalation
Configure / Manage security monitoring rules and contribute to tool improvements
Compare traffic signatures and attributes including IP addresses, cookie variations, HTTP headers, and JavaScript footprints to determine what is good traffic and what is malicious
Participation in a weekend and holiday rotation required with main working hours 9 to 5 Pacific time


Key skill sets

Strong understanding of the OSI model, TCP, UDP, BGP, QUIC
Advanced understanding of iptables
Analysis of traffic for attack anomaly detection and creation of mitigation rules
Experience in handling attack mitigation and thorough knowledge of various attacks (L3/4 and L7)
At least 2 years of technical support experience and customer support experience is a must
Strong communication skills with high-value customers
Command line / Bash shell
Sysadmin skills (Linux/Mac/Windows) & Programming skills (Python, Ruby, PHP, C, C#, Java, Perl, Git etc.)
Security skills and certifications preferred: CISSP, GCIA GCIH, GCFA, GCFE, etc.


Bonus Points:

Previous DDoS mitigation for OSI layers 3,4, & 7, filter malicious traffic using Cloudflare tools like Magic Transit, Network Firewall, WAF, IP reputation lists, packet inspection, blacklisting, whitelisting, and/or rate limiting is a plus


What Makes Cloudflare Special?

We’re not just a highly ambitious, large-scale technology company. We’re a highly ambitious, large-scale technology company with a soul. Fundamental to our mission to help build a better Internet is protecting the free and open Internet.

Project Galileo: We equip politically and artistically important organizations and journalists with powerful tools to defend themselves against attacks that would otherwise censor their work, technology already used by Cloudflare’s enterprise customers--at no cost.

Athenian Project: We created Athenian Project to ensure that state and local governments have the highest level of protection and reliability for free, so that their constituents have access to election information and voter registration.

Path Forward Partnership: Since 2016, we have partnered with Path Forward, a nonprofit organization, to create 16-week positions for mid-career professionals who want to get back to the workplace after taking time off to care for a child, parent, or loved one.

1.1.1.1: We released 1.1.1.1 to help fix the foundation of the Internet by building a faster, more secure and privacy-centric public DNS resolver. This is available publicly for everyone to use - it is the first consumer-focused service Cloudflare has ever released. Here’s the deal - we don’t store client IP addresses never, ever. We will continue to abide by our privacy commitment and ensure that no user data is sold to advertisers or used to target consumers.

Sound like something you’d like to be a part of? We’d love to hear from you!

This position may require access to information protected under U.S. export control laws, including the U.S. Export Administration Regulations. Please note that any offer of employment may be conditioned on your authorization to receive software or technology controlled under these U.S. export laws without sponsorship for an export license.

Cloudflare is proud to be an equal opportunity employer. We are committed to providing equal employment opportunity for all people and place great value in both diversity and inclusiveness. All qualified applicants will be considered for employment without regard to their, or any other person's, perceived or actual race, color, religion, sex, gender, gender identity, gender expression, sexual orientation, national origin, ancestry, citizenship, age, physical or mental disability, medical condition, family care status, or any other basis protected by law. We are an AA/Veterans/Disabled Employer.

Cloudflare provides reasonable accommodations to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job. Examples of reasonable accommodations include, but are not limited to, changing the application process, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. If you require a reasonable accommodation to apply for a job, please contact us via e-mail at hr@cloudflare.com or via mail at 101 Townsend St. San Francisco, CA 94107."
