Position,Company_Name,Location,Post_Month,Post_Year,Details
Product Owner JR,Product Owner JR,Citibanamex,June,2024,"The Ops Sup Analyst 1 is an entry-level position responsible for providing operations support services, including but not limited to; record/documentation maintenance, storage & retrieval of records, account maintenance, imaging and the opening of accounts in coordination with the Operations - Core Team. Additionally, the Ops Sup Analyst 1 serves as the liaison between operations staff, relationship managers, project managers, custodians and clients. The overall objective of this role is to provide day-to-day operations support in alignment with Citi operations support infrastructure and processes.
Responsibilities:
Perform business analysis and documentation of the current and future state of Client Reports and Advices (client communication letters, notices, and confirms)
Provide regular status updates for all project participants and create presentations for steering committee updates
Work with various Legal & Compliance teams to obtain sign-off on all regulatory business requirements
Serve as primary liaison between the key business stakeholder and technology, including recommending business priorities by advising stakeholders on options, risks, costs, prioritizations, and delivery timelines
Recommend business priorities by advising stakeholders on options, risks, costs, prioritizations, and delivery timelines
Create and facilitate training sessions, webcast demos and write User Acceptance Test scripts and business scenarios against specified requirements
Create, manage and maintain project plans and act as the project manager for all follow ups across various departments
Work on multiple projects in parallel focusing on continued delivery of regulatory client deliverables, such as legal statements/performance reporting/advices/letters/notices
Fulfilling the clients’ necessities while providing an exceptional client experience is the expected behavior from all our employees and it will be measured by specific metrics.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
+ 1 year Experience as Product Owner
Experience Agile /Scrum Methodologies
Seguimiento a proyectos, administración y seguimiento a usuarios finales
Previous relevant experience preferred
Proficient in Microsoft Office
General knowledge of client reporting across the industry and our competitors
Working knowledge of SQL environments and database queries
Proven organization and time management skills
Demonstrated problem-solving and decision-making skills
Consistently demonstrates clear and concise written and verbal communication skills
Education:
Bachelor’s degree/University degree or equivalent experience
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required."
Product Owner,Product Owner,Nova Solutions,June,2024,"Somos una empresa dedicada al desarrollo de software especializada en trabajar con clientes del sector financiero, actualmente nos encontramos en búsqueda de un Product Owner que pueda sumar experiencia a nuestro equipo.

Tareas:
Crear y gestionar Backlog
Crear y presentación de roadmap
Creación y administración de release planning
Definición de requerimientos, épicas, PRD’s, producto enfocado a la visión
Creación de User Stories
Presentación con stakeholders/Desarrollo para validación y viabilidad
Ejecución ágil (scrum: daily standup* grooming & sprint review)
Interactuar con equipo de desarrollo
Seguimiento a defectos de QA.

Conocimientos:
Conocimiento en marcos de trabajo Ágil: Scrum, Kanban, SAFe.
Capacidad de análisis.
Alta capacidad de negociación.
Experiencia usando Jira, Confluence, Atllasian o Trello.

Ofrecemos
Prestaciones de Ley y superiores
Trabajo Hibrido
Clases de inglés personalizadas
Desarrollo profesional"
Product Owner,Product Owner,Rabbit,June,2024,"Si consideras que eres una persona dinámica, orientado al logro y fan de los productos Fintech, ¡esta posición es para ti!

¿Qué estamos buscando?

A nuestr@ proxim@ Product Owner quien liderará la gestión del backlog alineado con la estrategia de negocio y producto, proporcionando al equipo de desarrollo el contexto necesario y entendimiento de reglas de negocio para el desarrollo de productos bajo una metodología ágil.

Breve descripción del puesto…
Gestión y documentación del backlog de acuerdo con prioridades
Manejo de stakeholders para control de prioridades y negociación de necesidades
Realización de pruebas End to End del producto para asegurar el cumplimiento de los criterios de aceptación
Ejecución de ceremonias bajo metodología SCRUM

¿Qué necesitamos?
Licenciatura
Experiencia en entornos SCRUM
Experiencia mínima de 3 años en roles afines o similares
Nice to have- exp en consumo masivo- retail
Ingles intermedio

¿Qué tenemos para ti?
¡Un nuevo reto profesional!
Horario: 08:30 am – 05:30 pm de lunes a viernes.
100% PRESENCIAL EN SANTA FE
Sueldo competitivo.
Vales de Despensa.
Estacionamiento
SGMM

Aplica aquí o directamente al correo alejandro.ariza@belgarmx.com y ¡únete a la Madriguera!"
Product Owner Account,Product Owner Account,Openbank México,May,2024,"En Openbank queremos crear una banca más abierta, simple, transparente y humana, es decir, una banca hecha por personas, para personas.

¿Nuestro mayor reto? ¡Lanzar un banco 100% digital en México! Por eso estamos construyendo un equipo apasionado por resolver nuevos retos cada día, desafiando sus propios límites con la habilidad de tomar riesgos calculados. ¡Sí, aquí es donde entras tú!

Si buscas oportunidades para aplicar tus habilidades en encontrar las mejores soluciones de forma disruptiva, con pasión por mejorar la vida de las personas, ¡hablemos de esta nueva oportunidad para tu carrera! Esto es lo que podemos contarte de este rol:

En tu día a día tu misión como Product Owner Account será:

Definir historias de usuario requeridas para el lanzamiento de los productos a su cargo.
Establecer el product backlog y priorización del mismo para responder a los requerimientos de cara a las necesidades de negocio.
Generación de Release Plan / Roadmaps de Producto
Definir y negociar con los distintos proveedores requeridos para lanzar soluciones necesarias.
Trabajar junto con el equipo de UX y CX para tener una experiencia óptima para el cliente. Además de dar seguimiento a la reacción de los consumidores y trabajar con el equipo de UX en realizar mejoras continuas
Validar junto con el equipo de finanzas la rentabilidad de cada uno de los productos que vayan a ser implementados, desarrollando estrategias de precios y posicionamiento de productos.
Dar seguimiento a las dudas de tecnología / operaciones para que la solución sea implementada de forma correcta.
Gestionar los posibles retrasos de las tarjetas para optimizar los plazos existentes y futuros, así como validar productos entregados vs la definición cerrada.
Documentar y definir historias de usuarios
Negociar con los equipos de ODS las adecuaciones necesarias al Model Bank asegurando que se implementen los productos de acuerdo a los requerimientos locales tanto de mercado cuanto regulatorios
Definir los productos a su cargo asegurando que estos traigan validaciones de Riesgos, Cumplimiento, Legal y Diseño desde su concepción, mitigando riegos, incrementando eficiencias para la implementación tecnológica y evitando retrabajos.

¿Qué necesitas para romperla en este equipo?

Licenciatura en Administración, Ingeniería, Contabilidad, Economía, Actuaría, Finanzas o un área afín.
Certificación de Product owner vigente
Experiencia en el sector bancario, fintech, star up, digital y/o financiero.
+5 años desarrollando productos digitales
+3 años trabajando bajo metodologías agiles
Conocimiento en banca retail para tarjetas de crédito, débito y cuentas.

Como parte del equipo disfrutarás de:
Ser parte de una empresa dinámica y ágil con expansión internacional.
Trabajar en un ambiente de start-up y todas las oportunidades y retos que eso implica, pero con el respaldado de Grupo Santander.
Colaborar con equipos de distintos países: España, Portugal, Alemania, Países Bajos, Argentina, Estados Unidos, entre otros.
Ser pieza fundamental para crear las bases del banco del futuro en México, disfrutando de un excelente ambiente laboral, donde nuestra cultura y valores lo son todo.
Contar con prestaciones superiores a la ley, enfocadas a cuidar de tu bienestar, el de tus seres queridos y a ayudarte a encontrar el equilibrio entre tu vida profesional y personal.

Un poco más sobre nosotros:

En Openbank celebramos la diversidad, promovemos el respeto e igualdad de oportunidades, así como un ambiente en el que las personas puedan expresarse libremente, así como sus puntos de vista únicos.
Por ello, todas las aplicaciones serán consideradas por igual sin prestar atención a la identidad de género, orientación sexual, etnia, religión, edad, orientación política, afiliación sindical o condición de discapacidad.
Tomamos decisiones de reclutamiento basadas en tu experiencia y habilidades. Valoramos tu pasión por descubrir, inventar, simplificar y construir.
¡Únete a nosotros en este viaje para construir la próxima generación de Openbank en México!"
Product Owner,Product Owner,DaCodes.,July,2023,"¡Trabaja en DaCodes!

Somos una firma de expertos en software y transformación digital de alto impacto.

Durante 9 años hemos creado soluciones enfocadas en la tecnología e innovación gracias a nuestro equipo de 220 talentosos #DaCoders, Desarrolladores, arquitectos, Diseñadores UX/UI, PMs, QA testers y más, que se integran a nuestros proyectos con clientes en LATAM y Estados Unidos para lograr resultados sobresalientes.

Con nosotros lograrás impulsar y acelerar tu desarrollo profesional, colaborando en diversidad de proyectos, sectores y giros empresariales.

Trabajar en DaCodes te permitirá ser versátil y ágil al poder trabajar con diversas tecnologías y colaborar con profesionales de alto nivel.

Los DaCoders tienen gran impacto en el éxito de nuestro negocio, así como en el éxito de nuestros clientes. Serás el experto que participará en nuestros proyectos y tendrás acceso a startups disruptivas y marcas globales; ¿Te pareció interesante?

¡Estamos en busca de talento para unirse al equipo, vamos a trabajar juntos!

El candidato ideal siempre está buscando formas de mejorar un producto o servicio para hacerlo mejor, más rápido y más fácil de usar. Es el responsable de producir soluciones tecnológicas desde el concepto hasta la entrega que satisfagan las necesidades del cliente y en sentido con la estrategia general.

Responsabilidades

Servir como experto en productos
Definir el producto que se va a desarrollar
Gestionar los posibles retrasos de productos para optimizar los plazos existentes y futuros
Comunicar las distintas visiones al equipo.
Trabajar de manera interfuncional para recopilar responsabilidades, comentarios de los clientes y comunicar prioridades
Cree maquetas y prototipos para ayudar con el desarrollo
Analizar las métricas para comprender el rendimiento del cliente y del producto


Requirements

Licenciatura o experiencia equivalente en Tecnologías de la Información
Más de 3 años de experiencia en gestión de proyectos
Excelentes habilidades de comunicación escrita y verbal
Experiencia Scrum o Agile


Benefits

Integración a marcas globales y startups disruptivas
Trabajo remoto/ Home office
Estarás informado desde la primer sesión si alguna de las posiciones llega a requerir algún formato híbrido o presencial ¡Descuida la mayoría son remotas!
Horario ajustado a tu célula de trabajo/proyecto asignado. (Zona horaria del cliente asignado)
Trabajo de Lunes a Viernes
Beneficios Legales
Días festivos oficiales de tu célula de trabajo/proyecto asignado
Vacaciones *Puedes hacer uso de éstos días posterior a los 6 meses en la empresa
Día off en tu cumpleaños
Seguro de gastos médicos mayores
Seguro de vida
Eventos virtuales de integración y grupos de interés
Meetup con invitados especiales de empresas y profesionales del área de IT y Universidades de prestigio
Feedback constante y seguimiento a performance
Acceso a cursos y certificaciones
Equipos de trabajo multiculturales
Clases de inglés
Oportunidades en nuestras diferentes líneas de negocio

¡Orgullosamente certificados como Great Place to Work!"
Product Owner,Product Owner,GDC Systems México,June,2024,"Dinámico, Iniciativa, innovación, autodidacta y responsable.

Indispensable
Experiencia en temas de Retail específicamente en E Commerce.
priorización de los productos.
Experiencia en la implementación de productos digitales.

(Preferentemente como plus: Conocimiento en la Vtex y Sap).

Disponibilidad inmediata."
Product Owner (Sector Financiero) - (PDO0201-0001),Product Owner (Sector Financiero) - (PDO0201-0001),Rules Cube,March,2024,"Product Owner

Estamos buscando un Product Owner talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

Fomenta una cultura centrada en el cliente para fortalecer las relaciones y aprovechar las vastas redes y conocimientos del Banco
Responsable de desarrollar y gestionar la estrategia de migración de servicios de Cash Management
Participa en comités del Grupo Financiero, exponiendo avances, casuísticas y reportando desviaciones a los procesos de migración de Banca Electrónica
Segmenta bases operativas de clientes, elabora estrategias específicas por segmento de Banca y supervisa su implementación
Elabora métricas y garantiza una correcta estrategia de migración de clientes a la nueva plataforma comercial
Ofrece soporte a la nueva herramienta ante desviaciones detectadas por el negocio, coordinando la solución de incidencias
Coordina equipos de trabajo para garantizar el cumplimiento de objetivos en tiempo y forma
Proporciona a la fuerza de ventas herramientas e información necesaria sobre productos y servicios bajo su responsabilidad
Comprende la cultura de riesgo del Banco y considera el apetito de riesgo en decisiones diarias
Realiza operaciones eficientes, garantizando la idoneidad y eficacia de los controles de negocios diarios

Requisitos Indispensables para ser Considerado

Liderazgo y trabajo en equipo
Capacidad analítica y de organización
Habilidades para la resolución de problemas
Excelentes habilidades de comunicación interpersonal, verbal y escrita
Experiencia en trabajo con equipos multifuncionales
Nivel alto de inglés, hablado y escrito
Licenciatura en áreas contables, administrativas, informáticas o afines
Capacidad para tomar decisiones basadas en análisis de costo-beneficio y visión de negocio a corto/mediano plazo
Dominio del Idioma Inglés (mantener conversaciones)

Qué te Ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 30,000 – MXN 37,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

Dz2YEBb8Nw"
Product Owner - (AI Development Company),Product Owner - (AI Development Company),The Rocket Code,May,2024,"Join the AI Revolution with rocket code!

At rocket code, we're not just developers — we're dreamers, doers, and disruptors. We are at the forefront of making AI work for you, turning market buzz into groundbreaking realities. Our AI-first approach is revolutionizing the tech landscape, and we need passionate individuals to join us on this exciting journey.

Why rocket code?

Imagine being part of a team that is not only leading the digital frontier but also redefining it. With our global presence in Mexico, the United States, Spain, and soon Brazil, we offer a dynamic environment where innovation and creativity thrive. We've developed over 100 platforms across various industries, including fintech, insurtech, energy, manufacturing, telecommunications, and e-commerce. At Rocket Code, every day is an opportunity to push boundaries and create impactful solutions. Our mission is to transform existing technology into digital experiences that generate a profoundly positive impact. We aim to be the constellation that guides the digital universe, illuminating paths to authentic progress and prosperity for our clients and their communities. Every solution we create is a shining star of innovation and excellence.

Our Commitment:

At rocket code, we believe in the power of technology to create a positive societal impact. We are dedicated to social responsibility and sustainability, implementing sustainable practices in all our projects and operations.

Your Future at rocket code:

We're seeking brilliant, innovative, and passionate tech enthusiasts to join our team. If you're ready to be part of a company that not only solves problems but also inspires and leaves a lasting mark on the digital world, Rocket Code is the place for you.

Join us and be part of the change!

Product Owner

As an Product Owner at rocket code, you will be responsible for...

Responsibilities:

This role is responsible for leading the strategy, roadmap, and continuous enhancement of the product
Understand the needs of our clients and translated into User stories for technical, functional and commercial requirements of the client and its users in order to propose solutions through the creation of products
Work closely with various areas of Rocket Code to develop proposals and processes that add value to the client
Creation of a backlog to work together with the Development area on customer requirements and achieve the correct functionality of the product
Ensure the scalability, performance, and resilience of each product
Collaborate with the data analysis team to review and monitor metrics
Product monitoring to identify opportunities for improvement and innovative strategies
Experience in product creation for regulated industries such as banking, insurance, and fintech


Requirements

Communication skills to land ideas and structure them
Ability to lead multidisciplinary teams
Ability to manage projects and coordinate progress with stakeholders
Stable internet, camera and able to use your own computer

Education and Experience:

Degree in Systems Engineering, or related
Experience in creating and building digital products for regulated industries
Background as Product Owner or some position related to the product process
Interaction with internal and external customers


Benefits

At rocket code, we value our team members and offer a comprehensive benefits package to support their personal and professional growth:

Vacations: Enjoy time off to recharge and rejuvenate
December Bonus: Receive an annual bonus to celebrate your contributions and hard work
Referral Bonus: Get rewarded for bringing talented individuals to our team
Training Opportunities: Access to ongoing training programs to enhance your skills
Courses and Certifications: Stay ahead in your career with company-sponsored courses and certifications"
Product Owner,Product Owner,Tata Consultancy Services,May,2024,"Role : Product Owner
Years of Experience: 4+ years
Location: Across Mexico City
English Speaking Level: Advanced

Requirements:
Technologies:
Knowledge and Experience with:
PBX and UC technologies
Voice endpoints
Edge Connectivity
Voice Recording
Trader Voice
Skills:
Strong Communication and Presentation Skills Engage with internal stakeholders to understand business needs.
Document user and business requirements and convert them into technical requirements for agile squads.
Create end user facing guides and communications when releasing new products, features, and capabilities.
Provide regular status updates on projects, programs, and epics and highlight and risks/dependencies for each.
Strong Problem-Solving Skills
Identify gaps and issues and work with technical teams to have them addressed as part of roadmap.
Work through internal processes to identify and remediate blockers to achieving a business need.
Vendor management
Work with third party suppliers to ensure delivery against published internal roadmap!
Knowledge of agile development process
Work with different app development and infra Ens agile squads to ensure that business requirements are prioritized and delivered against.
Work with agile scrum masters and POs to ensure the right user stories are documented and prioritized against the fleet roadmap.
Candidates must have Advanced English Level

""If you are interested, please share your resume to anitha.govindan@tcs.com"""
Product Owner,Product Owner,Seeds,May,2024,"¿Sos Product Owner? Entonces… ¿Qué estás esperando para sumarte a nuestra comunidad de Seeders? ¡Aplica a nuestra comunidad y accede a trabajo on-demand en las empresas líderes, sumate al Present of Work!

¿Quienes somos?

Somos una comunidad que reúne al mejor talento on-demand de Latinoamérica, y lo conecta con las empresas líderes de la región. Gestionamos el match perfecto entre las necesidades de las empresas y el talento con las competencias y la experiencia buscada, fomentando flexibilidad y el desarrollo profesional de nuestra comunidad.

No somos una plataforma más de freelancers, Seeds lidera un dream team de profesionales altamente calificados que eligen dónde, cómo y para quién trabajar, disfrutando así de contribuir a una misión más grande, definiendo y moldeando la forma en que trabajamos.


¿Por qué sumarte a nuestra comunidad de Seeders?

Elegí tus proyectos.
Trabajá desde donde vos quieras.
Accedé a beneficios exclusivos para nuestra comunidad (descuento en Swiss Medical, Benomad, plataforma integral de beneficios con actividades de bienestar y workshops).
Eventos de networking.
Asesoramiento personalizado."
