Position,Company_Name,Location,Post_Month,Post_Year,Details
Program Manager,Program Manager,Santander Digital Services,May,2024,"Position Summary

Develops, edits and implements project plans to manage the lifecycle and operational aspects of projects.

Education and Experience
Bachelor's Degree or equivalent work experience
5-8 years program and project management experience
5-8 years working in a team environment
5-8 years Microsoft Office (Word, Visio, Excel, Project, PowerPoint)


Essential Duties and Responsibilities
Support the definition of the EPMO documentation including standards, processes and guidance to guide the project management and SDLC functions
Lead IPMM tollgate compliance, partnering with entity level PMOs; evolve methodology to support emerging processes (i.e., continue integration of Agile methodology in select projects/domains/LoBs; Horizon program; other strategic priorities)
Ensure sound project governance and coordination across all PMOs, including support for Santander affiliate companies
Prepare responses to regulatory, Internal Audit and Compliance commitments related to SOX, RCSA regulations
Monitor quality assurance and training programs, assess results, and implement enhancements in EPMO functions to drive improvement in hygiene, metrics and KRI/KPIs
Design and document EPMO requirements to ensure integration with key Group initiatives to comply with superseding Group governance, requirements and metrics/reporting
Develops and manages product development priorities by coordinating with programs and customer service.
Authors and executes project/product development plans
Supports resource planning for the EPMO Organization
Generates, tracks and maintains project action items and risks to oversee projects in the EPMO environment
Ensures EPMO stakeholders (program managers, Project manager and Pm Community receive portfolio progress and financial updates.
Prepares project deliverables for EPMO initiatives and ensure smoth rollout of project solutions.
Produce reports for executive, compliance and regulatory stakeholders
Perform Quality Assurance process to ensure compliance with EPMO Policies, Standards and procedures.
Produce monthly KRIs (Portfolio Status KRIs) and other metrics to support the appalication of the project management methodology
Lead the automation of key EPMO Processes
Monitors EPMO Mailbox and responds to Ad Hoc Queries
Provides weekly updates for key projects

Competencies
Self-motivated, enthusiastic, strong work ethic
Highly organized, strong time management skills, and ability to follow-up action items and requests
Results oriented
Quality and improvement focused
Ability to multi-task
Strong oral and written communication skills
Ability to work with various levels of people in the organization
Comfortable working in a fast-paced environment
Constant desire to learn
Detail oriented
Organized
Team player
Positive attitude"
LATAM Project Management Office Sr. Manager,LATAM Project Management Office Sr. Manager,Newell Brands,May,2024,"Position Title: Program Manager Office (PMO) LATAM Lead
Location: Mexico City


The Program Management Office LATAM (PMO) will be responsible for leading our strategic initiatives and priorities implementation across the LATAM region. This role requires an expert in Lean Tools and Agile methodologies, with a proven track record in leading and influencing multifunctional teams and projects. The role operates as a Center of Excellence for Program Management and sits inside of our Regional Leadership Team. It collaborates directly with senior leaders in the region on commercial and back office functions, and has responsibility for key projects across the region. The main goal of the PMO is to provide quality project management services and build project management capabilities across the region using world-class standards, guidelines, processes, tools, agile methodology and techniques.

Specific Responsibilities

Lead and oversees priority projects which require high levels of functional integration detailed process mapping and tracking
Demonstrate strong capabilities in all program management competencies, including planning, executing, monitoring, and controlling of strategic and complex technical projects.
Manage projects from initial concept through final implementation utilizing effective management and tracking tools.
Responsible to help define and deliver project scope and manage a decentralized project team. Must partner effectively with multiple functional and segments leaders to identify and mitigate risks to timeline and cost.
Responsible for ensuring all project requirements are properly identified and translated to project documentation to define the scope.
Create and review project plans, work with stakeholders to understand complex problems, propose resolution, remove roadblock in a timely manner and escalate when necessary to meet timelines.
Drive the adoption to PMO management standards and practices to conduct consistently, efficiently, and timely the projects execution.
Drives team accountability and ownership on execution to deliver project on timing, cost, quality, and budget.
Monitor and report status of project progress and risks to the project sponsor, leadership team and key stakeholders.
Hold regular reviews with peer managers to ensure program and project plans are aligned with major initiative among teams in the region as assigned.
Use financial information and data to conduct analysis and support fact-based project and business decisions.
Identify project management gaps and develop, improve, and implement standards, guidelines, practices, processes, and templates for managing projects consistently and efficiently in order to achieve results on time while reduce project related risk and costs.
Provide support and guidance to Project Leaders and Managers as needed with oversight on their project progress and development, while forming strong partnerships with cross-functional teams.
Mentor and coach Project Leaders and Managers to drive their performance on plans implementations.
Leads collaboration efforts across the organization to leverage best practices, expertise, and shared resources.
Provide coaching and training to functional project leaders to build on country/Cluster project management capabilities across Newell LATAM.

The Candidate

The Program Management Office LATAM Lead will have responsibility to deliver solutions for the strategic initiatives in LATAM, which is a vertically integrated operation inside global Newell business. This requires excellence in strategic planning, tactical leadership and execution across all geographies and functions, including Agile & Lean methodology for Sales, Marketing, E-Comm, Sales Operations, Finance, etc.
The candidate must be technically competent with a willingness to be hands-on and comfortable with tactical execution while working on projects of strategic importance.

Key Responsibilities

Strategic Leadership: Lead and follow up on our initiatives and strategic priorities, ensuring alignment with overall business objectives.
Project Management: Expertise in valuating projects, implementing tracking solutions, and ensuring projects advance on time.
Team Leadership: Proven experience in leading multifunctional teams, fostering a collaborative and inclusive work environment.
Agile Expertise: Lead Agile Sprints and projects, leveraging expertise as a Scrum Master.
Analytics: Utilize analytics skills and project management tools to drive decision-making and project execution.

Qualifications

Bachelor’s degree in Industrial Management, Engineering, Business Management, or related technical field, PMP Certification preferred.
10+ years of leadership experience preferred in project management for Supply Chain on CGP industries.
Demonstrated familiarity with commercial & strategic projects implementation.
Experience leading complex programs with high complexity and high levels of capital spend or aggressive business goals expectation in short term periods.
Proven ability to facilitate relations between Executive Leadership, Sales, Marketing & Comemrcial teams, along with business and segments functions at a Regional & Global Level.
Ability to interact and communicate appropriately with cross-functional personnel through executive leadership.
Demonstrated track record of effectively building partnerships to manage and resolve challenges.
Demonstrated familiarity with structured project management methodologies.
Demonstrated knowledge and experience managing technical and business requirements to deliver integrated solutions.
Experience in developing and deploying project management best practices, policies, procedures, and processes.
Logical and creative problem-solving and analytical skills required.
Proficient in project management tools such as Microsoft office suite, Microsoft Project, Smartsheet, PowerBI and SharePoint.
Possesses influencing skills (leads by example, clearly articulates business cases and interpretation of cause-effect impact).
Demonstrates high ethics and values.
Highly effective organization and planning skills.
Ability to thrive in a fast-paced, dynamic environment.

Required Skills and Experience

Lean Tools: Expertise in Lean Tools to drive efficiency and effectiveness in processes.
Agile Methodology: Proficiency in Agile methodology, with experience as a Scrum Master.
Leadership: Strong leadership and influencing skills, with the ability to navigate complex organizational structures.
Analytics: Strong analytical skills, with the ability to derive insights from data to inform decision-making.
Project Management Tools: Proficiency in using project management tools to track and manage projects.
Experience: Proven experience in leading teams and managing large-scale projects.

Preferred Qualifications:

Consumer products industry experience.
Comfortable working with diverse and distributed teams.
Excellent written and verbal communication skills and presentation skills.
MBA or advance Degree in Business, Management, or related field.
Bilingual English / Spanish
Ideally proficient in Portuguese



High level of organization, discipline, logical, priority and maintenance in the region. Identify prioritires, execute and maintain pla, approach, tracking , dashboard, structure, full time job keeping the team on track. Self confident. Acknowlege deficiencies, conflict management. Some understanding of our business, our type of industry, consumer package goods. Matrix driven organizations. Cross functional partners. Follow up process connectin business and tasks. Push the right buttons in time. Realy hands on. Not so senior they don’t involve in operation."
Senior Project Manager,Senior Project Manager,Fever,May,2024,"Hi, we're Fever

We're excited you are checking out this job offer.

We are the leading global live-entertainment discovery tech platform with a clear mission: to democratize access to culture and entertainment.

How do we achieve our mission? Fever has developed a proprietary technology that inspires a global community of over 125M people through personalized and curated experiences in their local city whilst empowering entertainment and event creators to reach new audiences and enhance their experience.

Sounds amazing, right?

As part of the Fever Originals team, you will use data and insights to create one-of-a-kind events and experiences that allow people to have unforgettable moments.

Who you'll work with

You will join one of our offices around the world to work in teams and directly interact with our partners, providers, and venues.

In this role you will help Fever grow its pipeline of original events. To do so, you will interact with all departments of Fever, from Marketing to Operations.

The team you're about to join consists of people that are motivated, young, and fun. On top of having multicultural backgrounds, people in the team are all top profiles: McKinsey, Amazon, Google, KKR, Cirque du Soleil, PSG, and Roland Garros.

What you'll do

As a Project Manager, you will work with your team lead to develop, launch and manage your events, from A to Z. Together with the other departments, you will define the way to scale this event to all our other markets.

You will be responsible for owning the strategic planning, execution, and reporting for our key strategic experiences.



When you join Fever, you are joining a company that will invest in your professional development. You will receive training and coaching on how to:

Provide a detailed analysis of business opportunities and inefficiencies; proposing changes to operational processes; driving a high standard in customer satisfaction; ensuring high-quality experiences are delivered.
Work as part of a team, pitching and closing events for big partners (Big Entertainment companies)
Work with the Fever marketing team to make sure events make an impact: both in terms of ticket sales and coverage
Manage, report on, and grow revenue from events
Grow the experiences team in the against team targets
Help to scale our other cities through developing and sharing best practices (opportunity for travel)
Foster and grow the Fever Partner Network: including venues and event organizers
Communicate product needs (Fever usability) and process needs to HQ, work with product/engineering to deliver on them
Represent Fever at local events and with local PR

Preferred Qualifications



3+ years in a project management role or consulting background. This is not a position for an events background.
Fluent English.
Huge appetite for learning and the ability to pick up new skills quickly. You will also have strong analytical, relationship management, and organizational skills.
You'll be solution-focused, identifying problem areas and then creating plans to find resolutions.
You'll have strong communication skills and a proven track record of building positive working relationships.
Highly organized and efficient
Curious and keen to push boundaries and try new concepts
Great networking skills and the ability to make smart partnerships happen
Able to communicate with events partners, brands, agencies, and talent on efforts
Ability to think strategically when faced with an events partnership brief or with our proprietary data on what events work
Able to handle large amounts of work and parallel work-streams
Collaborative and willing to get hands dirty and work on all required events tasks
Knowledge of promotional tools such as Facebook and Instagram is a plus
Strong academic background is a plus

You can expect to join a group of diverse, hardworking team players, where a cultural fit is someone willing to stay humble and learn and can work nimbly. We welcome applications with unusual backgrounds with the expectation that the applicant will have acquired hard or soft skills and maturity throughout their experiences.

What you'll get

Opportunity to have a real impact in a high-growth global category leader
40% discount on all Fever events and experiences
Health Insurance
Gympass membership
Home office friendly

Our hiring process

A 30 min video call with one of our Talent Acquisition Managers, to better understand your career plan, assess cultural fit and answer any questions you may have
A 60 min online test with three topics: logic, analytics and written understanding
A 45 min video call with your future manager, including questions about your profile and a business case presentation (to be prepared in advance)

On average our process lasts 20 working days and offers usually follow within a week.

Thank you for considering joining Fever. We cannot wait to learn more about you!

If you want to learn more about us: Fever's Blog | Bloomberg | TechCrunch

Thank you for considering joining Fever. We cannot wait to learn more about you!

If you want to learn more about us: Fever's Blog | Tech.Eu |TechCrunch

Fever is committed to creating an inclusive and diverse workspace where everyone's background and ideas count. Our main goal is to find the best possible talent regardless of place of birth, racial or ethnic origin, gender, gender identity, religion, opinion, sexual orientation, disability, pregnancy, marital status, age or caring responsibilities. We encourage everyone to apply!

If you require any kind of accommodation during the selection process please contact our Talent team so we can help you by providing a welcoming and seamless journey.

If you want to know more about how Fever processes your personal data, click here Fever - Candidate Privacy Notice"
Program Manager,Program Manager,"First Brands Group, LLC",May,2024,"First Brands Group is the parent company of many of the automotive industry’s most recognizable OEM and Aftermarket brands. First Brands Group is a privately held organization and leader in automotive repair and maintenance products. Headquartered in Cleveland, Ohio with operations found around the globe, we are a team of professionals dedicated to building profitable, enduring growth among all our customers with an unrelenting drive to exceed customers’ expectations.

First Brands Group is hiring a PROGRAM MANAGER to work on site in Juárez Chihuahua.

The PROGRAM MANAGER will assist by:

Job objective:
Implements and administers one or more corporate programs, typically consisting of multiple projects or sub-projects. Plans, organizes, and guides projects and subordinate employees.

Principal activities
Executes programs that meet the needs of the organization or its employees or customers.
Participates in all aspects of corporate programs, including planning, budgeting, staffing, and performance.
Promotes the program throughout the organization and tracks utilization.
Supervises the work of program or project staff to ensure that work in completed on time or in accordance with established standards or specifications.
Evaluates program effectiveness by collecting and analyzing data in support of key performance metrics.
Ensures that activities are in compliance with organizational policies and any relevant external regulations.
Provides reports and updates to senior management or other stakeholders.
Preferred Requirements:

Bachelor's degree and at least 5 years of experience
Ability to develop and mentor others
Oral and written communication skills.
Ability to build collaborative relationships.
Ability to meet deadlines.
Project management skills

MUST HAVE:
Experience launching consumer products / automotive replacement parts with customers such as Walmart, Costco, Autozone, Advance Auto, O’Reilly or warehouse distributors.


Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, or protected veteran status"
Web Program Manager,Web Program Manager,NXP Semiconductors,May,2024,"The Web Program Manager owns the relationship between the central global web group and a specific NXP business line, working to increase the digital presence and footprint for that business line’s products, solutions, and services, using the strategically aligned standard methodologies and standards of NXP.com. This role functions as a business lines’ “success manager” within the central web team.
This role is in the Web Business Enablement team, part of the Digital Go-to-Market group in NXP Global Sales.

The Web Program Manager has responsibility for:
Close listening and analysis of business goals
Planning and tactical management of web content and projects for their NXP business stakeholders and global Sales and Marketing teams
Negotiating with business stakeholders to meet objectives while maintaining adherence to the core customer experience, journey, UX, and content strategies that are necessary to a maintain this world-class customer-focused web site
Driving web product launches and regular content updates of NXP’s while preserving the best possible customer experience for NXP.com visitors.
Collaborating with stakeholders in the business line to understand their business strategies and specific needs to maximize the digital interaction with customers and selling opportunities.
Collaborating with operations teams to complete projects and accomplish the business objectives.

Successful candidates will come with experience in the following:
Exceptional communications skills, both written and verbal, and be comfortable in informal and formal presentation settings, with strong listening and negotiation skills
Fluent in English (required for close interlock across global teams), fluency in Spanish a plus
Program/project management skills
Previous business experience working with teams in Marketing or Sales.
Understanding of web design and content management processes and tools
General understanding of current web technologies, tools and methodologies
A background in product, communications or other marketing disciplines is a strong plus
Good analytics background and skills is a plus

Knowledge/Skills
1-3 years of experience in a similar role preferred
Bachelor’s degree in a related field or equivalent experience: electronics, marketing/communications or similar, with experience in a technology company a plus
Excellent written and verbal communications in English and Spanish
Experience in project management
Good negotiation and problem solving skills
Experience with web content management systems, web technologies, and analytics"
Program Manager,Program Manager,Amazon,May,2024,"Description

We are seeking a seasoned Field/Audit team member to support our International Discovery Program in bridging the gap between high-performing delivery stations and under-performing sites across various regions. The ideal candidate will apply extensive operational knowledge and sound business judgment to conduct discovery audits in collaboration with other auditors, aiming to uncover regional differences.

This role offers high visibility, providing valuable exposure to various facets of our business and the opportunity to make meaningful improvements. Your responsibilities will encompass a broad range of functions, including audits, capturing best practices through video, leading workshops, and participating in ad hoc process improvement projects. In this dynamic environment, you must excel at working independently while sharing insights with a diverse group of stakeholders.

As part of your role, you will analyze and review performance data on specific topics during discovery cycles. You will collaborate with a cross-functional team of subject matter experts to formulate questions that help gather relevant data for insights into key performance drivers. Subsequently, you will conduct on-site discovery audits, utilizing the prepared questions and observations to present recommendations on why high-performing sites excel. You will then work with the team to identify common themes across all sites and contribute to the monthly report for key stakeholders. To reinforce compliance with standards, you will also record best practice videos and conduct bi-monthly workshops with operations and ACES.

We highly value the ability to deal with ambiguity, Logical approach to effectively connect data to physical observations, Analytical skills to prioritize effectively using data sets available, and sound business judgment.

Key job responsibilities

Plan and scope monthly discovery audits, execute audits, prepare written findings, and facilitate business responses and action items.
Delve deep into the details to generate meaningful findings and recommend root cause solutions.
Lead regional workshops to reinforce standards.
Create short impactful videos to document best practices.
Lead and participate in ad hoc projects.

We are open to hiring candidates to work out of one of the following locations:

Mexico City, DIF, MEX

Basic Qualifications

-Bachelor's degree in Accounting/Finance/Business, math, computer science, engineering, or related field.
-Willingness to travel up to 50% (excluding less than a one-hour commute from home).
-A degree in business, supply chain, transportation, economics, or a technical field.
-Relevant experience in supply chain, transportation, project management, or management consulting.
-Experience in project management or management consulting, managing multiple ongoing projects.
-Proficiency in diving deep to identify the root cause of problems in an operational environment.
-Strong communication skills, both verbal and written, and the ability to present to audiences (up to 50 people).

Preferred Qualifications

-5+ years of experience in internal or external auditing, risk management, or compliance, with Big 4 accounting firm experience being a plus.
-Experience with process improvement methodologies such as Kaizen and Six Sigma, or project management.


Company - Servicios Comerciales Amazon Mexico S. de R.L. de C.V. - D44

Job ID: A2638566"
Program Manager,Program Manager,Orion Innovation,June,2024,"Orion Innovation is a premier, award-winning, global business and technology services firm. Orion delivers game-changing business transformation and product development rooted in digital strategy, experience design, and engineering, with a unique combination of agility, scale, and maturity. We work with a wide range of clients across many industries including financial services, professional services, telecommunications and media, consumer products, automotive, industrial automation, professional sports and entertainment, life sciences, ecommerce, and education.

Primary Purpose and Goal
As a Program Manager, you’ll be expected to support several projects. Program Managers are expected to ensure that their projects deliver on the required outputs detailed in their Project Charters, within the specified time and financial constraints. There is a strong focus on financial management, coordination of delivery team resources, and closely monitoring and maintaining detailed project plans. It is expected that status reporting, issue and risk management is undertaken on a timely basis and adheres the reporting cycles within their individual portfolios and executive reporting mandated by the PMO team.
Program Managers will be expected to follow the in-house project lifecycle from inception to completion using standard project lifecycle practices and artifacts.
Experience managing data programs a plus

Responsibilities and Tasks
facilitate amongst project resources to ensure project execution
project is delivered on-time, within scope and within budget
project scope and objectives, involving all relevant stakeholders and ensuring technical feasibility
detailed project plan to track progress
projects through the Project Management Lifecycle inclusive of Initiation, Planning, Execution, Monitoring & Controlling, and Close Phases
changes in project scope, schedule and costs and follow a formal CR process
escalate issues / risks to management as needed
the day-to-day relationship with the client and stakeholders
risk management to minimize project risks
maintain comprehensive project documentation
manage project budget by developing a detailed project forecast and validating against actuals each month to provide accurate financial reporting to stakeholders.
Expected Skills

follow-up, and strong attention to detail
manage various deliverables from different teams/individuals
understanding and ability to manage Assumptions, Risks, Action items, Issues, Change, Scope

Analytic and decision-making skills - Ability to analyze and document a situation/scenario and propose options, recommendations and cost impact

financial management
resources and cost
forecast against budget
project spend, and justification for change requests

planning and monitoring
key milestones
detailed plans
facilitate gathering of status information, and surfacing of progress limiting issues

skills
concise status reporting
craft leadership / executive level communications

Qualifications:
8-10 years’ experience in project management disciplines, with experience planning and executing projects and programs. Strong experience managing both IT and Business projects preferred.
Experience in software development project management (REQUIRED)
project management skills with experience in organizing, prioritizing, planning, and executing projects from definition through implementation, involving internal personnel and third-party contractors
excellent communication skills, analytical ability, strong judgment skills, strong organizational skills, and the ability to work effectively with project team members, project sponsors, functional leads, and senior management in a matrixed environment
enthusiastic, and passionate
demonstrated success working independently in a virtual environment
strategic thinking and of moving strategic plans into action
managing multiple projects simultaneously

Education
Bachelors degree

Years of experience
Minimum of 8-10 yrs experience

Certification
PMP and Scrum certified or comprehensive experience"
Program Manager,Program Manager,Eaton,May,2024,"Eaton’s ES AMER ESS division is currently seeking a Program Manager.

What You’ll Do

Job Summary

This role is a key leader of cross functional global project teams that push NPD projects through a formal decision gate process. Responsibilities will be to maintain ongoing dialogs with all open project teams in order to collect schedule and completed milestone information, prepare an ongoing comprehensive view of projects and assignments in a written or online format available for management’s use and report and forecast on schedules and budgets, using Prolaunch. As coordinator this role will support other projects leaders to achive a formal decision gate..

Job Responsibilities

""

Manages New Product Development (NPD) projects. Responsibility, Authority and Accountability (RAA) for project scope delivery and successful execution within technical, schedule, cost and quality commitments on division
Establishes objectives and goals and provides direction to the project teams in areas of customer concerns, potential changes in scope and risk assessment
Manage effective stakeholder communications. Communication and manage stakeholder expectations and contractual commitments internal to the business.
Coordinates all risks and requirements of the project. This is accomplished by planning, controlling, integrating all project activities and deliverables and measuring all elements to ensure the requirements and goals are successfully achieved.
As coordinator, work closely with program manager and regular discussion/ status updates (PROLaunch activities).
Communication with suppliers (raw material, machine, consumables, trials plan, visit plan, any invoice problem, any feedback, offer request, payment issues).
Working with finance and OPEX teams to reconcile monthly expenses and capex.
Communicating with all teams in Queretaro when needed (example; getting operator for trials, GTM or logistic for material sending, planning for production or material plan, finance for payment issue, SCM for any supplier or purchase issue).
Following actions (any problems, delay) and communicating with owner for that action, help or escalate to portafolio manager.
Work with Global team and make sure communication with scope and deliverables are clear for all teammembers.""


Qualifications

Education level required

Bachelor of Science in Engineering (focus is flexible)

Years And Area Of Experience Required

5 years of engineering experience, at least 3 years in project management

Technical knowledge

""PMP, PMBook, Agile, Scrum, Prolaunch, English fluency, problem solving, Microsoft Project, PMP certicatification (if possible)

""

Soft skills

BOC, GR, Eficient, Accountable, Willing to work flexible hours

Skills

We are committed to ensuring equal employment opportunities for job applicants and employees. Our recruitment processes use balanced selection criteria and avoid unlawful discrimination against applicants on the basis of their age, colour, disability, marital status, national origin, gender, gender identity, genetic information, race or racial origin, religion, sexual orientation or any other status protected or required by law.

]]>"
Technical Project Manager,Technical Project Manager,ATG (Auction Technology Group),May,2024,"Auction Technology Group is expanding its team and opening an office in Guadalajara Mexico! We are looking for exceptional engineering talent to join the team, become a founding member, and help us transform the Auction industry.

ATG exists to revolutionize the secondary goods market. We believe in a world where millions of objects can be traded online at the best possible value through our channel of green commerce that gives new life to all things timeless, sustainable, or re-usable. Our mission is to be the global marketplace connecting bidders, businesses, collectors, consigners, contractors, and consumers to an under-explored world curated by thousands of trusted auctioneer experts.


The important things -What will you be doing as a Project Manager?

We are actively seeking an adept and versatile Project Manager to join our dynamic team. This role involves providing essential support by collaborating with Technology, Product, and Commercial teams, with a primary focus on achieving ATG’s strategic objectives. The ideal candidate will play a pivotal role in the Program Management Office department, driving organizational change and aligning project management practices with agile values to facilitate Agile transformations.

Responsibilities:

Strategic Collaboration:
Act as a trusted partner, executing tasks crucial for program and project success.
Collaborate closely with subject matter experts to ensure project alignment with organizational goals.

Program Planning and Alignment:
Plan and strategize for projects, maintaining alignment with product visions and roadmaps.
Ensure project compliance with product visions and roadmaps.

Core Program Oversight:
Oversee core project elements: schedules, RAID logs, budgets, resource management, status reports, and stakeholder engagement.
Coordinate the measurement and reporting of metrics, including OKRs.
Coordinate project meetings to foster effective communication and collaboration.

Communication and Reporting:
Facilitate ongoing communications and progress reporting to keep stakeholders informed.
Ensure project compliance with security controls and SRE requirements.
Support evidence gathering for yearly financial audits and R&D tax credits.

Change Management:
Manage change activities, including timeline adjustments, changing requirements, and stakeholder discovery.
Coordinate and manage the delivery of release readiness reviews.
Facilitate Go-No-Go decisions for major releases, ensuring alignment with program goals.

Agile Transformation:
Align project management practices and processes with agile values, fostering a culture that emphasizes:
Cross-collaboration.
Team autonomy and empowerment.
Delivering value to customers.
Adapting to change in the moment.

What you need for success:

5+ years of industry experience, with a minimum of 2 years as a Program Manager/Project Manager/Business Analyst.
Experience in software application management and operational business functions.
Strong technical acumen, understanding of e-commerce environments.
Proven experience with process documentation, workflow automation, and multiple tech stacks/SaaS platforms.
Excellent proficiency in Microsoft Office suite and Atlassian suite of products.
Knowledge of the auction industry is advantageous.
Exceptional collaborative and communication skills, both written and oral.
Strong analytical, problem-solving, and judgment skills.

What we offer you!

What we offer, we believe is unique. We are big enough to have real resources to put against our strategy and small enough where you will KNOW you are making an impact. We are large enough to have IPO’d but are still very early in our journey as a business so you are still part of shaping all that ATG is and will become. We don’t just talk about our culture, we actively cultivate it and seek people who fit it - our consistently high employee engagement scores reflect this.

Our Benefits also include:

Christmas Bonus: 30 days’ pay.
Additional holidays: 20 days of paid holiday with 25% leave bonus.
Private Medical coverage.
Life insurance.
Food and Grocery Vouchers.
Savings Fund."
"Operations Program Manager, Program Operations, Last Mile","Operations Program Manager, Program Operations, Last Mile",Amazon,May,2024,"Description

The goal of Amazon’s Global Delivery Strategy Team is to exceed the expectations of our customers by ensuring that their orders, no matter how large or small, are delivered as quickly, accurately, and cost effectively as possible. To meet this goal, we are continually striving to innovate and provide best in class service levels through the introduction of pioneering new products and services.

This role will manage retail sales channel stakeholders including customers and logistics delivery partners, if you have experience opening traditional market routes, from distribution and sales perspective, this role is for you.

In this role you will be primarily responsible for tracking key metrics and action items for programs and processes in the Last Mile Operation, such as: Payments, Losses, On Road Hours, Strategy Tracking, Driver Experience, Daily Tracking and Safety/Security Investigation Track, always assuring all teams (internal and external) are aligned with standard procedures and requirements always focusing in customer experience. This is a position for people-oriented managers with a large team across the country. This is NOT a virtual role, responsibilities require to be willing to travel frequently. - This role must be flexible to work eventually on weekends and/or evenings during peak events (According to business demand).

#AmazonMexico

Key job responsibilities

Responsibilities Include (but Are Not Limited To)

Manage operational relationship with suppliers.
Ensure to remain customer obsessed.
Operative discipline monitoring key processes at daily, weekly or monthly cadence.
Tracking of goals and tasks to guarantee the overall success of the channel.
Diving Deep capability to determine first level root causes.
Ability to manage and populate performance reports and dashboards for key metrics.
Ensure that all improvements and action plans are executed efficiently and on time.

We are open to hiring candidates to work out of one of the following locations:

Cuauhtémoc, MEX

Basic Qualifications

3+ years of program or project management experience
3+ years of working cross functionally with tech and non-tech teams experience
3+ years of defining and implementing process improvement initiatives using data and metrics experience
Bachelor's degree
Knowledge of Excel (Pivot Tables, VLookUps) at an advanced level and SQL
English Fluency
5+ years of general experience

Preferred Qualifications

3+ years of driving end to end delivery, and communicating results to senior leadership experience
3+ years of driving process improvements experience
Experience in stakeholder management, dealing with multiple stakeholders at varied levels of the organization
Experience building processes, project management, and schedules


Company - Servicios Comerciales Amazon México S. de R.L. de C.V.

Job ID: A2553425"
