Position,Company_Name,Location,Post_Month,Post_Year,Details
Analista de Proyectos,Analista de Proyectos,Walmart de México y Centroamérica,May,2024,"Analista de Proyectos

Objetivo Principal:
Cuantificar las iniciativas de productividad para Ops Support y así poder detectar riesgos presentes y futuros realizando una ejecución estratégica. Consolidar, dar visibilidad y seguimiento de productividad total Walmex.

¿Qué harias?
Diseñar, actualizar y analizar los criterios de las hipótesis de cada iniciativa a implementar para poder soportar la toma de decisiones del Squad Lead y líderes de célula que permita priorizar y alinear a las áreas involucradas.
Calcular los beneficios de las iniciativas que generen productividad de Ops Support
Analizar y validar los criterios en las hipótesis de cada una de las propuestas de mejora a los procesos y prototipado, confirmándolos con los resultados de la POC/pilotos y mediante la retroalimentación de Operadores, Clientes y/u otras áreas. (Criterios financieros y/o operativos).
Desarrollar, mantener y actualizar la productividad mensual/anual para visibilidad del CoE y de los equipos de finanzas y operaciones, a través de un tablero automatizado que permita identificar atrasos en los proyectos y habilite la toma asertiva de decisiones.
Dar seguimiento total WALMEX de las iniciativas de productividad, para la consolidación de beneficios y construcción de resultados (Mensual, FCST y FY)
Priorizar la ejecución de proyectos mediante el seguimiento de la implementación, evaluando los riesgos y avances.
Proponer las premisas y métricas iniciales de proyectos a desarrollar, identificando las diferencias entre formatos de negocio y/o canales.
Negociar recursos necesarios con stakeholders (incluyendo trade off) para alcanzar metas de productividad

¿A quién buscamos?
Ingenieria industrial, finanzas o afin.
Experiencia de 2 a 3 de experiencia en análisis y/o validación de proyectos.
Manejo de Excel avanzado.
Manejo de SAP deseable.
Manejo de Power BI deseable.
Metodología six sigma deseable.
Análisis de P&L.
Inglés intermedio avanzado.
Análisis con grandes bases de datos.
Manejo de hipótesis mediante data.
Pensamiento Estratégico y Comunicación Asertiva
Actitud de servicio con clientes internos y stakeholders, liderazgo de equipos multidisciplinarios.

En Walmart de México y Centroamérica nos comprometemos con la Diversidad, Equidad e Inclusión, buscamos incorporar al mejor talento basándonos en competencias, habilidades y potencial; no discriminamos por ningún motivo, durante el proceso de atracción y selección no solicitaremos información personal, fotografías o análisis clínicos de ningún tipo, incluyendo VIH o pruebas de embarazo. No discriminamos por género, edad, origen étnico, apariencia física, estado civil, estado de salud, situación socioeconómica, discapacidad, orientación sexual, identidad o expresión de género u otros; por ello consideramos que tus datos personales no son relevantes durante el proceso de entrevista ni para la selección final.
En Walmart estamos trabajando por contar con mayor accesibilidad, en caso de que necesites algún ajuste razonable por favor compártelo con el equipo de Reclutamiento."
Business Analyst,Business Analyst,Tata Consultancy Services,May,2024,"The ideal candidate is a team player who will be responsible for working with company data in various business areas. Specific responsibilities include reporting metrics, analyzing methodologies, suggesting operation improvements, and building proposal evaluations in a cross-functional environment.
Job Details :
Responsibilities

\Security Support Teams
Architecture
Access Management
External Auditor(s)
Track and report data
Build cross-functional partnerships, internally and externally
Manage budgets
Maintain a competitive market knowledge
Required for Contractor role:
years of experience within the cybersecurity domain with a focus on IT audit, risk and compliance.
years of experience working on efforts involving business analysis, process improvement, project delivery (agile, waterfall, kanban), user acceptance testing and organizational change management.
interpersonal, teamwork, and communication skills; ability to rely on experience and judgment to execute role and accomplish goals consistent with enterprise objectives.
candidate will have experience with M365 suite of tools including Teams, SharePoint Site/Lists/Wiki, Power BI, Azure DevOps, Power Automate, Power Apps. Planview experience a plus.
with security and control standards, frameworks, risk management methodologies and international regulatory requirements (e.g. ISO 27001, NIST, GDPR, DORA, etc).
of understanding security policies, controls, standards, and requirements; can articulate how to remediate gaps and communicate to audiences with varied levels of technical understanding.
and willing to perform a variety of tasks to ensure the success of the team and deliverables.
and willing to learn and become proficient in using a variety of systems and security tools.
Role is remote, but candidate will be expected to work Eastern Time with Partners working GMT.
Qualifications

Bachelor's degree or equivalent experience
Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)
Strong written, verbal and collaboration skills"
Business Analyst,Business Analyst,AstraZeneca,May,2024,"About The AstraZeneca

AstraZeneca is a global, innovation-driven biopharmaceutical business that focuses on the discovery, development, and commercialization of prescription medicines for some of the world's most serious diseases. But we're more than one of the world's leading pharmaceutical companies.

At AstraZeneca, we're proud to have a unique workplace culture that inspires innovation and collaboration. Here, employees are empowered to express diverse perspectives - and are made to feel valued, energized and rewarded for their ideas and creativity.

About The Team

R&D IT’s vision is to deliver the best science IT capabilities in biopharma, which we define as agile, responsive and fit-for-future. Our goal is to engage with our stakeholders as a strategic partner in delivering life-changing medicines to our patients. The desired effect of your role is to take accountability as a leader for delivering a ‘Best in Class’ IT experience within R&D IT.

Delivering the portfolio of projects and services needs people with hybrid skill sets covering technical, analytical, project management, service management and business analysis skills, combined with an excellent knowledge of finance as well as product and portfolio strategy processes. Our Business Analysts contribute to a range of projects including IT development, data management, analytics, AI, machine learning, business transformation and more. Our projects deploy a range of technologies including internal custom build solutions, packaged software, ERP solutions, Software as a Service as well as Cloud based solutions and BI tools.

About The Role

Are you a leader with a growth mindset who possesses expertise in, and passion for, managing portfolios and improving processes? Would you like to apply your expertise to impact a company that follows the science and turns ideas into life changing medicines? If so, AstraZeneca might be the one for you!

The Business Analyst will be an integral part of the development and management of a ‘Best in Class’ Portfolio Governance and Program Management process. They understand the delivery lifecycle, are confident facing business functional areas and possess project management skills such as Finance and Resource Management and Risk/Issue Management. To do this you will be accountable for the following:

The Business Analyst will be accountable for:


Process Optimization
Assess and define stakeholder needs and areas for improvement, within a complex multi layered organization.
Optimize process of requirements management planning including objective prioritization of demands.
Collaborate across R&D IT Stakeholders to develop plans for benefits tracking and realization.
Proactively seek out opportunities and propose solutions to enhance and improve internal R&D IT governance processes in alignment with strategic goals.
Select the appropriate analysis approach for a piece of work. Plan and manage your own and other team member’s activities to meet deliverable requirements and deadlines.
Identify key stakeholders, and actively build relationships according to individual stakeholder needs and levels of influence.
Contribute to communication and change management planning and delivery across R&D IT.




Project Planning & Delivery
Lead the work with stakeholders to identify requirements and translate the requirements into design specifications reflecting Functional Design, User Interface Design and Process Design.
Partner with the Architecture and Engineering teams, ensuring the technical solution will deliver the agreed business benefits.
Analyze and assess solution proposals, providing clear supporting reasoning. (i.e. assessing stakeholder readiness, maximizing value vs. spend).
Respond effectively to changing stakeholder priorities with ability to plan ahead, accounting for potential changes and corrective actions.


Requirements

Essential


Established knowledge of or experience with portfolio governance and/or program management.
Experience with process improvements including: process mapping, operating model design and process optimization.
Proven experience of successfully deploying business analysis tools/techniques to enable business change.
Well-developed organizational, interpersonal, written, and verbal communication skills.
Proven experience of working with complex integrated systems, using creative and strategic thinking to deliver exceptional results.
Strong engagement, communication, and stakeholder management skills, including excellent presentation and influencing skills.
Experience of virtual collaboration to lead, shape and develop innovative solutions.
Demonstrated skills interacting with Senior Leaders.
Excellent relationship management and influencing skills.
Experience working with and managing third party suppliers/vendors.
An entrepreneurial mindset and the proven ability to shape innovative solutions


Desirable


Degree in relevant discipline and/or formal certification in business analysis practice.
Practical usage of Agile Methodology.
Experience of working in a global organization with complex/geographical context.
Exposure to User Centered Design and Design thinking (User Experience, Prototyping, User Interface Design and Business Process Design


📌Strong English Communication Skills Required.

📌 Positions are open to Mexican Citizens and official residents of Mexico.

📍 Location: Guadalajara (hybrid - Expectation of working in the office 3 days a week)

When we put unexpected teams in the same room, we unleash bold thinking with the power to inspire life-changing medicines. In-person working give us the platform we need to connect, work at pace and challenge perceptions. That’s why we work, on average, a minimum of three days per week from the office. But that doesn’t mean we’re not flexible. We balance the expectation of being in the office while respecting individual flexibility.

Why AstraZeneca?

At AstraZeneca when we see an opportunity for change, we seize it and make it happen, because any opportunity no matter how small, can be the start of something big. Delivering life-changing medicines is about being entrepreneurial - finding those moments and recognising their potential. Join us on our journey of building a new kind of organisation to reset expectations of what a bio-pharmaceutical company can be. This means we’re opening new ways to work, pioneering cutting edge methods and bringing unexpected teams together.

Interested? Come and join our journey.

So, what’s next!

Are you already imagining yourself joining our team? Good, because we can’t wait to hear from you.

Where can I find out more?

Our Social Media:

Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/

Follow AstraZeneca on Facebook https://www.facebook.com/astrazenecacareers/

Follow AstraZeneca on Instagram https://www.instagram.com/astrazeneca_careers/?hl=en

AstraZeneca is an equal opportunity employer.

AstraZeneca will consider all qualified applicants for employment without discrimination on grounds of disability, sex or sexual orientation, pregnancy or maternity leave status, race or national or ethnic origin, age, religion or belief, gender identity or re-assignment, marital or civil partnership status, protected veteran status (if applicable) or any other characteristic protected by law. AstraZeneca only employs individuals with the right to work in the country/ies where the role is advertised."
Analista de Planeación de proyectos estratégicos.,Analista de Planeación de proyectos estratégicos.,Jugos Del Valle-Santa Clara,May,2024,"Jugos Del Valle-Santa Clara es la compañía de bebidas no carbonatadas de la Industria Mexicana de Coca-Cola que ofrece bienestar, hidratación y nutrición a las familias mexicanas mediante opciones, porciones y soluciones para diferentes gustos, necesidades y estilos de vida.

Buscamos Talento interesado en desarrollar al máximo sus capacidades, en conocer y ser partícipes de nuestra gran Oferta de Valor.

Nuestro principal pilar se basa en la filosofía “Primero la Gente”, para brindar experiencias integrales y únicas que combinan el momento de vida personal y etapa de carrera profesional de cada uno de nuestros integrantes

¡Incorpórate a nuestro Equipo de Trabajo!

Conocimientos en:

Auxiliar en la construcción y seguimiento al plan de trabajo de los ciclos QBP (Quarterly Business Plan)

Auxiliar en el análisis de la información y construcción de materiales de soporte requeridos para las presentaciones del área

Apoyo en la construcción de la presentación de Consejo de Administración

Colaboración con los equipos funcionales y las áreas con el fin de obtener, revisar y analizar la información requerida por el negocio

Apoyo en la coordinación de agenda, reuniones y sesiones de seguimiento y revisión de información y foros estratégicos

Escolaridad:

Lic: económico administrativas

Nuestra oferta de valor:

Sueldo competitivo más prestaciones superiores a las de la ley.

Oportunidades de crecimiento."
Business Analyst,Business Analyst,McCormick & Company,May,2024,"About the company
You may know McCormick as a leader in herbs, spices, seasonings, and condiments – and we’re only getting started. At McCormick, we’re always looking for new people to bring their unique flavor to our team.

McCormick employees – all 14,000 of us across the world – are what makes this company a great place to work.

We are looking to hire a HR Business Analyst

Main purpose of the role:
Ensuring compliance with various employment-related regulations. Is responsible for gathering, analyzing, and reporting HR data to relevant regulatory bodies, helping the organization maintain a strong commitment to legal and ethical practices. This role requires a meticulous attention to detail, a deep understanding of HR regulations, and the ability to communicate complex information effectively.


Description % of Time Spent:
•Data Gathering and Analysis %40
• Regulatory Reporting %30
• Assists Assistant Managers in monthly ad-hoc reporting projects %30


Essential requirements:
Bachelor’s degree in Data scientist, finance, economics, human resources or related.
Experience as Business Analyst or related 1-2 years
Power BI to create dashboards
Experience with reporting.
Able to influence stakeholders at different levels of the organization.

Interpersonal Skills:
Costumer focus
Effective communication
Results driven
Problem solving
Emotional intelligence
Strategic thinking
Business Savvy & Acumen
Attention to detail

What we offer:
The best people deserve the best rewards. In addition to the benefits you’d expect from a global leader, we also offer:
Competitive compensation
Career growth opportunities
Flexibility and Support for Diverse Life Stages and Choices
We prioritize our communities and the planet we share. We are proud to be awarded as a Diversity Inc. Top 50 company for Diversity and have multiple Sustainability awards (ranking #22 in the World and #1 in Food Products)
Wellbeing programs including Physical, Mental and Financial wellness
Benefits above the law.

McCormick and Company is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

As a general policy, McCormick does not offer employment visa sponsorships upon hire or in the future."
ANALISTA MANUFACTURA || CORPORATIVO,ANALISTA MANUFACTURA || CORPORATIVO,Coca-Cola FEMSA,May,2024,"Analista Manufactura

Responsabilidades Del Puesto

Estamos buscando candidatos para la posición de Analista Manufactura el área de Cadena Suministro, dentro de las responsabilidades principales se encuentran las siguientes:

Colaborar y trabajar en equipo con las operaciones donde tenemos presencia en KOF.
Desarrollar en Power Bi diversas propuestas para automatizar el trabajo manual que se realizan en las diferentes actividades de gestión de Manufactura.
Asesorar al equipo en el uso de las herramientas digitales y de colaboración como Teams y Power Bi.
Dar soporte a los diferentes países en cuanto al despliegue de las iniciativas de Manufactura.
Gestionar proyectos de optimización de recursos y digitalización de procesos.
Análisis de KPI´s de Manufactura para detectar oportunidades de mejora.
Gestionar y liderar implementaciones de proyectos e iniciativas desde lo estratégico hasta el piso operativo.


Requerimientos Del Perfil

Formación: Licenciatura en Ingeniería Industrial, Química, Mecánica, o afines
Experiencia deseable/ requerida: Experiencia en los procesos de Manufactura (envasado, procesos críticos.) Manejo y cálculo de KPI´s de Manufactura (operativos y de costo). Análisis y correlación de datos
Conocimientos técnicos: Conocimientos en herramientas digitales aplicadas a la Manufactura y en procesos industriales y de la manufactura de bebidas .
Herramientas: Paquetería Office (Excel avanzado), SAP básico, Power BI básico.
Buen performance en las siguientes competencias: Comunicación efectiva, Trabajo en equipo, Gestión de Proyectos, Análisis de datos.
Idiomas : Inglés nivel intermedio-avanzado y Portugués deseable.


Si estas interesado en esta oportunidad y cumples con los requisitos ¡POSTULATE!

Recuerda mantener actualizado tu perfil de colaborador en SSFF."
ANALISTA DE PROYECTOS,ANALISTA DE PROYECTOS,Magna International,May,2024,"Número de Empleo: [[24056]]

Grupo: [[COSMA MEXICO]]

División: [[COSMA SAN LUIS]]

Vacantes: [[1]]

Localidad: [[San Luis Potosí]]

Descripción del grupo

Cosma ofrece una extensa gama de soluciones de carrocería, chasis e ingeniería a los clientes en todo el mundo. A través de nuestra solida ingeniería de productos, excepcionales capacidades de herramientas y variada experiencia en procesos, continuamos aportando al mercado productos ligeros e innovadores.

Resumen de la función

Controle e informe el progreso de los principales proyectos a las partes internas y externas mediante reuniones de seguimiento e informe de compilación y distribución.

Responsabilidades clave

Coordinar reuniones periódicas entre gerentes de CSL y clientes, hacer un seguimiento del hito principal del proyecto, recopilar informes regulares, coordinar la pre-alineación de informes con todos los involucrados
Seguimiento y control sobre el Project Room
Seguimiento a KPIs de proyecto
Escalaciones
Seguimiento y reporte de progreso semanal.



Calificaciones/requerimientos clave

Ingeniería o Licenciatura concluida.
Maestría es deseable.
Inglés – Avanzado
Alemán – Deseable nivel avanzado
Administracion de proyectos



Concientización. Unidad. Empoderamiento.

En Magna creemos que una fuerza laboral diversa es fundamental para nuestro éxito. Es por eso que estamos orgullosos de ser un empleador con igualdad de oportunidades. Contratamos sobre la base de la experiencia y las competencias laborales alineadas a los requisitos del puesto, independientemente del género, color, raza, origen étnico, nacionalidad, edad, ciudadanía, estado civil, discapacidad, religión o creencias, orientación sexual o identidad de género. Para Magna es prioritario asegurar la privacidad y uso de su información personal por lo que su información será tratada de conformidad con la Ley Federal de Datos Personales en Posesión de los Particulares en México. Le pedimos por favor que no envíe aplicaciones a vacantes por correo electrónico."
Analista de proyectos,Analista de proyectos,AMI ENERGY,June,2024,"AMI ENERGY
empresa dedicada a la Automatización, Control y Modernización Industrial en el sector de Oil&Gas se encuentra en búsqueda de:

ANALISTA DE PROYECTOS

Misión del puesto:

Elaboración de resumen financiero de los proyectos, análisis del avance de este, así como revisión de todos los costos de los mismos. Supervisión de control de equipo de cómputo, control equipo de transporte.

Conocimientos en:
Resúmenes de costo de proyectos.
Actualización de flujo en base a retro
Revisión de avance de los proyectos
Revisión de todos los pagos que se realizan de los proyectos.
Revisión de que se cumplan los hitos esperados de cobro y/o actualización de los mismos.

Requisitos:
Estudios: Licenciatura en Administración / Contabilidad o afín
Experiencia: Mínimo 2 años
Manejo de Office"
Business Analyst,Business Analyst,Stori,May,2024,"About Stori

Stori is a fast-growing, venture-backed financial technology company, on a mission to democratize credit access for 400 million underbanked LatAm consumers. Stori currently operates in Mexico and has a global team with offices in Arlington Virginia, Mexico City, and Asia. We have quickly made our mark as one of the top digital banks in Mexico with more than two million applicants for our credit card product since launching.

Stori is one of the top-funded startups in the region with US$250 million raised to date. We are backed by top global venture capital funds, such as GGV Capital, GIC, Lightspeed Venture Partners, General Catalyst, Goodwater Capital, Mexico's Tresalia Capital, Vision Plus Capital, BAI Capital and Source Code Capital; who have successfully invested in startups such as Affirm, Airbnb, Alibaba, Stripe, and TikTok.

Stori has a standout founder team among fintechs, leveraging 100+ years of accumulated experience in consumer finance, banking and technology across Mastercard, Intel, Capital One, Morgan Stanley, GE Capital, and HSBC in the U.S., Mexico and Asia. The team has launched and managed many multi-million-customer credit card products globally, providing a wide breadth of experience and knowledge to our team.

We welcome diversity of background, experience and thinking. Storians are passionate about our mission and take pride in the products we build. Our culture thrives off of a flat structure and an inclusive environment where all of our employees can be their authentic selves, with boundless opportunities for professional growth.

You will

Drive customer and business understanding through A/B testing, statistical modelling, and data visualization
Own and manage account valuations model to optimize underwriting for profitability and other constraints
Evaluate business performance by setting & monitoring KPIs across the company
Automate data-driven processes to free up time to think about how to drive more value
Work cross-functionally with other verticals like Product, Customer Insights, or Operations to drive strategic recommendations and optimize Stori's performance; rotate through these verticals to gain a holistic view of the business.

Requirements

Bachelor's degree in Economics, Computer Science, Engineering, or other quantitative discipline
+2 years of experience
Fluency in English
An analyst who loves digging into large data sets and proactively improving their skillset - our analysts primarily work in SQL & Python, but an understanding of programming and data structures in any language can get you started
Someone who is self-motivated, driven, and independent - willing to tackle a problem head-on
A team player who knows how to communicate effectively and optimize for the entire company

What we offer

Make a positive impact on the lives of our customers via financial inclusion
Professional development opportunities
International exposure & work experience
Company swag
Legally required benefits"
Project Analyst,Project Analyst,DNV,May,2024,"About Us

We are the independent expert in assurance and risk management. Driven by our purpose, to safeguard life, property, and the environment, we empower our customers and their stakeholders with facts and reliable insights so that critical decisions can be made with confidence.

As a trusted voice for many of the world’s most successful organizations, we use our knowledge to advance safety and performance, set industry benchmarks, and inspire and invent solutions to tackle global transformations.

About The Role

DNV, the independent expert in assurance and risk management, is seeking an Assurance Services Consultant within our Assurance Services department in DNV Mexico.

This position will be based out of our DNV office in Mexico City, Mexico.

What You’ll Do

Be responsible for customer experience journey for operations activities (from project kick-off until final deliveries)
Understand project scope and specifications to allocate consultants to perform activities with a high level of quality
Perform planning process in accordance with project specifications and internal requests, updating customer and internal CRM systems properly
Communicate continually with clients and consultants to confirm schedule and project milestones
Understand and take into consideration logistics / geographic implications when planning
Keep updated consultants’ calendars to achieve their objectives
The focal point for internal planning with other DNV offices
Working with internal DNV systems
Responsible for ensuring final delivery deadline control
Revise projects into CRM systems and validate them
Control of data quality between agreement and operations into CRM systems and project details
Handle agreements changes or project scope changes together with the sales team when needed
Remote work and self-management capabilities are mandatory

What we offer

Generous PTO (Vacation, Sick Days, Company Holidays, Personal Days)
Vacation bonuses pay
Group health insurance plan
Group retirement plan with company match
Education reimbursement program
Company-provided life insurance plan
Flexible work schedule with hybrid/remote opportunities
Benefits may vary based on position, tenure, location, and employee election

How We Do It

We Care, We Dare, We Share

DNV is a proud equal opportunity employer committed to building an inclusive and diverse workforce. All employment is decided on the basis of qualifications, merit, or business need, without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.

Read More Here

Diversity and inclusion in everything we do every day - DNV

Meet our employees - DNV

About DNV

Careers in DNV

Please visit our website at www.dnv.com

About You

What Is Required

Successfully completed education with a bachelor's degree required
Experience in building customer relationships and ability to discuss with them regarding project activities
Technical background knowledge and professional experience in HSE, ESG, and/or safety culture are advantages
Excellent communication skills, both written and verbal
Experience in using common IT programs (e.g., MS Office, Outlook, etc.)
Ability to work both independently and as part of a team
Structured and detail-oriented, working without losing track of the big picture
Service-oriented and with a positive customer approach
Ambition and a high sense of responsibility spur you on
Your work is constructive and solution-oriented
Experience in project management is desirable
Strong written and verbal English and Spanish communication skills
We conduct pre-employment background screening

**Immigration-related employment benefits, for example visa sponsorship, are not available for this position**"
