Position,Company_Name,Location,Post_Month,Post_Year,Details
Events Project Manager,Events Project Manager,Condé Nast México & Latinoamérica,June,2024,"Condé Nast is a global media company producing the highest quality magazines, websites and digital content. Reaching more than 263 million consumers in 30 markets, the company’s portfolio includes many of the world’s most respected and influential media properties including Vogue, Vanity Fair, Glamour, GQ, The New Yorker, Condé Nast Traveller/Traveler, Architectural Digest, Wired and Golf Digest, among others. In addition to publishing 143 magazines and over 130 websites, the company operates a restaurant division and several ventures in education. Condé Nast Entertainment develops film, television and premium video programming.
We have the best, brightest and boldest talent in the media industry — individuals who produce our world-class content, design innovative products using the latest technologies and deliver unparalleled value for our business partners.

Condé Nast México y Latinoamérica está buscando a su próximo Events Project Manager es el líder responsable de la vertical de negocio de eventos, abarcando tanto los eventos de ticketing como los non-ticketing dirigidos al consumidor final. Su principal responsabilidad es garantizar la rentabilidad y la correcta ejecución y promoción de los eventos de ticketing, así como asegurar la convocatoria adecuada del público objetivo para los eventos abiertos al público general. Este rol abarca la gestión de eventos para las cinco marcas de Condé Nast.

Responsabilidades:

1.- Gestión Financiera y Presupuestaria:
Gestionar y asegurar la correcta administración de los presupuestos para eventos de ticketing y non-ticketing.
Crear proyecciones financieras y estados de ganancias, garantizando los márgenes de ganancia.
Generar y analizar los reportes de resultados para evaluar la efectividad de los eventos.

2.- Desarrollo y Ejecución de Estrategias:
Crear y coordinar estrategias de marketing para eventos de non-ticketing con el objetivo de atraer al público objetivo.
Desarrollar e implementar campañas de comunicación desde el inicio hasta la finalización del evento, incluyendo el manejo de paid media.
Asegurar la correcta segmentación y optimización de las estrategias de paid media para cumplir con los objetivos establecidos.

3.- Prospección y Alianzas Estratégicas:
Identificar y negociar con posibles aliados, speakers, influencers y medios para eventos de ticketing y non-ticketing.
Prospección de clientes B2B para posibles intercambios y ventas de boletos para eventos de ticketing.
Mantener y fortalecer relaciones con socios estratégicos como proveedores, universidades, grupos y agencias.

4.- Coordinación y Ejecución de Eventos:
Asegurar la correcta ejecución de los eventos, incluyendo la creación de landing pages y materiales visuales.
Coordinar la producción y ejecución de eventos, colaborando con otras áreas y supervisando la correcta realización de intercambios con agentes externos.
Coordinar investigaciones de mercado para definir la estrategia de producto, precio, punto de venta y promoción de los eventos.

5.- Posicionamiento y Promoción de Marca:
Asegurar el correcto posicionamiento de las marcas de Condé Nast a través de la promoción y ejecución de eventos de ticketing.
Desarrollar nuevas propuestas de eventos (B2C) con planificación financiera y estratégica.

6.- Supervisión y Reportes:
Crear y coordinar la ejecución de parrillas de comunicación orgánicas y pagadas.
Elaborar reportes de performance de campañas, análisis de métricas y resultados, implementando optimizaciones necesarias.
Coordinar la creación de reportes de resultados para una clara comprensión de la efectividad de las tácticas utilizadas y aprendizajes obtenidos.

Estas responsabilidades abarcan tanto los eventos de ticketing como los non-ticketing, asegurando la correcta convocatoria, ejecución y promoción, y alineándose con los objetivos y valores de las marcas de Condé Nast.

Hard Skills:
Experiencia en ventas
Negociación
Metodología Agile / Scrum
Planeación de proyectos
Inglés avanzado

Soft Skills:
Comunicación efectiva
Negociación y pensamiento estratégico
Proactividad
Atención al detalle
Gestión del tiempo y resolución de problemas
Orientación a resultados
Flexibilidad y adaptabilidad
Creatividad"
Program Coordinator,Program Coordinator,Randstad México,May,2024,"The Project Coordinator will handle project management and coordination across multiple
projects in Food Safety, Quality & Regulatory (FSQR). In this role, you will provide project
support by facilitating and overseeing activities related to global cross-enterprise process
standardization and digital solution projects. Your responsibilities will include coordinating tasks, managing timelines, tracking budget and costs, and communicating project status to project governance teams and stakeholders.

KEY ACCOUNTABILITIES
● Develop detailed project plans with project leads to monitor and report on the status of
projects including cost, schedule and resources.
● Participate in monitoring performance and recommended schedule changes, cost
adjustments or resource additions.
● Participate in identifying and resolving obstacles to completing projects on time and to
budget.
● Facilitate and track project risks, assumptions, issues and decisions.
● Ensure project results meet requirements regarding quality, reliability, schedule and cost.
● Prepare and distribute project documentation, including meeting minutes and progress
reports.
● Schedule, prepare and communicate project governance updates.
● Ensure all relevant project data is entering into the project management tools and all
documentation is collected and archived to leverage on similar future projects.
● Independently solve moderately complex issues with minimal supervision, while
escalating more complex issues to appropriate staff.
● Responsible for developing content, presentations, budget management, organizing and monitoring meeting cadences, organizing calls, and documenting meetings.
● Working across 2-3 global digital solutions projects and being responsible for leading the direction of these projects.

MINIMUM QUALIFICATIONS
● Bachelor’s degree in a related field or equivalent experience.
● Minimum of four years of related work experience.

KEY BEHAVIORS
● Strong ability to multitask, extremely organizedprioritize and management multiple projects at once.
● Strong organizational skills and attention to detail.
● Build partnerships and collaborate with others to meet shared objectives.
● Anticipate and balance the needs of multiple stakeholders (always thinking ahead).

Benefits:
100% remote position.
Attractive compensation & benefits package (medical insurance, life insurance, food voucher, bonus, PTO, career path).
12 Months contract.
$40,000.00 mxn monthly gross salary.

At Randstad, we love to celebrate our hardworking diverse teams demonstrated through our ongoing commitment and diversity awards. Ranked as a 2021 DiversityInc Top 50 company, a 2021 Top 10 Global Champion for Supplier Diversity & Inclusion, a Military Friendly company for Veterans, Military Spouses & Suppliers, 2021 Staffing Industry Analyst Top 50 Diversity, Equity & Inclusion Influencer to name a few. We are proud of our collaborative culture which is at the heart of Randstad. When you join Randstad you will receive opportunities for competitive & robust benefits, flexible schedules, and the assurance that everyone can be their authentic selves. We are seeking candidates from all backgrounds and demographics and a variety of industries to join a winning team!

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status. At Randstad, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants."
Event Coordinator,Event Coordinator,Club Med,May,2024,"PURPOSE OF JOB
Sets up the event together with the production and sales teams from the offices. This individual supports the Meeting and Events manager and various Resort services and the Commercial Offices to ensure the events implementation and group monitoring in the Village (M & E and Communities).

Job Description
Responsibilities:
Plan and coordinate all aspects of meetings, conferences, and events including venue, vendor management, budgeting and logistics.
Develop event timelines, schedules, and run of show documents to ensure seamless execution.
Collaborate with internal teams and external partners to determine event objectives, themes and key messages.
Negotiate and manage contracts with venues, vendors, and suppliers to ensure cost effective and high quality services.
Coordinate with marketing and communications teams to promote events and ensure consistent branding and messaging.
Evaluate event success through post event surveys, feedback analysis and key performance indicators.
Handle any issues or emergencies that arise during events and implement quick and effective solutions.

Qualifications:
Degree in hospitality management, event planning, marketing or related field (or equivalent experience).
Proven experience in planning and executing corporate meetings, conferences, and events.
Strong project management skills with the ability to multitask and prioritize in a fast paced environment.
Excellent communication, negotiation, and interpersonal skills.
Budget management experience with a focus on cost control and ROI.

In becoming a G.O Meetings and Events Coordinator, you will benefit from the infrastructures and activities offered by Club Med. And if you get the urge, you can even step on stage to show your talent!

So what are you waiting for? Pack your bags!

All our positions are open to people with disabilities."
Project Coordinator,Project Coordinator,Cognizant,May,2024,"We’re hiring! At Cognizant we have an ideal opportunity for you to be part of one of the largest companies in the digital sector worldwide. A Great Place To Work where we look for people who contribute new ideas, experiencing a dynamic and growing environment. At Cognizant we promote an inclusive culture, where we value different perspectives providing career growth and development opportunities. #WelcomeToCognizant!We have an exciting opportunity for an exceptional individual to work supporting one of our clients as a Project Coordinator

Responsibilities

Attend weekly status meetings with external partners, take detailed notes, and track action items.
Manage and track the onboarding process for new partners within various internal systems (weekly).
Schedule meetings and workshops (working sessions, workshops, presentations, etc.) between the internal team and external partners, coordinating availability with all parties.
Assist in the preparation of a monthly pipeline report for the partnerships team.
Follow up on emails from both internal and external partners on a daily basis.
Complete ad-hoc assignments which may include:
Preparing additional reports.
Assisting other partnership team members with tasks.
Filling out request forms on behalf of client accounts.

Qualifications

CEFR C1 English Level
Minimum 2 years of experience in a project management or administrative support role.
Strong organizational and time management skills with the ability to prioritize multiple tasks.
Excellent communication and interpersonal skills, both written and verbal.
Proficient in Google Workspace Suite.
Ability to learn and adapt to new processes and technologies quickly.
Strong attention to detail and accuracy.

Why Cognizant? Improve your career in one of the largest and fastest growing IT services providers worldwide

Receive ongoing support and funding with training and development plansHave a highly competitive benefits and salary package

Get the opportunity to work for leading global companies

We are committed to respecting human rights and build a better future by helping your minds and the environment

We invest in people and their wellbeing. We create conditions for everyone to thrive.

We do not discriminate based on race, religion, color, sex, age, disability, nationality, sexual orientation, gender identity or expression, or for any other reason covered.

At Cognizant we believe than our culture make us stronger!Join us now!#BeCognizant #IntuitionEngineered

Igualdad de Empleo y Política de Acción Afirmativa:Cognizant es un empleador que ofrece igualdad de oportunidades. Todos los solicitantes calificados recibirán consideración para el empleo sin distinción de sexo, identidad de género, orientación sexual, raza, color, religión, origen nacional, discapacidad, estado de veterano protegido, edad o cualquier otra característica protegida por la ley."
Junior Project Manager,Junior Project Manager,BBVA en México,June,2024,"Arquitecto ATM (Ciudad de México, Miguel Hidalgo)

En BBVA llevamos más de 80 años trabajando para nuestros clientes.

Nuestro propósito es poner al alcance de todos las oportunidades de esta nueva era.
Este propósito refleja nuestro papel facilitador para ofrecer a nuestros clientes las mejores soluciones bancarias, ayudarles a tomar las mejores decisiones financieras e impactar positivamente en su vida.

La Dirección General de Engineering es pieza fundamental dentro de la organización del Grupo BBVA México. Participamos como un solo equipo con las demás direcciones generales, aportando valor en la transformación de nuestro banco y de nuestro grupo, nuestra principal responsabilidad reside en desarrollar y operar soluciones tecnológicas y procesos seguros para mejorar la experiencia de nuestros clientes, ofrecer mejores productos y servicios y garantizar la continuidad operativa de nuestro banco.

Uno de los puestos clave para el alcance de nuestras metas es el de ARQUITECTO/A junior de soluciones tecnológicas. Te contamos más sobre las actividades de esta vacante
Definir KPIs, metas y objetivos de la UoV mediante la evolución y lineamientos del programa con el fin de proponer iniciativas que ayuden al mejoramiento de los objetivos
Asegurar la correcta definición del objetivo, alcance, indicadores y features de las iniciativas presentadas
Crear el backlog de iniciativas y features priorizadas por trimestre a fin de lograr los objetivos de la UoV de forma eficiente.
Fundamentar la priorización de iniciativas con datos cuantificables, entre otros, el cálculo de la mejora en el KPI por Q y por el total de Qs que dure cada iniciativa; y el Business Value por cada feature de cada iniciativa inscrita en el programa
Negociar con diferentes áreas y stakeholders los impedimentos o riesgos que se presenten con el objetivo de solventarlos para finalizar los compromisos del Q
Identificar impedimentos y/o riesgos sin solución en el Q para ajustar la estrategia del cumplimiento de KPIs
Presentación ante el Portafolio de Engineering de las iniciativas. Exponer los cambios de alcance, costos e impedimentos que requieren apoyo directivo
Apoyar la preparación del informe de resultados de las iniciativas y proyectos a los diferentes foros, tanto a nivel Engineering (Demo Day) como a nivel Banco (Demo Party)
Responsabilidad
Seguimiento, evaluación y concentración de las iniciativas que se presentan dentro de la UoV de Arquitectura/ATMs, asegurando la definición correcta y completa de las mismas para promover la priorización y asignación de recursos y lograr el cumplimiento de los KPIs estratégicos del programa, llevar la gestión de proyectos que se encuentren en este programa
Reto
Cumplimiento de los KPIs establecidos dentro del Q

Si te interesa formar parte de nuestro equipo, esta oportunidad es para ti.
La vacante tiene un esquema laboral híbrido, 3 días oficina y 2 en home office, con sede en el Corporativo Parques Polanco.
Los requisitos que debes cumplir son los siguientes:
Conocimientos deseables
Experiencia en disciplinas TI (Infraestructura, Comunicaciones, Desarrollo de Software, Arquitectura y Operaciones)
Experiencia en ITILv3 (Mejora Continua del Servicio) ITIL v4 (ITIL Strategist)
Experiencia en Gestión de Proyectos agiles (Scrum) y Proyectos waterfall
Experiencia básica en metodologías ágiles (Lean, DevOps)
Gestión de equipos multidisciplinares para asegurar la alineación de iniciativas a las estrategias definidas por el portafolio y la PMO.
Capacidad de Negociación para promover acuerdos con niveles directivos
Conocimientos Obligatorios
Microsoft Office
Google Suite
Google Workspace

Escolaridad:
Ingeniería en Sistemas o afín
Administración de empresas

Experiencia:
Mínima de 3 años en puestos similares

Competencias:
•Trabajo en equipo para el logro de los objetivos.
•Proponer soluciones a los problemas que se te presenten y trabajar bajo presión
•Autoformación en nuevas tecnologías para mantenerte vigente
•Resolución innovadora de problema identificados
•Manejo de metodologías ágiles
•Adaptación al cambio (flexible)

Si te encuentras interesado/a, postúlate dando clic en “Solicitar ahora”. No olvides adjuntar tu CV actualizado.

Nuestros colaboradores son el motor de BBVA y nos tomamos muy en serio su bienestar. Por ello les otorgamos prestaciones que mejoren no solo su vida, sino la de sus familias. Al integrarte a nuestro equipo podrías acceder a muchos beneficios, te compartimos algunos:

Prestaciones bancarias superiores a las de la ley.
Seguro de vida.
Vacaciones superiores a las de la ley.
Plan de retiro.
Préstamos exclusivos.
Promociones exclusivas.
Membresía a deportivos.
Oportunidad de crecimiento dentro del Grupo.
Participación en los juegos bancarios.

Nuestros valores son muy importantes, por ello te compartimos nuestro modelo de sostenibilidad y banca responsable, entra a bbva.com > Información corporativa.

Si quieres saber más sobre qué es lo que hacemos en BBVA en Tecnología, pulsa aquí:
https://bbva.csod.com/ux/ats/careersite/22/home/requisition/234240?c=bbva"
Commercial Operations Project Coordinator Cartier,Commercial Operations Project Coordinator Cartier,Cartier,May,2024,"Cartier is hiring an Operations Project Coordinator. Join one of the world's most prestigious luxury brands.

The main responsibility of the Operations Project Coordinator position is to develop and implement key projects in the Commercial network when it comes to boutique operations and compliance with Richemont and Cartier policies and procedures.

The Commercial Operations Project Coordinator is a key support position within the Commercial department as its close contact with boutiques will enable the department to ensure Retail excellency by creating a strong bond of relation with boutiques’ management team and team members.

Key Responsibilities

POLICIES & PROCEDURES
Ensure the correct implementation of central policies and procedures, and their adaptation to local legal requirements.
Ensure the policies and procedures are followed at boutique level and understood by the staff.
Guarantee an efficient implementation and use of all policies and procedures, guidelines, and tools in the boutiques.
CONTINUOUS IMPROVEMENT
Promote and lead corporate and local project to improve operational efficiency within the boutique network.
Coach teams to facilitate adoption of all new tools and practices.
Collect feedback and make relevant adjustments.
Fuel the progressive digitalization of instore processes.
OPERATIONAL EXCELLENCE
Strive for operational excellence across the network and proactively work with regional key-departments, international HQ, and Boutique Management to improve efficiency standards and quality of execution.
Support the implementation of dedicated tools to drive Retail Operations and drive boutique productivity.
Design the appropriate communication and training material to ensure a fast and smooth implementation of retail excellence solutions.
Challenge and create new tools/projects, either strategic, tactic or business driven by keeping a close eye on competition proficiency.
Act as a Key User for retail systems and innovation tools.
OMNICHANNEL ACCELERATION
In collaboration with the different departments, align External boutique network and E-Boutique with the Retail strategy in term of operations, service excellence, data management.
Guarantees the implementation of the network strategy throughout the boutique and specialist retail network with the support of the Area managers.

HOW WILL YOU EXPERIENCE SUCCESS WITH US?

5-8 years’ experience in luxury or retail industry.
Possess a performance and client centered mindset.
Possess strong project management and interpersonal skills to work transversally with departments, entities across retail and beyond.
Strategic thinking, operational agility, strong analytical and organization skills.
Speak fluent English and Spanish.

Dont miss the chance!"
Project Coordinator,Project Coordinator,Daikin Latin America,May,2024,"Daikin is the world's leading innovator and provider of high-quality advanced air conditioning and heating solutions for residential, commercial and industrial applications.

Project Coordinator: will be a key member of the Open Innovation Lab at Daikin LATAM, which focuses on integrating and piloting innovative technologies in HVAC systems. This department is crucial for propelling the company’s market leadership through cutting-edge solutions and collaborations with startups and technology partners.

Background Necessary:
Degree in Engineering, Business, or related field, specializing in HVAC automation.
Solid experience in project management within technical or industrial environments.

Necessary Skills:
Excellent organizational and project coordination skills.
Communication abilities to liaise effectively within and outside the department.
Proficiency in project management tools and methodologies.
Software: Microsoft Office
Language: Spanish and English (Advanced High)

Nice to Have Skills:
Marketing knowledge, particularly in tech or industrial sectors.
Exposure to the startup ecosystem and innovation processes.
Competence in data analysis and reporting.
Software: Notion"
Project Coordinator (Project-based),Project Coordinator (Project-based),"e2f, inc.",May,2024,"About us:

e2f is a leading innovator in Data and Language operations, providing highly customizable tech solutions for digital content. Today’s global marketplace has brought the demand for e2f’s services to an all-time high, and the company helps hundreds of clients cater their businesses to a worldwide audience.

Summary:

Join our team as a Project Coordinator, supporting our AI Project Managers in a project-based position. You will assist in managing project logistics, ensuring smooth operations, and facilitating effective communication across teams.

Key Responsibilities:

Assist project managers in the development and execution of project plans using Agile methodologies.
Help coordinate and manage project tasks and resources, facilitating Agile ceremonies such as daily stand-ups and sprint reviews.
Monitor project schedules and budgets, ensuring projects adhere to timelines and employ Scrum techniques.
Provide administrative support, including document preparation, meeting coordination, and follow-up actions to keep projects on track.
Demonstrate flexibility and adaptability to manage multiple tasks within the varying demands of project timelines.
Handle basic administrative functions including project documentation and team communication.

Requirements:

Advanced level of English, with strong communication abilities.
Bachelor's degree in a related field or equivalent experience.
A strong interest and foundational knowledge of AI , ML models.
Prior experience as a project coordinator or content annotator is highly desirable.
Tech-savvy with the ability to quickly learn and adapt to new tools and software.
Strong organizational skills and attention to detail
Flexible availability, willing to work 3-8 hours daily, including weekend work based on project demands.
Familiarity with fast-pace working environments and frequently changing priorities and guidelines.
Familiarity with Agile and Scrum methodologies.

This is an exciting opportunity for individuals who are eager to dive into the world of AI Project Management. It offers the chance to grow professionally while contributing to meaningful projects. If you are driven, detail-oriented, and ready to support groundbreaking AI initiatives, we encourage you to apply and join our forward-thinking team."
Junior Project Manager,Junior Project Manager,tbo,May,2024,"The Jr. Project Manager is responsible for assisting with the successful planning, execution, tracking, delivery and closure of client projects. The Jr. Project Manager will help understand client requirements and help engage the global team in the fulfillment of these requirements, crafting client solutions based on the company’s Four Pillars of Customer Service, Quality, Innovation and Global Teamwork.

The ideal candidate is a driven but steady individual, capable of building relationships across the entire project team, with the flexibility and energy to thrive in a dynamic environment.

Responsibilities

Project planning, scoping, requirements gathering and validation with clients.
Identifying and working with the relevant client and internal stakeholders to plan and resource projects appropriately in terms of quality, cost, and schedule requirements.
Risk analysis and contingency planning (plan-do-check-act cycle).
Leading the internal and external team to successful execution and delivery of client projects
Creating schedule and monitoring timeliness of delivery.
Managing the budget and controlling project costs.
Establishing and nurturing relationships with the customer, internal teams and external suppliers.
Overseeing project activities and ensuring resolution to any problems that may arise (corrective and preventive action).
Actively seeking ways to optimize delivery, client satisfaction, quality and profitability.
Reporting, both in written and verbal form, to internal and external stakeholders regarding project scope, financials, progress and status, formally and on an ad-hoc basis as required.
Ensuring finance systems are kept up to date and accurate.
Process documentation and knowledge management.


Requisitos


Requirements

Proven project management experience in a fast-paced, client-centric environment, ideally in the translation or localization industry.
Knowledge of the translation industry and a keen interest in its technology, process, competitive landscape and emerging trends.
Demonstrated success at managing large accounts and/or projects.
Curiosity and creativity to question existing processes and approaches and innovate new ones.
Proven experience in development of processes and ideas.
Ability to manage multiple priorities in a time-sensitive and deadline-driven work environment
Ability to cope with high pressure caused by one or more project management elements such as quality, turnaround time, resource or budget constraint.
Keen interest in localization technology, competitive landscape and emerging trends.
Excellent written and verbal communication skills.
Strong organizational and problem-solving skills.
Ability to manage multiple priorities in a time-sensitive and deadline-driven work environment.

Education Level

Bachelor’s degree (B.A.) from a college or university related to translation, linguistics, marketing or communication, or equivalent work experience.

Beneficios

Benefits

National public holidays.
Vacations 3 weeks per year.
Work laptop provided.

Founded in 2005, tbo. is a global organization that provides translation, talent, training, teams and testing services to a full range of clients in over 40 countries worldwide, from startups to enterprise-level companies.

tbo. aims to facilitate global communication by bridging the gap between peoples and cultures, providing simple solutions to complex problems, and outstanding service in 100+ languages.

tbo. fosters a culture of continuous improvement, creativity, sustainability and community, with a longstanding commitment to providing high-touch human service.

Is ranked as one of the fifteen fastest organically growing localization companies in the world and operates 24/7, 363 days a year on a “follow the sun” format via offices in Cordoba, Ho Chi Minh City, Kyiv and Lima.

Certified under five separate international quality norms.

Join our growing staff and boost your career in a global organization!"
Project Coordinator,Project Coordinator,The Adecco Group,May,2024,"Perfil:

Estudios profesionales en áreas económico-administrativas, o bien, ingeniería industrial, con experiencia o especialización en proyectos titulado
1-2 años de experiencia en la planeación/ejecución de proyectos (Industria Farmacéutica deseable)
Experiencia en Lanzamiento de Nuevos Productos (Proyectos),
Conocimiento de metodología Kaizen, 6 Sigma.
Experiencia previa en planeación/ejecución de proyectos de Industria Farmacéutica.
Experiencia en Lanzamiento de Nuevos Productos (Proyectos), Conocimiento de metodología Kaizen, 6 Sigma.
Experiencia en procesos LEAN (deseable)
Ingles avanzado


Actividades:

Planifica y gestiona los principales proyectos del Negocio IDS México Hub.
Gestiona los equipos internos que puedan dar soporte a las principales iniciativas de los proyectos del negocio.
Implementa iniciativas y proyectos de mejora continua que aportan valor a los procesos del negocio.
Mejora los procesos comerciales del negocio, a través de la automatización, reducción de tiempos de cierre de proyectos, reducción de recursos etc.


Oferta:

$42,000 brutos mensuales
Prestaciones de ley y superiores
Lunes a viernes
Zona de trabajo en Miguel Hidalgo (Hibrido)"
