Position,Company_Name,Location,Post_Month,Post_Year,Details
ERP Project Manager (Netsuite),ERP Project Manager (Netsuite),Bring IT,May,2024,"We are Bring IT!

We are a fast growing, young and dynamic professional services company bringing digital transformation to our customers around the world. From taking products to the market, to boosting productivity with the right technology and processes, the work we do is improving the way people work. To get there, we’re building a global and diverse team that can tackle some of the most challenging problems of our time. We name this unique approach “360 success”.

We are recognized as one of the fastest growing and successful companies on the INC5000 ranking in the USA, and we are opening new offices around the world to further grow, explore and diversify. With over 10 recognitions from our partners, we continue to win in our markets.

Join our Dream Team

The Bring IT team has over 150 people spread across many countries around the world. We understand that great technology begins with great talent and diversity of thought.
Our business is being built on friendship, teamwork and a passion for what we do. This is shaping our culture every day and we’re looking for great talent that want to make an impact in the world.
You can have a rewarding career at Bring IT as we are committed to seeing you grow both professionally and personally.

Community Impact

We are invested in making a positive impact for all people on our planet. That’s why we connect our objectives to the United Nations sustainable goals, especially in clean energy, health & wellbeing and infrastructure. Moving forward we will start supporting special sustainability programs and perhaps you want to be part of that.



Discover your new role
NetSuite Project Manager

At Bring IT we are looking for a Senior Project Manager with NetSuite implementations experience who will lead a group of consultants throughout all stages of the implementations’ lifecycle.
The ideal candidate will have deep expertise in project management life cycle, experience working with SuiteSuccess methodology and a problem-solving mindset.

Core Responsibilities:
Lead project management activities such as project planning, creation of work breakdown structures, and change management control
Manage scope throughout all phases of the project life cycle. Maintains accurate program estimates, timelines, project plans, and status reports. Ensure achievement of project milestones.
Leads execution of multiple projects or manages an entire program
Act as lead communicator to internal and external stakeholders regarding expectations, resolutions, and prioritization. Ability to interact professionally with a diverse group of developers, product owners, and subject matter experts.
Learns from project retrospective and applies the learning for future projects.

Requirements:
5+ years of experience in project management
3+ years of demonstrated experience in delivering full-cycle ERP implementation projects.
Experience in NetSuite ERP implementations
Full English Professional Fluency
Excellent verbal and written communication skills
Desired Skills & Qualifications:
Success methodology experience
Certification is a plus
Strong negotiation and interpersonal skills needed to be effective in a fast-paced high-energy company.
Initiative, self-motivation and deliver high-quality work while at the same time, meeting all deadlines for both internal and external customers.


Still not convinced you should apply?

In Bring IT we want to make a difference:

We provide best-in-class services on Oracle NetSuite, top services provider for Zendesk, Celigo, Boomi and other business cloud applications.
We take our talent’s wellbeing very seriously with a dedicated program called Bring IT is You
We value our Talent and provide learning and development opportunities for everyone
We are a winning Company with a agile and innovative mindset.


Our Values and Culture

This year we have chosen teamwork as our value in focus. We believe with real teamwork we achieve business excellence and creativity for our customers. Working together, growing together. Our culture influences the way we interact, the context within which knowledge is created, the way we embrace change, and ultimately the way we share knowledge. We offer exceptional career growth and learning opportunities to our employees with skill development workshops, mentoring programs, and support for side projects and entrepreneurial work.



Our Benefits and Perks

We offer competitive compensation and unique personal benefits, including industry-leading maternity and paternity leave, training programs, social hours, our wellness Friday´s and remote work opportunities. All team members have access to continuous learning opportunities including cloud certifications, mentorship and in-house leadership skills sessions developed by our experts in the field. Our development plan architect is waiting for you to design your personal plan.

Our Global Family

To support the global nature of our business and help our employees grow beyond their technical skills, we offer free virtual English language classes as well as provide immigration support when applicable. We are member of the Minority Business Enterprise, supporting their programs for minority businesses in the USA.

#BRINGIT=YOU

We create and foster a diverse, inclusive, and harassment-free workplace where everyone can achieve their full potential. All applicants will be considered for employment regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, veteran, or disability status.

Please note that by submitting your application, you agree with the terms and conditions of our Privacy Policy"
"Project Lead – advanced english – Microcentro, CAB","Project Lead – advanced english – Microcentro, CAB",EducacionIT,May,2024,"We are looking for a Project Lead to join our Team. If you enjoy working on a cutting edge technologies environment, this opportunity is for you!Position Requirements:e32 + 4 years of experiencee32 Project Managemente32 Negotiation skillse32 Effective communicatione32 Problem solving/Conflict resolution?e32 Team motivatione32 English: Advancede32 .Nete32 SQL

Nice to have but not required:e32 TFS or VSTSe32 Possibility to travel to USA (passport/visa: not excluding)e32 Direct contact with the client

Ofrecemos

Clases de Inglés In Company y CapacitacionesHorarios flexibles y Home Office ( una vez por semana)OSDERevisiones Periódicas de Salarios y Bonos AnualesConvenio con BGH para la compra de sus productos con descuentosFinanciamiento para compra de computadoras, insumos informáticos, celulares y bicicletas .

8 almuerzos mensuales cubiertos por la empresa.

Location, Balvanera, CABA"
Project Manager Office LATAM Lead,Project Manager Office LATAM Lead,Newell Brands,June,2024,"Position: LATAM PMO Sr. Manager

Location: Mexico City

The Program Management Office LATAM (PMO) will be responsible for leading our strategic initiatives and priorities implementation across the LATAM region. This role requires an expert in Lean Tools and Agile methodologies, with a proven track record in leading and influencing multifunctional teams and projects. The role operates as a Center of Excellence for Program Management and sits inside of our Regional Leadership Team. It collaborates directly with senior leaders in the region on commercial and back office functions, and has responsibility for key projects across the region. The main goal of the PMO is to provide quality project management services and build project management capabilities across the region using world-class standards, guidelines, processes, tools, agile methodology and techniques.

Specific Responsibilities:

Lead and oversees priority projects which require high levels of functional integration detailed process mapping and tracking
Demonstrate strong capabilities in all program management competencies, including planning, executing, monitoring, and controlling of strategic and complex technical projects.
Manage projects from initial concept through final implementation utilizing effective management and tracking tools.
Responsible to help define and deliver project scope and manage a decentralized project team. Must partner effectively with multiple functional and segments leaders to identify and mitigate risks to timeline and cost.
Responsible for ensuring all project requirements are properly identified and translated to project documentation to define the scope.
Create and review project plans, work with stakeholders to understand complex problems, propose resolution, remove roadblock in a timely manner and escalate when necessary to meet timelines.
Drive the adoption to PMO management standards and practices to conduct consistently, efficiently, and timely the projects execution.
Drives team accountability and ownership on execution to deliver project on timing, cost, quality, and budget.
Monitor and report status of project progress and risks to the project sponsor, leadership team and key stakeholders.
Hold regular reviews with peer managers to ensure program and project plans are aligned with major initiative among teams in the region as assigned.
Use financial information and data to conduct analysis and support fact-based project and business decisions.
Identify project management gaps and develop, improve, and implement standards, guidelines, practices, processes, and templates for managing projects consistently and efficiently in order to achieve results on time while reduce project related risk and costs.
Provide support and guidance to Project Leaders and Managers as needed with oversight on their project progress and development, while forming strong partnerships with cross-functional teams.
Mentor and coach Project Leaders and Managers to drive their performance on plans implementations.
Leads collaboration efforts across the organization to leverage best practices, expertise, and shared resources.
Provide coaching and training to functional project leaders to build on country/Cluster project management capabilities across Newell LATAM.

The Candidate:

The Program Management Office LATAM Lead will have responsibility to deliver solutions for the strategic initiatives in LATAM, which is a vertically integrated operation inside global Newell business. This requires excellence in strategic planning, tactical leadership and execution across all geographies and functions, including Agile & Lean methodology for Sales, Marketing, E- Comm, Sales Operations, Finance, etc.
The candidate must be technically competent with a willingness to be hands-on and comfortable with tactical execution while working on projects of strategic importance.

Key Responsibilities:

Strategic Leadership: Lead and follow up on our initiatives and strategic priorities, ensuring alignment with overall business objectives.

Project Management: Expertise in valuating projects, implementing tracking solutions, and ensuring projects advance on time.

Team Leadership: Proven experience in leading multifunctional teams, fostering a collaborative and inclusive work environment.

Agile Expertise: Lead Agile Sprints and projects, leveraging expertise as a Scrum Master.

Analytics: Utilize analytics skills and project management tools to drive decision-making and project execution.

Qualifications:

Bachelor’s degree in Industrial Management, Engineering, Business Management, or related technical field, PMP Certification preferred.
10+ years of leadership experience preferred in project management for Supply Chain on CGP industries.
Demonstrated familiarity with commercial & strategic projects implementation.
Experience leading complex programs with high complexity and high levels of capital spend or aggressive business goals expectation in short term periods.
Proven ability to facilitate relations between Executive Leadership, Sales, Marketing & Comemrcial teams, along with business and segments functions at a Regional & Global Level.
Ability to interact and communicate appropriately with cross-functional personnel through executive leadership.
Demonstrated track record of effectively building partnerships to manage and resolve challenges.
Demonstrated familiarity with structured project management methodologies.
Demonstrate knowledge and experience managing technical and business requirements to deliver integrated solutions.
Experience in developing and deploying project management best practices, policies, procedures, and processes.
Logical and creative problem-solving and analytical skills required.
Proficient in project management tools such as Microsoft office suite, Microsoft Project, Smartsheet, PowerBi and SharePoint.
Possesses influencing skills (leads by example, clearly articulates business cases and interpretation of cause-effect impact).
Demonstrates high ethics and values.
Highly effective organization and planning skills.
Ability to thrive in a fast-paced, dynamic environment.

Required Skills And Experience:

Lean Tools: Expertise in Lean Tools to drive efficiency and effectiveness in processes.
Agile Methodology: Proficiency in Agile methodology, with experience as a Scrum Master.
Leadership: Strong leadership and influencing skills, with the ability to navigate complex organizational structures.
Analytics: Strong analytical skills, with the ability to derive insights from data to inform decision-making.
Project Management Tools: Proficiency in using project management tools to track and manage projects.
Experience: Proven experience in leading teams and managing large-scale projects.

Preferred Qualifications:

Consumer products industry experience.
Comfortable working with diverse and distributed teams.
Excellent written and verbal communication skills and presentation skills.
MBA or advance Degree in Business, Management, or related field.
Bilingual (Spanish or Portuguese)

_

Bachelor’s degree in Industrial Management, Engineering, Business Management, or related technical field, PMP Certification preferred.
10+ years of leadership experience preferred in project management for Supply Chain on CGP industries.
Demonstrated familiarity with commercial & strategic projects implementation.
Experience leading complex programs with high complexity and high levels of capital spend or aggressive business goals expectation in short term periods.
Proven ability to facilitate relations between Executive Leadership, Sales, Marketing & Comemrcial teams, along with business and segments functions at a Regional & Global Level.
Ability to interact and communicate appropriately with cross-functional personnel through executive leadership.
Demonstrated track record of effectively building partnerships to manage and resolve challenges.
Demonstrated familiarity with structured project management methodologies.
Demonstrate knowledge and experience managing technical and business requirements to deliver integrated solutions.
Experience in developing and deploying project management best practices, policies, procedures, and processes.
Logical and creative problem-solving and analytical skills required.
Proficient in project management tools such as Microsoft office suite, Microsoft Project, Smartsheet, PowerBi and SharePoint.
Possesses influencing skills (leads by example, clearly articulates business cases and interpretation of cause-effect impact).
Demonstrates high ethics and values.
Highly effective organization and planning skills.
Ability to thrive in a fast-paced, dynamic environment.

Preferred Qualifications:

Consumer products industry experience.
Comfortable working with diverse and distributed teams.
Excellent written and verbal communication skills and presentation skills.
MBA or advance Degree in Business, Management, or related field.
Bilingual (Spanish or Portuguese)

Newell Brands (NASDAQ: NWL) is a leading global consumer goods company with a strong portfolio of well-known brands, including Rubbermaid, Sharpie, Graco, Coleman, Rubbermaid Commercial Products, Yankee Candle, Paper Mate, FoodSaver, Dymo, EXPO, Elmer’s, Oster, NUK, Spontex and Campingaz. We are focused on delighting consumers by lighting up everyday moments."
LATAM Project Management Office Sr. Manager,LATAM Project Management Office Sr. Manager,Newell Brands,May,2024,"Position Title: Program Manager Office (PMO) LATAM Lead
Location: Mexico City


The Program Management Office LATAM (PMO) will be responsible for leading our strategic initiatives and priorities implementation across the LATAM region. This role requires an expert in Lean Tools and Agile methodologies, with a proven track record in leading and influencing multifunctional teams and projects. The role operates as a Center of Excellence for Program Management and sits inside of our Regional Leadership Team. It collaborates directly with senior leaders in the region on commercial and back office functions, and has responsibility for key projects across the region. The main goal of the PMO is to provide quality project management services and build project management capabilities across the region using world-class standards, guidelines, processes, tools, agile methodology and techniques.

Specific Responsibilities

Lead and oversees priority projects which require high levels of functional integration detailed process mapping and tracking
Demonstrate strong capabilities in all program management competencies, including planning, executing, monitoring, and controlling of strategic and complex technical projects.
Manage projects from initial concept through final implementation utilizing effective management and tracking tools.
Responsible to help define and deliver project scope and manage a decentralized project team. Must partner effectively with multiple functional and segments leaders to identify and mitigate risks to timeline and cost.
Responsible for ensuring all project requirements are properly identified and translated to project documentation to define the scope.
Create and review project plans, work with stakeholders to understand complex problems, propose resolution, remove roadblock in a timely manner and escalate when necessary to meet timelines.
Drive the adoption to PMO management standards and practices to conduct consistently, efficiently, and timely the projects execution.
Drives team accountability and ownership on execution to deliver project on timing, cost, quality, and budget.
Monitor and report status of project progress and risks to the project sponsor, leadership team and key stakeholders.
Hold regular reviews with peer managers to ensure program and project plans are aligned with major initiative among teams in the region as assigned.
Use financial information and data to conduct analysis and support fact-based project and business decisions.
Identify project management gaps and develop, improve, and implement standards, guidelines, practices, processes, and templates for managing projects consistently and efficiently in order to achieve results on time while reduce project related risk and costs.
Provide support and guidance to Project Leaders and Managers as needed with oversight on their project progress and development, while forming strong partnerships with cross-functional teams.
Mentor and coach Project Leaders and Managers to drive their performance on plans implementations.
Leads collaboration efforts across the organization to leverage best practices, expertise, and shared resources.
Provide coaching and training to functional project leaders to build on country/Cluster project management capabilities across Newell LATAM.

The Candidate

The Program Management Office LATAM Lead will have responsibility to deliver solutions for the strategic initiatives in LATAM, which is a vertically integrated operation inside global Newell business. This requires excellence in strategic planning, tactical leadership and execution across all geographies and functions, including Agile & Lean methodology for Sales, Marketing, E-Comm, Sales Operations, Finance, etc.
The candidate must be technically competent with a willingness to be hands-on and comfortable with tactical execution while working on projects of strategic importance.

Key Responsibilities

Strategic Leadership: Lead and follow up on our initiatives and strategic priorities, ensuring alignment with overall business objectives.
Project Management: Expertise in valuating projects, implementing tracking solutions, and ensuring projects advance on time.
Team Leadership: Proven experience in leading multifunctional teams, fostering a collaborative and inclusive work environment.
Agile Expertise: Lead Agile Sprints and projects, leveraging expertise as a Scrum Master.
Analytics: Utilize analytics skills and project management tools to drive decision-making and project execution.

Qualifications

Bachelor’s degree in Industrial Management, Engineering, Business Management, or related technical field, PMP Certification preferred.
10+ years of leadership experience preferred in project management for Supply Chain on CGP industries.
Demonstrated familiarity with commercial & strategic projects implementation.
Experience leading complex programs with high complexity and high levels of capital spend or aggressive business goals expectation in short term periods.
Proven ability to facilitate relations between Executive Leadership, Sales, Marketing & Comemrcial teams, along with business and segments functions at a Regional & Global Level.
Ability to interact and communicate appropriately with cross-functional personnel through executive leadership.
Demonstrated track record of effectively building partnerships to manage and resolve challenges.
Demonstrated familiarity with structured project management methodologies.
Demonstrated knowledge and experience managing technical and business requirements to deliver integrated solutions.
Experience in developing and deploying project management best practices, policies, procedures, and processes.
Logical and creative problem-solving and analytical skills required.
Proficient in project management tools such as Microsoft office suite, Microsoft Project, Smartsheet, PowerBI and SharePoint.
Possesses influencing skills (leads by example, clearly articulates business cases and interpretation of cause-effect impact).
Demonstrates high ethics and values.
Highly effective organization and planning skills.
Ability to thrive in a fast-paced, dynamic environment.

Required Skills and Experience

Lean Tools: Expertise in Lean Tools to drive efficiency and effectiveness in processes.
Agile Methodology: Proficiency in Agile methodology, with experience as a Scrum Master.
Leadership: Strong leadership and influencing skills, with the ability to navigate complex organizational structures.
Analytics: Strong analytical skills, with the ability to derive insights from data to inform decision-making.
Project Management Tools: Proficiency in using project management tools to track and manage projects.
Experience: Proven experience in leading teams and managing large-scale projects.

Preferred Qualifications:

Consumer products industry experience.
Comfortable working with diverse and distributed teams.
Excellent written and verbal communication skills and presentation skills.
MBA or advance Degree in Business, Management, or related field.
Bilingual English / Spanish
Ideally proficient in Portuguese



High level of organization, discipline, logical, priority and maintenance in the region. Identify prioritires, execute and maintain pla, approach, tracking , dashboard, structure, full time job keeping the team on track. Self confident. Acknowlege deficiencies, conflict management. Some understanding of our business, our type of industry, consumer package goods. Matrix driven organizations. Cross functional partners. Follow up process connectin business and tasks. Push the right buttons in time. Realy hands on. Not so senior they don’t involve in operation."
Scrum Master / Project Manager,Scrum Master / Project Manager,Technology & Performance Solutions,May,2024,"Acerca De La Empresa

Somos una empresa de tecnología dedicada al área de data management, analytics e inteligencia artificial. Nuestro objetivo es ser aliados de negocios de nuestros clientes para crear soluciones innovadoras que les permitan de crecer y evolucionar estratégicamente.

Formación

Licenciatura en Administración, Gestión de Proyectos, Ingeniería de Sistemas o afín.

Objetivo Del Puesto

Nuestro Gerente de Proyectos/Scrum Master estará a cargo de gestionar y administrar proyectos y productos con el objetivo principal de brindar una excelente experiencia de gestión a nuestros clientes.

Conocimientos

Conocimientos de la metodología del PMI para gestión de proyectos
Certificación en Scrum o alguna otra certificación ágil
Manejo de herramientas para administración de proyectos (MS Project, Jira, Asana, Mural,Trello, etc.)
Conocimiento del ciclo de vida de un proyecto de desarrollo de software o implementaciones de sistemas.
Excelente redacción y ortografía
Habilidad como documentador gráfico (deseable).

Aptitud

El Gerente de Proyectos/Scrum Master deberá ser capaz de coordinar equipos de trabajo multidisciplinarios, documentar procesos, administrar alcance, calidad, tiempos y recursos, así como mostrar habilidades de comunicación, organización, análisis y sólidas habilidades de negociación.

Actitud

Estamos buscando a una persona con una gran capacidad de análisis, versatilidad, extrovertido(a), habilidades para relacionarse, buen negociador, buena comunicación y organización, comprometido, empático, que trabaje con base a resultados, con actitud de servicio orientado al cliente, un espíritu crítico e innovador que rete el status quo de las cosas.

Experiencia

Al menos 2 años de experiencia en proyectos usando marcos de trabajo ágiles
Al menos 3 años de experiencia en la gestión de proyectos
Experiencia trabajando con equipo remotos
Experiencia de identificación, contención y mitigación de riesgos
Industria de tecnologías de la información, preferentemente soluciones y servicios de software.

Actividades

Guiar y entrenar a los equipos en las prácticas de Scrum, Kanban y Agile en general.
Entrenar al equipo para mejorar la velocidad y el éxito de los sprints y mantener una dinámica enfocada en la mejora continua.
Contribuir al diseño de los principales componentes de los productos, a través de la generación de ambiente abierto de discusión de ideas.
Colaborar con los miembros del equipo y los líderes para eliminar los impedimentos técnicos que pudiesen surgir en el proyecto.
Gestionar el proceso de administración de los proyectos (documentación, entregables, fechas de eventos, reuniones con clientes) en proyecto que siguen metodologías tradicionales como cascada.
Establecer relaciones de trabajo sólidas con los equipos, eliminando impedimentos en la comunicación tanto con los clientes como con el equipo de desarrollo.
Anticipar desafíos, identificar riesgos y dar recomendaciones para mitigarlos.
Identificar las limitaciones o necesidades de recursos.
Facilitar y organizar los eventos y artefactos de Scrum, ayudar al equipo a concentrarse en las metas, a organizarse eficazmente para lograr los objetivos y asegurarse de que comprenden completamente los objetivos y compromisos.
Trabajar en conjunto con Product Owners y usuarios de negocio para asegurar que estén completamente involucrados con el equipo y sean parte del ciclo de retroalimentación del proyecto.
Trabajar de la mano con el líder y equipo de operaciones"
Retail Millwork Project Manager,Retail Millwork Project Manager,DIAM Group · Retail & Merch Solutions,June,2024,"Are you passionate about luxury retail environments and skilled in project management? We're seeking an exceptional individual to join our team as a Retail Millwork Project Manager. In this role, you'll play a pivotal part in bringing luxury retail spaces to life, collaborating with prestigious brands in Fragrance & Cosmetics, Watches, Spirits, and Fashion.

Main Activities:

As a Retail Millwork Project Manager you will be mainly in charge of:
Project Pricing
Maintaining Client Communication
Developing Approval Drawing
Controlling Project Budget
Supervising Project Development and Production
Installing Supervision in the US, Mexico, and LATAM
Managing 6 to 10 active projects

Key Attributes:
On this position we are expecting applicants with:
Excellent communication: Ability to effectively communicate with clients, suppliers, and team members.
Organization skills: Strong organizational skills to manage multiple projects simultaneously.
Sense ci proactivity Proactive approach to problem-solving and project management.
Attentive to Detail: Meticulous attention to detail in all aspects of project execution.

Speaking a fluent English and a fluent Spanish is compulsory.

Details:
Type: Full-Time
Work: Creative, Engineering, and Administrative
Position: Retail Millwork Project Manager
Visa Sponsorship: The company will sponsor work visas in Mexico for foreign candidates, if necessary.
Travel: Regular travel required for project supervision and client meetings.

If you're ready to take on a challenging yet rewarding role where your organizational skills and attention to detail will shine, apply now by sending your resume and cover letter to talento.dmx@diaminter.com and become a part of our innovative team!"
Program/Project Management Lead,Program/Project Management Lead,Accenture México,June,2024,"Liderar los esfuerzos de estimación y planificación de proyectos Desarrollar y mantener cronogramas de proyectos y planes de recursos Liderar el equipo del proyecto y garantizar la entrega exitosa del proyecto Identificar y mitigar los riesgos del proyecto Administrar el alcance del proyecto

Estimation and planning"
Team lead,Team lead,Connectingology,April,2024,"Comprender y Analizar flujos y procesos de

Negocio.

Comprende como IT interactúa con negocio y como puede esta puede mejorar y optimizar el

proceso.

Detectar fallas y puntos de mejora en los procesos.

Ofrecer soluciones eficaces, razonables y rentables.

Analizar el impacto del cambio propuesto.

Documentación de requerimientos funcionales.

Requisitos:

Experiencia en flujos y procesos

Experiencia manejando equipos

Experiencia como líder"
Customer Success Manager (and project manager),Customer Success Manager (and project manager),Pulppo,April,2024,"We are looking for: Customer Success manager

Pulppo has the great challenge of being a technological partner of a low-tech market!

As Customer Success Manager, you'll be responsible for leading the Customer Success and Customer Support function as well as leading the launch and implementation of Pulppo in Colombia (based in Mexico City). We are looking for a metric driven, result oriented person with strong experience in developing and implementing Customer Success strategies.

This role is just the beginning of your journey in Pulppo. The role is to temporarily replace our CS manager who's leaving on maternity leave. We expect the person to grow the role, team and systems and eventually grow into a different role within the organization.

If you are interested, send your application and let us meet you!

About the person we are looking for. You are (or have):

Someone who likes to go out and get stuff done. You are a doer. You see a problem and you look for fast, effective solutions.
Experience building Customer Success and or Customer Support functions.
Experience leading large projects with multinational companies (we are starting a large collaboration and this person will lead it). Ideally:
You have experience working in Mexico and Colombia.
You've worked in a proptech/real estate environment and understand how Real Estate brokerages work.
Worked at an early stage startup through it's growth stage.
Experience working in the early days of a team that grew and went from being an unstruct

About The Interview

At Pulppo, we are changing the Proptech landscape by improving the way users buy and sell properties. We created the first tech-enabled real estate broker for Latin America.

We were frustrated with the fact that, while buying a property should be a simpIe and joyful process, it’s usually complicated and full of frustrations. So we set off to change it.

By bringing together the best agents in Mexico, and providing them with all the tools they need to be the best at their jobs, we create a unique experience for end users where buying or selling a property is a transparent and centralized process.

After successfully raising nearly $5MM seed funding round and having been invited to join some of the most important accelerators in LATAM, we are now bringing together the best dreamers, strategists, and executioners to meet our goals.

This journey is fast paced, exciting and not for everyone. Apply if you have what it takes and looking for a challenge.

Salary: The role offers a base salary (small), a commission based on team results and stock options."
Lead Project Management Specialist - Project Planning,Lead Project Management Specialist - Project Planning,GE Renewable Energy,May,2024,"Responsibilities

Job Description Summary Job Description

Builds tender integrated schedules and cost estimates
Build project schedule and project budgeting in cost and schedule tools
Ensures compliance to the Global Standard process for Project Controls
Support PM to align project budgets to as sold in appropriate systems
Maintain project schedule and cost forecast throughout project
Analyse schedule and cost trends and provide forecasted cost and schedules to project team
Maintain a register of potential schedule and cost risks
Maintain a register of actual and committed costs
Checks and controls cost movements, compares with current scope and progress as well as with previous forecast. Also Compares with productivity factors and validates accuracy of estimates
Communicates schedule and cost status/forecasts/risk to functional cost owners and drives/supports risk mitigation
Provides internal and external project reporting of project status
Collaborate with 3rd parties on project cost and schedules
Presents all financial data in a transparent way, attends project and management review to present cost status
Provides change order calculations to ensure schedule and cost estimates are accurate
Updates changes in appropriate systems to ensure costs are aligned to the current situation
Aligns with Finance Controller to ensure reconciliation takes place between approved project financial data and books.
Support project close out and claims
Lead the team of Project Cost Control analysts on larger projects
Provide support to tenders
Oversee the planning function on the project

Accountabilities

Accuracy of cost budgets, actuals and forecasting
Collaboration with functional cost owners to find strategies to reduce cost
Alignment to established standards ( WBS, process, procedures, tools usage)
Efficiency and effectives of the project cost control team where applicable.

Performance Measurement

Schedule quality

Cost forecasting quality

Schedule forecast quality

Cost and schedule performance of project

Timeliness of reporting

Educational Requirements

Bachelor degree qualified either in finance or may have engineering degree (with financial training).

Experience And Knowledge

5+ years planning large turnkey projects

2+ projects providing cost controlling on large turnkey projects

Lead planner on 2+ turnkey projects

Technical Skills / Competencies

Cost estimating and forecasting
Project Accounting & Controlling
Scheduling
Local GAAP awareness
Data handling skills (Excel, SAP…)
Commercial awareness

Behavioural Skills / Competencies

Communication (English language a must)
Proactive attitude
Thorough and precise

Additional Information

Relocation Assistance Provided: Yes"
