Position,Company_Name,Location,Post_Month,Post_Year,Details
QA - Tester Junior Payments/NetPay,QA - Tester Junior Payments/NetPay,Digital@FEMSA,May,2024,"Digital@FEMSA es la división de innovación tecnológica que ofrece soluciones digitales para simplificar la vida de nuestros clientes. Está integrada por negocios que aprovechan la tecnología para generar herramientas prácticas y confiables, como el medio de pago Spin by OXXO, así como por un equipo diverso y multidisciplinario centrado en desarrollar una propuesta de valor innovadora y diferenciada en este mercado. Respaldada por los más de 130 años de experiencia y compromiso a la excelencia de FEMSA, esta nueva división continúa con la misión de generar valor económico y social, ahora en la comunidad digital.

Objetivo: Garantizar la calidad del software mediante pruebas exhaustivas, detección temprana de problemas y colaboración efectiva con el equipo de desarrollo.
Ejecución de casos de prueba manuales según lo definido por el equipo de desarrollo. - El tester junior llevará a cabo pruebas manuales siguiendo los casos de prueba definidos por el equipo de desarrollo. Esto implica ejecutar una serie de acciones predefinidas en el software para verificar su funcionamiento.
Identificación y reporte de problemas de manera oportuna y precisa. - El tester junior será responsable de detectar cualquier anomalía, error o comportamiento inesperado durante las pruebas y documentarlos detalladamente.
Participación en reuniones de equipo para discutir el progreso de las pruebas y cualquier problema encontrado. - El tester junior asistirá a reuniones de equipo para informar sobre el progreso de las pruebas realizadas, discutir los problemas encontrados y colaborar en la planificación de acciones correctivas.
Colaboración con desarrolladores y otros miembros del equipo para comprender los requisitos y escenarios de prueba. - El tester junior trabajará en estrecha colaboración con los desarrolladores y otros miembros del equipo para comprender los requisitos del software y los escenarios de prueba relevantes.

Digital FEMSA está comprometida con un lugar de trabajo diverso e inclusivo.

Somos un empleador que ofrece igualdad de oportunidades y no discrimina por motivos de raza, origen nacional, género, identidad de género, orientación sexual, discapacidad, edad u otra condición legalmente protegida.

Si desea solicitar una adaptación, notifique a su Reclutador."
QA Manual Tester,QA Manual Tester,Nexaminds,May,2024,"Unlock Your Future with Nexaminds!

At Nexaminds, we're on a mission to redefine industries with AI. We're passionate about the limitless potential of artificial intelligence to transform businesses, streamline processes, and drive growth.

Join us on our visionary journey. We're leading the way in AI solutions, and we're committed to innovation, collaboration, and ethical practices. Become a part of our team and shape the future powered by intelligent machines. If you're driven by ambition, success, fun, and learning, Nexaminds is where you belong.

Nexaminds is actively seeking a QA Manual Tester to collaborate with our esteemed client, one of the world's largest beauty membership organizations. This client is a leading beauty innovation platform, leveraging machine learning and data analytics. As the largest digitally native and vertically integrated beauty platform, it is dedicated to building the technology infrastructure and community to attract brands, consumers, and talent.

In this role, you will play a crucial part in ensuring the high quality of our software releases. You will be responsible for developing and executing detailed smoke and regression test scenarios, maintaining comprehensive test cases, and contributing to the continuous improvement of our testing processes.

Qualifications we are looking for:

Minimum of 2 years of experience in software quality assurance.
Proficient in QA methodologies, processes, and tools such as TestRail and Jira.
Proficient in API Testing.
Solid experience in an Agile/Scrum development environment.
Ability to develop robust test strategies, plans, and cases.
Excellent verbal and written communication skills.

Job duties:

Prepare and execute detailed smoke and regression test scenarios.
Maintain and update test cases to ensure thorough coverage and effectiveness.
Collaborate with development teams to identify and resolve issues, ensuring the integrity of software releases.

What you can expect from us

Here at Nexaminds, we're not your typical workplace. We're all about creating a friendly and trusting environment where you can thrive. Why does this matter? Well, trust and openness lead to better quality, innovation, commitment to getting the job done, efficiency, and cost-effectiveness - all things our clients love.

Stock options 📈
Remote work options 🏠
Flexible working hours 🕜
Benefits above the law
But it's not just about the work; it's about the people too. You'll be collaborating with some seriously awesome IT pros.
You'll have access to mentorship and tons of opportunities to learn and level up.

Ready to embark on this journey with us? 🚀🎉 If you're feeling the excitement, go ahead and apply!"
QA / Tester Manual,QA / Tester Manual,Atcon,May,2024,"Ing. De Pruebas / QA Tester.

Ingeniero en sistemas informático o computacionales

Mínimo 2 años de experiencia como Ing. De pruebas, tester, QA

Proyecto planeado a 10 Meses Aprox.
Esquema por honorarios
Rango salarial $16,000 a 18,000 Libres
Horario de 9 a 7 Hibrido 3 presenciales 2 HO
Zona de trabajo: Santa Fe, Cuajimalpa de Morelos, Ciudad de México.


ACTIVIDADES:

Definición, análisis y cierre de alcance de pruebas.
Creación de casos de prueba.
Manejo de herramientas para pruebas, ejemplo Postman.
Conocimiento básico de módems y dispositivos móviles.
Registro y seguimiento de defectos resultantes de las pruebas.
Documentación de casos de prueba. (Exitosos y no exitosos)
Generación de estrategias.


Requisitos:

Ing. De Pruebas / QA Tester.

Ingeniero en sistemas informático o computacionales

Mínimo 2 años de experiencia como Ing. De pruebas, tester, QA

Proyecto planeado a 10 Meses Aprox.
Esquema por honorarios
Rango salarial $16,000 a 18,000 Libres
Horario de 9 a 7 Hibrido 3 presenciales 2 HO
Zona de trabajo: Santa Fe, Cuajimalpa de Morelos, Ciudad de México.


ACTIVIDADES:

Definición, análisis y cierre de alcance de pruebas.
Creación de casos de prueba.
Manejo de herramientas para pruebas, ejemplo Postman.
Conocimiento básico de módems y dispositivos móviles.
Registro y seguimiento de defectos resultantes de las pruebas.
Documentación de casos de prueba. (Exitosos y no exitosos)
Generación de estrategias."
QA API Tester,QA API Tester,Deloitte,May,2024,"Are you an experienced, passionate pioneer in technology? A QA who wants to work in a collaborative environment? As an experienced QA API Tester Consultant, you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. The Americas Delivery LATAM leverages scale and talent to provide high quality, cost-effective service to our clients.

ADMX is a member of the Global Delivery Network which has presence across the world with Delivery centers in the United States, Romania, India, Spain, China, and the Philippines. ADMX is in Queretaro, Mexico. We provide consulting services to help our clients achieve a higher level of service in operational efficiency and business value. We are a team of professionals passionate about serving clients with distinction and learning, and we are driven by our purpose:
Making an impact that matters for our clients, our people, and society.

Work you'll do

Work side by side with the best professionals, learning from your teammates and reaching success all as one team.
Get to know and work side by side with the most important companies globally while helping them to reach their business goals.
You will have countless learning opportunities and development, which will help you define the direction in which you want to take your career.

Basic Qualifications:

3+ years of experience with API Testing with Postman / Ready API / Soap UI / REST Assured.
Really good experience with SQL Server.
1+ Years of experience any of the following: Java, Python, C#, JavaScript, Groovy, Ruby,
Experience working with Automation Testing experience using Selenium WebDriver, Maven, TestNG, POM, etc., creation as well as enhancements on pre-existing automation frameworks.
1+ years with Jenkins is a plus."
Junior Quality Assurance Engineer,Junior Quality Assurance Engineer,Cafeto Software,May,2024,"What You’ll be Doing:

Collaborate with our internal teams to understand project requirements and specifications
Actively participate in user story refinement with developers and product, by asking probing questions during refinement, providing examples of test scenarios, and overall engagement
Perform regression testing to guarantee the stability of existing functionalities after deployments
Design detailed and comprehensive test plans, scenarios, scripts, and procedures based on business requirements
Participate in performance testing activities to evaluate the system's responsiveness, scalability, and reliability
Collaborate with developers, automation team, and product team to communicate testing results and facilitate issue resolution
Create and maintain detailed, organized, and well-structured test documentation

What Will Put You Ahead?

Ability to adapt within a rapidly changing environment and know when to ask for help
Ability to learn new systems quickly
Familiarity with automated continuous integration pipelines
Technically-minded, and able to become comfortable with RESTful APIs, SQL databases, and reading error messages from your browser’s console
Ability to work independently and efficiently manage time to meet project deadlines

Some Competencies We Consider Critical for This Role:

Curiosity
Analytical Skills
Keen attention to detail
Technical Aptitude
Adaptability
Documentation"
QA / Tester,QA / Tester,Atcon,May,2024,"Ing. De Pruebas / QA Tester.

Ingeniero en sistemas informático o computacionales

Mínimo 2 años de experiencia como Ing. De pruebas, tester, QA

Proyecto planeado a 10 Meses Aprox.
Esquema por honorarios
Rango salarial $16,000 a 18,000 Libres
Horario de 9 a 7 Hibrido 3 presenciales 2 HO
Zona de trabajo: Santa Fe, Cuajimalpa de Morelos, Ciudad de México.


ACTIVIDADES:

Definición, análisis y cierre de alcance de pruebas.
Creación de casos de prueba.
Manejo de herramientas para pruebas, ejemplo Postman.
Conocimiento básico de módems y dispositivos móviles.
Registro y seguimiento de defectos resultantes de las pruebas.
Documentación de casos de prueba. (Exitosos y no exitosos)
Generación de estrategias.


Requisitos:

Ing. De Pruebas / QA Tester.

Ingeniero en sistemas informático o computacionales

Mínimo 2 años de experiencia como Ing. De pruebas, tester, QA

Proyecto planeado a 10 Meses Aprox.
Esquema por honorarios
Rango salarial $16,000 a 18,000 Libres
Horario de 9 a 7 Hibrido 3 presenciales 2 HO
Zona de trabajo: Santa Fe, Cuajimalpa de Morelos, Ciudad de México.


ACTIVIDADES:

Definición, análisis y cierre de alcance de pruebas.
Creación de casos de prueba.
Manejo de herramientas para pruebas, ejemplo Postman.
Conocimiento básico de módems y dispositivos móviles.
Registro y seguimiento de defectos resultantes de las pruebas.
Documentación de casos de prueba. (Exitosos y no exitosos)
Generación de estrategias."
Junior QA Tester,Junior QA Tester,a1qa,May,2024,"a1qa provides a testing package of consulting and organization of Quality Control procedures which includes automated testing, QA management and coordination of distributed teams on integrative projects.

We help developers and system integrators deliver high-quality software and increase the level of customer satisfaction.

We have professional testing teams fit for very specific purposes. Experience, systematic approachs and a smoothly running workflow allow the painless integration of a1qa teams into the development process to ensure a high quality of software.

We assist in the smooth launch of IT projects to lower the total cost of ownership for IT systems.

We're fully aware of the risks related to project implementation in IT and posess the significant ability to minimize them by providing pre-project services, well-rounded acceptance tests and IT security auditing.

What We Offer

Kickstart your IT career from scratch with:
Dive into a fully 3-month unpaid training program, where you'll explore all facets of testing alongside a mentorship program.
Bingo! For those successfully completing the above, welcome aboard! You'll be officially joining our team in our office, working on projects for global companies like Mercedes-Benz, Diageo, adidas, Whirpool, Shell and others.

Who We Are

A leading player in the QA market with a team of 1000+ specialists.
All our employees once embarked on the same journey you're about to start.

The Role

Your Responsibilities Will Include

Regularly prepare test cases and test plans to cover both new software functionality and regression
Maintain the test pack within the testing team and update when requested by the Client
With team’s support, clarify the requirements in case of uncertainty
Execute test packs and checks for defects

Ideal Profile

What You Need

English proficiency of B1 or higher to effectively liaise with the stakeholders of the region.
Availability to dedicate 40 hours per week to training, internship, and subsequent employment.
Located in CDMX.

How To Apply

Please send your resume in English, mentioning your current location and English proficiency level.

We will contact suitable candidates who meet our criteria.

What's on Offer?

Work within a company with a solid track record of success
Flexible working options
Great work environment"
Manual QA tester,Manual QA tester,Intelliswift Software,March,2024,"Job Description:
We are seeking a skilled manual tester with 4-6 years of experience to join our team. The ideal candidate will have experience in release regression and validation, as well as new feature testing.
The responsibilities of this role include:
Analyzing the technical characteristics of equipment systems
Evaluating written code to ensure it meets project specifications
Developing quality assurance strategies and organizing phased testing with QA engineers
Monitoring errors in the system and reporting them to the development team
Creating test plans for both new and existing software
Planning for debugging the code
Reviewing and analyzing system specifications
Collaborating with QA Engineers to develop effective strategies and test plans
Executing test cases
Reporting and documenting technical issues
The successful candidate will have a keen eye for detail, excellent communication skills, and a passion for quality.
They will be able to work closely with developers, providing them feedback on what needs improvement in order to produce top-quality programs that meet customer expectations.
Qualifications:
Bachelor's degree in computer science or information technology
4-6 years of software testing experience, or a combination of education and experience
Proficiency in manual test cases, regression, and QA
Experience in release regression and validation, as well as new feature testing"
Quality Assurance Analyst,Quality Assurance Analyst,Nestlé,June,2024,"Snapshot de la Posición

El analista de Calidad de fábrica apoya y da soporte para el cumplimiento y apego a estándares específicos (QMS, HACCP, Procesos de limpieza, control de plagas, monitoreo microbiológico, gestión de contenido neto y codificado, BPF's, control estadístico, seguridad alimentaria, 3 líneas de defensa, blue zone, etc) que aseguran calidad en nuestros procesos y productos.

Resumen de posición

Ubicación: Fábrica Toluca Chocolates y Bebidas
Dirección: Carretera México-Toluca Km 62.3 col zona industrial Toluca.
Horario de trabajo: lunes a viernes de 8:00 pm a 5:00 pm; eventualmente guardia en fin de semana.
Nivel de inglés: Intermedio
Carrera: Ing. química, química en alimentos, bioquímica, biotecnología.
Experiencia: 1 año en aseguramiento de calidad.

Un día en la vida de

Promueve la conciencia de calidad en todo el personal operativo, contribuye al desarrollo de competencias en términos de calidad para personal operativo.
Apoya el programa Nestlé Continuos Excellence en la búsqueda de cero defectos, incluida la raíz análisis de causas después de incidentes (o cuasi accidentes) y DMAIC. Apoya las actividades para lograr el cumplimiento de los requisitos del Sistema de Gestión de Calidad de Nestlé y otras instrucciones y estándares aplicables. Brindar capacitación para sus áreas específicas de experiencia.
Conocer y mitigar los peligros a través de la identificación y eliminación de riesgos de su área de trabajo, durante sus actividades de supervisión, cuidando su seguridad y de las personas a su alrededor, aplicando las normas, protocolos y herramientas para prevención de accidentes de SHE (LOTO/Ergonomía, ORA, etc).

Lo que te hará exitoso

Paquetería de Microsoft Office.
Microsoft Excel intermedio.
Inglés intermedio.
Conocimiento en ISO 22000.

Fecha límite para postularse: 06 de junio"
Software Quality Assurance Tester,Software Quality Assurance Tester,HCLTech,May,2024,"The QA tester will be responsible for ensuring the quality of our software products by thoroughly testing them before they are released to customers.

Responsibilities:
Create, update, and execute test cases to ensure that software products meet required quality standards
Maintain detailed records of test results and generate reports to share with other team members
Collaborate with developers to identify bugs, troubleshoot issues, and resolve defects
Continuously improve testing processes and procedures to optimize efficiency and reduce errors
Participate in all stages of the product development life cycle, from requirements gathering to final release
Stay current on industry trends and best practices related to software quality assurance
Proficient in JIRA and able to create and manage test cases, defects, and user stories in JIRA.
Basic understanding of SQL and ability to write simple SQL queries to perform data validation.
Requirements:
Intermediate written and verbal communication skills in English (B2)
Bachelor's degree in Computer Science or a related field
At least 2 years of experience in software quality assurance testing
Strong knowledge of testing methodologies and tools
Excellent analytical and problem-solving skills
Ability to work independently and as part of a team
Strong communication and interpersonal skills
Experience working with agile development methodologies is a plus"
