Position,Company_Name,Location,Post_Month,Post_Year,Details
"Scrum Master - Trabajo Remoto - Toluca, Mexico","Scrum Master - Trabajo Remoto - Toluca, Mexico",BairesDev,May,2024,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países.

Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.

Nuestros Ingenieros de Scrum Master son desarrolladores seniors sumamente comprometidos con la calidad. Permiten la creación diaria de código altamente optimizado y listo para la para la producción. No necesitan que se les convenza de la importancia de la documentación o del trabajo en equipo, dado que los consideran los pilares de su trabajo. Son miembros apasionados y activos de nuestra comunidad que disfrutan compartiendo conocimientos, desafiando y siendo desafiados por otros desarrolladores y están realmente comprometidos con la mejora de sí mismos y de los que les rodean.

Actividades Principales

Asistir al equipo en la preparación de ART y Solution Train utilizando varias herramientas, como los progra,as y soluciones de Kanbans y otros elementos de información
Capacitar a los equipos en metodologías y enfoques Lean-Agile.
Aportar información sobre la provisión de recursos para abordar los cuellos de botella críticos.
Fomentar la colaboración entre los equipos y los sistemas y soluciones de arquitectura/ingeniería.
Trabajar en conjunto con la Gerencia de Productos y Soluciones, Product Owners y todas las partes interesadas para apoyar en el aseguramiento de la alineación de la estrategia y ejecución.
Mejorar el flujo de valor a través de los flujos de valor utilizando Continuous.
Entregar Pipeline y DevOps.
Facilitar los demos del sistema y de la solución.

¿Qué Buscamos?:

Sólida experiencia en posiciones similares.
Uso de metodologías Ágiles.
Excelentes habilidades de comunicación.
Cerrtificaciones acorde al perfil.
Nivel de inglés avanzado.

Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:

Trabajo 100% remoto: trabaja desde tu casa o donde quieras.
Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado.
Hardware y software.
Horarios flexibles
Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos.
Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo.
Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.

¡Únete a nuestro equipo global!"
Scrum Master (CDP),Scrum Master (CDP),IPG Mediabrands México,May,2024,"MEDIABRANDS TE INVITA A VIVIR UNA EXPERIENCIA EXTRAORDINARIA Y DINÁMICA DE TRABAJO Y SEGUIR DESARROLLANDO TU CARRERA PROFESIONAL EN LA MEJOR AGENCIA DE MEDIOS COMO: SCRUM MASTER CDP


experto para liderar proyectos de desarrollo tecnológico utilizando la metodología SCRUM. El candidato ideal poseerá un sólido entendimiento de las prácticas ágiles y será responsable de gestionar el ciclo de vida completo del desarrollo del proyecto de CDP asegurando la entrega de soluciones de alta calidad que cumplan con los requisitos del cliente y los objetivos empresariales.


Principales Responsabilidades

Gestión Integral del Proyecto CDP:
Supervisar todas las fases del proyecto CDP desde la concepción hasta la finalización, asegurando que se cumplan los objetivos del proyecto alineados con las necesidades de negocio.

Liderazgo y Facilitación de SCRUM:

Actuar como Scrum Master, facilitando todas las ceremonias de SCRUM (Daily Stand-ups, Sprint Planning, Sprint Review, Sprint Retrospectives) específicas para el equipo

Mantener el equipo centrado en las metas del proyecto y facilitar la resolución de impedimentos para asegurar una ejecución fluida.

Colaboración con Stakeholders:

Trabajar estrechamente con los stakeholders para entender sus expectativas y requisitos específicos para la plataforma CDP.
Asegurar una comunicación efectiva y continua con los stakeholders para mantenerlos informados sobre el progreso del proyecto y obtener su feedback de manera regular.

Gestión de Recursos y Capacidades del Equipo:

Evaluar y asignar recursos adecuadamente para cumplir con las metas del proyecto, incluyendo la coordinación de equipos internos y externos si es necesario.

Fomentar el desarrollo de habilidades y la especialización del equipo en áreas clave relacionadas con CDP, como data management, integración de datos, y análisis.

Monitoreo y Reporte del Progreso:

Utilizar herramientas de gestión de proyectos ágiles para monitorear el progreso, identificar desviaciones y realizar ajustes proactivos en la planificación.


Preparar reportes de avance del proyecto para la dirección de Mediabrands y los stakeholders asegurando transparencia y ajuste con las expectativas.

Aseguramiento de la Calidad y Cumplimiento:

Supervisar la calidad de los entregables, asegurando que la plataforma CDP cumpla con los estándares técnicos requeridos y las regulaciones de protección de datos aplicables.

Implementar mejores prácticas de seguridad y privacidad de datos desde el diseño hasta la ejecución y operación de la CDP.

Gestión de Riesgos:
Identificar posibles riesgos asociados con el proyecto CDP y desarrollar planes de mitigación adecuados para minimizar su impacto.

Fomento de la Innovación:
Estimular la innovación y la mejora continua dentro del equipo, promoviendo la exploración de nuevas tecnologías y metodologías que puedan beneficiar el proyecto CDP.

Colaborar estrechamente con los equipos de producto y desarrollo para definir el backlog y priorizar las tareas de acuerdo con los objetivos estratégicos del negocio.

Ofrecemos prestaciones superiores a las de la ley
Trabajo híbrido con ubicación de oficinas en Polanco, CDMX

En Mediabrands NO discriminamos por razón de raza, origen étnico, edad, sexo, estado civil, ideología, opiniones políticas, nacionalidad, religión, orientación sexual, identidad o expresión de género o cualquier otra condición personal, física o social. A través de ello, construimos una cultura incluyente, de respeto y diversa."
Agile Coach -,Agile Coach -,Coppel,May,2024,"¡Únete y se parte de nuestra gran Transformación digital como nuestro próximo Agile Coach!

Modalidad hibrida CDMX

Licenciatura en areas económico administrativas o en tecnologías de la información o de las ingenierías.

Maestría en Administración de Empresas, Comercio Electrónico, Innovación, en Gestión y Administración de Tecnologías de la Información o similar

Objetivo del puesto Gestionar y coordinar la transformación, evolución y adopción de modelos y prácticas ágiles en todo Grupo Coppel, así como impulsar la sostenibilidad de estos marcos, para que los productos y soluciones que desarrollen los equipos multidisciplinarios sean bajo un estándar que permita la eficiencia y calidad.

Responsabilidades

Liderar el cambio cultural (mentalidad y comportamientos) de los equipos a cargo para garantizar que la ejecución de las prácticas cumplan con su objetivo.
Liderar la transformación y evolución de marcos ágiles de los equipos bajo su responsabilidad con la finalidad de mejorar el nivel de madurez esperado en cada ciclo (3 meses).
Evaluar y formar individuos y equipos dentro del alcance de equipos bajo su responsabilidad, con el objetivo de definir y accionar planes de capacitación para cerrar las brechas de conocimiento y desarrollar al talento.
Brindar coaching y mentoring a las personas y equipos en su alcance de gestión para su crecimiento y formación dentro de la práctica.
Implementar modelos, procesos, indicadores, herramientas y artefactos que impulsen la mejora continua de la entrega de valor en apego a las directrices del área que gobierna la práctica.
Liderar las comunidades y foros de práctica dentro de su tramo de gestión para alinear a los equipos respecto a cambios en la práctica, nuevas tendencias, así como para abordar problemáticas o necesidades con el objetivo de generar ideas, propuestas de solución y planes de acción.


Requisitos


Conocimientos

Experiencia en puesto como Agile, minimo 1 año de experiencia
En principios agiles y de sus distintas prácticas, métodos y frameworks
En generación, analisis e interpretación de información, para el desarrollo de proyectos o productos
Sobre coaching para guiar y desarrollar a los equipos de trabajo en marcos de trabajo agiles.
Experiencia comprobable impulsando métodos y prácticas de agilidad empresarial o agilidad escalada
Gestión de proyectos bajo métodos y prácticas ágiles
Inglés técnico

Certificados o licencias complementarias

SAFe (SA) Necesario
Kanban
Management 3.0
Scrum Master Product Owner DevOps
ACPC (Agile Coach Professional Certificate)
DASSM (Disciplined Agile Senior Scrum Master ).

Beneficios

Beneficios

Prestaciones superiores a la ley
Contratación 100% nominal
Becas para Maestría e Idiomas
Salario 100% nominal
Contratación Directa
Reparto de utilidades
Vacaciones 12 días a partir de tu primer año
Atención psicológica gratuita
Vales de despensa
Fondo de ahorro
Descuentos en tiendas

y más

TI - ECCR

Somos una empresa mexicana, fundada en Culiacán, Sinaloa. En 2021 cumplimos 80 años mejorando la vida de millones de mexicanos.

Tenemos presencia en todos los estados de la república y contamos con más de 139 mil colaboradores, lo que nos convierte en uno de los 10 principales empleadores del país.

Nuestro modelo de negocio está conformado por una amplia oferta de productos y servicios comerciales y financieros que operan transversalmente bajo el ecosistema omnicanal, lo que significa que podemos tener acceso a nuestros clientes por varios medios como

Tiendas Coppel
BanCoppel
Afore Coppel
Ambiente digital (.com y apps)

Coppel es una comunidad en donde la dignidad humana prevalece sobre cualquier otra condición, por ese motivo, apoyamos la inclusión, la diversidad y la igualdad de oportunidades, sin hacer diferencia por raza, lugar de origen, religión, creencias, edad, imagen, orientación

sexual, identidad de género, discapacidad, etc.

Propósito

Apoyarte en tus necesidades y deseos, acercándote un mundo de posibilidades para que mejores tu vida.

Valores

Confianza

Responsabilidad

Atención y Servicio

Eficiencia y Sencillez

Innovación"
Scrum Master / Project Manager,Scrum Master / Project Manager,Technology & Performance Solutions,May,2024,"Acerca De La Empresa

Somos una empresa de tecnología dedicada al área de data management, analytics e inteligencia artificial. Nuestro objetivo es ser aliados de negocios de nuestros clientes para crear soluciones innovadoras que les permitan de crecer y evolucionar estratégicamente.

Formación

Licenciatura en Administración, Gestión de Proyectos, Ingeniería de Sistemas o afín.

Objetivo Del Puesto

Nuestro Gerente de Proyectos/Scrum Master estará a cargo de gestionar y administrar proyectos y productos con el objetivo principal de brindar una excelente experiencia de gestión a nuestros clientes.

Conocimientos

Conocimientos de la metodología del PMI para gestión de proyectos
Certificación en Scrum o alguna otra certificación ágil
Manejo de herramientas para administración de proyectos (MS Project, Jira, Asana, Mural,Trello, etc.)
Conocimiento del ciclo de vida de un proyecto de desarrollo de software o implementaciones de sistemas.
Excelente redacción y ortografía
Habilidad como documentador gráfico (deseable).

Aptitud

El Gerente de Proyectos/Scrum Master deberá ser capaz de coordinar equipos de trabajo multidisciplinarios, documentar procesos, administrar alcance, calidad, tiempos y recursos, así como mostrar habilidades de comunicación, organización, análisis y sólidas habilidades de negociación.

Actitud

Estamos buscando a una persona con una gran capacidad de análisis, versatilidad, extrovertido(a), habilidades para relacionarse, buen negociador, buena comunicación y organización, comprometido, empático, que trabaje con base a resultados, con actitud de servicio orientado al cliente, un espíritu crítico e innovador que rete el status quo de las cosas.

Experiencia

Al menos 2 años de experiencia en proyectos usando marcos de trabajo ágiles
Al menos 3 años de experiencia en la gestión de proyectos
Experiencia trabajando con equipo remotos
Experiencia de identificación, contención y mitigación de riesgos
Industria de tecnologías de la información, preferentemente soluciones y servicios de software.

Actividades

Guiar y entrenar a los equipos en las prácticas de Scrum, Kanban y Agile en general.
Entrenar al equipo para mejorar la velocidad y el éxito de los sprints y mantener una dinámica enfocada en la mejora continua.
Contribuir al diseño de los principales componentes de los productos, a través de la generación de ambiente abierto de discusión de ideas.
Colaborar con los miembros del equipo y los líderes para eliminar los impedimentos técnicos que pudiesen surgir en el proyecto.
Gestionar el proceso de administración de los proyectos (documentación, entregables, fechas de eventos, reuniones con clientes) en proyecto que siguen metodologías tradicionales como cascada.
Establecer relaciones de trabajo sólidas con los equipos, eliminando impedimentos en la comunicación tanto con los clientes como con el equipo de desarrollo.
Anticipar desafíos, identificar riesgos y dar recomendaciones para mitigarlos.
Identificar las limitaciones o necesidades de recursos.
Facilitar y organizar los eventos y artefactos de Scrum, ayudar al equipo a concentrarse en las metas, a organizarse eficazmente para lograr los objetivos y asegurarse de que comprenden completamente los objetivos y compromisos.
Trabajar en conjunto con Product Owners y usuarios de negocio para asegurar que estén completamente involucrados con el equipo y sean parte del ciclo de retroalimentación del proyecto.
Trabajar de la mano con el líder y equipo de operaciones"
"Scrum Master - Trabajo Remoto - Tijuana, Mexico","Scrum Master - Trabajo Remoto - Tijuana, Mexico",BairesDev,May,2024,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países.

Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.

Nuestros Ingenieros de Scrum Master son desarrolladores seniors sumamente comprometidos con la calidad. Permiten la creación diaria de código altamente optimizado y listo para la para la producción. No necesitan que se les convenza de la importancia de la documentación o del trabajo en equipo, dado que los consideran los pilares de su trabajo. Son miembros apasionados y activos de nuestra comunidad que disfrutan compartiendo conocimientos, desafiando y siendo desafiados por otros desarrolladores y están realmente comprometidos con la mejora de sí mismos y de los que les rodean.

Actividades Principales

Asistir al equipo en la preparación de ART y Solution Train utilizando varias herramientas, como los progra,as y soluciones de Kanbans y otros elementos de información
Capacitar a los equipos en metodologías y enfoques Lean-Agile.
Aportar información sobre la provisión de recursos para abordar los cuellos de botella críticos.
Fomentar la colaboración entre los equipos y los sistemas y soluciones de arquitectura/ingeniería.
Trabajar en conjunto con la Gerencia de Productos y Soluciones, Product Owners y todas las partes interesadas para apoyar en el aseguramiento de la alineación de la estrategia y ejecución.
Mejorar el flujo de valor a través de los flujos de valor utilizando Continuous.
Entregar Pipeline y DevOps.
Facilitar los demos del sistema y de la solución.

¿Qué Buscamos?:

Sólida experiencia en posiciones similares.
Uso de metodologías Ágiles.
Excelentes habilidades de comunicación.
Cerrtificaciones acorde al perfil.
Nivel de inglés avanzado.

Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:

Trabajo 100% remoto: trabaja desde tu casa o donde quieras.
Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado.
Hardware y software.
Horarios flexibles
Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos.
Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo.
Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.

¡Únete a nuestro equipo global!"
Agile Coach,Agile Coach,Proceti,February,2024,"Acerca de la empresa

ProceTI es una reconocida empresa de tecnología de la información con más de 10 años de experiencia en el mercado. Nos especializamos en brindar soluciones innovadoras y de vanguardia a nuestros clientes. Valoramos el trabajo en equipo, la excelencia y el crecimiento profesional de nuestros empleados. Al unirte a nuestro equipo, tendrás la oportunidad de trabajar en proyectos desafiantes y desarrollar tus habilidades en un ambiente colaborativo y dinámico. Ubicación: Monterrey, Nuevo León.

Requisitos del puesto

Educación: Título universitario en un campo relacionado con la tecnología de la información.

Experiencia: Experiencia previa en consultoría de tecnología de la información.

Habilidades

Inglés avanzado.

Conocimientos avanzados en SAFe (Scaled Agile Framework).

Experiencia avanzada en Kanban.

Conocimientos avanzados en UXUI (Experiencia de Usuario y Diseño de Interfaz de Usuario).

Responsabilidades del puesto

Brindar coaching y capacitación en metodologías ágiles a los equipos de desarrollo de software.

Facilitar la implementación de prácticas ágiles como Scrum, Kanban y SAFe en la organización.

Colaborar con los equipos para identificar y resolver obstáculos que puedan afectar su agilidad.

Promover la adopción de buenas prácticas y ayudar a los equipos a mejorar continuamente su rendimiento.

Apoyar en la implementación de herramientas y procesos que mejoren la eficiencia y calidad del desarrollo de software.

Prestaciones y beneficios adicionales

Salario competitivo de $50,000 a $60,000 pesos mensuales.

Contratación temporal a tiempo completo.

Modalidad presencial.

Oportunidades de crecimiento y desarrollo profesional.

Ambiente de trabajo colaborativo y dinámico.

Herramientas y recursos para el desarrollo de habilidades técnicas y blandas."
Transformación Ágil,Transformación Ágil,Universidad de Monterrey,May,2024,"La Universidad de Monterrey, basada en su inspiración católica, valores y excelencia académica, forma integralmente a la persona para que contribuya a la construcción de una sociedad sostenible, trascienda en el servicio a los demás y alcance su plenitud.

Tu talento puede inspirar a toda una comunidad, estamos buscando:

Transformación Ágil

Misión Del Puesto

Hacer realidad la ejecución de la visión de productos innovadores diseñados por el Product Owner del equipo, mismos que están orientados a coadyubar una de las líneas estratégicas de la Universidad, a través de la gestión del equipo ágil y dentro de marcos ágiles de trabajo como Scrum, Lean Startup, DevOps, entre otros.

Responsabilidades

Crear y gestionar los cómo necesarios para resolver dolores de los estudiantes considerando el detalle de sus requerimientos operativos y funcionalidades dictados por el Product Owner.
Mantener diálogos constantes y abiertos para afinar los detalles operativos y de diseño con el PO, el resto del equipo y los usuarios.
Ejecutar los criterios que aseguren la rentabilidad del producto para la organización y hacer los ajustes que solicite el PO para mantenerla.
Priorizar y articular el backlog generado para asegurar el cumplimiento de los requerimientos de funcionalidad y tiempos estimados de entregas incrementales.
Mantener comunicación y autogestión constante con el equipo ágil así como su Scrum Master a fin de favorecer el avance y enfoque del equipo en el resultado.
Documentar evidencia de los avances de sus actividades y hacerlas visibles con el equipo y el PO.
Establecer OKRs que permitan medir el éxito del producto y asegurar su cumplimiento.

Experiencia En

Proyectos de agilidad (mínimo 3 años).

Formación Académica

Ingeniería, Administración, Educación o afín.
Inglés Avanzado.
Conocimiento en marcos ágiles. Scrum, Lean Startup, Shift Up, DevOps."
Enterprise Agile Coach,Enterprise Agile Coach,Multiplica Talent,February,2024,"Multiplica Talent te está buscando! Somos una consultoría en recursos humanos enfocada en reclutar talento digital y de tecnología. Estamos encantados en conocer a un Enterprise Agile Coach.

¿Qué necesitas? Como Enterprise Agile Coach, serás responsable de llevar adelante la transformación Agile a nivel empresarial. Trabajarás directamente con los equipos, lideres de proyectos, y stakeholders para fomentar y promover las prácticas Agile y ayudar a la organización a alcanzar sus metas de agilidad y entrega continua.

Trabajarás de la mano con los diferentes equipos y departamentos de la empresa para impulsar la adopción de metodologías Agile y promover la colaboración y el trabajo en equipo.

Requirements

Responsabilidades:

Liderar la transformación Agile a nivel empresarial
Facilitar y promover las prácticas Agile y el trabajo en equipo
Brindar coaching y orientación a equipos y líderes de proyectos en la adopción de metodologías Agile
Identificar oportunidades de mejora y promover la innovación continua

Experiencia en:

Experiencia previa como Agile Coach o Enterprise Agile Coach
Amplio conocimiento de metodologías Agile como Scrum, Kanban, Lean, etc
Experiencia en la implementación exitosa de transformaciones Agile a nivel empresarial
Capacidad para influir y motivar a los equipos y líderes de proyectos
Excelentes habilidades de comunicación y facilitación


Benefits

Beneficios de ley y superiores
Días de vacaciones adicionales
Beneficios de salud
Oportunidad de crecimiento
Aprendizaje continuo: acceso gratuito a cursos
Bienestar: clases de yoga, sesiones de wellbeing, tarifa preferencial para sesiones de terapia psicológica
¡Muchos más!"
Agile Coach,Agile Coach,AXEN IT Consulting,April,2024,"En AXEN IT Consulting estamos creciendo exponencialmente con clientes y grandes proyecciones de crecimiento, Contamos con más de 25 años de experiencia en el mercado de servicios de tecnologías de la información, Enfocados en nuestro crecimiento y al mismo tiempo ofreciendo planes de mejora a nuestro talento, Actualmente estamos buscando ""Desarollador Python | SQL "" con el siguiente perfil:

Requirements

Able to run assessment and determine Lean-Agile Enterprise maturity level
English Language Proficiency
Bachelor's and master's degree required
(15+ years) managing projects, portfolios, product or services with multi-disciplinary and multi-cultural teams where business process and technology areas involved, collocated and/or remotely.
Advance Knowledge and experience with Lean-Agile and Discipline Agile delivery, SAFe, Scrum, XP, Kanban Method, design thinking, product management, UX/UI, LESS, Cynefin, Flight levels, agenda shift
Active member of lean-agile communities, case study publications and speaker in key public forums
(10+ years) using principles and values, methods, techniques, and frameworks to achieve successful results in a lean-agile ways of working
Budget control and administration capabilities
Understand technology, DevOps, social engineering, and Architectural designs and business process.
Ability to Teach, provide mentoring, coaching, and facilitating
Foster enterprise (middle and senior level) collaboration
Effective communication and networking (integrator)
Persuasive negotiator with numbers and data
Well engaged with industry trends and innovations
Able to influence and design (expert speaker), ideas and improvements.
Capable to motivate her/his team, other teams, middle and senior management
Planning, strategic and delegation capabilities
Advanced knowledge in neurolinguistics
Expertise on connecting Continuous Discovery + CI/CD
Strong knowledge in Maturity Models, such as CMMi or KMM
Knowledge and experience in Six Sigma
Green Belt Certification desirable

Responsibilities

Support the commercial area and other functions to propose, design and implement solution for different clients

Work with individuals and teams to nurture and develop an agile culture in the organization
Lead the existing center of excellence or communities within the organization or create them (in case they don’t exist), maximize the talent of each change agent and decision maker among other leaders, managers, directors and stakeholders.
Influence behaviors to make an organization capable of face challenges of the 21st century.
Establish a systematic process of continuous improvement lead by organizational objectives.
Increase predictability, and reduce uncertainty in projects or products, services or initiatives
Enable continuous improvement at all levels of the organization, moving the organization from standards to experimentation, hypotheses, prototyping, iterative and incrementally, moving from rigid command to systematic and resilient collaborative management
Increase skills in ""agile development"" in the short term and move to business agility in the medium and long term.
Increase the skills of ""management of digital products and services""
Increase the quality of deliverables, products, and services
Maximize Value/outcomes (to customer), minimize outputs/deliverables
Optimize flow of value (more flow efficiency than resource efficiency).
Shorten the time to market, faster delivery rate and more predictable.
Use and recommend the right tools for collaboration and management of work, knowledge, and learning according to the existing context and maturity
Set the basis for the establishment of systematic indicators, to measure the health of products, services, 85 to 100% alignment to organizational objectives
Enable a system to reward collaboration and learning to nurture a culture of continuous improvement
Align the team, project, program, portfolio, and the entire organization to a common purpose with goals to which the entire organization contributes
Design the technical and functional architecture of scalable work models for teams, programs, or portfolios, with multiple sources of demand and multiple types of work.
Generate technical and functional knowledge, collaborative processes, and tools; visible and public knowledge for collaborators, middle and high management, for onboarding purposes, knowledge transfers, and consultation in an organic way, as a disciplined habit of the daily way of working

Beneficios:

Oferta de trabajo basada en tus expectativas
Crecimiento y estabilidad laboral.
Beneficios superiores a los de ley.
Plan de desarrollo profesional personalizado.

¡Sé parte de nuestro equipo!"
Agile Coach,Agile Coach,EPAM Systems,May,2024,"Description

Are you an experienced Agile Coach passionate about fostering team effectiveness and promoting Agile values?

If so, we invite you to join our dynamic team at EPAM!

In this role, you'll act as an Agile Coach , guiding the team's adherence to Agile principles, processes, and practices while promoting flexibility and team effectiveness.

If you're ready to make a significant impact and drive continuous improvement, we'd love to hear from you.

EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.

Responsibilities

Acting as an Agile Coach to foster the team's adherence to Agile values, principles, processes, and practices
Establishing and maintaining a conducive environment for the Agile team to thrive
Identifying and assisting in resolving any obstacles or external interruptions facing the team
Facilitating conflict resolution within the team in a manner that maintains team harmony
Optimizing the value and utility of the product being developed by the team
Recognizing and addressing any impediments to process flow that may hinder the team's ability to deliver


Requirements

5 + years of experience as a Scrum Master
A minimum of 3 years in the role of Agile Coach
Experience in detecting and resolving impediments damaging the team's capacity to deliver
Sound knowledge of Agile principles, process, and methodology with a strong ability to impart that knowledge to others
Proven experience in leading teams towards continuous improvement and effectiveness
Excellent problem-solving skills and able to navigate team dynamics smoothly to preserve synergy


Nice to have

Experience in Cloud Migrations [AWS / Azure] is a plus


We Offer

Career plan and real growth opportunities
Unlimited access to LinkedIn learning solutions
International Mobility Plan within 25 countries
Constant training, mentoring, online corporate courses, eLearning and more
English classes with a certified teacher
Support for employee’s initiatives (Algorithms club, toastmasters, agile club and more)
Enjoyable working environment (Gaming room, napping area, amenities, events, sport teams and more)
Flexible work schedule and dress code
Collaborate in a multicultural environment and share best practices from around the globe
Hired directly by EPAM & 100% under payroll
Law benefits (IMSS, INFONAVIT, 25% vacation bonus)
Major medical expenses insurance: Life, Major medical expenses with dental & visual coverage (for the employee and direct family members)
13 % employee savings fund, capped to the law limit
Grocery coupons
30 days December bonus
Employee Stock Purchase Plan
12 vacations days plus 4 floating days
Official Mexican holidays, plus 5 extra holidays (Maundry Thursday and Friday, November 2nd, December 24th & 31st)
Relocation bonus: transportation, 2 weeks of accommodation for you and your family and more
Monthly non-taxable amount for the electricity and internet bills


Conditions

By applying to our role, you are agreeing that your personal data may be used as in set out in EPAM´s Privacy Notice and Policy


Apply Apply

EPAM Systems is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender, gender identity, sexual orientation, age, status as a protected veteran, status as a qualified individual with disability, or any other protected characteristic under law.

Background investigations are required for all new hires as a condition of employment, after the job offer is made. Employment will not begin until EPAM Systems receives and approves the results of the background check."
