Position,Company_Name,Location,Post_Month,Post_Year,Details
Enterprise & Security Architect,Enterprise & Security Architect,Citibanamex,May,2024,"The Architecture Group Manager is accountable for management of complex/critical/large professional disciplinary areas. Leads and directs a team of professionals. Requires a comprehensive understanding of multiple areas within a function and how they interact in order to achieve the objectives of the function. Applies in-depth understanding of the business impact of technical contributions. Strong commercial awareness is a necessity. Generally accountable for delivery of a full range of services to one or more businesses/ geographic regions. Excellent communication skills required in order to negotiate internally, often at a senior level. Some external communication may be necessary. Accountable for the end results of an area. Exercises control over resources, policy formulation and planning. Primarily affects a sub-function. Involved in short- to medium-term planning of actions and resources for own area. Full management responsibility of a team or multiple teams, including management of people, budget and planning, to include performance evaluation, compensation, hiring, disciplinary actions and terminations and budget approval.

Responsibilities:

Manages multiple architectural teams or an architecture functional area (depending on size of business).
Evaluates subordinates' performance and makes recommendations for pay increases, promotions, terminations and other personnel actions.
Develops the architectural strategy for a group (portfolio) of IT systems.
Develops and recommends solutions that conform to enterprise standards.
Develops technological and business application portfolio road maps, based on emerging technologies and market trends/direction.
Responsible for all technical directions and decisions based on technical expertise, experience, vision and market directions.
Supports the business/clients in evaluating and articulating the technical benefits of a solution to stakeholders.
Analyzes and evaluates strategic technologies offered by vendors.
Exhibits sound understanding of theories and practices in architecture and multiple related areas.
Has in depth understanding of how architecture integrates within technology and has commercial awareness.
Shares responsibility for budget, policy formulation and planning.
Requires evaluative judgment based on analysis of factual information in complicated or novel situations; uses multiple sources of information.
Impacts engineering through responsibility for planning, finances/ budget, end results and setting of policies.
Influences and negotiates with senior leaders (across functions); may communicate and negotiate with external parties.
Performs other job duties and functions as assigned
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency, as well as effectively supervise the activity of others and create accountability with those who fail to maintain these standards.

Qualifications:
10+ years relevant experience
10+ years enterprise architecture
Knowledge in cloud services
TOGAF certification, security frameworks.
Agile methodologies.
Knowledge of Integrations, APIS, containers, microservices.
Knowledge of information security
Advanced english
Consistently demonstrates clear and concise written and verbal communication
Management and prioritization skills
Ability to develop working relationships
Ability to manage multiple activities and changing priorities and work under pressure to meet tight deadlines
Self-starter with ability to take the initiative and master new tasks quickly
Methodical, attention to detail

Education:
Bachelor’s/University degree or equivalent experience, potentially Masters degree


This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required."
Consultor/a Seguridad,Consultor/a Seguridad,Scotiabank,September,2023,"¡Gracias por tu interés en Scotiabank!

Nuestro grupo tiene un fuerte compromiso en promover un lugar de trabajo en donde te sientas respaldado/a por tus supervisores/as, de forma tal que asegures tu éxito y el de cada cliente.

Propósito

El Titular es responsable de apoyar el logro de los objetivos de integridad, confidencialidad, disponibilidad y continuidad de Seguridad de la Información del Grupo Scotiabank

Responsabilidades

Participar activamente en los proyectos del área o proyectos de Scotiabank donde tenga participación, haciendo cumplir los estándares de seguridad en plataformas.
Asegurar la protección continua y la confiabilidad del Control de Acceso Lógico a sistemas operativos, aplicaciones, base de datos, sistemas alternos, conexiones asociadas con las telecomunicaciones que represente un riesgo para el Grupo Financiero cumpliendo con los objetivos de Servicio de la Dirección de Seguridad de la Información.
Búsqueda continua en la mejora de los controles establecidos para el Control de Acceso considerando servicios de tecnología emergente y nuevos canales de entrega.
Coordinación y seguimiento para la implementación de las mejores prácticas en materia de Seguridad de la Información.
Monitoreo de la condición de la Seguridad y el apropiado establecimiento de privilegios de accesos y custodia de cuentas privilegiadas.
Orientar y asistir a los usuarios finales en lo relativo al control de acceso para la plataforma iSeries y manejador de Bases de Datos DB2.
Participación en el establecimiento de los estándares de seguridad mediante una búsqueda constante del servicio a clientes, niveles de atención, manejo de observaciones de auditoría y seguimiento a las mismas para el cumplimiento de la normatividad vigente.
Generación de reportes regulares con el fin de mantener informada a la Subdirección de Infraestructura y la Dirección de Administración de accesos.

Operación De La Seguridad

Proveer apoyo especializado a los equipos de proyecto respecto al cumplimiento de los requisitos de control de acceso, acorde al marco normativo de seguridad establecido por Scotiabank, tomando también en cuenta los requerimientos regulatorios y las mejores prácticas de la industria.
Tramitando, administrando, validando y operando las solicitudes de los usuarios, utilizando los estándares establecidos, con el objetivo de controlar los accesos lógicos de Seguridad de la Informacion.
Entregando contraseñas a los usuarios, de manera confidencial, con el objetivo de que únicamente sea conocido por el usuario solo en los casos que este aplique.
Recertificar periódicamente los accesos genéricos y privilegiados, para evitar desviaciones o mal uso de estos.
Analizando y/o tramitando bajas por inactividad y certificando usuarios con base en la información provista por el área de Recursos Humanos y acorde a la planta de personal del Grupo Scotiabank México.

Administración

Controlando la creación, mantenimiento y conservación de toda la documentación de la Subdirección de Infraestructura.
Proponiendo la mejora continua mediante la automatización de procesos, adición de nuevos controles y la utilización de nuevas herramientas debidamente autorizadas por la Dirección de Seguridad de la Información.
Participando en investigaciones y pruebas de nuevas herramientas que permitan mejorar, simplificar e incrementar el nivel de control de las plataformas y/o aplicativos a su cargo.
Generando periódicamente reportes y estadísticas de las actividades asignadas.
Brindar en todo momento asesoría técnica como especialista de la Plataforma iSeries y DB2.
Interactuando con las diferentes áreas de la DGA de Tecnologías de la Información para la resolución conjunta de problemas y proyectos comunes.
Participando activamente en funciones cruzadas con otras plataformas del área Seguridad.

Plataforma iSeries (AS400) y Manejador de Bases de Datos DB2:

Revisando, controlando, administrando y operando la Seguridad Lógica de todos los componentes del ambiente iSeries y Bases de Datos DB2 que conforman ScotiaPro.
Administración, Utilización y Custodia de cuentas privilegiadas en las Bóvedas digitales.
Depuración de control de acceso lógico mensualmente

Realizar aquellas funciones inherentes al puesto y las que le sean encomendadas por su supervisor inmediato y que coadyuven al cumplimiento de los objetivos del área.

Experiencia

Licenciatura en Sistemas
Inglés nivel intermedio deseable
Conocimiento en AS400 y DB2
Conocimiento en Ciberseguridad deseable

Ofrecemos un buen ambiente laboral, prestaciones superiores a las de ley, la oportunidad para realizar voluntariado y/o actividades de Responsabilidad Social. Scotiabank está considerado como el mejor grupo financiero para trabajar en México, con presencia internacional.

Agradecemos tu interés, sin embargo, únicamente las personas seleccionadas para entrevista serán contactadas.

**Scotiabank es una empresa incluyente, que respeta la diversidad y no hace ningún tipo de discriminación**"
Security Consultant,Security Consultant,Tata Consultancy Services,May,2024,"Hi,

Warm greetings! I work with Tata Consultancy Services and I'm excited to connect with you. I noticed that you are open to work and I have a job opportunity that could be a perfect match for you, given your open-to-work preferences.

Tata Consultancy Services is looking for a Security Testing to join our team on a full-time basis.
Work location: Guadalajara (onsite)
Above:4+ years of Experience.


If you are interested. Kindly share updated resume in English to m.ammu@tcs.com


Best regards,
Ammu"
Sr Cyber security Engineer,Sr Cyber security Engineer,Industrias Hunter México,May,2024,"The Senior Cyber Security Engineer is responsible for contributing to the company’s cybersecurity strategy. This role architects, develops, deploys, and maintains effective solutions to increase the overall security of company’s network, systems, and data. This role is responsible for leveraging existing solutions and creating innovative ways to detect and address security incidents, as well as harden existing infrastructure to prevent future cybersecurity events.

Essential Job Functions:
1. Serves as a senior technical architect and systems integrator for large complex systems or networks, with a focus on securing vulnerabilities and reducing risk of system and/or asset compromises. Provides recommendations to IT leadership on cybersecurity strategy.
2. Responsible for performing in depth evaluation of cybersecurity platforms based on detailed requirements. Partners with vendors to evaluate solutions to include proof of concept. Provides detailed recommendations for solution selection to IT leadership.
3. Responsible for the configuration, deployment, maintenance and monitoring of cybersecurity platforms.  
4. Analyzes and recommends security controls and procedures in acquisition, development, and change management lifecycle of information systems, and monitors for compliance.
5. Develops, implements, manages, monitors, and troubleshoots cybersecurity defenses, including configuration management, network security, systems security, and monitoring systems / tools.
6. Analyzes and develops information security governance, including organizational policies, procedures, standards, baselines and guidelines with respect to information security and use and operation of information systems.
7. Creates and leads an Incident Response Team to develop and implement strategies for responding to and recovering from information systems security events, incidents, and breaches.
8. Responds to information system security incidents, including investigation of, countermeasures to, and recovery from computer-based attacks, unauthorized access, and policy breaches;

Education/Training Required and Preferred:
Bachelor's degree or equivalent experience in Cybersecurity, Computer Forensics, Computer Science, Information Systems Management, or related field. 
- Excellent written and verbal communication skills in English is a must
One or more cybersecurity certifications including but not limited to Certified Information Systems Security Professional (CISSP), Certified Information Systems Auditor (CISA), Certified Information Security Manager (CISM)

Experience Required and Preferred:
Minimum of eight years of demonstrated skills with cybersecurity and networking technologies; and with system, security, and network monitoring tools (including but not limited to firewalls, intrusion detection systems, anti-virus / anti-malware software, authentication systems, log management, content filtering, etc.)
Minimum of four years of experience with administration of Windows servers, networking hardware, virtualization, storage, etc. in an enterprise data center and/or cloud environment.
-Demonstrated skills in a variety of cybersecurity solutions such as Office 365, Azure / AWS, CrowdStrike, ForcePoint, SEIMs / security monitoring devices, Nessus, or similar.
- Experience with identity and access management solutions including single sign-on, privileged access management,
- Advanced knowledge of computer networking, network design, network protocols, and troubleshooting.
- Ability to install, configure, manage, and troubleshoot cybersecurity platforms and tools, servers, and networking equipment.
- Practical script writing using PowerShell, batch files, bash script, and/or other related tools.
- Knowledge and experience of Microsoft technologies (AD, GPOs, RDS, PKI, DFS, DNS, DHCP, etc.)."
Consultor/a Seguridad,Consultor/a Seguridad,Scotiabank,October,2023,"¡Gracias por tu interés en Scotiabank!

Nuestro grupo tiene un fuerte compromiso en promover un lugar de trabajo en donde te sientas respaldado/a por tus supervisores/as, de forma tal que asegures tu éxito y el de cada cliente.

Propósito

Atiende las actividades de la Subdirección Incidentes de Seguridad dentro de la Dirección de IS&C México y garantiza que las estrategias de negocios, planes e iniciativas se lleven a cabo o se cumplan de conformidad con las normas, políticas y procedimientos internos vigentes.

Responsabilidades

Conduce una cultura centrada en el cliente a fin de profundizar las relaciones con los clientes y aprovechar las amplias relaciones del Banco, así como sus sistemas y conocimientos .
Participación y atención a en proyectos con otros países.
Obtención, seguimiento y asistencia técnica alos planes de remediación.
Seguimiento a reuniones de trabajo con los owner de aplicaciones para la generación de acciones de remediación.
Revisión semanal de
Vulnerabilidades críticas, altas, medias y bajas en aplicaciones web y móviles.
Desviaciones en las configuraciones de seguridad de los servidores de la plataforma Windows.
a nivel de seguridad en todos los activos informáticos de México conectados a la red.
Atención a la entrega de información a requerimientos de auditorías.
Proveer consultoría y mejores prácticas para remediación de vulnerabilidades.
Solicitar escaneos bajo demanda para validar las remediaciones.
Comunicar las modificaciones a estándares BNS a las áreas para su adopción
Enfocar los esfuerzos de remediación en el bottom 25% (SRI path to green)
Generar reportes con métricas de avance.
El Titular de este puesto es responsable de colaborar en alcanzar los objetivos de integridad, confidencialidad/privacidad, disponibilidad/continuidad de la Seguridad de la Información del Grupo Financiero a través del desarrollo e implementación de procesos para detectar, identificar y evaluar las vulnerabilidades y desviaciones en configuraciones de seguridad en Sistemas Operativos, plataformas tecnológicas, Aplicaciones, Bases de Datos y dispositivos de red; así como proporcionar consultoría a las diferentes áreas para generar los planes de remediación de vulnerabilidades.
Comprende la cultura de riesgo del Banco y cómo debe considerarse el apetito de riesgo en las actividades y decisiones diarias.

Experiencia

Licenciatura afín a Sistemas Computacionales.
Deseable que cuente con alguna certificación en temas relacionados a la seguridad de la información y tecnología.
Amplio conocimiento en remediación de vulnerabilidades en aplicaciones web y móviles
Amplio conocimiento en remediación de vulnerabilidades en infraestructura (protocolos, ciphers, http headers, etc.), IIS, IHS, WebSphere, WebLogic, F5, load balancers, etc.
Amplio conocimiento en remediación de desviaciones en las configuraciones de seguridad en plataformas Windows Server (Hardening)
Conocimiento de herramientas para la identificación y administración de vulnerabilidades y metodologías de evaluación de riesgos
Conocimiento en desarrollo seguro de aplicaciones
Escaneo estático y escaneo dinámico de vulnerabilidades
Conocimientos de OWASP, WASC, CVE, CVSS v3.0
Manejar preocupaciones de alto grado técnico y de extrema complejidad en sistemas diversos, en el contexto de su impacto tanto en el procesamiento de datos del Grupo Financiero, como en el desarrollo de los negocios y de los objetivos de servicio de Scotiabank
Conocimiento de controles clave de seguridad, conceptos de evaluación de riesgo y privacidad
Conocimiento actualizado en plataformas tecnológicas, sistemas operativos, aplicaciones, bases de datos, manejo de conceptos de llaves criptográficas y conocimiento de diversas arquitecturas tecnológicas.
Contar con más de 10 años de experiencia profesional.

Ofrecemos un buen ambiente laboral, prestaciones superiores a las de ley, la oportunidad para realizar voluntariado y/o actividades de Responsabilidad Social. Scotiabank está considerado como el mejor grupo financiero para trabajar en México, con presencia internacional.

Agradecemos tu interés, sin embargo, únicamente las personas seleccionadas para entrevista serán contactadas.

**Scotiabank es una empresa incluyente, que respeta la diversidad y no hace ningún tipo de discriminación**"
Senior Cyber Security Network Engineer,Senior Cyber Security Network Engineer,NielsenIQ,May,2024,"Company Description

REFID625273

NielsenIQ is working toward a position of greater maturity within the Network Security technology domain. This position will be responsible for maintaining current technologies while working toward implementing more sophisticated means of visibility and control of network traffic. You will be supporting programs across all geographies and business units.

Job Description

As a Senior Cyber Security Network Engineer, you will be responsible for ongoing maintenance and operations of current tools so that their abilities are actualized. Additionally, there will be significant uplift to modernize a variety of tools and implement new means of visualizing egress and ingress traffic. The ability to implement novel solutions and platforms is critical. The primary focus will be on NielsenIQ-hosted solutions but will also incorporate various tools across a diverse array of cloud platforms with a strong focus on Azure solutions.

This position will involve working closely with Enterprise IT, network infrastructure teams and the Governance Risk and Controls team to deploy and operate various tools.

What you will do

Proactively identify opportunities to improve our security controls, enhance threat detection and reduce attack surfaces
Develop and deploy innovative network-based security solutions
Spearhead POC (Proof of Concept) activities and participate in decision making for new product analysis and selection
Review network security requests and modifications; advise and consult with requestors as necessary
Work with Enterprise IT to drive best practices across global networks
Write, create, and update documentation for internal teams, technical users, and end users
Provide secondary support for endpoint software (EDR, AV, content filtering, etc.) issues, as and when required
Interface with vendors to drive product enhancements as well as issue resolution in a timely manner
Create and present training materials for non-technical users
Provides mentorship and guidance to junior members of the team
Act as an escalation point for high severity issues for timely resolution
Drive, as well as support, organization-wide campaigns to drive security foundations into all technology

Qualifications

Hands-on experience with network analysis and security tools such as packet capture and analysis, firewalls, web application firewalls, web proxy/SWG, routing/switching, DNS, application layer networking, transport layer security (encryption/decryption), certificate handling and wireless technologies
Hands-on experience with tools such as F5 WAF, Azure WAF, Defender Network Protection and ZScaler
Expert level understanding of the OSI model
Fundamental knowledge of endpoint security tools (EDR, AV, etc.), how they operate and what their role is in defense-in-depth
Ability to directly support incident response teams and participate in ongoing IR as required
Knowledge of sophisticated hacking techniques, malicious actors, IOCs, TTPs and the ability to translate intelligence into action is desirable
Demonstrated experience with change management in enterprise production environments
Knowledge of scripting languages such as PowerShell, Python
Ability to manipulate large datasets using tools such as Excel, PowerBI, SQL
Knowledge of MITRE ATT&CK and NIST CSF frameworks
Self-starter, technology and security hobbyist, enthusiast
Bachelor’s degree in a technical field including Computer Science, Information Systems, Math, Physics, Science or similar desired - experience in government, military or in other capacities with similar focus can be substituted

Additional Information

About NIQ

NIQ is the world’s leading consumer intelligence company, delivering the most complete understanding of consumer buying behavior and revealing new pathways to growth. In 2023, NIQ combined with GfK, bringing together the two industry leaders with unparalleled global reach. With a holistic retail read and the most comprehensive consumer insights—delivered with advanced analytics through state-of-the-art platforms—NIQ delivers the Full View™.

NIQ, is an Advent International portfolio company with operations in 100+ markets, covering more than 90% of the world’s population. For more information, visit NIQ.com.

Want to keep up with our latest updates?

Follow us on: LinkedIn | Instagram | Twitter | Facebook

Our commitment to Diversity, Equity, and Inclusion

NIQ is committed to reflecting the diversity of the clients, communities, and markets we measure within our own workforce. We exist to count everyone and are on a mission to systematically embed inclusion and diversity into all aspects of our workforce, measurement, and products. We enthusiastically invite candidates who share that mission to join us.

We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Our global non-discrimination policy covers these protected classes in every market in which we do business worldwide.

Learn more about how we are driving diversity and inclusion in everything we do by visiting the NielsenIQ News Center: https://nielseniq.com/global/en/news-center/diversity-inclusion/

NIQ or any of our subsidiaries will never ask you for money at any point of the recruitment or onboarding process."
Security Risk Consultant,Security Risk Consultant,Santander Digital Services,May,2024,"En Santander Digital Services somos parte del equipo global de Tecnología y Operaciones del Santander, uno de los grupos bancarios más importantes en Europa y América. Trabajamos para que Santander se convierta en la mejor plataforma abierta de servicios digitales financieros.

Forma parte del equipo ONE North America como una fuerza de trabajo tecnológica dedicada al 100% a los objetivos de negocio de las entidades del Banco Santander US. El equipo incluye perfiles como Desarrolladores, Arquitectos, Finanzas, Scrum Masters, Infosec y muchos otros.

Estamos en búsqueda del perfil: Security Risk Consultant.

El candidato exitoso será un persona con experiencia identificando, evaluando y probando riesgos y controles de TI. Opera dentro de la primera línea de defensa como responsable del Control de Negocios y Gestión de Riesgos (Tecnología de la Información y Autoevaluación de Control).

Responsabilidades

Ejecución y supervisión de la s pruebas de los procesos de TI.
Facilitar el conocimiento de la línea de negocios (TI) y cumplimiento de los marcos, políticas y estándares de riesgo a través de pruebas de control interno y validación de problemas.
Informar, escalar las excepciones , facilitando las acciones correctivas de Business Line (IT).
Respaldar y supervisar el cumplimiento de TI con las políticas y procedimientos corporativos, incluidas las obligaciones reglamentarias/legales.
Asegurar el Cumplimiento de los marcos, políticas y estándares de riesgo.
Realizar mapeo de procesos, matrices de control y riesgo, evaluaciones de riesgos inherentes y pruebas de control de TI.

Requisitos:

Ciencias de la Computación, Ciencias de la Información Informática y/o campo relacionado con la tecnología.
Gestión de Riesgos de TI, Controles Internos, Auditoría, experiencia relevante en la línea de negocio.
Inglés Avanzado IMPRESCINDIBLE.

Experiencia:

Mínimo 6 años dentro de los programas de Auditoría de Tecnologías, RCSA de Tecnologías y experiencia en ejecución de pruebas de control IT (ITGC).
Ejecución de pruebas de controles de TI en múltiples dominios y evaluación de controles automáticos y manuales relacionados con la seguridad de la información y/o dominios de infraestructura de TI.
Programa de autoevaluación de riesgos y controles.
Desarrollo y documentación de procedimientos de prueba.

Skills:

Capacidad para trabajar en múltiples evaluaciones simultáneas.
Evaluación de riesgos, negociación y resolución de problemas.
Colaboración y gestión de relaciones.

Ubicación:
CDMX / Querétaro."
Arquitecto de seguridad,Arquitecto de seguridad,Santander Digital Services,May,2024,"Position Summary

The role is responsible for designing and developing comprehensive security architectures, strategies, policies and programs to assess, prioritize, and mitigate business risk with technology controls in bank's technology. The role´s specific focus includes mitigating and managing cyber security threats to the cloud, ensuring systems availability, aligning with global regulatory risk and compliance requirements, managing systems and network complexity.

Qualifications:
- University Degree or equivalent experience.
- Minimum 12 years of prior relevant experience including prior management experience.
- Minimum 3 years of financial services experience
- Advanced Information Security Certification from (ISC)2, ISACA or equivalent (CISSP, CRISC, CCSP, etc.)
- Excellent communication skills in English and Spanish to effectively collaborate with team members and stakeholders.

Experience:
- Designed application authentication and authorization solutions including Single-Sign-On, Multi-Factor Authentication, OAuth, OpenID Connect, SIEM, CSPM, Key Management Systems and related technologies for workloads moving to the cloud.
- Experience with Scrum, Kanban and SAFe Agile practices and strong aptitude to work in a DevOps culture and environment.
- Full-stack development experience building application software, test automation, and infrastructure as code
- Familiar with cloud automation frameworks (Terraform, Ansible) and cloud provided automation tools (Azure Resource Manager Templates).
- Hands-on work experience working with SOAP and REST APIs, microservices design
- Experience in private network connectivity using Express Routes, Direct Connect, etc.
- Familiarity with load balancing technologies - ILB (Internal Load Balancers), Application Gateway, WAF (Web App Firewall), F5 appliance solutions, etc.
- Familiarity with network security principles (Network Security Groups, Application Security Groups), Private Link Services, Service Endpoint, Service Tags, etc.
- Familiarity with OWASP and integrations with static code analysis and dynamic code analysis tools.
- Thorough understanding and experience with AZURE & AWS native controls
- Good knowledge / hands-on experience in the following in AZURE & AWS
- Network Security Groups and Micro-segmentation concepts
- UDR and Load balancers
- VPN Gateways and ExpressRoute connection
- Firewalls
- Service tags and service endpoints
- NAT and PAT concepts
- Automation frameworks (Terraform, Ansible) and automation scripts to support the cloud environment tools
- Security Events and Incident Management (SEIM)

Duties & responsibilities:

Cyber Security (Architecture, Development):
- Assess architectural patterns for service account authentication, Privileged Access Management, DevSecOps pipeline, security logging and monitoring, audit logging, and compliance guidance and monitoring.
- Responsible for protecting the Bank, customers, and employees by mitigating and identifying technology threats to Santander.
- Provide expertise for cyber security technical and non-technical solutions; review and provide guidance enabling business system in the cloud while leveraging Platform as a Service (PaaS), Infrastructure as a Service (IaaS) and Software as a Service (SaaS) in a manner that adheres to Santander information security policy and standards.
- Review and approve target state deployment topology, High-Level Architecture and network interactions for the Public Cloud Workloads
- Share cloud technology expertise with application architects and provide consultative support to application teams including assessment of connectivity requirements, VNet/VPC, and subnet design and recommendations.
- Collaborate with US-based and international team members on various security projects."
ARQUITECTO DE SEGURIDAD EN REDES,ARQUITECTO DE SEGURIDAD EN REDES,Total Cyber-Sec,May,2024,"**ARQUITECTO DE SEGURIDAD EN REDES**

Conocimientos en:

Implementación de tecnologías de redes a nivel empresarial, Swiching, routing, Security (Firewalls, IPS, VPN, NAC)
Diseño de soluciones de comunicaciones a nivel empresarial (soluciones que den servicio miles de usuarios)
Evaluación de tecnologías de red y seguridad en las redes.
Implementación de modelos de ciberseguridad en alguna organización.
Routing and Swiching.
Firewall
WAF
Seguridad en redes.

Principales funciones:

Evaluación y corrección de arquitecturas en proceso de certificación por parte de las áreas de sistemas de Grupo Salinas.
Prueba de funcionalidades de ciberseguridad en servicios de comunicaciones.
Auditoria de ecosistemas de red y todos sus componentes
Evaluación de estándares internacionales en ciberseguridad aplicables a los sistemas de comunicaciones. 

Ofrecemos:

Sueldo competitivo.
Prestaciones de ley
Vacaciones iniciando con 12 días al año
Prima vacacional del 25% anual
Aguinaldo de 15 días al año el cual aumenta de acuerdo con la antigüedad

¡Construye tu historia de éxito con nosotros!

Interesados postularse por este medio."
Cyber Security Risk Analyst III,Cyber Security Risk Analyst III,Mindbody,May,2024,"We're revolutionizing the fitness & wellness industry, and we’re looking for talented people to help us do it. Mindbody + ClassPass bring together the best of both sides of the market: Mindbody is the industry’s most trusted all-in-one technology platform; ClassPass is one of the most popular apps for fitness & self-care enthusiasts. Together we’re partnering with more than 70,000 fitness studios, gyms, salons, and spas around the world. We’re not just another tech company—we’re far and away the leader of our industry. So join the team, work with mission-led people, and enjoy amazing benefits. Let’s see what we can accomplish together!

Who we are

We’re a passionate engineering, platform, and operations team, developing and supporting ground-breaking products. Together, we’ll build for the future, creating more opportunities for wellness businesses around the world to help their customers lead full, healthy lives. We push ourselves and our company to always strive for this higher purpose, recognizing the power in working together toward the same goal. We believe in building a diverse company where everyone feels safe bringing their authentic selves to work. And we believe that the secret to success is our people.  Join the team, and let’s see what we can accomplish together!

Your role

As a Cyber Security Risk Analyst III you’ll be a part of a team of cyber security GRC and resilience experts focused on the identification, assessment, continuous monitoring, and reporting of cyber security risks across the organization. You’ll pursue continuous improvement to help Mindbody achieve its mission: Powering the world’s fitness and wellness businesses and connecting them with more consumers, more effectively, than anyone else.

You'll likely spend time working on

Developing and driving light-touch information security risk assessments including identification, assessment and measurement across different data sets, tools and cloud environments
Implementing and managing an effective SaaS security risk management program
Documenting, tracking and evaluating the effectiveness of risk mitigation efforts performed by cross-functional teams
Conducting threat models to identify, understand exposures and communicate possible treatment strategies
Creating dashboards and presentation materials for various levels of stakeholders including management
Analysis, validation, and reporting on risk posture, exposure, KRI’s and treatment status
Defining Mindbody’s security risk tolerance levels
Gaining a deep understanding of Mindbody’s security controls and how they mitigate our risks.

About The Right Team Member

You love to collect and analyst data to identify and communicate overall risk posture, exposures and risk treatment options. You know the best platform is created through collaboration and iteration and you’re looking for the right opportunity, and the right team, to expand your experience. You seek feedback because it can turn good work into great work. You like to conduct security risk analysis that helps identify and articulate risk, you value simplicity, and you strive to eliminate unnecessary complexity.

At Mindbody value team members who are curious, practical, and-openminded), and who care about our product, their teammates, and their own personal growth. We’re faced with an interesting set of technical challenges, and we believe in giving our engineers the freedom to create solutions based on their unique perspective.

Much of our team comes from non-traditional computing backgrounds. In bringing together diverse voices, we’ll build a better product, and a better company. We care less about which languages or frameworks you know, and more that you’re excited to produce high-quality code and be consciously evolving. Our engineers work in cross-functional, collaborative teams focused on impact. We work very closely with our brilliant product team to deliver a world-class user experience, and ultimately to empower our users to create and grow successful businesses.

You'll thrive in this role with experience in

5-7 years’ experience in a similar role with one or more of the following: CISSP, CRMP, CRISC certifications
Conducting quantitative and qualitative risk analysis
Implementing security risk management processes and frameworks like NIST CSF and FAIR
Using analytical risk models
Cyber security principles, risk management strategies, and IT governance frameworks
Excellent communication and interpersonal skills, with the ability to interact with stakeholders at all levels and explain security risk concepts in a way that is easy to understand
Strong problem-solving skills and the ability to think strategically and analytically
Experience with cloud environments, particularly AWS, is preferred.

Technologies you'll be working with

While we value experience with these technologies, we’re primarily looking for team members with strong analytical skills and the ability to quicky pick up new tools and frameworks

AWS
Wiz
Axonius
GRC tools such as Auditboard or similar
Power BI
Python
Excel

Have we piqued your curiosity?

Sound like the role for you? We’d love to hear from you! Even if you’re not 100% sure about potential fit, we still encourage you to apply. We’re looking for the right person, not the perfect series of checkboxes.

Mindbody is an Equal Opportunity Employer. We highly value diversity at our company and encourage people of all different backgrounds, experiences, abilities and perspectives to apply. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or other protected characteristics."
