Position,Company_Name,Location,Post_Month,Post_Year,Details
Desarrollador Java/DataPower (Jr) - (DJD0201-0001),Desarrollador Java/DataPower (Jr) - (DJD0201-0001),Rules Cube,May,2024,"DESARROLLADOR JAVA/DATAPOWER (JR)

Estamos buscando un Desarrollador Java/DataPower (Jr) talentoso de para unirse a nuestro equipo en la Ciudad de México.

Perfil esperado

Asegurarse que cada fase de los proyectos en las que se participa, se cierre formalmente con la elaboración de los entregables correspondientes a dicha fase
Analizar, especificar y programar soluciones informáticas a las diversas iniciativas recibidas, así como implantar en producción las soluciones desarrolladas
Apoyar en mantener un ambiente propicio para la ejecución exitosa del trabajo

Requisitos Indispensables para ser Considerado

Licenciatura en sistemas o carrera afín. Pasante o titulado
Inglés técnico (lectura de documentos técnicos)
Conocimiento en lenguajes y herramientas de programación
Versionamiento de componentes (código fuente).
Conocimiento en metodologías de desarrollo de software
Manejo de web Service, SOAP y REST
Experiencia 1 año en sector bancario

Requisitos Deseables

Conocimiento en lenguajes y herramientas de programación JAVA
Experiencia deseable en sector financiero
Conocimiento en Base de Datos SQL y DB2
Manejo de sistemas operativos Linux
Conocimiento en metodologías agiles
Conocimientos Spring

Lo Que Ofrecemos

Empleo en nómina desde el primer día
Seguro de salud para tu tranquilidad y bienestar
Participación en proyectos desafiantes que promueven el crecimiento profesional e innovación
Rango salarial competitivo: MXN 28,000 - MXN 31,000

Powered by JazzHR

8QIlnDAFd9"
Desarrollador Java Spring - (DJS0201-0001),Desarrollador Java Spring - (DJS0201-0001),Rules Cube,May,2024,"Desarrollador Java Spring

Estamos buscando un Desarrollador Java Spring talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

3 años de experiencia en el sector bancario
Amplios conocimientos en el consumo de servicios REST y SOAP (preferiblemente doble día)
Experiencia en Oauth 2.0 y JWT
Familiaridad con el consumo de procedimientos almacenados
Dominio en pruebas unitarias, cubriendo al menos el 80% de la aplicación
Habilidad en el manejo de excepciones y repositorios
Capacidad analítica sólida
Conocimientos básicos de la nube Anthos

Requisitos Indispensables para ser Considerado

Conocimientos intermedios de las herramientas JIRA, Confluence y Bitbucket
Experiencia en metodologías ágiles

Requisitos Deseables

Experiencia con IDEs de desarrollo Java Spring
Familiaridad con herramientas para consumir servicios como SoapUI y Postman

Qué te Ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 30,000 – MXN 37,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

DEZePsVcTe"
Desarrolladora / Desarrollador de Software Frontend para IT Bootcamp,Desarrolladora / Desarrollador de Software Frontend para IT Bootcamp,Mercado Libre,May,2024,"En Mercado Libre estamos democratizando el comercio, el dinero y los pagos en América Latina. ¡Sumate al propósito!
IT Bootcamp es nuestro programa de capacitación regional para Software Developers que quieran sumarse al enorme desafío de desarrollar la plataforma tecnológica líder en América Latina.
Quienes hayan atravesado exitosamente todo el proceso de selección serán parte del programa. Desde el primer día ingresarán a la compañía como Software Developer en IT, con dedicación full time y, durante los primeros dos meses, tendrán la oportunidad de vivir un plan intensivo de entrenamiento en el stack tecnológico de Mercado Libre, totalmente diseñado y creado por nuestros referentes técnicos. Aprenderán y fortalecerán sus conocimientos en los distintos lenguajes de programación con los que trabajamos en la compañía, hacer pruebas de código seguro y sobre bases de datos. La capacitación técnica también incluye metodologías ágiles y herramientas de monitoreo.
¡Una vez que hayan completado el entrenamiento, estarán en el nivel adecuado para trabajar codo a codo con nuestro equipo y se incorporarán a proyectos estratégicos!
Tenemos un desafío para quienes:
Vibran energía emprendedora: se mueven por la curiosidad, nunca se rinden y se enfocan en superar sus propios límites.
Dan el máximo porque les gusta trabajar con compromiso y dedicación.
Viven los cambios como oportunidades y aprenden de sus errores.
La excelencia y la ejecución son claves en su forma de hacer las cosas.
Promueven el buen clima, aportan alegría y diversión.
Saben cómo construir con otras personas y disfrutan trabajando en equipo.
Imaginate emprendiendo proyectos desafiantes, dinámicos e innovadores y siendo responsable de:
Contribuir en el diseño y la creación de productos que impactan directamente en la vida de miles de personas a diario.
Colaborar en definiciones de arquitectura, pensando siempre en soluciones que resulten escalables.
Programar código de calidad y garantizar que todo funcione correctamente antes de ser implementado.
Requisitos:
Haber finalizado o estar en la etapa final de tecnicaturas o carreras de grado como Ingeniería en Informática, Ciencias de la Computación o afines.
Contar con un máximo de 3 años de experiencia laboral en roles de programación.
Poseer conocimientos básicos teóricos de programación y estructuras de datos, como variable, función, if, bucle, operadores, de HTML, CSS, Javascript, y conocimientos del concepto de versionado, como GIT.
Residir en Ciudad de México.
Te proponemos:
Ser parte de una compañía con espíritu emprendedor en la que nos encanta pensar en grande y a largo plazo.
Ser protagonista de tu desarrollo en un ambiente de oportunidades, aprendizaje, crecimiento, expansión y proyectos desafiantes.
Compartir y aprender en equipo junto a grandes profesionales y especialistas.
Un excelente clima de trabajo, con todo lo necesario para que vivas una gran experiencia. :)"
Desarrollador Java EE - (DJE0201-0001),Desarrollador Java EE - (DJE0201-0001),Rules Cube,May,2024,"Desarrollador Java EE

Estamos buscando un Desarrollador Java EE talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

Conocimientos sólidos en Java Servlets y Web Services, así como en entornos AIX y Websphere | Redhat JBOSS

Requisitos Indispensables para ser Considerado

Lenguajes: Java SE, Java EE, Tandem
Herramientas en equipo: OpenJDK17, IntelliJ, OutsideView, Dimensions, Primecode, WSKToolkit, JavaScript, HTML, CSS, Maven, GIT, Tomcat

Requisitos Deseables

Experiencia en el sector bancario (no excluyente)

Qué te Ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 30,000 – MXN 34,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

Kzm4UqPtd7"
Desarrollador Python - (PYT0201-0001),Desarrollador Python - (PYT0201-0001),Rules Cube,April,2024,"Desarrollador Python

Estamos buscando un Desarrollador Python talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

Experiencia en análisis, mapeo, carga y validación de datos, así como en reutilización, parametrización y diseño de flujos de trabajo
Conocimiento en pruebas unitarias, integrales y de aceptación de usuarios
Experiencia práctica en diseño, construcción, prueba e implementación de soluciones ETL/integración de datos
Capacidad para comprender, definir y documentar requisitos de ETL

Requisitos Indispensables para ser Considerado

Dominio intermedio de Python, con enfoque en:
Extracción/carga de información de diversas bases de datos (PostgreSQL, DB2, Sybase, MS SQL Server, etc.)
Uso de JSON
Manejo de errores/logs
Ingeniería de datos
Encriptación de datos
SQL avanzado
Shell scripting (Linux) avanzado
Lectura de archivos
Orquestación de procesos
Retorno/manejo de errores
Creación/mantenimiento de procesos programados por schedulers (Control-M, TIDAL, etc.)
Requisitos Deseables

Conocimientos en HIVE, HADOOP y JIRA

Qué te Ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 33,000 – MXN 43,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

A6LK9B0zAx"
Programador backend Jr.,Programador backend Jr.,Macropay,May,2024,"En Macropay estamos buscando colaboradores innovadores; creativos en evolución constante que nos ayuden marcar la diferencia. Somos una empresa que ha revolucionado la industria retail con una nueva forma de conectar a las personas a través de la venta de celulares a crédito. Ofrecemos diversos productos financieros, de manera eficiente, ágil, cómoda y confiable.

¡Ven a romper límites con nosotros!

Vacante: Programador Backend Jr.

Requisitos

Sede: Mérida (Presencial)

Escolaridad: Ingeniero en informática, en sistemas o licenciatura relacionada.

Actividades

Analizar, desarrollar e implementar aplicaciones complejas que cumplan las necesidades del negocio de acuerdo a las definiciones de las arquitectura de software indicadas y apegadas a las mejores prácticas de diseño y desarrollo de software.

Participar y/o coordinar en nuevos proyecto de software basándose en las mejores prácticas de ingeniería de software en cuestión de desarrollo y pruebas de calidad

Deberá de documentar a través de un control de cambios (RFC) peticiones para realizar despliegues los entornos de desarrollo (DEV)

Evaluar a los programadores SSR y JR de acuerdo al periodo de tiempo asignado a los proyectos en los que participan

Manejo de estrés

Manejo de conflictos y proponer soluciones

Organizar el repositorio de control de versiones de código de software

¿Qué ofrecemos

Sueldo base competitivo

Fondo de ahorro

Beneficios superiores: Gastos Médicos Mayores, Seguro de Vida, Seguro de Accidentes, Vales de Despensa, entre otros.

Retos constantes y crecimiento profesional.Requerimientos

Educación mínima: Educación superior - Licenciatura
2 años de experiencia
Edad: entre 25 y 45 años

Palabras clave: developer, desarrollador, juniorHace 6 días (actualizada)"
Desarrollador SQL - (SQL0201-0001),Desarrollador SQL - (SQL0201-0001),Rules Cube,April,2024,"Desarrollador SQL

Estamos buscando un Desarrollador SQL talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

Experiencia mínima de 3 años en el uso de SQL Server como desarrollo a nivel senior (desarrollo de objetos y modelado de datos)
Experiencia de 3 años en el manejo de SQL Server Integration Services a nivel senior
Experiencia en el sector bancario

Requisitos Indispensables para ser Considerado

Conocimientos en C# y Visual Basic
Experiencia en Microsoft SQL Server 2012 o superior
Conocimiento de Python para la extracción y tratamiento de datos
Competencia en Power BI (reportes y tableros)
Conocimientos de calidad de datos y gobierno de datos

Requisitos Deseables

Conocimiento en SQL server Reporting Services

Qué te Ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 30,000 – MXN 40,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

gzfs9lGNkm"
Desarrollador iOS - (IOS0201-0001),Desarrollador iOS - (IOS0201-0001),Rules Cube,March,2024,"Desarrollador iOS

Estamos buscando un Desarrollador iOS talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

Capacidad para diseñar y crear aplicaciones avanzadas para la plataforma de Apple
Habilidad para descubrir, evaluar e implementar de forma continua nuevas tecnologías con el objetivo de maximizar la eficiencia del desarrollo
Experiencia en la solución de problemas y mejora del rendimiento de las aplicaciones
Colaboración con equipos multidisciplinarios para definir, diseñar y lanzar nuevas funcionalidades

Requisitos Indispensables para ser Considerado

Experiencia laboral demostrada en desarrollo de software (más de 2 años)
Trayectoria en desarrollo iOS
Dominio de Swift
Publicación de una o más aplicaciones en la App Store
Experiencia con inyección de dependencias
Familiaridad con bibliotecas y APIs de terceros como Retrofit y Firebase
Conocimiento práctico de arquitecturas limpias y principios SOLID
Experiencia en programación reactiva (Swift Combine, Swift UI)
Conocimiento de Gitflow para el versionamiento de código
Profundo entendimiento del ciclo de vida de desarrollo de aplicaciones móviles
Conocimiento de persistencia segura de datos
Experiencia en seguridad en la comunicación de aplicativos

Qué te Ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 50,000 – MXN 55,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

VasJqLzgkQ"
Desarrollador Java y Python - (DEJ0201-0007),Desarrollador Java y Python - (DEJ0201-0007),Rules Cube,May,2024,"Desarrollador Java y Python (DEJ0201-0007)

Estamos buscando un Desarrollador Java y Python talentoso y experimentado para unirse a nuestro equipo en la Ciudad de México.

Perfil Esperado

Desarrollador con al menos 3 años de experiencia y amplios conocimientos en lenguajes de programación web, como Java y Python
Pensamiento analítico y capacidad para resolver problemas técnicos
Experiencia en localización, resolución y documentación de problemas técnicos
Habilidad para formar y apoyar a usuarios finales
Alta disponibilidad y adaptabilidad al cambio

Requisitos Indispensables para ser Considerado

Experiencia en operaciones CRUD en SQL
Dominio de Java
Experiencia en conexiones a bases de datos SQL utilizando Java y Python
Habilidad para lectura y escritura de archivos con Java y Python
Conocimiento de librerías de manipulación y análisis de datos (por ejemplo: pandas, Spring, JSF)
Experiencia en desarrollo de software, scripting y automatización con Java y Python
Conocimiento de distribuciones UNIX (Red Hat Linux, Debian, etc.)
Pensamiento analítico y capacidad para resolver problemas técnicos
Experiencia en formación y apoyo a usuarios finales

Requisitos Deseables

Conocimiento en SQL Integration Services
Experiencia en el mercado de capitales

Qué te Ofrecemos

Contrato en nómina desde el primer día
Seguro médico para tu tranquilidad y bienestar
Participación en proyectos desafiantes que fomentan el crecimiento profesional y la innovación
Rango salarial competitivo: MXN 37,000 – MXN 44,000

¡Si cumples con estos requisitos y estás listo para un nuevo desafío, te invitamos a aplicar y unirte a nuestro equipo!

Powered by JazzHR

Z35YBmZ8eS"
"DevOps Engineer Microcentro, CABA ID 10038","DevOps Engineer Microcentro, CABA ID 10038",EducacionIT,May,2024,"Nuestro cliente, está transformando cómo desarrollan productos de software las empresas. Unite!

Te proponemos sumarte a una empresa donde trabajan con metodologías ágiles, su mayor asset lo construye la gente

Estarás participando de proyectos interesantes con tecnologías de punta, la cultura que profesamos es 100% de puertas abiertas, la estructura organizacional a la que tendemos es horizontal, los socios fundadores trabajan codo a codo con vos y son felices de ser fuente de consulta.

Sos del interior y te interesa venir a vivir a Bs As? Charlemos!"
