Position,Company_Name,Location,Post_Month,Post_Year,Details
Desarrolladora / Desarrollador de Software Frontend para IT Bootcamp,Desarrolladora / Desarrollador de Software Frontend para IT Bootcamp,Mercado Libre,May,2024,"En Mercado Libre estamos democratizando el comercio, el dinero y los pagos en América Latina. ¡Sumate al propósito!
IT Bootcamp es nuestro programa de capacitación regional para Software Developers que quieran sumarse al enorme desafío de desarrollar la plataforma tecnológica líder en América Latina.
Quienes hayan atravesado exitosamente todo el proceso de selección serán parte del programa. Desde el primer día ingresarán a la compañía como Software Developer en IT, con dedicación full time y, durante los primeros dos meses, tendrán la oportunidad de vivir un plan intensivo de entrenamiento en el stack tecnológico de Mercado Libre, totalmente diseñado y creado por nuestros referentes técnicos. Aprenderán y fortalecerán sus conocimientos en los distintos lenguajes de programación con los que trabajamos en la compañía, hacer pruebas de código seguro y sobre bases de datos. La capacitación técnica también incluye metodologías ágiles y herramientas de monitoreo.
¡Una vez que hayan completado el entrenamiento, estarán en el nivel adecuado para trabajar codo a codo con nuestro equipo y se incorporarán a proyectos estratégicos!
Tenemos un desafío para quienes:
Vibran energía emprendedora: se mueven por la curiosidad, nunca se rinden y se enfocan en superar sus propios límites.
Dan el máximo porque les gusta trabajar con compromiso y dedicación.
Viven los cambios como oportunidades y aprenden de sus errores.
La excelencia y la ejecución son claves en su forma de hacer las cosas.
Promueven el buen clima, aportan alegría y diversión.
Saben cómo construir con otras personas y disfrutan trabajando en equipo.
Imaginate emprendiendo proyectos desafiantes, dinámicos e innovadores y siendo responsable de:
Contribuir en el diseño y la creación de productos que impactan directamente en la vida de miles de personas a diario.
Colaborar en definiciones de arquitectura, pensando siempre en soluciones que resulten escalables.
Programar código de calidad y garantizar que todo funcione correctamente antes de ser implementado.
Requisitos:
Haber finalizado o estar en la etapa final de tecnicaturas o carreras de grado como Ingeniería en Informática, Ciencias de la Computación o afines.
Contar con un máximo de 3 años de experiencia laboral en roles de programación.
Poseer conocimientos básicos teóricos de programación y estructuras de datos, como variable, función, if, bucle, operadores, de HTML, CSS, Javascript, y conocimientos del concepto de versionado, como GIT.
Residir en Ciudad de México.
Te proponemos:
Ser parte de una compañía con espíritu emprendedor en la que nos encanta pensar en grande y a largo plazo.
Ser protagonista de tu desarrollo en un ambiente de oportunidades, aprendizaje, crecimiento, expansión y proyectos desafiantes.
Compartir y aprender en equipo junto a grandes profesionales y especialistas.
Un excelente clima de trabajo, con todo lo necesario para que vivas una gran experiencia. :)"
Programador FronEnd Jr,Programador FronEnd Jr,Macropay,May,2024,"¡Únete a nuestro equipo como Programador FronEnd Jr en Macropay!

En Macropay estamos buscando un talentoso Programador FronEnd Jr para unirse a nuestro equipo de desarrollo. Buscamos a alguien con conocimientos en React, Capa 2, Cloud, Front end, QA, UX, UI, Interfaces centradas en usuario, y experiencia trabajando en proyectos desafiantes.

Como Programador FronEnd Jr, serás responsable de contribuir al desarrollo y mejora de nuestras aplicaciones web y móviles. Trabajarás en estrecha colaboración con nuestro equipo de desarrollo, diseñadores y especialistas en experiencia de usuario para garantizar que nuestras interfaces sean intuitivas, atractivas y centradas en el usuario.

Las Responsabilidades Clave Incluyen

Desarrollar y mantener aplicaciones web y móviles utilizando las últimas tecnologías de front-end, como React.
Colaborar con el equipo de diseño para crear interfaces atractivas y funcionales.
Realizar pruebas de calidad (QA) para garantizar la estabilidad y el rendimiento de nuestras aplicaciones.
Colaborar con el equipo de back-end para asegurar la integración y el correcto funcionamiento de las interfaces con los sistemas internos y externos.
Investigar y mantenerse actualizado sobre las últimas tendencias y mejores prácticas en el campo del desarrollo front-end.

Requisitos

Conocimientos sólidos en React, Capa 2, Cloud, y tecnologías relacionadas.
Experiencia previa trabajando en proyectos front-end.
Conocimientos de QA y experiencia en pruebas de calidad preferente.
Excelentes habilidades de interfaz centrada en el usuario y experiencia de usuario.
Conocimientos de diseño de interfaces y experiencia en UI/UX preferente.
Capacidad para trabajar en equipo y comunicarse eficazmente con otros miembros del equipo.

¡Si buscas unirte a un equipo dinámico y apasionado por la innovación en el sector financiero, Macropay es el lugar para ti! Ofrecemos un entorno de trabajo colaborativo, oportunidades de crecimiento y un paquete de beneficios completos.

Ofrecemos

Prestaciones de ley y superiores.
Oportunidades de crecimiento y desarrollo profesional.
Ambiente de trabajo con liderazgo enfocado a las personas, colaborativo y motivador.
Capacitaciones y entrenamientos especializados.
Posibilidad de participar en proyectos innovadores.
Prestaciones de ley y superiores.
Gastos médicos mayores.
Seguro de vida.
Vales de despensa.
Fondo de ahorro.
Beneficios y descuentos con acceso a restaurantes, gimnasios como Smart Fit , Sport World y más.

Si estás interesado en esta emocionante oportunidad, por favor envía tu currículum.

¡Esperamos tener noticias tuyas pronto!Requerimientos

Educación mínima: Educación superior - Licenciatura

Palabras clave: developer, desarrollador, juniorHace 3 días (actualizada)"
Desarrollador Front-end Jr,Desarrollador Front-end Jr,Sunwise,May,2024,"Buscamos talentosos desarrollador Front-end Jr

Sunwise es una empresa que ofrece soluciones de software para la cotización y gestión de proyectos solares fotovoltaicos. Nuestro software te permite realizar presupuestos de manera rápida, en cualquier momento y lugar, y mejorar el desempeño de tu empresa y el cierre de ventas.

Estamos buscando un desarrollador Front-end con conocimiento de JavaScript.

Si te apasiona la energía solar y quieres formar parte de un equipo dinámico y en crecimiento, ¡esta es tu oportunidad!

Responsabilidades

Crear y mantener la interfaz de usuario de una aplicación.
Colaborar con diseñadores y desarrolladores back-end para asegurarse de que la interfaz de usuario sea coherente con la funcionalidad subyacente de la aplicación.
Realizar pruebas de calidad y depuración para garantizar que la interfaz de usuario funcione correctamente en diferentes navegadores y dispositivos.
Mantenerse al tanto de las tendencias y tecnologías emergentes en el campo del desarrollo front-end.

Requisitos

Conocimientos de HTML, CSS y JavaScript para la creación de interfaces de usuario.
Capacidad para trabajar en equipo y comunicarse de manera efectiva con otros miembros del equipo, como diseñadores y desarrolladores back-end.
Conocimientos de energía solar, redes eléctricas e informática, no es indispensable.

Beneficios

Salario competitivo acorde al mercado.
Oportunidad de crecimiento profesional dentro de la empresa.
Capacitación continua sobre el producto y el sector solar.

Trabaja presencial de lunes a viernes de 9:00 am a 6:00 pm

Sueldo a partir de $8,000 MXN dependiendo de la experiencia y el conocimiento"
Software Engineer,Software Engineer,Konfío,May,2024,"¡Únete a la revolución Fintech y construye el futuro de las finanzas en México!

¿Quiénes somos?
Somos la empresa de tecnología financiera líder en México, impulsando a más de 70.000 clientes a alcanzar sus sueños. Nuestra misión es empoderar a las pequeñas y medianas empresas del país con soluciones innovadoras (financiamiento, tarjeta de crédito y pagos) para superar sus desafíos y convertirlas en los motores del crecimiento económico. Aspiramos a ser el aliado ideal de los emprendedores, contribuyendo al desarrollo de la comunidad, el país y el planeta.
 ¿Eres un apasionado/a de la tecnología y buscas un reto emocionante?
¡Únete a nuestro equipo de ingeniería de software y forma parte de la transformación del sector financiero!
 Tu reto:
Serás el responsable de desarrollar soluciones escalables y de alta calidad en frontend y backend, utilizando tecnologías de vanguardia como React, Python y servicios de AWS. Seguirás las mejores prácticas de desarrollo de software y cumplirás con los requisitos establecidos por el Tech Lead y el Product Manager.
 Responsabilidades:
Desarrollar código limpio, mantenible y de alta calidad siguiendo las mejores prácticas de software.
Construir soluciones escalables y robustas que atiendan a las necesidades de nuestros clientes.
Implementar soluciones frontend y backend utilizando React, Python y servicios de AWS.
Colaborar con un equipo multidisciplinario para crear soluciones innovadoras y eficientes.
Elaborar código reutilizable y documentado para facilitar el mantenimiento y la colaboración.
Identificar y corregir errores en los sistemas, optimizando su rendimiento.
Garantizar la calidad del desarrollo mediante pruebas unitarias y de funcionalidad completa.
Documentar los avances en las reuniones diarias del equipo y dar seguimiento a las tareas asignadas.
Contribuir al crecimiento del equipo compartiendo conocimiento, resolviendo dudas y fomentando un ambiente de trabajo positivo.
 ¿Qué ofrecemos?
Un ambiente de trabajo dinámico y colaborativo donde podrás desarrollar tu potencial al máximo.
Oportunidades para aprender y crecer profesionalmente utilizando tecnologías de vanguardia.
Un equipo apasionado y talentoso con el que podrás compartir conocimientos y experiencias.
Paquete de compensación competitivo y beneficios atractivos.
La oportunidad de impactar positivamente en la vida de miles de personas y contribuir al desarrollo del país.
 ¿Qué buscamos?
Licenciatura en informática, ingeniería, física, matemáticas o experiencia equivalente.
Sólida experiencia en desarrollo de software front end utilizando SPAs y backend utilizando Python.
Dominio del inglés a nivel intermedio.
Experiencia con AWS Services, Git, herramientas de integración continua, Python, JavaScript y SQL.
Mínimo 3 años de experiencia en desarrollo web frontend y backend.
Excelentes habilidades de comunicación, colaboración y resolución de problemas.
Actitud proactiva, pasión por la tecnología y compromiso con la excelencia."
Programador frontend Jr.,Programador frontend Jr.,Macropay,May,2024,"En Macropay estamos buscando colaboradores innovadores; creativos en evolución constante que nos ayuden marcar la diferencia. Somos una empresa que ha revolucionado la industria retail con una nueva forma de conectar a las personas a través de la venta de celulares a crédito. Ofrecemos diversos productos financieros, de manera eficiente, ágil, cómoda y confiable.

¡Ven a romper límites con nosotros!

Vacante: Programador frontend Jr.

Sede: Mérida (Presencial)

Requisitos

Escolaridad: Ingeniero en informática, en sistemas o licenciatura relacionada.

Actividades

Conocimiento en desarrollo de interfaces con react, TS, JS y peticiones a API´s y despliegue en nube

Desarrollo de pruebas unitarias automatizadas

conocimiento en el desarrollo de nuevas arquitecturas

Desarrollo con NextJs

Dominio de tecnologías front end vigentes.

Experiencia comprobable de trabajo efectivo con QA, Back y UX

Conocimiento sólido de análisis de interfaces centradas en cliente/usuario, comprobable por proyectos anteriores y/o conocimiento de métricas.

¿Qué ofrecemos

Sueldo base competitivo

Fondo de ahorro

Beneficios superiores: Gastos Médicos Mayores, Seguro de Vida, Seguro de Accidentes, Vales de Despensa, entre otros.

Retos constantes y crecimiento profesional.Requerimientos

Educación mínima: Educación superior - Licenciatura
2 años de experiencia
Edad: entre 22 y 45 años

Palabras clave: developer, desarrollador, juniorHace 7 días (actualizada)"
Junior Full Stack Developer,Junior Full Stack Developer,CodersLink Talent,May,2024,"We are seeking resourceful Junior Full Stack Developer capable of navigating into a large codebase, to integrate the development team for a large web application.

Requirements

Ability to navigate and contribute to a large and partially complex codebase (+ 500 000 lines).
Strong problem-solving skills
Proficiency in MySQL, familiarity with using an ORM
Knowledge of developing and working with REST API
Use of Docker
Knowledge of Git good practices.
Effective collaboration and communication skills (in English) within a team environment
Diligent, rigorous
For the lead developer profile, knowledge in terms of code review and code quality is required."
Programador Jr.,Programador Jr.,"Alia, Integrando Talento",April,2024,"¡Únete a nuestro equipo como Programador Jr. ! 🚀

Si te consideras un apasionado de la programación y estás listo para sumergirte en el emocionante mundo del desarrollo de aplicaciones, ¡este trabajo es perfecto para ti!

¿Qué necesitas para brillar en esta posición?

Conocimiento sólido en programación orientada a objetos
Familiaridad con el desarrollo de aplicaciones web y escritorio en .Net
Capacidad para trabajar en equipo y comunicarse efectivamente con otros miembros del equipo

Responsabilidades:

Desarrollar y mantener aplicaciones utilizando lenguaje .Net, C# y Visual Basic
Colaborar con el equipo de desarrollo para diseñar soluciones efectivas y eficientes
Probar, depurar y mejorar el código de las aplicaciones

Requisitos:

Requisitos:

Experiencia: mínima de 1 años como desarrollador web
Conocimientos en lenguajes de programación .NET, C#, y/o Visual Basic
Licenciatura en tecnología o afín, pasante y/o titulado

¡Beneficios de unirte a nuestro equipo!

Salario base.
Home office
Oportunidades de crecimiento y desarrollo profesional.
Ambiente de trabajo colaborativo y dinámico.

¿Estás listo para unirte a un equipo en el que tu trabajo marque la diferencia? ¡Aplica ahora y comienza tu viaje con nosotros! 🌟"
"Front End Developer Palermo, CABA ID 100276","Front End Developer Palermo, CABA ID 100276",EducacionIT,March,2024,"Nuestro cliente es un importante holding de medios y está lanzando un nuevo producto educativo.

Estamos ayudándolos a armar su equipo y necesitamos sumar Desarrolladores Front End SSR/SR

Requerimos Experiencia Con

Procesos de Diseño – HTML – SASS (FW) (CSS) – MaterializeMecanismo de Autenticacion – JWT – O OUTJava ScriptType ScriptFrameworks – Angular 1, 2 o + / NGRX / Redux

Beneficios

PREPAGA MEDICUS PLAN CORPORATE – GRUPO FAMILIARALMUERZO A CARGO DE LA EMPRESAMERIENDACAFETERIA LIBRELLAVE DE SNACKSGYMPASS (GYM)HOMEWORKING

También tenés la posibilidad de aprender nuevas tecnologías y de participar en un proyecto de educación muy importante

Locacion: Palermo, CABA"
Frontend Developer Jr,Frontend Developer Jr,Tendencys Innovations,May,2024,"Tendencys Innovations es una empresa internacional con presencia en más de 17 países, enfocada en el desarrollo de soluciones logísticas y de comercio electrónico para la gestión de tu empresa. Desarrollamos y trabajamos con múltiples servicios; Envia.com, Ecart.com, EcartPay, WMS y Parapaquetes.

¿Qué esperamos de ti en el área? Como Desarrollador Web estamos en búsqueda de una persona capaz de generar un cambio radical en el área de la tecnología, con deseos de aprender y crecer profesionalmente aportando ideas, brindando resultados y mejorando día a día cada uno de nuestros proyectos.

Para nosotros es muy importante que cumplas con los siguientes requisitos:

Licenciatura en Tecnologías de la Información, Ingeniería en Software, o carrera afín (titulado o en proceso).
Experiencia mínima de 1 año trabajando como Desarrollador Front End.
Ingles Intermedio-Avanzado.


Conocimiento y habilidades:

Diseño y desarrollo de interfaces web.
Consumo de APIS.
Dominio de Framework JavaScript tales como Vue.js
Manejo de Git.
Desarrollo y mantenimiento de admin web usando JavaScript.
Animaciones CSS.
Bootstrap y otros Frameworks CSS.


Como será tu día a día:

Planificaras y ejecutaras el diseño y desarrollo de interfaces web innovadoras.
Gestionaras la integración de APIs para un flujo de datos eficiente.
Te encargaras del desarrollo y mantenimiento de interfaces administrativas web utilizando JavaScript.
Crearas y perfeccionaras animaciones mediante CSS para mejorar la experiencia del usuario.
Implementaras módulos responsivos e intuitivos que se adapten a diversas plataformas y dispositivos.
Fomentaras una colaboración eficaz y armoniosa con el equipo de trabajo.
Garantizaras el cumplimiento de estándares de diseño y la coherencia en todas las interfaces del producto, manteniendo así la integridad visual y funcional.


Te ofrecemos:

Sueldo de $20,000.00 a $25,000.00 con base a la experiencia.
Contratación directa con nuestra empresa.
Capacitación pagada.
Horarios de lunes a viernes de 09:00 a.m. a 06:00 p.m.
Híbrido
Cursos de desarrollo profesional
Prestaciones de ley.
Seguro de gastos médicos menores.
Seguro de vida.
50% Seguro de gastos médicos mayores.
Adelanto de nómina de los días trabajados.
Oportunidad de desarrollo, crecimiento y plan de carrera."
Programador backend Jr.,Programador backend Jr.,Macropay,May,2024,"En Macropay estamos buscando colaboradores innovadores; creativos en evolución constante que nos ayuden marcar la diferencia. Somos una empresa que ha revolucionado la industria retail con una nueva forma de conectar a las personas a través de la venta de celulares a crédito. Ofrecemos diversos productos financieros, de manera eficiente, ágil, cómoda y confiable.

¡Ven a romper límites con nosotros!

Vacante: Programador Backend Jr.

Requisitos

Sede: Mérida (Presencial)

Escolaridad: Ingeniero en informática, en sistemas o licenciatura relacionada.

Actividades

Analizar, desarrollar e implementar aplicaciones complejas que cumplan las necesidades del negocio de acuerdo a las definiciones de las arquitectura de software indicadas y apegadas a las mejores prácticas de diseño y desarrollo de software.

Participar y/o coordinar en nuevos proyecto de software basándose en las mejores prácticas de ingeniería de software en cuestión de desarrollo y pruebas de calidad

Deberá de documentar a través de un control de cambios (RFC) peticiones para realizar despliegues los entornos de desarrollo (DEV)

Evaluar a los programadores SSR y JR de acuerdo al periodo de tiempo asignado a los proyectos en los que participan

Manejo de estrés

Manejo de conflictos y proponer soluciones

Organizar el repositorio de control de versiones de código de software

¿Qué ofrecemos

Sueldo base competitivo

Fondo de ahorro

Beneficios superiores: Gastos Médicos Mayores, Seguro de Vida, Seguro de Accidentes, Vales de Despensa, entre otros.

Retos constantes y crecimiento profesional.Requerimientos

Educación mínima: Educación superior - Licenciatura
2 años de experiencia
Edad: entre 25 y 45 años

Palabras clave: developer, desarrollador, juniorHace 6 días (actualizada)"
