Position,Company_Name,Location,Post_Month,Post_Year,Details
Windows Admin - Híbrido,Capital Empresarial Horizonte,"Mexico City, Mexico",June,2024,"Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información Solicita:

Windows Admin

Perfil

Escolaridad: Ingeniería en Sistemas, Informática o afín.

Experiencia: 3 años de experiencia.

Lugar a laborar: Alcaldía Benito Juárez , CDMX ó Guadalajara ó Monterrey ó Querétaro

(forma de laborar híbrida 2 días en casa y 3 presenciales)

Funciones Que Deberá Dominar

Experiencia en la administración de servidores Windows
Rendimiento de resolución de problemas en servidores de Windows
Clústeres de Microsoft y conocimiento de Powershell
Instalación de software de seguridad parcheado y software en servidores
Conocimientos de Poweshell sobre cómo recopilar estadísticas de servidores y crear automatizaciones
Beneficios:
Brindamos una oportunidad de carrera emocionante y desafiante en una compañía líder en el mercado. Ofrecemos salarios competitivos, beneficios completos y muchas oportunidades de crecimiento y desarrollo profesional.
Horario de Oficina , Lunes a Viernes
Sueldo de hasta $55,000 brutos dependiendo aptitudes (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 12 días de vacaciones + 2 por año, PTU) Comunicarse con la Lic. Nayeli Barrientos al 55 57 00 95 69 y 56 47 73 99 19. o al correo de: contacto (arroba) horizonteempresarial.com.mx Nos comunicaremos contigo a la brevedad."
IT System Admin,IT System Admin,"RealTruck, Inc.",May,2024,"POSITION SUMMARY / Advanced English Mandatory
To plan, implement, maintain, and configure the IT infrastructure, including but not limited to servers, switches, routers, firewalls, phone systems, power, and cooling both on the premise and in the cloud.

CORE FUNCTIONS / Advanced English Mandatory
Support cloud system management with cloud provider such as Microsoft O365, Azure, and AWS
Sustain highly performant phone system operations using network traffic prioritizations and other optimizations
Fully support installation, configuration, setup and monitoring of hardware and virtualization environments as well as their operating systems (Windows, Linux)
Manage internal DNS resolution utilizing established procedure
Storage, SAN and Hyper-converged infrastructure installation, operation and troubleshooting
Provision, maintain and configure Microsoft Active Directory infrastructure
Support security patching activities on a frequent basis
Support the enforcement of established IT policy
Assist in configuring and monitoring backup solutions (cloud based, on site) and strategies
Provide support for networking components within campus locations (printers, wifi access points, security cameras, POE devices)
Configure routers, switches and firewalls
Configure monitoring and alerting of support systems throughout the company
Work weekends and after-hours as needed
Manage and support of 24X7 infrastructure at multiple facilities
Support and assist with any THI Corporate initiatives that require our assistance

QUALIFICATIONS & REQUIREMENTS / Advanced English Mandatory
Education and Experience
Bachelor Degree in Computer Science, or related field is required
Knowledge of COBIT or ITIL frameworks a plus
Must have demonstrated knowledge in routing, switching, security, and connectivity
Experience in the Cisco product suite is required. Additional experience with products from such vendors as Fortigate, Juniper, F5, Riverbed, Brocade, are also pluses
IT/Network certifications such as Cisco, Microsoft, Redhat, and VMWare certifications are highly desirable
Experience with Networking, network design and network security experience, including topics such as traffic prioritization, VPN, IDS/IDP
Understanding of routing protocols and networking fundamentals
Experience with any Linux OS is required
Experience with Windows, Exchange and Office365"
Windows Administrator,Windows Administrator,Tata Consultancy Services,May,2024,"Hi,

Warm greetings! I work with Tata Consultancy Services and I'm excited to connect with you. I noticed that you are open to work and I have a job opportunity that could be a perfect match for you, given your open-to-work preferences.

Tata Consultancy Services is looking for a Windows admin with Powershell to join our team on a full-time basis.
Work location: Guadalajara (onsite)
Above:4+ years of Experience.


If you are interested. Kindly share updated resume in English to m.ammu@tcs.com


Best regards,
Ammu"
Systems Administrator,Systems Administrator,"Solera, Inc.",May,2024,"The Role
We are looking for a technically skilled & highly motivated individual with a keen eye for detail, a strong analytical mindset, and with a focus on quality, to work within our Global IT Organization. This role requires a wide range of experience supporting customer-facing web applications. The successful candidate will demonstrate strong technical knowledge and skills & the drive and ability to leverage these to improve the efficiency & effectiveness of the project team. This should be the type of individual who has the capability to eventually, once qualified in their mission, take on additional opportunities.
What You Will Do
Effectively deploy applications by building automation suites.
Provide on-call support on a rotational basis and effectively diagnose / triage / fix systems during outages
Be accountable for application health, uptime, monitoring and disaster recovery.
Routinely remediate and secure applications in alignment with security policies.
Assist project teams in technical design, strategy, planning and implementation of application rollouts.
Perform daily operational tasks such as completing change requests, resolving incident tickets, application monitoring and problem triage.
Produce and maintain application documentation.
Adopt DevOps practices to drive the use of automation to simplify routine tasks.
Consistently collaborate, cross-train and be secondary support on multiple areas within the team
What You’ll Bring
4+ years’ experience supporting customer-facing web applications in a production environment.
Undergraduate degree in computer science or information technology or equivalent work experience.
Working experience in a multi-platform, multi-data center IT environment.
Experience automating tasks using scripting languages like PowerShell and Bash.
APM and Synthetic monitoring, alerting, and troubleshooting.
Proven experience supporting web-based applications.
Experience creating and maintaining good documentation.
Microsoft IIS & web application support.
4 + Proficiency in installing/troubleshooting Linux, Windows, middle-ware technologies
PowerShell, Bash and other scripting languages.
Basic networking knowledge (preferred)
Willing, ready and able to learn and execute the Solera Way.
Strong analytical and problem-solving skills with the ability to use initiative to identify, analyze and resolve complex problems.
Excellent interpersonal and communication skills to establish and maintain collaborative work relationships at all levels.
Willingness to identify, implement and drive improvements.
Proactive, enthusiastic and output driven.
Attention to detail.
Enthusiasm for learning new technologies.
Flexibility with regards to working outside normal business hours as required.
Ability to:
Effectively communication in English (Required) across all organizational levels (both verbal and written)
Prioritize, delegate, and deliver tasks in a pressurized high output-focused environment.
All other related and/or additional responsibilities that may be required or assigned."
IT System Administrator,IT System Administrator,Job Duck,May,2024,"JOB DUCK IS HIRING AN IT SYSTEM ADMINISTRATOR

Job Duck is a virtual staffing company that matches candidates to work from home for a single U.S.-based business, in most cases a law firm.

The IT System Administrator is responsible for maintaining the efficient functioning of our organization's IT systems and infrastructure. This includes overseeing the installation and upgrading of new hardware and software, troubleshooting to resolve any IT system issues, and evaluating potential threats to the Company.

Monthly Compensation: 1,500 USD

Duties and responsibilities will include, but are not limited to the following:

Setting up and maintaining computer hardware, software, and applications to align with company objectives and standards.
Implementing security protocols and procedures to mitigate potential threats.
Managing user accounts by creating, modifying, and deleting them, along with overseeing permissions and access levels.
Monitoring system performance, identifying, and resolving performance issues.
Documenting processes, backing up, and archiving data for data recovery contingencies.
Developing data retrieval and recovery protocols.
Providing training to company employees.
Offering IT support to end-users and IT staff, serving as an escalation point from tier 1 support.
Collaborating with the Information Security Administrator to enforce and sustain security measures like firewalls, antivirus software, and access controls against cyber threats.
Managing and deploying O365 applications such as Exchange Online, MS Teams, and SharePoint Online.
Troubleshooting and resolving Azure services-related issues.
Managing user accounts in authentication platforms like Okta and ensuring data integrity within our Azure Active Directory environment.
Maintaining Azure and Office 365 profiles and subscriptions.
Staying updated with IT administration advancements and best practices.

Skills:

Analytical Skills
Problem-solving ability
Strong interpersonal skills
Technical proficiency
Troubleshooting expertise
Effective communication
Teamwork capabilities
Organization & time management proficiency
Attention to detail
Conflict resolution skills
Learning agility
Adaptability

Qualifications:

Bachelor’s degree or diploma in IT, computer science, engineering, or related field, or relevant certifications like COMPTia certification.
Minimum of 2 years of experience in a similar role.
Proficient in Microsoft technologies including Word, Excel, Exchange Online, O365, Teams, and SharePoint, as well as other IT systems such as ERP systems, OKTA, and Azure AD.
Proficient in implementing best practices in IT administration and system security.
Familiarity with Workday is beneficial but not a requirement


You're welcome to apply through the following link:

https://flywheel.wd5.myworkdayjobs.com/Job_Duck_Careers/job/Remote---Argentina/IT-System-Administrator_R-101052?source=LinkedIn

We encourage you to apply now!
Are you looking for a work-life balance? Duck for it!
Every candidate has to pass each step in our application process to become part of our team."
Windows System Administrator,Windows System Administrator,Tata Consultancy Services,May,2024,"Hi,

Warm greetings! I work with Tata Consultancy Services and I'm excited to connect with you. I noticed that you are open to work and I have a job opportunity that could be a perfect match for you, given your open-to-work preferences.

Tata Consultancy Services is looking for a Windows admin with Powershell to join our team on a full-time basis.
Work location: Guadalajara-Onsite


If you are interested. Kindly share updated resume in English to m.ammu@tcs.com


Best regards,
Ammu"
SysAdmin Windows,SysAdmin Windows,Coniter,May,2024,"Las tareas de administración de parches incluyen mantener el conocimiento total de nuestra infraestructura crítica de servidores para mantener sus programaciones de parches a instalar, así mismo certificar que parches son apropiados para sus remediaciones.
Garantizar que dichos parches se instalen de manera coordinada para probar y certificar en los sistemas previos para documentar los procedimientos asociados.
Atención a escaneos de vulnerabilidades reportados por Seguridad para atender aquellos que por su pronta remediación se les da la más alta criticidad a nivel riesgos críticos y altos.
Mantener el nivel de cumplimiento de hardening bajo las prácticas del CIS Benchmark.

Funciones y/o finalidades
Proporcionar gestión y administración en servidores Windows.
Participar en la gestión y contención y atención de riesgos de seguridad reportados.
Desarrollar y probar parches de seguridad para Windows.
Certificar la instalación de parches de seguridad en Windows de los sistemas de alta producción y almacenar en servidores críticos.
Mantener actualizado el cumplimiento de KRI.
Asegurar la correcta gestión de cumplimiento en los controles críticos de la industria, tales como PCI.
Documentar procedimientos de instalación de parches y métodos de remediación.
Revisar y probar parches de seguridad críticos para mantener actualizados los sistemas Windows en cuanto a remediación de vulnerabilidades.
Mantener el nivel de cumplimiento de hardening bajo las mejores prácticas del CIS Benchmark."
Windows System Administrator,Windows System Administrator,"Pyramid Consulting, Inc",May,2024,"Job Title: Windows System Admin
Location: GDL, CDMX, MNTRY

Job Description:
Strong Windows 2016-2019-2022 Administration and tuning
Performance Tuning
OS Patching
IIS Webserver support
Active Directory Management
Users and Group Management
DNS/NS Management
SSL Certificate Management – nice to have
Knowledge of protocols such as DNS, LDAP, SMTP.
AWS or GCP Cloud experience (Preferably AWS)
AWS cloud associate certificate solution architect – GCP engineer – (nice to have)
Expert in PowerShell intermediate and advance, and/or Python scripting (nice to have)
Jenkins CI/CD
Source Code Control Management like Git
Terraform or Ansible
On-call support 24/7."
Linux System Admin- Remote,Linux System Admin- Remote,"The Dignify Solutions, LLC",May,2024,"Experience of Linux operating systems RHEL, CentOS, Ubuntu and SUSE.
Experience on Physical and Virtual environment
Good Knowledge of Linux scripting languages BASH, Ansible, and CIS
Experience in Cluster configuration.
Good Knowledge on Upgrade, Migration and Patch of LINUX based Operating systems.
User management.
Experience in LVM, YUM
Experience installing, configuring, and maintaining services such as SFTP, FTP, MySQL, NTP, NFS, SAMBA etc.
Experience with virtualization technologies, such as VMware"
Windows Admin Middle - Híbrido,Capital Empresarial Horizonte,"Mexico City, Mexico",May,2024,"Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información Solicita:

Windows/Wintel Admin

Perfil

Escolaridad: Ingeniería en Sistemas, Informática o afín.

Experiencia: 3 años de experiencia.

Lugar a laborar: Alcaldía Benito Juárez , CDMX ó Guadalajara ó Monterrey ó Querétaro

(forma de laborar híbrida 2 días en casa y 3 presenciales)

Funciones Que Deberá Dominar

Experiencia en la administración de servidores Windows
Rendimiento de resolución de problemas en servidores de Windows
Clústeres de Microsoft y conocimiento de Powershell
Instalación de software de seguridad parcheado y software en servidores
Conocimientos de Poweshell sobre cómo recopilar estadísticas de servidores y crear automatizaciones
Beneficios:
Brindamos una oportunidad de carrera emocionante y desafiante en una compañía líder en el mercado. Ofrecemos salarios competitivos, beneficios completos y muchas oportunidades de crecimiento y desarrollo profesional.
Horario de Oficina , Lunes a Viernes
Sueldo de hasta $85,000 brutos dependiendo aptitudes (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 12 días de vacaciones + 2 por año, PTU) Comunicarse con la Lic. Vanessa Martinez al 55 57 00 95 69 y 56 47 73 99 19. ó al correo de: talento (arroba) horizonteempresarial.com.mx Nos comunicaremos contigo a la brevedad."
