Position,Company_Name,Location,Post_Month,Post_Year,Details
Sistemas (recién egresados),Sistemas (recién egresados),Grupo Scanda,April,2024,"¡Únete a nuestro equipo en Scanda como Sistemas (recién egresados)!

¡Hola! En Scanda, una empresa líder en el sector administrativo en Naucalpan, estamos en busca de talento recién egresado en sistemas para que se una a nuestro equipo. Si te apasiona el mundo de la tecnología y estás buscando una oportunidad para poner en práctica tus conocimientos, ¡esta oferta es para ti!

Requisitos:

Egresado en ingeniería en sistemas, informática o carrera afín.
Mínimo 1 año de experiencia en puestos similares.
Conocimiento en sistemas administrativos.
Disponibilidad para trabajar en Naucalpan.

Funciones:

Desarrollo, implementación y mantenimiento de sistemas administrativos.
Soporte técnico a usuarios internos.
Colaboración en la identificación y solución de problemas en los sistemas.
Documentación de procesos y actividades relacionadas con sistemas.

Habilidades:

Proactividad y capacidad para trabajar en equipo.
Orientación al detalle y calidad en el trabajo.
Buena comunicación y disposición para aprender.
Capacidad para resolver problemas y tomar decisiones de manera eficiente."
Store Systems Engineer,Store Systems Engineer,IKEA,May,2024,"Company Description

La visión de IKEA es crear una mejor vida cotidiana para la mayoría de las personas. Hacemos esto al ofrecer una amplia gama de productos para el hogar bien diseñados, funcionales y a precios tan bajos que tantas personas como sea posible tengan acceso a los mismos.

Estamos decididos a traer un poco de Suecia a México.

Job Description

This role supports Store IT systems, service requests and IT incidents incl. IT hardware

equipment, application systems and operations. The role requires working closely with

store co-workers, super users, SO IT team and external IT vendors to ensure high

availability, stability and security of IT system to support store activities and operations.

Qualifications

Perform day-to-day IT operations and support activities in the store ensuring that IT systems perform with high availability, performance and security.
Investigate, trouble-shoot, follow up and communicate with store users on their IT support incidents and service requests with resolution, closure, work-around and escalation.
Perform Store IT support according to IT policies, standards and SOPs.
Support IT audit, compliance and security reviews & assessments.
Support implementation of local Store IT project activities within planned scope, schedule and budgets.
Support Store super users in testing, training, implementation and upgrade of Store IT systems incl. associated technical documentation.
Support and coordinate with SO IT in system security patches and anti-virus updates on Store IT systems on need basis.
Maintain inventory records of hardware, software license and support contracts.
Support IT hardware, software, license and subscription compliance through physical checks and tools (Service Desk and SCCM).
Coordinate on-site work with authorised vendors during rebuild, relocations or repairs.
Support SO IT and Store BN in IT budget preparation and contract renewal of Store IT hardware, software licenses, application support, subscription & other IT services procurement with due diligence.
Support system & data backup, recovery procedures to ensure effective and timely recovery of business data & IT services in the event of an emergency or disaster situation.
Provide standby weekend & after office support if required or rostered.

Additional Information

Motivation:

Passionate about IT solutions and trends in retail industry.
Teamwork and Service oriented mind-set.
Strong sense of achievement in driving IT operational support.

Knowledge:

A diploma in IT Professional disciplines (Computer / Information Technology)
Minimum 3 years of experience in IT support role
Practical knowledge to support super users, system support and testing
Practical experience in IT support including Service Desk, System monitoring,
Backup & restore, Patching & Malware protection
IT Support experience of IT systems in retail environment (Microsoft Navision, LS Retail, POS, CRM, SQL Database).
Working knowledge of IT infrastructure, network and security technologies
(Windows Servers, Active Directory, Azure, VMWARE, EMC Storage, CISCO Routers, Switches & WLAN, Firewall, SCCM and Azure Cloud)
Familiar with store operations, e-commerce and retail business processes

Capabilities:

Install and configure computer hardware, operating systems, servers, storage,
networks, printers and applications
Maintain, monitor, troubleshoot and support computer systems and networks incl. POS, Printers, Scanners, Wi-Fi, MGF devices, Desktops, Laptops and Tablets.
Resolve IT support issues and service requests in a structured and timely manner.
Excellent team work and establish good working relationship with users and service providers.
Customer service mind-set, self-starter, process improvement orientation.
Able to work under time pressure with problem solving, priority driven and business focussed approach.
A technical, logical thought process with good communication in English."
AUXILIAR EN SISTEMAS,AUXILIAR EN SISTEMAS,Amedirh Talento,May,2024,"Descripción empresa:

En AMEDIRH compartimos el TALENTO de las personas de acuerdo con sus conocimientos, experiencias y competencias que realzan el valor de la cultura de nuestros socios con comportamientos y actitudes que los diferencian del mercado laboral.

Misión del cargo:

Desarrollar, implementar y mantener sistemas automatizados de información, así como revisar y evaluar nuevas tecnologías.

Funciones del cargo:

REQUISITOS

Licenciatura o Ingeniería en Sistemas Computacionales.
Deseable 2 años de experiencia en puesto similar.ACTIVIDADES
Supervisar todos los sistemas e infraestructuras instalados están estables.
Instalar, configurar, probar y mantener sistemas operativos, el software de las aplicaciones, DMS BPRO y las herramientas de gestión de sistemas.
Supervisar y probar el rendimiento de las aplicaciones para evitar cuellos de botella y retrasos de operación, identificar posibles soluciones, y reportarlos al DMS para obtener un resultado exitoso.
Mantener estrategias de seguridad, copias de seguridad de los sistemas.
DMS`s.
Ofrecer soporte de nivel dos y tres.
Colaborar con los proveedores y otros empleados de TI para la solución de
Problemas.
Proponer el establecimiento de principios firmes de ingeniería, para obtener programas computacionales económicos que sean confiables y funcionen eficientemente.Salario: $21,000 + Prestaciones de leyZona de trabajo: Álvaro Obregón, CDMX
Requisitos:
Soporte tpecnico-Lic o Ing Sistemas computacionales
Condiciones oferta:
Sueldo neto mensual: 21000
Descripción proceso de selección:

El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.

Para postular solo necesitas:

Postular a la oferta
Revisar tu email
Ingresar a Aira y contestar las preguntas y/o pruebas solicitadas

Luego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial."
SISTEMAS COMPUTACIONALES,SISTEMAS COMPUTACIONALES,Coppel,May,2024,"En nuestra sede de Celaya, Guanajuato, estamos en búsqueda de personal en Sistemas Computacionales para unirse a nuestro equipo en el área de Tecnología, Sistemas y Telecomunicaciones.

Como parte de nuestro equipo, tendrás la oportunidad de participar en el desarrollo de sistemas computacionales innovadores que mejorarán la experiencia de millones de mexicanos a través de nuestro ecosistema omnicanal que incluye tiendas Coppel, BanCoppel, Afore Coppel y plataformas digitales.

Buscamos personas apasionadas por la tecnología, con habilidades en programación y desarrollo de software, que busquen crecer y aprender en un ambiente colaborativo y de constante innovación.

En esta posición, tendrás la oportunidad de contribuir en proyectos que impactan directamente la vida de nuestros clientes, manteniendo nuestros valores de confianza, responsabilidad, atención y servicio, eficiencia y sencillez, y fomentando la cultura de la innovación.

Si estás buscando unirte a una empresa que valora la inclusión, la diversidad y la igualdad de oportunidades, ¡esta puede ser tu oportunidad para crecer profesionalmente en el mundo de los sistemas computacionales!


Requisitos


DISPONIBILIDAD DE HORARIOS
CARRERA CONCLUIDA EN SISTEMAS
CONTANCIA DE SITUACIÓN FISCAL (regímen sueldos y salarios e ingresos asimilados).
DISPONIBILIDAD PARA VIAJAR.

Beneficios

SUELDO BASE
PRESTACIONES SUPERIRORES A LA LEY
BECA PARA ESTUDIOS
DESCUENTOS EN COMPRAS
PTU
FONDO DE AHORRO

Somos una empresa mexicana, fundada en Culiacán, Sinaloa. En 2021 cumplimos 80 años mejorando la vida de millones de mexicanos.

Tenemos presencia en todos los estados de la república y contamos con más de 139 mil colaboradores, lo que nos convierte en uno de los 10 principales empleadores del país.

Nuestro modelo de negocio está conformado por una amplia oferta de productos y servicios comerciales y financieros que operan transversalmente bajo el ecosistema omnicanal, lo que significa que podemos tener acceso a nuestros clientes por varios medios como

Tiendas Coppel
BanCoppel
Afore Coppel
Ambiente digital (.com y apps)

Coppel es una comunidad en donde la dignidad humana prevalece sobre cualquier otra condición, por ese motivo, apoyamos la inclusión, la diversidad y la igualdad de oportunidades, sin hacer diferencia por raza, lugar de origen, religión, creencias, edad, imagen, orientación

sexual, identidad de género, discapacidad, etc.

Propósito

Apoyarte en tus necesidades y deseos, acercándote un mundo de posibilidades para que mejores tu vida.

Valores

Confianza

Responsabilidad

Atención y Servicio

Eficiencia y Sencillez

Innovación"
Becario Sistemas,Becario Sistemas,Cia de Talentos Latam,May,2024,"Esta vacante viene de la bolsa de empleo Talenteca.com

Vacante para la empresa Cia de Talentos - BBVA en Cuauhtémoc, Ciudad de México

Buscamos al mejor talento para que nos ayude a crecer y transformarse con nosotros, por lo que hemos creado un programa especial para ti.

Buscamos a estudiantes mujeres de último semestre apasionadas por la programación, con disponibilidad de medio tiempo, para que se unan a nuestro programa de TI “Becarias BIT” en el cual trabajarán durante 6 meses en proyectos pertenecientes al área de Engineering y Data.

Las áreas en las que podrás desarrollarte con base a tu perfil, son las siguientes: Información, Seguridad, Arquitectura, Prevención de delitos financieros y Seguridad Corporativa.

Fecha de graduación: marzo 2025 - junio 2025.
Carreras: Ingeniería en Sistemas, Computación, IT, Tecnología de Software, Mecatrónica o afines.
Inglés: a partir de Intermedio.
Disponibilidad de medio tiempo (25 horas semanales).
Residir en CDMX.
Conocimiento en Java, SQL y deseable conocimiento básico de Python o R, inteligencia artificial, análisis multivariado o segmentaciones.

Nivel De Educación Deseada

Superior - cursando

Nivel De Experiencia Deseada

Practicantes

Función Departamental

Tecnología / Internet

Industria

Bancaria

Esta Vacante Viene De La Bolsa De Empleo Talenteca.com

https://www.talenteca.com/anuncio?j_id=6657c6eb270000470026b967&source=linkedin"
Ingeniero/a superior de sistemas,Ingeniero/a superior de sistemas,Deuser a Minsait Business (Indra group),May,2024,"Cualificación y capacidades

Titulación mínima de Técnico Superior en Administración de Sistemas Informáticos en Red o equivalente.

Despliegue y admin. de Windows Server y Linux.
Despliegue y admin. de sistemas de virtualización: VMWare, Proxmox, Hyper-V.
Sistemas de almacenamiento distribuido: VSan, CEPH.
Configuración y administración de redes: Switching, routing, Wireless, firewall, IDS/IPS, VPN.

Experiencia profesional

Departamento de sistemas: mínimo 5 años.
Resolución de incidencias L1 y L2.
Puesta en marcha de infraestructuras IT.

Se Valorará Certificación En

Infraestructuras Microsoft: Active Directory, LDAP, GPO, DHCP, DNS, WSUS.
Despliegue y administración de MSSQL Server y MySQL.
Administración de infraestructura en la nube: Office 365, Azure, AWS.
Migración de infraestructuras P2V.
Sistemas de backup para infraestructuras IT.
Despliegue y mantenimiento de sistemas de seguridad industrial: EDR, monitorización activa y pasiva, infraestructuras zero-trust."
Aux. Sistemas,ESAR SOLUCIONES EN RECLUTAMIENTO,"Ciudad Cuauhtémoc, Chiapas, Mexico",May,2024,"Despacho ubicado en la Col. Roma solicita Aux. Sistemas

Funciones

 Gestionar y mantener la infraestructura tecnológica

 Asegurar el correcto funcionamiento de los sistemas informáticos (hardware/software de la organización)

 Responsable de todo lo relacionado con el almacenamiento y procesamiento de la información. (Respaldos de información).

 Estar actualizado en las últimas tecnologías

 Brindar soluciones eficientes y efectivas a problemáticas que puedan presentarse

Ofrecemos

 Horario de lunes a viernes 8:00 am a 6 pm

 Modalidad de trabajo: Presencial

 Sueldo mensual neto y prestaciones de ley

 Capacitación profesional constante"
Auxiliar en Sistemas,Auxiliar en Sistemas,Key Talent Recursos Humanos,May,2024,"Esta vacante viene de la bolsa de empleo Talenteca.com

Vacante para la empresa KT Talento Clave en Ladron De Guevara -Guadalajara, Jalisco

Únete a nuestro equipo de trabajo!

Solicita Auxiliar de Sistemas Tiempo Completo

Requisitos

Egresado de Licenciatura / Ingeniería en sistemas o afín.

Experiência similar mínima de 1 año.

Disponibilidad Inmediata

Funciones

Soporte (hardware y software) presencial y remoto

Instalación y configuración de dispositivos informáticos

Administración de redes y servidores

Cableado estructurado, manejo de CCTV, gestionar inventarios, procedimientos y políticas de seguridad

Respaldos de sitios Share Point

Habilidades: Proactivo, Responsable, Actitud de servicio, Amable, Organizado.

Oferta Laboral

Sueldo Inicial $ 10,500 Mensuales Libres

Sueldo por planta: $ 12,000 Mensuales Libres

Prestaciones de Ley desde el primer día (IMSS, Infonavit, Prestaciones de Ley)

Zona de trabajo: Colonia Ladrón de Guevara, Guadalajara Jalisco

Horario de Lunes a Viernes de 9:00 am a 6:00 pm Sábados medio día

Interesados enviar su CV actualizado con fotografía.

Nivel De Educación Deseada

Superior - titulado

Nivel De Experiencia Deseada

Nivel Inicial

Función Departamental

Tecnología / Internet

Industria

Consultoría, asesoría y servicios empresariales

Habilidades

Trabajo en equipo
Responsabilidad
honestidad

Esta Vacante Viene De La Bolsa De Empleo Talenteca.com

https://www.talenteca.com/anuncio?j_id=66354b932900004400ea741d&source=linkedin"
Auxiliar en Sistemas,Auxiliar en Sistemas,SIAP Firma de Recursos Humanos,May,2024,"Esta vacante viene de la bolsa de empleo Talenteca.com

Vacante para la empresa SOLUCION INTEGRAL DE ADMINISTRACION DE PERSONAL S. DE R.L. DE C.V en San Juan Del Rio. -San Juan Del Río, Querétaro

Auxiliar de Sistemas.

Requisitos

Licenciatura en informática, ingeniería en sistemas, ingeniería en TIC’S.
Disponibilidad de ingreso Inmediata.
Experiencia en el puesto.

Funciones

✓ Llevar a cabo campañas por redes sociales.

✓ Seguimiento de la página web así como su mejora.

✓ Desarrollar herramientas para campañas de publicidad en base a un CRM.

✓ Levantamiento de requerimientos para mejoras dentro de la empresa.

✓ Programación de nuevos requerimientos.

✓ Soporte técnico.

✓ Documentación de actividades.

Conocimientos

✓ Manejar perfectamente una computadora para programas como:

Paquetería de Office

Configuración y soporte de correos corporativos.

Manejo de programa de diseño

✓ Conocimientos en redes

Cable estructurado

Configuración de routers

✓ Conocimientos en diseño y programación

Diseño de base de datos MySQL

Manejo de Visual *

PHP, CSS, JS (Indispensable).

Diseño de Páginas web (deseable Joomla) o algún otro framework

✓ Conocimientos en mantenimientos de equipos de cómputo e impresoras

Conocer las partes de una computadora

Saber dar mantenimiento preventivo y correctivo a equipos de computo

Saber resolver un problema de conexión de impresoras

Saber resolver un problema de conexión para equipos de computo

✓ Conocimientos para respaldar información

Conocimientos

Horarios

Lunes a Viernes de 7:00am a 5;00pmy el dia sábado de 7:00am a 11:00am

con una hora de comida

Nivel De Educación Deseada

Superior - titulado

Nivel De Experiencia Deseada

Nivel Medio

Función Departamental

Tecnología / Internet

Industria

Servicios Públicos

Habilidades

Excelente Actidud
Comunicación
Planeación

Esta Vacante Viene De La Bolsa De Empleo Talenteca.com

https://www.talenteca.com/anuncio?j_id=662edac72300004b0067d305&source=linkedin"
ING. SOPORTE DE SISTEMAS (Escobedo NL),ING. SOPORTE DE SISTEMAS (Escobedo NL),PiSA Farmacéutica,May,2024,"Desde hace más de 78 años, proveemos medicamentos, productos y servicios a los sectores público y privado en los mercados de salud más importantes en México y Latinoamérica. Contamos más de 23,000 profesionales y empleados comprometidos a contribuir con la preservación del bien más valioso para todos, ¡Nuestra vida!

OBJETIVO

Brindar soporte técnico y asesoría a clientes de Tecnologías de Información (TI), contribuyendo a la continuidad operativa del Grupo en actividades que dependan de equipos de cómputo, sistemas y aplicaciones.

Principales Responsabilidades Del Puesto

Realizar y otorgar soporte de hardware y software a clientes de Tecnologías de Información.
Configurar recursos complementarios y asesorar sobre su uso a clientes de Tecnologías de Información.
Gestionar la elaboración y difusión de guías de ayuda para clientes del Centro de atención telefónica de Tecnologías de Información (SIT).
Realizar y Otorgar soporte a aplicaciones descentralizadas a clientes de Tecnologías de Información.

REQUISITOS

Licenciatura en Área de Sistemas computacionales, informática, computación o Afín. (CARTA PASANTE INDISPENSABLE)
Disponibilidad de horario y para estar en sitio (No remoto)
Disponibilidad para trasladarse entre ubicaciones conforme la operación lo requiera.
Fácil acceso a Parque Industrial Gate Escobedo (libramiento Noroeste)

EXPERIENCIA

Atención y soporte a usuarios y aplicaciones mediante sistemas de Soporte técnico(Tickets)
Contacto directo con el usuario final y otras áreas de TI
ITIL (Biblioteca de Infraestructura de Tecnologías de Información)

CONOCIMIENTOS

Soporte a sistemas operativos (Windows, Mac OS, Linux) y Paquetería (Office,Autodesk,Adobe,Citrix)
Conocimientos básicos en seguridad informática (por ejemplo, firewalls, antivirus, antispyware, VPN's).
Conocimiento básico en infraestructura de redes (Topologías, protocolos, dispositivos básicos de conexión, tipos de red).
Configuración de dispositivos móviles (Pistolas de RF, HAND HELD, Tablets)
Conocimientos básicos del Directorio Activo

TIPO DE CONTRATO

Permanente

Si cubres con el perfil solicitado para esta vacante postúlate para iniciar proceso.

¡Grupo PiSA agradece tu interés en participar en esta convocatoria!

Los procesos de reclutamiento, evaluación, entrevista, selección y contratación de personal, son totalmente GRATUITOS en Grupo PiSA; nadie debe solicitarte pago alguno para participar en nuestros procesos de Reclutamiento y Selección. Por favor reporta cualquier solicitud extraña en el proceso para ingresar a Grupo PiSA. linearh@pisa.com.mx"
