Position,Company_Name,Location,Post_Month,Post_Year,Details
Technical Support Specialist,Technical Support Specialist,Boldr,May,2024,"A LITTLE BIT ABOUT Boldr

Boldr is the first global B-Corp dedicated to delivering world-class Client experiences while creating access to dignified, meaningful work in communities worldwide
We are a global team united by our desire to connect diverse people with common values for Boldr impact.
We employ just over a thousand team members across five countries, and we want to employ over 5,000 people by 2027, if not sooner

LET'S START WITH OUR VALUES

Meaningful connections start with AUTHENTICITY
We do our best work by being CURIOUS
We grow by remaining DYNAMIC
Our success combines AMBITIOUS VISION with OPERATIONAL EXCELLENCE
At the heart of great partnerships, we'll always find EMPATHY


What Is Your Role

The technical support specialist is a great opportunity for someone with an aptitude to learn, a love of problem-solving, and a passion for technology and startups. We believe in a strong, friendly culture. While not only helping customers troubleshoot our platform, you will also be an integral part of the conceptualization to execution of their business using our program.

WHY DO WE WANT YOU

We are currently looking for impact-driven individuals who are passionate about helping Boldr grow and achieve our Purpose. We expect our Team to become our ultimate partners to success by always giving their 110% in everything, sharing their talents and quirks, and championing our core values: Curious, Dynamic and Authentic.

What Will You Do

Answer customer questions over email and live chat
Deliver excellent customer service to our customers
Write and update support articles
Become a product expert
Work closely with the customer success, product, management, and engineering teams


Requirements

YOU ARE...

Curious and authentic, just like us! #beboldr
An analytical and critical thinker with an eye for even the most minute of details
Passionate about client satisfaction

YOU HAVE...

Demonstrated ability to solve technical problems
3 years of experience in a similar role
Desire to teach new customers about the platform
Ability to answer product and technical questions
Comfort working independently, given time zone differences
Familiarity with APIs, email infrastructure, DNS, HTML, CSS, and javascript
Nice to have experience with JIRA or Zendesk
Nice to have previous experience in a B2B technical support role at a SaaS company
Nice to have experience with email, push, or SMS platforms"
Technical Support Specialist,Technical Support Specialist,Boldr,May,2024,"A LITTLE BIT ABOUT Boldr

Boldr is the first global B-Corp dedicated to delivering world-class Client experiences while creating access to dignified, meaningful work in communities worldwide
We are a global team united by our desire to connect diverse people with common values for Boldr impact.
We employ just over a thousand team members across five countries, and we want to employ over 5,000 people by 2027, if not sooner

LET'S START WITH OUR VALUES

Meaningful connections start with AUTHENTICITY
We do our best work by being CURIOUS
We grow by remaining DYNAMIC
Our success combines AMBITIOUS VISION with OPERATIONAL EXCELLENCE
At the heart of great partnerships, we'll always find EMPATHY


What Is Your Role

The technical support specialist is a great opportunity for someone with an aptitude to learn, a love of problem-solving, and a passion for technology and startups. We believe in a strong, friendly culture. While not only helping customers troubleshoot our platform, you will also be an integral part of the conceptualization to execution of their business using our program.

WHY DO WE WANT YOU

We are currently looking for impact-driven individuals who are passionate about helping Boldr grow and achieve our Purpose. We expect our Team to become our ultimate partners to success by always giving their 110% in everything, sharing their talents and quirks, and championing our core values: Curious, Dynamic and Authentic.

What Will You Do

Answer customer questions over email and live chat
Deliver excellent customer service to our customers
Write and update support articles
Become a product expert
Work closely with the customer success, product, management, and engineering teams
Advance your career in the SaaS industry


Requirements

YOU ARE...

Curious and authentic, just like us! #beboldr
An analytical and critical thinker, with an eye for even the most minute of details
Passionate about client satisfaction


YOU HAVE...

2+ years of technical support experience: Preferably supporting customers via email and chat.
Experience in providing technical support: installing and uninstalling apps from phones and computers.
General knowledge of how web-based and mobile apps work.
Passion for creating exceptional customer experiences and an ability to use challenging situations as an opportunity to exceed customer expectations.
Ability to thrive in a dynamic and evolving environment - must be adaptable.
Metrics-driven and proven ability to handle a high volume of customer interactions.
Strong conflict resolution skills and even temperament in challenging situations.
Native or near-native written and spoken English.
Ability to properly understand and convey tone via written communications
Creative problem-solving skills.
Impeccable judgment - the ability to make fact-based decisions that support desired outcomes, particularly in ambiguous situations.
Loads of empathy - you genuinely care!
Proactive attitude and ability to work with limited supervision


Plus Requirements

Support the team by executing initiatives and collaborating on projects.
Take initiative and identify areas of opportunity that you can contribute to help the team as it grows.
Acquire valuable customer insights and share them with the rest of the team to improve the education and experience to create customers for life.
Flexible work schedule.
Passion for Customer Experience.
A proven ability to work remotely as part of a team but also with little direction is highly desired.


Benefits

YOU ARE...

Curious and authentic, just like us! #beboldr
An analytical and critical thinker with an eye for even the most minute of details
Passionate about client satisfaction

YOU HAVE...

Demonstrated ability to solve technical problems
3 years of experience in a similar role
Desire to teach new customers about the platform
Ability to answer product and technical questions
Comfort working independently, given time zone differences
Familiarity with APIs, email infrastructure, DNS, HTML, CSS, and javascript
Nice to have experience with JIRA or Zendesk
Nice to have previous experience in a B2B technical support role at a SaaS company
Nice to have experience with email, push, or SMS platforms"
Technical Support Specialist,Technical Support Specialist,Boldr,May,2024,"A LITTLE BIT ABOUT Boldr

Boldr is the first global B-Corp dedicated to delivering world-class Client experiences while creating access to dignified, meaningful work in communities worldwide
We are a global team united by our desire to connect diverse people with common values for Boldr impact.
We employ just over a thousand team members across five countries, and we want to employ over 5,000 people by 2027, if not sooner

LET'S START WITH OUR VALUES

Meaningful connections start with AUTHENTICITY
We do our best work by being CURIOUS
We grow by remaining DYNAMIC
Our success combines AMBITIOUS VISION with OPERATIONAL EXCELLENCE
At the heart of great partnerships, we'll always find EMPATHY


What Is Your Role

The technical support specialist is a great opportunity for someone with an aptitude to learn, a love of problem-solving, and a passion for technology and startups. We believe in a strong, friendly culture. While not only helping customers troubleshoot our platform, you will also be an integral part of the conceptualization to execution of their business using our program.

WHY DO WE WANT YOU

We are currently looking for impact-driven individuals who are passionate about helping Boldr grow and achieve our Purpose. We expect our Team to become our ultimate partners to success by always giving their 110% in everything, sharing their talents and quirks, and championing our core values: Curious, Dynamic and Authentic.

What Will You Do

Answer customer questions over email and live chat
Deliver excellent customer service to our customers
Write and update support articles
Become a product expert
Work closely with the customer success, product, management, and engineering teams
Advance your career in the SaaS industry


Requirements

YOU ARE...

Curious and authentic, just like us! #beboldr
An analytical and critical thinker with an eye for even the most minute of details
Passionate about client satisfaction


YOU HAVE...

Demonstrated ability to solve technical problems
3 years of experience in a similar role
Desire to teach new customers about the platform
Ability to answer product and technical questions
Comfort working independently, given time zone differences
Familiarity with APIs, email infrastructure, DNS, HTML, CSS, and javascript
Nice to have experience with JIRA or Zendesk
Nice to have previous experience in a B2B technical support role at a SaaS company
Nice to have experience with email, push, or SMS platforms"
Tech Support,Tech Support,Konfío,May,2024,"Únete a la revolución Fintech y construye el futuro de las finanzas en México!

¿Quiénes somos?
Somos la empresa de tecnología financiera líder en México, impulsando a más de 70.000 clientes a alcanzar sus sueños. Nuestra misión es empoderar a las pequeñas y medianas empresas del país con soluciones innovadoras (financiamiento, tarjeta de crédito y pagos) para superar sus desafíos y convertirlas en los motores del crecimiento económico. Aspiramos a ser el aliado ideal de los emprendedores, contribuyendo al desarrollo de la comunidad, el país y el planeta.

Tu reto será:
Proporcionar asistencia técnica y resolver problemas relacionados con el software, hardware o servicios de la organización.
Así como atender y responder a las consultas de los clientes o usuarios, diagnosticar y solucionar problemas técnicos, brindar orientación sobre el uso adecuado de productos o servicios, y colaborar con otros equipos internos para resolver problemas complejos.

¿Qué harás?:
Resolver tickets utilizando la documentación. (Atlassian Jira y Salesforce)
Gestionar todos los tickets de primer nivel para su correcta resolución dentro del nivel de servicio esperado.
Escalar casos de alta complejidad a nivel dos de soporte de ser necesario.
Escalar casos recurrentes para su análisis.

¿Qué buscamos?:
Más de 6 meses de experiencia
Ingeniería concluida
Inglés intermedio
Experiencia en lectura y escritura de SQL.
Opcionales:
Atención a clientes o usuarios.
Conocimiento de framework Flask.
Conocimiento de AWS.
Conocimiento de Salesforce.
Programación y desarrollo de software, preferiblemente Python.
Conocimiento de Jira.

Beneficios:

Seguro de salud (SGMM).
Seguro de vida.
Seguro de gastos médicos menores.
Seguro Dental y Seguro Visual.
Vales de Despensa.
Aguinaldo superior.
Totalpass.
Betterfly."
Technical Support Specialist,Technical Support Specialist,Peek,May,2024,"With over $3 billion in bookings of experiences, the Peek.com platform combines powerful business software with an award-winning marketplace for consumers to book fun things to do like wine tours, watersports, skydiving, art classes, and more.

The Peek Pro software suite provides world-class online booking, point-of-sale, and hundreds of automation tools such as inventory management, dynamic pricing, waivers, and marketing analytics. Thousands of operators like the Museum of Ice Cream, Artechouse, and Jam NOLA have grown their businesses and automated their operations with our technology.

Peek follows a “remote-first” philosophy, with our team of over 250 Peeksters distributed across exciting locales such as San Francisco, New York, Austin, Nashville, Salt Lake City, Santiago, Medellin, and beyond. Having secured funding exceeding $100 million from esteemed backers like Westcap and Goldman Sachs, we continue our mission to connect the world through experiences.

PS: In 2021, Peek was not only recognized with a coveted position on Forbes America's Best Startups Employer list but also celebrated an honor from Newsweek with their Future of Travel award 🚀. And the accolades don't stop there! We're ecstatic to announce our #14 ranking on the a16z Marketplace 100 for 2023! 🎉



The Role:
Peek is hiring a friendly, passionate, and self-motivated Partner Support Representative to help our activity partners grow their businesses using Peek’s SaaS platform PeekPro. The Partner Support Representative acts as the first line of defense for product questions and technical troubleshooting.

The ideal candidate adapts well to a fast-paced environment, provides a high degree of professional responsiveness and follow-up to our existing and potential partners, and demonstrates strong problem-solving. This full-time role is entirely remote. Regular weekend hours may be required based on shift schedule. Our collaborative and rapidly evolving team will rely on the Associate to make our partner’s day by solving issues completely, quickly, and correctly.

Our Customer Support team is available during the following hours: Mon - Fri 8 am to 11 pm; Saturday 9 am to 8 pm; Sunday 10 am to 8 pm (All Times are Eastern Time). A 5-day schedule will be assigned after training.

Responsibilities:
Follow-up and see-through resolutions on customer inquiries across channels, including phone calls, emails, and Helpdesk requests.
Author informative and thorough how-to messages using excellent communication skills to maintain a high CSat.
Represent the voice of our customers internally at Peek by sharing customer feedback using Zendesk processes.
Learn Peek’s rapidly evolving products; contribute suggestions from your built experience on updating our Helpdesk and templates to keep pace with these changes.
Work in unison with other Support team members, as well as provide information reviewed by our Product and Engineering teams as they work to improve PeekPro.

Skills you already have:
2+ years of experience in customer service and/or technical support
Must be able to work at least one weekend day
Excellent English written, oral, and interpersonal communication skills (minimum 50 WPM on typing exam)
Natural enthusiasm for helping people solve technical problems
Patience and ability to troubleshoot and teach new software to non-tech savvy operator partners.
Ability to work in a dynamic environment without skipping a beat.
Must be punctual and reliable.
Strong deductive reasoning skills, with an ability to uproot the cause of a reported issue.
Discretion in handling potentially sensitive information about a partner, partner’s account, or business.

Nice to haves:
Interest in the travel/tourism industry
Experience working within ZenDesk or other support tooling
Experience working with Salesforce, JIRA, Slack and/or G-Suite
Experience in a similar role

Compensation:
Mex$ 20.400 gross monthly salary"
IT Support Engineer I,IT Support Engineer I,ICON plc,May,2024,"JR117693

IT Support Engineer I

Mexico City

Office with Flex

At ICON, it’s our people that set us apart. Our diverse teams enable us to become a better partner to our customers and help us to fulfil our mission to advance and improve patients’ lives.

Our ‘Own It’ culture is driven by four key values that bring us together as individuals and set us apart as an organization: Accountability & Delivery, Collaboration, Partnership and Integrity. We want to be the Clinical Research Organization that delivers excellence to our clients and to patients at every touch-point. In short, to be the partner of choice in drug development.

That’s our vision. We’re driven by it. And we need talented people who share it.

If you’re as driven as we are, join us. You’ll be working in a dynamic and supportive environment, with some of the brightest and the friendliest people in the sector, and you’ll be helping shape an industry.

Overview:

The Support Engineer I specializes in support of clinical systems supporting Philips BioTel Research service lines, both in a first and second tier capacity.

Responsibilities:

Obtaining in-depth knowledge of various Philips BioTel Research proprietary and third party operational systems and applications
Providing remote and in person support to users of the BioTel Research proprietary and third party operational systems and
applications
Serving as the initial point of contact to users while troubleshooting and solving customer issues
Recording all incidents in a work management system to include ensuring timely responses to and closure of reported indents,
documenting all incidents in a comprehensive manner
Escalating issues to appropriate personnel for problems that cannot be resolved in a timely manner
Performing data delivery, reconciliation, and reporting tasks as requested by clinical data management staff
Performing education and training to users on how to properly and effectively use Philips BioTel Research proprietary and third party
operational systems and applications
Creating and maintaining support documentation for BioTel Research proprietary and third party operational systems and
applications and ensuring that documentation is updated and maintained in organizational knowledge base
Supporting technical development initiatives, including installation, implementation and testing of new or upgrades systems and
applications
Scheduling and prioritizing of production support requests
Working with clinical Subject Matter Experts to design and maintain workflows prior to the transfer to production
Other duties as assigned.

Qualifications:

You will need:

Bachelor of Science degree or local equivalent
Experience working as IT Support Engineer I
Supporting Systems
Excellent Excel skills
Advanced English for Read, Write and Speak

Benefits of Working in ICON:

Our success depends on the quality of our people. That’s why we’ve made it a priority to build a culture that rewards high performance and nurtures talent.

We offer very competitive salary packages. And to keep them competitive, we regularly benchmark them against our competitors. Our annual bonuses reflect delivery of performance goals – both ours and yours.

We also provide a range of health-related benefits to employees and their families and offer competitive retirement plans – and related benefits such as life assurance – so you can save and plan with confidence for the years ahead.

But beyond the competitive salaries and comprehensive benefits, you’ll benefit from an environment where you are encouraged to fulfil your sense of purpose and drive lasting change.

ICON is an equal opportunity and inclusive employer and is committed to providing a workplace free of discrimination and harassment. All qualified applicants will receive equal consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application process, or in order to perform the essential functions of a position, please let us know through the form below."
Technical Support Specialist,Technical Support Specialist,Boldr,May,2024,"A LITTLE BIT ABOUT Boldr

Boldr is the first global B-Corp dedicated to delivering world-class Client experiences while creating access to dignified, meaningful work in communities around the world
We are a global team, united by our desire to connect diverse people with common values for boldr impact.
We employ just over a thousand team members across five countries and we want to employ over 5,000 people by 2027, if not sooner


LET'S START WITH OUR VALUES

Meaningful connections start with AUTHENTICITY
We do our best work by being CURIOUS
We grow by remaining DYNAMIC
Our success combines AMBITIOUS VISION with OPERATIONAL EXCELLENCE
At the heart of great partnerships we'll always find EMPATHY


What Is Your Role

This position has primary responsibilities for providing hands-on technical troubleshooting, feature explanation, and best practice guidance for our product. The technical Support associate work environment is focused on providing support to customers, partners and colleagues both in a fast-paced environment.

A successful Technical Support associate operates efficiently in this climate, maintains composure, exhibits professionalism, understands our services, Team needs and delivers the highest level of client satisfaction.

WHY DO WE WANT YOU

We are currently looking for impact-driven individuals who are passionate in helping Boldr grow and achieve our Purpose. We expect our Team to become our ultimate partners to success by always giving their 110% in everything, sharing their talents and quirks, and championing our core values: Curious, Dynamic and Authentic.

What Will You Do...

Installs, modifies, and makes minor repairs to computer hardware and software systems
Resolves tickets representing staff-generated technical requests or problems and troubleshoots technical and process issues to maintain productivity
Maintains system functionality by testing computer components
Helps design and implement networks
Consults with users to determine appropriate hardware and software needs and assist in placing orders
Maximize computer systems capabilities by studying technical applications and making recommendations
Tests compatibility of new programs with existing ones
Gather data to identify and evaluate technical purchasing options
Confirm program objectives and specifications by testing new programs, comparing them with established standards, and making modifications
Evaluate vendor-supplied software by studying user objectives and testing software compatibility with existing hardware and programs
Install software and necessary applications for workflow
Train users on new software in person or through a variety of tutorial channels, including self-guidance training videos, user manuals, and digital instruction pages, often in collaboration with technical writers
Maintain systems capability by testing computer components
Carries out software, network, and database performance tuning
Document hardware and software updates
Keep up to date on technical advancements by attending educational workshops, reviewing professional publications, and participating in professional societies
Prepare reference material for users by drafting operation instructions


Requirements

YOU HAVE...

2+ years of technical support experience. Preferably supporting customers via email and chat
Experience in providing technical support: installing and uninstalling apps from phones and computers
General knowledge of how web-based and mobile applications work
Passion for creating exceptional customer experiences and an ability to use challenging situations as an opportunity to exceed customer expectations
Ability to thrive in a dynamic and evolving environment- must be adaptable
Metrics-driven and proven ability to handle a high volume of customer interactions
Strong conflict resolution skills and even temperament to challenging situations
Native or near-native written and spoken English
Ability to properly understand and convey tone via written communications
Creative problem solving skills
Impeccable judgment - the ability to make fact-based decisions that support outcomes, particularly in ambiguous situations
Loads of empathy - you genuinely care!
Proactive attitude and ability to work with limited supervision,


Plus Requirements

Support the team by executing on initiatives and collaborating on projects.
Take initiative and identify areas of opportunity that you can contribute with to help the team as it grows.
Acquire valuable customer insights and share them with the rest of the team to improve the education and experience to create customers for life.
Flexible work schedule.
Passion for Customer Experience.
A proven ability to work remotely as part of a team but also with little direction is highly desired."
Soporte Técnico / La paz /Presencial,Soporte Técnico / La paz /Presencial,Intecfra,May,2024,"¡INTECFRA TE ESTA BUSCANDO!

¿Te gustaría trabajar en una empresa líder en soluciones de TI?

Somos una empresa dedicada a la venta y arrendamiento de equipo de cómputo e infraestructura de TI, estamos en búsqueda de talento para el área de Ti como Ing. soporte técnico.

Funciones y Actividades

Ofrecer soporte remoto y en sitio.
Recibir y atender incidencias y solicitudes.
Atención a usuarios y clientes.
Recibir tickets, generar reportes, etc.
Mantenimientos correctivos y preventivos.

Requisitos

Preparatoria terminada o carrera trunca en Informática, Sistemas Computacionales o carreras afines al puesto.
Licencia de manejo vigente (deseable).
Experiencia +6 meses en soporte técnico (deseable).
Conocimientos en Hardware, mantenimientos, diagnósticos, configuraciones, instalaciones, etc.
Facilidad de palabra, capacidad para trabajar en equipo.

Ofrecemos

Sueldo de $ 12,856.00 mensuales brutos (pago de forma quincenal).
Prestaciones de ley.
Capacitaciones constantes.
Horario de trabajo de lunes a viernes de 9 am a 6 pm (con una hora de comida).

Mayores informes al 3312040501 Ext. 109 o por whatsapp 3322559006

Interesados, favor de postularse por este medio."
Soporte tecnico - Cedis,Soporte tecnico - Cedis,Grupo Scanda,May,2024,"Descripción

Zona a laborar : Centro de distribución palacio de hierro

Disponibilidad para rolar horarios

Responsabilidades

Realizar mantenimiento preventivo y correctivo en equipos de cómputo.
Configurar equipos de cómputo
Migración
Inventario de equipo

Beneficios

Sueldo $10,500
Prestaciones superiores
SGMM
SV
Vales de despensa

Requisitos

Bachillerato técnico
Disponibilidad para laborar fines de semana
Exp mínimo 1 año de experiencia en soporte técnico.
Conocimiento en mantenimiento preventivo y correctivo.
Dominio en el conocimiento de hardware y software."
Application Support Engineer,Application Support Engineer,Accenture México,May,2024,"Help Desk Skills, Hardware

Software configuration, Office, Microsoft Dynamics AX.


Hardware Troubleshooting | P3 Advanced

Service Desk | P2 Intermediate

Microsoft Dynamics AX Function | P1 Beginner"
