Position,Company_Name,Location,Post_Month,Post_Year,Details
Mobile Telecommunications Engineer,Mobile Telecommunications Engineer,Link Consulting Services (LinkCS),May,2024,"Seniority in Huawei Equipment Required
LOCATION:
On site in Argentina, Mexico, Colombia, and Dominican Republic will be highly preferred!! Elsewhere in LATAM will be exceptionally considered based on experience and resume
Huawei Technical Lead (5G+4G)
Huawei 5G Optimization SME
Huawei 5G+4G Optimization Senior Engineer
Huawei 4G Optimization SME
Huawei 4G Senior Optimization Engr
Huawei Config Management & Reporting Engineer
Huawei Tx Network Expert
Huawei Core Network Expert
Huawei Junior RF Engineer


Seniority in Nokia Equipment Required
LOCATION
Remote Position is acceptable. // Spanish speakers are highly preferred.
Nokia RF 5G Optimization SME = 5G Optimization Expert


Seniority in Ericsson Equipment Required
LOCATION
Remote Position is acceptable. // Spanish speakers are highly preferred.
Ericsson Solution Architect = 5G Optimization Expert


Seniority in ZTE Equipment Required
LOCATION
Remote Position is acceptable. // Spanish speakers are highly preferred.
ZTE SWAP Support/modernization
ZTE Network Planning and Optimization / Refarming"
Ingeniero de Telecomunicaciones,Ingeniero de Telecomunicaciones,Alternet Telecom,May,2024,"Horario: Lunes a Viernes, 9:00 AM a 6:00 PM

Importante: Trabajo presencial en Pedro Escobedo, QRO. Indispensable vivir en la ciudad o zonas cercanas.

Descripción del Rol:

Estamos buscando un Ingeniero de Telecomunicaciones Mid-Senior para unirse a nuestro creciente equipo de ingeniería. Esta posición es crítica para el desarrollo y la implementación de nuestras soluciones de red, asegurando la máxima calidad y eficiencia en la entrega de servicios a nuestros usuarios activos. El candidato ideal será responsable de diseñar, implementar y mantener nuestras infraestructuras de red utilizando tecnologías de Huawei, Arista y MikroTik.

Responsabilidades:

Diseñar y configurar redes utilizando tecnologías de Huawei, Arista y MikroTik.
Supervisar y gestionar la implementación de nuevos proyectos de infraestructura de red.
Realizar diagnósticos y resolución de problemas de red de manera efectiva y eficiente.
Desarrollar y mantener la documentación técnica y protocolos de seguridad para todos los sistemas de red.
Trabajar en colaboración con otros departamentos para asegurar la integración y funcionamiento óptimo de las tecnologías de red.
Capacitación y mentoría a nuevos integrantes del equipo en tecnologías y procesos específicos.


Habilidades Blandas:

Comunicación y capacidad para trabajar eficazmente en equipo.
Proactivo y con habilidades para resolver problemas de manera creativa y eficiente.
Capacidad para gestionar múltiples tareas y proyectos bajo presión.
Alto nivel de responsabilidad y compromiso con la calidad.
Disposición para aprender nuevas tecnologías y adaptarse a cambios rápidos.


Requisitos:

Título en Ingeniería de Telecomunicaciones, Sistemas, Electrónica o campo relacionado.
Al menos 3 años de experiencia en roles similares, preferentemente en la industria de telecomunicaciones.
Experiencia comprobada en el uso y gestión de tecnologías Huawei, Arista y MikroTik.
Conocimientos sólidos en protocolos de red, configuración de routers y switches, y seguridad de red.
Certificaciones relevantes en Huawei, Arista, o MikroTik serán consideradas un plus.
Dominio del inglés técnico tanto hablado como escrito.


Ofrecemos:

Oportunidad de trabajar en una empresa líder y en crecimiento.
Ambiente de trabajo dinámico y con grandes desafíos.
Paquete salarial competitivo y oportunidades de desarrollo profesional."
Ingeniero Telecom H/M,Ingeniero Telecom H/M,Egis,September,2023,"Título del puesto

Ingeniero Telecom H/M

Tipo de contrato

Contrato obra o labor

Duración del contrato

1 año

Ofrecemos

Prestaciones de ley

Prestaciones superiores a la ley

Sueldo Competitivo

Oportunidad de crecimiento

Descripción de la misión

Buscamos un ingeniero o maestro en Ingeniería para formar parte de nuestro equipo. Tiene que ser una persona proactiva y con experiencia, responsable y proficiente. Con capacidad de atender varios proyectos al mismo tiempo.

Perfil


Escolaridad: Ingeniería Electrónica, Eléctrico, Mecánica, Comunicaciones, Civil.
Conocimiento en Telecomunicaciones; Experiencia en Sistemas Ferroviarios, Interpretación de Planos y/o Esquemas
3 años de experiencia en Metro


Seguimiento de documentación entre partes involucradas para Telecomunicaciones, generar y dar seguimiento a KPI's. Coordinar reuniones de trabajo de Telecomunicaciones Reportar avances de Telecomunicaciones al Coordinador de Telecomunicaciones. Generar reportes de Telecomunicaciones, Asesoría Técnica especializada a los temas relacionados con Telecomunicaciones, Apoyar a las áreas de ingeniería e involucrados en temas de Telecomunicaciones."
Ingeniero en Telecomunicaciones,Ingeniero en Telecomunicaciones,Jay Consultores,May,2024,"Empresa dedicada a la implementación de sistemas y redes, especializada en la aplicación de soluciones tecnológicas para mejorar su productividad, seguridad y reducir costos en su negocio.

Buscamos ingeniero en telecomunicaciones profesional para crear y desarrollar mejores y más rápidas soluciones, mediante el uso de aplicaciones tecnológicas confiables, eficientes y fáciles de usar.

Conocimientos y Experiencia Requerida

Conmutadores telefónicos IP.

Sistemas de video vigilancia CCTV/IP.

Sistemas de alimentación ininterrumpida (UPS).

Cableado estructurado de voz y datos.

Antenas y enlaces inalámbricos para internet.

Sistemas de seguridad.

Sistemas de control de acceso.

Requisitos

Escolaridad: Ing sistemas, Mecatrónica, Electrónica, Computación, Robótica, Informática o afín.

Experiencia de 3 años.

Licencia de manejo.

Ofrecemos

Rango salarial: $12,000 a $16,000 según experiencia.

Prestaciones de ley.

Esquema de crecimiento.

Uniformes."
Ingeniero Senior Telecom,Ingeniero Senior Telecom,Sener,May,2024,"En Grupo Sener, somos líderes mundiales en Ingeniería y Tecnología Avanzada, comprometidos con la excelencia, la sostenibilidad y la innovación en cada proyecto que emprendemos. A través de nuestras personas, buscamos transformar el mundo, desafiando los límites de la tecnología.

Estamos buscando Ingenieros/as con gusto por el trabajo en equipo y pasión por los proyectos de Infraestructuras, Transporte y Movilidad.

¡Únete a Sener Mobility!

Responsabilidades clave:

Colaborar estrechamente con equipos multidisciplinarios de ingenieros y especialistas técnicos para garantizar la integración de soluciones innovadoras y sostenibles en nuestros proyectos.
Diseño, revisión y supervisión en obra de sistema de comunicaciones en el ámbito ferroviario.
Estar familiarizado con la normativa aplicable al diseño de sistemas de telecomunicaciones en entornos ferroviarios.
Conocimiento en diseño de redes de voz y datos (WAN – MPLS).
Conocimiento en el diseño de redes físicas de fibra óptica.
Experiencia en arquitectura de sistemas de radio (RADIOENLACES, TETRA, P25…).
Diseño de cableado estructurado.
Conocimiento en diseño y dimensionado de sistemas de CCTV, Controles de acceso, Información al usuario, Sonoración, Interfonía, Cronometría y telefonía.
Elaboración de memorias, especificaciones, planos y catálogos de conceptos a nivel de bases de diseño, básicos y de detalle.
Elaboración de cédulas de cableado.
Coordinación interdisciplinaria para el desarrollo de los sistemas especiales.
Experiencia en AUTOCAD y REVIT DESEABLE.

Requisitos:

Ingeniería en Telecomunicaciones, Sistemas Computacionales, Informática, Comunicaciones y electrónica, con Título y Cédula Profesional.
Inglés Intermedio-Avanzado (B2).
Experiencia previa, de 5-10 años, en el diseño y supervisión de los sistemas de Comunicaciones Ferroviarias, preferentemente en Transporte y/o Ferroviario.
Excelentes habilidades de comunicación, trabajo en equipo y capacidad para gestionar proyectos de manera eficiente.

Ofrecemos:

Participación en Proyectos Emblemáticos a nivel nacional e internacional que te permitirán contribuir al desarrollo de la sociedad, de manera sostenible.
Prestaciones Superiores a las de Ley y Programas de Bienestar.
Cultura de trabajo Inclusiva y Colaborativa, donde se fomenta la Innovación y se reconoce el Talento y el Esfuerzo de cada miembro del equipo.
Formación continua en Tecnologías y Metodologías de vanguardia.

Si estás buscando un nuevo desafío profesional en una empresa líder en Ingeniería y Tecnología Avanzada, ¡queremos conocerte!, envía tu CV al correo de contacto."
Ingenierio en sistemas de almacenamiento y sistemas fotovoltaicos,Ingenierio en sistemas de almacenamiento y sistemas fotovoltaicos,NISA energy,June,2024,"Puesto:
·      Ingeniero especializado en sistemas fotovoltaicos y de almacenamiento de energía
 Resumen del puesto:
·      El Ingeniero en Sistemas Fotovoltaicos y Almacenamiento de Energía es responsable del diseño, desarrollo, implementación y gestión de proyectos fotovoltaicos y de almacenamiento de energía. Este rol incluye la planificación técnica, la coordinación de equipos, y la supervisión de la instalación y operación de sistemas de energía renovable, asegurando la eficiencia y calidad de los proyectos
  Responsabilidades:
·      Diseño e Ingeniería: Desarrollar diseños técnicos y de ingeniería para proyectos fotovoltaicos y de almacenamiento de energía en baja y media tensión.
·      Proyectos de Micro redes: Realizar diseño e ingeniería de proyectos de micro redes.
·      Gestión de Proyectos: Gestionar proyectos siguiendo la metodología PMBOK, asegurando el cumplimiento de los plazos y presupuestos establecidos.
·      Liderazgo y Supervisión: Liderar proyectos, formar y supervisar a otros miembros del equipo técnico.
·      Documentación Técnica: Desarrollar planos, esquemas y redacción de memorias de cálculo.
·      Capacitación: Capacitar a otros miembros del equipo de acuerdo con los estándares EC0586.01.
·      Coordinación y Adquisiciones: Coordinar el personal y realizar adquisiciones de materiales necesarios para los proyectos.
·      Monitoreo: Monitorear plantas de energía existentes para asegurar su operación óptima.
·      Optimización de Recursos: Reducir el presupuesto destinado a proyectos sin comprometer la calidad.
 Educación:
Grado Académico: Título en Ingeniería Eléctrica, Energías Renovables, Ingeniería en Sistemas Fotovoltaicos o campos relacionados.
Certificaciones: Certificación en Gestión de Proyectos (PMBOK) y en Normas de Capacitación (EC0586.01) es preferible.
 Experiencia:
Proyectos Fotovoltaicos: Experiencia mínima de 5 años en diseño y ejecución de proyectos fotovoltaicos.
Gestión de Proyectos: Experiencia en la gestión de proyectos de energía renovable, incluyendo la supervisión de equipos técnicos.
Monitoreo y Mantenimiento: Experiencia en el monitoreo y mantenimiento de plantas de energía.
Conocimientos Técnicos:
Diseño de Sistemas: Conocimiento avanzado en el diseño de sistemas fotovoltaicos y de almacenamiento de energía.
Software de Diseño: Manejo de software de diseño y simulación (e.g., AutoCAD, PVSyst, HOMER).
Normativas y Estándares: Conocimiento de normativas y estándares nacionales e internacionales relacionados con la energía renovable.
Gestión de Proyectos: Conocimiento de la metodología PMBOK y herramientas de gestión de proyectos.
Funciones específicas:
·      Realizar diseño e ingeniería de proyectos fotovoltaicos (baja y media tensión)
·      Realizar diseño e ingeniería de proyectos de almacenamiento de energía (baja y media tensión)
·      Realizar diseño e ingeniería de proyectos de micro redes.
·      Gestión de proyectos (Metodología PMBOK)
·      Liderazgo de Proyectos. Formación y supervisión de otros miembros del equipo
técnico.
·      Desarrollo de planos, esquemas y redacción de memorias de cálculo
·      Capacitación a otros miembros de equipo de acuerdo al EC0586.01
·      Coordinación de personal
·      Realizar adquisiciones de materiales
 Objetivos:
·      Lograr el desarrollo constante de proyectos de energía renovable con un performance de presupuesto (CPI) <1
·      Lograr el desarrollo constante de proyectos de energía renovable con un performance de cronograma (SPI) <1
·      Formar equipos de trabajo de alto rendimiento
Responsabilidades:
·      Seguimiento de proyectos hasta que el sistema de energía renovable esté en operación
·      Monitoreo de plantas de energía existentes
·      Lograr reducir el presupuesto destinado a proyectos sin reducir calidad
·      Desarrollo de procesos de ingeniería y gestión de proyectos
 Habilidades:
Liderazgo: Capacidad para liderar y motivar equipos de trabajo.
Comunicación: Habilidades de comunicación efectiva para interactuar con diferentes stakeholders.
Resolución de Problemas: Habilidad para identificar y resolver problemas técnicos y de gestión.
Organización: Excelentes habilidades organizativas para gestionar múltiples proyectos simultáneamente.
Trabajo en Equipo: Capacidad para trabajar de manera colaborativa en equipos multidisciplinarios.
Adaptabilidad: Flexibilidad para adaptarse a nuevas tecnologías y cambios en el entorno de trabajo.
Ubicación:
·      Dirección: Juan Vazquez de Mella 481, Polanco, Polanco I Secc, Miguel Hidalgo, 11510 Ciudad de México, CDMX
 Línea de reporte:
·      COO
Requisitos
•       Horario: 9:00 a 6:00 AM (variado por operación)
·      Días de trabajo: lunes a viernes.
·      Plan de carrera: 80 – 100 – 120.
·      Conseguir la gestión y administración de proyectos mayores."
Ingeniero de Redes y Comunicaciones,Ingeniero de Redes y Comunicaciones,Azkait,May,2024,"AZKAIT es una empresa Mexicana que busca y conecta el mejor talento IT con empresas Latinoamericanas y de Estados Unidos.

Estamos en la búsqueda de tu talento como Ingeniero de Redes y Comunicaciones

Requisitos:

Como Ingeniero de Redes y Comunicaciones serás responsable de administrar, monitorear y realizar mantenimientos de equipos on Premise y en nube, preferentemente GCP/Google así como ejecutar los procesos operativos y de control diario que permitan garantizar la operación diaria, cumpliendo los SLAs establecidos.

Requisitos:

Experiencia de a partir de 3 años en infraestructura On Premise (LAN, WAN, WLAN y Comunicaciones de Voz) con terceros (Rackspace) y en nube (Google/GCP).
Licenciatura o Ingeniería en el área de Sistemas o afín, Titulado
Inglés Técnico

Conocimientos Indispensables:

Redes locales (LAN, WAN , WLAN y Comunicaciones de Voz).
Monitoreo.
Conocimientos de Balanceadores.
Cableado Estructurado.
Gestión de la Red en la Nube.
Normatividad.

Beneficios:

Prestaciones de Ley
Seguro de Vida
Medio día libre en tu cumpleaños
Acceso a plataforma de aprendizaje, para el desarrollo de las áreas de tecnología.
Honesty Market Free
Excelente área de co-working
Viernes de Happy Hour

Lugar de trabajo:

Modalidad presencial

Trabajo en sitio ubicado en Torre Acuario, Santa Fé, Álvaro Obregón, CDMX"
Ing. en Telecomunicaciones Software Engineer Rem,Ing. en Telecomunicaciones Software Engineer Rem,EducacionIT,June,2024,"Desarrollo de soluciones de backend con foco en python y C++. Serás parte de un talentoso equipo de software que trabaja en el desarrollo de aplicaciones e integraciones con diferentes plataformas de telecomunicaciones. Tu responsabilidad incluye el análisis y desarrollo de aplicaciones con gran volumen de datos y baja latencia tanto en infraestructura cloud como on-premise.

Requisitos Excluyentes

Formación Universitaria: Egresado o cursando Ingeniería en Telecomunicaciones o Electrónica.
Conocimientos y experiencia en desarrollo con Python y/o C++.
Conocimientos y experiencia trabajando con Linux (Ej. Debian, RHEL, etc.)
Conocimientos sólidos en TCP/IP, Networking.
Estudiante de Ing en Telecomunucaciones/Electronica

¿Qué ofrecemos?:

Cultura horizontal donde participar, crear e incidir en las decisiones.
Capacitaciones en Udemy y otras.
Trabajo 100% remoto o mixto a elegir (oficinas en Parque Patricios, CABA, o Río Cuarto, Córdoba).
Bono por performance.
Cobertura médica OSDE.
Clases de inglés."
Solar Water Farm Systems Engineer,Solar Water Farm Systems Engineer,GivePower,May,2024,"WHO WE ARE

GivePower’s mission is to electrify the world with clean energy and provide greater health, economic and educational opportunities. We are a social enterprise that serves developing communities with critical services at an affordable price. We build and operate innovative solar-powered technology that improves water access, food production, education, and conservation. A Solar Water Farm (SWF) creates access to clean water for communities by purifying salty water using solar power. Our growing team is made up of passionate, creative problem-solvers who value community, vision, and impact. If you crave an opportunity to meaningfully improve the lives of those in need, come join the charge!

YOUR ROLE

The Solar Water Farm Engineer will be instrumental in helping GivePower accomplish ambitious goals by leading efforts in GivePower’s product specific engineering and design aspects including system design, product value engineering and operational optimization. They will have the opportunity to design systems for socially impactful and mission critical projects deployed around the globe. This role will be responsible for ensuring the best possible product designs, principles, and industry best practices are implemented. A key emphasis will be providing leadership with on-time and high-quality engineering deliverables.

RESPONSIBILITES

Maintain, update and create production design materials needed for the manufacture of containerized Solar Water Farms, which includes but is not limited to: (a) SLD’s, and 3D CAD Models; (b) Manuals for Assembly, Deployment, and Operations and Maintenance; (c) Bill of Material; (d) Commissioning, Inspections, Testing and Troubleshooting Processes; (e) PLC Programs and Coding
Work remotely with the assembly team to verify install, and assist with design updates and troubleshooting to ensure high quality production
Assist procurement team in technical specification and procurement of material required for assembly teams and maintenance teams in support of active systems in the field.
Manage, track and follow through with all vendor Return Merchandise Authorizations, including overseeing the return of goods deployed overseas to the manufacturer for evaluation and/or credit
Work with the Director of Engineering on product design work for the containerized Solar Water Farms with the goal of developing an optimized repeatable product for both manufacturing and functionality
Adapt product designs to site specific requirements, as required.
Support in-country maintenance, repair, and operations teams to reduce downtime and resolve technical challenges of active Solar Water Farms in the field
Integrate product design changes based on feedback and experience from field teams to reduce mean time between failures of Solar Water Farm components
Assist Director of Engineering on product development efforts for new products, adaptations of existing products, and/or additional features, as required

DESIRED ATTRIBUTES

3+ years in a related Engineering/Design field
Experience in Product Design and Manufacturing processes
Experience in PLC Programming
Experience in water treatment system design and manufacturing
Experience in solar and electrical systems
Proficiency in AutoCAD including 3D modeling
Knowledge of drinking water quality and electrical system standards
Strong attention to detail and very organized
Robust commitment to quality
Strong focus on providing timely solutions and deliverables
Maintains a positive can-do attitude with growth mindset
4-year college degree, or relevant experience in a related field
Fluent in English (professional level)

This will be an independent contractor role. To apply please attach a cover letter (in English) to your CV including your desired compensation.


GivePower is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, gender, marital status, race, ethnicity, religion or any other characteristics protected by local laws and regulations."
Dimensional Engineer,Dimensional Engineer,ALTEN,May,2024,"About ALTEN:
In just three decades, ALTEN has emerged as a global leader in Research and Development, Engineering, Information Technology Services, Life Sciences, and Network Services. Our footprint spans across 30 countries, with over 60,000 consultants driving innovation and technical excellence. Trusted by industry giants, we have become synonymous with pioneering solutions and unwavering expertise.

ALTEN CANADA, a proud subsidiary of ALTEN headquartered in France, is committed to serving the Canadian market. With local offices in Montreal and Toronto, we bring our global expertise to the forefront of Canadian innovation.

At ALTEN CANADA, our consultants thrive on tackling complex and highly technical projects across a diverse range of industries. From Manufacturing to Information Systems, IT Automation to Life Sciences, Energy to Automotive, Rail and Transportation to Telecommunications, Aerospace and Defense, our commitment to excellence knows no bounds.

ALTEN CANADA is currently seeking a Dimensional Engineer, Automotive to join our team! This role will work on rotation in Mexico and Canada.

Key Responsibilities:
You will optimize the quality of the parts manufactured for three new vehicles.
Will lead dimensional improvements on vehicle geometry through part, tooling, or design actions.
Will work with team members to analyze complex parts and sub-assemblies (sheet metal, exterior and interior) using various measurement systems (example, Meisterbock, quality assurance fixtures, laser trackers, CMMs and In-Line Vision Stations).
Perform data analysis, often organizing data from multiple sources to identify top issues and potential root causes.
Work with production personnel and plant quality engineers to implement and validate proposed solutions.
Verify effectiveness of corrective actions implemented through data analysis.
Proactively monitor trend charts and work with cross-functional teams to drive variation reduction of critical product and process characteristics.
Interact with suppliers, both internal and external, to communicate issues and drive resolution.
Quality: Manage KPIs for Fit and Finish (Quality KPI = FFQ)
Interrogate the process, critical stations for all aspects of the underbody, frame and all closures

Key Qualifications:
Bachelor’s degree in engineering, Mechanical preferred
Team Center, NX System, CAD
Proficient at reading measurement data

Rotation: 10 days in Mexico, 4 days off in Canada.

Why Join Us?
ALTEN Canada fosters a dynamic and collaborative work environment where team members are empowered to unleash their full potential. We believe in investing in our talent, offering stimulating experiences, and supporting professional growth and development at every turn.
As part of our commitment to our team members, we offer a comprehensive benefits package including:
Insurance & RRSP
Discounts
weeks of vacation
corporate activities.
professional development plans

Join ALTEN Canada and embark on a journey of endless possibilities, where your talents are celebrated, and your ambitions are nurtured. Experience the difference of working with a company that values innovation, collaboration, and excellence in every endeavor."
