Position,Company_Name,Location,Post_Month,Post_Year,Details
Desarrolladora / Desarrollador de Software Frontend para IT Bootcamp,Desarrolladora / Desarrollador de Software Frontend para IT Bootcamp,Mercado Libre,May,2024,"En Mercado Libre estamos democratizando el comercio, el dinero y los pagos en América Latina. ¡Sumate al propósito!
IT Bootcamp es nuestro programa de capacitación regional para Software Developers que quieran sumarse al enorme desafío de desarrollar la plataforma tecnológica líder en América Latina.
Quienes hayan atravesado exitosamente todo el proceso de selección serán parte del programa. Desde el primer día ingresarán a la compañía como Software Developer en IT, con dedicación full time y, durante los primeros dos meses, tendrán la oportunidad de vivir un plan intensivo de entrenamiento en el stack tecnológico de Mercado Libre, totalmente diseñado y creado por nuestros referentes técnicos. Aprenderán y fortalecerán sus conocimientos en los distintos lenguajes de programación con los que trabajamos en la compañía, hacer pruebas de código seguro y sobre bases de datos. La capacitación técnica también incluye metodologías ágiles y herramientas de monitoreo.
¡Una vez que hayan completado el entrenamiento, estarán en el nivel adecuado para trabajar codo a codo con nuestro equipo y se incorporarán a proyectos estratégicos!
Tenemos un desafío para quienes:
Vibran energía emprendedora: se mueven por la curiosidad, nunca se rinden y se enfocan en superar sus propios límites.
Dan el máximo porque les gusta trabajar con compromiso y dedicación.
Viven los cambios como oportunidades y aprenden de sus errores.
La excelencia y la ejecución son claves en su forma de hacer las cosas.
Promueven el buen clima, aportan alegría y diversión.
Saben cómo construir con otras personas y disfrutan trabajando en equipo.
Imaginate emprendiendo proyectos desafiantes, dinámicos e innovadores y siendo responsable de:
Contribuir en el diseño y la creación de productos que impactan directamente en la vida de miles de personas a diario.
Colaborar en definiciones de arquitectura, pensando siempre en soluciones que resulten escalables.
Programar código de calidad y garantizar que todo funcione correctamente antes de ser implementado.
Requisitos:
Haber finalizado o estar en la etapa final de tecnicaturas o carreras de grado como Ingeniería en Informática, Ciencias de la Computación o afines.
Contar con un máximo de 3 años de experiencia laboral en roles de programación.
Poseer conocimientos básicos teóricos de programación y estructuras de datos, como variable, función, if, bucle, operadores, de HTML, CSS, Javascript, y conocimientos del concepto de versionado, como GIT.
Residir en Ciudad de México.
Te proponemos:
Ser parte de una compañía con espíritu emprendedor en la que nos encanta pensar en grande y a largo plazo.
Ser protagonista de tu desarrollo en un ambiente de oportunidades, aprendizaje, crecimiento, expansión y proyectos desafiantes.
Compartir y aprender en equipo junto a grandes profesionales y especialistas.
Un excelente clima de trabajo, con todo lo necesario para que vivas una gran experiencia. :)"
Desarrollador Front-end Jr,Desarrollador Front-end Jr,Sunwise,May,2024,"Buscamos talentosos desarrollador Front-end Jr

Sunwise es una empresa que ofrece soluciones de software para la cotización y gestión de proyectos solares fotovoltaicos. Nuestro software te permite realizar presupuestos de manera rápida, en cualquier momento y lugar, y mejorar el desempeño de tu empresa y el cierre de ventas.

Estamos buscando un desarrollador Front-end con conocimiento de JavaScript.

Si te apasiona la energía solar y quieres formar parte de un equipo dinámico y en crecimiento, ¡esta es tu oportunidad!

Responsabilidades

Crear y mantener la interfaz de usuario de una aplicación.
Colaborar con diseñadores y desarrolladores back-end para asegurarse de que la interfaz de usuario sea coherente con la funcionalidad subyacente de la aplicación.
Realizar pruebas de calidad y depuración para garantizar que la interfaz de usuario funcione correctamente en diferentes navegadores y dispositivos.
Mantenerse al tanto de las tendencias y tecnologías emergentes en el campo del desarrollo front-end.

Requisitos

Conocimientos de HTML, CSS y JavaScript para la creación de interfaces de usuario.
Capacidad para trabajar en equipo y comunicarse de manera efectiva con otros miembros del equipo, como diseñadores y desarrolladores back-end.
Conocimientos de energía solar, redes eléctricas e informática, no es indispensable.

Beneficios

Salario competitivo acorde al mercado.
Oportunidad de crecimiento profesional dentro de la empresa.
Capacitación continua sobre el producto y el sector solar.

Trabaja presencial de lunes a viernes de 9:00 am a 6:00 pm

Sueldo a partir de $8,000 MXN dependiendo de la experiencia y el conocimiento"
Programador frontend Jr.,Programador frontend Jr.,Macropay,May,2024,"En Macropay estamos buscando colaboradores innovadores; creativos en evolución constante que nos ayuden marcar la diferencia. Somos una empresa que ha revolucionado la industria retail con una nueva forma de conectar a las personas a través de la venta de celulares a crédito. Ofrecemos diversos productos financieros, de manera eficiente, ágil, cómoda y confiable.

¡Ven a romper límites con nosotros!

Vacante: Programador frontend Jr.

Sede: Mérida (Presencial)

Requisitos

Escolaridad: Ingeniero en informática, en sistemas o licenciatura relacionada.

Actividades

Conocimiento en desarrollo de interfaces con react, TS, JS y peticiones a API´s y despliegue en nube

Desarrollo de pruebas unitarias automatizadas

conocimiento en el desarrollo de nuevas arquitecturas

Desarrollo con NextJs

Dominio de tecnologías front end vigentes.

Experiencia comprobable de trabajo efectivo con QA, Back y UX

Conocimiento sólido de análisis de interfaces centradas en cliente/usuario, comprobable por proyectos anteriores y/o conocimiento de métricas.

¿Qué ofrecemos

Sueldo base competitivo

Fondo de ahorro

Beneficios superiores: Gastos Médicos Mayores, Seguro de Vida, Seguro de Accidentes, Vales de Despensa, entre otros.

Retos constantes y crecimiento profesional.Requerimientos

Educación mínima: Educación superior - Licenciatura
2 años de experiencia
Edad: entre 22 y 45 años

Palabras clave: developer, desarrollador, juniorHace 7 días (actualizada)"
"Front End Developer Palermo, CABA ID 100276","Front End Developer Palermo, CABA ID 100276",EducacionIT,March,2024,"Nuestro cliente es un importante holding de medios y está lanzando un nuevo producto educativo.

Estamos ayudándolos a armar su equipo y necesitamos sumar Desarrolladores Front End SSR/SR

Requerimos Experiencia Con

Procesos de Diseño – HTML – SASS (FW) (CSS) – MaterializeMecanismo de Autenticacion – JWT – O OUTJava ScriptType ScriptFrameworks – Angular 1, 2 o + / NGRX / Redux

Beneficios

PREPAGA MEDICUS PLAN CORPORATE – GRUPO FAMILIARALMUERZO A CARGO DE LA EMPRESAMERIENDACAFETERIA LIBRELLAVE DE SNACKSGYMPASS (GYM)HOMEWORKING

También tenés la posibilidad de aprender nuevas tecnologías y de participar en un proyecto de educación muy importante

Locacion: Palermo, CABA"
Frontend Developer Jr,Frontend Developer Jr,Tendencys Innovations,May,2024,"Tendencys Innovations es una empresa internacional con presencia en más de 17 países, enfocada en el desarrollo de soluciones logísticas y de comercio electrónico para la gestión de tu empresa. Desarrollamos y trabajamos con múltiples servicios; Envia.com, Ecart.com, EcartPay, WMS y Parapaquetes.

¿Qué esperamos de ti en el área? Como Desarrollador Web estamos en búsqueda de una persona capaz de generar un cambio radical en el área de la tecnología, con deseos de aprender y crecer profesionalmente aportando ideas, brindando resultados y mejorando día a día cada uno de nuestros proyectos.

Para nosotros es muy importante que cumplas con los siguientes requisitos:

Licenciatura en Tecnologías de la Información, Ingeniería en Software, o carrera afín (titulado o en proceso).
Experiencia mínima de 1 año trabajando como Desarrollador Front End.
Ingles Intermedio-Avanzado.


Conocimiento y habilidades:

Diseño y desarrollo de interfaces web.
Consumo de APIS.
Dominio de Framework JavaScript tales como Vue.js
Manejo de Git.
Desarrollo y mantenimiento de admin web usando JavaScript.
Animaciones CSS.
Bootstrap y otros Frameworks CSS.


Como será tu día a día:

Planificaras y ejecutaras el diseño y desarrollo de interfaces web innovadoras.
Gestionaras la integración de APIs para un flujo de datos eficiente.
Te encargaras del desarrollo y mantenimiento de interfaces administrativas web utilizando JavaScript.
Crearas y perfeccionaras animaciones mediante CSS para mejorar la experiencia del usuario.
Implementaras módulos responsivos e intuitivos que se adapten a diversas plataformas y dispositivos.
Fomentaras una colaboración eficaz y armoniosa con el equipo de trabajo.
Garantizaras el cumplimiento de estándares de diseño y la coherencia en todas las interfaces del producto, manteniendo así la integridad visual y funcional.


Te ofrecemos:

Sueldo de $20,000.00 a $25,000.00 con base a la experiencia.
Contratación directa con nuestra empresa.
Capacitación pagada.
Horarios de lunes a viernes de 09:00 a.m. a 06:00 p.m.
Híbrido
Cursos de desarrollo profesional
Prestaciones de ley.
Seguro de gastos médicos menores.
Seguro de vida.
50% Seguro de gastos médicos mayores.
Adelanto de nómina de los días trabajados.
Oportunidad de desarrollo, crecimiento y plan de carrera."
Jr. Web Developer,Jr. Web Developer,MezTal,May,2024,"We are seeking a skilled and enthusiastic Junior Web Developer to join our team. The ideal candidate will be responsible for supporting the development and management of our HubSpot websites, contributing to the redesign process, and launching new acquisition sites.

Responsibilities:

Support the development and maintenance of HubSpot websites
Collaborate with the design and marketing teams to implement website redesigns
Launch new acquisition sites to expand our online presence.
Troubleshoot and resolve technical issues related to web development
Stay updated on industry trends and best practices in web development


Requirements

Qualifications:

Bachelor's degree in computer science, Web Development, or a related field
1+ year the proven experience as a Jr Web Developer or similar.
Solid understanding of HTML, CSS, and JavaScript.
Experience with HubSpot CMS is a plus.
Strong problem-solving skills and attention to detail.
Ability to work collaboratively in a team environment.
Excellent communication skills, both verbal and written


Benefits

Insurance of major medical expenses (Sum assured $20,000,000.00 MXN)
Life insurance (Death and MXN Disability)
12 Days of vacation per year, with prior approval from your manager, plus three floating days in addition to the seven official Holidays in Mexico
30 days of Christmas bonus
Cell Phone Reimbursement
Transportation Allowance"
Desarrollador frontend,Desarrollador frontend,Involve,April,2024,"Descripción Del Puesto

Confidencial cuenta con una posición como Desarrollador frontend para La misión de un Desarrollador Frontend es crear experiencias digitales atractivas y funcionales para usuarios en el cliente.

Funciones

Desarrollar y mantener la interfaz de usuario de aplicaciones web utilizando tecnologías como HTML, CSS y JavaScript.
Colaborar con el equipo de diseño para implementar diseños y mockups.
Optimizar el rendimiento de la aplicación y asegurar la compatibilidad con diferentes navegadores.
Investigar y proponer nuevas tecnologías y herramientas para mejorar la experiencia del usuario.

Habilidades

Programación en JavaScript
Conocimiento de frameworks como React o Angular
Experiencia en diseño responsivo
Familiaridad con HTML y CSS
Uso de herramientas de versionado como Git
Optimización de rendimiento web
Pruebas unitarias e integración continua
Experiencia con APIs RESTful
Buena comprensión de UX/UI
Comunicación efectiva
Trabajo en equipo
Creatividad
Adaptabilidad
Resolución de problemas

Requisitos

Nivel de estudios: Bachillerato - General,

Estatus académico: Egresado

Experiencia en las áreas: Tecnologías de la información - Sistemas, Marketing - Diseño - Comunicación

Con especialidad: Desarrollo FrontEnd, Diseño web - digital, User Experience, User Interface, UX - UI

Ofrecemos

Sueldo: $25,000.00 - $29,000.00 por mes Neto

Jornada laboral: Tiempo completo

Modalidad: Hibrido

Horario: Lunes a Viernes de 9am a 6pm

Tipo de contrato: Permanente (Indefinido)

Prestaciones

Prestaciones de ley (IMSS, vacaciones, aguinaldo)"
Programador frontend Jr.,Programador frontend Jr.,"Shaanxi LEIGE Pipe Co., ltd.",May,2024,"En Macropay estamos buscando colaboradores innovadores; creativos en evolución constante que nos ayuden marcar la diferencia. Somos una empresa que ha revolucionado la industria retail con una nueva forma de conectar a las personas a través de la venta de celulares a crédito. Ofrecemos diversos productos financieros, de manera eficiente, ágil, cómoda y confiable.

¡Ven a romper límites con nosotros!

Vacante: Programador frontend Jr.

Sede: Mérida (Presencial)

Requisitos

Escolaridad: Ingeniero en informática, en sistemas o licenciatura relacionada.

Actividades

Conocimiento en desarrollo de interfaces con react, TS, JS y peticiones a API´s y despliegue en nube

Desarrollo de pruebas unitarias automatizadas

conocimiento en el desarrollo de nuevas arquitecturas

Desarrollo con NextJs

Dominio de tecnologías front end vigentes.

Experiencia comprobable de trabajo efectivo con QA, Back y UX

Conocimiento sólido de análisis de interfaces centradas en cliente/usuario, comprobable por proyectos anteriores y/o conocimiento de métricas.

¿Qué ofrecemos

Sueldo base competitivo
Fondo de ahorro
Beneficios superiores: Gastos Médicos Mayores, Seguro de Vida, Seguro de Accidentes, Vales de Despensa, entre otros.
Retos constantes y crecimiento profesional."
Programador Frontend: React,Programador Frontend: React,Macropay,May,2024,"Se busca Programador Frontend con experiencia en React para unirse al equipo de desarrollo de la empresa Macropay.

Requisitos

Experiencia comprobable de al menos 3 años trabajando como Programador Frontend.
Amplio conocimiento y dominio de React.
Capacidad para desarrollar aplicaciones web responsive y efectivas.
Conocimientos en el uso de herramientas y frameworks modernos (como Redux, webpack, babel, etc.).
Orientado a la solución de problemas y capaz de proponer soluciones creativas.
Alto nivel de atención al detalle y capacidad para seguir lineamientos y buenas prácticas de programación.

Responsabilidades

Desarrollar y mantener aplicaciones web utilizando las últimas tecnologías y frameworks de desarrollo.
Colaborar con otros miembros del equipo para definir y cumplir los objetivos y plazos de entrega.
Investigar y proponer nuevas herramientas y soluciones para mejorar la eficiencia y efectividad del desarrollo frontend.
Participar en la revisión y mejora continua del código existente para asegurar la calidad y el rendimiento de las aplicaciones.
Resolver problemas técnicos y enfrentar desafíos en el desarrollo de aplicaciones frontend.
Mantenerse actualizado con las últimas tendencias y mejores prácticas en el desarrollo de aplicaciones web.

Ofrecemos

Sueldo neto: $40,000
Gastos Médicos Mayores
Vales de despensa.
Fondo de Ahorro
Seguro de vida
Formación continua y posibilidad de crecimiento profesional.

Si cumples con los requisitos y te emociona la idea de formar parte de nuestro equipo, envíanos tu CV.Requerimientos

Educación mínima: Educación superior - Licenciatura
3 años de experiencia

Palabras clave: developer, desarrolladorHace 5 días"
Front-end Developer,Front-end Developer,T-mapp,May,2024,"Nuestro cliente es una startup fintech/edtech con sede en la Ciudad de México con proyección de convertirse en el mejor aliado estratégico financiero para instituciones privadas en Latam.

Acerca del Rol

Como desarrollador experto en JavaScript altamente capacitado y enfocado en Vue.js. Tu enfoque principal será el desarrollo de aplicaciones web orientadas al usuario y componentes. Los implementarás con el framework Vue.js, siguiendo prácticas y flujos de trabajo acordes a la necesidad de cada proyecto. Te asegurarás de producir un código robusto, seguro, modular y fácil de mantener. Trabajarás de la mano con otros miembros del equipo, incluidos los desarrolladores de back-end y los diseñadores de UX/UI.

Requisitos:

Profesional en sistemas, tecnología de la información, gestión de bases de datos o un campo relacionado.
Fuertes habilidades analíticas y de resolución de problemas, así como excelentes habilidades de comunicación e interpersonales.
Altamente competente con el lenguaje JavaScript y su sintaxis y características modernas de ES6+.
Altamente competente con el framework Vue.js y sus principios fundamentales como componentes, reactividad y el DOM virtual.
Familiaridad con el ecosistema Vue.js, incluyendo Vue CLI, Vuex, Vue Router y Nuxt.js.
Buena comprensión de HTML5 y CSS3, incluyendo SaaS.
Comprensión del renderizado del lado del servidor y sus beneficios y casos de uso.
Conocimiento de programación funcional y paradigmas de programación orientada a objetos.
Capacidad para escribir código JavaScript eficiente, seguro, bien documentado y limpio.
Familiaridad con pruebas automatizadas en JavaScript, específicamente frameworks de pruebas como Jest o Mocha.
Proficiencia con herramientas de desarrollo modernas, como Babel, Webpack y Git.
Experiencia tanto en consumir como en diseñar APIs RESTful.
Idealmente, experiencia en element-plus.org.


Responsabilidades:

Desarrollar aplicaciones orientadas al usuario utilizando Vue.js.
Construir componentes y bibliotecas modulares y reutilizables.
Optimizar tu aplicación para el rendimiento.
Implementar pruebas automatizadas integradas en los flujos de trabajo de desarrollo y mantenimiento.
Mantenerse actualizado con todos los desarrollos recientes en el espacio de JavaScript y Vue.js.
Estar al tanto de las actualizaciones de seguridad y problemas encontrados con Vue.js y todas las dependencias del proyecto.
Proponer cualquier actualización necesaria para mantenerse al día con las mejores prácticas modernas de seguridad y desarrollo.


Beneficios:

Contrato Indefinido
Posición con base en CDMX o Bogotá, híbrido
Salario competitivo 2.000 a 2.500 USD
Serás miembro fundamental del equipo con un impacto directo en la estrategia del negocio.
Trabajarás en un entorno extremadamente dinámico y acelerado"
